affection.n 8 :: affectation ; reconnaissance ; considération ; tendresse ; disposition ; dernier ; admiration ; influence ; appréciation ; maladie
interpréter.v 18 :: chanter ; jouer ; interprétation ; raconter ; offrir ; présenter ; arranger ; servir ; enregistrer ; inspirer
interpréter.v 21 :: arranger ; écrire ; enregistrer ; interprétation ; illustrer ; adapter ; écouter ; chanter ; jouer ; accueillir
interpréter.v 59 :: expliquer ; analyser ; comprendre ; inverser ; penser ; entendre ; articuler ; lire ; voir ; envisager
interpréter.v 80 :: art ; air ; or ; aide ; expérience ; obliger ; image ; ici ; habitude ; aimer
interpréter.v 123 :: obliger ; or ; international ; art ; étymologie ; alpha ; étroit ; illustre ; adjectif ; usage
interpréter.v 128 :: incarner ; joue ; interprétation ; ici ; camper ; composer ; imaginer ; double ; occuper ; offrir
interpréter.v 157 :: traite ; recevoir ; traduire ; encaisse ; accueillir ; écrire ; émettre ; enregistrer ; accepter ; envoyer
interpréter.v 260 :: interprétation ; comprendre ; analyser ; faire ; expliquer ; décoder ; traduire ; évaluer ; lire ; commenter
interpréter.v 267 :: vivre ; interprétation ; recevoir ; comprendre ; expliquer ; percevoir ; entendre ; énoncer ; attribuer ; chanter
interpréter.v 289 :: jouer ; incarner ; dansé ; animé ; chanter ; imaginer ; habiter ; enseigner ; soutenir ; présenter
maintenir.v 94 :: soutenir ; souligner ; répéter ; affirmer ; insister ; préciser ; déclarer ; confirmer ; assurer ; réitérer
maintenir.v 113 :: inscrire ; présent ; apposer ; placer ; conserver ; retenir ; tenir ; enregistrer ; mettre ; ajouter
maintenir.v 154 :: garder ; tenir ; assurer ; conserver ; renforcer ; entretenir ; maintien ; observer ; mettre ; confirmer
maintenir.v 175 :: préserver ; garder ; conserver ; demeurer ; maintien ; retenir ; mettre ; conforter ; divertir ; dominer
maintenir.v 183 :: préserver ; garder ; favoriser ; conserver ; entretenir ; assurer ; instaurer ; mettre ; maintien ; demeurer
maintenir.v 207 :: demeurer ; conserver ; préserver ; maintien ; garder ; soutenir ; pérenniser ; retenir ; replacer ; réintégrer
maintenir.v 230 :: tenir ; pouvoir ; compter ; devoir ; garder ; reston ; être ; continuer ; avoir ; dernier
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; rappeler ; proposer ; estime ; réaffirmer ; demande ; prévoir
maintenir.v 251 :: réitérer ; réaffirmer ; tenir ; confirmer ; conserve ; renouveler ; soutenir ; répéter ; appuyer ; défendre
maintenir.v 281 :: continuer ; poursuivre ; dernier ; compte ; demeure ; maintien ; également ; relever ; soutien ; bref
mince.a 17 :: épais ; fin ; fort ; frêle ; maigre ; lisse ; faible ; avancer ; développer ; nerveux
mince.a 96 :: fin ; régulier ; épais ; continuer ; léger ; fixe ; lisse ; sec ; supérieur ; uniforme
mince.a 147 :: fin ; léger ; maigre ; bel ; sommaire ; lisse ; préciser ; complexe ; tendre ; épais
mince.a 170 :: fragile ; léger ; faible ; petit ; serrer ; étroit ; bon ; solide ; simple ; déjà
mince.a 192 :: fin ; petit ; feuille ; lamelle ; épais ; minuscule ; léger ; papier ; bande ; plaque
mince.a 202 :: fin ; léger ; petit ; épais ; double ; dernier ; nouveau ; haut ; bel ; simple
mince.a 213 :: maigre ; minime ; faible ; petit ; léger ; riche ; infime ; réduire ; sommaire ; vert
mince.a 225 :: maigre ; petit ; moindre ; vilain ; nouveau ; sport ; brillant ; mauvais ; grand ; secret
mince.a 242 :: étroit ; fin ; serrer ; maigre ; limite ; fragile ; faible ; fort ; limité ; petit
mince.a 292 :: fin ; épais ; léger ; écran ; organique ; double ; externe ; film ; invisible ; métallique
modeste.a 29 :: petit ; minuscule ; humble ; simple ; minable ; misérable ; dérisoire ; médiocre ; grand ; banal
modeste.a 114 :: humble ; pauvre ; petit ; bon ; honnête ; poli ; discret ; vivant ; généreux ; misérable
modeste.a 121 :: faible ; important ; significatif ; minime ; limité ; mesurer ; modérer ; réduire ; modique ; timide
modeste.a 163 :: minime ; limité ; léger ; faible ; petit ; récent ; important ; spectaculaire ; nécessaire ; propre
modeste.a 195 :: faible ; minime ; limité ; important ; médiocre ; maigre ; réduire ; personnel ; considérable ; misérable
modeste.a 197 :: pourtant ; pauvre ; oui ; petit ; au-delà ; salaire ; ici ; exemple ; élevé ; aisé
modeste.a 200 :: limité ; restreindre ; réduire ; faible ; temps ; petit ; prudent ; mesurer ; léger ; simple
modeste.a 246 :: élevé ; important ; médiocre ; faible ; politique ; petit ; industriel ; intermédiaire ; professionnel ; économique
modeste.a 269 :: humble ; digne ; petit ; pauvre ; jeune ; misérable ; bon ; honnête ; malheureux ; simple
modeste.a 283 :: humble ; digne ; discret ; simple ; fragile ; confidentiel ; pauvre ; populaire ; secret ; honnête
montée.n 15 :: courbe ; victoire ; poussée ; côte ; dérive ; mue ; droite ; maladie ; mort ; hausse
montée.n 56 :: hausse ; progression ; descente ; poussée ; chute ; augmentation ; hauteur ; baisse ; pente ; partie
