affection.n 8 :: disposition ; occasion ; maladie ; dernier ; considération ; institution ; époque ; extrémité ; opération ; affectation
débit.n 169 :: montant ; résultat ; coût ; flux ; financement ; niveau ; volume ; rythme ; traitement ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; transfert ; maximum ; coût ; rendement ; capacité ; prix
débit.n 188 :: apport ; flux ; niveau ; rejet ; effectif ; débordement ; dépôt ; cours ; coefficient ; prélèvement
débit.n 205 :: rythme ; flux ; caractère ; tempo ; trafic ; style ; jet ; canal ; temps ; accès
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; diriger ; houlette ; performance ; langue ; directrice
direction.n 111 :: orientation ; conduite ; ligne ; tête ; directrice ; vision ; forme ; force ; tendance ; organisation
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; communauté ; commission ; coordination ; responsabilité
direction.n 152 :: orientation ; tendance ; forme ; ligne ; déviation ; sens ; vitesse ; droite ; courbe ; lumière
direction.n 172 :: rejoindre ; bonjour ; destination ; direct ; peut-être ; face ; bientôt ; gagner ; file ; forme
direction.n 176 :: conduite ; rapport ; performance ; orientation ; vitesse ; tendance ; comportement ; sens ; forme ; position
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; presse ; directrice ; gauche ; partir ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; gestion ; présidence ; forme ; diriger ; représentation ; discipline
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; directeur ; défense ; charge ; gestion ; maîtrise
direction.n 279 :: destination ; face ; venir ; provenance ; province ; vallée ; revenir ; route ; sens ; vue
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; rêve ; centre ; tour ; fonds
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; livre ; domaine ; droit ; charm ; travail
don.n 60 :: cadeau ; travail ; produit ; livre ; geste ; signe ; legs ; sacrifice ; commerce ; service
don.n 84 :: contribution ; cadeau ; fonds ; apport ; déchet ; produit ; versement ; bénéficiaire ; loyer ; transfert
don.n 107 :: cadeau ; présent ; part ; preuve ; parvenir ; achat ; offrir ; grâce ; confiance ; legs
don.n 130 :: contribution ; cadeau ; fonds ; généreux ; enfant ; lecteur ; prix ; catholique ; dépôt ; ami
don.n 196 :: pouvoir ; talent ; rôle ; génie ; chic ; secret ; mérite ; temps ; contraire ; tort
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; bon ; contribution ; legs ; transfert ; bénévolat
don.n 245 :: talent ; travail ; contribution ; génie ; témoignage ; trésor ; grand ; domaine ; pouvoir ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; immigré ; heureux ; animal ; afghan
entraîner.v 47 :: amener ; conduire ; aider ; obliger ; engager ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; interne ; clip ; aide ; image ; art ; ion
entraîner.v 57 :: air ; eau ; être ; or ; énergie ; apparemment ; international ; art ; avoir ; efficace
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; ensemble ; ancien ; art ; eau ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: amener ; invite ; obliger ; engager ; avoir ; encourager ; conduire ; pousse ; apprendre ; inciter
entraîner.v 161 :: provoquer ; apparaître ; amener ; engendrer ; éviter ; conduire ; expliquer ; produire ; créer ; induire
entraîner.v 162 :: amener ; engendrer ; provoquer ; assurer ; encourager ; actif ; déclenche ; influence ; favoriser ; impliquer
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; engager ; atteindre ; abandonner ; emmener ; écarter ; précipiter
éplucher.v 10 :: peler ; préparer ; nettoyer ; acheter ; cueillir ; égoutter ; enfiler ; ouvrir ; aspirer ; laver
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; imprimer ; attentivement ; scrupuleusement ; regarder ; compiler ; dépouiller
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; vérifier ; fouiller ; scanner ; dévorer ; regarder
éplucher.v 100 :: éplucher ; retourner ; écraser ; oignon ; peser ; récolter ; trancher ; arracher ; laver ; écarter
éplucher.v 119 :: éplucher ; parcourir ; regarder ; fouillé ; étudier ; explorer ; balayer ; analyser ; lire ; entendre
éplucher.v 167 :: laver ; oublier ; enlever ; observer ; couper ; noter ; regarder ; conserver ; mélanger ; retourner
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; fouiller ; retrouver ; découvrir ; parcourir ; explorer
éplucher.v 235 :: peler ; faire ; passer ; presser ; acheter ; obtenir ; arracher ; préparer ; récolter ; détailler
éplucher.v 236 :: éplucher ; récolter ; collecter ; balayer ; scrupuleusement ; fouillé ; entendre ; compiler ; noter ; regarder
éplucher.v 258 :: peler ; faire ; blanchir ; égoutter ; fruit ; légume ; écraser ; fraise ; passer ; préparer
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; exploitation ; euro ; emploi ; offrir ; origine
espace.n 27 :: air ; or ; énergie ; art ; éternel ; eau ; image ; irréversible ; apparemment ; actuel
espace.n 79 :: ensemble ; office ; emplacement ; environnement ; outil ; zone ; service ; aire ; option ; coin
espace.n 120 :: air ; étroit ; ajouter ; petit ; utiliser ; article ; excellent ; aide ; apercevoir ; énorme
espace.n 137 :: environnement ; marché ; investissement ; entreprise ; domaine ; instrument ; groupe ; développement ; avenir ; information
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; irréversible ; art
espace.n 180 :: place ; emplacement ; lien ; équilibre ; arrangement ; intervalle ; distance ; zone ; déplacement ; passage
espace.n 208 :: innombrable ; entreprise ; article ; ensemble ; information ; utilisateur ; exploitation ; euro ; enregistrement ; ancien
espace.n 229 :: événement ; propre ; investissement ; produit ; projet ; service ; environnement ; petit ; développement ; équipement
espace.n 243 :: article ; place ; coin ; intervalle ; vide ; écran ; emplacement ; trou ; temps ; ensemble
essuyer.v 11 :: essuyer ; laver ; faire ; ensuite ; essuie ; rincer ; avoir ; abondamment ; savon ; appliquer
essuyer.v 58 :: subir ; rencontrer ; recevoir ; constater ; essuie ; accumuler ; souffrir ; enregistrer ; affronter ; connaître
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; sourire ; larme ; écarter ; brûle ; enduire ; laver
essuyer.v 81 :: essuie ; éponge ; encre ; effacer ; laver ; lav ; enduire ; nettoie ; douche ; absorber
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; devoir ; assister
essuyer.v 89 :: subir ; recevoir ; opposer ; constater ; annoncer ; rencontrer ; obtenir ; accuser ; essuie ; enregistrer
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; voir ; souffrir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; noyau ; éplucher ; pépin ; légume ; égoutter ; peau ; baie ; peler ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; affronter ; connaître ; récolter ; provoquer ; enregistrer
essuyer.v 266 :: enlever ; essuie ; nettoyer ; balayer ; assurer ; soigneusement ; retirer ; ensuite ; abondamment ; nettoyage
faucher.v 12 :: jeter ; tuer ; presque ; briser ; bientôt ; écraser ; projeter ; déposer ; grièvement ; abattre
faucher.v 42 :: mieux ; déjà ; presque ; également ; couvrir ; peut-être ; devenir ; découverte ; récolter ; davantage
faucher.v 116 :: semer ; abattre ; dévaster ; arroser ; voler ; pousser ; détruire ; ravager ; travailler ; donner
faucher.v 160 :: séparer ; capture ; tombe ; amoureux ; malheureux ; coûter ; tuer ; orphelin ; divorce ; être
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; couper ; assassiner ; arracher ; tuer ; mieux
faucher.v 239 :: presque ; acheter ; entamer ; cassé ; jeter ; renverser ; servir ; briser ; déjà ; planter
faucher.v 248 :: blesse ; abattre ; brise ; taire ; presque ; frappe ; renverse ; marque ; peut-être ; tombe
faucher.v 276 :: abattre ; couper ; semer ; planter ; tailler ; pousser ; greffer ; piquer ; arracher ; récolter
faucher.v 282 :: piqu ; centre ; marque ; remplacer ; casser ; cadre ; passeur ; compenser ; cale ; prolonger
faucher.v 290 :: grièvement ; tuer ; gravement ; blesser ; verser ; plaqué ; presque ; déjà ; briser ; bêtement
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; former ; développer ; ouvrir ; tenir ; faire ; lancer
fonder.v 7 :: motiver ; force ; porte ; sous-tendre ; traverser ; conditionne ; guide ; légitime ; appuyer ; caractériser
fonder.v 54 :: base ; appuyer ; construire ; trouver ; bâtir ; tire ; gagner ; ancre ; force ; assurer
fonder.v 66 :: ferme ; diriger ; créer ; commencer ; développer ; installer ; rejoindre ; monte ; forme ; instaurer
fonder.v 88 :: intégrer ; rejoindre ; forme ; créer ; développer ; finance ; diriger ; formule ; anime ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; constituer ; caractériser ; base ; marque ; appuyer
fonder.v 158 :: base ; repose ; bâtir ; appuyer ; fonctionner ; focaliser ; fond ; forge ; cale ; fixe
fonder.v 212 :: créer ; former ; constituer ; contracter ; fabriquer ; faire ; monter ; forger ; bâtir ; fondre
fonder.v 264 :: motiver ; définir ; base ; force ; traverser ; valide ; forme ; bâtir ; vraiment ; appuyer
fonder.v 286 :: développer ; fabrique ; diriger ; compte ; créer ; forme ; forge ; fond ; ferme ; réunir
grossier.a 24 :: flagrant ; stupide ; grave ; valable ; formel ; évident ; rigoureux ; courant ; complet ; catégorique
grossier.a 37 :: avancer ; complet ; sophistiquer ; répandre ; vicieux ; élevé ; efficace ; subtil ; facile ; complexe
grossier.a 85 :: agressif ; violent ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; dangereux ; tendre ; rude
grossier.a 108 :: fin ; profond ; épais ; primitif ; minéral ; organique ; léger ; général ; calcaire ; plat
grossier.a 134 :: léger ; subtil ; évident ; sérieux ; grave ; flagrant ; vague ; maladroit ; gros ; clair
grossier.a 179 :: gros ; énième ; grand ; profond ; bon ; flagrant ; sérieux ; vrai ; énorme ; véritable
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; arrogant ; incorrect ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; accusation ; policier ; déplacer ; fait ; billet ; mensonge ; commentaire ; sens ; procédé
grossier.a 231 :: vulgaire ; matériel ; humain ; inférieur ; coupable ; simple ; primitif ; brut ; superficiel ; profond
grossier.a 300 :: stupide ; vulgaire ; faire ; féroce ; habituel ; coupable ; commune ; manifeste ; lâche ; agressif
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; évident ; étancher ; théorique ; compréhensible
hermétique.a 71 :: étanche ; opaque ; secret ; mystérieux ; obscur ; énigmatique ; effrayant ; fermer ; confidentiel ; explicite
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; entier ; individuel ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; sourd ; réfractaire ; fermer ; opposer ; dépendre ; attacher
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; religieux ; opaque ; fermé ; académique ; social ; magique
hermétique.a 220 :: opaque ; étancher ; fermer ; extrêmement ; obscur ; parfaitement ; porte ; étanche ; complètement ; anonyme
hermétique.a 226 :: insensible ; étanche ; imperméable ; sourd ; attacher ; fermer ; indifférent ; sensible ; associer ; attentif
hermétique.a 261 :: étanche ; magique ; éloquer ; opaque ; incompréhensible ; explicite ; confidentiel ; fermer ; efficace ; mystérieux
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; fermé ; secret ; solide ; noir ; blanc ; alimentaire
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; explicite ; mystérieux ; étancher ; évident ; compréhensible ; ultime
incorrect.a 45 :: actif ; opérationnel ; pratique ; global ; mal ; juridique ; utile ; général ; juger ; créatif
incorrect.a 125 :: vraiment ; in ; complètement ; totalement ; parfaitement ; con ; super ; mal ; incapable ; hier
incorrect.a 132 :: revenir ; impossible ; rester ; extrêmement ; tomber ; orienter ; incomplet ; totalement ; entier ; absent
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; exemplaire ; pénal ; apparemment ; inique ; professionnel
incorrect.a 159 :: in ; politique ; juridique ; ex ; pratique ; mal ; professionnel ; interdire ; législatif ; incomplet
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; contraire ; donner
incorrect.a 217 :: ici ; correct ; politiquement ; public ; stupide ; approprié ; inapproprié ; sujet ; enfant ; automatiquement
incorrect.a 241 :: vraiment ; complètement ; mal ; totalement ; presque ; parfaitement ; in ; extrêmement ; fort ; déjà
incorrect.a 298 :: vrai ; maladroit ; ridicule ; évident ; correct ; décevant ; injuste ; exact ; confus ; déçu
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; financier ; transmettre ; opérationnel ; bancaire ; identifiabler
intérêt.n 63 :: avis ; objectif ; élément ; appétit ; opinion ; sentiment ; point ; agenda ; adversaire ; avantage
intérêt.n 97 :: article ; évolution ; étroit ; international ; heureux ; aide ; étranger ; origine ; irremplaçable ; opinion
intérêt.n 129 :: air ; aide ; art ; étroit ; image ; heureux ; interne ; international ; externe ; énergie
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; eau ; énergie
intérêt.n 155 :: article ; effectif ; utilisateur ; appareil ; étroit ; outil ; évaluation ; audit ; équipe ; entreprise
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; attrer ; inconvénient ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; guide ; principal ; excellent ; éventuel ; cor ; matériel
intérêt.n 268 :: air ; art ; international ; aide ; image ; or ; nouveau ; actuel ; heureux ; éternel
intérêt.n 271 :: aide ; être ; étroit ; image ; international ; art ; air ; énergie ; or ; eau
intérêt.n 297 :: aide ; clip ; air ; externe ; animal ; art ; double ; propre ; image ; enseigner
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; aborder ; présenter ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; arranger ; adapter ; interprétation ; écouter ; illustrer ; chanter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; inverser ; envisager ; voir ; exprimer ; évaluer
interpréter.v 80 :: air ; or ; art ; apparemment ; aide ; image ; obliger ; interne ; international ; ici
interpréter.v 123 :: or ; art ; international ; heureux ; étymologie ; étroit ; expérience ; air ; aide ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; assurer ; offrir ; in
interpréter.v 157 :: recevoir ; écrire ; accueillir ; analyse ; envoyer ; traite ; émettre ; traduire ; encaisse ; actif
interpréter.v 260 :: comprendre ; interprétation ; analyser ; évaluer ; apprécier ; entendre ; décoder ; exploiter ; expliquer ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; vivre ; percevoir ; envisager ; écrire ; énoncer
interpréter.v 289 :: imaginer ; jouer ; incarner ; dansé ; chanter ; animé ; enseigner ; interprétation ; habiter ; arranger
maintenir.v 94 :: soutenir ; écrire ; souligner ; affirmer ; ajouter ; répéter ; apprendre ; déclarer ; entendre ; répondre
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; identifier ; renseigner ; tenir
maintenir.v 154 :: garder ; conserver ; renforcer ; continuer ; poursuivre ; exercer ; retenir ; demeurer ; confirmer ; tenir
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; mettre ; divertir ; conforter ; guider
maintenir.v 183 :: garder ; préserver ; conserver ; garantir ; favoriser ; assurer ; rester ; entretenir ; mettre ; créer
maintenir.v 207 :: demeurer ; maintien ; garder ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; devoir ; être ; double ; pouvoir ; garder ; compter ; vouloir ; dernier
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; déclarer ; reconnaître
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; confirmer ; reprendre ; poursuivre ; répéter ; défendre
maintenir.v 281 :: confirmer ; soutien ; affirmer ; croire ; dire ; déclarer ; préciser ; voir ; juge ; maintien
mince.a 17 :: épais ; fin ; intime ; fort ; faible ; étroit ; léger ; haut ; vulnérable ; réduit
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; continuer ; sec ; lisse ; grossier ; chimique
mince.a 147 :: léger ; sommaire ; maigre ; faible ; simple ; original ; riche ; limité ; inexistant ; préciser
mince.a 170 :: serrer ; fragile ; étroit ; bon ; léger ; fort ; maigre ; épais ; faible ; solide
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; solide ; énorme ; menu ; large
mince.a 202 :: fin ; petit ; léger ; épais ; nouveau ; simple ; double ; dernier ; faible ; fort
mince.a 213 :: maigre ; faible ; minime ; petit ; léger ; riche ; vert ; réduire ; misérable ; infime
mince.a 225 :: maigre ; brillant ; dramatique ; lux ; fort ; cadeau ; sport ; grave ; secret ; sérieux
mince.a 242 :: fin ; fort ; préciser ; faible ; intime ; étroit ; fragile ; maigre ; clair ; sec
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; métallique ; invisible ; léger ; atomique ; continuer ; physique
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; modique ; minime ; paisible ; dérisoire
modeste.a 114 :: humble ; petit ; bon ; pauvre ; honnête ; poli ; discret ; timide ; misérable ; faible
modeste.a 121 :: faible ; important ; significatif ; minime ; petit ; modique ; limité ; mesurer ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; faible ; petit ; léger ; récent ; spectaculaire ; personnel ; propre ; important
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; médiocre ; maigre ; important ; substantiel ; élevé
modeste.a 197 :: pauvre ; faible ; aisé ; fragile ; concerner ; petit ; économique ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; léger ; mesurer ; petit ; modérer ; élevé ; prudent
modeste.a 246 :: élevé ; faible ; important ; léger ; petit ; marchand ; économique ; moindre ; négligeable ; considérable
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; pieux ; honnête ; bon
modeste.a 283 :: humble ; digne ; discret ; fragile ; populaire ; simple ; honnête ; pauvre ; secret ; modestie
montée.n 15 :: courbe ; victoire ; poussée ; côte ; dérive ; droite ; conversion ; hausse ; réduction ; mue
montée.n 56 :: progression ; descente ; hausse ; augmentation ; poussée ; élévation ; pente ; montagne ; hiérarchie ; partie
