affection.n 8 :: occasion ; institution ; disposition ; maladie ; observation ; opération ; association ; dernier ; affectation ; exposition
aisé.a 253 :: facile ; rapide ; simple ; faciliter ; évident ; progressif ; lent ; assurer ; automatique ; efficace
aisé.a 275 :: facile ; difficile ; simple ; compliqué ; évident ; impossible ; important ; rapide ; ardu ; avantageux
arrêter.v 1 :: prendre ; être ; mort ; presque ; mettre ; trouver ; déjà ; fixer ; condamner ; vite
arrêter.v 14 :: condamner ; interpellé ; hospitaliser ; incarcérer ; interpeller ; blessé ; inculper ; emprisonné ; impliquer ; poursuivre
arrêter.v 23 :: apercevoir ; in ; ensemble ; avantage ; aimer ; effectuer ; assurance ; âge ; officiel ; or
arrêter.v 25 :: laisse ; continuer ; oublier ; abandonner ; dépose ; cesser ; lâche ; ajouter ; limite ; écrire
arrêter.v 50 :: abandonner ; enlever ; quitter ; retenir ; voir ; entretenir ; apprendre ; réduire ; prendre ; éteindre
arrêter.v 181 :: contenir ; élaborer ; vérifier ; établir ; définir ; préparer ; dresse ; donne ; comprendre ; présente
arrêter.v 219 :: tuer ; stopper ; attraper ; atteindre ; bloquer ; faire ; maîtriser ; voir ; abattre ; pouvoir
arrêter.v 273 :: condamner ; forcer ; adopter ; interdire ; établir ; suspendre ; exécuter ; fixer ; capturer ; écrire
arrêter.v 277 :: or ; parer ; soviétique ; voir ; but ; us ; canada ; pouvoir ; point ; avoir
arrêter.v 291 :: publier ; adopter ; décider ; signer ; émettre ; communiqué ; fermer ; proposer ; suspendre ; délivrer
capacité.n 26 :: faculté ; disponibilité ; puissance ; possibilité ; rapidité ; flexibilité ; souplesse ; adaptabilité ; pouvoir ; force
capacité.n 32 :: chaîne ; puissance ; tête ; différence ; charge ; réserve ; production ; reprise ; quantité ; technologie
capacité.n 35 :: membre ; voire ; associer ; an ; université ; in ; reconnaître ; admettre ; salarié ; ami
capacité.n 70 :: quantité ; puissance ; contribution ; densité ; débit ; disponibilité ; batterie ; différence ; parc ; consommation
capacité.n 73 :: faculté ; aptitude ; compétence ; détermination ; possibilité ; flexibilité ; force ; souplesse ; dimension ; disponibilité
capacité.n 101 :: qualité ; compétence ; fonction ; puissance ; faculté ; responsabilité ; liberté ; pouvoir ; propre ; vertu
capacité.n 103 :: disponibilité ; stock ; quantité ; ressource ; réserve ; possibilité ; base ; superficie ; production ; zone
capacité.n 110 :: possibilité ; profondeur ; participation ; puissance ; batterie ; quantité ; hauteur ; contenance ; technologie ; réserve
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; droit ; force ; pouvoir ; porter ; volonté
capacité.n 148 :: professionnel ; aptitude ; faire ; compétence ; juridique ; avoir ; présente ; principal ; formation ; supérieur
commander.v 5 :: dicter ; donner ; vouloir ; écrire ; commande ; achever ; demander ; confier ; signer ; effectuer
commander.v 9 :: commander ; commencer ; facilement ; choisir ; rapidement ; ensuite ; sélectionner ; ligne ; vous ; simplement
commander.v 16 :: diriger ; commanda ; mener ; consigne ; ordonner ; lancer ; soutenir ; recevoir ; combat ; conduire
commander.v 41 :: commencer ; suivre ; effectuer ; observer ; choisir ; faire ; répéter ; réaliser ; voir ; regarder
commander.v 48 :: contrôlent ; gérer ; tirer ; diriger ; mener ; déterminer ; créer ; financer ; régir ; gouverner
commander.v 117 :: commande ; dicter ; normalement ; pourtant ; vraiment ; bon ; donne ; devoir ; logiquement ; saint
commander.v 164 :: fortement ; ment ; donne ; enseigne ; obéir ; ordonner ; également ; énormément ; ici ; nuit
commander.v 171 :: acheter ; acquérir ; admirer ; recevoir ; déguster ; essayer ; offrir ; savourer ; voir ; profiter
commander.v 206 :: servir ; passer ; protéger ; commande ; porter ; droit ; limite ; donne ; supprimer ; ajouter
commander.v 240 :: commande ; demander ; régler ; ajouter ; faire ; apprendre ; lire ; donner ; greffer ; acheter
compris.a 52 :: accepter ; assimiler ; interpréter ; vivre ; recevoir ; partager ; intégrer ; percevoir ; enseigner ; entendre
compris.a 90 :: penser ; croire ; trouver ; sentir ; réaliser ; considérer ; assurer ; ajouter ; reconnaître ; entendre
compris.a 106 :: nécessaire ; trouver ; vivre ; penser ; vouloir ; deviner ; entendre ; déjà ; prendre ; percevoir
compris.a 185 :: inclure ; contenir ; incorporer ; présent ; mentionner ; exclure ; situer ; entendre ; conserver ; inclus
compris.a 186 :: entrer ; situer ; rester ; inclure ; déjà ; inscrire ; rentrer ; tomber ; plonger ; placer
compris.a 187 :: situer ; inclure ; estimer ; répartir ; choisir ; enseigner ; varier ; compter ; définir ; évaluer
compris.a 211 :: inclus ; mesurer ; semblable ; varier ; entrer ; être ; maximal ; cohérent ; mutuel ; fini
compris.a 232 :: inclure ; intégré ; comptabiliser ; compter ; inclus ; reprendre ; incorporer ; prendre ; comprendre ; investir
compris.a 272 :: comprendre ; réaliser ; saisir ; savoir ; intégré ; croire ; capter ; entendre ; penser ; retenir
compris.a 287 :: saisir ; intégré ; deviner ; savoir ; assimiler ; capter ; apprendre ; comprendre ; reconnaître ; apprécier
couverture.n 65 :: rédaction ; dernier ; page ; manchette ; sommaire ; moitié ; partie ; dossier ; conclusion ; carte
couverture.n 67 :: localisation ; préparation ; légende ; actualité ; suite ; évolution ; photo ; principal ; vidéo ; saison
couverture.n 72 :: produit ; sol ; housse ; dossier ; fondation ; revêtement ; terrasse ; maison ; peinture ; devis
couverture.n 143 :: page ; manchette ; pochette ; photo ; sommaire ; illustration ; vignette ; couvrir ; carte ; case
couverture.n 149 :: sécurité ; protection ; couvert ; responsabilité ; stratégie ; garantie ; police ; caisse ; carte ; formule
couverture.n 150 :: partie ; introduction ; bon ; sommaire ; résumé ; édition ; livre ; rose ; pierre ; titre
couverture.n 201 :: surveillance ; protection ; desserte ; pénétration ; couvrir ; sécurité ; répartition ; gestion ; carte ; neutralité
couverture.n 257 :: toiture ; revêtement ; sol ; protection ; construction ; remplacement ; finition ; couvrir ; base ; couvert
couverture.n 265 :: livre ; professionnel ; toiture ; magnifique ; résumé ; fonds ; portage ; préface ; avant-propos ; île
couverture.n 280 :: flèche ; terra ; noix ; serre ; prune ; poussette ; émeraude ; archer ; figue ; badminton
débit.n 64 :: banque ; direct ; légal ; commerce ; dépôt ; billet ; guichet ; escompte ; retrait ; ligne
débit.n 87 :: jet ; rejet ; montant ; rendre ; flot ; jus ; tirage ; flux ; résultat ; paiement
débit.n 115 :: niveau ; écoulement ; cours ; principal ; der ; puissance ; volume ; gros ; rivière ; fort
débit.n 131 :: eau ; courant ; niveau ; couche ; flux ; nappe ; système ; bassin ; réservoir ; nuage
débit.n 136 :: cours ; flux ; rive ; coefficient ; valeur ; prix ; poids ; eau ; apport ; potentiel
débit.n 168 :: bancaire ; compte ; automatique ; montant ; site ; banque ; crédit ; carte ; visa ; extraire
débit.n 169 :: montant ; coût ; cours ; total ; résultat ; prix ; traitement ; financement ; contenu ; poids
débit.n 184 :: rythme ; taux ; traitement ; maximum ; niveau ; décalage ; résultat ; support ; potentiel ; développement
débit.n 188 :: rejet ; flux ; effectif ; apport ; niveau ; précipitation ; crue ; volume ; coefficient ; prélèvement
débit.n 205 :: moyen ; écoulement ; flot ; canal ; flux ; niveau ; cardiaque ; rythme ; jet ; rapide
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; maîtrise ; langue ; diriger ; gouverne ; performance ; main
direction.n 111 :: orientation ; ligne ; conduite ; vision ; force ; tête ; directrice ; tendance ; unité ; responsabilité
direction.n 151 :: directrice ; directeur ; contrôle ; division ; général ; gestion ; responsable ; département ; supérieur ; stratégie
direction.n 152 :: ligne ; diriger ; orientation ; constant ; directrice ; droite ; bon ; directeur ; conduite ; colonne
direction.n 172 :: destination ; rejoindre ; presque ; nord ; pari ; peut-être ; vie ; pied ; cap ; route
direction.n 176 :: vitesse ; performance ; rapport ; conduite ; régime ; puissance ; résistance ; couple ; position ; comportement
direction.n 199 :: bon ; mission ; photo ; général ; droite ; destination ; coordination ; accueil ; crédit ; marque
direction.n 223 :: conduite ; responsabilité ; main ; directrice ; diriger ; majorité ; représentation ; saison ; compagnie ; maîtrise
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; défense ; gestion ; conduite ; charge ; maîtrise ; propriété
direction.n 279 :: destination ; venir ; province ; face ; provenance ; vallée ; région ; côté ; sens ; revenir
don.n 19 :: cadeau ; bon ; art ; exemple ; produit ; oui ; précieux ; gratuit ; geste ; important
don.n 30 :: talent ; pouvoir ; instinct ; oeil ; atout ; sens ; moyen ; faculté ; élan ; trait
don.n 36 :: talent ; droit ; domaine ; pouvoir ; sens ; cadeau ; génie ; livre ; sentiment ; développement
don.n 60 :: cadeau ; objet ; geste ; point ; présent ; bon ; sacrifice ; apport ; droit ; placement
don.n 84 :: apport ; loyer ; revenu ; produit ; fonds ; investissement ; cadeau ; enfant ; bénéficiaire ; déchet
don.n 107 :: cadeau ; présent ; part ; preuve ; confiance ; offrir ; crédit ; grâce ; signe ; dessin
don.n 130 :: cadeau ; enfant ; fonds ; homme ; vin ; lecteur ; croyant ; apport ; dépôt ; secours
don.n 196 :: talent ; génie ; pouvoir ; temps ; droit ; traitement ; goût ; chic ; sens ; travail
don.n 244 :: cadeau ; versement ; geste ; legs ; contribution ; collecte ; mécénat ; souher ; testament ; prélèvement
don.n 245 :: pouvoir ; talent ; domaine ; cadeau ; service ; soin ; travail ; geste ; signe ; trait
entraîner.v 39 :: air ; art ; interne ; aide ; image ; or ; animal ; italien ; immigré ; international
entraîner.v 47 :: aider ; obliger ; aide ; amener ; encourager ; engager ; inciter ; invite ; pousse ; conduire
entraîner.v 55 :: aide ; clip ; international ; air ; or ; image ; art ; efficace ; intégrer ; ensemble
entraîner.v 57 :: enseigner ; air ; or ; eau ; oc ; efficace ; emploi ; évolution ; équipe ; imaginer
entraîner.v 133 :: aide ; ancien ; air ; image ; or ; antique ; énergie ; art ; heureux ; enseigner
entraîner.v 140 :: amener ; envoyer ; mener ; conduire ; attirer ; pousser ; engager ; emporter ; aller ; lancer
entraîner.v 144 :: personnellement ; pourtant ; certainement ; Monsieur ; également ; peut-être ; malheureusement ; ici ; vraiment ; oui
entraîner.v 161 :: conduire ; nécessairement ; également ; engendrer ; inévitablement ; provoquer ; amener ; peut-être ; apparaître ; pallier
entraîner.v 162 :: progressivement ; généralement ; lentement ; travail ; favoriser ; conduire ; naturellement ; processus ; actif ; développer
entraîner.v 191 :: emporter ; attirer ; amener ; élever ; engager ; précipiter ; conduire ; apporter ; abandonner ; atteindre
éplucher.v 10 :: peler ; finement ; affiner ; détailler ; laver ; faire ; fin ; nettoyer ; tendre ; récolter
éplucher.v 51 :: audit ; dénicher ; récolter ; ledit ; renard ; commettre ; confit ; envie ; déguster ; compère
éplucher.v 69 :: pouvoir ; savoir ; lire ; devoir ; faire ; vouloir ; papier ; scanner ; compte ; soigneusement
éplucher.v 100 :: éplucher ; peler ; finement ; retourner ; observer ; récolter ; manipuler ; trancher ; oignon ; mûr
éplucher.v 119 :: parcourir ; fouillé ; regarder ; lire ; survoler ; chercher ; éplucher ; croiser ; taper ; aller
éplucher.v 167 :: laver ; voir ; fruit ; découvrir ; feuille ; légume ; fleur ; garder ; regarder ; prendre
éplucher.v 174 :: mieux ; pulpe ; pépin ; pomme ; valoir ; finement ; chair ; point ; ensuite ; falloir
éplucher.v 235 :: peler ; faire ; trancher ; couper ; presser ; percer ; planter ; enfiler ; arracher ; acheter
éplucher.v 236 :: éplucher ; apercevoir ; aller ; tri ; récolte ; accès ; intérêt ; côté ; avoir ; enquête
éplucher.v 258 :: peler ; oignon ; blanchir ; légume ; laver ; presser ; conserver ; écraser ; asperge ; cuire
espace.n 13 :: air ; origine ; aide ; or ; international ; image ; animal ; article ; anglais ; accueil
espace.n 27 :: excellent ; immense ; obliger ; irlandais ; air ; véritable ; arrivée ; illustre ; aller ; or
espace.n 79 :: zone ; lieu ; support ; temps ; aire ; outil ; environnement ; emplacement ; pôle ; écran
espace.n 120 :: petit ; air ; étroit ; excellent ; grand ; avantage ; énorme ; nouveau ; excédent ; article
espace.n 137 :: information ; environnement ; entreprise ; développement ; emplacement ; organisation ; assurance ; marché ; emploi ; service
espace.n 142 :: air ; interne ; étymologie ; alpha ; étroit ; international ; art ; audiovisuelle ; allemand ; éternel
espace.n 180 :: échange ; déplacement ; temps ; interaction ; lien ; place ; partage ; rapport ; équilibre ; passage
espace.n 208 :: instrument ; ancien ; excellent ; an ; euro ; endroit ; étroit ; année ; air ; grand
espace.n 229 :: service ; produit ; événement ; investissement ; propre ; site ; petit ; projet ; territoire ; environnement
espace.n 243 :: ensemble ; article ; rôle ; coin ; enfant ; compte ; écran ; mode ; enregistrement ; contenu
essuyer.v 11 :: laver ; rincer ; essuyer ; désinfection ; nettoyer ; enlever ; faire ; remplir ; retirer ; ouvrir
essuyer.v 58 :: essuie ; coup ; revers ; gros ; ensuite ; durement ; subir ; également ; être ; os
essuyer.v 77 :: essuie ; laisse ; eau ; sec ; effacer ; coule ; larme ; blanc ; avoir ; être
essuyer.v 81 :: essuie ; sourire ; avoir ; attendre ; falloir ; recevoir ; voir ; être ; devoir ; offrir
essuyer.v 86 :: passer ; recevoir ; ligne ; essuie ; laisse ; continuer ; régler ; faire ; arriver ; assurer
essuyer.v 89 :: recevoir ; subir ; essuie ; constater ; déjà ; refuser ; obtenir ; rencontrer ; encaisser ; annoncer
essuyer.v 98 :: faire ; encaisser ; recevoir ; utiliser ; gagner ; subir ; acheter ; souffrir ; prendre ; perdre
essuyer.v 166 :: appliquer ; frotter ; passer ; recommencer ; nettoyer ; masser ; rincer ; tailler ; utiliser ; tourner
essuyer.v 215 :: accumuler ; essuie ; refuser ; régulièrement ; déjà ; également ; devoir ; lourdement ; acquérir ; récemment
essuyer.v 266 :: essuie ; soigneusement ; délicatement ; éviter ; abondamment ; ensuite ; énergiquement ; appliquer ; protéger ; utiliser
faucher.v 12 :: grièvement ; briser ; gravement ; peut-être ; déjà ; presque ; organique ; marquer ; partie ; légèrement
faucher.v 42 :: finalement ; faire ; mieux ; vraiment ; déjà ; également ; donnée ; dévoiler ; lourdement ; adapter
faucher.v 116 :: abattre ; ravager ; travailler ; dévaster ; semer ; voler ; pourrir ; payer ; pied ; hacher
faucher.v 160 :: tombe ; séparer ; faire ; plante ; chia ; être ; semer ; rencontre ; trouver ; porte
faucher.v 214 :: réalité ; prix ; fonds ; financement ; justice ; conseil ; base ; finance ; information ; article
faucher.v 239 :: acheter ; servir ; entamer ; jeter ; vendre ; être ; commander ; trouver ; déjà ; lancer
faucher.v 248 :: presque ; poursuivre ; meurtre ; poursuite ; fusillade ; taire ; laisse ; policier ; vie ; police
faucher.v 276 :: abattre ; couper ; tailler ; planter ; arracher ; creuser ; piquer ; affiner ; cueillir ; reconnaître
faucher.v 282 :: remplacer ; piqu ; centre ; marque ; éliminer ; récupérer ; trouver ; passer ; tromp ; sauf
faucher.v 290 :: tuer ; abattre ; blesser ; mort ; grièvement ; côté ; sacrifice ; envoyer ; char ; froidement
fonder.v 6 :: fondre ; créer ; organiser ; former ; diriger ; établir ; forme ; être ; développer ; préside
fonder.v 7 :: motiver ; force ; conditionne ; constituer ; sous-tendre ; porte ; traverser ; base ; appuyer ; expliquer
fonder.v 54 :: construire ; trouver ; base ; appuyer ; gagner ; puiser ; tenir ; prendre ; tire ; bâtir
fonder.v 66 :: rejoindre ; commencer ; intégrer ; installer ; prendre ; trouver ; quitte ; devenir ; ferme ; embrasser
fonder.v 88 :: créer ; installer ; centre ; club ; fondateur ; fondation ; français ; rejoindre ; direction ; bureau
fonder.v 93 :: base ; repose ; presque ; construire ; ment ; socle ; structure ; pourtant ; porte ; force
fonder.v 158 :: base ; repose ; appuyer ; bâtir ; focaliser ; appui ; fond ; fonctionner ; baser ; ferme
fonder.v 212 :: créer ; former ; contracter ; constituer ; faire ; fabriquer ; construire ; forger ; porter ; lancer
fonder.v 264 :: motiver ; bâtir ; définir ; valide ; traverser ; base ; force ; appuyer ; fondation ; forme
fonder.v 286 :: compte ; créer ; fabrique ; ferme ; diriger ; rassembler ; réunir ; forge ; forme ; développer
grossier.a 24 :: flagrant ; évident ; stupide ; courant ; complet ; grave ; monumental ; profond ; simple ; fin
grossier.a 37 :: subtil ; avancer ; fin ; faible ; exact ; élémentaire ; efficace ; clair ; complet ; superficiel
grossier.a 85 :: agressif ; poli ; dister ; amical ; timide ; bavard ; lourd ; vulgaire ; scolaire ; dur
grossier.a 108 :: fin ; rocheux ; calcaire ; galet ; plat ; massif ; profond ; primitif ; caillou ; arrondi
grossier.a 134 :: subtil ; sérieux ; évident ; léger ; clair ; lourd ; faible ; gros ; bel ; pâle
grossier.a 179 :: gros ; véritable ; petit ; énième ; nouveau ; bon ; immonde ; cruel ; gigantesque ; faux
grossier.a 227 :: vulgaire ; ridicule ; arrogant ; franc ; prétentieux ; agressif ; blessant ; poli ; confus ; déplacer
grossier.a 228 :: commentaire ; sexuel ; social ; sens ; procédé ; témoignage ; fait ; rapport ; caractère ; point
grossier.a 231 :: terrestre ; profond ; social ; humain ; matériel ; solitaire ; quotidien ; extérieur ; vulgaire ; éternel
grossier.a 300 :: faute ; erreur ; attaque ; lourd ; accusation ; moquerie ; stupide ; fin ; grossièrement ; faire
hermétique.a 203 :: opaque ; mystère ; arcane ; quasi ; demeurer ; obscur ; interrogation ; énigme ; auparavant ; bouquin
hermétique.a 71 :: opaque ; effrayant ; étrange ; mystérieux ; secret ; énigmatique ; étanche ; générique ; confidentiel ; obscur
hermétique.a 99 :: fermer ; cadenas ; porte ; fermeture ; plastique ; sceller ; fermé ; bouteille ; verre ; boîte
hermétique.a 126 :: étanche ; imperméable ; réfractaire ; insensible ; sourd ; opposer ; allergique ; fermer ; sensible ; perméable
hermétique.a 127 :: élitiste ; secret ; obscur ; social ; commercial ; fermé ; lisse ; lâche ; honteux ; académique
hermétique.a 220 :: extrêmement ; parfaitement ; étancher ; opaque ; quasi ; univers ; logique ; presque ; strict ; fin
hermétique.a 226 :: insensible ; allergique ; fermer ; collé ; réfractaire ; imperméable ; sensible ; étanche ; attacher ; étranger
hermétique.a 261 :: magique ; hypocrite ; involontaire ; parfait ; interdire ; sec ; surprenant ; étanche ; partiel ; penser
hermétique.a 278 :: alimentaire ; entièrement ; chimique ; close ; plastique ; secret ; solide ; technique ; étanche ; fermé
hermétique.a 204 :: obscur ; inquiétant ; opaque ; mystère ; clé ; problématique ; porte ; arcane ; entrer ; énigme
incorrect.a 45 :: prévoir ; désirer ; vouloir ; naître ; actuellement ; rée ; humaine ; actif ; nommer ; actuel
incorrect.a 125 :: ent ; ante ; us ; naître ; humaine ; ré ; der ; suer ; vraiment ; nommer
incorrect.a 132 :: entier ; revenir ; impossible ; extrêmement ; orienter ; avouer ; tomber ; incomplet ; rester ; devenir
incorrect.a 156 :: criminel ; in ; politique ; pénal ; devoir ; légal ; public ; raisonnable ; inique ; judiciaire
incorrect.a 159 :: personne ; in ; droit ; produit ; ex ; langue ; enfant ; information ; connaissance ; disponible
incorrect.a 177 :: précis ; donner ; aléatoire ; inverse ; arbitraire ; erroné ; contraire ; imposer ; automatique ; correct
incorrect.a 217 :: ici ; correct ; politiquement ; stupide ; bon ; sujet ; faux ; intéressant ; mauvais ; volontairement
incorrect.a 241 :: naître ; dire ; devoir ; aire ; rée ; us ; habituellement ; également ; visiblement ; ale
incorrect.a 298 :: politique ; ci-dessous ; présidentielle ; exact ; faux ; résultat ; ensemble ; compte ; total ; complémentaire
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; identifiabler ; financier ; saisir ; transmettre ; opérationnel ; donnée ; effacer
intérêt.n 63 :: avis ; opinion ; objectif ; élément ; conception ; vue ; point ; idée ; agenda ; sentiment
intérêt.n 97 :: opinion ; évolution ; irremplaçable ; article ; entier ; nouveau ; international ; approche ; indispensable ; ancien
intérêt.n 129 :: étroit ; nouveau ; air ; effectif ; étymologie ; adjectif ; aide ; art ; incessant ; alpha
intérêt.n 146 :: or ; image ; évolution ; air ; eau ; actuel ; ensemble ; art ; origine ; ouverture
intérêt.n 155 :: article ; industrie ; international ; information ; entreprise ; énergie ; environnement ; audiovisuel ; administration ; utilisateur
intérêt.n 218 :: faible ; intéressant ; côté ; attrer ; sens ; utilité ; point ; caractère ; véritable ; avantage
intérêt.n 263 :: international ; immigré ; or ; clip ; aide ; guide ; évolution ; ambassade ; usage ; chinois
intérêt.n 268 :: air ; audit ; adjectif ; international ; effectif ; art ; aide ; actuel ; or ; interne
intérêt.n 271 :: éventuel ; être ; excellent ; article ; association ; exemple ; usage ; actuel ; aide ; air
intérêt.n 297 :: aide ; air ; externe ; art ; or ; image ; animal ; énergie ; clip ; enseigner
interpréter.v 18 :: chanter ; jouer ; dicter ; offrir ; ressortir ; dépeindre ; interprétation ; improviser ; extraire ; varier
interpréter.v 21 :: jouer ; enregistrer ; composant ; produire ; arranger ; écouter ; publier ; chanter ; reprendre ; diffuser
interpréter.v 59 :: expliquer ; penser ; comprendre ; inverser ; mieux ; analyser ; faire ; décrypter ; articuler ; éclairer
interpréter.v 80 :: aide ; ensemble ; or ; usage ; aller ; accueil ; international ; art ; origine ; heureux
interpréter.v 123 :: air ; international ; alpha ; indien ; ancien ; in ; clip ; étymologie ; étroit ; animal
interpréter.v 128 :: joue ; incarner ; ici ; camper ; rôle ; assurer ; double ; offrir ; tenir ; écrire
interpréter.v 157 :: traduire ; écoute ; traite ; recevoir ; enregistrer ; écrire ; analyse ; orienter ; accueillir ; émettre
interpréter.v 260 :: comprendre ; comparer ; faire ; décoder ; expliquer ; remplir ; adapter ; interprétation ; analyser ; lire
interpréter.v 267 :: comprendre ; interprétation ; considérer ; observer ; attribuer ; vivre ; percevoir ; définir ; envisager ; lire
interpréter.v 289 :: jouer ; imaginer ; incarner ; animé ; raconter ; dansé ; enseigner ; représenter ; présenter ; interprétation
maintenir.v 94 :: écrire ; apprendre ; ajouter ; souligner ; répéter ; préciser ; soutenir ; déclarer ; entendre ; rappeler
maintenir.v 113 :: présent ; inscrire ; visible ; apposer ; enregistrer ; disponible ; placer ; mentionner ; mettre ; bloquer
maintenir.v 154 :: garder ; conserver ; exercer ; assurer ; continuer ; renforcer ; poursuivre ; tenir ; augmenter ; mettre
maintenir.v 175 :: garder ; préserver ; conserver ; maintien ; retenir ; mettre ; perpétuer ; demeurer ; entretenir ; divertir
maintenir.v 183 :: conserver ; préserver ; entretenir ; demeurer ; garantir ; assurer ; garder ; maintien ; perdurer ; réellement
maintenir.v 207 :: demeurer ; préserver ; maintien ; garder ; conserver ; retenir ; rester ; soutenir ; réintégrer ; stabiliser
maintenir.v 230 :: avant-bra ; innombrable ; enfant ; quint ; enfance ; intestin ; fillette ; influent ; université ; os
maintenir.v 234 :: soutenir ; souhaiter ; rappeler ; réaffirmer ; tenir ; vouloir ; considérer ; estime ; garantir ; entendre
maintenir.v 251 :: soutenir ; tenir ; conserve ; défendre ; appuyer ; réaffirmer ; réitérer ; reprendre ; répéter ; poursuivre
maintenir.v 281 :: tenir ; compte ; dire ; bref ; falloir ; garder ; gage ; fermement ; bon ; affirmer
mince.a 17 :: étroit ; fin ; fort ; serrer ; faible ; intime ; léger ; avancer ; profond ; épais
mince.a 96 :: fin ; léger ; épais ; régulier ; lisse ; continuer ; supérieur ; serrer ; moyen ; sec
mince.a 147 :: fin ; léger ; bel ; simple ; moyen ; fragile ; étroit ; lisse ; pâle ; bon
mince.a 170 :: fragile ; serrer ; extrêmement ; petit ; fort ; épais ; faible ; léger ; solide ; chose
mince.a 192 :: fin ; devenir ; épais ; jeune ; modèle ; homme ; corps ; grand ; maigre ; être
mince.a 202 :: fin ; petit ; couche ; épaisseur ; presque ; nouveau ; épais ; double ; bel ; magnifique
mince.a 213 :: petit ; moyen ; presque ; résultat ; léger ; chiffre ; score ; chose ; nombre ; être
mince.a 225 :: peut-être ; filet ; doute ; rapport ; diplôme ; développement ; bonheur ; voil ; soutien ; droit
mince.a 242 :: fin ; fragile ; poreux ; inexistant ; franchir ; clair ; sec ; flou ; perméable ; court
mince.a 292 :: fin ; supérieur ; écran ; épais ; conducteur ; métallique ; organique ; physique ; cristalline ; actif
modeste.a 29 :: petit ; humble ; minuscule ; grand ; réduit ; misérable ; commun ; coin ; simple ; pauvre
modeste.a 114 :: humble ; poli ; honnête ; bon ; pauvre ; digne ; généreux ; noble ; loyal ; discret
modeste.a 121 :: significatif ; important ; faible ; marginal ; timide ; petit ; limité ; réduire ; minime ; minuscule
modeste.a 163 :: faible ; minime ; limité ; léger ; petit ; récent ; important ; personnel ; confidentielle ; volée
modeste.a 195 :: limité ; important ; maigre ; minime ; médiocre ; convenable ; faible ; substantiel ; misérable ; personnel
modeste.a 197 :: parisien ; limité ; familial ; élevé ; petit ; faible ; aisé ; pauvre ; maigre ; économique
modeste.a 200 :: prudent ; important ; politique ; limité ; canada ; programme ; nécessaire ; économique ; fort ; budget
modeste.a 246 :: faible ; important ; élevé ; léger ; politique ; économique ; minime ; raisonnable ; considérable ; relatif
modeste.a 269 :: petit ; humble ; minuscule ; pourtant ; jeune ; frêle ; piètre ; médiocre ; malheureux ; pauvre
modeste.a 283 :: humble ; digne ; timide ; discret ; honnête ; prudent ; sérieux ; pauvre ; modestie ; ambitieux
montée.n 15 :: côte ; faveur ; relation ; progression ; courbe ; descente ; monte ; face ; croissant ; forme
montée.n 56 :: partie ; hauteur ; augmentation ; échelle ; propriété ; dernier ; chute ; construction ; hiérarchie ; majorité
montée.n 75 :: terrasse ; face ; descente ; place ; côte ; tour ; passerelle ; promotion ; halte ; suite
montée.n 138 :: performance ; évolution ; hausse ; croissance ; poussée ; gestion ; complexité ; progression ; capacité ; transformation
montée.n 141 :: monte ; descente ; poussée ; courbe ; hausse ; chute ; progression ; baisse ; croissance ; dégradation
