affection.n 8 :: influence ; maladie ; attaque ; épreuve ; habitude ; fatalité ; disposition ; conclusion ; catastrophe ; dernier
capacité.n 148 :: compétence ; faculté ; maîtrise ; aptitude ; connaissance ; présence ; qualité ; formation ; personnalité ; disposition
commander.v 5 :: écrire ; publier ; dicter ; accomplir ; signer ; réaliser ; éditer ; envoyer ; demander ; vouloir
commander.v 9 :: commander ; vous ; ligne ; rapidement ; tard ; choisir ; tête ; facilement ; commencer ; entreprise
commander.v 16 :: commandant ; soumettre ; passer ; cavalerie ; division ; combat ; garde ; ensuite ; commanda ; lancer
commander.v 41 :: choisir ; effectuer ; commencer ; faire ; décider ; créer ; définir ; lancer ; changer ; réaliser
commander.v 48 :: diriger ; mener ; contrôlent ; déterminer ; gouverner ; régir ; gérer ; créer ; organiser ; dominer
commander.v 117 :: commande ; commandement ; ordre ; faire ; respect ; honneur ; travail ; bon ; silence ; rigueur
commander.v 164 :: dame ; commanda ; signifier ; donne ; inspirer ; faire ; force ; présente ; également ; répondre
commander.v 171 :: acheter ; acquérir ; réserver ; valider ; imprimer ; faire ; commande ; commencer ; rentrer ; voir
commander.v 206 :: donner ; droit ; servir ; tandis ; citoyen ; venir ; marque ; permettre ; donne ; assurer
commander.v 240 :: payer ; faire ; commande ; régler ; prendre ; personnaliser ; uniquement ; acheter ; simplement ; également
compris.a 52 :: assimiler ; accepter ; compréhensible ; contenue ; prise ; intégrer ; maîtriser ; partager ; recevoir ; connaître
compris.a 90 :: aimer ; ajouter ; réaliser ; apprécier ; penser ; percevoir ; sentir ; préciser ; répondre ; savoir
compris.a 106 :: apprendre ; penser ; prouver ; deviner ; davantage ; confirmer ; vivre ; déjà ; préciser ; corrigé
compris.a 185 :: inclure ; présent ; situer ; incorporer ; contenir ; inscrire ; survenir ; mentionner ; entendre ; particulier
compris.a 186 :: inclure ; déjà ; situer ; également ; rester ; présent ; aller ; entrer ; recevoir ; certainement
compris.a 187 :: répartir ; inclure ; situer ; estimer ; varier ; évaluer ; compter ; enseigner ; variable ; contenu
compris.a 211 :: situer ; élevé ; évaluer ; inclus ; approximativement ; moyen ; partout ; indiquer ; excellent ; répartir
compris.a 232 :: inclure ; intégré ; contenu ; prendre ; cacher ; compter ; indiquer ; prévoir ; admettre ; vendre
compris.a 272 :: comprendre ; saisir ; capter ; entendre ; réaliser ; intégré ; reconnaître ; penser ; apprécier ; percevoir
compris.a 287 :: apprécier ; remarquer ; aimer ; noter ; intégré ; apprendre ; expliquer ; saisir ; retenir ; percevoir
couverture.n 65 :: carte ; rédaction ; série ; dernier ; nouveau ; photo ; sélection ; fiche ; principal ; page
couverture.n 67 :: peau ; vie ; réputation ; survie ; voil ; carrière ; chance ; gloire ; sécurité ; veste
couverture.n 72 :: housse ; couvrir ; sol ; faire ; base ; matière ; garniture ; coussin ; fourniture ; lit
couverture.n 143 :: couvrir ; vignette ; case ; page ; jaquette ; reportage ; illustration ; lune ; pochette ; bon
couverture.n 149 :: couvert ; protection ; sécurité ; garde ; responsabilité ; vie ; défense ; couvrir ; matière ; surveillance
couverture.n 150 :: toiture ; couvrir ; pierre ; tuile ; dalle ; calott ; foi ; coquille ; toit ; charpente
couverture.n 201 :: pénétration ; desserte ; surveillance ; protection ; connexion ; sécurité ; développement ; conquête ; déploiement ; réseau
couverture.n 257 :: revêtement ; base ; toiture ; sol ; remplacement ; construction ; protection ; finition ; peau ; bois
couverture.n 265 :: couvrir ; serviette ; véranda ; housse ; couvert ; litière ; voil ; couche ; corde ; capuche
couverture.n 280 :: peau ; protection ; voil ; lune ; toiture ; couvrir ; surface ; véranda ; toile ; plume
débit.n 64 :: solde ; crédit ; compte ; découvrir ; retrait ; titre ; remboursement ; avancer ; achat ; virement
débit.n 87 :: fort ; gros ; flux ; haut ; der ; niveau ; jet ; rivière ; net ; accès
débit.n 115 :: niveau ; cours ; flux ; rythme ; volume ; delta ; écoulement ; régime ; calibre ; comportement
débit.n 131 :: niveau ; chute ; eau ; lit ; courant ; cours ; flux ; bassin ; dépôt ; nappe
débit.n 136 :: cours ; apport ; flux ; eau ; rive ; dépôt ; effectif ; affluent ; bord ; berge
débit.n 168 :: jet ; rapide ; facile ; gratuit ; automatique ; jeu ; flux ; simple ; qualité ; bonus
débit.n 169 :: niveau ; montant ; cours ; financement ; service ; coût ; développement ; traitement ; prix ; flux
débit.n 184 :: rythme ; taux ; vitesse ; intérêt ; coût ; cadence ; prix ; chiffre ; score ; rendement
débit.n 188 :: échange ; apport ; flux ; jus ; rejet ; irrigation ; cours ; vente ; activité ; projet
débit.n 205 :: rythme ; flux ; vol ; caractère ; mouvement ; style ; tempo ; canal ; accès ; développement
direction.n 78 :: conduite ; responsabilité ; coordination ; directrice ; présidence ; diriger ; maîtrise ; houlette ; rédaction ; gouverne
direction.n 111 :: management ; gestion ; directeur ; diriger ; général ; surveillance ; nouveau ; coordination ; stratégie ; contrôle
direction.n 151 :: gestion ; directrice ; directeur ; supérieur ; management ; diriger ; général ; conduite ; directoire ; interne
direction.n 152 :: vitesse ; sens ; orientation ; loi ; forme ; tête ; ligne ; position ; source ; table
direction.n 172 :: destination ; rejoindre ; peut-être ; gagner ; aller ; cap ; bonjour ; voir ; forme ; directeur
direction.n 176 :: conduite ; forme ; virage ; vitesse ; sécurité ; contrôle ; performance ; route ; résistance ; position
direction.n 199 :: nouveau ; interne ; actuel ; équipe ; rédaction ; ligne ; international ; droite ; management ; dirigeant
direction.n 223 :: nouveau ; constant ; bon ; diriger ; directrice ; étroit ; haut ; attentive ; double ; magnifique
direction.n 262 :: présidence ; gestion ; responsabilité ; conduite ; directrice ; tête ; gérance ; main ; commande ; finance
direction.n 279 :: venir ; gare ; destination ; province ; sens ; région ; vallée ; côté ; provenance ; nord
don.n 19 :: sens ; propre ; spécial ; cadeau ; véritable ; dom ; pouvoir ; spécifique ; bon ; domaine
don.n 30 :: talent ; pouvoir ; atout ; instinct ; oeil ; qualité ; moyen ; point ; trait ; faculté
don.n 36 :: cadeau ; vrai ; bon ; sens ; simple ; véritable ; dom ; futur ; universel ; droit
don.n 60 :: cadeau ; travail ; bon ; grâce ; legs ; sacrifice ; passage ; prêt ; livre ; mariage
don.n 84 :: cadeau ; fonds ; produit ; achat ; bénéficiaire ; enfant ; contribution ; legs ; être ; investissement
don.n 107 :: faire ; part ; usage ; cadeau ; preuve ; objet ; bon ; présent ; également ; art
don.n 130 :: fonds ; contribution ; enfant ; dépôt ; vocation ; personne ; talent ; cadeau ; bénéficiaire ; homme
don.n 196 :: sacrer ; spécial ; cadeau ; con ; vraiment ; sacrement ; dom ; divin ; extraordinaire ; priver
don.n 244 :: cadeau ; soutien ; bon ; geste ; parrainage ; legs ; généreux ; présent ; service ; petit
don.n 245 :: trésor ; reste ; travail ; témoignage ; site ; tombeau ; découverte ; objet ; bijou ; apport
entraîner.v 39 :: air ; art ; aide ; international ; externe ; étranger ; étymologie ; origine ; clip ; image
entraîner.v 47 :: aide ; obliger ; aider ; invite ; encourager ; inciter ; amener ; engager ; pousse ; contraindre
entraîner.v 55 :: clip ; aide ; italien ; international ; air ; actuel ; or ; image ; interne ; art
entraîner.v 57 :: or ; international ; air ; écran ; anglais ; histoire ; utilisateur ; ensemble ; effectif ; image
entraîner.v 133 :: air ; image ; ancien ; interne ; animal ; aide ; clip ; art ; heureux ; eau
entraîner.v 140 :: amener ; mener ; conduire ; pousser ; envoyer ; attirer ; faire ; porter ; emporter ; mettre
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; force ; amener ; appeler ; exhorter ; inciter
entraîner.v 161 :: provoquer ; nécessairement ; engendrer ; créer ; apparaître ; conduire ; induire ; peut-être ; éventuellement ; inévitablement
entraîner.v 162 :: amener ; provoquer ; encourager ; assurer ; engendrer ; conduire ; actif ; déclenche ; accentuer ; favoriser
entraîner.v 191 :: emporter ; conduire ; attirer ; amener ; abandonner ; engager ; traîner ; précipiter ; envoyer ; emmener
éplucher.v 10 :: peler ; carotte ; nettoyer ; finement ; économe ; échalote ; laver ; oignon ; également ; hache
éplucher.v 51 :: accès ; lire ; trouver ; regarder ; examiner ; travailler ; écrire ; consulter ; étudier ; besoin
éplucher.v 69 :: soigneusement ; minutieusement ; scrupuleusement ; lire ; faire ; systématiquement ; attentivement ; examiner ; rigoureusement ; rapidement
éplucher.v 100 :: éplucher ; récolter ; laver ; mûr ; peler ; retourner ; écraser ; nettoyer ; grossièrement ; finement
éplucher.v 119 :: éplucher ; soigneusement ; fouillé ; minutieusement ; attentivement ; récolter ; allègrement ; parcourir ; patiemment ; largement
éplucher.v 167 :: oublier ; poireau ; eau ; laver ; faire ; fleur ; mettre ; graine ; garder ; laisser
éplucher.v 174 :: peler ; faire ; couper ; passer ; trancher ; lire ; détailler ; découper ; tailler ; acheter
éplucher.v 235 :: peler ; pomme ; patate ; carotte ; couper ; banane ; oignon ; orange ; faire ; courgette
éplucher.v 236 :: récolter ; éplucher ; collecter ; aller ; fouillé ; filer ; chercher ; dénicher ; regarder ; balancer
éplucher.v 258 :: peler ; laver ; passer ; tailler ; oignon ; finement ; presser ; trancher ; nettoyer ; égoutter
espace.n 13 :: international ; or ; origine ; accueil ; ensemble ; énergie ; art ; ouverture ; établissement ; ici
espace.n 27 :: air ; or ; international ; obliger ; eau ; afghan ; étymologie ; actuel ; art ; énergie
espace.n 79 :: lieu ; idéal ; ensemble ; dimension ; temps ; cadre ; environnement ; support ; agréable ; zone
espace.n 120 :: air ; article ; ajouter ; animal ; énergie ; excellent ; être ; aide ; aimer ; habitude
espace.n 137 :: environnement ; information ; enseignement ; investissement ; développement ; instrument ; entreprise ; emplacement ; emploi ; marché
espace.n 142 :: air ; actuel ; international ; ancien ; afghan ; éternel ; énergie ; image ; art ; aide
espace.n 180 :: vide ; grand ; texte ; profond ; nouveau ; temps ; local ; important ; présent ; petit
espace.n 208 :: ancien ; article ; entreprise ; institution ; international ; dernier ; innombrable ; administration ; état ; université
espace.n 229 :: événement ; aménagement ; propre ; investissement ; développement ; service ; petit ; environnement ; projet ; talent
espace.n 243 :: article ; coin ; ensemble ; lien ; compte ; ligne ; écran ; enfant ; site ; page
essuyer.v 11 :: essuyer ; laver ; retirer ; enlever ; changer ; faire ; passer ; préparer ; nettoyer ; rincer
essuyer.v 58 :: essuie ; subir ; déjà ; durement ; régulièrement ; également ; malheureusement ; ici ; constamment ; pourtant
essuyer.v 77 :: essuie ; éponge ; larme ; laver ; faire ; rentrer ; verse ; tremper ; avoir ; arrière
essuyer.v 81 :: ch ; an ; li ; lin ; ph ; être ; in ; jour ; ra ; rire
essuyer.v 86 :: presque ; passer ; assurer ; tenir ; continuer ; essuie ; laisse ; assumer ; assister ; donne
essuyer.v 89 :: subir ; recevoir ; rencontrer ; opposer ; constater ; essuie ; accuser ; annoncer ; face ; frapper
essuyer.v 98 :: faire ; encaisser ; gagner ; recevoir ; voir ; perdre ; prendre ; acheter ; utiliser ; souffrir
essuyer.v 166 :: laver ; main ; égoutter ; olive ; nettoyer ; rincer ; retirer ; lèvre ; sécher ; appliquer
essuyer.v 215 :: subir ; accumuler ; essuie ; enchaîner ; cumulé ; déjà ; recevoir ; enregistrer ; récolter ; succéder
essuyer.v 266 :: retirer ; enlever ; éviter ; observer ; verser ; laisser ; fermer ; veiller ; couvrir ; apporter
faucher.v 12 :: passer ; déjà ; presque ; bohème ; fille ; volée ; publier ; bientôt ; foulée ; vie
faucher.v 42 :: mieux ; découverte ; également ; peut-être ; déjà ; davantage ; ajouter ; récolter ; vraiment ; finalement
faucher.v 116 :: abattre ; dépouiller ; attaquer ; pousser ; travailler ; illégalement ; écraser ; dévaster ; voler ; détruire
faucher.v 160 :: séparer ; coûter ; atteindre ; malheureux ; sortir ; être ; capture ; tombe ; parvenir ; arrêter
faucher.v 214 :: vision ; mont ; tête ; vie ; loi ; jour ; grand ; té ; main ; propre
faucher.v 239 :: acheter ; entamer ; jamais ; servir ; jeter ; vide ; trouver ; déjà ; presque ; être
faucher.v 248 :: ligne ; papier ; peinture ; construction ; presque ; dernier ; professionnel ; organique ; poursuivre ; financement
faucher.v 276 :: abattre ; couper ; planter ; récolter ; semer ; greffer ; arracher ; tailler ; pousser ; piquer
faucher.v 282 :: passer ; piqu ; ben ; fa ; lancer ; julien ; falloir ; balle ; foncer ; carreau
faucher.v 290 :: bêtement ; grièvement ; presque ; peut-être ; gravement ; blesser ; volontairement ; sauvagement ; péniblement ; légèrement
fonder.v 6 :: créer ; diriger ; organiser ; fondre ; former ; installer ; développer ; lancer ; bâtir ; rejoindre
fonder.v 7 :: motiver ; force ; expliquer ; porte ; marque ; forme ; guide ; appuyer ; sous-tendre ; justifier
fonder.v 54 :: trouver ; puiser ; base ; prendre ; gagner ; construire ; tenir ; tire ; garde ; retrouver
fonder.v 66 :: créer ; installer ; commencer ; forme ; fondation ; composer ; organiser ; formule ; développer ; ouvrir
fonder.v 88 :: installer ; ouvrir ; trouver ; créer ; forme ; ferme ; fondation ; dot ; serment ; centre
fonder.v 93 :: forme ; traverser ; base ; construire ; assurer ; constituer ; appuyer ; définir ; porte ; engager
fonder.v 158 :: base ; repose ; bâtir ; forge ; fond ; focaliser ; appuyer ; fonctionner ; construire ; joue
fonder.v 212 :: faire ; former ; bâtir ; créer ; fondre ; constituer ; fabriquer ; fondation ; instaurer ; forger
fonder.v 264 :: vraiment ; base ; définir ; solide ; bâtir ; force ; constituer ; construire ; appuyer ; forme
fonder.v 286 :: ferme ; réunir ; forme ; anime ; fabrique ; compte ; créer ; ouvrir ; force ; diriger
grossier.a 24 :: complet ; stupide ; grave ; courant ; simple ; flagrant ; total ; évident ; clair ; amusant
grossier.a 37 :: avancer ; élégant ; fin ; vulgaire ; malhonnête ; subtil ; facile ; habile ; sophistiquer ; vil
grossier.a 85 :: tendre ; vulgaire ; dur ; amical ; lâche ; vicieux ; violent ; méchant ; agressif ; poli
grossier.a 108 :: fin ; épais ; organique ; délicat ; profond ; pauvre ; primitif ; étranger ; indigène ; léger
grossier.a 134 :: subtil ; léger ; gros ; petit ; maladroit ; fin ; bon ; grave ; mauvais ; cruel
grossier.a 179 :: gros ; énième ; véritable ; sérieux ; flagrant ; grand ; prétendre ; évident ; vague ; immonde
grossier.a 227 :: porno ; sexuel ; vidéo ; piège ; faux ; hypocrite ; simple ; rapport ; site ; vicieux
grossier.a 228 :: témoignage ; papier ; sens ; mensonge ; visage ; billet ; policier ; compte ; sentiment ; discours
grossier.a 231 :: humain ; vulgaire ; commune ; superficiel ; commettre ; indigne ; bourgeois ; public ; inférieur ; faire
grossier.a 300 :: stupide ; faire ; répéter ; féroce ; vulgaire ; indigne ; régulier ; incessant ; semblable ; digne
hermétique.a 203 :: priori ; mathématique ; magique ; philo ; obscur ; oriental ; théologique ; mystérieux ; théorique ; religieux
hermétique.a 71 :: secret ; confidentiel ; opaque ; mystérieux ; fermer ; discret ; mécanique ; étanche ; obscur ; énigmatique
hermétique.a 99 :: fermer ; sceller ; conserve ; plastique ; étanche ; garnir ; chinois ; individuel ; congélation ; intérieur
hermétique.a 126 :: étanche ; pierre ; colle ; devenir ; rester ; paroi ; solide ; forme ; mur ; armure
hermétique.a 127 :: étanche ; imperméable ; froid ; secret ; rigide ; élitiste ; fermé ; étroit ; politique ; définitif
hermétique.a 220 :: face ; fort ; parfaitement ; totalement ; complètement ; profondément ; message ; sens ; presque ; également
hermétique.a 226 :: pierre ; chose ; solide ; fermeture ; pourtant ; page ; barrière ; cadenas ; coin ; côté
hermétique.a 261 :: étanche ; opaque ; audible ; incompréhensible ; éloquer ; subtil ; explicite ; discret ; sourd ; magique
hermétique.a 278 :: alimentaire ; solide ; parfaitement ; entièrement ; totalement ; secret ; blanc ; plastique ; complètement ; presque
hermétique.a 204 :: déjà ; donnée ; presque ; quasi ; complètement ; obscur ; totalement ; rester ; parfaitement ; priori
incorrect.a 45 :: approprier ; adapter ; actif ; adéquat ; opportun ; cohérent ; correct ; estimer ; adaptation ; humaine
incorrect.a 125 :: naître ; visiblement ; complètement ; ante ; ent ; us ; humaine ; der ; audible ; in
incorrect.a 132 :: radio ; côté ; mois ; haut ; an ; second ; cours ; jour ; cas ; miss
incorrect.a 156 :: criminel ; pénal ; juger ; faute ; politique ; in ; apparemment ; hautement ; humaine ; judiciaire
incorrect.a 159 :: transposition ; application ; pratique ; interprétation ; utilisation ; exécution ; infraction ; évaluation ; traduction ; réalisation
incorrect.a 177 :: erroné ; précis ; correct ; aléatoire ; arbitraire ; prédéterminer ; automatique ; ridicule ; régulier ; déraisonnable
incorrect.a 217 :: politiquement ; négativement ; stupide ; ici ; inutile ; superflu ; intéressant ; mal ; socialement ; au
incorrect.a 241 :: naître ; visiblement ; également ; aire ; actuellement ; immédiatement ; complètement ; lité ; sensiblement ; vraiment
incorrect.a 298 :: déçu ; maladroit ; décevant ; ridicule ; dangereux ; évident ; efficace ; vrai ; impressionnant ; inutile
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; saisir ; transmettre ; financier ; donnée ; opérationnel ; identifiabler ; effacer
intérêt.n 63 :: argument ; sentiment ; avis ; opinion ; idée ; caractère ; objectif ; élément ; raison ; valeur
intérêt.n 97 :: audiovisuelle ; effectif ; international ; opinion ; audiovisuel ; institution ; aimable ; excellent ; assemblée ; article
intérêt.n 129 :: air ; or ; externe ; art ; efficace ; ensemble ; aide ; étymologie ; énergie ; irréversible
intérêt.n 146 :: or ; air ; image ; art ; aide ; international ; éternel ; évolution ; actuel ; ensemble
intérêt.n 155 :: article ; international ; instrument ; information ; énergie ; air ; ancien ; utilisateur ; aide ; état
intérêt.n 218 :: intéressant ; avantage ; côté ; important ; attrer ; principal ; utilité ; enseignement ; élément ; double
intérêt.n 263 :: étymologie ; air ; adjectif ; effectif ; art ; éventuel ; étroit ; aide ; apercevoir ; alpha
intérêt.n 268 :: international ; alpha ; air ; incessant ; nouveau ; audiovisuelle ; permanent ; adjectif ; interne ; étymologie
intérêt.n 271 :: être ; exemple ; éventuel ; air ; instant ; habituel ; actuel ; article ; us ; étape
intérêt.n 297 :: air ; guide ; clip ; aide ; animal ; art ; externe ; propre ; voyage ; énergie
interpréter.v 18 :: chanter ; interprétation ; arranger ; enregistrer ; jouer ; reprendre ; imaginer ; aborder ; incorporer ; offrir
interpréter.v 21 :: jouer ; arranger ; écouter ; enregistrer ; chanter ; reprendre ; composant ; produire ; répéter ; publier
interpréter.v 59 :: expliquer ; inverser ; largement ; comprendre ; penser ; mieux ; mal ; différemment ; clairement ; également
interpréter.v 80 :: air ; étroit ; effectif ; apercevoir ; cor ; alpha ; incessant ; international ; art ; illustre
interpréter.v 123 :: usage ; indispensable ; immigré ; or ; étymologie ; habituel ; immigration ; alpha ; irremplaçable ; étroit
interpréter.v 128 :: joue ; incarner ; tenir ; interprétation ; assurer ; camper ; prendre ; ici ; jouer ; occuper
interpréter.v 157 :: traite ; joue ; interprétation ; assurer ; écrire ; recevoir ; traduire ; imaginer ; écoute ; conduire
interpréter.v 260 :: interprétation ; expliquer ; comprendre ; faire ; traduire ; analyser ; pouvoir ; décrypter ; correctement ; ensuite
interpréter.v 267 :: interprétation ; observer ; évaluer ; attribuer ; comprendre ; considérer ; définir ; écrire ; percevoir ; aménager
interpréter.v 289 :: jouer ; imaginer ; incarner ; chanter ; animé ; dansé ; orchestré ; présenter ; offrir ; initier
maintenir.v 94 :: apprendre ; ajouter ; déclarer ; préciser ; montrer ; écrire ; affirmer ; enseigner ; rappeler ; entendre
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; signaler ; identifier ; ajouter ; trouver ; placer
maintenir.v 154 :: garder ; observer ; fermement ; assurer ; renforcer ; conserver ; également ; demeurer ; soutenir ; maintien
maintenir.v 175 :: préserver ; maintien ; garder ; conserver ; entretenir ; demeurer ; perpétuer ; retenir ; soutenir ; conforter
maintenir.v 183 :: garder ; conserver ; favoriser ; garantir ; préserver ; assurer ; entretenir ; mettre ; vivre ; créer
maintenir.v 207 :: demeurer ; préserver ; maintien ; garder ; conserver ; soutenir ; réintégrer ; rester ; retenir ; côtoyer
maintenir.v 230 :: transport ; compagnie ; participation ; famille ; rivière ; louis ; pari ; enfant ; université ; fils
maintenir.v 234 :: soutenir ; réaffirmer ; rappeler ; estime ; souhaiter ; prévoir ; vouloir ; considérer ; ajouter ; confirmer
maintenir.v 251 :: tenir ; réitérer ; confirmer ; réaffirmer ; conserve ; répéter ; renouveler ; soutenir ; reprendre ; appuyer
maintenir.v 281 :: léger ; tan ; main ; force ; jean ; robin ; dent ; in ; art ; gage
mince.a 17 :: fin ; épais ; léger ; tendre ; lisse ; souple ; large ; maigre ; dur ; rigide
mince.a 96 :: fin ; épais ; régulier ; grossier ; léger ; continuer ; uniforme ; sec ; supérieur ; humide
mince.a 147 :: maigre ; bel ; linéaire ; bon ; inexistant ; tendre ; moyen ; peut-être ; fin ; vraiment
mince.a 170 :: fin ; léger ; légèrement ; maigre ; également ; santé ; être ; rendez-vous ; ami ; ben
mince.a 192 :: petit ; fin ; double ; minuscule ; simple ; large ; épais ; gros ; menu ; mobile
mince.a 202 :: fin ; léger ; petit ; couche ; dernier ; nouveau ; épais ; couverture ; pellicule ; papier
mince.a 213 :: léger ; petit ; maigre ; fin ; court ; tendre ; doux ; large ; épais ; dur
mince.a 225 :: fin ; également ; presque ; arrière ; déjà ; peut-être ; élégant ; avantage ; entraînement ; fois
mince.a 242 :: presque ; vraiment ; moyen ; fort ; déjà ; extrêmement ; légèrement ; voire ; infiniment ; petit
mince.a 292 :: fin ; continuer ; double ; interne ; épais ; actif ; électronique ; invisible ; externe ; léger
modeste.a 29 :: humble ; petit ; minuscule ; grand ; pauvre ; vaste ; immense ; logement ; cadre ; faible
modeste.a 114 :: humble ; petit ; pauvre ; vivant ; bon ; léger ; discret ; honnête ; simple ; jeune
modeste.a 121 :: petit ; faible ; réduire ; dérisoire ; minuscule ; important ; timide ; maigre ; limité ; minime
modeste.a 163 :: minime ; limité ; spectaculaire ; important ; petit ; léger ; personnel ; significatif ; faible ; récent
modeste.a 195 :: petit ; légèrement ; bourgeois ; matériel ; être ; minime ; réduire ; simple ; nombre ; relatif
modeste.a 197 :: rémunération ; salaire ; revenu ; demeurer ; être ; dirigeant ; chiffre ; calcul ; cotisation ; indemnité
modeste.a 200 :: limité ; temps ; budget ; petit ; réduire ; faible ; simple ; prudent ; moyen ; mesure
modeste.a 246 :: élevé ; important ; léger ; faible ; économique ; marchand ; petit ; négligeable ; raisonnable ; moindre
modeste.a 269 :: humble ; digne ; petit ; jeune ; noble ; pauvre ; misérable ; honnête ; malheureux ; pieux
modeste.a 283 :: humble ; discret ; poli ; simple ; digne ; sobre ; efficace ; propre ; confidentiel ; parfait
montée.n 15 :: ara ; tantôt ; également ; an ; amie ; proche ; légèrement ; déjà ; compère ; continuellement
montée.n 56 :: partie ; hausse ; pente ; montagne ; augmentation ; poussée ; descente ; chute ; ligne ; question
montée.n 75 :: descente ; suite ; terrasse ; monte ; balade ; conduite ; promotion ; côte ; journée ; promenade
montée.n 138 :: gestion ; performance ; hausse ; puissance ; évolution ; complexité ; vie ; poussée ; transformation ; construction
montée.n 141 :: hausse ; monte ; mise ; réduction ; descente ; transformation ; croissance ; chute ; baisse ; poussée
