affection.n 8 :: maladie ; dernier ; institution ; famille ; amitié ; mort ; affectation ; adoption ; occasion ; opinion
arrêter.v 277 :: or ; os ; in ; article ; an ; if ; out ; ail ; avoir ; ensemble
arrêter.v 291 :: publier ; proposer ; émettre ; fixer ; décider ; adopter ; délivrer ; établir ; signer ; accorder
capacité.n 26 :: faculté ; disponibilité ; puissance ; flexibilité ; force ; capable ; rapidité ; performance ; vitesse ; possibilité
capacité.n 32 :: puissance ; chaîne ; force ; propriété ; possibilité ; tête ; quantité ; réserve ; activité ; différence
capacité.n 35 :: maîtrise ; clinique ; spécialisation ; formation ; licence ; expertise ; activité ; réponse ; résidence ; année
capacité.n 70 :: puissance ; consommation ; fréquentation ; productivité ; production ; surface ; performance ; rentabilité ; disponibilité ; hauteur
capacité.n 73 :: faculté ; compétence ; détermination ; aptitude ; souplesse ; force ; responsabilité ; résilience ; dimension ; disponibilité
capacité.n 101 :: faculté ; qualité ; compétence ; puissance ; pouvoir ; fonction ; force ; liberté ; propre ; vie
capacité.n 103 :: ressource ; disponibilité ; réserve ; activité ; installation ; possibilité ; production ; base ; dépense ; batterie
capacité.n 110 :: possibilité ; quantité ; extension ; somme ; participation ; disponibilité ; puissance ; batterie ; solution ; limite
capacité.n 135 :: faculté ; puissance ; possibilité ; force ; potentiel ; pouvoir ; limite ; propre ; marge ; résilience
capacité.n 148 :: maîtrise ; licence ; formation ; spécialisation ; certification ; qualification ; maturité ; compétence ; mention ; recherche
commander.v 5 :: écrire ; dicter ; donner ; signer ; vouloir ; publier ; accomplir ; exécuter ; fournir ; réaliser
commander.v 9 :: commander ; commencer ; rapidement ; ensuite ; acheter ; simplement ; demander ; créer ; ajouter ; réserver
commander.v 16 :: diriger ; ordonner ; combat ; mener ; commanda ; recevoir ; charge ; consigne ; signe ; supervise
commander.v 41 :: choisir ; faire ; effectuer ; commencer ; voir ; réaliser ; décider ; suivre ; obtenir ; définir
commander.v 48 :: diriger ; dominer ; contrôlent ; gouverner ; régir ; représenter ; constituer ; composer ; soutenir ; former
commander.v 117 :: commande ; dicter ; prescrire ; conseillent ; ordonner ; commandement ; commanda ; demander ; commandant ; enjoindre
commander.v 164 :: dicter ; ordonner ; ment ; donne ; commanda ; agir ; demande ; enseigne ; imposer ; commandant
commander.v 171 :: acheter ; réserver ; acquérir ; commande ; commencer ; ouvrir ; admirer ; essayer ; offrir ; voir
commander.v 206 :: vouloir ; tandis ; prévoir ; souhaiter ; permettre ; venir ; expliquer ; assurer ; veille ; signifier
commander.v 240 :: uniquement ; simplement ; également ; voire ; mieux ; davantage ; faire ; commande ; visualiser ; bientôt
compris.a 52 :: assimiler ; prise ; parfaitement ; accepter ; vite ; expliquer ; bon ; contenue ; facilement ; entendre
compris.a 90 :: penser ; trouver ; savoir ; apprendre ; reconnaître ; réaliser ; croire ; convaincre ; saisir ; estimer
compris.a 106 :: deviner ; entendre ; penser ; comprendre ; expliquer ; vous ; sentir ; remarquer ; croire ; arriver
compris.a 185 :: inclure ; présent ; chose ; contenir ; nécessaire ; produit ; article ; participation ; découvrir ; également
compris.a 186 :: inclure ; entendre ; également ; ordre ; usage ; partout ; ici ; fois ; donner ; chose
compris.a 187 :: inclure ; situer ; contenu ; estimer ; prendre ; compter ; fixer ; croire ; définir ; généralement
compris.a 211 :: largement ; idéalement ; situer ; parfaitement ; bon ; nettement ; maximal ; minimum ; sec ; élevé
compris.a 232 :: inclure ; également ; prendre ; contenu ; compter ; intégré ; inclus ; généralement ; comprendre ; prix
compris.a 272 :: saisir ; penser ; capter ; comprendre ; réaliser ; croire ; savoir ; deviner ; apprendre ; percevoir
compris.a 287 :: intégré ; saisir ; deviner ; assimiler ; savoir ; apprendre ; capter ; comprendre ; adopter ; percevoir
couverture.n 65 :: dernier ; moitié ; numéro ; rédaction ; page ; partie ; conclusion ; manchette ; dossier ; suite
couverture.n 67 :: vie ; peau ; réputation ; tête ; couronne ; mort ; carrière ; gloire ; chance ; veste
couverture.n 72 :: traire ; toiture ; ligne ; dessin ; dossier ; sol ; terrasse ; housse ; véranda ; bibliothèque
couverture.n 143 :: éditorial ; conclusion ; page ; vignette ; milieu ; kiosque ; manchette ; tête ; fin ; titre
couverture.n 149 :: protection ; sécurité ; vie ; couvert ; gestion ; responsabilité ; loi ; connaissance ; garantie ; défense
couverture.n 150 :: toiture ; couvrir ; charpente ; voûte ; décoration ; voil ; protection ; flèche ; construction ; enveloppe
couverture.n 201 :: surveillance ; sécurité ; protection ; gestion ; transformation ; couvrir ; convergence ; pénétration ; connaissance ; desserte
couverture.n 257 :: construction ; base ; toiture ; remplacement ; protection ; remplissage ; production ; développement ; sécurité ; qualité
couverture.n 265 :: couvrir ; serviette ; véranda ; housse ; douche ; cuvette ; protection ; bibliothèque ; corde ; voil
couverture.n 280 :: peau ; protection ; couvrir ; plume ; nouveau ; bon ; lune ; carte ; couette ; photo
débit.n 64 :: bancaire ; commerce ; réel ; banque ; automatique ; vente ; direct ; escompte ; taux ; dépôt
débit.n 87 :: taux ; montant ; traitement ; accès ; rythme ; chargement ; transfert ; temps ; jus ; service
débit.n 115 :: niveau ; cours ; flux ; volume ; écoulement ; flot ; bassin ; rythme ; normal ; taux
débit.n 131 :: moyen ; naturel ; principal ; flux ; intermédiaire ; produit ; prélèvement ; rejet ; courant ; cours
débit.n 136 :: apport ; cours ; poids ; flux ; volume ; moyen ; effectif ; eau ; besoin ; niveau
débit.n 168 :: automatique ; carte ; rapide ; cours ; moyen ; faciliter ; ordre ; montant ; compte ; détail
débit.n 169 :: niveau ; cours ; montant ; poids ; nombre ; résultat ; chiffre ; volume ; rythme ; taux
débit.n 184 :: taux ; maximum ; vitesse ; support ; potentiel ; record ; rendement ; score ; gain ; rythme
débit.n 188 :: flux ; ruisseau ; apport ; rejet ; cours ; affluent ; volume ; courant ; débordement ; torrent
débit.n 205 :: flux ; rythme ; lent ; normal ; moyen ; régulier ; temps ; faible ; gros ; cardiaque
direction.n 78 :: conduite ; responsabilité ; coordination ; directrice ; diriger ; critique ; présidence ; maîtrise ; réalisation ; houlette
direction.n 111 :: orientation ; organisation ; présidence ; tendance ; ligne ; tête ; coordination ; directrice ; équipe ; international
direction.n 151 :: directeur ; directrice ; équipe ; responsable ; management ; responsabilité ; nouveau ; présidence ; gestion ; rédaction
direction.n 152 :: orientation ; ligne ; conduite ; tendance ; droite ; constant ; loi ; directrice ; tension ; courbe
direction.n 172 :: traverser ; quitte ; rejoindre ; remonter ; gagner ; forme ; file ; direct ; retrouver ; destination
direction.n 176 :: conduite ; contrôle ; main ; directeur ; interne ; dirigeant ; dominant ; gestionnaire ; commande ; diriger
direction.n 199 :: rédaction ; délégation ; présidence ; fédération ; commission ; secrétaire ; directrice ; société ; conduite ; presse
direction.n 223 :: nouveau ; constant ; conduite ; musical ; responsabilité ; régulier ; double ; étroit ; bon ; diriger
direction.n 262 :: responsabilité ; directrice ; gestion ; directeur ; présidence ; conduite ; stratégie ; diriger ; coordination ; défense
direction.n 279 :: venir ; sens ; provenance ; destination ; raison ; région ; face ; revenir ; faveur ; fonction
don.n 19 :: talent ; sens ; souci ; style ; pouvoir ; droit ; doué ; besoin ; désir ; génie
don.n 30 :: talent ; pouvoir ; point ; qualité ; fonds ; faculté ; grâce ; trésor ; enfant ; signe
don.n 36 :: cadeau ; legs ; droit ; bon ; double ; signe ; souher ; dom ; sens ; pouvoir
don.n 60 :: cadeau ; commerce ; produit ; offrir ; livre ; objet ; bon ; geste ; sacrifice ; accueil
don.n 84 :: cadeau ; contribution ; produit ; apport ; achat ; déchet ; crédit ; transfert ; fonds ; avantage
don.n 107 :: cadeau ; présent ; part ; grâce ; preuve ; signe ; sacrifice ; geste ; offrir ; legs
don.n 130 :: enfant ; fonds ; bénéficiaire ; pauvre ; contribution ; homme ; cadeau ; généreux ; lecteur ; ami
don.n 196 :: génie ; talent ; trésor ; secret ; droit ; truc ; pouvoir ; traitement ; qualité ; dan
don.n 244 :: cadeau ; versement ; geste ; legs ; soutien ; mécénat ; transfert ; bon ; chèqu ; contribution
don.n 245 :: travail ; témoignage ; talent ; miracle ; ouvrage ; cadeau ; nom ; apport ; acte ; rôle
entraîner.v 39 :: art ; or ; aide ; image ; éternel ; international ; air ; animal ; ici ; aller
entraîner.v 47 :: amener ; aider ; engager ; conduire ; obliger ; encourager ; inciter ; apprendre ; pousse ; impliquer
entraîner.v 55 :: or ; évolution ; aide ; clip ; ensemble ; art ; expédition ; international ; ouverture ; expérience
entraîner.v 57 :: air ; indien ; exemple ; ancien ; international ; avantage ; atlantique ; art ; afghan ; être
entraîner.v 133 :: air ; aide ; image ; ancien ; animal ; art ; interne ; ensemble ; ion ; eau
entraîner.v 140 :: envoyer ; mener ; engager ; amener ; partir ; aller ; suivre ; conduire ; attirer ; diriger
entraîner.v 144 :: invite ; avoir ; obliger ; inviter ; engager ; force ; inciter ; commencer ; amener ; appeler
entraîner.v 161 :: provoquer ; conduire ; amener ; apparaître ; engendrer ; produire ; pallier ; éviter ; induire ; expliquer
entraîner.v 162 :: provoquer ; engendrer ; induire ; déclenche ; actif ; amener ; influence ; assurer ; impliquer ; encourager
entraîner.v 191 :: emporter ; amener ; conduire ; attirer ; emmener ; précipiter ; envoyer ; apporter ; abandonner ; mener
éplucher.v 10 :: peler ; cueillir ; ire ; ouvrir ; nettoyer ; affiner ; détacher ; couper ; tailler ; sélectionner
éplucher.v 51 :: éplucher ; scrupuleusement ; attentivement ; allègrement ; soigneusement ; minutieusement ; récolter ; patiemment ; abondamment ; finement
éplucher.v 69 :: accepter ; refuser ; rejeter ; examiner ; étudier ; revoir ; avaler ; retirer ; analyser ; éliminer
éplucher.v 100 :: éplucher ; finement ; oignon ; peler ; presser ; retourner ; cuisiner ; consommer ; râper ; servir
éplucher.v 119 :: fouillé ; regarder ; parcourir ; éplucher ; lire ; survoler ; surf ; fouiller ; aller ; chercher
éplucher.v 167 :: faire ; laisser ; simplement ; ensuite ; avoir ; fois ; être ; également ; oublier ; laver
éplucher.v 174 :: page ; ensuite ; faire ; rapidement ; travers ; autant ; ici ; fois ; systématiquement ; ensemble
éplucher.v 235 :: peler ; cuire ; faire ; carotte ; couper ; pomme ; oignon ; terre ; égoutter ; presser
éplucher.v 236 :: éplucher ; récolter ; côté ; gros ; déjà ; devoir ; bon ; joli ; terre ; soigneusement
éplucher.v 258 :: peler ; faire ; conserver ; déguster ; manger ; préparer ; légume ; cuire ; accompagner ; égoutter
espace.n 13 :: international ; air ; or ; exploitation ; établissement ; introduction ; avantage ; effet ; énergie ; avis
espace.n 27 :: antique ; or ; an ; optique ; air ; ancien ; ensemble ; eau ; actuel ; art
espace.n 79 :: emplacement ; office ; zone ; ensemble ; option ; outil ; module ; environnement ; coin ; service
espace.n 120 :: air ; article ; apercevoir ; énergie ; être ; ancien ; étroit ; étranger ; international ; heureux
espace.n 137 :: environnement ; information ; propriété ; emplacement ; entreprise ; développement ; organisation ; enseignement ; marché ; investissement
espace.n 142 :: air ; art ; international ; externe ; interne ; aide ; or ; audiovisuelle ; étymologie ; alpha
espace.n 180 :: lien ; relation ; temps ; lieu ; rapport ; information ; échange ; distance ; intervalle ; interaction
espace.n 208 :: ancien ; innombrable ; excellent ; instrument ; appareil ; énorme ; étroit ; éventuel ; important ; enseignant
espace.n 229 :: développement ; événement ; aménagement ; service ; petit ; environnement ; investissement ; propre ; produit ; projet
espace.n 243 :: article ; coin ; ensemble ; temps ; rôle ; emplacement ; droit ; place ; jeu ; siège
essuyer.v 11 :: laver ; rincer ; faire ; essuyer ; désinfection ; retirer ; enlever ; bain ; remplir ; avoir
essuyer.v 58 :: subir ; recevoir ; rencontrer ; essuie ; avoir ; constater ; palier ; affronter ; enregistrer ; causer
essuyer.v 77 :: essuie ; venir ; ment ; blanc ; lav ; ensuite ; doucement ; laisse ; sec ; laisser
essuyer.v 81 :: ra ; ment ; ch ; lait ; être ; avoir ; essuie ; ré ; er ; presque
essuyer.v 86 :: presque ; tenir ; quasi ; quasiment ; pratiquement ; obtenir ; entendre ; tenue ; lire ; passer
essuyer.v 89 :: annoncer ; constater ; subir ; accuser ; opposer ; exprimer ; recevoir ; rencontrer ; afficher ; essuie
essuyer.v 98 :: faire ; encaisser ; recevoir ; prendre ; voir ; utiliser ; subir ; manger ; gagner ; regretter
essuyer.v 166 :: main ; cheveu ; feuille ; appliquer ; os ; sécher ; graine ; vêtement ; animal ; nettoyer
essuyer.v 215 :: recevoir ; accumuler ; subir ; cumulé ; enchaîner ; recueillir ; déjà ; connaître ; récolter ; annoncer
essuyer.v 266 :: abondamment ; ensuite ; soigneusement ; ensemble ; attention ; avoir ; laver ; face ; régulièrement ; er
faucher.v 12 :: briser ; tuer ; agresser ; déposer ; projeter ; jeter ; abattre ; assassiner ; écraser ; violemment
faucher.v 42 :: dernier ; donnée ; personne ; premier ; petit ; garde ; nouveau ; publication ; produit ; plante
faucher.v 116 :: pousser ; semer ; allègrement ; joyeusement ; grossièrement ; presque ; finement ; abattre ; péniblement ; dévaster
faucher.v 160 :: blesser ; temps ; côté ; blessé ; lancer ; dernier ; armée ; piqu ; face ; but
faucher.v 214 :: extrêmement ; travailler ; presque ; autant ; grand ; fort ; parfaitement ; faire ; propre ; pierre
faucher.v 239 :: presque ; servir ; trouver ; acheter ; grièvement ; volée ; retrouver ; jeter ; mise ; tuer
faucher.v 248 :: laisse ; taire ; abattre ; blesse ; marque ; tombe ; brise ; capture ; arrêter ; dépouille
faucher.v 276 :: abattre ; semer ; couper ; pousser ; arracher ; récolter ; greffer ; planter ; reconnaître ; cueillir
faucher.v 282 :: porte ; trouver ; julien ; préférer ; pointe ; martial ; lancer ; centre ; convier ; nouveau
faucher.v 290 :: pascal ; noël ; an ; fatal ; lin ; main ; tian ; fa ; parer ; der
fonder.v 6 :: fondre ; créer ; bâtir ; instaurer ; préside ; développer ; établir ; inaugurer ; installer ; constituer
fonder.v 7 :: sous-tendre ; appuyer ; motiver ; constituer ; expliquer ; base ; conditionne ; caractériser ; justifier ; guide
fonder.v 54 :: base ; construire ; trouver ; appuyer ; bâtir ; gagner ; tire ; assurer ; marque ; tenir
fonder.v 66 :: ensuite ; li ; an ; communauté ; père ; ici ; frère ; kan ; monastère ; in
fonder.v 88 :: créer ; finance ; ouvrir ; intégrer ; fond ; inaugurer ; ferme ; forme ; diriger ; développer
fonder.v 93 :: traverser ; définir ; force ; forme ; marque ; constituer ; valide ; caractériser ; conditionne ; appuyer
fonder.v 158 :: base ; focaliser ; bâtir ; repose ; baser ; forge ; cale ; situer ; fonctionner ; faire
fonder.v 212 :: créer ; former ; faire ; fondre ; constituer ; fabriquer ; contracter ; fondation ; bâtir ; composer
fonder.v 264 :: motiver ; force ; définir ; constituer ; base ; vraiment ; bâtir ; solide ; faire ; justifier
fonder.v 286 :: compte ; fabrique ; créer ; ferme ; forme ; réunir ; diriger ; fond ; forge ; développer
grossier.a 24 :: complet ; flagrant ; simple ; total ; courant ; ridicule ; fin ; radical ; formel ; évident
grossier.a 37 :: avancer ; complexe ; complet ; répandre ; sophistiquer ; fréquent ; élevé ; vicieux ; subtil ; parfait
grossier.a 85 :: violent ; tendre ; lâche ; brutal ; vicieux ; rude ; vulgaire ; cruel ; dangereux ; féroce
grossier.a 108 :: fin ; profond ; épais ; calcaire ; noir ; dense ; local ; supérieur ; bitumineux ; minéral
grossier.a 134 :: lourd ; grave ; méchant ; léger ; évident ; flagrant ; gros ; vulgaire ; noir ; mauvais
grossier.a 179 :: propagande ; impression ; diffusion ; publicité ; information ; réalité ; télévision ; analyse ; copie ; parodie
grossier.a 227 :: poli ; agressif ; vulgaire ; arrogant ; prétentieux ; maladroit ; simpliste ; hypocrite ; sexiste ; superficiel
grossier.a 228 :: caractère ; signe ; mot ; mensonge ; passage ; signal ; trait ; faux ; commentaire ; article
grossier.a 231 :: vulgaire ; matériel ; terrestre ; profond ; humain ; ordinaire ; superficiel ; facile ; mécanique ; extérieur
grossier.a 300 :: faute ; erreur ; chose ; lacune ; faiblesse ; image ; remarque ; défaut ; plaisanterie ; imprécision
hermétique.a 203 :: obscur ; familier ; opaque ; mystérieux ; partiel ; problématique ; pointue ; inquiétant ; donnée ; rester
hermétique.a 71 :: étanche ; fermer ; opaque ; confidentiel ; mécanique ; secret ; mystérieux ; implacable ; efficace ; défensif
hermétique.a 99 :: forme ; contenir ; fermer ; sceller ; plastique ; petit ; individuel ; verre ; conserve ; compact
hermétique.a 126 :: réfractaire ; étanche ; imperméable ; dépendre ; insensible ; tomber ; perméable ; allergique ; fermer ; sensible
hermétique.a 127 :: élitiste ; social ; secret ; froid ; rigide ; religieux ; universitaire ; fermé ; noir ; étanche
hermétique.a 220 :: étancher ; presque ; fermer ; naturellement ; quasi ; forcément ; clos ; totalement ; parfaitement ; vraiment
hermétique.a 226 :: insensible ; réfractaire ; fermer ; imperméable ; indifférent ; sourd ; aveugle ; allergique ; habituer ; hostile
hermétique.a 261 :: incompréhensible ; magique ; comique ; ridicule ; opaque ; fou ; muet ; éloquer ; automatique ; audible
hermétique.a 278 :: solide ; blanc ; interne ; alimentaire ; plastique ; fermé ; entièrement ; chimique ; noir ; secret
hermétique.a 204 :: sceller ; porte ; fragile ; magique ; ultime ; manuscrit ; vide ; renfermer ; tique ; mystérieux
incorrect.a 45 :: opérationnel ; global ; ajouter ; technique ; intermédiaire ; comptable ; passant ; financier ; utile ; général
incorrect.a 125 :: femme ; fille ; bel ; con ; mal ; robe ; histoire ; in ; eau ; nouveau
incorrect.a 132 :: radio ; an ; mois ; côté ; cours ; haut ; second ; également ; jour ; juge
incorrect.a 156 :: juger ; politiquement ; vraiment ; parfaitement ; également ; devenir ; généralement ; apparemment ; extrêmement ; faute
incorrect.a 159 :: utilisation ; application ; transposition ; conformité ; exécution ; applicabilité ; qualité ; exploitation ; disposition ; expérience
incorrect.a 177 :: précis ; donner ; correct ; inverse ; erroné ; ridicule ; total ; déterminer ; logique ; contraire
incorrect.a 217 :: enfant ; camping ; personnel ; être ; an ; article ; ex ; maison ; rama ; service
incorrect.a 241 :: parfaitement ; complètement ; vraiment ; presque ; totalement ; apparemment ; devenir ; rester ; juger ; malheureusement
incorrect.a 298 :: décevant ; maladroit ; injuste ; malheureux ; vrai ; ridicule ; évident ; déçu ; inefficace ; inutile
incorrect.a 299 :: personnel ; confidentiel ; saisir ; bancaire ; donnée ; transmettre ; numérique ; électronique ; financier ; identifiabler
intérêt.n 63 :: objectif ; avantage ; camp ; adversaire ; appétit ; avis ; sentiment ; ennemi ; élément ; rapport
intérêt.n 97 :: ensemble ; article ; évolution ; entier ; église ; équipe ; association ; engagement ; entreprise ; extérieur
intérêt.n 129 :: aide ; air ; énergie ; image ; art ; heureux ; étroit ; évolution ; énorme ; or
intérêt.n 146 :: image ; or ; air ; ensemble ; eau ; aide ; évolution ; actuel ; anglais ; échange
intérêt.n 155 :: nouveau ; personnel ; international ; sécurité ; européen ; secteur ; espace ; zone ; propre ; fonction
intérêt.n 218 :: avantage ; intéressant ; côté ; attrer ; importance ; utilité ; bénéfice ; enseignement ; point ; important
intérêt.n 263 :: principal ; meilleur ; nouveau ; véritable ; propre ; éventuel ; excellent ; triple ; guide ; cor
intérêt.n 268 :: aide ; or ; international ; usage ; excellent ; art ; air ; image ; actuel ; éternel
intérêt.n 271 :: être ; ouverture ; air ; objet ; enseigner ; accueil ; origine ; exemple ; ensemble ; utilisateur
intérêt.n 297 :: externe ; aide ; art ; image ; air ; international ; animal ; étymologie ; or ; arrivée
interpréter.v 18 :: chanter ; interprétation ; arranger ; jouer ; imaginer ; façonner ; reprendre ; orchestré ; offrir ; adresser
interpréter.v 21 :: chanter ; écrire ; adapter ; jouer ; arranger ; interprétation ; écouter ; enregistrer ; reprendre ; expliquer
interpréter.v 59 :: expliquer ; comprendre ; analyser ; inverser ; penser ; décrypter ; prédire ; anticiper ; prévoir ; mesurer
interpréter.v 80 :: international ; aide ; or ; externe ; énergie ; air ; art ; expédier ; efficace ; expérience
interpréter.v 123 :: expérience ; ensemble ; illustre ; étymologie ; ange ; art ; usage ; or ; histoire ; image
interpréter.v 128 :: joue ; incarner ; interprétation ; assurer ; offrir ; double ; écrire ; camper ; tenir ; rôle
interpréter.v 157 :: accueillir ; traite ; recevoir ; traduire ; accepter ; analyse ; encaisse ; attendre ; transporter ; abriter
interpréter.v 260 :: interprétation ; comprendre ; évaluer ; analyser ; faire ; expliquer ; traiter ; apprécier ; exploiter ; optimiser
interpréter.v 267 :: interprétation ; comprendre ; vivre ; lire ; écrire ; concevoir ; observer ; décrire ; attribuer ; considérer
interpréter.v 289 :: chanter ; incarner ; jouer ; imaginer ; servir ; dansé ; rehausser ; chant ; principalement ; adorer
maintenir.v 94 :: apprendre ; ajouter ; déclarer ; préciser ; écrire ; affirmer ; montrer ; répondre ; conclure ; prouver
maintenir.v 113 :: inscrire ; visible ; présent ; enregistrer ; mentionner ; référencer ; signaler ; repérer ; identifier ; renseigner
maintenir.v 154 :: garder ; conserver ; tenir ; assurer ; observer ; renforcer ; continuer ; mettre ; demeurer ; confirmer
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; retenir ; mettre ; demeurer ; perpétuer ; conforter ; dominer
maintenir.v 183 :: préserver ; garder ; conserver ; garantir ; entretenir ; favoriser ; assurer ; demeurer ; susciter ; instaurer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; favoriser ; rester ; soutenir ; retenir ; persister
maintenir.v 230 :: tenir ; dernier ; compte ; présent ; pouvoir ; venir ; vouloir ; être ; point ; famille
maintenir.v 234 :: proposer ; également ; soutenir ; souhaiter ; estime ; obtenir ; affirmer ; considérer ; assurer ; vouloir
maintenir.v 251 :: conserve ; tenir ; soutenir ; également ; perdurer ; fermement ; demeurer ; conserver ; continuer ; rester
maintenir.v 281 :: réponse ; programme ; dernier ; résultat ; proposition ; conseil ; preuve ; projet ; liste ; enquête
mince.a 17 :: fin ; être ; légèrement ; droite ; également ; parfait ; presque ; petit ; bel ; parfaitement
mince.a 96 :: régulier ; fin ; épais ; continuer ; sec ; facile ; supplémentaire ; léger ; épaisseur ; organique
mince.a 147 :: léger ; faible ; sommaire ; simple ; original ; préciser ; bel ; intéressant ; bon ; maigre
mince.a 170 :: fragile ; fin ; parallèle ; léger ; être ; simple ; fort ; briser ; solide ; robuste
mince.a 192 :: léger ; feuille ; petit ; bâtonnet ; fin ; épais ; filet ; bord ; finement ; film
mince.a 202 :: fin ; petit ; léger ; nouveau ; bel ; dernier ; épais ; simple ; double ; solide
mince.a 213 :: petit ; fin ; vêtement ; léger ; jumeau ; corps ; cigarette ; moyen ; nu ; couche
mince.a 225 :: affaire ; objectif ; maigre ; chose ; point ; goût ; petit ; traire ; avantage ; doute
mince.a 242 :: loin ; presque ; serrer ; fin ; pourtant ; doute ; partout ; rester ; ligne ; chemin
mince.a 292 :: fin ; conducteur ; intermédiaire ; métallique ; épais ; isolant ; physique ; léger ; externe ; supérieur
modeste.a 29 :: petit ; minuscule ; humble ; misérable ; banal ; grand ; minable ; dérisoire ; simple ; joli
modeste.a 114 :: bon ; humble ; pauvre ; généreux ; honnête ; digne ; petit ; discret ; simple ; gentil
modeste.a 121 :: faible ; minime ; réduire ; modérer ; dérisoire ; important ; pauvre ; élevé ; limité ; considérable
modeste.a 163 :: limité ; léger ; faible ; petit ; minime ; spectaculaire ; important ; significatif ; nécessaire ; confidentielle
modeste.a 195 :: limité ; faible ; médiocre ; élevé ; minime ; économique ; personnel ; maigre ; important ; considérable
modeste.a 197 :: pauvre ; faible ; isolé ; aisé ; indépendant ; concerner ; défavorisé ; français ; fragile ; entrepreneur
modeste.a 200 :: limité ; réduire ; faible ; petit ; restreindre ; appliquer ; léger ; prudent ; mesurer ; comprendre
modeste.a 246 :: élevé ; important ; léger ; infime ; industriel ; moindre ; économique ; intermédiaire ; insignifiant ; petit
modeste.a 269 :: humble ; digne ; petit ; jeune ; pauvre ; bon ; noble ; malheureux ; honnête ; fier
modeste.a 283 :: discret ; humble ; léger ; pauvre ; simple ; bel ; petit ; honnête ; digne ; populaire
montée.n 15 :: droite ; courbe ; victoire ; poussée ; côte ; pente ; baisse ; réduction ; fille ; descente
montée.n 56 :: descente ; pente ; vallée ; chute ; construction ; partie ; montagne ; ligne ; hauteur ; côte
montée.n 75 :: descente ; côte ; ascension ; dernier ; second ; arrivée ; randonnée ; sortie ; suite ; chute
montée.n 138 :: évolution ; hausse ; performance ; progression ; puissance ; augmentation ; complexité ; capacité ; construction ; poussée
