affection.n 8 :: affectation ; maladie ; institution ; disposition ; occasion ; opération ; obligation ; tendresse ; dernier ; habitude
couverture.n 201 :: surveillance ; sécurité ; protection ; gestion ; déploiement ; desserte ; qualité ; connaissance ; défense ; conquête
couverture.n 257 :: construction ; toiture ; base ; revêtement ; protection ; sol ; remplacement ; fond ; fonds ; financement
couverture.n 265 :: couvrir ; enveloppe ; bon ; jaquette ; brochure ; housse ; couche ; livre ; nouveau ; épais
couverture.n 280 :: reliure ; lune ; dune ; bon ; principal ; jaquette ; marquis ; suite ; nouveau ; moitié
débit.n 64 :: crédit ; taux ; montant ; marge ; faciliter ; compte ; cours ; escompte ; variation ; net
débit.n 87 :: minimum ; optique ; partiel ; permanence ; qualité ; accès ; refus ; total ; complémentaire ; priver
débit.n 115 :: niveau ; cours ; écoulement ; flux ; rythme ; poids ; flot ; régime ; rang ; fleuve
débit.n 131 :: produit ; système ; rendement ; taux ; eau ; lit ; module ; principal ; fort ; forage
débit.n 136 :: moyen ; mort ; retrait ; apport ; prise ; té ; effectif ; rejet ; cours ; jour
débit.n 168 :: minimum ; réel ; nombre ; total ; niveau ; haut ; montant ; flux ; maximum ; chargement
débit.n 169 :: montant ; résultat ; poids ; coût ; financement ; cours ; traitement ; niveau ; flux ; total
débit.n 184 :: taux ; maximum ; vitesse ; rythme ; rendement ; transfert ; capacité ; intérêt ; potentiel ; support
débit.n 188 :: apport ; flux ; niveau ; cours ; effectif ; potentiel ; eau ; rejet ; crue ; courant
débit.n 205 :: flux ; temps ; rythme ; écoulement ; canal ; mode ; accès ; extrêmement ; lent ; moyen
direction.n 78 :: conduite ; responsabilité ; directrice ; coordination ; discipline ; présidence ; diriger ; critique ; houlette ; performance
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; vision ; tête ; responsabilité ; force ; politique ; proposition
direction.n 151 :: directeur ; directrice ; management ; équipe ; interne ; responsable ; supérieur ; rédaction ; gestion ; nouveau
direction.n 152 :: orientation ; ligne ; forme ; droite ; optique ; lumière ; constant ; perpendiculaire ; sens ; tendance
direction.n 172 :: destination ; nord ; peut-être ; orientation ; route ; saint ; forme ; presque ; location ; cap
direction.n 176 :: conduite ; virage ; contrôle ; rapport ; forme ; couple ; sens ; comportement ; vitesse ; centre
direction.n 199 :: rédaction ; coordination ; présidence ; directrice ; nouveau ; tête ; délégation ; secrétaire ; majorité ; management
direction.n 223 :: pastoral ; voie ; nouveau ; main ; bon ; fraternelle ; responsabilité ; spirituel ; central ; filiale
direction.n 262 :: directeur ; directrice ; nouveau ; général ; bon ; grand ; responsabilité ; principal ; entier ; actuel
direction.n 279 :: destination ; face ; venir ; provenance ; province ; vallée ; sens ; sortir ; revenir ; faveur
don.n 19 :: sens ; talent ; style ; temps ; droit ; centre ; souci ; pouvoir ; doué ; point
don.n 30 :: talent ; pouvoir ; instinct ; atout ; oeil ; élan ; sens ; trésor ; faculté ; potentiel
don.n 36 :: merveilleux ; divin ; extraordinaire ; inné ; incroyable ; magique ; fabuleux ; sacrer ; dom ; universel
don.n 60 :: cadeau ; produit ; droit ; sacrifice ; sacrer ; nom ; spécial ; caractère ; titre ; soin
don.n 84 :: cadeau ; enfant ; geste ; legs ; soutien ; bénévole ; objet ; mécénat ; bien ; invité
don.n 107 :: cadeau ; faire ; présent ; part ; preuve ; jour ; faveur ; objet ; ministre ; déjà
don.n 130 :: fonds ; bénéficiaire ; enfant ; cadeau ; crédit ; généreux ; ami ; jeune ; legs ; lecteur
don.n 196 :: talent ; génie ; pouvoir ; secret ; crime ; traitement ; truc ; temps ; chic ; sens
don.n 244 :: cadeau ; parrainage ; mécénat ; geste ; legs ; bénévolat ; souher ; sacrifice ; soutien ; collecte
don.n 245 :: généreux ; cadeau ; témoignage ; venir ; geste ; ami ; legs ; grand ; apport ; achat
entraîner.v 39 :: or ; art ; international ; aide ; envoi ; adjectif ; obliger ; être ; parer ; effectif
entraîner.v 47 :: obliger ; aider ; aide ; encourager ; amener ; engager ; pousse ; inciter ; invite ; contraindre
entraîner.v 55 :: international ; clip ; or ; nouveau ; art ; véritable ; port ; permanent ; profond ; incessant
entraîner.v 57 :: international ; emploi ; enseigner ; or ; eau ; albanais ; ensemble ; air ; apparemment ; être
entraîner.v 133 :: aide ; céleste ; efficace ; ancien ; or ; automne ; heureux ; aider ; influence ; aimer
entraîner.v 140 :: mener ; amener ; conduire ; envoyer ; attirer ; suivre ; porter ; aller ; pousser ; emporter
entraîner.v 144 :: invite ; avoir ; obliger ; commencer ; inviter ; engager ; force ; inciter ; invité ; amener
entraîner.v 161 :: provoquer ; engendrer ; éviter ; apparaître ; amener ; conduire ; produire ; créer ; induire ; expliquer
entraîner.v 162 :: amener ; provoquer ; assurer ; engendrer ; encourager ; favoriser ; conduire ; déclenche ; produit ; induire
entraîner.v 191 :: emporter ; amener ; emmener ; porter ; conduire ; attirer ; transporter ; précipiter ; mener ; engager
éplucher.v 10 :: peler ; nettoyer ; égoutter ; laver ; enlever ; blanchir ; rincer ; couper ; presser ; cueillir
éplucher.v 51 :: regarder ; accès ; travailler ; soigneusement ; lire ; attentivement ; examiner ; vérifier ; analyser ; étudier
éplucher.v 69 :: étudier ; examiner ; dépouiller ; vérifier ; lire ; analyser ; contrôler ; rejeter ; regarder ; accepter
éplucher.v 100 :: éplucher ; récolter ; arracher ; ramasser ; couper ; enlever ; mûr ; trancher ; grossièrement ; finement
éplucher.v 119 :: éplucher ; scrupuleusement ; travers ; allègrement ; minutieusement ; arpenter ; soigneusement ; fouillé ; bêtement ; bon
éplucher.v 167 :: nouveau ; laver ; attention ; prendre ; oublier ; super ; bon ; petit ; feuille ; penser
éplucher.v 174 :: consulter ; vérifier ; afficher ; effacer ; lire ; voir ; retrouver ; partager ; rechercher ; supprimer
éplucher.v 235 :: laver ; pomme ; fruit ; peler ; ail ; cannelle ; oignon ; tête ; gros ; faire
éplucher.v 236 :: éplucher ; soigneusement ; oignon ; finement ; récolter ; an ; tri ; foin ; gros ; bon
éplucher.v 258 :: peler ; blanchir ; laver ; cueillir ; conserver ; faire ; récolter ; cuire ; cuisiner ; préparer
espace.n 13 :: or ; ensemble ; établissement ; exploitation ; investissement ; accès ; entreprise ; énergie ; insertion ; habitat
espace.n 27 :: air ; immigré ; eau ; antique ; or ; aide ; envoi ; art ; ancien ; origine
espace.n 79 :: environnement ; ensemble ; coin ; outil ; aire ; zone ; office ; service ; emplacement ; option
espace.n 120 :: air ; excellent ; article ; étroit ; aide ; énergie ; argent ; endroit ; ajouter ; heureux
espace.n 137 :: environnement ; information ; développement ; entreprise ; marché ; européen ; politique ; instrument ; organisation ; investissement
espace.n 142 :: air ; international ; afghan ; art ; interne ; eau ; externe ; image ; aide ; ancien
espace.n 180 :: lien ; arrangement ; échange ; relation ; rapport ; équilibre ; déplacement ; contraste ; place ; interaction
espace.n 208 :: ancien ; innombrable ; euro ; établissement ; grand ; énorme ; entreprise ; île ; état ; article
espace.n 229 :: propre ; événement ; talent ; petit ; projet ; aménagement ; produit ; environnement ; atout ; développement
espace.n 243 :: coin ; article ; ensemble ; temps ; ligne ; intervalle ; vide ; écran ; place ; siège
essuyer.v 11 :: soigneusement ; nettoyage ; laver ; ensuite ; garde ; avoir ; désinfection ; essuyer ; garder ; ment
essuyer.v 58 :: subir ; constater ; rencontrer ; déjà ; remarquer ; également ; durement ; ici ; enregistrer ; essuie
essuyer.v 77 :: essuie ; laisser ; laisse ; retirer ; déverser ; éponge ; évacuer ; verse ; ôter ; sortir
essuyer.v 81 :: laver ; éponge ; encre ; essuie ; but ; ra ; limite ; pouvoir ; avaler ; enduire
essuyer.v 86 :: essuie ; avoir ; ensuite ; os ; également ; presque ; éponge ; esse ; être ; envie
essuyer.v 89 :: refus ; revers ; essuie ; froid ; échec ; durement ; récemment ; coup ; suite ; pourtant
essuyer.v 98 :: faire ; encaisser ; subir ; recevoir ; voir ; porter ; utiliser ; gagner ; prendre ; souffrir
essuyer.v 166 :: pépin ; sécher ; feuille ; légume ; noyau ; baie ; graine ; laver ; rafraîchir ; agrume
essuyer.v 215 :: subir ; recevoir ; obtenir ; accumuler ; annoncer ; déjà ; cumulé ; enchaîner ; récolter ; enregistrer
essuyer.v 266 :: éviter ; retirer ; enlever ; évacuer ; laisser ; éliminer ; aspirer ; verser ; observer ; tirer
faucher.v 12 :: jeter ; agresser ; briser ; tuer ; poussée ; déposer ; attaquer ; apparemment ; volontairement ; planter
faucher.v 42 :: mieux ; peut-être ; déjà ; également ; atteindre ; privé ; autant ; inscrire ; couvrir ; apparaître
faucher.v 116 :: semer ; voler ; pourrir ; ravager ; dévaster ; détruire ; abattre ; donner ; laisser ; planter
faucher.v 160 :: marc ; porte ; jean ; pierre ; couture ; collection ; bijou ; main ; création ; maison
faucher.v 214 :: faire ; presque ; pousser ; arracher ; donner ; frapper ; couper ; acheter ; travailler ; assassiner
faucher.v 239 :: servir ; vert ; plein ; vieux ; partager ; donne ; jeter ; acheter ; tomber ; presque
faucher.v 248 :: meurtre ; mort ; tombe ; laisse ; abattre ; taire ; homicide ; corps ; compte ; autopsie
faucher.v 276 :: semer ; abattre ; récolter ; couper ; planter ; piquer ; tailler ; arracher ; cueillir ; cultiver
faucher.v 282 :: préférer ; remplacer ; marque ; piqu ; écarter ; trouver ; rappeler ; falloir ; centre ; cale
faucher.v 290 :: grièvement ; trouver ; blesser ; retrouver ; pousser ; porter ; tuer ; déjà ; gravement ; abandonner
fonder.v 6 :: créer ; fondre ; diriger ; former ; organiser ; ouvrir ; bâtir ; tenir ; développer ; installer
fonder.v 7 :: sous-tendre ; motiver ; force ; justifier ; conditionne ; constituer ; base ; appuyer ; légitime ; caractériser
fonder.v 54 :: repose ; baser ; fondamental ; tenir ; base ; établir ; ancrer ; social ; être ; trouver
fonder.v 66 :: ferme ; développer ; forme ; rejoindre ; fabrique ; installer ; dépose ; formule ; créer ; diriger
fonder.v 88 :: fondation ; ferme ; dot ; créer ; direction ; français ; joindre ; installer ; fondateur ; conseil
fonder.v 93 :: base ; appuyer ; définir ; assurer ; traverser ; porte ; constituer ; conditionne ; supporter ; caractériser
fonder.v 158 :: base ; repose ; bâtir ; construire ; fond ; forge ; fonctionner ; appuyer ; baser ; cale
fonder.v 212 :: former ; fabriquer ; faire ; fondre ; créer ; contracter ; constituer ; bâtir ; formule ; composer
fonder.v 264 :: motiver ; définir ; appuyer ; force ; constituer ; conditionne ; justifier ; traverser ; vraiment ; forme
fonder.v 286 :: ferme ; réunir ; diriger ; ouvrir ; compte ; développer ; fond ; forge ; découvrir ; forme
grossier.a 24 :: flagrant ; radical ; complet ; profond ; stupide ; courant ; simple ; scandaleux ; évident ; cruel
grossier.a 37 :: vicieux ; avancer ; efficace ; exact ; élaborer ; subtil ; fin ; répandre ; précis ; évident
grossier.a 85 :: vulgaire ; poli ; tendre ; ridicule ; con ; déplacer ; sot ; superflu ; arrogant ; franc
grossier.a 108 :: profond ; sec ; brut ; fin ; massif ; gros ; pauvre ; maigre ; organique ; épais
grossier.a 134 :: grand ; fort ; flagrant ; léger ; lourd ; subtil ; long ; haut ; évident ; petit
grossier.a 179 :: propagande ; campagne ; information ; rumeur ; analyse ; publicité ; désinformation ; bande ; diffusion ; impression
grossier.a 227 :: vulgaire ; agressif ; ridicule ; arrogant ; poli ; raciste ; prétentieux ; blessant ; maladroit ; déplacer
grossier.a 228 :: sexuel ; produit ; socialement ; caractère ; animal ; trait ; fin ; social ; fait ; extrêmement
grossier.a 231 :: vulgaire ; coupable ; matériel ; profane ; simple ; humain ; social ; public ; égoïste ; terrestre
grossier.a 300 :: stupide ; féroce ; répéter ; coupable ; noir ; au ; vulgaire ; brutal ; bas ; oraler
hermétique.a 203 :: coffret ; boite ; boîte ; porte ; fermeture ; système ; index ; explication ; ampoule ; produit
hermétique.a 71 :: mystérieux ; énigmatique ; ambigu ; confidentiel ; obscur ; étrange ; surprenant ; paradoxal ; décaler ; générique
hermétique.a 99 :: fermer ; sceller ; plastique ; forme ; contenir ; conserve ; chinois ; alimentaire ; transparent ; boîte
hermétique.a 126 :: oui ; magique ; étanche ; organique ; presque ; sensible ; parfait ; froid ; opaque ; mécanique
hermétique.a 127 :: parfaitement ; presque ; magique ; fort ; noir ; interne ; étanche ; solide ; quasi ; merveilleusement
hermétique.a 220 :: presque ; poli ; clore ; rester ; clos ; parfaitement ; totalement ; jamais ; quasi ; quasiment
hermétique.a 226 :: système ; étanche ; européen ; complètement ; pari ; défensif ; presque ; totalement ; suisse ; défense
hermétique.a 261 :: discret ; audible ; sec ; magique ; surprenant ; subtil ; étanche ; confidentiel ; relatif ; poli
hermétique.a 278 :: interne ; noir ; chimique ; blanc ; suisse ; soigneusement ; solide ; secret ; alimentaire ; close
hermétique.a 204 :: magique ; opaque ; ultime ; énigme ; obscur ; mystérieux ; clé ; explicite ; abstrait ; inaccessible
incorrect.a 45 :: actif ; évaluation ; adapter ; adaptation ; approprier ; ré ; complètement ; exploiter ; adéquat ; également
incorrect.a 125 :: ent ; vraiment ; devenir ; parfaitement ; totalement ; complètement ; naître ; presque ; audible ; présente
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; second ; cours ; jour ; miss ; cas
incorrect.a 156 :: in ; an ; ré ; lire ; man ; ben ; are ; ale ; ouïr ; us
incorrect.a 159 :: transposition ; application ; interprétation ; pratique ; traduction ; partie ; version ; exécution ; législation ; réalisation
incorrect.a 177 :: erroné ; correct ; précis ; serrer ; donner ; total ; aléatoire ; déterminer ; arbitraire ; supérieur
incorrect.a 217 :: correct ; loin ; politiquement ; délicat ; mal ; polémique ; tard ; confus ; précis ; fort
incorrect.a 241 :: complètement ; également ; vraiment ; totalement ; naître ; rée ; dire ; actuellement ; parfaitement ; habituellement
incorrect.a 298 :: politique ; procès-verbal ; membre ; gouvernement ; abstention ; participation ; socialiste ; indépendant ; compte ; président
incorrect.a 299 :: personnel ; confidentiel ; saisir ; donnée ; bancaire ; identifiabler ; électronique ; numérique ; transmettre ; erroné
intérêt.n 63 :: avis ; objectif ; agenda ; opinion ; camp ; élément ; adversaire ; impératif ; appétit ; idéologie
intérêt.n 97 :: article ; ensemble ; international ; état ; air ; église ; écran ; utilisateur ; appareil ; objet
intérêt.n 129 :: air ; aide ; étroit ; international ; art ; illustre ; activité ; image ; externe ; efficace
intérêt.n 146 :: air ; art ; international ; image ; étymologie ; externe ; alpha ; aide ; eau ; étroit
intérêt.n 155 :: article ; international ; information ; énergie ; industrie ; institution ; aide ; air ; institut ; origine
intérêt.n 218 :: avantage ; attrer ; intéressant ; sens ; côté ; bénéfice ; faible ; argument ; point ; fort
intérêt.n 263 :: air ; étymologie ; image ; ensemble ; international ; art ; origine ; évolution ; aide ; irréversible
intérêt.n 268 :: or ; actuel ; excellent ; étroit ; aide ; air ; intense ; heureux ; nouveau ; art
intérêt.n 271 :: image ; être ; ensemble ; étrange ; eau ; animal ; histoire ; actuel ; article ; or
intérêt.n 297 :: aide ; art ; air ; clip ; externe ; adjectif ; alpha ; interne ; illustre ; international
interpréter.v 18 :: chanter ; ré ; jouer ; maint ; également ; varier ; ensuite ; interprétation ; principalement ; tantôt
interpréter.v 21 :: chanter ; illustrer ; jouer ; interprétation ; assistant ; chant ; écrire ; présenter ; enregistrer ; publier
interpréter.v 59 :: mieux ; mal ; facilement ; clairement ; comprendre ; correctement ; lire ; parfaitement ; vraiment ; analyser
interpréter.v 80 :: air ; art ; aide ; or ; étymologie ; irlandais ; effectif ; image ; international ; usage
interpréter.v 123 :: air ; art ; aide ; étroit ; étymologie ; an ; international ; actuel ; min ; obsolescence
interpréter.v 128 :: joue ; incarner ; ici ; double ; tenir ; prendre ; interprétation ; camper ; assurer ; reprendre
interpréter.v 157 :: analyse ; traite ; encaisse ; écoute ; accueillir ; écrire ; recevoir ; influence ; absorber ; émettre
interpréter.v 260 :: interprétation ; comprendre ; décoder ; entendre ; analyser ; évaluer ; exploiter ; faire ; exprimer ; vivre
interpréter.v 267 :: interprétation ; comprendre ; entendre ; considérer ; observer ; définir ; évaluer ; lire ; concevoir ; regarder
interpréter.v 289 :: chanter ; jouer ; imaginer ; interprétation ; dansé ; enseigner ; présenter ; animé ; habiter ; incarner
maintenir.v 94 :: ajouter ; préciser ; affirmer ; déclarer ; souligner ; soutenir ; assurer ; insister ; répéter ; répondre
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; signaler ; renseigner ; identifier ; ajouter ; indiquer
maintenir.v 154 :: garder ; exercer ; poursuivre ; continuer ; conserver ; renforcer ; concentrer ; retenir ; tenir ; confirmer
maintenir.v 175 :: garder ; préserver ; conserver ; maintien ; demeurer ; divertir ; retenir ; mettre ; perpétuer ; plonger
maintenir.v 183 :: stabilité ; maintien ; bon ; confiance ; santé ; équilibre ; pression ; conserver ; tendance ; moyen
maintenir.v 207 :: garder ; conserver ; préserver ; demeurer ; rester ; retenir ; soutenir ; maintien ; sauvegarder ; stabiliser
maintenir.v 230 :: tenir ; devoir ; être ; dernier ; pouvoir ; compter ; compte ; falloir ; présent ; double
maintenir.v 234 :: prévoir ; souhaiter ; considérer ; estime ; proposer ; vouloir ; tandis ; rappeler ; affirmer ; réaffirmer
maintenir.v 251 :: tenir ; réaffirmer ; conserve ; répéter ; confirmer ; réitérer ; soutenir ; reprendre ; renouveler ; appuyer
maintenir.v 281 :: gage ; croire ; considérer ; soutien ; souligner ; dire ; juge ; estime ; déclarer ; constater
mince.a 17 :: épais ; léger ; fin ; nerveux ; lisse ; légèrement ; presque ; tendre ; intime ; fort
mince.a 96 :: épais ; fin ; régulier ; lisse ; sec ; léger ; dur ; continuer ; supplémentaire ; chimique
mince.a 147 :: presque ; petit ; filet ; léger ; grand ; légèrement ; également ; épais ; simple ; déjà
mince.a 170 :: fragile ; faible ; raide ; maigre ; fin ; léger ; épais ; solide ; haut ; large
mince.a 192 :: panneau ; écran ; épais ; filet ; papier ; petit ; film ; bande ; adhésif ; léger
mince.a 202 :: fin ; petit ; léger ; épais ; double ; nouveau ; dernier ; bel ; second ; maigre
mince.a 213 :: petit ; fin ; léger ; légèrement ; millimètre ; caractère ; maigre ; carré ; étroit ; déjà
mince.a 225 :: exploit ; honorable ; notable ; chose ; léger ; joli ; maigre ; affaire ; petit ; idée
mince.a 242 :: fin ; fragile ; faible ; court ; lisse ; étroit ; clair ; bel ; serrer ; difficile
mince.a 292 :: fin ; épais ; léger ; flexible ; lisse ; écran ; continuer ; régulier ; protecteur ; sonore
modeste.a 29 :: petit ; logement ; humble ; foyer ; logis ; chalet ; village ; misérable ; minuscule ; studio
modeste.a 114 :: humble ; pauvre ; honorable ; petit ; bon ; faible ; digne ; politique ; vivant ; honnête
modeste.a 121 :: faible ; important ; réduire ; dérisoire ; significatif ; timide ; élevé ; petit ; minime ; modérer
modeste.a 163 :: limité ; petit ; incomplet ; timide ; faible ; minuscule ; dater ; définitif ; partiel ; nécessaire
modeste.a 195 :: réduire ; minime ; important ; mesurer ; petit ; élevé ; récent ; personnel ; simple ; économique
modeste.a 197 :: pauvre ; aisé ; hospitalier ; concerner ; petit ; autonome ; défavorisé ; nanti ; moyen ; âgé
modeste.a 200 :: limité ; faible ; élevé ; léger ; mesurer ; réduire ; populaire ; raisonnable ; abordable ; mesure
modeste.a 246 :: élevé ; important ; léger ; petit ; moindre ; faible ; économique ; considérable ; insignifiant ; misérable
modeste.a 269 :: poli ; petit ; fiat ; céleste ; chinois ; russe ; jade ; jeune ; phi ; maxime
modeste.a 283 :: pauvre ; humble ; paisible ; discret ; fragile ; confidentiel ; noble ; mature ; populaire ; honnête
montée.n 15 :: continuer ; long ; droite ; nouveau ; lourd ; rue ; grand ; vieux ; implacable ; social
montée.n 56 :: partie ; hauteur ; échelle ; profondeur ; construction ; augmentation ; propriété ; extrémité ; chute ; descente
montée.n 75 :: entrée ; arrivée ; descente ; place ; mise ; suite ; journée ; passerelle ; loger ; terrasse
montée.n 138 :: évolution ; gestion ; hausse ; performance ; développement ; poussée ; monte ; maîtrise ; complexité ; vie
montée.n 141 :: monte ; descente ; poussée ; pente ; hausse ; courbe ; côte ; fonte ; tendance ; mise
montée.n 153 :: monte ; pente ; descente ; ascension ; rampe ; montagne ; côte ; grimper ; chute ; douleur
