affection.n 8 :: actualité ; pari ; article ; chine ; participation ; municipal ; international ; compte ; étranger ; nouveau
aisé.a 275 :: facile ; difficile ; évident ; avantageux ; impossible ; compliqué ; simple ; important ; ardu ; heureux
arrêter.v 1 :: enlever ; prendre ; stopper ; tuer ; abandonner ; condamner ; exécuter ; suspendre ; trouver ; capturer
arrêter.v 14 :: condamner ; abattu ; assassiner ; hospitaliser ; tuer ; suspendre ; interpellé ; interpeller ; blessé ; emprisonné
arrêter.v 23 :: apercevoir ; être ; élargir ; aimer ; officiel ; article ; in ; avantage ; intervenant ; effectuer
arrêter.v 25 :: laisse ; oublier ; ajouter ; écrire ; paie ; aimer ; pousse ; piqu ; donne ; garde
arrêter.v 50 :: abandonner ; quitter ; éteindre ; enlever ; apprendre ; interrompre ; cesser ; faire ; retenir ; changer
arrêter.v 181 :: contenir ; donne ; établir ; élaborer ; présente ; définir ; vérifier ; préparer ; comprendre ; publier
arrêter.v 219 :: faire ; abattre ; acheter ; aller ; construire ; tuer ; voir ; venir ; descendre ; pouvoir
arrêter.v 273 :: définitivement ; partout ; ici ; fermement ; presque ; également ; interdire ; immédiatement ; complètement ; condamner
arrêter.v 277 :: or ; in ; an ; parer ; os ; us ; avoir ; but ; soviétique ; der
arrêter.v 291 :: publier ; signer ; délivrer ; émettre ; décider ; accorder ; adopter ; établir ; proposer ; déposer
capacité.n 26 :: également ; radio ; an ; cas ; part ; temps ; voire ; or ; cité ; année
capacité.n 32 :: puissance ; chaîne ; force ; différence ; quantité ; tête ; raison ; possibilité ; propriété ; machine
capacité.n 35 :: maîtrise ; compétence ; profession ; formation ; spécialisation ; clinique ; activité ; contribution ; emploi ; spécialiste
capacité.n 70 :: puissance ; quantité ; disponibilité ; force ; rentabilité ; surface ; résultat ; qualité ; utilisation ; consommation
capacité.n 73 :: faculté ; compétence ; aptitude ; dimension ; possibilité ; détermination ; disponibilité ; formation ; force ; responsabilité
capacité.n 101 :: qualité ; compétence ; faculté ; fonction ; puissance ; responsabilité ; pouvoir ; force ; liberté ; propre
capacité.n 103 :: stock ; infrastructure ; ressource ; réserve ; zone ; installation ; activité ; disponibilité ; possibilité ; puissance
capacité.n 110 :: possibilité ; propriété ; série ; suite ; hauteur ; batterie ; réserve ; location ; différence ; participation
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; force ; sphère ; droit ; volonté ; pouvoir
capacité.n 148 :: compétence ; aptitude ; faculté ; connaissance ; formation ; maîtrise ; qualité ; bon ; expérience ; disposition
commander.v 5 :: spécial ; gratuit ; anonyme ; fabriqué ; signer ; réaliser ; saint ; produit ; militaire ; destiner
commander.v 9 :: commander ; choisir ; commencer ; acheter ; réserver ; découvrir ; remplir ; oublier ; créer ; installer
commander.v 16 :: commanda ; commandant ; ordonner ; diriger ; consigne ; exécuter ; soutenir ; attaque ; supervise ; mener
commander.v 41 :: choisir ; commencer ; suivre ; faire ; réaliser ; décider ; définir ; effectuer ; jouer ; prendre
commander.v 48 :: commande ; venir ; faire ; devenir ; seul ; passer ; ensuite ; tenir ; compter ; attaquer
commander.v 117 :: commande ; ordre ; faire ; commandement ; commanda ; falloir ; mission ; saint ; rappeler ; vertu
commander.v 164 :: ordonner ; dicter ; commanda ; enseigne ; obéir ; prescrire ; imposer ; demande ; conseiller ; disposer
commander.v 171 :: commande ; ici ; faire ; également ; panier ; passer ; rapidement ; valider ; aller ; imprimer
commander.v 206 :: devenir ; commande ; permettre ; exclusif ; passer ; acheter ; également ; donner ; petit ; imposer
commander.v 240 :: commande ; personnaliser ; également ; faire ; piloter ; bientôt ; lire ; contrôler ; programmer ; prendre
compris.a 52 :: compréhensible ; contenue ; clairement ; parfaitement ; vite ; prise ; assimiler ; suffisamment ; instinctivement ; vivant
compris.a 90 :: penser ; ajouter ; sentir ; trouver ; saisir ; réaliser ; assurer ; croire ; prévoir ; falloir
compris.a 106 :: penser ; prouver ; montrer ; vouloir ; confirmer ; deviner ; déjà ; vivre ; pis ; sentir
compris.a 185 :: inclure ; incorporer ; inscrire ; contenir ; mentionner ; entendre ; présent ; situer ; découvrir ; conserver
compris.a 186 :: situer ; inclure ; propriétaire ; oublier ; présent ; absent ; inscrire ; sortir ; entrer ; conserver
compris.a 187 :: inclure ; répartir ; compter ; situer ; contenu ; prendre ; estimer ; définir ; fixer ; prévoir
compris.a 211 :: répartir ; convenable ; situer ; mesurer ; maintenir ; moyen ; maximal ; contenir ; varier ; positif
compris.a 232 :: inclure ; compter ; compte ; prendre ; contenu ; intégré ; également ; comptabiliser ; cal ; figurer
compris.a 272 :: parfaitement ; également ; avoir ; mieux ; immédiatement ; entendre ; rapidement ; vite ; clairement ; sûr
compris.a 287 :: intégré ; assimiler ; apprendre ; comprendre ; apprécier ; saisir ; reconnaître ; expliquer ; découvrir ; deviner
couverture.n 65 :: manchette ; rédaction ; dernier ; page ; dossier ; brochure ; moitié ; lettre ; publication ; journée
couverture.n 67 :: vie ; peau ; carrière ; réputation ; route ; fin ; chute ; survie ; chance ; mort
couverture.n 72 :: housse ; sol ; matière ; toiture ; siège ; couvrir ; terrasse ; garniture ; véranda ; produit
couverture.n 143 :: manchette ; éditorial ; conclusion ; couvrir ; page ; illustration ; tête ; fort ; sommaire ; bref
couverture.n 149 :: protection ; sécurité ; garantie ; gestion ; vie ; prévoyance ; assurance ; responsabilité ; répartition ; régime
couverture.n 150 :: toiture ; couvrir ; pierre ; voil ; charpente ; protection ; voûte ; toile ; tuile ; construction
couverture.n 201 :: surveillance ; protection ; sécurité ; gestion ; défense ; conquête ; couvrir ; répartition ; occupation ; partage
couverture.n 257 :: remplacement ; toiture ; base ; construction ; revêtement ; transformation ; protection ; bureau ; sol ; commerce
couverture.n 265 :: serviette ; couvrir ; housse ; véranda ; bâche ; douche ; couette ; voil ; bibliothèque ; corde
couverture.n 280 :: lune ; photo ; peau ; tête ; dernier ; dune ; police ; fin ; moitié ; nouveau
débit.n 64 :: continu ; flux ; automatique ; fort ; grand ; courant ; flot ; franc ; solde ; faciliter
débit.n 87 :: in ; compte ; faciliter ; libellé ; virement ; jour ; boire ; découvrir ; retrait ; dépôt
débit.n 115 :: niveau ; écoulement ; cours ; flot ; flux ; rythme ; jet ; rôle ; rang ; débordement
débit.n 131 :: niveau ; eau ; lit ; vin ; lac ; cours ; cône ; courant ; dépôt ; bassin
débit.n 136 :: flux ; réel ; potentiel ; maximum ; hauteur ; volume ; total ; principal ; apport ; journalier
débit.n 168 :: montant ; traitement ; cours ; numéro ; niveau ; compte ; privilèg ; crédit ; extraire ; visa
débit.n 169 :: montant ; cours ; volume ; rythme ; flux ; développement ; traitement ; prix ; financement ; niveau
débit.n 184 :: haut ; capacité ; mémoire ; développement ; bon ; potentiel ; supérieur ; utilisation ; élevé ; vitesse
débit.n 188 :: apport ; flux ; rejet ; crue ; précipitation ; niveau ; dépôt ; effectif ; quantité ; prélèvement
débit.n 205 :: rapide ; accès ; vanne ; long ; réseau ; rivière ; élevé ; haut ; eau ; pompe
direction.n 78 :: conduite ; responsabilité ; houlette ; coordination ; présidence ; diriger ; directrice ; dépendance ; commande ; surveillance
direction.n 111 :: orientation ; conduite ; présidence ; équipe ; directrice ; organisation ; gestion ; tête ; tendance ; responsabilité
direction.n 151 :: directrice ; directeur ; supérieur ; conduite ; présidence ; gestion ; division ; équipe ; diriger ; interne
direction.n 152 :: ligne ; droite ; optique ; sens ; suite ; axe ; balance ; partie ; inversion ; moyen
direction.n 172 :: traverser ; file ; rejoindre ; bonjour ; gagner ; destination ; quitte ; direct ; diriger ; remonter
direction.n 176 :: conduite ; orientation ; cap ; pilotage ; virage ; tête ; directeur ; directrice ; vitesse ; performance
direction.n 199 :: national ; nouveau ; ligne ; fédéral ; dernier ; régional ; pari ; supérieur ; unité ; européen
direction.n 223 :: conduite ; composition ; maîtrise ; gestion ; musique ; forme ; partie ; responsabilité ; diriger ; majorité
direction.n 262 :: fiat ; viser ; dire ; montagne ; tandem ; encadrer ; facilitation ; initier ; terra ; susmentionner
direction.n 279 :: destination ; provenance ; droite ; nord ; pari ; cap ; bon ; région ; sens ; départ
don.n 19 :: sens ; talent ; style ; souci ; droit ; niveau ; degré ; temps ; pouvoir ; coup
don.n 30 :: talent ; pouvoir ; atout ; moyen ; faculté ; sens ; oeil ; projet ; potentiel ; esprit
don.n 36 :: talent ; sens ; génie ; pouvoir ; cadeau ; domaine ; droit ; monde ; livre ; souher
don.n 60 :: cadeau ; sacrifice ; bon ; produit ; sacrement ; prêt ; mariage ; travail ; droit ; signe
don.n 84 :: cadeau ; contribution ; produit ; investissement ; animal ; fonds ; déchet ; service ; paiement ; enfant
don.n 107 :: cadeau ; faire ; présent ; preuve ; part ; legs ; der ; présentation ; nombre ; achat
don.n 130 :: cadeau ; contribution ; fonds ; enfant ; homme ; étranger ; soutien ; catholique ; ministre ; missionnaire
don.n 196 :: talent ; génie ; droit ; pouvoir ; trésor ; secret ; sens ; contraire ; traitement ; cadeau
don.n 244 :: cadeau ; versement ; bon ; legs ; bénévolat ; mécénat ; geste ; soutien ; chèqu ; contribution
don.n 245 :: gêne ; noix ; noisette ; verger ; lune ; vin ; cadeau ; attrait ; pin ; renard
entraîner.v 39 :: air ; art ; international ; aide ; interne ; image ; afghan ; immigré ; animal ; externe
entraîner.v 47 :: obliger ; engager ; amener ; encourager ; pousse ; inciter ; aider ; conduire ; aide ; contraindre
entraîner.v 55 :: clip ; international ; air ; actuel ; ion ; interne ; ancien ; image ; art ; aide
entraîner.v 57 :: air ; obliger ; effectif ; or ; être ; aller ; américain ; eau ; externe ; atlas
entraîner.v 133 :: air ; ancien ; aide ; art ; animal ; ion ; image ; expédier ; eau ; interne
entraîner.v 140 :: amener ; mener ; envoyer ; conduire ; pousser ; emporter ; attirer ; engager ; aller ; lancer
entraîner.v 144 :: invite ; obliger ; amener ; engager ; avoir ; pousse ; encourager ; inviter ; conduire ; force
entraîner.v 161 :: conduire ; provoquer ; amener ; apparaître ; engendrer ; produire ; créer ; causer ; expliquer ; éviter
entraîner.v 162 :: provoquer ; amener ; conduire ; assurer ; favoriser ; accélérer ; complet ; déclenche ; encourager ; actif
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; engager ; envoyer ; apporter ; inscrire ; associer ; jeter
éplucher.v 10 :: peler ; laver ; nettoyer ; finement ; blanchir ; cueillir ; faire ; tailler ; fleur ; cultiver
éplucher.v 51 :: travailler ; accès ; étudier ; regarder ; rire ; fouillé ; lire ; trouver ; réfléchir ; enquêté
éplucher.v 69 :: revoir ; examiner ; recevoir ; relever ; annuler ; traiter ; étudier ; éliminer ; évacuer ; fermer
éplucher.v 100 :: éplucher ; oignon ; finement ; peler ; mûr ; retourner ; récolter ; écraser ; trancher ; couper
éplucher.v 119 :: éplucher ; fouillé ; regarder ; parcourir ; survoler ; balayer ; récolter ; énormément ; lire ; collecter
éplucher.v 167 :: feuille ; poireau ; légume ; courgette ; aller ; découvrir ; grandir ; devenir ; terre ; eau
éplucher.v 174 :: faire ; page ; fois ; venir ; moment ; également ; pouvoir ; temps ; présent ; aller
éplucher.v 235 :: peler ; acheter ; faire ; laver ; nettoyer ; presser ; arracher ; couper ; récolter ; enlever
éplucher.v 236 :: avoir ; er ; oignon ; finement ; gros ; longuement ; eau ; parfaitement ; énormément ; récolter
éplucher.v 258 :: peler ; rincer ; manger ; faire ; presser ; cueillir ; récolter ; écraser ; blanchir ; laver
espace.n 13 :: ensemble ; origine ; art ; international ; or ; air ; accueil ; établissement ; euro ; aide
espace.n 27 :: or ; air ; art ; eau ; ensemble ; image ; international ; étrange ; antique ; actuel
espace.n 79 :: zone ; temps ; environnement ; salle ; support ; coin ; ensemble ; lieu ; dimension ; place
espace.n 120 :: ensemble ; audiovisuelle ; audiovisuel ; être ; article ; avoir ; alpha ; appareil ; international ; assemblée
espace.n 137 :: environnement ; marché ; développement ; information ; domaine ; droit ; propriété ; politique ; emploi ; service
espace.n 142 :: air ; international ; aide ; afghan ; externe ; or ; interne ; art ; étymologie ; eau
espace.n 180 :: arbre ; enfant ; nom ; lien ; personne ; personnage ; lieu ; droit ; information ; territoire
espace.n 208 :: euro ; ancien ; innombrable ; article ; énorme ; ensemble ; nouveau ; entreprise ; établissement ; année
espace.n 229 :: petit ; service ; propre ; événement ; développement ; produit ; avantage ; talent ; projet ; environnement
espace.n 243 :: article ; ensemble ; coin ; entier ; endroit ; ordre ; écran ; temps ; intervalle ; ligne
essuyer.v 11 :: laver ; rincer ; essuyer ; fermer ; remplir ; ouvrir ; faire ; rinçage ; plonger ; désinfection
essuyer.v 58 :: subir ; rencontrer ; constater ; connaître ; avoir ; enregistrer ; régler ; noter ; palier ; rencontre
essuyer.v 77 :: essuie ; jean ; avoir ; oui ; visiblement ; marier ; an ; jule ; assurer ; vraiment
essuyer.v 81 :: répondit ; faire ; avoir ; sourire ; réponse ; être ; essuie ; mettre ; ensuite ; répondre
essuyer.v 86 :: essuie ; presque ; recevoir ; assurer ; porte ; passer ; assumer ; obtenir ; donne ; accorder
essuyer.v 89 :: subir ; essuie ; opposer ; accuser ; recevoir ; face ; systématiquement ; dénoncer ; constater ; annoncer
essuyer.v 98 :: faire ; prendre ; recevoir ; manger ; rencontrer ; découvrir ; encaisser ; subir ; voir ; utiliser
essuyer.v 166 :: pépin ; noyau ; sécher ; feuille ; graine ; baie ; main ; peau ; laver ; légume
essuyer.v 215 :: subir ; recevoir ; accumuler ; affronter ; accuser ; souffrir ; recueillir ; connaître ; frapper ; dénoncer
essuyer.v 266 :: essuie ; éviter ; couvrir ; enlever ; retirer ; laver ; veiller ; rincer ; nettoyer ; arrêter
faucher.v 12 :: briser ; jeter ; écraser ; passager ; tuer ; plaqué ; agresser ; planter ; renverser ; traverser
faucher.v 42 :: récemment ; peut-être ; découverte ; dernier ; également ; finalement ; donnée ; être ; enregistrer ; régulièrement
faucher.v 116 :: semer ; filer ; abattre ; finement ; tuer ; planter ; donner ; récolter ; cultiver ; faux
faucher.v 160 :: trouver ; mettre ; coûter ; capture ; revenir ; tombe ; séparer ; faire ; avoir ; sortir
faucher.v 214 :: producteur ; propriétaire ; professionnel ; produit ; collectionneur ; soigneusement ; distributeur ; presque ; complémentaire ; parfaitement
faucher.v 239 :: servir ; presque ; être ; entamer ; coûter ; acheter ; renverser ; tombe ; jeter ; boire
faucher.v 248 :: taire ; brise ; blesse ; abattre ; poursuivre ; trouver ; meurtre ; déjà ; casser ; laisse
faucher.v 276 :: abattre ; semer ; couper ; récolter ; piquer ; cultiver ; tailler ; planter ; creuser ; reconnaître
faucher.v 282 :: remplacer ; trouver ; prendre ; casser ; préférer ; cherche ; récupérer ; laisse ; échange ; marque
faucher.v 290 :: tuer ; abattre ; peut-être ; blesser ; fou ; mort ; déjà ; écraser ; presque ; être
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; développer ; former ; installer ; tenir ; préside ; ouvrir
fonder.v 7 :: foi ; base ; principe ; force ; origine ; presque ; marque ; cadre ; fondamental ; généralement
fonder.v 54 :: appuyer ; base ; marque ; bâtir ; construire ; trouver ; assurer ; gagner ; cadre ; fixe
fonder.v 66 :: créer ; diriger ; lancer ; finance ; ferme ; commencer ; forge ; rejoindre ; débuter ; installer
fonder.v 88 :: rejoindre ; intégrer ; créer ; forme ; développer ; composer ; joindre ; finance ; formule ; commencer
fonder.v 93 :: traverser ; force ; base ; constituer ; valide ; forme ; caractériser ; conditionne ; définir ; appuyer
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; fonctionner ; forge ; cale ; appuyer ; composer ; fixe
fonder.v 212 :: former ; créer ; fabriquer ; contracter ; construire ; développer ; constituer ; bâtir ; établir ; monter
fonder.v 264 :: motiver ; définir ; traverser ; valide ; force ; nourrir ; marque ; constituer ; caractériser ; justifier
fonder.v 286 :: compte ; fabrique ; diriger ; anime ; ferme ; fond ; créer ; bâtir ; force ; forge
grossier.a 24 :: flagrant ; courant ; stupide ; fin ; amusant ; évident ; ridicule ; cruel ; absurde ; complet
grossier.a 37 :: vulgaire ; vicieux ; grotesque ; ridicule ; stupide ; pitoyable ; complet ; marquer ; cruel ; superficiel
grossier.a 85 :: vulgaire ; soumettre ; tendre ; agressif ; brutal ; poli ; louche ; susceptible ; arrogant ; timide
grossier.a 108 :: étranger ; fin ; produit ; déchet ; organique ; brut ; extrait ; épais ; résidu ; matériau
grossier.a 134 :: subtil ; léger ; petit ; sérieux ; vieux ; lourd ; bon ; fin ; cruel ; gros
grossier.a 179 :: profond ; véritable ; petit ; énième ; bel ; nouveau ; évident ; léger ; sérieux ; flagrant
grossier.a 227 :: vil ; vicieux ; vous ; vulgaire ; mensonge ; faux ; ridicule ; sot ; grotesque ; fin
grossier.a 228 :: témoignage ; avis ; mensonge ; argument ; prétexte ; rôle ; message ; résultat ; compte ; billet
grossier.a 231 :: faire ; erreur ; étranger ; tailler ; rester ; successif ; demeurer ; superficiel ; planter ; barbare
grossier.a 300 :: stupide ; répéter ; faire ; imbécile ; grave ; visuel ; sérieux ; habituel ; vocal ; féroce
hermétique.a 203 :: épais ; porte ; ici ; fin ; livre ; soigneusement ; solide ; boîte ; étancher ; papier
hermétique.a 71 :: secret ; explicite ; opaque ; confidentiel ; mystérieux ; énigmatique ; discret ; rassurant ; trompeur ; effrayant
hermétique.a 99 :: fermer ; sceller ; entier ; alimentaire ; congélation ; individuel ; plastique ; conserve ; garnir ; froid
hermétique.a 126 :: étanche ; imperméable ; réfractaire ; insensible ; perméable ; adapter ; allergique ; fermer ; sensible ; accrocher
hermétique.a 127 :: élitiste ; obscur ; opaque ; fermé ; religieux ; étanche ; rigide ; secret ; étrange ; académique
hermétique.a 220 :: vide ; étancher ; presque ; extrêmement ; parfaitement ; bon ; sec ; propre ; porte ; fragile
hermétique.a 226 :: insensible ; fermer ; sourd ; réfractaire ; sensible ; imperméable ; étanche ; allergique ; hostile ; indifférent
hermétique.a 261 :: oser ; inutile ; opaque ; intéressant ; étanche ; étonnant ; organique ; fermer ; éloquer ; explicite
hermétique.a 278 :: alimentaire ; plastique ; étanche ; fermé ; blanc ; noir ; secret ; interne ; chimique ; sec
hermétique.a 204 :: opaque ; obscur ; mystérieux ; inquiétant ; problématique ; rester ; priori ; énigme ; mystère ; abstrait
incorrect.a 45 :: ante ; visible ; issant ; ent ; naître ; ale ; rée ; existence ; adaptable ; pensable
incorrect.a 125 :: der ; ré ; ent ; également ; actuellement ; us ; ex ; humaine ; partout ; ante
incorrect.a 132 :: également ; an ; déjà ; radio ; mal ; hier ; cours ; faire ; côté ; in
incorrect.a 156 :: criminel ; humaine ; faute ; juger ; raisonnable ; vraiment ; pénal ; rendre ; également ; politique
incorrect.a 159 :: transposition ; application ; interprétation ; pratique ; utilisation ; applicabilité ; législation ; information ; reproduction ; procédure
incorrect.a 177 :: précis ; correct ; erroné ; donner ; inverse ; aléatoire ; arbitraire ; public ; contraire ; déterminer
incorrect.a 217 :: correct ; politiquement ; intéressant ; sensible ; léger ; original ; incomplet ; ici ; délicat ; artistique
incorrect.a 241 :: vraiment ; complètement ; totalement ; parfaitement ; immédiatement ; déjà ; dire ; normalement ; également ; habituellement
incorrect.a 298 :: ci-dessous ; compte ; ensemble ; conclusion ; article ; enseignement ; information ; applaudissement ; internet ; gouvernement
incorrect.a 299 :: donnée ; information ; renseignement ; personne ; service ; droit ; accès ; publication ; activité ; avis
intérêt.n 63 :: propre ; étranger ; grand ; commun ; rapport ; véritable ; secret ; national ; rivalité ; naturel
intérêt.n 97 :: audiovisuelle ; nouveau ; véritable ; audiovisuel ; éventuel ; aimable ; article ; usage ; étroit ; objet
intérêt.n 129 :: air ; aide ; étroit ; art ; heureux ; nouveau ; image ; international ; intense ; apercevoir
intérêt.n 146 :: air ; externe ; international ; afghan ; indien ; min ; aide ; interne ; art ; eau
intérêt.n 155 :: article ; utilisateur ; international ; information ; européen ; entreprise ; espace ; effectif ; étroit ; équipe
intérêt.n 218 :: intéressant ; côté ; utilité ; sens ; attrer ; bénéfice ; objet ; article ; faible ; avantage
intérêt.n 263 :: air ; image ; or ; lorsqu ; arriver ; auto ; externe ; cl ; apparemment ; être
intérêt.n 268 :: international ; étymologie ; usage ; incessant ; aide ; excellent ; clip ; heureux ; éternel ; ancien
intérêt.n 271 :: éventuel ; ensemble ; association ; image ; exemple ; application ; état ; indispensable ; usage ; actuel
intérêt.n 297 :: air ; or ; aide ; externe ; art ; étranger ; interne ; énergie ; image ; ion
interpréter.v 18 :: chanter ; interprétation ; jouer ; cité ; enregistrer ; présenter ; raconter ; arranger ; montrer ; reprendre
interpréter.v 21 :: chant ; jouer ; créer ; ensuite ; chanter ; assistant ; ici ; interprétation ; adapter ; également
interpréter.v 59 :: expliquer ; comprendre ; inverser ; penser ; analyser ; entendre ; envisager ; amplifier ; lire ; imaginer
interpréter.v 80 :: accueil ; aller ; accès ; expérience ; aide ; image ; guide ; or ; usage ; éventuel
interpréter.v 123 :: usage ; expérience ; ensemble ; acte ; or ; art ; article ; étymologie ; aide ; évolution
interpréter.v 128 :: joue ; incarner ; camper ; ici ; interprétation ; double ; assurer ; enfiler ; tenir ; rôle
interpréter.v 157 :: recevoir ; traduire ; traite ; influence ; écrire ; encaisse ; émettre ; accueillir ; joue ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; décoder ; lire ; expliquer ; exprimer ; apprécier ; décrypter ; évaluer
interpréter.v 267 :: clairement ; interprétation ; ici ; mal ; chanter ; présenter ; entièrement ; écrire ; constamment ; correctement
interpréter.v 289 :: jouer ; incarner ; imaginer ; animé ; habiter ; soutenir ; chanter ; raconter ; tenir ; présenter
maintenir.v 94 :: apprendre ; ajouter ; déclarer ; enseigner ; affirmer ; écrire ; montrer ; préciser ; soutenir ; penser
maintenir.v 113 :: inscrire ; présent ; visible ; mentionner ; enregistrer ; référencer ; identifier ; signaler ; repérer ; ajouter
maintenir.v 154 :: pourtant ; fermement ; garder ; position ; discrètement ; obstinément ; courageusement ; actuellement ; également ; solidement
maintenir.v 175 :: préserver ; conserver ; garder ; demeurer ; retenir ; maintien ; dissimuler ; divertir ; plonger ; conforter
maintenir.v 183 :: garder ; préserver ; assurer ; favoriser ; entretenir ; instaurer ; conserver ; mettre ; garantir ; vivre
maintenir.v 207 :: préserver ; conserver ; demeurer ; soutenir ; garder ; maintien ; rester ; soigner ; réintégrer ; retenir
maintenir.v 230 :: participation ; compte ; gouvernement ; développement ; dernier ; louis ; pari ; personne ; hollande ; fondation
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; estime ; rappeler ; prévoir ; réaffirmer ; demande ; proposer
maintenir.v 251 :: réitérer ; tenir ; renouveler ; réaffirmer ; confirmer ; répéter ; reprendre ; poursuivre ; conserve ; continuer
maintenir.v 281 :: place ; bref ; tenir ; préciser ; an ; affirmer ; dire ; compte ; dernier ; pré
mince.a 17 :: fin ; petit ; étroit ; compact ; épais ; court ; léger ; large ; réduit ; simple
mince.a 96 :: fin ; épais ; régulier ; léger ; solide ; continuer ; fixe ; lâche ; lisse ; supplémentaire
mince.a 147 :: déjà ; portrer ; presque ; également ; peut-être ; fin ; silhouette ; léger ; légèrement ; modèle
mince.a 170 :: fin ; vraiment ; incroyablement ; maigre ; fort ; peut-être ; presque ; ante ; légèrement ; poids
mince.a 192 :: menu ; petit ; large ; minuscule ; fin ; léger ; simple ; gros ; fragile ; grand
mince.a 202 :: fin ; léger ; étonnant ; voil ; épaisseur ; forme ; lumière ; cristalline ; écriture ; épais
mince.a 213 :: fin ; petit ; léger ; vêtement ; presque ; détail ; minuscule ; légèrement ; extrêmement ; épais
mince.a 225 :: maigre ; petit ; honorable ; bel ; échelle ; minuscule ; misérable ; infime ; éphémère ; léger
mince.a 242 :: chemin ; ligne ; presque ; limite ; chose ; vraiment ; fin ; moyen ; loin ; somme
mince.a 292 :: fin ; conducteur ; épais ; léger ; limite ; métallique ; supérieur ; intermédiaire ; interne ; céramique
modeste.a 29 :: minuscule ; petit ; minime ; minable ; misérable ; humble ; grand ; coin ; simple ; insignifiant
modeste.a 114 :: humble ; pauvre ; poli ; bon ; discret ; honnête ; timide ; charmant ; gentil ; sympathique
modeste.a 121 :: significatif ; important ; minime ; négligeable ; infime ; minuscule ; faible ; mesurer ; petit ; modérer
modeste.a 163 :: faible ; limité ; minime ; petit ; léger ; personnel ; confidentielle ; modérer ; propre ; pauvre
modeste.a 195 :: limité ; faible ; médiocre ; misérable ; élevé ; considérable ; équitable ; mince ; réduire ; substantiel
modeste.a 197 :: pourtant ; femme ; également ; français ; demeurer ; petit ; silhouette ; artisan ; salaire ; modèle
modeste.a 200 :: limité ; faible ; mesurer ; réduire ; modérer ; léger ; fort ; petit ; élevé ; temps
modeste.a 246 :: élevé ; important ; faible ; petit ; léger ; conséquent ; considérable ; grand ; politique ; médiocre
modeste.a 269 :: humble ; digne ; petit ; jeune ; pauvre ; bon ; misérable ; minuscule ; piètre ; fier
modeste.a 283 :: discret ; humble ; timide ; réserver ; fier ; digne ; pauvre ; silencieux ; solitaire ; discrètement
montée.n 15 :: poussée ; courbe ; progression ; tendance ; côte ; victoire ; droite ; faveur ; évolution ; fort
montée.n 56 :: partie ; chute ; hauteur ; descente ; question ; montagne ; poussée ; ligne ; pente ; hausse
montée.n 75 :: descente ; terrasse ; suite ; passerelle ; promenade ; chute ; visite ; monte ; façade ; mezzanine
montée.n 138 :: poussée ; évolution ; hausse ; performance ; progression ; puissance ; capacité ; pointe ; croissant ; réputation
montée.n 141 :: hausse ; descente ; monte ; baisse ; poussée ; chute ; réduction ; progression ; courbe ; transition
