affection.n 8 :: bibliothèque ; conseiller ; université ; dernier ; participation ; nouveau ; universitaire ; professionnel ; collection ; merveilleux
arrêter.v 273 :: condamner ; adopter ; prendre ; exécuter ; suspendre ; enlever ; assassiner ; interdire ; abandonner ; tuer
arrêter.v 277 :: or ; in ; parer ; os ; article ; auparavant ; aimer ; avoir ; an ; point
arrêter.v 291 :: signer ; adopter ; approuver ; publier ; proposer ; délivrer ; émettre ; décider ; fermer ; produit
capacité.n 26 :: faculté ; puissance ; possibilité ; disponibilité ; flexibilité ; pouvoir ; souplesse ; disposition ; vulnérabilité ; rapidité
capacité.n 32 :: puissance ; quantité ; force ; propriété ; réserve ; charge ; tête ; possibilité ; production ; moyen
capacité.n 35 :: clinique ; faculté ; chambre ; activité ; section ; formation ; résidence ; maîtrise ; expertise ; presse
capacité.n 70 :: puissance ; fréquentation ; surface ; dimension ; consommation ; rentabilité ; production ; sécurité ; remplissage ; place
capacité.n 73 :: faculté ; compétence ; aptitude ; force ; détermination ; disponibilité ; souplesse ; possibilité ; dimension ; liberté
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; liberté ; pouvoir ; fonction ; force ; propre ; vertu
capacité.n 103 :: stock ; possibilité ; ressource ; activité ; réserve ; volume ; quantité ; disponibilité ; infrastructure ; installation
capacité.n 110 :: possibilité ; puissance ; quantité ; réserve ; hauteur ; batterie ; fonction ; participation ; somme ; solution
capacité.n 135 :: marge ; faculté ; liberté ; possibilité ; puissance ; pouvoir ; force ; droit ; sphère ; porter
capacité.n 148 :: faculté ; aptitude ; compétence ; possibilité ; connaissance ; coopération ; formation ; qualité ; disposition ; qualification
commander.v 5 :: signer ; dicter ; écrire ; demander ; adresser ; vouloir ; réaliser ; effectuer ; publier ; lancer
commander.v 9 :: commander ; commencer ; acheter ; créer ; déjà ; également ; choisir ; officiellement ; gratuitement ; faire
commander.v 16 :: commanda ; diriger ; soutenir ; ordonner ; prendre ; recevoir ; conserve ; lancer ; combat ; subir
commander.v 41 :: commencer ; choisir ; définir ; demander ; effectuer ; commande ; décider ; lancer ; avoir ; faire
commander.v 48 :: contrôlent ; tirer ; déterminer ; diriger ; créer ; gérer ; financer ; mener ; gouverner ; régir
commander.v 117 :: commande ; venir ; dicter ; bon ; regarde ; au-dessus ; mal ; çà ; tenir ; normalement
commander.v 164 :: ordonner ; imposer ; obéir ; enseigne ; prescrire ; appartenir ; dicter ; demande ; interdire ; plaire
commander.v 171 :: acheter ; réserver ; acquérir ; valider ; commande ; déguster ; recevoir ; prendre ; terminer ; imprimer
commander.v 206 :: servir ; permettre ; protéger ; venir ; acheter ; donner ; exclusif ; appliquer ; assurer ; prévoir
commander.v 240 :: commande ; uniquement ; également ; carrément ; voire ; régler ; faire ; programmer ; simplement ; personnaliser
compris.a 52 :: assimiler ; accepter ; lire ; adopter ; prise ; contenue ; enseigner ; entendre ; interpréter ; appliquer
compris.a 90 :: croire ; penser ; convaincre ; ajouter ; réaliser ; considérer ; estimer ; sentir ; entendre ; assurer
compris.a 106 :: entendre ; penser ; croire ; vivre ; nécessaire ; vouloir ; préciser ; confirmer ; savoir ; davantage
compris.a 185 :: inclure ; contenir ; situer ; présent ; mentionner ; conserver ; inscrire ; incorporer ; inclus ; placer
compris.a 186 :: entrer ; inclure ; rester ; situer ; présent ; aller ; rentrer ; sortir ; déjà ; excellent
compris.a 187 :: inclure ; compter ; définir ; répartir ; choisir ; varier ; situer ; tomber ; suggérer ; évaluer
compris.a 211 :: répartir ; situer ; intermédiaire ; varier ; mesurer ; définir ; inclus ; contenir ; partager ; principalement
compris.a 232 :: inclure ; compter ; intégré ; prendre ; reprendre ; comptabiliser ; contenu ; couvert ; prévoir ; investir
compris.a 272 :: saisir ; réaliser ; penser ; comprendre ; capter ; percevoir ; prendre ; deviner ; croire ; sentir
compris.a 287 :: également ; avoir ; comprendre ; inclure ; fois ; exemple ; être ; chose ; prix ; expliquer
couverture.n 65 :: dernier ; page ; édition ; carte ; actualité ; sommaire ; brochure ; numéro ; dossier ; chronique
couverture.n 67 :: vie ; peau ; survie ; route ; chemise ; veste ; corde ; chance ; réputation ; carrière
couverture.n 72 :: garniture ; couvrir ; manteau ; couvert ; coiffure ; chapeau ; voil ; vêtement ; toiture ; housse
couverture.n 143 :: manchette ; couvrir ; page ; illustration ; bref ; fort ; vignette ; éditorial ; politique ; annoncer
couverture.n 149 :: protection ; sécurité ; gestion ; répartition ; garantie ; maîtrise ; vie ; responsabilité ; perception ; stratégie
couverture.n 150 :: toiture ; couvrir ; charpente ; tuile ; dalle ; toit ; isolation ; terrasse ; protection ; voûte
couverture.n 201 :: surveillance ; protection ; desserte ; sécurité ; gestion ; couvrir ; conquête ; connaissance ; localisation ; défense
couverture.n 257 :: toiture ; terre ; remplacement ; construction ; revêtement ; toit ; sol ; finition ; base ; protection
couverture.n 265 :: couette ; couvrir ; literie ; peau ; oreiller ; housse ; couche ; épais ; bibliothèque ; isolation
couverture.n 280 :: bon ; vrai ; jaquette ; traduction ; peau ; dernier ; toiture ; foi ; principal ; préface
débit.n 64 :: compte ; faciliter ; montant ; banque ; carte ; crédit ; écriture ; titre ; délai ; bon
débit.n 87 :: fort ; rapide ; grand ; élevé ; air ; qualité ; gros ; régulier ; important ; double
débit.n 115 :: niveau ; rythme ; cours ; écoulement ; développement ; volume ; flux ; flot ; nombre ; accès
débit.n 131 :: niveau ; couche ; dépôt ; eau ; lit ; courant ; chambre ; cours ; rejet ; nappe
débit.n 136 :: flux ; cours ; crue ; caractéristique ; bassin ; niveau ; effectif ; volume ; potentiel ; débordement
débit.n 168 :: temps ; total ; internet ; montant ; écoulement ; principal ; lent ; fluvial ; train ; quai
débit.n 169 :: cours ; moyen ; rivière ; droit ; suite ; vallée ; niveau ; ligne ; vitesse ; hausse
débit.n 184 :: vitesse ; taux ; capacité ; maximum ; intérêt ; stockage ; puissance ; ratio ; densité ; rendement
débit.n 188 :: niveau ; apport ; cours ; eau ; effectif ; flux ; courant ; berge ; paramètre ; coefficient
débit.n 205 :: flux ; rythme ; mode ; caractère ; accès ; mouvement ; écoulement ; vol ; trafic ; canal
direction.n 78 :: conduite ; responsabilité ; coordination ; directrice ; diriger ; présidence ; discipline ; houlette ; critique ; langue
direction.n 111 :: gestion ; conduite ; bon ; directrice ; équipe ; diriger ; animation ; réalisation ; nouveau ; production
direction.n 151 :: orienter ; directrice ; zou ; gêne ; lift ; montant ; marina ; diriger ; patronne ; parer
direction.n 152 :: bon ; droite ; orientation ; orienter ; vertical ; ligne ; sens ; horizontal ; angle ; principal
direction.n 172 :: rejoindre ; destination ; bonjour ; peut-être ; cap ; presque ; quitte ; carrément ; vivement ; face
direction.n 176 :: rapport ; couple ; vitesse ; commande ; sens ; orientation ; régime ; précision ; centre ; conduite
direction.n 199 :: gauche ; majorité ; rédaction ; présidence ; partir ; confédération ; droite ; coordination ; presse ; fédération
direction.n 223 :: nouveau ; orientation ; formation ; cap ; bon ; directeur ; directrice ; évolution ; développement ; ancien
direction.n 262 :: responsabilité ; directrice ; présidence ; conduite ; tête ; gestion ; maîtrise ; directeur ; propriété ; défense
direction.n 279 :: destination ; provenance ; départ ; tance ; pari ; nouveau ; régulier ; région ; chine ; province
don.n 19 :: précieux ; sacrer ; cadeau ; merveilleux ; divin ; simple ; véritable ; ultime ; universel ; suprême
don.n 30 :: talent ; pouvoir ; élan ; oeil ; atout ; instinct ; sens ; trait ; loisir ; bras
don.n 36 :: merveilleux ; magique ; appeler ; dom ; véritable ; divin ; étrange ; extraordinaire ; sacrer ; précieux
don.n 60 :: cadeau ; titre ; traitement ; produit ; geste ; transfert ; livre ; sens ; sacrifice ; travail
don.n 84 :: enfant ; animal ; produit ; loyer ; investissement ; fruit ; bien ; vin ; intérêt ; apport
don.n 107 :: cadeau ; part ; confiance ; grâce ; legs ; offrir ; apport ; honneur ; présent ; léguer
don.n 130 :: enfant ; bénéficiaire ; ami ; personne ; fonds ; homme ; pauvre ; souhait ; grâce ; parent
don.n 196 :: pouvoir ; talent ; génie ; mérite ; temps ; droit ; qualité ; défaut ; force ; con
don.n 244 :: cadeau ; bon ; legs ; bénévolat ; souher ; mécénat ; geste ; soutien ; versement ; présent
don.n 245 :: talent ; domaine ; grand ; pouvoir ; qualité ; côté ; faculté ; oeil ; art ; trésor
entraîner.v 39 :: or ; art ; aide ; ouverture ; international ; air ; image ; obliger ; origine ; iranien
entraîner.v 47 :: automatiquement ; conduire ; naturellement ; inévitablement ; également ; progressivement ; logiquement ; impliquer ; mener ; nécessairement
entraîner.v 55 :: or ; clip ; aide ; art ; actuel ; image ; international ; air ; ensemble ; italien
entraîner.v 57 :: or ; avoir ; irlandais ; eau ; aller ; autant ; obliger ; excellent ; être ; auparavant
entraîner.v 133 :: aide ; ancien ; image ; ensemble ; air ; animal ; aider ; or ; art ; énergie
entraîner.v 140 :: li ; être ; ensuite ; rapidement ; aussitôt ; faire ; immédiatement ; durement ; bientôt ; attirer
entraîner.v 144 :: avoir ; invite ; obliger ; commencer ; force ; engager ; inviter ; pousse ; inciter ; aller
entraîner.v 161 :: provoquer ; engendrer ; conduire ; apparaître ; amener ; éviter ; produire ; causer ; induire ; inévitablement
entraîner.v 162 :: généralement ; provoquer ; processus ; progressivement ; ici ; conduire ; ensemble ; influence ; changement ; inévitablement
entraîner.v 191 :: emporter ; attirer ; engager ; jeter ; amener ; précipiter ; emmener ; traîner ; conduire ; élever
éplucher.v 10 :: peler ; couper ; laver ; égoutter ; presser ; ouvrir ; passer ; nettoyer ; débarrasser ; faire
éplucher.v 51 :: éplucher ; travailler ; analyser ; trouver ; référencer ; regarder ; accès ; récolter ; écrire ; dépouiller
éplucher.v 69 :: finement ; faire ; ensuite ; peler ; soigneusement ; également ; longuement ; oignon ; facilement ; rapidement
éplucher.v 100 :: finement ; éplucher ; grossièrement ; couper ; préalablement ; soigneusement ; récolter ; minutieusement ; trancher ; peler
éplucher.v 119 :: éplucher ; dénicher ; fouillé ; référencer ; compiler ; évidemment ; scrupuleusement ; récolter ; noter ; minutieusement
éplucher.v 167 :: fruit ; légume ; feuille ; fleur ; découvrir ; laver ; courgette ; vérifier ; oignon ; poivron
éplucher.v 174 :: faire ; lire ; vider ; peler ; conserver ; aller ; ensuite ; éviter ; déposer ; livre
éplucher.v 235 :: peler ; affiner ; pomme ; faire ; enlever ; préparer ; nettoyer ; acheter ; passer ; dérouler
éplucher.v 236 :: donner ; donne ; suivre ; récolter ; chercher ; trouver ; déjà ; forcément ; vraiment ; aller
éplucher.v 258 :: peler ; oignon ; presser ; faire ; lamelle ; blanchir ; laver ; pépin ; fruit ; écraser
espace.n 13 :: établissement ; or ; innombrable ; immense ; installation ; os ; ouvrage ; intense ; grand ; immeuble
espace.n 27 :: air ; intérieur ; image ; ancien ; or ; international ; étranger ; art ; aller ; aide
espace.n 79 :: coin ; zone ; environnement ; ensemble ; support ; office ; aire ; module ; salle ; écran
espace.n 120 :: petit ; excellent ; étroit ; air ; propre ; grand ; article ; ajouter ; nouveau ; utiliser
espace.n 137 :: environnement ; information ; développement ; marché ; enseignement ; statistique ; avantage ; entreprise ; investissement ; service
espace.n 142 :: air ; international ; étymologie ; art ; interne ; externe ; allemand ; alpha ; afghan ; étroit
espace.n 180 :: lien ; échange ; partage ; donnée ; lignée ; arbre ; lieu ; enfant ; territoire ; contenir
espace.n 208 :: ancien ; grand ; euro ; ion ; important ; petit ; énorme ; nouveau ; étroit ; excellent
espace.n 229 :: service ; produit ; petit ; propre ; événement ; investissement ; équipement ; environnement ; travail ; meilleur
espace.n 243 :: article ; écran ; intervalle ; trou ; vide ; coin ; place ; ensemble ; temps ; jeu
essuyer.v 11 :: laver ; essuyer ; rincer ; faire ; protéger ; nettoyer ; remplir ; soigneusement ; retirer ; passer
essuyer.v 58 :: subir ; constater ; rencontrer ; connaître ; recevoir ; obtenir ; ici ; encaisser ; confronter ; enregistrer
essuyer.v 77 :: essuie ; éponge ; encre ; verse ; faire ; laver ; effacer ; larme ; pardon ; contenir
essuyer.v 81 :: faire ; but ; us ; éponge ; essuie ; ra ; devoir ; usa ; laver ; avoir
essuyer.v 86 :: presque ; recevoir ; entendre ; continuer ; passer ; tenir ; laisse ; voire ; devoir ; obtenir
essuyer.v 89 :: essuie ; revers ; opposer ; personnellement ; recevoir ; constater ; subir ; durement ; systématiquement ; récemment
essuyer.v 98 :: recevoir ; encaisser ; faire ; subir ; prendre ; voir ; utiliser ; gagner ; obtenir ; découvrir
essuyer.v 166 :: pépin ; sécher ; noyau ; graine ; baie ; feuille ; noix ; légume ; main ; olive
essuyer.v 215 :: subir ; recevoir ; connaître ; obtenir ; accumuler ; vivre ; récolter ; affronter ; rencontrer ; enchaîner
essuyer.v 266 :: enlever ; retirer ; essuie ; éviter ; nettoyer ; faire ; assurer ; laver ; nettoyage ; laisser
faucher.v 12 :: jeter ; tuer ; causer ; déposer ; briser ; presque ; bientôt ; écraser ; repousser ; poussée
faucher.v 42 :: mieux ; déjà ; peut-être ; découverte ; également ; vendange ; apparaître ; privé ; ajouter ; inscrire
faucher.v 116 :: crime ; art ; sauvagement ; nouveau ; allègrement ; travail ; histoire ; naissance ; mort ; poursuite
faucher.v 160 :: laisse ; donne ; faire ; laisser ; tuer ; donner ; avoir ; commencer ; éclater ; entraîner
faucher.v 214 :: marque ; moyen ; vie ; petit ; canada ; prix ; différence ; nouveau ; dent ; fonds
faucher.v 239 :: acheter ; presque ; servir ; cassé ; jeter ; partager ; jamais ; trouver ; briser ; plein
faucher.v 248 :: abattre ; taire ; blesse ; frappe ; tombe ; poursuivre ; laisse ; trouver ; brise ; écraser
faucher.v 276 :: cation ; ciller ; cage ; con ; faux ; fou ; chier ; cher ; bel ; perche
faucher.v 282 :: remplacer ; passer ; falloir ; quitte ; trouver ; finalement ; dernier ; éliminer ; laisse ; prendre
faucher.v 290 :: donner ; fa ; fatal ; couper ; choisir ; hacher ; acheter ; servir ; frapper ; planter
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; ouvrir ; former ; faire ; développer ; tenir ; bâtir
fonder.v 7 :: force ; motiver ; sous-tendre ; porte ; traverser ; légitime ; conditionne ; constituer ; caractériser ; guide
fonder.v 54 :: base ; appuyer ; repose ; bâtir ; constituer ; presque ; traverser ; assurer ; force ; socle
fonder.v 66 :: ferme ; rejoindre ; commencer ; installer ; fabrique ; ouvrir ; prendre ; traverser ; vie ; quitte
fonder.v 88 :: finance ; créer ; forme ; diriger ; organiser ; intégrer ; installer ; dessiner ; ouvrir ; formule
fonder.v 93 :: définir ; forme ; force ; traverser ; constituer ; appuyer ; conditionne ; construire ; base ; supporter
fonder.v 158 :: base ; bâtir ; repose ; forge ; fond ; appuyer ; construire ; fonctionner ; focaliser ; baser
fonder.v 212 :: former ; constituer ; contracter ; créer ; faire ; fabriquer ; composer ; forger ; porter ; construire
fonder.v 264 :: motiver ; base ; valide ; force ; constituer ; traverser ; bâtir ; limite ; forme ; ferme
fonder.v 286 :: diriger ; réunir ; anime ; ferme ; rejoindre ; forme ; créer ; formule ; développer ; ouvrir
grossier.a 24 :: flagrant ; formel ; évident ; grave ; sérieux ; clair ; simple ; complet ; exact ; stupide
grossier.a 37 :: habile ; subtil ; malhonnête ; avancer ; fin ; manipulateur ; utiliser ; élaborer ; exact ; sophistiquer
grossier.a 85 :: timide ; violent ; vulgaire ; susceptible ; poli ; arrogant ; amical ; nerveux ; provoquer ; jaloux
grossier.a 108 :: produit ; presque ; noir ; parfait ; fin ; synthétique ; caractère ; parfaitement ; plat ; point
grossier.a 134 :: léger ; grand ; subtil ; gros ; petit ; fort ; flagrant ; lourd ; sensible ; simpliste
grossier.a 179 :: matière ; impression ; éducation ; chaîne ; communion ; télévision ; manière ; propagande ; communication ; vidéo
grossier.a 227 :: volontairement ; vulgaire ; voire ; manipulateur ; rester ; ridicule ; narcissique ; grossièrement ; sexiste ; extrêmement
grossier.a 228 :: vulgaire ; chrétien ; allemand ; fait ; trait ; distinguer ; supérieur ; primitif ; sauvage ; coupable
grossier.a 231 :: humain ; léger ; matériel ; faire ; quotidien ; profond ; vulgaire ; simple ; commune ; inférieur
grossier.a 300 :: noir ; faire ; lourd ; stupide ; quelquefois ; presque ; ridicule ; cale ; fin ; user
hermétique.a 203 :: anonyme ; manquante ; mystérieusement ; identique ; presque ; complet ; manuscrit ; archive ; opaque ; tique
hermétique.a 71 :: mystérieux ; étanche ; effrayant ; magique ; opaque ; obscur ; secret ; confidentiel ; sombre ; rassurant
hermétique.a 99 :: fermer ; fermeture ; sceller ; plastique ; étanche ; emballage ; parfaitement ; transparent ; sécuritaire ; porte
hermétique.a 126 :: septique ; étanche ; interne ; aveugle ; fin ; presque ; propre ; sourd ; muet ; pareil
hermétique.a 127 :: élitiste ; académique ; étanche ; obscur ; littéraire ; énigmatique ; externe ; politique ; réserver ; commercial
hermétique.a 220 :: étancher ; poli ; homogène ; clos ; fermer ; rigide ; huis ; entrer ; définir ; stable
hermétique.a 226 :: totalement ; presque ; complètement ; extrêmement ; peut-être ; également ; voire ; devenir ; rester ; sensible
hermétique.a 261 :: réducteur ; opaque ; fermer ; explicite ; intégré ; solide ; intéressant ; intérieur ; formel ; interne
hermétique.a 278 :: creux ; chimique ; étanche ; alimentaire ; plastique ; technique ; solide ; secret ; fermé ; close
hermétique.a 204 :: ultime ; archive ; objet ; édition ; boite ; opaque ; trésor ; conserver ; oeil ; oeuvre
incorrect.a 45 :: con ; humaine ; der ; évaluation ; opérationnel ; estimer ; global ; in ; utile ; actif
incorrect.a 125 :: complètement ; parfaitement ; totalement ; vraiment ; ré ; der ; naître ; ent ; devenir ; également
incorrect.a 132 :: également ; déjà ; totalement ; extrêmement ; mal ; infiniment ; faire ; davantage ; fort ; armée
incorrect.a 156 :: juger ; vraiment ; raisonnable ; appeler ; humaine ; également ; pratique ; rendre ; criminel ; politique
incorrect.a 159 :: utilisation ; application ; pratique ; interprétation ; transposition ; infraction ; exploitation ; traduction ; participation ; erreur
incorrect.a 177 :: correct ; donner ; précis ; aléatoire ; inverse ; arbitraire ; irrégulier ; imposer ; erroné ; contraire
incorrect.a 217 :: correct ; stupide ; drôle ; sujet ; original ; approximatif ; enfant ; bon ; ici ; mauvais
incorrect.a 241 :: vraiment ; totalement ; complètement ; parfaitement ; presque ; extrêmement ; mal ; dire ; apparemment ; forcément
incorrect.a 298 :: dangereux ; maladroit ; vrai ; irrégulier ; ridicule ; inutile ; déçu ; décevant ; incomplet ; malheureux
incorrect.a 299 :: personnel ; confidentiel ; transmettre ; bancaire ; saisir ; donnée ; électronique ; important ; protéger ; financier
intérêt.n 63 :: avis ; point ; opinion ; élément ; principe ; sentiment ; objectif ; impératif ; souhait ; argument
intérêt.n 97 :: nouveau ; libre ; véritable ; propre ; groupe ; grand ; présent ; meilleur ; article ; simple
intérêt.n 129 :: externe ; propre ; long ; aide ; étroit ; art ; international ; nouveau ; côté ; groupe
intérêt.n 146 :: évolution ; or ; art ; image ; emploi ; air ; eau ; aide ; ouverture ; ensemble
intérêt.n 155 :: utilisateur ; nouveau ; espace ; information ; électronique ; entreprise ; apprentissage ; article ; international ; avenir
intérêt.n 218 :: avantage ; utilité ; bénéfice ; intéressant ; côté ; important ; élément ; importance ; attrer ; enseignement
intérêt.n 263 :: air ; excellent ; for ; meilleur ; principal ; heureux ; propre ; cor ; nouveau ; aide
intérêt.n 268 :: international ; nouveau ; usage ; incessant ; aide ; excellent ; véritable ; immense ; principal ; propre
intérêt.n 271 :: air ; usage ; article ; être ; éventuel ; aide ; excellent ; objet ; eau ; image
intérêt.n 297 :: aide ; externe ; air ; image ; animal ; or ; énergie ; heureux ; art ; enseigner
interpréter.v 18 :: chanter ; jouer ; interprétation ; présenter ; inspirer ; offrir ; ré ; raconter ; écrire ; reprendre
interpréter.v 21 :: jouer ; illustrer ; arranger ; enregistrer ; exécuter ; adapter ; écrire ; interprétation ; chanter ; présenter
interpréter.v 59 :: expliquer ; comprendre ; penser ; analyser ; voir ; inverser ; relativiser ; lire ; regarder ; aborder
interpréter.v 80 :: art ; aide ; animal ; or ; an ; air ; image ; expérience ; étroit ; international
interpréter.v 123 :: air ; international ; aide ; externe ; argument ; étroit ; or ; usage ; évaluation ; étymologie
interpréter.v 128 :: joue ; incarner ; offrir ; camper ; prendre ; interprétation ; assurer ; composer ; tenir ; écrire
interpréter.v 157 :: écrire ; recevoir ; actif ; émettre ; analyse ; enregistrer ; écoute ; envoyer ; accueillir ; encaisse
interpréter.v 260 :: analyser ; comprendre ; apprécier ; expliquer ; décrypter ; entendre ; évaluer ; utiliser ; lire ; commenter
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; envisager ; percevoir ; aménager ; expliquer ; regarder
interpréter.v 289 :: jouer ; chanter ; animé ; incarner ; présenter ; imaginer ; écrire ; dansé ; raconter ; vivre
maintenir.v 94 :: fermement ; tenir ; soutenir ; assurer ; foi ; espoir ; entendre ; confiance ; raison ; décider
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; identifier ; retrouver ; repérer ; ajouter
maintenir.v 154 :: garder ; tenir ; garde ; assurer ; conserver ; observer ; renforcer ; constamment ; attirer ; soutenir
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; mettre ; retenir ; demeurer ; guider ; couler ; manipuler
maintenir.v 183 :: garder ; conserver ; préserver ; favoriser ; instaurer ; garantir ; entretenir ; assurer ; créer ; mettre
maintenir.v 207 :: conserver ; garder ; préserver ; rester ; demeurer ; retenir ; sauvegarder ; soutenir ; maintien ; entretenir
maintenir.v 230 :: dernier ; présent ; premier ; compte ; nouveau ; être ; famille ; hollande ; reston ; communauté
maintenir.v 234 :: considérer ; souhaiter ; vouloir ; rappeler ; estime ; réaffirmer ; affirmer ; ajouter ; reconnaître ; déclarer
maintenir.v 251 :: maintien ; inscription ; soutenir ; fermement ; ancre ; position ; demande ; soutien ; tradition ; ferme
maintenir.v 281 :: compte ; dernier ; présent ; programme ; bref ; soutien ; place ; également ; bon ; appui
mince.a 17 :: fin ; épais ; petit ; grand ; long ; fort ; maigre ; frêle ; léger ; faible
mince.a 96 :: fin ; épais ; régulier ; léger ; sec ; lisse ; continuer ; solide ; souple ; dur
mince.a 147 :: léger ; portrer ; score ; écart ; légèrement ; tracé ; également ; maigre ; équilibré ; profil
mince.a 170 :: maigre ; légèrement ; étroit ; serrer ; fin ; épais ; léger ; faible ; tendre ; nettement
mince.a 192 :: ancien ; vieux ; petit ; damas ; français ; noir ; papier ; vert ; léger ; classique
mince.a 202 :: fin ; membrane ; supérieur ; épaisseur ; électrode ; surface ; poreux ; épais ; couche ; céramique
mince.a 213 :: maigre ; minime ; faible ; léger ; juste ; petit ; riche ; grossier ; simple ; pauvre
mince.a 225 :: bon ; maigre ; grand ; critique ; honorable ; maître ; brillant ; réel ; petit ; bel
mince.a 242 :: franchir ; poreux ; flou ; fin ; étroit ; perméable ; haut ; fragile ; tracée ; marquer
mince.a 292 :: fin ; épais ; continuer ; supérieur ; physique ; organique ; plastique ; léger ; métallique ; intermédiaire
modeste.a 29 :: petit ; humble ; grand ; minuscule ; misérable ; cadre ; populaire ; coin ; médiocre ; réduit
modeste.a 114 :: humble ; discret ; pauvre ; bon ; timide ; digne ; muet ; petit ; fidèle ; serviable
modeste.a 121 :: faible ; minime ; réduire ; modérer ; minuscule ; négligeable ; considérable ; important ; discret ; petit
modeste.a 163 :: limité ; minime ; modique ; confidentielle ; nécessaire ; faible ; modérer ; contenue ; petit ; médiocre
modeste.a 195 :: élevé ; limité ; important ; substantiel ; faible ; modérer ; misérable ; considérable ; stable ; minime
modeste.a 197 :: être ; rester ; demeurer ; déjà ; généralement ; largement ; revenu ; également ; élevé ; apparaître
modeste.a 200 :: limité ; temps ; faible ; réduire ; nécessaire ; petit ; restreindre ; prudent ; chose ; élevé
modeste.a 246 :: élevé ; inférieur ; faible ; léger ; important ; marchand ; économique ; populaire ; raisonnable ; intermédiaire
modeste.a 269 :: humble ; pauvre ; petit ; presque ; bon ; jeune ; devenir ; misérable ; digne ; honorable
modeste.a 283 :: humble ; digne ; discret ; profond ; mature ; arrogant ; solide ; fragile ; sympathique ; secret
montée.n 15 :: côte ; courbe ; poussée ; mue ; victoire ; vague ; droite ; machine ; cote ; réduction
montée.n 56 :: construction ; développement ; politique ; progression ; ascension ; professionnel ; montagne ; participation ; échelle ; présidentielle
montée.n 75 :: descente ; visite ; balade ; promenade ; ascension ; terrasse ; suite ; passerelle ; monte ; journée
montée.n 138 :: évolution ; hausse ; performance ; croissance ; gestion ; complexité ; poussée ; capacité ; monte ; demande
