affection.n 8 :: affectation ; tendresse ; amitié ; institution ; dernier ; disposition ; opinion ; histoire ; ambition ; expression
arrêter.v 1 :: enlever ; stopper ; tuer ; abandonner ; recueillir ; capturer ; prendre ; attacher ; condamner ; mort
arrêter.v 14 :: hospitaliser ; interpeller ; municipal ; blessé ; blesser ; interpellé ; condamner ; suspendre ; prise ; entreprise
arrêter.v 23 :: être ; apercevoir ; appeler ; aimer ; englober ; arme ; avantage ; excellent ; art ; âge
arrêter.v 25 :: laisse ; oublier ; passer ; abandonner ; quitte ; être ; trouver ; savoir ; acheter ; oui
arrêter.v 50 :: appeler ; faire ; prendre ; apprendre ; commencer ; inventer ; enlever ; éteindre ; quitter ; essayer
arrêter.v 181 :: dresse ; établir ; préparer ; déterminer ; vérifier ; approuver ; fixe ; affiche ; définir ; donne
arrêter.v 219 :: tuer ; stopper ; attraper ; acheter ; bloquer ; atteindre ; fabriquer ; faire ; transporter ; abattre
arrêter.v 273 :: capturer ; adopter ; condamner ; emprisonner ; enlever ; interdire ; prendre ; écrire ; assassiner ; rendre
arrêter.v 277 :: or ; article ; os ; intermédiaire ; in ; an ; euro ; instrument ; avoir ; albanais
arrêter.v 291 :: publier ; émettre ; adopter ; établir ; décider ; délivrer ; élaborer ; proposer ; approuver ; signer
capacité.n 26 :: faculté ; disponibilité ; puissance ; flexibilité ; possibilité ; pouvoir ; rapidité ; souplesse ; disposition ; capable
capacité.n 32 :: chaîne ; puissance ; tête ; raison ; quantité ; machine ; force ; demande ; activité ; charge
capacité.n 35 :: licence ; maîtrise ; spécialisation ; clinique ; certificat ; mention ; réponse ; profession ; autorisation ; formation
capacité.n 70 :: puissance ; disponibilité ; performance ; propriété ; force ; différence ; quantité ; résistance ; fonction ; batterie
capacité.n 73 :: faculté ; compétence ; aptitude ; force ; souplesse ; détermination ; résilience ; volonté ; disponibilité ; dimension
capacité.n 101 :: faculté ; qualité ; compétence ; puissance ; fonction ; liberté ; pouvoir ; propre ; vie ; vertu
capacité.n 103 :: coût ; quantité ; volume ; installation ; chaîne ; charge ; unité ; possibilité ; besoin ; moyen
capacité.n 110 :: possibilité ; puissance ; quantité ; réserve ; batterie ; garantie ; participation ; solution ; présence ; fonction
capacité.n 135 :: faculté ; force ; puissance ; possibilité ; marge ; liberté ; pouvoir ; vitesse ; volonté ; valeur
capacité.n 148 :: compétence ; maîtrise ; formation ; spécialisation ; maturité ; connaissance ; qualification ; certification ; aptitude ; licence
commander.v 5 :: publier ; écrire ; dicter ; accomplir ; réaliser ; effectuer ; signer ; rédiger ; paraître ; tenir
commander.v 9 :: commander ; réserver ; découvrir ; acheter ; commencer ; créer ; choisir ; demander ; apprendre ; ajouter
commander.v 16 :: diriger ; ordonner ; commanda ; soutenir ; mener ; recevoir ; consigne ; lancer ; conserve ; commandant
commander.v 41 :: choisir ; effectuer ; faire ; décider ; commencer ; créer ; lancer ; définir ; réaliser ; voir
commander.v 48 :: commande ; international ; particulier ; nouveau ; gouvernemental ; national ; entreprise ; important ; français ; participation
commander.v 117 :: commande ; césar ; demander ; commandement ; demande ; commanda ; dicter ; ordonner ; dieu ; faire
commander.v 164 :: donne ; ment ; ordonner ; diriger ; joue ; enseigne ; musique ; rythme ; ferme ; contrôle
commander.v 171 :: acquérir ; acheter ; commande ; réserver ; imprimer ; tester ; déguster ; découvrir ; admirer ; ouvrir
commander.v 206 :: tandis ; suggérer ; prévoir ; assurer ; permettre ; venir ; vouloir ; expliquer ; veiller ; ajouter
commander.v 240 :: commande ; contrôler ; faire ; régler ; payer ; ajouter ; grâce ; personnaliser ; imprimer ; piloter
compris.a 52 :: accepter ; assimiler ; interpréter ; lire ; prise ; intégrer ; retenir ; entendre ; contenue ; compréhensible
compris.a 90 :: ajouter ; apprécier ; préciser ; reconnaître ; aimer ; estimer ; accepter ; assurer ; falloir ; trouver
compris.a 106 :: vivre ; penser ; davantage ; entendre ; corrigé ; apprendre ; vouloir ; croire ; prouver ; déjà
compris.a 185 :: inclure ; incorporer ; contenir ; inclus ; situer ; mentionner ; présent ; placer ; inscrire ; reproduire
compris.a 186 :: inclure ; situer ; entrer ; rester ; déjà ; présent ; incorporer ; inscrire ; recevoir ; également
compris.a 187 :: inclure ; prendre ; compter ; contenu ; définir ; couvert ; situer ; répartir ; assurer ; calculer
compris.a 211 :: situer ; partager ; répartir ; grouper ; mesurer ; inclus ; varier ; contenir ; maintenir ; local
compris.a 232 :: inclure ; comprendre ; indiquer ; inclus ; également ; livraison ; frais ; port ; expédition ; net
compris.a 272 :: réaliser ; saisir ; croire ; penser ; comprendre ; sentir ; savoir ; apprendre ; entendre ; deviner
compris.a 287 :: intégré ; assimiler ; saisir ; apprendre ; repérer ; comprendre ; adopter ; reconnaître ; apprécier ; découvrir
couverture.n 65 :: page ; dernier ; rédaction ; totalité ; dossier ; moitié ; partie ; série ; sommaire ; numéro
couverture.n 67 :: vie ; peau ; carrière ; chance ; réputation ; survie ; liberté ; corde ; place ; route
couverture.n 72 :: toiture ; housse ; reliure ; couvrir ; toile ; dessin ; sol ; finition ; fond ; bibliothèque
couverture.n 143 :: manchette ; illustration ; tête ; couvrir ; page ; éditorial ; conclusion ; sommaire ; vignette ; kiosque
couverture.n 149 :: protection ; sécurité ; couvert ; régime ; vie ; traitement ; responsabilité ; garantie ; défense ; guerre
couverture.n 150 :: toiture ; couvrir ; pierre ; tuile ; toit ; charpente ; dalle ; protection ; construction ; desserte
couverture.n 201 :: lecture ; diffusion ; protection ; donnée ; réception ; détection ; développement ; surveillance ; mémoire ; gestion
couverture.n 257 :: toiture ; remplacement ; construction ; revêtement ; sol ; transformation ; fourniture ; base ; protection ; prix
couverture.n 265 :: couvrir ; serviette ; couette ; housse ; voil ; bibliothèque ; véranda ; bâche ; aile ; enveloppe
couverture.n 280 :: police ; face ; page ; rose ; bon ; peau ; rage ; illustration ; biographie ; zone
débit.n 64 :: dépôt ; crédit ; transfert ; réel ; escompte ; paiement ; direct ; rachat ; vente ; remettre
débit.n 87 :: flux ; accès ; automatique ; ligne ; carte ; rapide ; montant ; compte ; faciliter ; résultat
débit.n 115 :: flux ; volume ; régime ; niveau ; rythme ; poids ; rendement ; jeu ; minimum ; nombre
débit.n 131 :: eau ; lit ; niveau ; chambre ; cours ; flux ; activité ; rejet ; inondation ; bassin
débit.n 136 :: cours ; eau ; journalier ; courant ; niveau ; pic ; principal ; flux ; rejet ; moyen
débit.n 168 :: traitement ; paiement ; règlement ; montant ; retrait ; transfert ; crédit ; dépôt ; remboursement ; solde
débit.n 169 :: montant ; flux ; cours ; résultat ; niveau ; rythme ; volume ; prix ; poids ; taux
débit.n 184 :: capacité ; utilisation ; potentiel ; rythme ; taux ; solde ; rendement ; puissance ; différence ; traitement
débit.n 188 :: crue ; pluie ; inondation ; précipitation ; ruisseau ; apport ; courant ; marée ; flux ; rejet
débit.n 205 :: flux ; écoulement ; temps ; rythme ; binaire ; canal ; moyen ; lent ; mode ; tempo
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; directrice ; critique ; performance ; diriger ; rédaction ; langue
direction.n 111 :: ligne ; orientation ; conduite ; force ; vision ; directrice ; tête ; tendance ; famille ; position
direction.n 151 :: directrice ; directeur ; présidence ; délégation ; président ; équipe ; rédaction ; responsable ; supérieur ; fédération
direction.n 152 :: ligne ; axe ; orientation ; position ; rotation ; roue ; tête ; stratégie ; vitesse ; droite
direction.n 172 :: nord ; destination ; presque ; droite ; ouest ; saint ; pari ; alpe ; sud ; diriger
direction.n 176 :: bon ; bel ; droite ; ligne ; prendre ; main ; facile ; forme ; partir ; orientation
direction.n 199 :: rédaction ; directrice ; présidence ; commission ; coopératif ; coordination ; délégation ; fédération ; président ; communauté
direction.n 223 :: conduite ; responsabilité ; gestion ; maîtrise ; tâche ; langue ; présidence ; diriger ; représentation ; réalisation
direction.n 262 :: responsabilité ; présidence ; directrice ; conduite ; tête ; gestion ; régence ; diriger ; maîtrise ; commande
direction.n 279 :: provenance ; venir ; destination ; sens ; face ; faveur ; province ; revenir ; raison ; sortir
don.n 19 :: pouvoir ; sens ; bon ; précieux ; cadeau ; talent ; extraordinaire ; terrible ; génie ; dent
don.n 30 :: premier ; petit ; étoile ; dom ; jeunesse ; nouveau ; main ; aile ; proche ; tas
don.n 36 :: talent ; sens ; cadeau ; souher ; lien ; legs ; amour ; pouvoir ; bon ; jour
don.n 60 :: cadeau ; sacrifice ; sacrement ; produit ; geste ; titre ; ministère ; retournement ; présent ; placement
don.n 84 :: contribution ; cadeau ; loyer ; produit ; fonds ; avantage ; service ; bon ; droit ; entrepreneur
don.n 107 :: cadeau ; présent ; legs ; confiance ; présentation ; part ; offrir ; grâce ; dessin ; offrande
don.n 130 :: grâce ; cadeau ; fonds ; talent ; bénédiction ; vocation ; lien ; signe ; enfant ; apport
don.n 196 :: talent ; pouvoir ; génie ; secret ; traitement ; truc ; chic ; temps ; droit ; travail
don.n 244 :: cadeau ; mécénat ; legs ; versement ; soutien ; bon ; souher ; profit ; transfert ; droit
don.n 245 :: témoignage ; travail ; reste ; site ; homme ; trésor ; artiste ; objet ; être ; texte
entraîner.v 39 :: air ; international ; art ; or ; aide ; obliger ; iranien ; étroit ; expédier ; étranger
entraîner.v 47 :: obliger ; aider ; conduire ; amener ; encourager ; engager ; invite ; pousse ; inciter ; aide
entraîner.v 55 :: international ; aide ; clip ; efficace ; afghan ; art ; or ; italien ; étroit ; incessant
entraîner.v 57 :: or ; eau ; air ; excellent ; aéroport ; effectif ; obliger ; efficace ; exercice ; aviation
entraîner.v 133 :: aide ; air ; ensemble ; image ; art ; ancien ; échange ; animal ; enseigner ; clip
entraîner.v 140 :: amener ; conduire ; pousser ; envoyer ; mener ; emmener ; attirer ; projeter ; aller ; emporter
entraîner.v 144 :: invite ; obliger ; avoir ; inviter ; engager ; commencer ; inciter ; amener ; force ; pousse
entraîner.v 161 :: provoquer ; conduire ; apparaître ; causer ; induire ; engendrer ; produire ; créer ; amener ; éviter
entraîner.v 162 :: amener ; conduire ; provoquer ; engendrer ; encourager ; impliquer ; produit ; influence ; favoriser ; déclenche
entraîner.v 191 :: emporter ; abandonner ; conduire ; envoyer ; apporter ; amener ; atteindre ; pousser ; emmener ; jeter
éplucher.v 10 :: amande ; noisette ; os ; noix ; aubergine ; abricot ; serre ; ananas ; patate ; poivron
éplucher.v 51 :: fouillé ; récolter ; examiner ; analyser ; travailler ; trouver ; accès ; enquêté ; découvrir ; retrouver
éplucher.v 69 :: finement ; soigneusement ; longuement ; faire ; minutieusement ; vite ; littéralement ; mieux ; rapidement ; aller
éplucher.v 100 :: peler ; récolter ; finement ; éplucher ; couper ; soigneusement ; cultiver ; côté ; coté ; légèrement
éplucher.v 119 :: forum ; travail ; travailler ; croiser ; écrire ; tour ; fois ; commander ; réfléchir ; jeu
éplucher.v 167 :: laver ; laisser ; feuille ; oignon ; courgette ; carotte ; légume ; betterave ; poireau ; eau
éplucher.v 174 :: consulter ; regarder ; analyser ; lire ; rechercher ; voir ; chercher ; sélectionner ; surveiller ; examiner
éplucher.v 235 :: peler ; acheter ; passer ; presser ; trancher ; faire ; détailler ; couper ; arracher ; récolter
éplucher.v 236 :: éplucher ; aller ; récolter ; déjà ; tourner ; minutieux ; infra ; devoir ; minutieusement ; tri
éplucher.v 258 :: raison ; repas ; éviter ; débutant ; préparation ; protéger ; recette ; néophyte ; préparer ; massage
espace.n 13 :: or ; origine ; aide ; ouverture ; énergie ; accueil ; ensemble ; international ; exploitation ; optique
espace.n 27 :: air ; or ; art ; eau ; image ; aide ; ancien ; antique ; immigré ; obliger
espace.n 79 :: module ; zone ; support ; office ; environnement ; coin ; salon ; emplacement ; lieu ; service
espace.n 120 :: air ; article ; excellent ; étroit ; apercevoir ; avoir ; ancien ; interne ; international ; utilisateur
espace.n 137 :: environnement ; information ; marché ; entreprise ; contenu ; développement ; investissement ; organisation ; assurance ; produit
espace.n 142 :: air ; international ; actuel ; étymologie ; art ; indien ; aide ; interne ; étranger ; afghan
espace.n 180 :: grand ; devenir ; nouveau ; partage ; social ; imaginaire ; ancien ; temps ; spatial ; sacrer
espace.n 208 :: air ; étroit ; instrument ; international ; ensemble ; innombrable ; or ; environnement ; article ; excellent
espace.n 229 :: propre ; environnement ; service ; événement ; petit ; investissement ; projet ; produit ; développement ; talent
espace.n 243 :: article ; compte ; rôle ; ensemble ; coin ; contenu ; enfant ; place ; domaine ; écran
essuyer.v 11 :: laver ; rincer ; essuyer ; faire ; désinfection ; remplir ; préparer ; ouvrir ; couvrir ; rafraîchir
essuyer.v 58 :: durement ; essuie ; mal ; pourtant ; constamment ; ensuite ; peut-être ; régulièrement ; malheureusement ; presque
essuyer.v 77 :: in ; lire ; an ; yang ; men ; li ; os ; mi ; han ; or
essuyer.v 81 :: essuie ; propre ; ment ; sec ; ration ; avoir ; ante ; naître ; rée ; eau
essuyer.v 86 :: ligne ; recevoir ; devoir ; laisse ; continuer ; recueillir ; répondre ; assister ; donne ; internet
essuyer.v 89 :: durement ; froid ; dur ; marbre ; revers ; déjà ; refus ; refuser ; pierre ; presque
essuyer.v 98 :: faire ; voir ; gagner ; recevoir ; perdre ; encaisser ; acheter ; découvrir ; manger ; prendre
essuyer.v 166 :: pépin ; noyau ; graine ; légume ; baie ; sécher ; feuille ; noix ; olive ; agrume
essuyer.v 215 :: subir ; recevoir ; essuie ; déjà ; refuser ; encaisser ; opposer ; sortir ; souffrir ; besoin
essuyer.v 266 :: essuie ; retourner ; laver ; soigneusement ; enlever ; balayer ; énergiquement ; éviter ; nettoyer ; sécher
faucher.v 12 :: tuer ; briser ; déposer ; jeter ; enlever ; piétonne ; tracée ; écraser ; grièvement ; assassiner
faucher.v 42 :: dernier ; personne ; premier ; produit ; donnée ; publication ; jeune ; nouveau ; petit ; fonctionnaire
faucher.v 116 :: semer ; travailler ; pousser ; gelé ; hacher ; abattre ; planter ; manipuler ; raccourci ; diriger
faucher.v 160 :: par ; zou ; framboise ; irrémédiablement ; bénin ; antipode ; gant ; poursuivre ; croiser ; pépite
faucher.v 214 :: faire ; voir ; moyen ; propre ; bon ; article ; mieux ; voiture ; esprit ; fort
faucher.v 239 :: nouveau ; dernier ; petit ; fa ; photo ; côté ; rue ; maison ; roquette ; bas
faucher.v 248 :: blesse ; taire ; abattre ; brise ; frappe ; laisse ; meurtre ; poursuivre ; déjà ; tombe
faucher.v 276 :: piqu ; perche ; ciller ; pousse ; semer ; faux ; han ; tige ; hache ; fin
faucher.v 282 :: remplacer ; piqu ; centre ; virer ; balance ; marque ; prendre ; quitte ; glisse ; casser
faucher.v 290 :: tuer ; abattre ; froidement ; volontairement ; finement ; semer ; blesser ; joyeusement ; déjà ; presque
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; développer ; former ; lancer ; installer ; établir ; être
fonder.v 7 :: sous-tendre ; conditionne ; constituer ; motiver ; justifier ; base ; appuyer ; force ; expliquer ; caractériser
fonder.v 54 :: base ; repose ; solide ; appuyer ; solidement ; bâtir ; asseoir ; construire ; porte ; constituer
fonder.v 66 :: monastère ; an ; damas ; saint ; ensuite ; benoît ; julien ; chine ; dieu ; moine
fonder.v 88 :: forme ; quitte ; intégrer ; ouvrir ; ferme ; créer ; installer ; rejoindre ; fondation ; formule
fonder.v 93 :: traverser ; assurer ; définir ; appuyer ; renforcer ; forme ; constituer ; force ; caractériser ; valide
fonder.v 158 :: base ; cale ; repose ; appui ; fond ; bâtir ; composer ; construire ; appuyer ; centre
fonder.v 212 :: fondre ; fondation ; former ; faire ; presque ; établissement ; instaurer ; établir ; peut-être ; détruire
fonder.v 264 :: motiver ; définir ; traverser ; constituer ; valide ; caractériser ; force ; base ; bâtir ; marque
fonder.v 286 :: créer ; forme ; fabrique ; compte ; ouvrir ; ferme ; forge ; réunir ; développer ; monte
grossier.a 24 :: stupide ; monumental ; grave ; grotesque ; flagrant ; total ; complet ; courant ; amusant ; ridicule
grossier.a 37 :: habile ; ingénieux ; sophistiquer ; pervers ; avancer ; utiliser ; manipulateur ; vicieux ; lâche ; infâme
grossier.a 85 :: susceptible ; vulgaire ; tendre ; poli ; arrogant ; agressif ; vil ; violent ; maladroit ; prétentieux
grossier.a 108 :: fin ; synthétique ; lourd ; étranger ; déchet ; produit ; médical ; utiliser ; solide ; raffiné
grossier.a 134 :: gros ; fort ; léger ; long ; grave ; lourd ; grand ; subtil ; bon ; lâche
grossier.a 179 :: propagande ; information ; publicité ; diffusion ; intention ; analyse ; désinformation ; visite ; accusation ; exploitation
grossier.a 227 :: vulgaire ; poli ; arrogant ; prétentieux ; ridicule ; maladroit ; incorrect ; agressif ; sexiste ; désagréable
grossier.a 228 :: témoignage ; positif ; billet ; mensonge ; sens ; avis ; prétexte ; résultat ; sentiment ; fait
grossier.a 231 :: terrestre ; matériel ; commune ; profane ; extérieur ; moral ; vulgaire ; humain ; public ; coupable
grossier.a 300 :: faute ; erreur ; accusation ; faire ; vulgaire ; quelquefois ; devenir ; juger ; attaque ; sale
hermétique.a 203 :: obscur ; opaque ; partiel ; mystère ; théorique ; abstrait ; problématique ; mystérieux ; fermer ; ouvert
hermétique.a 71 :: mystérieux ; énigmatique ; effrayant ; étrange ; incompréhensible ; obscur ; opaque ; étonnant ; inquiétant ; secret
hermétique.a 99 :: sceller ; fermer ; complet ; magique ; contenir ; chimique ; révolutionnaire ; plastique ; porte ; pratique
hermétique.a 126 :: hypnotique ; mystère ; presque ; inconnu ; noir ; personnage ; prêt ; mystérieux ; parfaitement ; magique
hermétique.a 127 :: littéraire ; philosophique ; critique ; musical ; élitiste ; poétique ; magique ; obscur ; art ; politique
hermétique.a 220 :: opaque ; mystérieux ; extrêmement ; rituel ; fort ; mystère ; texte ; garder ; problématique ; fragile
hermétique.a 226 :: insensible ; réfractaire ; sourd ; indifférent ; sensible ; fermer ; attentif ; imperméable ; hostile ; étranger
hermétique.a 261 :: confidentiel ; étanche ; éloquer ; discret ; explicite ; secret ; magique ; timide ; sensible ; ridicule
hermétique.a 278 :: close ; boîte ; fermé ; solide ; secret ; propre ; complètement ; parfaitement ; alimentaire ; étanche
hermétique.a 204 :: partiel ; problématique ; aléatoire ; homogène ; incertain ; chronologique ; inquiétant ; priori ; mystérieux ; hétérogène
incorrect.a 45 :: ante ; actuellement ; actif ; sensiblement ; humaine ; naître ; nommer ; estimer ; désirer ; rée
incorrect.a 125 :: ante ; us ; ent ; complètement ; humaine ; actuellement ; naître ; nommer ; immédiatement ; porter
incorrect.a 132 :: radio ; mois ; côté ; an ; haut ; cours ; second ; jour ; également ; miss
incorrect.a 156 :: judiciaire ; criminel ; politique ; pénal ; juridique ; professionnel ; administratif ; extrêmement ; exemplaire ; public
incorrect.a 159 :: application ; interprétation ; transposition ; utilisation ; pratique ; exécution ; exploitation ; infraction ; traduction ; applicabilité
incorrect.a 177 :: précis ; erroné ; automatique ; inverse ; correct ; supérieur ; total ; prédéterminer ; obligatoire ; public
incorrect.a 217 :: stupide ; inutile ; ici ; politiquement ; intéressant ; ridicule ; superflu ; là ; incomplet ; insignifiant
incorrect.a 241 :: aire ; dire ; us ; devoir ; forme ; naître ; visiblement ; âme ; complètement ; table
incorrect.a 298 :: bon ; correct ; vrai ; irrégulier ; mauvais ; évident ; erroné ; faux ; difficile ; approximatif
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; identifiabler ; donnée ; transmettre ; protéger ; saisir ; sensible ; traiter
intérêt.n 63 :: avis ; vision ; opinion ; conception ; idée ; argument ; vue ; sentiment ; logique ; objectif
intérêt.n 97 :: nouveau ; seul ; propre ; groupe ; véritable ; commission ; article ; catégorie ; propriété ; zone
intérêt.n 129 :: international ; heureux ; aide ; énergie ; irremplaçable ; évolution ; ensemble ; activité ; incessant ; air
intérêt.n 146 :: air ; art ; image ; aide ; or ; évolution ; éternel ; eau ; ensemble ; international
intérêt.n 155 :: institution ; entreprise ; parlement ; commission ; international ; association ; environnement ; audiovisuel ; industrie ; article
intérêt.n 218 :: principal ; important ; intéressant ; faible ; caractère ; général ; côté ; grand ; évident ; double
intérêt.n 263 :: véritable ; meilleur ; excellent ; propre ; principal ; nouveau ; simple ; illustre ; cor ; min
intérêt.n 268 :: adjectif ; international ; incessant ; immigré ; usage ; nouveau ; art ; image ; interne ; air
intérêt.n 271 :: éventuel ; actuel ; excellent ; article ; exemple ; être ; officieux ; atlantique ; or ; heure
intérêt.n 297 :: art ; aide ; image ; animal ; eau ; ensemble ; or ; air ; externe ; aller
interpréter.v 18 :: ensuite ; magnifiquement ; ré ; également ; interprétation ; ci-dessous ; aussitôt ; brillamment ; ici ; remarquablement
interpréter.v 21 :: rôle ; tour ; interprétation ; texte ; concert ; double ; dieu ; passage ; jésus ; justice
interpréter.v 59 :: expliquer ; comprendre ; inverser ; analyser ; anticiper ; enrayer ; qualifier ; prévoir ; mesurer ; penser
interpréter.v 80 :: or ; ensemble ; aller ; ici ; aide ; habitude ; aimer ; art ; ajouter ; an
interpréter.v 123 :: image ; art ; usage ; aide ; aspect ; expérience ; accueil ; or ; excellent ; ambassade
interpréter.v 128 :: joue ; incarner ; rôle ; double ; interprétation ; assurer ; an ; jeu ; principal ; ici
interpréter.v 157 :: recevoir ; traduire ; écrire ; analyse ; traite ; code ; actif ; interprétation ; écoute ; utiliser
interpréter.v 260 :: comprendre ; analyser ; évaluer ; entendre ; exploiter ; apprécier ; expliquer ; interprétation ; lire ; examiner
interpréter.v 267 :: vivre ; entendre ; lire ; comprendre ; percevoir ; vue ; interprétation ; envisager ; regarder ; formulée
interpréter.v 289 :: imaginer ; incarner ; jouer ; chanter ; interprétation ; habiter ; animé ; soutenir ; enseigner ; emmener
maintenir.v 94 :: apprendre ; ajouter ; enseigner ; écrire ; montrer ; déclarer ; entendre ; préciser ; remarquer ; rappeler
maintenir.v 113 :: inscrire ; visible ; présent ; enregistrer ; renseigner ; mentionner ; signaler ; disponible ; identifier ; trouver
maintenir.v 154 :: garder ; conserver ; renforcer ; poursuivre ; demeurer ; continuer ; exercer ; confirmer ; retenir ; tenir
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; perpétuer ; entretenir ; retenir ; demeurer ; vivre ; mettre
maintenir.v 183 :: espoir ; constance ; ici ; entretenir ; fort ; objectif ; tradition ; maintien ; faire ; assurer
maintenir.v 207 :: conserver ; garder ; préserver ; demeurer ; maintien ; rester ; soutenir ; retenir ; sauvegarder ; stabiliser
maintenir.v 230 :: participation ; tenir ; dernier ; compte ; être ; également ; avoir ; gouvernement ; personnellement ; compagnie
maintenir.v 234 :: proposer ; estime ; rappeler ; affirmer ; soutenir ; souhaiter ; considérer ; déclarer ; demande ; assurer
maintenir.v 251 :: tenir ; réitérer ; confirmer ; réaffirmer ; conserve ; répéter ; renouveler ; reprendre ; poursuivre ; continuer
maintenir.v 281 :: dire ; ajouter ; croire ; insister ; affirmer ; soutien ; fermement ; rappeler ; vouloir ; tenir
mince.a 17 :: fin ; fort ; étroit ; faible ; épais ; large ; haut ; profond ; vulnérable ; intime
mince.a 96 :: épais ; fin ; régulier ; lisse ; léger ; sec ; continuer ; dur ; uniforme ; sensible
mince.a 147 :: simple ; sommaire ; léger ; fin ; bref ; court ; bel ; intéressant ; linéaire ; complexe
mince.a 170 :: fragile ; petit ; serrer ; léger ; simple ; bon ; maigre ; étroit ; long ; fin
mince.a 192 :: papier ; épais ; film ; légèrement ; bande ; châssis ; adhésif ; devenir ; souple ; petit
mince.a 202 :: fin ; épais ; léger ; petit ; double ; nouveau ; dernier ; second ; simple ; solide
mince.a 213 :: petit ; fin ; maigre ; léger ; réduire ; épais ; jumeau ; parallèle ; millimètre ; minuscule
mince.a 225 :: fin ; serrer ; tendre ; sage ; filet ; voil ; honorable ; final ; carré ; maigre
mince.a 242 :: fin ; étroit ; serrer ; faible ; fragile ; maigre ; court ; préciser ; fort ; bon
mince.a 292 :: fin ; conducteur ; isolant ; épais ; métallique ; supérieur ; solide ; invisible ; élastique ; léger
modeste.a 29 :: petit ; minuscule ; humble ; rôle ; milieu ; cadre ; logement ; local ; bâtiment ; travail
modeste.a 114 :: petit ; humble ; pourtant ; malheureux ; pauvre ; chrétien ; gentil ; honorable ; enfant ; vivant
modeste.a 121 :: marginal ; minime ; faible ; important ; négligeable ; significatif ; discret ; infime ; réduire ; essentiel
modeste.a 163 :: limité ; personnel ; léger ; petit ; minime ; spectaculaire ; important ; récent ; propre ; complet
modeste.a 195 :: limité ; substantiel ; élevé ; personnel ; minime ; restreindre ; diversifier ; important ; familial ; faible
modeste.a 197 :: être ; légèrement ; petit ; déjà ; demeurer ; apparaître ; pourtant ; également ; nettement ; parent
modeste.a 200 :: limité ; réduire ; restreindre ; faible ; chose ; petit ; comprendre ; nécessaire ; mesurer ; appliquer
modeste.a 246 :: faible ; léger ; élevé ; important ; petit ; inférieur ; grand ; politique ; intéressant ; raisonnable
modeste.a 269 :: petit ; jeune ; humble ; russe ; pauvre ; digne ; devenir ; brillant ; soviétique ; simple
modeste.a 283 :: humble ; digne ; simple ; discret ; pauvre ; confidentiel ; populaire ; faible ; fragile ; léger
montée.n 15 :: poussée ; courbe ; droite ; victoire ; mue ; tendance ; division ; côte ; ascension ; faveur
montée.n 56 :: progression ; augmentation ; descente ; poussée ; montagne ; hausse ; hiérarchie ; pente ; hauteur ; vallée
montée.n 75 :: terrasse ; promenade ; balade ; place ; suite ; passage ; promotion ; descente ; visite ; passerelle
