affection.n 8 :: institution ; long ; international ; organisation ; association ; réputation ; politique ; pratique ; national ; lettre
couverture.n 280 :: peau ; lune ; nouveau ; toile ; plume ; histoire ; forme ; couvrir ; protection ; marquis
débit.n 64 :: crédit ; compte ; achat ; chèqu ; bancaire ; dépôt ; courant ; montant ; ordre ; solde
débit.n 87 :: vente ; puissance ; qualité ; gros ; jet ; flot ; capacité ; air ; haut ; minimum
débit.n 115 :: cours ; flux ; niveau ; flot ; volume ; rythme ; bassin ; filet ; front ; état
débit.n 131 :: activité ; eau ; service ; tour ; festival ; système ; centre ; établissement ; structure ; manifestation
débit.n 136 :: cours ; niveau ; montant ; flux ; eau ; val ; bord ; courant ; potentiel ; dépôt
débit.n 168 :: montant ; traitement ; paiement ; règlement ; prélèvement ; compte ; contrôle ; crédit ; retrait ; choix
débit.n 169 :: cours ; système ; bassin ; niveau ; service ; réseau ; traitement ; fonctionnement ; marché ; droit
débit.n 184 :: maximum ; rythme ; taux ; potentiel ; cap ; support ; record ; flux ; rendement ; fichier
débit.n 188 :: effectif ; niveau ; flux ; apport ; rejet ; précipitation ; cours ; eau ; crue ; prélèvement
débit.n 205 :: flux ; rythme ; canal ; temps ; mode ; volume ; contenu ; flot ; ordre ; style
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; performance ; langue ; main ; houlette ; forme ; maîtrise
direction.n 111 :: directeur ; présidence ; directrice ; nouveau ; bureau ; général ; supérieur ; interne ; comité ; management
direction.n 151 :: directrice ; présidence ; rédaction ; directeur ; gestion ; commission ; coopératif ; recteur ; président ; tête
direction.n 152 :: droite ; principal ; bon ; vertical ; constant ; nouveau ; ligne ; normal ; double ; forme
direction.n 172 :: rejoindre ; bonjour ; ensuite ; bientôt ; finalement ; destination ; peut-être ; quitte ; traverser ; gagner
direction.n 176 :: orientation ; directrice ; ligne ; vertical ; montant ; bon ; diriger ; dominant ; tendance ; principal
direction.n 199 :: partir ; majorité ; présidence ; rédaction ; équipe ; presse ; coordination ; famille ; gauche ; nouveau
direction.n 223 :: nouveau ; musical ; artistique ; bon ; religieux ; familial ; étroit ; professionnel ; meilleur ; principal
direction.n 262 :: tête ; présidence ; responsabilité ; commande ; relever ; diriger ; main ; route ; gestion ; montagne
direction.n 279 :: destination ; provenance ; sens ; raison ; venir ; vallée ; face ; voie ; faveur ; région
don.n 19 :: sens ; talent ; génie ; pouvoir ; temps ; doué ; fonds ; inné ; droit ; extraordinaire
don.n 30 :: bon ; nouveau ; petit ; plein ; merveilleux ; premier ; fabuleux ; côté ; main ; jeune
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; droit ; domaine ; charm ; ministère ; goût
don.n 60 :: cadeau ; sacrifice ; produit ; traitement ; mariage ; legs ; point ; transfert ; travail ; signe
don.n 84 :: contribution ; apport ; fonds ; chèque ; capital ; loyer ; être ; revenu ; paiement ; jeu
don.n 107 :: cadeau ; part ; offrir ; présent ; parvenir ; grâce ; usage ; preuve ; proposition ; honneur
don.n 130 :: cadeau ; legs ; fonds ; généreux ; bon ; enfant ; contribution ; signe ; ami ; coeur
don.n 196 :: pouvoir ; extraordinaire ; droit ; spécial ; cadeau ; génie ; ministère ; talent ; genre ; truc
don.n 244 :: cadeau ; mécénat ; bon ; soutien ; travail ; legs ; versement ; profit ; apport ; contenir
don.n 245 :: vase ; reste ; os ; bijou ; exemple ; collier ; témoignage ; fossile ; cadeau ; travail
entraîner.v 39 :: art ; or ; image ; aide ; ensemble ; international ; air ; animal ; éternel ; immigré
entraîner.v 47 :: amener ; aider ; obliger ; conduire ; engager ; encourager ; apprendre ; inciter ; pousse ; impliquer
entraîner.v 55 :: air ; international ; aide ; incessant ; effectif ; art ; indispensable ; étroit ; excellent ; clip
entraîner.v 57 :: excellent ; air ; avoir ; auto ; irlandais ; être ; envoi ; or ; eau ; alpha
entraîner.v 133 :: aide ; air ; image ; or ; art ; ancien ; aider ; eau ; efficace ; énergie
entraîner.v 140 :: envoyer ; amener ; mener ; engager ; emporter ; conduire ; attirer ; pousser ; lancer ; aller
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; force ; amener ; pousse ; inciter ; commencer
entraîner.v 161 :: provoquer ; amener ; conduire ; pallier ; engendrer ; produire ; apparaître ; créer ; causer ; compenser
entraîner.v 162 :: amener ; complet ; provoquer ; conduire ; actif ; assurer ; favoriser ; engendrer ; déclenche ; encourager
entraîner.v 191 :: amener ; emporter ; conduire ; attirer ; mener ; envoyer ; engager ; jeter ; porter ; emmener
éplucher.v 10 :: nettoyer ; peler ; presser ; raser ; laver ; couper ; faire ; ouvrir ; aider ; acheter
éplucher.v 51 :: accès ; trouver ; arracher ; retrouver ; lire ; travailler ; découvrir ; fouillé ; analyser ; regarder
éplucher.v 69 :: soigneusement ; longuement ; faire ; minutieusement ; rapidement ; passer ; correctement ; lire ; finement ; presque
éplucher.v 100 :: éplucher ; couper ; finement ; grossièrement ; ôter ; cuisiner ; oignon ; cuit ; laver ; trancher
éplucher.v 119 :: éplucher ; fouillé ; croiser ; regarder ; lire ; parcourir ; forum ; travailler ; récolter ; survoler
éplucher.v 167 :: laver ; oublier ; ajouter ; utiliser ; garder ; couper ; compter ; laisser ; aller ; conserver
éplucher.v 174 :: consulter ; supprimer ; voir ; retrouver ; visiter ; effacer ; découvrir ; afficher ; lire ; ajouter
éplucher.v 235 :: peler ; tailler ; détailler ; enfiler ; faire ; trancher ; nettoyer ; presser ; mieux ; couper
éplucher.v 236 :: devoir ; ensuite ; éplucher ; déjà ; donner ; également ; regarder ; évidemment ; récolter ; aller
éplucher.v 258 :: peler ; blanchir ; laver ; faire ; conserver ; préparer ; rincer ; cuire ; garder ; retirer
espace.n 13 :: or ; ensemble ; air ; origine ; énergie ; international ; horizon ; aide ; évolution ; exemple
espace.n 27 :: air ; or ; étrange ; éternel ; immense ; eau ; excellent ; homme ; aide ; énergie
espace.n 79 :: zone ; coin ; pôle ; environnement ; outil ; office ; lieu ; service ; module ; support
espace.n 120 :: air ; article ; avantage ; apercevoir ; or ; énergie ; être ; an ; externe ; origine
espace.n 137 :: environnement ; marché ; emploi ; information ; investissement ; instrument ; avantage ; accord ; domaine ; avis
espace.n 142 :: air ; international ; interne ; énergie ; aide ; image ; eau ; éternel ; étranger ; étymologie
espace.n 180 :: grand ; nouveau ; petit ; beal ; immense ; magnifique ; sacrer ; profond ; créer ; propre
espace.n 208 :: euro ; ancien ; association ; entreprise ; innombrable ; organisation ; organisme ; université ; information ; état
espace.n 229 :: petit ; événement ; propre ; talent ; produit ; aménagement ; atout ; évènement ; service ; projet
espace.n 243 :: lien ; coin ; intervalle ; article ; vide ; place ; temps ; ligne ; ensemble ; site
essuyer.v 11 :: essuyer ; laver ; rincer ; désinfection ; faire ; rinçage ; essuie ; rafraîchir ; nettoyer ; frotter
essuyer.v 58 :: subir ; recevoir ; essuie ; avoir ; régulièrement ; rencontrer ; déjà ; quotidiennement ; croiser ; enregistrer
essuyer.v 77 :: essuie ; os ; oui ; an ; tas ; avoir ; ra ; pourtant ; presque ; pis
essuyer.v 81 :: ra ; ch ; oui ; répondit ; an ; ment ; sourire ; pouvoir ; us ; faire
essuyer.v 86 :: laisse ; devoir ; recevoir ; assurer ; assister ; donne ; répondre ; accorder ; ligne ; obtenir
essuyer.v 89 :: malheureusement ; également ; opposer ; rencontrer ; essuie ; ensuite ; finalement ; recevoir ; pourtant ; déjà
essuyer.v 98 :: faire ; encaisser ; gagner ; souffrir ; subir ; voir ; perdre ; recevoir ; prendre ; acheter
essuyer.v 166 :: pépin ; sécher ; noyau ; baie ; feuille ; noix ; légume ; peler ; graine ; main
essuyer.v 215 :: revers ; recevoir ; essuie ; subir ; refus ; échec ; refuser ; déjà ; encaisser ; recueillir
essuyer.v 266 :: retourner ; enlever ; nettoyer ; remplir ; verser ; assurer ; faire ; laisser ; essuie ; voir
faucher.v 12 :: presque ; magnifiquement ; déjà ; volontairement ; peut-être ; sauvagement ; probablement ; soigneusement ; abattre ; vie
faucher.v 42 :: découverte ; mieux ; également ; devenir ; peut-être ; apparaître ; atteindre ; déjà ; davantage ; travailler
faucher.v 116 :: semer ; abattre ; travailler ; détruire ; donner ; ravager ; dévaster ; arracher ; voler ; planter
faucher.v 160 :: lin ; haie ; rivière ; an ; dernier ; angélique ; bocage ; aune ; pascal ; mont
faucher.v 214 :: presque ; faire ; travailler ; également ; voir ; donner ; question ; extrêmement ; tenir ; vraiment
faucher.v 239 :: servir ; renverser ; jeter ; acheter ; renverse ; trouver ; cassé ; volée ; presque ; partager
faucher.v 248 :: petit ; pépinière ; foin ; papier ; fumier ; fourche ; herbe ; compost ; terre ; bois
faucher.v 276 :: abattre ; couper ; planter ; tailler ; pousser ; piquer ; garder ; développer ; broyer ; enfoncer
faucher.v 282 :: remplacer ; piqu ; préférer ; cale ; cherche ; marque ; trouver ; bientôt ; prendre ; casser
faucher.v 290 :: finement ; cheval ; pré ; hacher ; fa ; blesser ; parer ; presque ; tuer ; peut-être
fonder.v 6 :: fondre ; créer ; former ; bâtir ; organiser ; diriger ; être ; développer ; ouvrir ; faire
fonder.v 7 :: force ; porte ; traverser ; base ; appuyer ; cadre ; conditionne ; définir ; construire ; marque
fonder.v 54 :: base ; appuyer ; bâtir ; assurer ; porte ; construire ; marque ; repose ; constituer ; gagner
fonder.v 66 :: créer ; ferme ; commencer ; installer ; diriger ; rejoindre ; fond ; forme ; ouvrir ; finance
fonder.v 88 :: intégrer ; créer ; forme ; diriger ; anime ; rejoindre ; organiser ; développer ; formule ; composer
fonder.v 93 :: traverser ; force ; appuyer ; forme ; base ; constituer ; valide ; conditionne ; bâtir ; porte
fonder.v 158 :: base ; bâtir ; focaliser ; repose ; forge ; baser ; fond ; bâtisse ; ferme ; calque
fonder.v 212 :: faire ; former ; créer ; fabriquer ; contracter ; fondre ; mettre ; développer ; organiser ; établir
fonder.v 264 :: bâtir ; définir ; motiver ; vraiment ; base ; constituer ; faire ; force ; traverser ; voir
fonder.v 286 :: formule ; ferme ; forme ; fabrique ; créer ; fond ; finance ; fondation ; installer ; réunir
grossier.a 24 :: monumental ; complet ; évident ; fondamental ; total ; stupide ; profond ; courant ; flagrant ; grave
grossier.a 37 :: fin ; subtil ; vil ; brutal ; serrer ; vulgaire ; raffiné ; sale ; correct ; maître
grossier.a 85 :: sot ; agressif ; sale ; méchant ; violent ; poli ; vulgaire ; féroce ; brutal ; vicieux
grossier.a 108 :: fin ; grossièrement ; arrondi ; léger ; végétal ; dégrader ; noir ; gras ; caillou ; couper
grossier.a 134 :: mauvais ; vulgaire ; bon ; léger ; coupable ; petit ; simple ; lourd ; subtil ; évident
grossier.a 179 :: grave ; profond ; vrai ; énorme ; honteux ; grand ; gros ; petit ; incroyable ; nouveau
grossier.a 227 :: vulgaire ; vicieux ; pervers ; insulte ; manipulateur ; vraiment ; poli ; vidéo ; langage ; propos
grossier.a 228 :: positif ; témoignage ; billet ; mensonge ; médical ; policier ; négatif ; document ; recevoir ; rendre
grossier.a 231 :: terrestre ; vulgaire ; matériel ; humain ; profane ; personnel ; égoïste ; coupable ; extérieur ; public
grossier.a 300 :: commune ; habituel ; vulgaire ; coupable ; faire ; stupide ; répéter ; malheureux ; stérile ; sauvage
hermétique.a 203 :: mystérieux ; fermer ; sage ; opaque ; mystère ; demeurer ; parfaitement ; arcane ; politique ; prudent
hermétique.a 71 :: côté ; mystérieux ; second ; radio ; ami ; également ; terrible ; nommer ; cité ; début
hermétique.a 99 :: fermer ; sceller ; plastique ; étanche ; contenir ; conserve ; chinois ; rouler ; alimentaire ; transparent
hermétique.a 126 :: oreille ; in ; totalement ; invisible ; muet ; presque ; aveugle ; interne ; pareil ; parfaitement
hermétique.a 127 :: saint ; religieux ; sacrer ; mystique ; secret ; supérieur ; traditionnel ; presque ; spirituel ; quasi
hermétique.a 220 :: vide ; clore ; clos ; rester ; parfaitement ; quasi ; poli ; presque ; donnée ; totalement
hermétique.a 226 :: sensible ; étanche ; imperméable ; insensible ; face ; interne ; pierre ; perméable ; fermer ; septique
hermétique.a 261 :: pathétique ; inutile ; audible ; éloquer ; incompréhensible ; grossier ; hypocrite ; réducteur ; simpliste ; poli
hermétique.a 278 :: parfaitement ; totalement ; presque ; complètement ; cave ; secret ; alimentaire ; manière ; entièrement ; étanche
hermétique.a 204 :: opaque ; obscur ; énigme ; magique ; problématique ; inquiétant ; mystère ; mystérieux ; fragile ; profond
incorrect.a 45 :: également ; humaine ; actuellement ; proprement ; visiblement ; nommer ; sensiblement ; ré ; opportun ; actif
incorrect.a 125 :: vraiment ; parfaitement ; totalement ; super ; in ; extrêmement ; devenir ; complètement ; dos ; mal
incorrect.a 132 :: également ; déjà ; an ; naître ; être ; faire ; mal ; totalement ; hier ; infiniment
incorrect.a 156 :: raisonnable ; vraiment ; politique ; également ; rendre ; pratique ; complètement ; humaine ; juger ; peut-être
incorrect.a 159 :: transposition ; application ; interprétation ; pratique ; applicabilité ; utilisation ; exécution ; observation ; infraction ; traduction
incorrect.a 177 :: précis ; donner ; erroné ; prédéterminer ; déterminer ; serrer ; exact ; correct ; supérieur ; total
incorrect.a 217 :: ici ; politiquement ; pornographique ; sexuellement ; inapproprié ; vulgaire ; stupide ; inutile ; sensible ; public
incorrect.a 241 :: également ; rée ; complètement ; parfaitement ; vraiment ; partout ; naître ; totalement ; dire ; logiquement
incorrect.a 298 :: politique ; présidentielle ; ci-dessous ; législatif ; déclaration ; électoral ; socialiste ; parlementaire ; complémentaire ; droite
incorrect.a 299 :: personnel ; confidentiel ; donnée ; identifiabler ; électronique ; bancaire ; financier ; erroné ; opérationnel ; numérique
intérêt.n 63 :: point ; camp ; bien ; adversaire ; avis ; fort ; opinion ; élément ; argument ; ennemi
intérêt.n 97 :: opinion ; aimable ; indispensable ; usage ; article ; audiovisuel ; audiovisuelle ; ancien ; effectif ; entreprise
intérêt.n 129 :: étymologie ; audit ; international ; art ; usage ; véritable ; principal ; alpha ; incessant ; adjectif
intérêt.n 146 :: air ; art ; international ; or ; aide ; obliger ; image ; étymologie ; heureux ; interne
intérêt.n 155 :: environnement ; information ; entreprise ; international ; article ; industrie ; agriculture ; emploi ; administration ; activité
intérêt.n 218 :: avantage ; attrer ; atout ; bénéfice ; utilité ; importance ; inconvénient ; enseignement ; intéressant ; sens
intérêt.n 263 :: alpha ; étymologie ; international ; air ; voir ; étroit ; externe ; us ; apercevoir ; efficace
intérêt.n 268 :: or ; origine ; eau ; ensemble ; art ; histoire ; ouverture ; irremplaçable ; aide ; international
intérêt.n 271 :: étape ; étroit ; être ; air ; insigne ; indispensable ; actuel ; eau ; éventuel ; étymologie
intérêt.n 297 :: petit ; céleste ; art ; ensemble ; propre ; air ; meilleur ; nouveau ; aide ; animal
interpréter.v 18 :: chanter ; reprendre ; jouer ; inspirer ; interprétation ; composer ; décliner ; enregistrer ; présenter ; accompagner
interpréter.v 21 :: arranger ; enregistrer ; illustrer ; écouter ; écrire ; adapter ; inscrire ; jouer ; accompagner ; publier
interpréter.v 59 :: expliquer ; comprendre ; inverser ; penser ; entendre ; articuler ; analyser ; lire ; voir ; faire
interpréter.v 80 :: aide ; or ; international ; art ; image ; aller ; ensemble ; clip ; cor ; expérience
interpréter.v 123 :: or ; image ; ouverture ; expérience ; aide ; accueil ; art ; évolution ; eau ; étymologie
interpréter.v 128 :: joue ; incarner ; prendre ; cher ; assurer ; film ; écrire ; jouer ; enfiler ; camper
interpréter.v 157 :: traduire ; recevoir ; imaginer ; écrire ; accueillir ; écoute ; voir ; exprimer ; incarner ; enregistrer
interpréter.v 260 :: comprendre ; interprétation ; décoder ; entendre ; évaluer ; analyser ; expliquer ; orienter ; voir ; faire
interpréter.v 267 :: magnifiquement ; admirablement ; ici ; vivement ; clairement ; entièrement ; constamment ; mal ; parfaitement ; spécialement
interpréter.v 289 :: chanter ; animé ; imaginer ; jouer ; incarner ; représenter ; dansé ; enseigner ; offrir ; présenter
maintenir.v 94 :: apprendre ; ajouter ; écrire ; déclarer ; préciser ; montrer ; enseigner ; entendre ; affirmer ; noter
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; tenir ; signaler ; disponible ; référencer ; ajouter
maintenir.v 154 :: garder ; conserver ; assurer ; garde ; demeurer ; renforcer ; tenir ; maintien ; observer ; poursuivre
maintenir.v 175 :: préserver ; conserver ; retenir ; garder ; demeurer ; conforter ; maintien ; divertir ; perpétuer ; dissimuler
maintenir.v 183 :: garder ; préserver ; conserver ; entretenir ; favoriser ; assurer ; garantir ; respecter ; rester ; maintien
maintenir.v 207 :: garder ; demeurer ; maintien ; préserver ; conserver ; rester ; retenir ; soutenir ; transporter ; divertir
maintenir.v 230 :: tenir ; pouvoir ; devoir ; compter ; être ; vouloir ; continuer ; garder ; également ; avoir
maintenir.v 234 :: affirmer ; soutenir ; rappeler ; vouloir ; souhaiter ; déclarer ; considérer ; proposer ; préciser ; reconnaître
maintenir.v 251 :: tenir ; conserve ; réitérer ; répéter ; confirmer ; soutenir ; réaffirmer ; poursuivre ; reprendre ; garde
maintenir.v 281 :: main ; double ; programme ; ben ; are ; groupe ; pointe ; centre ; mi ; héritage
mince.a 17 :: fin ; extrêmement ; être ; légèrement ; presque ; moyen ; maigre ; extra ; léger ; musculaire
mince.a 96 :: fin ; régulier ; léger ; épais ; continuer ; lisse ; fixe ; grossier ; sec ; brillant
mince.a 147 :: fin ; complexe ; léger ; réussir ; sommaire ; original ; sombre ; préciser ; maigre ; faible
mince.a 170 :: fragile ; léger ; petit ; réduire ; serrer ; fin ; rigide ; étroit ; faible ; maigre
mince.a 192 :: minuscule ; petit ; léger ; fin ; épais ; simple ; menu ; micro ; écran ; énorme
mince.a 202 :: fin ; épais ; léger ; double ; nouveau ; petit ; dernier ; haut ; fort ; large
mince.a 213 :: minime ; maigre ; faible ; petit ; réduire ; mineur ; infime ; riche ; vert ; subtil
mince.a 225 :: petit ; maigre ; grand ; léger ; bel ; réel ; moindre ; énorme ; nouveau ; joli
mince.a 242 :: serrer ; vraiment ; fin ; chose ; fort ; loin ; taille ; petit ; extrêmement ; partir
mince.a 292 :: fin ; conducteur ; supérieur ; épais ; métallique ; invisible ; léger ; limite ; dur ; rigide
modeste.a 29 :: petit ; minuscule ; humble ; grand ; misérable ; coin ; populaire ; dérisoire ; médiocre ; minable
modeste.a 114 :: humble ; petit ; bon ; pauvre ; honnête ; discret ; vivant ; généreux ; pourtant ; poli
modeste.a 121 :: minime ; significatif ; minuscule ; important ; modique ; petit ; faible ; dérisoire ; mesurer ; réduire
modeste.a 163 :: minime ; limité ; faible ; léger ; petit ; confidentielle ; récent ; important ; personnel ; bel
modeste.a 195 :: limité ; minime ; élevé ; restreindre ; marginal ; substantiel ; considérable ; misérable ; simple ; faible
modeste.a 197 :: revenu ; cadre ; famille ; foyer ; familial ; catégorie ; personne ; salaire ; largement ; aisé
modeste.a 200 :: limité ; réduire ; restreindre ; mesurer ; faible ; nécessaire ; appliquer ; prudent ; logique ; surprenant
modeste.a 246 :: élevé ; léger ; petit ; raisonnable ; confortable ; important ; humble ; matériel ; conséquent ; personnel
modeste.a 269 :: petit ; humble ; jeune ; maigre ; pauvre ; misérable ; minuscule ; digne ; médiocre ; bon
modeste.a 283 :: taille ; petit ; figurer ; visage ; caractère ; personnage ; humble ; être ; regard ; carrière
montée.n 15 :: progression ; victoire ; côte ; poussée ; tendance ; courbe ; division ; réalité ; faveur ; droite
montée.n 56 :: augmentation ; partie ; hauteur ; descente ; construction ; échelle ; progression ; chute ; poussée ; montagne
montée.n 75 :: suite ; visite ; descente ; face ; terrasse ; journée ; balade ; croisière ; présentation ; promenade
montée.n 138 :: hausse ; évolution ; progression ; performance ; demande ; transformation ; complexité ; poussée ; décroissance ; croissant
