affection.n 8 :: maladie ; disposition ; occasion ; dernier ; affectation ; institution ; considération ; opération ; époque ; extrémité
capacité.n 148 :: certification ; maîtrise ; compétence ; formation ; maturité ; licence ; spécialisation ; qualification ; confiance ; bac
commander.v 5 :: écrire ; publier ; signer ; rédiger ; public ; final ; dicter ; accomplir ; réaliser ; préparer
commander.v 9 :: transférer ; conserve ; vole ; assurer ; poursuivre ; zou ; subir ; effectuer ; conforter ; conserver
commander.v 16 :: diriger ; soutenir ; commanda ; ordonner ; conserve ; recevoir ; consigne ; commandant ; supervise ; coordonner
commander.v 41 :: commencer ; faire ; effectuer ; travailler ; choisir ; suivre ; réaliser ; créer ; planifier ; préparer
commander.v 48 :: seul ; gouvernement ; venir ; commande ; partout ; être ; ici ; particulier ; chose ; général
commander.v 117 :: commande ; dicter ; demander ; demande ; vouloir ; permettre ; mériter ; valoir ; mérite ; suppose
commander.v 164 :: ordonner ; obéir ; commanda ; imposer ; prescrire ; demande ; enseigne ; conseiller ; dicter ; enjoindre
commander.v 171 :: acquérir ; valider ; acheter ; déguster ; commande ; sélectionner ; emprunter ; admirer ; remporter ; imprimer
commander.v 206 :: permettre ; venir ; servir ; exclusif ; tandis ; acheter ; vouloir ; donne ; limite ; protéger
commander.v 240 :: régler ; commande ; payer ; contrôler ; uniquement ; ajouter ; également ; faire ; personnaliser ; simplement
compris.a 52 :: interpréter ; contenue ; accepter ; prise ; retenir ; partager ; lire ; compréhensible ; garder ; donner
compris.a 90 :: penser ; ajouter ; prévoir ; falloir ; assurer ; croire ; entendre ; décider ; trouver ; reconnaître
compris.a 106 :: penser ; vivre ; entendre ; davantage ; deviner ; corrigé ; vouloir ; sentir ; savoir ; vous
compris.a 185 :: inclure ; découvrir ; recevoir ; contenir ; présent ; inscrire ; incorporer ; produit ; trouver ; construit
compris.a 186 :: inclure ; situer ; mort ; connaître ; inscrire ; rester ; entrer ; présent ; sortir ; reprendre
compris.a 187 :: contenu ; inclure ; situer ; définir ; compter ; moyen ; tomber ; ranger ; choisir ; fixer
compris.a 211 :: superficiel ; mesurer ; inclus ; maximal ; minimal ; varier ; conserver ; situer ; cohérent ; convenable
compris.a 232 :: inclure ; prendre ; également ; contenu ; prix ; inclus ; compter ; su ; intégré ; compte
compris.a 272 :: savoir ; réaliser ; penser ; apprendre ; croire ; remarquer ; deviner ; découvrir ; trouver ; conscience
compris.a 287 :: intégré ; saisir ; comprendre ; assimiler ; apprécier ; apprendre ; adopter ; découvrir ; oublier ; aimer
couverture.n 65 :: dernier ; actualité ; nouveau ; dossier ; sommaire ; page ; brochure ; complet ; saison ; principal
couverture.n 67 :: vie ; carte ; protection ; couvrir ; toile ; cape ; suite ; solution ; robe ; voil
couverture.n 72 :: toiture ; toit ; terrasse ; couvert ; sécurité ; produit ; sol ; surface ; housse ; protection
couverture.n 143 :: manchette ; tête ; page ; conclusion ; éditorial ; sommaire ; illustration ; kiosque ; vedette ; front
couverture.n 149 :: protection ; couvert ; régime ; sécurité ; gestion ; vie ; surveillance ; responsabilité ; droit ; commerce
couverture.n 150 :: couvrir ; toiture ; pierre ; appeler ; construction ; pose ; couvert ; charpente ; description ; matière
couverture.n 201 :: protection ; surveillance ; sécurité ; desserte ; développement ; gestion ; défense ; couvrir ; transformation ; connexion
couverture.n 257 :: toiture ; revêtement ; base ; construction ; transformation ; vêtement ; presse ; protection ; sécurité ; fondation
couverture.n 265 :: couvrir ; serviette ; couette ; housse ; bâche ; voil ; protection ; pyjama ; corde ; aile
couverture.n 280 :: jaquette ; photo ; reliure ; pochette ; principal ; carte ; police ; illustration ; peau ; lune
débit.n 64 :: transfert ; règlement ; traitement ; création ; gestion ; tenue ; ouverture ; dépôt ; rapprochement ; délivrance
débit.n 87 :: fort ; haut ; réel ; accès ; bon ; gros ; rapide ; internet ; net ; qualité
débit.n 115 :: niveau ; cours ; flux ; écoulement ; flot ; rythme ; montant ; jet ; fleuve ; volume
débit.n 131 :: niveau ; nappe ; couche ; eau ; formation ; dépôt ; coulée ; flux ; terrain ; lit
débit.n 136 :: cours ; flux ; coefficient ; apport ; niveau ; berge ; rive ; fleuve ; prix ; effectif
débit.n 168 :: crédit ; montant ; compte ; financement ; faciliter ; banque ; carte ; solde ; taux ; écart
débit.n 169 :: solde ; flux ; financement ; cours ; montant ; courant ; passage ; titre ; total ; déficit
débit.n 184 :: taux ; vitesse ; potentiel ; rendement ; maximum ; rythme ; capacité ; puissance ; ratio ; transfert
débit.n 188 :: flux ; apport ; niveau ; cours ; débordement ; crue ; effectif ; rive ; coefficient ; volume
débit.n 205 :: flux ; rythme ; tempo ; vol ; mouvement ; écoulement ; trafic ; fonctionnement ; accès ; temps
direction.n 78 :: conduite ; responsabilité ; coordination ; houlette ; maîtrise ; contrainte ; main ; voie ; langue ; surveillance
direction.n 111 :: ligne ; orientation ; vision ; conduite ; force ; base ; tendance ; continuité ; unité ; directrice
direction.n 151 :: directrice ; directeur ; présidence ; maîtrise ; rédaction ; communauté ; gestion ; commission ; responsable ; maîtresse
direction.n 152 :: droite ; constant ; bon ; forme ; ligne ; orientation ; diriger ; normal ; régulier ; sens
direction.n 172 :: rejoindre ; destination ; cap ; bonjour ; pied ; diriger ; gagner ; presque ; peut-être ; traverser
direction.n 176 :: conduite ; vitesse ; forme ; comportement ; performance ; rapport ; pilotage ; virage ; tête ; commande
direction.n 199 :: gauche ; partir ; majorité ; rédaction ; présidence ; droite ; presse ; fédération ; politique ; coordination
direction.n 223 :: musical ; nouveau ; diriger ; spirituel ; bon ; sacrer ; directrice ; principal ; familial ; plein
direction.n 262 :: responsabilité ; directrice ; conduite ; présidence ; tête ; gestion ; directeur ; charge ; défense ; propriété
direction.n 279 :: provenance ; venir ; province ; revenir ; direct ; sortir ; rentrer ; compagnie ; face ; descendre
don.n 19 :: dom ; sens ; do ; van ; bon ; doué ; sacrer ; pal ; prendre ; pic
don.n 30 :: talent ; pouvoir ; élan ; sens ; instinct ; atout ; oeil ; loisir ; potentiel ; faculté
don.n 36 :: cadeau ; produit ; dom ; enfant ; amour ; gratuit ; simple ; signe ; échange ; receveur
don.n 60 :: cadeau ; geste ; patrimoine ; sacrement ; livre ; dot ; mariage ; bon ; relever ; art
don.n 84 :: enfant ; bien ; apport ; produit ; cadeau ; déchet ; revenu ; bijou ; intérêt ; legs
don.n 107 :: cadeau ; preuve ; présent ; dessin ; part ; objet ; vase ; confiance ; faire ; art
don.n 130 :: contribution ; fonds ; cadeau ; catholique ; bénéficiaire ; dépôt ; homme ; enfant ; bon ; lecteur
don.n 196 :: talent ; génie ; sens ; style ; temps ; droit ; traitement ; pouvoir ; port ; jeu
don.n 244 :: cadeau ; versement ; travail ; mécénat ; bon ; profit ; bénévolat ; apport ; contribution ; soutien
don.n 245 :: travail ; talent ; témoignage ; rôle ; nom ; ouvrage ; métier ; exemple ; projet ; cas
entraîner.v 39 :: air ; aide ; image ; or ; ensemble ; interne ; art ; actuel ; anglais ; aller
entraîner.v 47 :: obliger ; encourager ; aide ; aider ; engager ; inciter ; pousse ; amener ; invite ; contraindre
entraîner.v 55 :: air ; international ; aide ; interne ; clip ; art ; externe ; afghan ; efficace ; intense
entraîner.v 57 :: eau ; or ; être ; effectif ; apparemment ; air ; ensemble ; aller ; efficace ; utilisateur
entraîner.v 133 :: air ; aide ; interne ; image ; eau ; ancien ; art ; animal ; or ; enseigner
entraîner.v 140 :: amener ; envoyer ; mener ; attirer ; conduire ; engager ; aller ; emporter ; pousser ; emmener
entraîner.v 144 :: invite ; obliger ; engager ; avoir ; amener ; inviter ; force ; pousse ; inciter ; encourager
entraîner.v 161 :: provoquer ; engendrer ; apparaître ; amener ; éviter ; créer ; conduire ; produire ; induire ; accentuer
entraîner.v 162 :: amener ; encourager ; engendrer ; conduire ; provoquer ; déclenche ; assurer ; favoriser ; développer ; impliquer
entraîner.v 191 :: amener ; attirer ; emporter ; engager ; mener ; conduire ; emmener ; porter ; atteindre ; inscrire
éplucher.v 10 :: peler ; nettoyer ; carotte ; faire ; oignon ; presser ; laver ; ouvrir ; tailler ; finement
éplucher.v 51 :: éplucher ; écrire ; fouillé ; dénicher ; travailler ; récolter ; collecter ; manipuler ; analyser ; étudier
éplucher.v 69 :: attentivement ; soigneusement ; minutieusement ; finement ; faire ; autant ; également ; trancher ; presque ; quasiment
éplucher.v 100 :: éplucher ; finement ; trancher ; grossièrement ; retourner ; mûr ; couper ; récolter ; écraser ; cuit
éplucher.v 119 :: fouillé ; regarder ; parcourir ; lire ; éplucher ; survoler ; croiser ; chercher ; trouver ; consulter
éplucher.v 167 :: laver ; citron ; plante ; fleur ; laisser ; utiliser ; passer ; feuille ; découvrir ; poire
éplucher.v 174 :: mieux ; ensuite ; pouvoir ; faire ; vouloir ; critère ; également ; savoir ; vite ; profil
éplucher.v 235 :: peler ; faire ; savoir ; conseiller ; devoir ; mieux ; acheter ; attendre ; pomme ; apprendre
éplucher.v 236 :: éplucher ; noter ; récolter ; fouillé ; savoir ; scrupuleusement ; collecter ; soigneusement ; balayer ; minutieusement
éplucher.v 258 :: peler ; laver ; blanchir ; manger ; rincer ; consommer ; presser ; faire ; écraser ; cuire
espace.n 13 :: or ; art ; établissement ; ensemble ; grand ; habitat ; installation ; os ; accueil ; nouveau
espace.n 27 :: air ; art ; international ; or ; eau ; image ; étymologie ; effectif ; externe ; allemand
espace.n 79 :: zone ; environnement ; coin ; emplacement ; ensemble ; office ; outil ; support ; module ; service
espace.n 120 :: air ; article ; excellent ; énergie ; emballage ; interface ; endroit ; avantage ; ancien ; instruction
espace.n 137 :: environnement ; information ; investissement ; assurance ; entreprise ; emplacement ; marché ; organisation ; développement ; avantage
espace.n 142 :: air ; international ; afghan ; art ; actuel ; interne ; étroit ; eau ; étymologie ; étranger
espace.n 180 :: relation ; lien ; rapport ; distance ; équilibre ; intervalle ; temps ; arrangement ; correspondance ; échange
espace.n 208 :: innombrable ; information ; organisation ; association ; université ; article ; ensemble ; institution ; dernier ; organe
espace.n 229 :: développement ; investissement ; aménagement ; événement ; service ; produit ; propre ; projet ; environnement ; équipement
espace.n 243 :: article ; ensemble ; coin ; compte ; écran ; jeu ; intervalle ; emplacement ; vide ; ligne
essuyer.v 11 :: ensuite ; essuyer ; faire ; avoir ; soigneusement ; laver ; dos ; être ; passer ; savon
essuyer.v 58 :: subir ; constater ; rencontrer ; avoir ; recevoir ; essuie ; connaître ; accumuler ; également ; cumulé
essuyer.v 77 :: essuie ; éponge ; recevoir ; verse ; regretter ; avoir ; voir ; avouer ; lav ; encaisse
essuyer.v 81 :: essuie ; être ; ensuite ; légèrement ; abondamment ; crème ; lait ; répondit ; encre ; ler
essuyer.v 86 :: recevoir ; passer ; ligne ; devoir ; lin ; lire ; essuie ; encaisse ; li ; group
essuyer.v 89 :: subir ; essuie ; recevoir ; constater ; accuser ; rencontrer ; opposer ; presque ; afficher ; marquer
essuyer.v 98 :: faire ; voir ; encaisser ; rencontrer ; recevoir ; créer ; gagner ; découvrir ; apprendre ; utiliser
essuyer.v 166 :: pépin ; graine ; feuille ; légume ; noix ; noyau ; olive ; main ; peau ; fleur
essuyer.v 215 :: déjà ; recevoir ; subir ; durement ; également ; essuie ; constamment ; récemment ; ici ; finalement
essuyer.v 266 :: essuie ; ensuite ; doucement ; larme ; main ; délicatement ; doigt ; déposer ; avoir ; simplement
faucher.v 12 :: tromper ; quitter ; sauvagement ; agresser ; infidèle ; abandonner ; volée ; enceint ; briser ; séduire
faucher.v 42 :: personne ; dernier ; entreprise ; petit ; vigne ; premier ; zone ; particulier ; nouveau ; plante
faucher.v 116 :: finement ; pousser ; admirablement ; allègrement ; joyeusement ; vouloir ; tuer ; abattre ; assassiner ; involontairement
faucher.v 160 :: lier ; main ; paire ; an ; joli ; plante ; lin ; photo ; chia ; bise
faucher.v 214 :: faire ; travailler ; voir ; acheter ; presque ; mieux ; donner ; vivre ; extrêmement ; dommage
faucher.v 239 :: servir ; acheter ; jeter ; entamer ; déboucher ; cassé ; trouver ; donne ; renverser ; couper
faucher.v 248 :: tombe ; laisse ; infraction ; avoir ; extraire ; meurtre ; marque ; dernier ; article ; abattre
faucher.v 276 :: semer ; abattre ; échanger ; couper ; cultiver ; cueillir ; planter ; piquer ; enfoncer ; reconnaître
faucher.v 282 :: remplacer ; piqu ; centre ; récupérer ; cadre ; passer ; échange ; marque ; rappeler ; sauf
faucher.v 290 :: grièvement ; porter ; donner ; tuer ; laisser ; volontairement ; verser ; déjà ; presque ; trouver
fonder.v 6 :: fondre ; diriger ; créer ; organiser ; former ; développer ; forme ; être ; faire ; préside
fonder.v 7 :: force ; cadre ; base ; motiver ; lier ; conditionne ; porte ; appuyer ; sous-tendre ; ferme
fonder.v 54 :: base ; construire ; appuyer ; trouver ; bâtir ; gagner ; repose ; assurer ; tire ; fond
fonder.v 66 :: créer ; ferme ; diriger ; débuter ; installer ; instaurer ; forge ; développer ; rejoindre ; commencer
fonder.v 88 :: finance ; dot ; fondation ; ouvrir ; rejoindre ; forme ; créer ; formule ; diriger ; ferme
fonder.v 93 :: base ; loi ; structure ; société ; repose ; fondamental ; tradition ; fortune ; foi ; unité
fonder.v 158 :: base ; fond ; repose ; construire ; bâtir ; forge ; appuyer ; fixe ; porte ; fabrique
fonder.v 212 :: faire ; fabriquer ; former ; fer ; fondre ; développer ; contracter ; créer ; définir ; bâtir
fonder.v 264 :: définir ; motiver ; constituer ; base ; valide ; traverser ; caractériser ; forme ; force ; limite
fonder.v 286 :: anime ; diriger ; compte ; fabrique ; réunir ; ferme ; fond ; forme ; gérer ; développer
grossier.a 24 :: courant ; simple ; évident ; flagrant ; facile ; valable ; lourd ; stupide ; ridicule ; monumental
grossier.a 37 :: répandre ; évident ; flagrant ; simple ; complet ; avancer ; facile ; courant ; sophistiquer ; efficace
grossier.a 85 :: arrogant ; vulgaire ; agressif ; susceptible ; poli ; dister ; stupide ; méchant ; ridicule ; prétentieux
grossier.a 108 :: froid ; étranger ; métallique ; objet ; minéral ; fin ; simple ; léger ; rond ; massif
grossier.a 134 :: mauvais ; fin ; subtil ; bon ; léger ; franc ; infâme ; grand ; petit ; pauvre
grossier.a 179 :: propagande ; publicité ; diffusion ; information ; impression ; exploitation ; désinformation ; exhibition ; corruption ; élimination
grossier.a 227 :: prétentieux ; arrogant ; vulgaire ; agressif ; maladroit ; confus ; ridicule ; poli ; naïf ; hypocrite
grossier.a 228 :: témoignage ; papier ; billet ; positif ; mensonge ; aveux ; document ; départ ; argument ; électeur
grossier.a 231 :: public ; vulgaire ; humain ; quotidien ; simple ; personnel ; médiocre ; général ; profane ; ordinaire
grossier.a 300 :: accusation ; faute ; erreur ; attaque ; presque ; lourd ; exploitation ; grossièrement ; phrase ; preuve
hermétique.a 203 :: obscur ; opaque ; mystère ; fermer ; étancher ; porte ; arcane ; technique ; pointue ; froid
hermétique.a 71 :: mystérieux ; énigmatique ; incompréhensible ; fermer ; sceller ; secret ; opaque ; effrayant ; obscur ; étanche
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; alimentaire ; métallique ; individuel ; contenir ; congélation ; transparent
hermétique.a 126 :: presque ; interne ; fermer ; fermeture ; chimique ; automatique ; critique ; septique ; fermé ; système
hermétique.a 127 :: secret ; étanche ; fermé ; religieux ; fermer ; opaque ; froid ; obscur ; discret ; chimique
hermétique.a 220 :: étancher ; homogène ; poli ; fixe ; entrer ; interne ; huis ; définir ; vertical ; fermer
hermétique.a 226 :: totalement ; complètement ; devenir ; rester ; fermer ; étanche ; presque ; interne ; opaque ; entièrement
hermétique.a 261 :: magique ; adapter ; sensible ; opaque ; audible ; sec ; approprié ; penser ; réducteur ; proportionnel
hermétique.a 278 :: alimentaire ; plastique ; solide ; étanche ; blanc ; entièrement ; interne ; fermé ; métallique ; noir
hermétique.a 204 :: presque ; grand ; classique ; petit ; voire ; côté ; déjà ; livre ; personnage ; peut-être
incorrect.a 45 :: naître ; rée ; der ; ré ; prévoir ; devoir ; destiner ; nommer ; désirer ; approprier
incorrect.a 125 :: ante ; actuellement ; us ; dé ; humaine ; sensiblement ; visiblement ; der ; naître ; également
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; cours ; second ; jour ; cas ; miss
incorrect.a 156 :: humaine ; raisonnable ; vraiment ; devoir ; peut-être ; presque ; ordinaire ; utile ; également ; rendre
incorrect.a 159 :: utilisation ; application ; caractère ; applicabilité ; interprétation ; transposition ; pratique ; qualité ; usage ; activité
incorrect.a 177 :: précis ; correct ; donner ; inverse ; contraire ; erroné ; exact ; supérieur ; public ; négatif
incorrect.a 217 :: ici ; approprié ; inapproprié ; correct ; politiquement ; artistique ; superflu ; public ; délicat ; sujet
incorrect.a 241 :: in ; appeler ; parfaitement ; difficilement ; vraiment ; actif ; partout ; rée ; nécessaire ; complètement
incorrect.a 298 :: exact ; correct ; déçu ; évident ; surprenant ; inutile ; maladroit ; précis ; important ; bon
incorrect.a 299 :: personnel ; confidentiel ; identifiabler ; transmettre ; saisir ; bancaire ; important ; électronique ; opérationnel ; financier
intérêt.n 63 :: avis ; élément ; objectif ; opinion ; appétit ; impératif ; sentiment ; point ; principe ; adversaire
intérêt.n 97 :: appareil ; aimable ; usage ; article ; étroit ; audiovisuelle ; éventuel ; international ; effectif ; opinion
intérêt.n 129 :: aide ; art ; évolution ; image ; énergie ; expédition ; or ; heureux ; air ; externe
intérêt.n 146 :: or ; image ; air ; aide ; art ; ensemble ; évolution ; origine ; eau ; énergie
intérêt.n 155 :: groupe ; zone ; temps ; secteur ; sécurité ; nouveau ; propre ; financement ; programme ; vie
intérêt.n 218 :: avantage ; atout ; attrer ; inconvénient ; intéressant ; enseignement ; utilité ; importance ; côté ; argument
intérêt.n 263 :: air ; aide ; or ; art ; étymologie ; éventuel ; énergie ; efficace ; irréversible ; excellent
intérêt.n 268 :: grand ; petit ; véritable ; centre ; saint ; clip ; éternel ; vrai ; nouveau ; or
intérêt.n 271 :: être ; éventuel ; aide ; excellent ; alpha ; article ; association ; index ; air ; usage
intérêt.n 297 :: animal ; clip ; aide ; propre ; art ; guide ; image ; immigré ; externe ; ensemble
interpréter.v 18 :: chanter ; jouer ; reprendre ; raconter ; enregistrer ; inspirer ; interprétation ; compiler ; arranger ; écrire
interpréter.v 21 :: interprétation ; écouter ; exécuter ; chanter ; écrire ; jouer ; incarner ; adapter ; arranger ; enregistrer
interpréter.v 59 :: expliquer ; comprendre ; évaluer ; articuler ; penser ; voir ; aborder ; définir ; décoder ; envisager
interpréter.v 80 :: aide ; image ; or ; origine ; ensemble ; international ; air ; art ; arrivée ; arriver
interpréter.v 123 :: ensemble ; arriver ; an ; équateur ; automne ; interne ; arrière ; observer ; externe ; oblique
interpréter.v 128 :: joue ; incarner ; camper ; assurer ; interprétation ; reprendre ; tenir ; offrir ; écrire ; imaginer
interpréter.v 157 :: interprétation ; enregistrer ; écrire ; envoyer ; émettre ; encaisse ; influence ; traduire ; absorber ; recevoir
interpréter.v 260 :: comprendre ; faire ; décoder ; interprétation ; déchiffrer ; entendre ; expliquer ; lire ; analyser ; visualiser
interpréter.v 267 :: interprétation ; entendre ; envisager ; attribuer ; analyser ; comprendre ; percevoir ; considérer ; apprécier ; regarder
interpréter.v 289 :: incarner ; imaginer ; jouer ; chanter ; animé ; orchestré ; enseigner ; représenter ; habiter ; arranger
maintenir.v 94 :: apprendre ; ajouter ; écrire ; déclarer ; affirmer ; soutenir ; enseigner ; préciser ; entendre ; répondre
maintenir.v 113 :: présent ; visible ; inscrire ; enregistrer ; disponible ; signaler ; mentionner ; trouver ; asseoir ; tenir
maintenir.v 154 :: garder ; tenir ; conserver ; confirmer ; renforcer ; entretenir ; continuer ; mettre ; poursuivre ; assurer
maintenir.v 175 :: préserver ; maintien ; garder ; conserver ; entretenir ; demeurer ; favoriser ; assurer ; perpétuer ; constamment
maintenir.v 183 :: préserver ; garder ; conserver ; favoriser ; entretenir ; garantir ; demeurer ; assurer ; maintien ; rester
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; rester ; retenir ; poursuivre ; divertir
maintenir.v 230 :: tenir ; pouvoir ; main ; vous ; garder ; être ; venir ; compte ; devoir ; gouvernement
maintenir.v 234 :: souhaiter ; considérer ; prévoir ; estime ; soutenir ; proposer ; vouloir ; réaffirmer ; rappeler ; garantir
maintenir.v 251 :: réitérer ; tenir ; confirmer ; réaffirmer ; conserve ; répéter ; poursuivre ; continuer ; soutenir ; renouveler
maintenir.v 281 :: ajouter ; dire ; souligner ; note ; estime ; croire ; gage ; juge ; compte ; regretter
mince.a 17 :: fin ; épais ; étroit ; fragile ; petit ; léger ; serrer ; légèrement ; flexible ; minuscule
mince.a 96 :: fin ; léger ; épais ; régulier ; continuer ; lâche ; grossier ; fixe ; gras ; lisse
mince.a 147 :: maigre ; simple ; sommaire ; fin ; faible ; léger ; dense ; original ; limité ; court
mince.a 170 :: fragile ; léger ; déjà ; complexe ; être ; lever ; réduire ; légèrement ; petit ; revenu
mince.a 192 :: fin ; petit ; épais ; large ; minuscule ; étroit ; énorme ; léger ; grand ; dessin
mince.a 202 :: fin ; couche ; petit ; épaisseur ; léger ; dernier ; application ; double ; simple ; épais
mince.a 213 :: matériau ; fin ; surface ; léger ; papier ; pièce ; métallique ; feuille ; épais ; plaque
mince.a 225 :: fin ; maigre ; moyen ; taille ; simple ; normal ; bel ; régulier ; extra ; sexy
mince.a 242 :: fin ; chose ; presque ; filet ; peut-être ; bon ; déjà ; devenir ; fort ; loin
mince.a 292 :: fin ; épais ; léger ; conducteur ; isolant ; protecteur ; métallique ; flexible ; actif ; épaisseur
modeste.a 29 :: minuscule ; petit ; misérable ; humble ; local ; dérisoire ; grand ; minable ; minime ; insignifiant
modeste.a 114 :: humble ; petit ; pauvre ; bref ; discret ; confidentiel ; bon ; léger ; honorable ; propre
modeste.a 121 :: important ; petit ; significatif ; faible ; infime ; timide ; limité ; minime ; réduire ; prépondérant
modeste.a 163 :: minime ; faible ; limité ; léger ; petit ; spectaculaire ; confidentielle ; bel ; propre ; important
modeste.a 195 :: élevé ; limité ; faible ; important ; substantiel ; confortable ; conséquent ; considérable ; symbolique ; modérer
modeste.a 197 :: parisien ; revenu ; déjà ; pourtant ; au-delà ; également ; salaire ; moyen ; supérieur ; petit
modeste.a 200 :: limité ; léger ; prudent ; réduire ; populaire ; faible ; politique ; important ; équilibré ; programme
modeste.a 246 :: élevé ; important ; faible ; économique ; considérable ; inférieur ; général ; humble ; insignifiant ; professionnel
modeste.a 269 :: petit ; humble ; digne ; pauvre ; jeune ; médiocre ; bon ; honnête ; misérable ; maigre
modeste.a 283 :: digne ; discret ; sincère ; pauvre ; respectable ; humble ; sympathique ; poli ; populaire ; élégant
montée.n 15 :: côte ; victoire ; droite ; poussée ; réalité ; courbe ; tendance ; faveur ; progression ; pente
montée.n 56 :: partie ; séparation ; poussée ; progression ; augmentation ; ligne ; question ; descente ; hauteur ; hiérarchie
montée.n 75 :: suite ; descente ; terrasse ; monte ; tour ; dernier ; chute ; balade ; promotion ; journée
montée.n 138 :: performance ; gestion ; hausse ; complexité ; maîtrise ; vie ; puissance ; évolution ; poussée ; qualité
