affection.n 8 :: canada ; nouveau ; in ; marier ; acquisition ; nature ; point ; famille ; futur ; collection
couverture.n 150 :: toiture ; couvrir ; charpente ; toit ; dalle ; tuile ; pierre ; voûte ; protection ; ardoise
couverture.n 201 :: surveillance ; protection ; sécurité ; pénétration ; desserte ; convergence ; transformation ; déploiement ; gestion ; couvrir
couverture.n 257 :: toiture ; protection ; remplacement ; construction ; décoration ; sol ; terre ; base ; finition ; revêtement
couverture.n 265 :: couvrir ; serviette ; voil ; housse ; couette ; véranda ; protection ; bâche ; aile ; bibliothèque
couverture.n 280 :: peau ; véranda ; lune ; neige ; couette ; serviette ; lumière ; glace ; forêt ; chaleur
débit.n 64 :: automatique ; courant ; crédit ; net ; solde ; faciliter ; partiel ; autoriser ; compte ; libellé
débit.n 87 :: compte ; virement ; montant ; crédit ; versement ; banque ; faciliter ; privilèg ; chèqu ; su
débit.n 115 :: niveau ; commerce ; flot ; rôle ; rythme ; écoulement ; régime ; développement ; poids ; flux
débit.n 131 :: vin ; niveau ; eau ; dépôt ; flux ; station ; produit ; cours ; inondation ; couche
débit.n 136 :: flux ; volume ; prix ; cours ; apport ; niveau ; potentiel ; bassin ; rendement ; eau
débit.n 168 :: montant ; paiement ; traitement ; crédit ; règlement ; choix ; passage ; compte ; prix ; poids
débit.n 169 :: cours ; niveau ; développement ; fleuve ; rythme ; flux ; moyen ; passage ; ruisseau ; montant
débit.n 184 :: taux ; rythme ; score ; potentiel ; record ; intérêt ; chiffre ; rendement ; maximum ; ratio
débit.n 188 :: niveau ; apport ; flux ; rejet ; cours ; val ; effectif ; débordement ; saumon ; rive
débit.n 205 :: rythme ; flux ; trafic ; accès ; caractère ; vol ; tempo ; temps ; mouvement ; discours
direction.n 78 :: conduite ; responsabilité ; coordination ; maîtrise ; diriger ; directrice ; gouverne ; performance ; baguette ; présidence
direction.n 111 :: directrice ; sain ; ligne ; bon ; constant ; diriger ; nouveau ; conduite ; général ; présidence
direction.n 151 :: directrice ; directeur ; présidence ; maîtrise ; supérieur ; maîtresse ; famille ; communauté ; mairie ; équipe
direction.n 152 :: orientation ; sens ; vitesse ; forme ; tendance ; constant ; déviation ; ligne ; position ; courbe
direction.n 172 :: destination ; rejoindre ; orientation ; cap ; aller ; nord ; diriger ; forme ; vivement ; voir
direction.n 176 :: conduite ; pilotage ; vitesse ; tendance ; viser ; comportement ; vol ; droite ; virage ; cap
direction.n 199 :: rédaction ; coopératif ; entreprise ; interne ; reprise ; nouveau ; management ; équipe ; tête ; secrétaire
direction.n 223 :: conduite ; responsabilité ; présidence ; diriger ; gestion ; maîtrise ; discipline ; défense ; main ; directrice
direction.n 262 :: responsabilité ; directrice ; tête ; conduite ; maîtrise ; directeur ; présidence ; charge ; performance ; coordination
direction.n 279 :: venir ; province ; vallée ; destination ; région ; face ; revenir ; provenance ; faveur ; ville
don.n 19 :: sens ; talent ; génie ; pouvoir ; temps ; style ; flair ; doué ; droit ; développement
don.n 30 :: talent ; oeil ; pouvoir ; élan ; sens ; atout ; faculté ; instinct ; trait ; bras
don.n 36 :: extraordinaire ; véritable ; bon ; double ; sens ; dom ; cadeau ; universel ; vrai ; vraiment
don.n 60 :: cadeau ; profil ; doigt ; génie ; sens ; bras ; talent ; traire ; dol ; regard
don.n 84 :: apport ; fonds ; contribution ; recevoir ; cadeau ; produit ; soutien ; versement ; achat ; salarié
don.n 107 :: cadeau ; part ; grâce ; présent ; parvenir ; preuve ; signe ; offrir ; connaître ; proposition
don.n 130 :: cadeau ; contribution ; enfant ; fonds ; talent ; vocation ; bienfait ; lien ; personne ; legs
don.n 196 :: pouvoir ; do ; qualité ; génie ; cadeau ; trésor ; dan ; sens ; droit ; science
don.n 244 :: cadeau ; bénévolat ; bon ; mécénat ; legs ; bénévole ; travail ; versement ; chèqu ; recevoir
don.n 245 :: talent ; enfant ; bras ; cadeau ; parent ; membre ; fils ; vase ; témoignage ; domaine
entraîner.v 39 :: art ; aide ; or ; image ; air ; international ; ensemble ; étroit ; aider ; ouverture
entraîner.v 47 :: obliger ; aider ; engager ; encourager ; amener ; inciter ; aide ; conduire ; pousse ; viser
entraîner.v 55 :: international ; art ; incessant ; air ; aide ; effectif ; clip ; cor ; alpha ; externe
entraîner.v 57 :: enseigner ; air ; eau ; énergie ; apparemment ; évolution ; être ; aide ; or ; exercice
entraîner.v 133 :: aide ; air ; ion ; art ; heureux ; image ; eau ; ancien ; animal ; ensemble
entraîner.v 140 :: mener ; amener ; conduire ; attirer ; pousser ; envoyer ; emporter ; porter ; aller ; faire
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; amener ; appeler ; pousse ; force ; commencer
entraîner.v 161 :: provoquer ; conduire ; amener ; engendrer ; apparaître ; créer ; également ; nécessairement ; aller ; probablement
entraîner.v 162 :: amener ; provoquer ; encourager ; conduire ; engendrer ; assurer ; produit ; expliquer ; influence ; favoriser
entraîner.v 191 :: emporter ; amener ; attirer ; emmener ; engager ; conduire ; élever ; porter ; abandonner ; précipiter
éplucher.v 10 :: peler ; oignon ; finement ; presser ; préparer ; pomme ; passer ; préparation ; égoutter ; faire
éplucher.v 51 :: éplucher ; finement ; soigneusement ; patiemment ; moult ; largement ; grandement ; minutieusement ; régulièrement ; fruit
éplucher.v 69 :: soigneusement ; attentivement ; faire ; peler ; an ; voire ; onglet ; trancher ; systématiquement ; également
éplucher.v 100 :: éplucher ; laver ; presser ; blanchir ; grossièrement ; peler ; râper ; peser ; finement ; écraser
éplucher.v 119 :: éplucher ; autant ; allègrement ; parcourir ; récolter ; longuement ; scrupuleusement ; lire ; article ; abondamment
éplucher.v 167 :: poire ; fruit ; tubercule ; découvrir ; laver ; citron ; feuille ; laisser ; vérifier ; déposer
éplucher.v 174 :: faire ; voire ; détailler ; lamelle ; pomme ; feuille ; finement ; ensuite ; autant ; vouloir
éplucher.v 235 :: peler ; couper ; passer ; faire ; écraser ; fendre ; regarder ; cuire ; affiner ; mieux
éplucher.v 236 :: éplucher ; devoir ; vite ; soigneusement ; faire ; avoir ; également ; déjà ; savoir ; énormément
éplucher.v 258 :: peler ; presser ; faire ; écraser ; conserver ; légume ; feuille ; cuire ; blanchir ; garder
espace.n 13 :: ensemble ; accueil ; ouverture ; emploi ; établissement ; or ; air ; origine ; environnement ; euro
espace.n 27 :: air ; or ; image ; aide ; international ; origine ; art ; obliger ; actuel ; ancien
espace.n 79 :: petit ; agréable ; devenir ; nouveau ; grand ; coin ; libre ; réserver ; véritable ; important
espace.n 120 :: air ; excellent ; article ; petit ; énergie ; ancien ; propre ; avantage ; eau ; instrument
espace.n 137 :: environnement ; information ; entreprise ; investissement ; instrument ; emplacement ; organisation ; enseignement ; avantage ; emploi
espace.n 142 :: air ; étymologie ; international ; interne ; art ; image ; afghan ; audiovisuelle ; actuel ; allemand
espace.n 180 :: lien ; relation ; rapport ; temps ; partage ; déplacement ; équilibre ; lieu ; arrangement ; succession
espace.n 208 :: ancien ; euro ; entreprise ; information ; administration ; heure ; article ; innombrable ; exploitation ; unité
espace.n 229 :: événement ; aménagement ; environnement ; propre ; petit ; projet ; développement ; atout ; produit ; équipement
espace.n 243 :: article ; coin ; temps ; intervalle ; jeu ; place ; trou ; accès ; écran ; ensemble
essuyer.v 11 :: laver ; essuyer ; ensuite ; faire ; passer ; abondamment ; retirer ; essuie ; avoir ; soigneusement
essuyer.v 58 :: rencontrer ; subir ; constater ; avoir ; connaître ; rencontre ; enregistrer ; causer ; trouver ; remarquer
essuyer.v 77 :: essuie ; sourire ; lav ; nettoie ; éponge ; porte ; relever ; déverser ; abandonner ; ôter
essuyer.v 81 :: laver ; éponge ; but ; essuie ; aspirer ; coupe ; laisser ; pouvoir ; filtre ; limite
essuyer.v 86 :: assurer ; recevoir ; ligne ; passer ; tenir ; laisse ; continuer ; devoir ; assumer ; complet
essuyer.v 89 :: recevoir ; subir ; constater ; rencontrer ; annoncer ; obtenir ; entendre ; connaître ; opposer ; refuser
essuyer.v 98 :: faire ; encaisser ; subir ; souffrir ; recevoir ; manger ; voir ; gagner ; perdre ; rencontrer
essuyer.v 166 :: nettoyer ; rincer ; recommencer ; frotter ; sécher ; laver ; gratter ; enlever ; répéter ; égoutter
essuyer.v 215 :: subir ; déjà ; quotidiennement ; régulièrement ; durement ; essuie ; pourtant ; der ; cumulé ; recevoir
essuyer.v 266 :: essuie ; er ; ante ; avoir ; bile ; éponge ; eau ; an ; ex ; laver
faucher.v 12 :: vie ; précieux ; dernier ; passer ; beauté ; fou ; chose ; joli ; donner ; famille
faucher.v 42 :: découverte ; devenir ; également ; atteindre ; régulièrement ; peut-être ; déjà ; couvrir ; acquérir ; enregistrer
faucher.v 116 :: rapace ; oiseau ; aigle ; parade ; voir ; faucon ; vautour ; photo ; faune ; piqu
faucher.v 160 :: danse ; piqu ; semer ; amour ; casser ; fin ; frappe ; trouver ; passer ; nature
faucher.v 214 :: dent ; vie ; commune ; corne ; coup ; main ; propre ; vent ; plein ; grand
faucher.v 239 :: acheter ; entamer ; servir ; jeter ; renverser ; presque ; trouver ; jamais ; être ; déposer
faucher.v 248 :: meurtre ; laisse ; voiture ; crime ; police ; infraction ; marque ; jeune ; policier ; homicide
faucher.v 276 :: semer ; creuser ; abattre ; planter ; couper ; enfoncer ; verser ; pousser ; récolter ; broyer
faucher.v 282 :: piqu ; passer ; nouveau ; donne ; marque ; laisse ; ra ; falloir ; trouver ; frappe
faucher.v 290 :: certifier ; semer ; filer ; blesser ; pousser ; abattre ; déclarer ; faux ; plaqué ; officiellement
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; ouvrir ; préside ; développer ; faire ; former ; arrêter
fonder.v 7 :: sous-tendre ; motiver ; expliquer ; appuyer ; force ; conditionne ; justifier ; guide ; base ; porte
fonder.v 54 :: base ; appuyer ; construire ; bâtir ; marque ; tire ; trouver ; gagner ; assurer ; affirmer
fonder.v 66 :: direction ; camp ; dieu ; ferme ; rejoindre ; chef ; finalement ; frère ; an ; vie
fonder.v 88 :: rejoindre ; intégrer ; forme ; quitte ; créer ; commencer ; formule ; joindre ; installer ; finance
fonder.v 93 :: base ; constituer ; repose ; appuyer ; porte ; construire ; représenter ; ancre ; traverser ; marque
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; baser ; appuyer ; forge ; fonctionner ; fond ; greffe
fonder.v 212 :: peut-être ; faire ; presque ; bientôt ; vraiment ; officiellement ; fondation ; louis ; voir ; fondre
fonder.v 264 :: motiver ; forme ; définir ; force ; bâtir ; base ; valide ; traverser ; limite ; appuyer
fonder.v 286 :: diriger ; forme ; ouvrir ; formule ; fondation ; forge ; ferme ; développer ; créer ; réunir
grossier.a 24 :: stupide ; grave ; rigoureux ; erroné ; courant ; grotesque ; valable ; monumental ; sévère ; ridicule
grossier.a 37 :: long ; vieux ; populaire ; jeune ; ancien ; simple ; technique ; connaître ; rapide ; haut
grossier.a 85 :: agressif ; compétitif ; violent ; méchant ; arrogant ; dangereux ; tyrannique ; vicieux ; scolaire ; coller
grossier.a 108 :: grossièrement ; dur ; sauvage ; pauvre ; simple ; organique ; fin ; gros ; sec ; polir
grossier.a 134 :: sérieux ; léger ; évident ; subtil ; flagrant ; habile ; bel ; maladroit ; bon ; vague
grossier.a 179 :: gros ; énorme ; subtil ; petit ; énième ; nouveau ; grand ; fin ; honteux ; immonde
grossier.a 227 :: arrogant ; agressif ; prétentieux ; poli ; blessant ; vulgaire ; raciste ; hypocrite ; sexiste ; ridicule
grossier.a 228 :: procédé ; traitement ; mensonge ; abus ; crime ; regard ; témoin ; complice ; accusation ; témoignage
grossier.a 231 :: vulgaire ; matériel ; terrestre ; coupable ; humain ; commune ; simple ; égoïste ; facile ; quotidien
grossier.a 300 :: coupable ; sec ; sonore ; sauvage ; régulier ; lâche ; hypocrite ; faire ; indigne ; stupide
hermétique.a 203 :: secret ; mystère ; mystérieux ; demeurer ; rester ; petit ; confidentiel ; voire ; oeil ; grand
hermétique.a 71 :: mystérieux ; opaque ; confidentiel ; secret ; énigmatique ; étanche ; obscur ; effrayant ; discret ; explicite
hermétique.a 99 :: étanche ; plastique ; devenir ; sceller ; fermer ; verre ; fermeture ; récipient ; alimentaire ; adhésif
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; sourd ; réfractaire ; opposer ; dépendre ; raide ; indifférent
hermétique.a 127 :: social ; étanche ; juridique ; interne ; politique ; élitiste ; sombre ; noir ; idéologique ; opaque
hermétique.a 220 :: opaque ; parfaitement ; fermer ; extrêmement ; rester ; étancher ; clos ; interne ; obscur ; garder
hermétique.a 226 :: insensible ; fermer ; imperméable ; aveugle ; réfractaire ; étanche ; sensible ; sourd ; autiste ; indifférent
hermétique.a 261 :: réducteur ; scandaleu ; opaque ; hypocrite ; sec ; ambigu ; simpliste ; explicite ; magique ; grossier
hermétique.a 278 :: étanche ; parfaitement ; fermé ; complètement ; totalement ; entièrement ; secret ; rester ; close ; français
hermétique.a 204 :: piège ; énigme ; obscur ; sens ; tique ; opaque ; casse-tête ; mystère ; incompréhensible ; accroche
incorrect.a 45 :: actif ; humaine ; global ; pratique ; nécessaire ; créatif ; général ; der ; opérationnel ; réglementaire
incorrect.a 125 :: in ; appeler ; nommer ; actif ; ré ; actuellement ; actuel ; visible ; totalement ; devenir
incorrect.a 132 :: totalement ; tomber ; extrêmement ; également ; baser ; rester ; devenir ; faire ; entier ; énormément
incorrect.a 156 :: politique ; in ; mal ; pratique ; juridique ; juger ; pénal ; judiciaire ; apparemment ; politiquement
incorrect.a 159 :: utilisation ; activité ; reproduction ; application ; licence ; propriété ; information ; in ; modification ; produit
incorrect.a 177 :: erroné ; précis ; correct ; supérieur ; donner ; aléatoire ; automatique ; inverse ; prédéterminer ; total
incorrect.a 217 :: politiquement ; injustement ; négativement ; volontairement ; injuste ; ici ; stupide ; intéressant ; inutile ; sévèrement
incorrect.a 241 :: vraiment ; totalement ; complètement ; parfaitement ; presque ; mal ; extrêmement ; fort ; juger ; dire
incorrect.a 298 :: déçu ; vrai ; utile ; ridicule ; décevant ; correct ; important ; politique ; faible ; difficile
incorrect.a 299 :: personnel ; confidentiel ; donnée ; bancaire ; identifiabler ; transmettre ; saisir ; important ; information ; financier
intérêt.n 63 :: avis ; opinion ; argument ; élément ; point ; sentiment ; adversaire ; objectif ; idée ; principe
intérêt.n 97 :: externe ; article ; extérieur ; ensemble ; entier ; air ; organisation ; information ; international ; endroit
intérêt.n 129 :: aide ; art ; air ; étroit ; image ; heureux ; être ; clip ; ancien ; évolution
intérêt.n 146 :: air ; or ; évolution ; art ; aide ; image ; eau ; emploi ; ensemble ; international
intérêt.n 155 :: article ; audiovisuel ; éventuel ; international ; aide ; air ; utilisateur ; audit ; effectif ; art
intérêt.n 218 :: grand ; principal ; propre ; autant ; moindre ; général ; réel ; véritable ; évident ; considérable
intérêt.n 263 :: air ; étymologie ; externe ; international ; interne ; alpha ; aide ; art ; indien ; or
intérêt.n 268 :: international ; air ; externe ; aide ; adjectif ; image ; clip ; an ; étymologie ; étroit
intérêt.n 271 :: air ; être ; aide ; eau ; origine ; art ; étrange ; éventuel ; enseigner ; image
intérêt.n 297 :: aide ; propre ; clip ; guide ; or ; art ; animal ; immigré ; petit ; profond
interpréter.v 18 :: ré ; chanter ; jouer ; ensuite ; également ; principalement ; interprétation ; ici ; essentiellement ; tantôt
interpréter.v 21 :: jouer ; chant ; chanter ; interprétation ; exécuter ; écrire ; incarner ; figurer ; produire ; arranger
interpréter.v 59 :: expliquer ; comprendre ; analyser ; inverser ; penser ; voir ; lire ; faire ; entendre ; décrypter
interpréter.v 80 :: air ; étymologie ; art ; illustre ; or ; incessant ; lorsqu ; aide ; obliger ; étroit
interpréter.v 123 :: ensemble ; international ; aide ; évolution ; image ; or ; accueil ; ouverture ; origine ; objet
interpréter.v 128 :: joue ; incarner ; interprétation ; assurer ; double ; camper ; imaginer ; tenir ; jouer ; rôle
interpréter.v 157 :: enregistrer ; recevoir ; imiter ; traduire ; émettre ; influence ; actif ; interprétation ; capture ; lisse
interpréter.v 260 :: interprétation ; faire ; pouvoir ; comprendre ; traduire ; lire ; entendre ; mieux ; correctement ; mal
interpréter.v 267 :: interprétation ; comprendre ; vivre ; peindre ; considérer ; décrire ; concevoir ; définir ; présenter ; attribuer
interpréter.v 289 :: chanter ; animé ; interprétation ; habiter ; dansé ; jouer ; incarner ; enseigner ; étudier ; imaginer
maintenir.v 94 :: apprendre ; ajouter ; préciser ; déclarer ; écrire ; affirmer ; montrer ; noter ; remarquer ; expliquer
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; identifier ; signaler ; ajouter ; renseigner ; disponible
maintenir.v 154 :: garder ; conserver ; renforcer ; continuer ; assurer ; tenir ; confirmer ; manifester ; montrer ; exercer
maintenir.v 175 :: garder ; entretenir ; maintien ; préserver ; conserver ; artificiellement ; assurer ; pouvoir ; perpétuer ; solidement
maintenir.v 183 :: garder ; entretenir ; assurer ; préserver ; maintien ; conserver ; favoriser ; rester ; faire ; vivre
maintenir.v 207 :: garder ; maintien ; demeurer ; préserver ; conserver ; rester ; soutenir ; retenir ; transporter ; stabiliser
maintenir.v 230 :: compte ; être ; dernier ; tenir ; observation ; présent ; avoir ; lettre ; continuer ; prochain
maintenir.v 234 :: souhaiter ; considérer ; vouloir ; soutenir ; estime ; proposer ; rappeler ; réaffirmer ; veille ; affirmer
maintenir.v 251 :: réaffirmer ; réitérer ; conserve ; répéter ; tenir ; confirmer ; renouveler ; appuyer ; reprendre ; renforcer
maintenir.v 281 :: main ; soutien ; réponse ; appui ; position ; vision ; but ; positionnement ; dernier ; document
mince.a 17 :: intime ; fin ; faible ; fort ; épais ; vulnérable ; étroit ; haut ; serrer ; petit
mince.a 96 :: métallique ; épaisseur ; supérieur ; égal ; fin ; épais ; film ; couche ; arrière ; dentifrice
mince.a 147 :: épais ; fin ; déjà ; presque ; également ; légèrement ; maigre ; dessiner ; arrière ; moyen
mince.a 170 :: enfant ; peut-être ; anonyme ; personne ; petit ; créature ; fille ; type ; être ; communauter
mince.a 192 :: petit ; léger ; micro ; minuscule ; épais ; menu ; film ; graver ; papier ; disque
mince.a 202 :: fin ; petit ; nouveau ; léger ; double ; épais ; dernier ; simple ; bel ; second
mince.a 213 :: maigre ; minime ; petit ; faible ; léger ; infime ; modeste ; simple ; sommaire ; riche
mince.a 225 :: sujet ; choix ; résultat ; match ; problème ; objectif ; intéressant ; maigre ; petit ; cadeau
mince.a 242 :: presque ; résultat ; doute ; chose ; loin ; légèrement ; maigre ; limite ; peut-être ; fin
mince.a 292 :: fin ; continuer ; critique ; métallique ; moléculaire ; léger ; épais ; fixe ; sec ; tendre
modeste.a 29 :: minuscule ; petit ; dérisoire ; minable ; minime ; rond ; insignifiant ; misérable ; humble ; anodin
modeste.a 114 :: humble ; poli ; honnête ; pauvre ; petit ; malheureux ; bon ; gentil ; timide ; doux
modeste.a 121 :: minuscule ; négligeable ; limité ; significatif ; restreindre ; minime ; important ; réduire ; dérisoire ; infime
modeste.a 163 :: limité ; petit ; léger ; faible ; nécessaire ; minime ; spectaculaire ; mesurer ; significatif ; important
modeste.a 195 :: limité ; restreindre ; minime ; suffisant ; misérable ; substantiel ; maigre ; marginal ; important ; convenable
modeste.a 197 :: parent ; salaire ; être ; travail ; parisien ; dirigeant ; rémunération ; cachet ; patron ; salarié
modeste.a 200 :: limité ; prudent ; temps ; petit ; ici ; réduire ; simple ; chose ; léger ; ensemble
modeste.a 246 :: élevé ; important ; léger ; petit ; faible ; moindre ; conséquent ; relatif ; économique ; populaire
modeste.a 269 :: humble ; petit ; pauvre ; digne ; jeune ; misérable ; médiocre ; bon ; piètre ; honnête
modeste.a 283 :: discret ; humble ; digne ; confidentiel ; fragile ; sérieux ; propre ; honnête ; modestie ; sympathique
montée.n 15 :: côte ; courbe ; progression ; partie ; monte ; formation ; machine ; faveur ; tendance ; politique
montée.n 56 :: descente ; pente ; progression ; construction ; montagne ; partie ; augmentation ; hauteur ; échelle ; chute
montée.n 75 :: terrasse ; descente ; journée ; suite ; balade ; croisière ; monte ; entrée ; grâce ; tour
montée.n 138 :: gestion ; performance ; hausse ; complexité ; croissance ; poussée ; vie ; puissance ; évolution ; progression
montée.n 141 :: monte ; courbe ; poussée ; descente ; hausse ; progression ; croissant ; progressif ; croissance ; chute
