affection.n 8 :: maladie ; dernier ; occasion ; disposition ; opération ; extrémité ; institution ; époque ; épreuve ; association
don.n 19 :: sens ; talent ; pouvoir ; génie ; droit ; fonds ; cadeau ; extraordinaire ; doué ; temps
don.n 30 :: talent ; pouvoir ; sens ; instinct ; élan ; oeil ; côté ; atout ; loisir ; esprit
don.n 36 :: talent ; sens ; pouvoir ; domaine ; souher ; travail ; développement ; génie ; droit ; livre
don.n 60 :: cadeau ; produit ; signe ; bon ; droit ; sacrifice ; service ; travail ; recevoir ; bénéficiaire
don.n 84 :: cadeau ; apport ; legs ; contribution ; achat ; fonds ; produit ; déchet ; animal ; enfant
don.n 107 :: cadeau ; présent ; faire ; art ; objet ; achat ; part ; dessin ; confiance ; faveur
don.n 130 :: cadeau ; coeur ; contribution ; soutien ; apport ; bénédiction ; vocation ; partage ; bien ; sacrifice
don.n 196 :: cadeau ; spécial ; droit ; sens ; génie ; bon ; domaine ; secret ; recevoir ; talent
don.n 244 :: cadeau ; mécénat ; souher ; bénévolat ; verre ; geste ; parrainage ; déchet ; volontaire ; legs
don.n 245 :: témoignage ; trésor ; travail ; reste ; objet ; monument ; découverte ; tombeau ; rôle ; bijou
entraîner.v 39 :: art ; air ; aide ; or ; ensemble ; international ; interne ; heureux ; image ; animal
entraîner.v 47 :: aide ; aider ; encourager ; amener ; obliger ; engager ; invite ; pousse ; inciter ; conduire
entraîner.v 55 :: or ; évolution ; ensemble ; apparemment ; expédition ; acte ; arriver ; ouverture ; aide ; époque
entraîner.v 57 :: air ; international ; afghan ; indien ; américain ; allemand ; eau ; audiovisuel ; arabe ; officiel
entraîner.v 133 :: air ; ancien ; aide ; or ; irremplaçable ; ensemble ; clip ; art ; apparemment ; animal
entraîner.v 140 :: conduire ; amener ; pousser ; attirer ; envoyer ; mener ; porter ; emporter ; jeter ; transporter
entraîner.v 144 :: invite ; obliger ; amener ; engager ; encourager ; avoir ; exhorter ; inviter ; inciter ; appeler
entraîner.v 161 :: provoquer ; engendrer ; induire ; éviter ; produire ; causer ; créer ; apparaître ; expliquer ; amener
entraîner.v 162 :: conduire ; lentement ; provoquer ; généralement ; progressivement ; favoriser ; amener ; commencer ; contribuer ; peut-être
entraîner.v 191 :: emporter ; amener ; porter ; conduire ; emmener ; mener ; précipiter ; accompagner ; attirer ; provoquer
éplucher.v 10 :: peler ; finement ; presser ; côté ; laver ; tendre ; nettoyer ; extrair ; enlever ; acheter
éplucher.v 51 :: éplucher ; analyser ; soigneusement ; attentivement ; peser ; minutieusement ; scrupuleusement ; regarder ; examiner ; étudier
éplucher.v 69 :: examiner ; vérifier ; étudier ; dépouiller ; analyser ; affiner ; fouiller ; relire ; approfondir ; scrupuleusement
éplucher.v 100 :: éplucher ; récolter ; finement ; écraser ; couper ; laver ; pousser ; pousse ; déjà ; mûr
éplucher.v 119 :: parcourir ; fouillé ; regarder ; lire ; chercher ; consulter ; éplucher ; forum ; trouver ; croiser
éplucher.v 167 :: couper ; laver ; enlever ; découper ; observer ; poireau ; compter ; voir ; oublier ; conserver
éplucher.v 174 :: supprimer ; lire ; voir ; consulter ; visiter ; afficher ; vérifier ; retrouver ; sélectionner ; regarder
éplucher.v 235 :: peler ; faire ; presser ; affiner ; récolter ; filer ; trancher ; cueillir ; couper ; aller
éplucher.v 236 :: éplucher ; récolter ; laver ; avoir ; regarder ; défendre ; colis ; ment ; longuement ; finement
éplucher.v 258 :: peler ; faire ; cuire ; laver ; égoutter ; préparer ; blanchir ; rincer ; déguster ; légume
espace.n 13 :: or ; centre ; ensemble ; international ; accueil ; parc ; instrument ; art ; établissement ; euro
espace.n 27 :: immigré ; air ; image ; aide ; ancien ; eau ; antique ; art ; appareil ; ensemble
espace.n 79 :: coin ; environnement ; emplacement ; zone ; option ; ensemble ; outil ; office ; aire ; pôle
espace.n 120 :: air ; article ; apercevoir ; étroit ; énergie ; international ; étranger ; externe ; avoir ; aide
espace.n 137 :: environnement ; conseil ; économie ; marché ; politique ; habitat ; énergie ; groupe ; emploi ; domaine
espace.n 142 :: air ; ancien ; image ; art ; étranger ; afghan ; actuel ; or ; eau ; international
espace.n 180 :: place ; emplacement ; lieu ; déplacement ; lien ; équilibre ; rapport ; temps ; volume ; arrangement
espace.n 208 :: innombrable ; ensemble ; euro ; article ; ancien ; entreprise ; instrument ; établissement ; institution ; dernier
espace.n 229 :: événement ; développement ; service ; propre ; aménagement ; territoire ; petit ; avantage ; produit ; environnement
espace.n 243 :: article ; ensemble ; droit ; rôle ; coin ; jeu ; écran ; domaine ; temps ; enfant
essuyer.v 11 :: laver ; faire ; rincer ; essuyer ; fermer ; ouvrir ; retirer ; enlever ; essuie ; soigneusement
essuyer.v 58 :: subir ; rencontrer ; avoir ; essuie ; souffrir ; recevoir ; enregistrer ; palier ; constater ; causer
essuyer.v 77 :: ra ; gnon ; fia ; fa ; taire ; culer ; fier ; ment ; faire ; aller
essuyer.v 81 :: avoir ; être ; répondit ; réponse ; essuie ; falloir ; bon ; ensuite ; fois ; hésiter
essuyer.v 86 :: devoir ; passer ; recevoir ; donne ; laisse ; ligne ; assurer ; répondre ; tenir ; internet
essuyer.v 89 :: subir ; essuie ; recevoir ; opposer ; encaisser ; rencontrer ; annoncer ; remporter ; connaître ; obtenir
essuyer.v 98 :: encaisser ; faire ; recevoir ; prendre ; voir ; subir ; utiliser ; apprendre ; rencontrer ; gagner
essuyer.v 166 :: pépin ; sécher ; noyau ; graine ; baie ; peler ; éplucher ; olive ; laver ; manger
essuyer.v 215 :: subir ; recevoir ; accumuler ; sortir ; annoncer ; enchaîner ; déjà ; cumulé ; falloir ; accuser
essuyer.v 266 :: soigneusement ; enlever ; nettoyer ; essuie ; retirer ; éviter ; laisser ; nettoyage ; laver ; appliquer
faucher.v 12 :: tuer ; écraser ; briser ; servir ; dernier ; bientôt ; sauver ; assassiner ; volontairement ; jeter
faucher.v 42 :: mieux ; également ; déjà ; modifier ; finalement ; devenir ; utiliser ; rester ; apparaître ; ajouter
faucher.v 116 :: allègrement ; joyeusement ; finement ; pré ; presque ; grossièrement ; tranquillement ; habilement ; joliment ; abattre
faucher.v 160 :: coûter ; tombe ; séparer ; orphelin ; pari ; presque ; gravement ; face-à-face ; malheureux ; mettre
faucher.v 214 :: faire ; presque ; mieux ; voir ; acheter ; extrêmement ; donner ; vraiment ; prendre ; vivre
faucher.v 239 :: acheter ; servir ; jeter ; entamer ; tendre ; volée ; coûter ; cassé ; vendre ; offrir
faucher.v 248 :: face ; tête ; vie ; marque ; contribution ; batterie ; livre ; crête ; pacte ; travail
faucher.v 276 :: couper ; semer ; abattre ; planter ; arracher ; cueillir ; échanger ; entretenir ; récolter ; faire
faucher.v 282 :: marque ; passer ; cadre ; frappe ; centre ; complètement ; piqu ; balle ; arrêter ; prendre
faucher.v 290 :: gravement ; côté ; an ; bêtement ; olivier ; déjà ; terre ; grièvement ; fois ; presque
fonder.v 6 :: créer ; fondre ; organiser ; diriger ; former ; ouvrir ; installer ; développer ; lancer ; bâtir
fonder.v 7 :: force ; traverser ; cadre ; porte ; base ; appuyer ; définir ; conditionne ; légitime ; motiver
fonder.v 54 :: base ; appuyer ; construire ; bâtir ; marque ; installer ; assurer ; cadre ; ancre ; trouver
fonder.v 66 :: ferme ; monte ; créer ; diriger ; installer ; instaurer ; développer ; débuter ; réunir ; rejoindre
fonder.v 88 :: intégrer ; formule ; installer ; forme ; créer ; rejoindre ; développer ; dessiner ; ouvrir ; anime
fonder.v 93 :: traverser ; force ; conditionne ; constituer ; valide ; base ; définir ; appuyer ; forme ; justifier
fonder.v 158 :: base ; fond ; forge ; repose ; fabrique ; appuyer ; joue ; construire ; cale ; fonctionner
fonder.v 212 :: fabriquer ; fer ; former ; bâtir ; partager ; faire ; fondre ; constituer ; contracter ; détruire
fonder.v 264 :: motiver ; bâtir ; définir ; vraiment ; force ; base ; fondation ; traverser ; forme ; nourrir
fonder.v 286 :: forge ; réunir ; ferme ; diriger ; développer ; racheter ; fond ; créer ; rassembler ; compte
grossier.a 24 :: stupide ; flagrant ; grave ; complet ; évident ; clair ; simple ; courant ; ridicule ; limpide
grossier.a 37 :: volontairement ; grossièrement ; monter ; totalement ; vulgaire ; rendre ; jamais ; cruel ; voire ; également
grossier.a 85 :: violent ; agressif ; susceptible ; jaloux ; encombrant ; lâche ; brutal ; vulgaire ; louche ; timide
grossier.a 108 :: matériau ; caillou ; brut ; indigène ; traditionnel ; caractère ; étranger ; galet ; pieux ; léger
grossier.a 134 :: vulgaire ; bon ; involontaire ; léger ; vieux ; flagrant ; lourd ; long ; mauvais ; confus
grossier.a 179 :: exploitation ; accusation ; flagrant ; politique ; scandaleux ; honteux ; propagande ; nouveau ; commission ; opération
grossier.a 227 :: vulgaire ; monter ; ici ; manipulateur ; déplacer ; ridicule ; intéresser ; idiot ; arrogant ; drôle
grossier.a 228 :: fait ; mensonge ; commentaire ; vulgaire ; témoignage ; rendre ; fabriquer ; contenir ; argument ; médical
grossier.a 231 :: vulgaire ; médiocre ; simple ; ordinaire ; égoïste ; inférieur ; général ; humain ; populaire ; coupable
grossier.a 300 :: faire ; habituel ; stupide ; répéter ; régulier ; coupable ; vulgaire ; théâtral ; vocal ; corporel
hermétique.a 203 :: pointue ; opaque ; éthique ; abstrait ; profane ; sophistiquer ; familier ; scientifique ; obscur ; empirique
hermétique.a 71 :: septique ; presque ; totalement ; complètement ; pourtant ; étanche ; inefficace ; mystérieux ; opaque ; secret
hermétique.a 99 :: fermer ; plastique ; sceller ; congélation ; entier ; étanche ; aluminium ; chinois ; transparent ; alimentaire
hermétique.a 126 :: réfractaire ; imperméable ; insensible ; fermer ; vouer ; perméable ; étanche ; sensible ; attacher ; dépendre
hermétique.a 127 :: élitiste ; religieux ; rigide ; fermé ; critique ; obscur ; rétrograde ; secret ; politique ; froid
hermétique.a 220 :: poli ; étancher ; purement ; totalement ; quasi ; homogène ; parfaitement ; clos ; presque ; suffisamment
hermétique.a 226 :: insensible ; sourd ; sensible ; imperméable ; indifférent ; fermer ; réfractaire ; face ; attentif ; initier
hermétique.a 261 :: poli ; magique ; aimable ; gentil ; penser ; éloquer ; confidentiel ; commun ; discret ; simpliste
hermétique.a 278 :: alimentaire ; blanc ; complètement ; noir ; presque ; solide ; entièrement ; parfaitement ; plastique ; totalement
hermétique.a 204 :: opaque ; théorique ; problématique ; abstrait ; obscur ; évident ; rester ; priori ; méthodologique ; logique
incorrect.a 45 :: actuellement ; humaine ; nommer ; visiblement ; naître ; actuel ; ent ; cohérent ; également ; appeler
incorrect.a 125 :: naître ; ante ; in ; nommer ; complètement ; assemblée ; vraiment ; appeler ; devenir ; con
incorrect.a 132 :: radio ; an ; côté ; mois ; haut ; également ; cours ; second ; jour ; déjà
incorrect.a 156 :: in ; politique ; juridique ; légal ; pénal ; historique ; inique ; professionnel ; vraiment ; mal
incorrect.a 159 :: utilisation ; résultat ; activité ; usage ; application ; applicabilité ; exploitation ; expérience ; caractère ; produit
incorrect.a 177 :: précis ; inverse ; supérieur ; spécial ; automatique ; contraire ; aléatoire ; supplémentaire ; public ; erroné
incorrect.a 217 :: politiquement ; bon ; mauvais ; drôle ; original ; stupide ; enfant ; correct ; automatiquement ; sujet
incorrect.a 241 :: vraiment ; totalement ; complètement ; parfaitement ; presque ; mal ; dire ; extrêmement ; juger ; également
incorrect.a 298 :: dangereux ; politique ; impressionnant ; inacceptable ; évident ; complémentaire ; surprenant ; correct ; inutile ; malheureux
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; donnée ; effacer ; saisir ; identifiabler ; sensible ; important ; transmettre
intérêt.n 63 :: avis ; opinion ; sentiment ; camp ; rôle ; principe ; conception ; dessein ; point ; objectif
intérêt.n 97 :: international ; entier ; article ; extérieur ; ensemble ; aimable ; effectif ; avoir ; in ; association
intérêt.n 129 :: étroit ; étymologie ; aide ; air ; ancien ; international ; incessant ; énergie ; adjectif ; activité
intérêt.n 146 :: art ; air ; image ; or ; évolution ; aide ; emploi ; nouveau ; eau ; ancien
intérêt.n 155 :: article ; utilisateur ; international ; information ; zone ; principal ; propre ; européen ; interne ; avenir
intérêt.n 218 :: sens ; intéressant ; utilité ; bénéfice ; côté ; importance ; avantage ; attrer ; faible ; enjeu
intérêt.n 263 :: véritable ; propre ; principal ; excellent ; air ; nouveau ; zone ; simple ; clip ; éventuel
intérêt.n 268 :: international ; air ; externe ; or ; propre ; clip ; aide ; image ; efficace ; anglais
intérêt.n 271 :: air ; excellent ; être ; nouveau ; éventuel ; actuel ; étrange ; indispensable ; association ; aide
intérêt.n 297 :: alpha ; audit ; adjectif ; effectif ; an ; étroit ; éponyme ; adage ; usage ; immigré
interpréter.v 18 :: chanter ; jouer ; offrir ; arranger ; interprétation ; servir ; inspirer ; présenter ; principalement ; varier
interpréter.v 21 :: jouer ; chanter ; arranger ; adapter ; chant ; exécuter ; reprendre ; incarner ; assurer ; accompagner
interpréter.v 59 :: mieux ; faire ; parfaitement ; ici ; mal ; travers ; fidèlement ; jouer ; également ; correctement
interpréter.v 80 :: art ; an ; usage ; or ; aide ; expérience ; excellent ; image ; avoir ; être
interpréter.v 123 :: international ; aide ; air ; or ; obliger ; étroit ; externe ; étymologie ; actuel ; adjectif
interpréter.v 128 :: vole ; offrir ; prendre ; proposer ; conseiller ; contenir ; sélectionner ; attrape ; donne ; créer
interpréter.v 157 :: recevoir ; accueillir ; encaisse ; analyse ; émettre ; traduire ; enregistrer ; envoyer ; utiliser ; écrire
interpréter.v 260 :: faire ; interprétation ; traduire ; correctement ; mieux ; fidèlement ; ensuite ; clairement ; objectif ; facilement
interpréter.v 267 :: observer ; comprendre ; interprétation ; anticiper ; définir ; remplir ; vivre ; décrire ; écrire ; considérer
interpréter.v 289 :: animé ; incarner ; jouer ; chanter ; imaginer ; dansé ; interprétation ; orchestré ; habiter ; concevoir
maintenir.v 94 :: ajouter ; soutenir ; assurer ; déclarer ; souligner ; préciser ; affirmer ; noter ; écrire ; répondre
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; disponible ; mentionner ; renseigner ; signaler ; apposer ; ajouter
maintenir.v 154 :: garder ; constamment ; fermement ; observer ; pourtant ; également ; demeurer ; maintien ; assurer ; obstinément
maintenir.v 175 :: préserver ; garder ; conserver ; demeurer ; retenir ; maintien ; divertir ; plonger ; conforter ; mener
maintenir.v 183 :: garder ; conserver ; entretenir ; préserver ; assurer ; garantir ; rester ; demeurer ; favoriser ; instaurer
maintenir.v 207 :: garder ; demeurer ; maintien ; conserver ; préserver ; rester ; soutenir ; retenir ; entretenir ; transporter
maintenir.v 230 :: tenir ; participation ; million ; ment ; compte ; développement ; langue ; dernier ; li ; ton
maintenir.v 234 :: estime ; souhaiter ; considérer ; rappeler ; soutenir ; réaffirmer ; proposer ; affirmer ; prévoir ; reconnaître
maintenir.v 251 :: tenir ; conserve ; réitérer ; confirmer ; soutenir ; réaffirmer ; répéter ; reprendre ; appuyer ; poursuivre
maintenir.v 281 :: maintien ; soutien ; compte ; dernier ; continuer ; juge ; foi ; position ; mai ; bref
mince.a 17 :: faible ; vulnérable ; fort ; étroit ; fin ; profond ; serrer ; épais ; important ; large
mince.a 96 :: bon ; diamant ; peut-être ; julien ; matériel ; idéal ; parfait ; gros ; maigre ; grâce
mince.a 147 :: maigre ; léger ; petit ; fin ; peut-être ; chose ; fort ; écart ; presque ; épaisseur
mince.a 170 :: presque ; déjà ; feuille ; légèrement ; petit ; extrêmement ; feuillet ; fin ; être ; caractère
mince.a 192 :: papier ; épais ; adhésif ; découper ; petit ; menu ; disque ; léger ; panneau ; écran
mince.a 202 :: fin ; petit ; léger ; double ; épais ; bel ; joli ; nouveau ; bon ; demi
mince.a 213 :: petit ; léger ; indice ; sourire ; fragment ; presque ; lambeau ; être ; éphémère ; détail
mince.a 225 :: pourtant ; petit ; déjà ; grand ; voil ; bon ; également ; fin ; sage ; finalement
mince.a 242 :: étroit ; fin ; établir ; fragile ; grand ; poreux ; petit ; court ; flou ; faible
mince.a 292 :: fin ; épais ; métallique ; conducteur ; double ; papier ; électronique ; journal ; souple ; intermédiaire
modeste.a 29 :: minuscule ; minable ; petit ; vaste ; misérable ; simple ; grand ; dérisoire ; second ; humble
modeste.a 114 :: humble ; pauvre ; bon ; petit ; poli ; honnête ; timide ; gentil ; discret ; malheureux
modeste.a 121 :: faible ; important ; petit ; minime ; sensible ; infime ; élevé ; limité ; significatif ; mesurer
modeste.a 163 :: minime ; faible ; limité ; spectaculaire ; personnel ; récent ; léger ; propre ; petit ; mesurer
modeste.a 195 :: être ; déjà ; ration ; fort ; également ; pièce ; réparation ; légèrement ; montant ; verser
modeste.a 197 :: pauvre ; aisé ; défavorisé ; local ; français ; fortuné ; humble ; libre ; hospitalier ; démunir
modeste.a 200 :: limité ; réduire ; faible ; modérer ; élevé ; restreindre ; honorable ; prudent ; léger ; part
modeste.a 246 :: élevé ; important ; faible ; léger ; économique ; considérable ; conséquent ; petit ; modérer ; général
modeste.a 269 :: petit ; jeune ; humble ; digne ; pauvre ; minuscule ; gentil ; bon ; misérable ; honnête
modeste.a 283 :: discret ; humble ; digne ; sincère ; productif ; professionnel ; mature ; populaire ; honnête ; personnel
montée.n 15 :: droite ; gauche ; république ; rivière ; partir ; tendance ; mesure ; démocratie ; population ; municipalité
montée.n 56 :: augmentation ; hauteur ; partie ; progression ; descente ; poussée ; construction ; hausse ; hiérarchie ; ascension
montée.n 75 :: descente ; visite ; entrée ; terrasse ; chute ; suite ; finale ; dernier ; arrivée ; vue
