affection.n 8 :: considération ; dernier ; institution ; reconnaissance ; disgrâce ; nouveau ; observation ; second ; compagnie ; continuation
capacité.n 70 :: puissance ; fréquentation ; surface ; production ; construction ; dotation ; performance ; consommation ; rentabilité ; sécurité
capacité.n 73 :: faculté ; compétence ; force ; aptitude ; détermination ; volonté ; souplesse ; possibilité ; résilience ; liberté
capacité.n 101 :: compétence ; qualité ; puissance ; propre ; pouvoir ; fonction ; faculté ; force ; liberté ; vertu
capacité.n 103 :: infrastructure ; batterie ; livraison ; ressource ; installation ; activité ; performance ; besoin ; unité ; puissance
capacité.n 110 :: quantité ; possibilité ; batterie ; puissance ; solution ; suite ; participation ; réserve ; technologie ; offrir
capacité.n 135 :: faculté ; marge ; possibilité ; force ; puissance ; liberté ; pouvoir ; volonté ; droit ; rapidité
capacité.n 148 :: maîtrise ; spécialisation ; compétence ; formation ; certification ; licence ; faculté ; aptitude ; qualification ; maturité
commander.v 5 :: publier ; réaliser ; éditer ; final ; signer ; écrire ; spécial ; inédit ; rédiger ; produit
commander.v 9 :: commander ; vite ; rapidement ; facilement ; commande ; être ; créer ; gratuitement ; prendre ; vous
commander.v 16 :: commandant ; commanda ; diriger ; mener ; soutenir ; successivement ; conseiller ; brillamment ; ensuite ; lancer
commander.v 41 :: choisir ; décider ; commencer ; définir ; effectuer ; faire ; sélectionner ; prendre ; changer ; gérer
commander.v 48 :: gérer ; diriger ; gouverner ; contrôlent ; créer ; déterminer ; dominer ; régir ; tirer ; mener
commander.v 117 :: commande ; dorénavant ; commandement ; comporter ; commandant ; commanda ; normalement ; valoir ; dieu ; maman
commander.v 164 :: enseigne ; ordonner ; dicter ; imposer ; prescrire ; obéir ; demande ; enjoindre ; conseiller ; donne
commander.v 171 :: commande ; acheter ; acquérir ; déguster ; réserver ; recevoir ; faire ; commencer ; découvrir ; valider
commander.v 206 :: donner ; protéger ; servir ; donne ; commande ; permettre ; unir ; inspirer ; interdire ; venir
commander.v 240 :: payer ; personnaliser ; régler ; uniquement ; faire ; commande ; également ; modifier ; piloter ; contrôler
compris.a 52 :: accepter ; expliquer ; compréhensible ; assimiler ; inclus ; apprécier ; prise ; présente ; partager ; intégrer
compris.a 90 :: aimer ; apprécier ; intégré ; trouver ; également ; saisir ; inclure ; utiliser ; réaliser ; établir
compris.a 106 :: vivre ; apprendre ; entendre ; vous ; prouver ; penser ; sentir ; montrer ; confirmer ; davantage
compris.a 185 :: inclure ; présent ; situer ; placer ; produit ; incorporer ; inscrire ; également ; contenir ; fait
compris.a 186 :: inclure ; situer ; présent ; rester ; déjà ; inscrire ; plonger ; également ; absent ; arriver
compris.a 187 :: terme ; prix ; inclure ; service ; forfait ; entier ; période ; taux ; temps ; partir
compris.a 211 :: répartir ; varier ; moyen ; partager ; tique ; présent ; mesurer ; inclus ; situer ; identique
compris.a 232 :: inclure ; contenu ; intégré ; reprendre ; inclus ; comprendre ; compter ; prendre ; comptabiliser ; cohérent
compris.a 272 :: saisir ; comprendre ; croire ; capter ; réaliser ; entendre ; penser ; sentir ; percevoir ; savoir
compris.a 287 :: intégré ; assimiler ; saisir ; reconnaître ; percevoir ; deviner ; apprendre ; adopter ; apprécier ; comprendre
couverture.n 65 :: page ; brochure ; dernier ; sommaire ; partie ; moitié ; manchette ; dossier ; intégral ; photo
couverture.n 67 :: vie ; journée ; peau ; veste ; protection ; gloire ; robe ; photo ; sécurité ; tenue
couverture.n 72 :: housse ; pochette ; traire ; dossier ; garniture ; découpe ; dessin ; création ; toiture ; couvrir
couverture.n 143 :: manchette ; éditorial ; sommaire ; conclusion ; tête ; illustration ; page ; kiosque ; couvrir ; pochette
couverture.n 149 :: sécurité ; protection ; gestion ; garantie ; vie ; responsabilité ; répartition ; caisse ; couvrir ; stratégie
couverture.n 150 :: toiture ; résumé ; financier ; portage ; rédaction ; pierre ; évaluation ; réfection ; toit ; bon
couverture.n 201 :: surveillance ; protection ; desserte ; sécurité ; couvrir ; gestion ; pénétration ; développement ; transformation ; numérique
couverture.n 257 :: remplacement ; construction ; toiture ; revêtement ; fond ; base ; protection ; sécurité ; financement ; soutien
couverture.n 265 :: couvrir ; protection ; housse ; bâche ; voil ; cape ; capote ; veste ; garde ; couche
couverture.n 280 :: lune ; peau ; protection ; neige ; lumière ; peur ; voil ; couette ; menace ; photo
débit.n 64 :: compte ; dépôt ; faciliter ; règlement ; montant ; banque ; transfert ; capacité ; monnaie ; versement
débit.n 87 :: coût ; prix ; montant ; solde ; paiement ; salaire ; cours ; remboursement ; crédit ; loyer
débit.n 115 :: niveau ; cours ; écoulement ; flux ; courant ; flot ; principal ; delta ; fleuve ; important
débit.n 131 :: flux ; activité ; vin ; haut ; réseau ; jeu ; principal ; eau ; fort ; taux
débit.n 136 :: cours ; flux ; apport ; débordement ; affluent ; bord ; potentiel ; rive ; volume ; niveau
débit.n 168 :: durée ; numérique ; montant ; droit ; intégral ; détail ; écart ; accès ; total ; nombre
débit.n 169 :: montant ; cours ; niveau ; résultat ; volume ; financement ; traitement ; solde ; produit ; rapport
débit.n 184 :: vitesse ; taux ; ratio ; rythme ; coût ; rendement ; capacité ; maximum ; prix ; record
débit.n 188 :: rejet ; apport ; crue ; capture ; prélèvement ; stock ; affluent ; flux ; niveau ; effectif
débit.n 205 :: internet ; haut ; fort ; accès ; transmission ; gros ; fixe ; élevé ; connexion ; faible
direction.n 78 :: conduite ; responsabilité ; coordination ; langue ; directrice ; performance ; diriger ; route ; maîtrise ; surveillance
direction.n 111 :: orientation ; vision ; ligne ; viser ; conduite ; cohérence ; coloration ; identité ; tête ; relation
direction.n 151 :: directrice ; directeur ; management ; présidence ; équipe ; gestion ; rédaction ; responsabilité ; responsable ; stratégie
direction.n 152 :: droite ; orientation ; ligne ; sens ; constant ; optique ; vertical ; axe ; tendance ; orienter
direction.n 172 :: destination ; rejoindre ; cap ; peut-être ; bonjour ; pied ; vivement ; aller ; forme ; presque
direction.n 176 :: conduite ; orientation ; tête ; directeur ; forme ; cap ; directrice ; viser ; tendance ; contrôle
direction.n 199 :: rédaction ; directrice ; présidence ; presse ; fédération ; société ; délégation ; suite ; commission ; production
direction.n 223 :: conduite ; responsabilité ; tête ; gestion ; formation ; présidence ; composition ; animation ; cadre ; création
direction.n 262 :: responsabilité ; présidence ; directrice ; conduite ; tête ; gestion ; directeur ; coordination ; forme ; charge
direction.n 279 :: venir ; face ; destination ; provenance ; raison ; revenir ; sortir ; faveur ; sens ; vallée
don.n 19 :: talent ; sens ; génie ; pouvoir ; doué ; vrai ; bon ; temps ; droit ; style
don.n 30 :: talent ; oeil ; atout ; trait ; sens ; trésor ; plan ; instinct ; tour ; côté
don.n 36 :: talent ; pouvoir ; génie ; domaine ; droit ; sens ; cadeau ; ministère ; charm ; souher
don.n 60 :: cadeau ; produit ; legs ; travail ; service ; fruit ; signe ; droit ; domaine ; geste
don.n 84 :: cadeau ; fonds ; legs ; déchet ; contribution ; apport ; revenu ; fondation ; versement ; bénéficiaire
don.n 107 :: cadeau ; faire ; part ; preuve ; confiance ; or ; usage ; faveur ; venir ; objet
don.n 130 :: fonds ; lecteur ; enfant ; bon ; talent ; homme ; bénéficiaire ; cadeau ; crédit ; contribution
don.n 196 :: génie ; pouvoir ; droit ; trésor ; traitement ; sens ; domaine ; talent ; caractère ; secret
don.n 244 :: mécénat ; cadeau ; soutien ; geste ; souher ; versement ; droit ; verre ; vin ; parrainage
don.n 245 :: do ; génie ; art ; vin ; dos ; fait ; venir ; os ; val ; sens
entraîner.v 39 :: art ; or ; aide ; envoi ; arme ; ancien ; usage ; immigré ; animal ; international
entraîner.v 47 :: obliger ; également ; encourager ; aider ; inciter ; aide ; contraindre ; engager ; conduire ; amener
entraîner.v 55 :: ouverture ; aide ; évolution ; or ; international ; origine ; ouvrir ; établissement ; expérience ; ensemble
entraîner.v 57 :: air ; indien ; américain ; apparemment ; international ; euro ; jaune ; externe ; avantage ; ancien
entraîner.v 133 :: air ; art ; animal ; aide ; ancien ; image ; eau ; interne ; indien ; énergie
entraîner.v 140 :: mener ; envoyer ; amener ; conduire ; pousser ; emporter ; suivre ; attirer ; fournir ; établir
entraîner.v 144 :: obliger ; amener ; conduire ; engager ; force ; invite ; pousse ; inciter ; appeler ; porte
entraîner.v 161 :: conduire ; provoquer ; engendrer ; amener ; apparaître ; éviter ; pallier ; causer ; inévitablement ; résulter
entraîner.v 162 :: généralement ; auto ; activité ; observer ; processus ; provoquer ; saint ; également ; travail ; tour
entraîner.v 191 :: emporter ; porter ; emmener ; amener ; conduire ; engager ; attirer ; précipiter ; transporter ; mener
éplucher.v 10 :: peler ; nettoyer ; acheter ; ire ; laver ; égoutter ; faire ; mettre ; préparer ; ajouter
éplucher.v 51 :: éplucher ; soigneusement ; minutieusement ; patiemment ; analyser ; examiner ; trouver ; lire ; récolter ; fouillé
éplucher.v 69 :: examiner ; analyser ; étudier ; contrôler ; vérifier ; recueillir ; revoir ; recevoir ; surveiller ; évaluer
éplucher.v 100 :: éplucher ; récolter ; laver ; finement ; mûr ; consommer ; grossièrement ; ôter ; presser ; extraire
éplucher.v 119 :: fouillé ; éplucher ; regarder ; parcourir ; lire ; retourner ; explorer ; étudier ; survoler ; chercher
éplucher.v 167 :: laver ; oublier ; mélanger ; également ; oignon ; poireau ; choisir ; ensuite ; conserver ; ajouter
éplucher.v 174 :: faire ; lire ; trancher ; dévorer ; détailler ; peler ; regarder ; lamelle ; filer ; tailler
éplucher.v 235 :: peler ; faire ; cueillir ; récolter ; arracher ; couper ; presser ; mieux ; oignon ; canne
éplucher.v 236 :: récolter ; collecter ; éplucher ; chercher ; piocher ; filer ; aller ; fouillé ; entendre ; mélanger
éplucher.v 258 :: peler ; faire ; cuire ; oignon ; blanchir ; finement ; falloir ; carotte ; échalote ; ail
espace.n 13 :: ensemble ; or ; installation ; exploitation ; établissement ; investissement ; origine ; intégration ; introduction ; information
espace.n 27 :: air ; ancien ; eau ; aide ; éternel ; homme ; immigré ; image ; antique ; énergie
espace.n 79 :: coin ; zone ; option ; emplacement ; outil ; ensemble ; îlot ; module ; pôle ; environnement
espace.n 120 :: être ; ensemble ; article ; air ; lorsqu ; avantage ; utilisateur ; or ; avoir ; interne
espace.n 137 :: environnement ; marché ; emploi ; information ; avantage ; investissement ; entreprise ; avenir ; domaine ; instrument
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; image ; art ; allemand ; indien ; étranger
espace.n 180 :: enfant ; lien ; présent ; territoire ; arbre ; paysage ; local ; mariage ; imaginaire ; échange
espace.n 208 :: ancien ; instrument ; excellent ; enseignant ; os ; innombrable ; éventuel ; ion ; année ; an
espace.n 229 :: propre ; petit ; atout ; talent ; service ; produit ; projet ; aménagement ; environnement ; événement
espace.n 243 :: intervalle ; article ; vide ; coin ; temps ; ensemble ; emplacement ; place ; compte ; jeu
essuyer.v 11 :: rincer ; laver ; essuyer ; remplir ; bouché ; rinçage ; faire ; nettoyer ; fermer ; couvrir
essuyer.v 58 :: durement ; déjà ; face ; gros ; froid ; clairement ; cul ; dur ; essuie ; presque
essuyer.v 77 :: essuie ; sec ; facile ; savon ; hygiénique ; lav ; entretien ; graisse ; cas ; commencer
essuyer.v 81 :: laver ; essuie ; éponge ; but ; ra ; laisser ; faire ; pouvoir ; remarquer ; chercher
essuyer.v 86 :: devoir ; passer ; commission ; laisse ; technique ; répondre ; continuer ; demande ; ligne ; presque
essuyer.v 89 :: maint ; refus ; régulièrement ; systématiquement ; durement ; déjà ; revers ; recevoir ; récemment ; face
essuyer.v 98 :: faire ; recevoir ; encaisser ; voir ; subir ; gagner ; rencontrer ; souffrir ; obtenir ; trouver
essuyer.v 166 :: nettoyer ; grand ; doucement ; poser ; droite ; venir ; face ; essuie ; entier ; recommencer
essuyer.v 215 :: subir ; également ; ensuite ; déjà ; recevoir ; essuie ; presque ; mal ; refuser ; pourtant
essuyer.v 266 :: enlever ; retirer ; éviter ; assurer ; couvrir ; laisser ; arrêter ; faire ; essuie ; observer
faucher.v 12 :: foulée ; déjà ; volée ; abattre ; suivre ; biologique ; planter ; régulièrement ; pré ; fleuri
faucher.v 42 :: mieux ; également ; vraiment ; finalement ; déjà ; peut-être ; découverte ; devenir ; presque ; davantage
faucher.v 116 :: abattre ; semer ; pousser ; tuer ; dévaster ; gravement ; attaquer ; assassiner ; hacher ; ravager
faucher.v 160 :: trouver ; pari ; rencontre ; julien ; espoir ; an ; côté ; jeu ; marque ; français
faucher.v 214 :: voir ; moyen ; mauvais ; pays ; mieux ; faire ; caractère ; bon ; développement ; politique
faucher.v 239 :: acheter ; jeter ; servir ; partager ; presque ; cassé ; arroser ; donner ; prise ; volée
faucher.v 248 :: président ; commission ; conseil ; présidence ; loi ; marque ; hollande ; terre ; gouvernement ; république
faucher.v 276 :: couper ; semer ; abattre ; planter ; arracher ; cueillir ; récolter ; creuser ; tailler ; pousser
faucher.v 282 :: remplacer ; laisse ; tromp ; éliminer ; trouver ; marque ; face ; relance ; lancer ; complètement
faucher.v 290 :: abattre ; tuer ; fatal ; froidement ; sauvagement ; volontairement ; finement ; hacher ; pousser ; assassiner
fonder.v 6 :: créer ; fondre ; tenir ; diriger ; organiser ; développer ; former ; faire ; ouvrir ; bâtir
fonder.v 7 :: sous-tendre ; motiver ; guide ; force ; justifier ; conditionne ; constituer ; légitime ; caractériser ; base
fonder.v 54 :: base ; construire ; appuyer ; tire ; force ; assurer ; trouver ; gagner ; porte ; constituer
fonder.v 66 :: ferme ; fondation ; direction ; aventure ; damas ; formule ; saint ; chef ; rejoindre ; vie
fonder.v 88 :: pari ; louis ; ensuite ; ferme ; an ; installer ; site ; bordeaux ; joseph ; guillaume
fonder.v 93 :: forme ; appuyer ; constituer ; traverser ; définir ; forge ; force ; assurer ; base ; valide
fonder.v 158 :: base ; bâtir ; fond ; cale ; repose ; définir ; fixe ; cadre ; ferme ; formule
fonder.v 212 :: former ; créer ; faire ; construire ; fondre ; contracter ; fabriquer ; constituer ; gérer ; organiser
fonder.v 264 :: force ; ciment ; base ; solide ; vraiment ; constituer ; bâtir ; pavé ; traverser ; voir
fonder.v 286 :: créer ; forge ; ouvrir ; forme ; installer ; développer ; établir ; instaurer ; inaugurer ; rassembler
grossier.a 24 :: stupide ; grave ; simple ; absurde ; évident ; monumental ; courant ; ridicule ; valable ; flagrant
grossier.a 37 :: avancer ; subtil ; complet ; vicieux ; habile ; élémentaire ; fin ; technique ; évident ; perfectionner
grossier.a 85 :: poli ; violent ; agressif ; dangereux ; vulgaire ; vicieux ; franc ; méchant ; timide ; brutal
grossier.a 108 :: profond ; fin ; sec ; léger ; sauvage ; organique ; régulier ; primitif ; continu ; naturel
grossier.a 134 :: vague ; simpliste ; fort ; long ; grand ; léger ; subtil ; gros ; petit ; évident
grossier.a 179 :: propagande ; publicité ; désinformation ; information ; diffusion ; télévision ; campagne ; communication ; analyse ; attaque
grossier.a 227 :: voire ; aller ; caractère ; moitié ; langage ; brin ; petit ; personnage ; second ; membre
grossier.a 228 :: document ; témoignage ; facture ; papier ; positif ; billet ; policier ; fiscal ; routier ; déclaration
grossier.a 231 :: humain ; matériel ; terrestre ; vulgaire ; commune ; moral ; personnel ; social ; profond ; profane
grossier.a 300 :: faire ; grossièrement ; stupide ; être ; rester ; faute ; presque ; noir ; chose ; voire
hermétique.a 203 :: problématique ; rester ; opaque ; obscur ; totalement ; partiel ; étique ; temporel ; technique ; inédit
hermétique.a 71 :: étanche ; obscur ; opaque ; effrayant ; énigmatique ; étrange ; simpliste ; mystérieux ; paradoxal ; magique
hermétique.a 99 :: fermer ; entier ; sceller ; plastique ; contenir ; individuel ; cylindrique ; alimentaire ; compact ; remplir
hermétique.a 126 :: étanche ; insensible ; allergique ; imperméable ; atomique ; attacher ; sensible ; fermer ; dépendre ; collé
hermétique.a 127 :: élitiste ; académique ; magique ; religieux ; froid ; lisse ; politique ; blanc ; mystique ; universitaire
hermétique.a 220 :: mystérieux ; rester ; oeil ; mystère ; demeurer ; totalement ; parfaitement ; presque ; opaque ; personnage
hermétique.a 226 :: réfractaire ; fermer ; insensible ; imperméable ; allergique ; aveugle ; perméable ; sensible ; initier ; hostile
hermétique.a 261 :: magique ; éloquer ; sensible ; convenir ; poétique ; opaque ; mystérieux ; étanche ; sublime ; limite
hermétique.a 278 :: alimentaire ; parfaitement ; soigneusement ; solide ; complètement ; presque ; secret ; entièrement ; parisien ; totalement
hermétique.a 204 :: affaire ; alliance ; porte ; mystère ; tour ; marier ; mystérieux ; oeil ; maçonnerie ; ambre
incorrect.a 45 :: vouloir ; appeler ; utiliser ; cohérent ; nécessaire ; rée ; utile ; fatal ; produire ; acquérir
incorrect.a 125 :: femme ; jeune ; vieux ; fille ; âger ; prostitué ; bel ; sexuellement ; assister ; épouse
incorrect.a 132 :: rester ; totalement ; tomber ; également ; rigueur ; extrêmement ; faire ; demeurer ; naître ; plein
incorrect.a 156 :: également ; vraiment ; humaine ; devoir ; juger ; raisonnable ; politiquement ; nécessaire ; rendre ; complètement
incorrect.a 159 :: transposition ; pratique ; application ; interprétation ; partie ; oeuvre ; infraction ; utilisation ; porter ; applicabilité
incorrect.a 177 :: correct ; total ; prédéterminer ; approximatif ; erroné ; aléatoire ; arbitraire ; insuffisant ; déterminer ; précis
incorrect.a 217 :: obscur ; correct ; ici ; élevé ; inapproprié ; sensible ; approprié ; explicite ; politiquement ; stupide
incorrect.a 241 :: vraiment ; totalement ; complètement ; mal ; parfaitement ; juger ; extrêmement ; presque ; in ; apparemment
incorrect.a 298 :: total ; sommaire ; correct ; information ; disponible ; ci-dessous ; participation ; compte ; ensemble ; important
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; indésirable ; transmettre ; financier ; privé ; sensible ; saisir ; électronique
intérêt.n 63 :: avis ; élément ; objectif ; camp ; désir ; point ; argument ; opinion ; sentiment ; adversaire
intérêt.n 97 :: article ; entreprise ; irremplaçable ; international ; ensemble ; évolution ; innombrable ; actuel ; avoir ; administration
intérêt.n 129 :: air ; art ; étroit ; énorme ; aide ; incroyable ; excellent ; heureux ; intense ; éventuel
intérêt.n 146 :: or ; art ; air ; évolution ; international ; ensemble ; origine ; ouverture ; actuel ; eau
intérêt.n 155 :: audiovisuel ; article ; effectif ; air ; audiovisuelle ; international ; interne ; aide ; origine ; énergie
intérêt.n 218 :: avantage ; intéressant ; côté ; important ; principal ; sens ; bénéfice ; faible ; inconvénient ; attrer
intérêt.n 263 :: excellent ; air ; éventuel ; efficace ; étroit ; aide ; art ; meilleur ; illustre ; principal
intérêt.n 268 :: air ; international ; étymologie ; alpha ; étroit ; interne ; externe ; implicite ; aide ; incessant
intérêt.n 271 :: être ; eau ; aide ; évolution ; actuel ; objet ; étrange ; utilisateur ; archive ; usage
intérêt.n 297 :: air ; art ; externe ; adjectif ; international ; aide ; alpha ; us ; or ; étymologie
interpréter.v 18 :: chanter ; jouer ; arranger ; interprétation ; compiler ; enregistrer ; reprendre ; inspirer ; composer ; raconter
interpréter.v 21 :: jouer ; arranger ; enregistrer ; adapter ; écouter ; chanter ; dessiner ; interprétation ; écrire ; exécuter
interpréter.v 59 :: expliquer ; penser ; voir ; faire ; comprendre ; entendre ; regarder ; savoir ; montrer ; lire
interpréter.v 80 :: art ; air ; aide ; international ; image ; étymologie ; externe ; ante ; énergie ; animal
interpréter.v 123 :: alpha ; air ; étroit ; étymologie ; international ; aide ; art ; image ; in ; an
interpréter.v 128 :: joue ; ici ; incarner ; interprétation ; camper ; offrir ; double ; assurer ; tenir ; occuper
interpréter.v 157 :: traduire ; traite ; recevoir ; enregistrer ; analyse ; accueillir ; écrire ; encaisse ; accepter ; anticiper
interpréter.v 260 :: interprétation ; apprécier ; faire ; comprendre ; lire ; expliquer ; analyser ; entendre ; utiliser ; exploiter
interpréter.v 267 :: percevoir ; recevoir ; interprétation ; comprendre ; énoncer ; vivre ; attribuer ; entendre ; chanter ; vue
interpréter.v 289 :: chanter ; opéra ; dansé ; jouer ; incarner ; porter ; imaginer ; écrire ; mettre ; entièrement
maintenir.v 94 :: ordre ; tenir ; caractère ; contenu ; poids ; équilibre ; objectif ; secret ; constant ; fermement
maintenir.v 113 :: inscrire ; présent ; enregistrer ; visible ; mentionner ; signaler ; référencer ; renseigner ; indiquer ; ajouter
maintenir.v 154 :: fermement ; observer ; tenir ; garder ; voire ; international ; demeurer ; maintien ; soutenir ; tenue
maintenir.v 175 :: garder ; maintien ; entretenir ; préserver ; mettre ; demeurer ; constamment ; favoriser ; persister ; rester
maintenir.v 183 :: entretenir ; assurer ; garder ; maintien ; conserver ; rester ; préserver ; établir ; bon ; constance
maintenir.v 207 :: demeurer ; maintien ; préserver ; garder ; conserver ; rester ; soutenir ; transporter ; divertir ; réintégrer
maintenir.v 230 :: tenir ; personnellement ; dernier ; compte ; participation ; prochain ; avoir ; présent ; personne ; également
maintenir.v 234 :: souhaiter ; soutenir ; considérer ; réaffirmer ; rappeler ; estime ; proposer ; prévoir ; vouloir ; demande
maintenir.v 251 :: réitérer ; réaffirmer ; conserve ; renouveler ; reprendre ; soutenir ; tenir ; répéter ; confirmer ; poursuivre
maintenir.v 281 :: affirmer ; confirmer ; considérer ; soutien ; estime ; assurer ; ajouter ; persist ; juge ; souligner
mince.a 17 :: épais ; léger ; fin ; fort ; lisse ; rigide ; petit ; faible ; fragile ; frêle
mince.a 96 :: fin ; léger ; régulier ; lisse ; épais ; sec ; moyen ; légèrement ; maigre ; finement
mince.a 147 :: maigre ; léger ; simple ; bon ; court ; faible ; fin ; sommaire ; énorme ; présente
mince.a 170 :: épais ; fragile ; solide ; fort ; léger ; énorme ; beal ; faible ; magnifique ; fin
mince.a 192 :: petit ; micro ; fin ; épais ; minuscule ; écran ; léger ; carte ; devenir ; dessin
mince.a 202 :: fin ; double ; petit ; léger ; épais ; nouveau ; dernier ; fort ; grand ; haut
mince.a 213 :: minime ; petit ; faible ; maigre ; léger ; discret ; réduire ; subtil ; infime ; juste
mince.a 225 :: voil ; fin ; léger ; élégant ; épais ; lisse ; pantalon ; régulier ; délicat ; extra
mince.a 242 :: fort ; devenir ; fin ; déjà ; complexe ; visiblement ; pourtant ; tendre ; ligne ; chemin
mince.a 292 :: fin ; double ; continuer ; interne ; épais ; léger ; externe ; magnétique ; supérieur ; organique
modeste.a 29 :: logement ; petit ; studio ; appartement ; coin ; bureau ; logis ; foyer ; bâtiment ; poste
modeste.a 114 :: bon ; pauvre ; humble ; honnête ; petit ; poli ; gentil ; digne ; discret ; simple
modeste.a 121 :: faible ; minime ; petit ; mesurer ; réduire ; important ; dérisoire ; minuscule ; significatif ; limité
modeste.a 163 :: limité ; petit ; minime ; nécessaire ; important ; faible ; spectaculaire ; léger ; timide ; modique
modeste.a 195 :: minime ; limité ; faible ; restreindre ; personnel ; médiocre ; basique ; misérable ; conséquent ; considérable
modeste.a 197 :: travailler ; aisé ; demeurer ; moyen ; également ; pourtant ; honorable ; nettement ; petit ; être
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; mesurer ; petit ; modérer ; léger ; minime ; élevé
modeste.a 246 :: élevé ; important ; marchand ; léger ; négligeable ; moindre ; petit ; intermédiaire ; modérer ; faible
modeste.a 269 :: petit ; pauvre ; humble ; travail ; bon ; modestie ; simple ; projet ; médiocre ; moyen
modeste.a 283 :: sobre ; pauvre ; humble ; léger ; simple ; petit ; discret ; modestie ; misérable ; sincère
montée.n 15 :: courbe ; côte ; poussée ; victoire ; droite ; machine ; tendance ; vague ; carte ; marine
montée.n 56 :: augmentation ; partie ; construction ; manière ; ascension ; participation ; descente ; échelle ; progression ; hauteur
montée.n 75 :: descente ; visite ; promotion ; vie ; entrée ; suite ; journée ; accession ; installation ; ascension
montée.n 138 :: évolution ; gestion ; performance ; progression ; hausse ; maîtrise ; stratégie ; transformation ; intégration ; capacité
montée.n 141 :: descente ; monte ; poussée ; hausse ; courbe ; dégradation ; baisse ; progression ; dérive ; chute
montée.n 153 :: pente ; descente ; chute ; douleur ; vie ; côte ; progression ; montagne ; route ; fatigue
