affection.n 8 :: occasion ; époque ; disposition ; affectation ; maladie ; considération ; dernier ; observation ; opinion ; épreuve
capacité.n 73 :: faculté ; possibilité ; compétence ; dimension ; liberté ; aptitude ; volonté ; responsabilité ; souplesse ; droit
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; fonction ; plénitude ; liberté ; pouvoir ; vertu ; souveraineté
capacité.n 103 :: disponibilité ; ressource ; coût ; possibilité ; quantité ; réserve ; installation ; activité ; norme ; stock
capacité.n 110 :: possibilité ; quantité ; garantie ; participation ; puissance ; réserve ; somme ; contenance ; limite ; batterie
capacité.n 135 :: faculté ; possibilité ; marge ; force ; base ; puissance ; fenêtre ; droit ; vitesse ; porte
capacité.n 148 :: faculté ; aptitude ; compétence ; formation ; qualité ; connaissance ; possibilité ; maîtrise ; disposition ; base
commander.v 5 :: dicter ; écrire ; achever ; accomplir ; donner ; tenir ; adresser ; livrer ; demander ; réaliser
commander.v 9 :: commander ; commencer ; acheter ; réserver ; découvrir ; apprendre ; choisir ; aller ; trouver ; lire
commander.v 16 :: recevoir ; lancer ; diriger ; ordonner ; ensuite ; charge ; soutenir ; conduire ; mener ; conserve
commander.v 41 :: commencer ; suivre ; gagner ; effectuer ; demander ; découvrir ; choisir ; prendre ; jouer ; travailler
commander.v 48 :: régir ; contrôlent ; diriger ; mener ; gouverner ; créer ; dominer ; gérer ; déterminer ; tirer
commander.v 117 :: commande ; commandement ; commandant ; dicter ; dieu ; normalement ; commanda ; ordonner ; seigneur ; enjoindre
commander.v 164 :: ordonner ; dicter ; enseigne ; donne ; imposer ; commandant ; demande ; ment ; nuit ; appartenir
commander.v 171 :: commande ; acheter ; acquérir ; valider ; faire ; voir ; commandant ; déjà ; réserver ; venir
commander.v 206 :: exclusif ; prochain ; commande ; vente ; petit ; gratuit ; spécial ; droit ; protéger ; produit
commander.v 240 :: commande ; payer ; uniquement ; faire ; voire ; également ; régler ; prendre ; acheter ; personnaliser
compris.a 52 :: assimiler ; compréhensible ; entendre ; contenue ; retenir ; accepter ; recevoir ; vue ; percevoir ; profond
compris.a 90 :: falloir ; sentir ; saisir ; trouver ; savoir ; penser ; considérer ; reconnaître ; convaincre ; croire
compris.a 106 :: davantage ; prouver ; apprendre ; préciser ; vivre ; confirmer ; corrigé ; ajouter ; penser ; pis
compris.a 185 :: participation ; article ; ci-dessous ; inclure ; ci ; ouvrage ; pari ; également ; publication ; observation
compris.a 186 :: déjà ; rester ; entrer ; situer ; presque ; tomber ; sortir ; plonger ; inclure ; inscrire
compris.a 187 :: inclure ; situer ; répartir ; contenu ; définir ; évaluer ; compter ; prendre ; choisir ; varier
compris.a 211 :: mesurer ; moyen ; répartir ; identique ; situer ; semblable ; inclus ; contenir ; minimal ; tique
compris.a 232 :: inclure ; également ; comprendre ; prendre ; contenu ; contenir ; frais ; généralement ; prix ; cas
compris.a 272 :: saisir ; réaliser ; penser ; comprendre ; croire ; capter ; savoir ; percevoir ; apprendre ; retenir
compris.a 287 :: inclure ; exemple ; comprendre ; cas ; également ; sens ; service ; compte ; exception ; exclure
couverture.n 65 :: rédaction ; manchette ; dernier ; sommaire ; page ; éditorial ; carte ; dossier ; moitié ; définition
couverture.n 67 :: peau ; vie ; réputation ; carrière ; survie ; chance ; veste ; chemise ; mort ; couronne
couverture.n 72 :: toiture ; sol ; base ; pochette ; housse ; dossier ; toit ; matière ; revêtement ; doublure
couverture.n 143 :: illustration ; manchette ; fort ; page ; couvrir ; pochette ; front ; recto ; peau ; bref
couverture.n 149 :: protection ; sécurité ; vie ; gestion ; garantie ; régime ; couvert ; responsabilité ; répartition ; réduction
couverture.n 150 :: toiture ; couvrir ; pierre ; toit ; citerne ; tâche ; traverser ; viser ; finir ; refaire
couverture.n 201 :: surveillance ; convergence ; répartition ; desserte ; gestion ; pénétration ; déploiement ; protection ; disponibilité ; sécurité
couverture.n 257 :: construction ; base ; remplacement ; toiture ; revêtement ; lux ; protection ; sol ; soutien ; maçonnerie
couverture.n 265 :: couvrir ; serviette ; housse ; commode ; corde ; voil ; litière ; véranda ; couette ; trappe
couverture.n 280 :: jaquette ; peau ; nouveau ; photo ; page ; dernier ; principal ; protection ; voil ; bon
débit.n 64 :: compte ; dépôt ; versement ; banque ; complément ; faciliter ; monnaie ; terme ; montant ; ordre
débit.n 87 :: volume ; montant ; poids ; complément ; flux ; niveau ; remplissage ; cours ; chargement ; début
débit.n 115 :: flot ; flux ; niveau ; écoulement ; volume ; poids ; jet ; réel ; afflux ; gros
débit.n 131 :: niveau ; eau ; dépôt ; hauteur ; couche ; nappe ; terrain ; lac ; taux ; bassin
débit.n 136 :: flux ; potentiel ; cours ; eau ; prix ; volume ; débordement ; niveau ; usage ; front
débit.n 168 :: bancaire ; automatique ; carte ; banque ; paiement ; autoriser ; faciliter ; rapide ; visa ; étranger
débit.n 169 :: montant ; volume ; total ; cours ; financement ; solde ; traitement ; flux ; produit ; niveau
débit.n 184 :: taux ; maximum ; transfert ; stockage ; traitement ; intérêt ; vitesse ; record ; poids ; rythme
débit.n 188 :: apport ; flux ; niveau ; crue ; rejet ; cours ; précipitation ; courant ; concentration ; effectif
débit.n 205 :: rythme ; flux ; vol ; tempo ; écoulement ; trafic ; temps ; service ; mouvement ; mode
direction.n 78 :: conduite ; responsabilité ; houlette ; coordination ; présidence ; discipline ; surveillance ; directrice ; dépendance ; supervision
direction.n 111 :: orientation ; directrice ; présidence ; conduite ; organisation ; gestion ; tête ; majorité ; coordination ; directeur
direction.n 151 :: directrice ; directeur ; présidence ; gestion ; management ; conduite ; responsabilité ; responsable ; diriger ; supérieur
direction.n 152 :: sens ; loi ; orientation ; ligne ; droite ; constant ; conduite ; tendance ; forme ; diriger
direction.n 172 :: rejoindre ; file ; gagner ; quitte ; traverser ; diriger ; bonjour ; forme ; retrouver ; finalement
direction.n 176 :: conduite ; droite ; directrice ; forme ; dominant ; bon ; général ; diriger ; nouveau ; tendance
direction.n 199 :: nouveau ; général ; actuel ; supérieur ; interne ; bureau ; directeur ; rédaction ; national ; management
direction.n 223 :: conduite ; diriger ; forme ; composition ; responsabilité ; maîtrise ; directrice ; surveillance ; tâche ; représentation
direction.n 262 :: directrice ; responsabilité ; directeur ; conduite ; gestion ; présidence ; diriger ; performance ; tendance ; coordination
direction.n 279 :: venir ; destination ; sens ; région ; vallée ; provenance ; province ; raison ; face ; sortir
don.n 19 :: sens ; talent ; art ; temps ; pouvoir ; style ; point ; fonds ; oeil ; système
don.n 30 :: talent ; oeil ; pouvoir ; trait ; sens ; atout ; tour ; goût ; domaine ; doigt
don.n 36 :: sens ; génétique ; pouvoir ; legs ; universel ; spirituel ; potentiel ; culte ; bon ; cadeau
don.n 60 :: cadeau ; diplôme ; sacrement ; but ; gratuit ; français ; signe ; double ; sens ; art
don.n 84 :: enfant ; objet ; achat ; être ; legs ; cadeau ; produit ; citoyen ; fonds ; animal
don.n 107 :: cadeau ; faire ; présent ; geste ; part ; maximum ; bon ; offrir ; demande ; double
don.n 130 :: cadeau ; fonds ; vocation ; enfant ; contribution ; legs ; bénédiction ; souhait ; homme ; bienfait
don.n 196 :: cadeau ; futur ; double ; précieux ; magique ; spécial ; saint ; français ; extraordinaire ; privilèg
don.n 244 :: cadeau ; legs ; geste ; bon ; recevoir ; souher ; présent ; droit ; mécénat ; sacrifice
don.n 245 :: cadeau ; legs ; bague ; vase ; fleur ; bijou ; enfant ; bras ; collier ; main
entraîner.v 39 :: art ; or ; air ; aide ; international ; obliger ; envoi ; image ; arrivée ; expérience
entraîner.v 47 :: obliger ; aider ; aide ; encourager ; engager ; inciter ; amener ; pousse ; invite ; contraindre
entraîner.v 55 :: aide ; air ; international ; clip ; actuel ; art ; effectif ; italien ; apercevoir ; éventuel
entraîner.v 57 :: air ; eau ; efficace ; obliger ; effet ; emploi ; euro ; heure ; avoir ; apparemment
entraîner.v 133 :: aide ; air ; or ; ensemble ; image ; apparemment ; ancien ; énergie ; animal ; art
entraîner.v 140 :: amener ; aller ; conduire ; attirer ; envoyer ; pousser ; emporter ; mener ; emmener ; projeter
entraîner.v 144 :: force ; conduire ; pousse ; obliger ; doucement ; déjà ; porte ; attirer ; engager ; vraiment
entraîner.v 161 :: provoquer ; apparaître ; engendrer ; conduire ; amener ; éviter ; créer ; causer ; pallier ; corriger
entraîner.v 162 :: amener ; provoquer ; encourager ; engendrer ; conduire ; assurer ; actif ; complet ; favoriser ; déclenche
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; précipiter ; emmener ; abandonner ; engager ; élever ; apporter
éplucher.v 10 :: peler ; presser ; brosser ; faire ; récolter ; cueillir ; affiner ; détailler ; laver ; finement
éplucher.v 51 :: écrire ; travailler ; contribuer ; accès ; rédiger ; lire ; analyser ; trouver ; produit ; publier
éplucher.v 69 :: soigneusement ; faire ; presque ; attentivement ; remplir ; scrupuleusement ; lire ; minutieusement ; fois ; rapidement
éplucher.v 100 :: éplucher ; peser ; enlever ; écraser ; peler ; finement ; consommer ; retourner ; préalablement ; récolter
éplucher.v 119 :: éplucher ; forum ; pourrir ; fouillé ; survoler ; fleurir ; corail ; récolter ; régulièrement ; écrire
éplucher.v 167 :: garder ; conserver ; voir ; observer ; choisir ; enlever ; couper ; laver ; regarder ; prendre
éplucher.v 174 :: retrouver ; consulter ; lire ; obtenir ; découvrir ; récupérer ; récolter ; voir ; faire ; affiner
éplucher.v 235 :: peler ; aiguille ; affiner ; faire ; devoir ; percer ; sel ; imaginer ; commencer ; conseiller
éplucher.v 236 :: faire ; lire ; voir ; éplucher ; mal ; attention ; oublier ; aller ; envie ; regarder
éplucher.v 258 :: peler ; fruit ; fois ; légume ; poisson ; oeil ; oignon ; asperge ; manger ; feuille
espace.n 13 :: entrer ; origine ; albanais ; ensemble ; aide ; inclusion ; être ; image ; exemple ; international
espace.n 27 :: air ; or ; éternel ; ancien ; immigré ; image ; étrange ; antique ; eau ; immense
espace.n 79 :: environnement ; ensemble ; outil ; lieu ; zone ; office ; aire ; coin ; option ; module
espace.n 120 :: article ; ensemble ; air ; in ; être ; international ; énergie ; entreprise ; emploi ; environnement
espace.n 137 :: environnement ; information ; marché ; emploi ; développement ; enseignement ; domaine ; contenu ; entreprise ; investissement
espace.n 142 :: air ; interne ; international ; étymologie ; étroit ; éternel ; afghan ; art ; ancien ; image
espace.n 180 :: rapport ; lien ; échange ; volume ; partage ; emplacement ; équilibre ; déplacement ; place ; relation
espace.n 208 :: ancien ; innombrable ; international ; entreprise ; établissement ; ensemble ; nouveau ; dernier ; île ; immense
espace.n 229 :: événement ; service ; propre ; projet ; environnement ; produit ; investissement ; développement ; site ; petit
espace.n 243 :: temps ; coin ; article ; vide ; ensemble ; intervalle ; ligne ; emplacement ; domaine ; écran
essuyer.v 11 :: essuyer ; laver ; ensuite ; soigneusement ; abondamment ; rincer ; faire ; nettoyer ; protéger ; essuie
essuyer.v 58 :: subir ; rencontrer ; constater ; avoir ; connaître ; cumulé ; essuie ; recevoir ; enregistrer ; régler
essuyer.v 77 :: essuie ; retirer ; éponge ; laisser ; verse ; rentrer ; déverser ; ramasser ; ôter ; avoir
essuyer.v 81 :: essuie ; éponge ; aspirer ; laver ; poli ; finir ; encre ; effacer ; absorber ; sourire
essuyer.v 86 :: presque ; continuer ; laisse ; ligne ; devoir ; tenir ; lire ; poursuivre ; assurer ; recevoir
essuyer.v 89 :: subir ; recevoir ; opposer ; revers ; constater ; rencontrer ; déjà ; annoncer ; refuser ; finalement
essuyer.v 98 :: faire ; porter ; acheter ; manger ; prendre ; choisir ; recevoir ; appliquer ; perdre ; réussir
essuyer.v 166 :: pépin ; noyau ; légume ; agrume ; olive ; graine ; feuille ; sécher ; baie ; noix
essuyer.v 215 :: subir ; recevoir ; accumuler ; récolter ; souffrir ; enregistrer ; accuser ; recueillir ; frapper ; vivre
essuyer.v 266 :: enlever ; retirer ; éviter ; laisser ; verser ; arrêter ; faire ; mettre ; appliquer ; nettoyer
faucher.v 12 :: tuer ; briser ; jeter ; bientôt ; assassiner ; écraser ; repousser ; enlever ; agresser ; hacher
faucher.v 42 :: mieux ; également ; déjà ; découverte ; peut-être ; complètement ; donnée ; devenir ; ajouter ; davantage
faucher.v 116 :: faux ; paradi ; pierre ; jean ; julien ; jour ; pigeon ; photo ; pascal ; corneille
faucher.v 160 :: faire ; séparer ; éclater ; tombe ; tuer ; capture ; mettre ; laisser ; donne ; avoir
faucher.v 214 :: faire ; extrêmement ; presque ; payer ; donner ; acheter ; tirer ; voir ; lutter ; prendre
faucher.v 239 :: servir ; renverser ; entamer ; acheter ; jeter ; cassé ; presque ; vide ; coûter ; planter
faucher.v 248 :: taire ; tombe ; abattre ; frappe ; laisse ; blesse ; écraser ; reconnaître ; jeter ; trouver
faucher.v 276 :: abattre ; semer ; cultiver ; couper ; planter ; échanger ; pousser ; récolter ; reconnaître ; cueillir
faucher.v 282 :: remplacer ; relance ; rappeler ; piqu ; préférer ; prolonger ; laisse ; lancer ; marque ; provoquer
faucher.v 290 :: fou ; golden ; fleuri ; commune ; variété ; volée ; génétiquement ; certifier ; bel ; génétique
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; former ; développer ; ouvrir ; bâtir ; faire ; préside
fonder.v 7 :: sous-tendre ; force ; appuyer ; porte ; motiver ; base ; guide ; conditionne ; traverser ; définir
fonder.v 54 :: trouver ; base ; construire ; gagner ; appuyer ; prendre ; tenir ; marque ; puiser ; bâtir
fonder.v 66 :: ferme ; forge ; développer ; monte ; créer ; diriger ; débuter ; réunir ; rejoindre ; forme
fonder.v 88 :: intégrer ; rejoindre ; forme ; créer ; quitte ; développer ; commencer ; fréquent ; installer ; joindre
fonder.v 93 :: constituer ; construire ; traverser ; caractériser ; socle ; forge ; sous-tendre ; engager ; mine ; base
fonder.v 158 :: base ; fond ; appuyer ; repose ; construire ; bâtir ; forge ; greffe ; baser ; fonds
fonder.v 212 :: créer ; constituer ; former ; faire ; monter ; contracter ; fondre ; bâtir ; fondation ; fabriquer
fonder.v 264 :: motiver ; valide ; force ; définir ; base ; constituer ; nourrir ; bâtir ; solide ; traverser
fonder.v 286 :: créer ; forge ; réunir ; compte ; regrouper ; bâtir ; ferme ; fabrique ; rassembler ; diriger
grossier.a 24 :: stupide ; flagrant ; grave ; grotesque ; ridicule ; formel ; valable ; idiot ; évident ; complet
grossier.a 37 :: fin ; presque ; paille ; finement ; finess ; résultat ; nain ; devenir ; fond ; coquin
grossier.a 85 :: méchant ; vulgaire ; arrogant ; dangereux ; con ; cruel ; louche ; violent ; tendre ; lâche
grossier.a 108 :: sec ; massif ; fin ; tendre ; minéral ; brut ; calcaire ; saillant ; profond ; bitumineux
grossier.a 134 :: léger ; grave ; subtil ; gros ; lourd ; grand ; flagrant ; fort ; sérieux ; sensible
grossier.a 179 :: nouveau ; bande ; propagande ; vidéo ; faux ; rumeur ; série ; publicité ; émission ; attaque
grossier.a 227 :: vulgaire ; poli ; arrogant ; prétentieux ; maladroit ; ridicule ; naïf ; agressif ; stupide ; gêner
grossier.a 228 :: caractère ; fait ; commentaire ; accusation ; produit ; procédé ; témoignage ; mensonge ; critique ; fabriquer
grossier.a 231 :: fin ; superficiel ; stupide ; léger ; moral ; vulgaire ; noir ; convenir ; matériel ; faire
grossier.a 300 :: faute ; année ; presque ; lourd ; profond ; erreur ; té ; demeurer ; voire ; devoir
hermétique.a 203 :: poli ; obscur ; familier ; inquiétant ; fragile ; théorique ; mystérieux ; discuter ; problématique ; partiel
hermétique.a 71 :: secret ; mystérieux ; effrayant ; énigmatique ; opaque ; confidentiel ; étrange ; étanche ; apparent ; intime
hermétique.a 99 :: fermer ; sceller ; plastique ; entier ; transparent ; étanche ; alimentaire ; individuel ; conserve ; métallique
hermétique.a 126 :: étanche ; presque ; totalement ; sourd ; devenir ; entièrement ; aveugle ; complètement ; muet ; imperméable
hermétique.a 127 :: étanche ; secret ; fermé ; social ; élitiste ; obscur ; opaque ; magique ; rigide ; sociologique
hermétique.a 220 :: opaque ; étancher ; quasi ; parfaitement ; presque ; porte ; étanche ; totalement ; étrangement ; mystère
hermétique.a 226 :: insensible ; fermer ; réfractaire ; sensible ; imperméable ; confronter ; attacher ; habituer ; hostile ; accrocher
hermétique.a 261 :: étanche ; opaque ; éloquer ; magique ; automatique ; serrer ; incompréhensible ; vicieux ; spectaculaire ; mystérieux
hermétique.a 278 :: interne ; plastique ; solide ; entièrement ; alimentaire ; complètement ; étanche ; secret ; parfaitement ; totalement
hermétique.a 204 :: magique ; coffret ; cadeau ; contenant ; ouvrir ; rituel ; bouteille ; emballage ; ultime ; grand
incorrect.a 45 :: utile ; opérationnel ; actif ; global ; créatif ; nécessaire ; ajouter ; variable ; réel ; total
incorrect.a 125 :: totalement ; vraiment ; complètement ; devenir ; parfaitement ; rester ; in ; super ; jamais ; extrêmement
incorrect.a 132 :: également ; déjà ; mal ; hier ; totalement ; an ; davantage ; faire ; naître ; être
incorrect.a 156 :: in ; incompréhensible ; presque ; nul ; humaine ; fatal ; avérer ; passer ; ordinaire ; logique
incorrect.a 159 :: application ; transposition ; interprétation ; pratique ; utilisation ; exécution ; infraction ; erreur ; conformité ; applicabilité
incorrect.a 177 :: erroné ; précis ; correct ; inverse ; donner ; supérieur ; prédéterminer ; aléatoire ; inapproprié ; contraire
incorrect.a 217 :: correct ; politiquement ; intéressant ; ici ; approximatif ; sujet ; élevé ; original ; public ; stupide
incorrect.a 241 :: vraiment ; complètement ; presque ; totalement ; parfaitement ; apparemment ; dire ; juger ; devenir ; déjà
incorrect.a 298 :: correct ; vrai ; faux ; exact ; irrégulier ; impressionnant ; ridicule ; politique ; évident ; avantageux
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; saisir ; identifiabler ; transmettre ; financier ; donnée ; électronique ; important
intérêt.n 63 :: avis ; objectif ; élément ; opinion ; camp ; agenda ; sentiment ; ambition ; idéologie ; désir
intérêt.n 97 :: ensemble ; article ; international ; extérieur ; objet ; entreprise ; évolution ; entier ; association ; in
intérêt.n 129 :: or ; ensemble ; art ; air ; étroit ; emploi ; entreprise ; énergie ; externe ; aide
intérêt.n 146 :: air ; éternel ; or ; art ; ancien ; aide ; image ; actuel ; évolution ; étymologie
intérêt.n 155 :: article ; effectif ; audiovisuel ; aide ; zone ; interne ; appareil ; international ; art ; principal
intérêt.n 218 :: avantage ; côté ; atout ; important ; attrer ; intéressant ; importance ; bénéfice ; point ; utilité
intérêt.n 263 :: excellent ; or ; nouveau ; usage ; aide ; propre ; principal ; heureux ; efficace ; étymologie
intérêt.n 268 :: air ; nouveau ; aide ; or ; art ; excellent ; international ; actuel ; image ; heureux
intérêt.n 271 :: air ; être ; étymologie ; international ; us ; aide ; exemple ; étroit ; alpha ; animal
intérêt.n 297 :: externe ; aide ; art ; air ; international ; image ; or ; animal ; étranger ; immigré
interpréter.v 18 :: chanter ; interprétation ; jouer ; inspirer ; offrir ; enregistrer ; arranger ; imaginer ; reprendre ; ré
interpréter.v 21 :: chanter ; interprétation ; écrire ; arranger ; exécuter ; jouer ; enregistrer ; adapter ; expliquer ; incarner
interpréter.v 59 :: faire ; savoir ; mieux ; aller ; interprétation ; manière ; gré ; compte ; comprendre ; vouloir
interpréter.v 80 :: art ; or ; aide ; air ; énergie ; image ; expérience ; ici ; aimer ; an
interpréter.v 123 :: aide ; image ; expérience ; or ; international ; art ; étymologie ; évolution ; objet ; immigré
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; in ; camper ; apparaître ; double ; assurer ; offrir
interpréter.v 157 :: traduire ; écrire ; recevoir ; traite ; exprimer ; interprétation ; peindre ; influence ; accueillir ; envoyer
interpréter.v 260 :: comprendre ; faire ; décoder ; pouvoir ; décrypter ; analyser ; restituer ; mieux ; entendre ; traduire
interpréter.v 267 :: écrire ; chanter ; comprendre ; entendre ; présenter ; recevoir ; vivre ; aimer ; donner ; attribuer
interpréter.v 289 :: chanter ; jouer ; dansé ; porter ; ré ; incarner ; animé ; offrir ; mettre ; autant
maintenir.v 94 :: également ; tenir ; raison ; soutenir ; indiquer ; annoncer ; assurer ; fermement ; ensuite ; déclarer
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; renseigner ; ajouter ; disponible ; identifier
maintenir.v 154 :: garder ; mettre ; assurer ; conserver ; tenir ; exprimer ; exercer ; renforcer ; continuer ; entretenir
maintenir.v 175 :: garder ; préserver ; mettre ; maintien ; retenir ; conserver ; demeurer ; couler ; favoriser ; perpétuer
maintenir.v 183 :: préserver ; garder ; conserver ; favoriser ; demeurer ; entretenir ; garantir ; assurer ; mettre ; vivre
maintenir.v 207 :: demeurer ; préserver ; conserver ; maintien ; garder ; rester ; retenir ; soutenir ; sauvegarder ; entretenir
maintenir.v 230 :: tenir ; pouvoir ; devoir ; garder ; compter ; vouloir ; présent ; être ; gouvernement ; dernier
maintenir.v 234 :: souhaiter ; soutenir ; vouloir ; réaffirmer ; considérer ; proposer ; demande ; proclamer ; entendre ; affirmer
maintenir.v 251 :: soutenir ; tenir ; appuyer ; conserve ; maintien ; soutien ; vouloir ; assurer ; souhaiter ; garde
maintenir.v 281 :: compte ; ensuite ; place ; bref ; léger ; main ; également ; dernier ; progrès ; dire
mince.a 17 :: fin ; léger ; épais ; étroit ; large ; fort ; réduit ; haut ; avancer ; serrer
mince.a 96 :: fin ; épais ; idéal ; régulier ; étroit ; sec ; légèrement ; élevé ; important ; parfait
mince.a 147 :: écart ; peut-être ; étroit ; chemin ; serrer ; maigre ; tendre ; fin ; presque ; chose
mince.a 170 :: extrêmement ; petit ; déjà ; lien ; également ; être ; fort ; appui ; revenu ; parallèle
mince.a 192 :: petit ; papier ; filet ; minuscule ; feuille ; épais ; bande ; trait ; cristal ; fils
mince.a 202 :: fin ; petit ; léger ; dernier ; épais ; nouveau ; double ; second ; voil ; fort
mince.a 213 :: maigre ; minime ; petit ; faible ; infime ; évident ; léger ; subtil ; simple ; étonnant
mince.a 225 :: déjà ; maigre ; petit ; filet ; joli ; pourtant ; peut-être ; léger ; vieux ; exploit
mince.a 242 :: fin ; franchir ; étroit ; poreux ; clair ; marquer ; loin ; établir ; tracée ; net
mince.a 292 :: fin ; supérieur ; léger ; flexible ; composite ; intermédiaire ; limite ; métallique ; épaisseur ; conducteur
modeste.a 29 :: petit ; minuscule ; humble ; misérable ; minable ; dérisoire ; modique ; réduit ; grand ; local
modeste.a 114 :: humble ; petit ; pauvre ; commune ; bon ; abbé ; digne ; vie ; taille ; chose
modeste.a 121 :: faible ; minime ; marginal ; important ; mesurer ; significatif ; modérer ; dérisoire ; négligeable ; minuscule
modeste.a 163 :: limité ; minime ; faible ; léger ; petit ; important ; nécessaire ; mesurer ; récent ; bel
modeste.a 195 :: familial ; légèrement ; pourtant ; suffisamment ; personnel ; pièce ; presque ; déjà ; retraite ; confortable
modeste.a 197 :: raisonnable ; minime ; demeurer ; moyen ; minuscule ; petit ; exister ; symbolique ; suffire ; modérer
modeste.a 200 :: limité ; restreindre ; réduire ; prudent ; appliquer ; faible ; sommaire ; partout ; modérer ; léger
modeste.a 246 :: élevé ; faible ; léger ; important ; marchand ; inférieur ; petit ; insignifiant ; moindre ; minime
modeste.a 269 :: humble ; petit ; jeune ; pauvre ; digne ; bon ; médiocre ; russe ; simple ; timide
modeste.a 283 :: humble ; digne ; pauvre ; honnête ; prudent ; simple ; timide ; populaire ; léger ; arrogant
montée.n 15 :: poussée ; victoire ; courbe ; hausse ; côte ; dérive ; descente ; monte ; réalité ; progression
montée.n 56 :: partie ; construction ; ascension ; manière ; chute ; descente ; ensemble ; chaîne ; progression ; hauteur
montée.n 75 :: descente ; monte ; terrasse ; passerelle ; suite ; promenade ; entrée ; arrivée ; face ; grâce
montée.n 138 :: hausse ; performance ; évolution ; progression ; demande ; gestion ; croissance ; technologie ; dynamique ; tendance
