affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
arrêter.v 277 :: or ; in ; article ; an ; ensemble ; os ; avoir ; ion ; out ; entreprise
arrêter.v 291 :: publier ; décider ; adopter ; signer ; proposer ; fixer ; approuver ; acquérir ; établir ; nommer
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; souplesse ; rapidité ; dimension ; vitesse ; pouvoir ; force
capacité.n 32 :: puissance ; quantité ; chaîne ; charge ; activité ; tête ; force ; raison ; surface ; différence
capacité.n 35 :: équipe ; contribution ; clinique ; activité ; résidence ; maîtrise ; puissance ; université ; faculté ; unité
capacité.n 70 :: fréquentation ; puissance ; remplissage ; consommation ; quantité ; dotation ; sécurité ; hauteur ; production ; surface
capacité.n 73 :: faculté ; compétence ; force ; aptitude ; détermination ; possibilité ; dimension ; souplesse ; maîtrise ; flexibilité
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; liberté ; propre ; pouvoir ; vie ; grandeur
capacité.n 103 :: activité ; ressource ; surface ; charge ; installation ; réserve ; possibilité ; disponibilité ; unité ; coût
capacité.n 110 :: suite ; série ; place ; réserve ; quantité ; trésorerie ; possibilité ; batterie ; base ; dette
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; pouvoir ; droit ; force ; porter ; rapidité
capacité.n 148 :: aptitude ; minimum ; faculté ; potentiel ; limite ; donne ; offrir ; niveau ; détermination ; double
commander.v 5 :: publier ; écrire ; réaliser ; signer ; rédiger ; éditer ; adresser ; effectuer ; accomplir ; produit
commander.v 9 :: commander ; commencer ; choisir ; appliquer ; apprendre ; oublier ; acheter ; découvrir ; essayer ; partager
commander.v 16 :: ordonner ; recevoir ; signe ; réaliser ; prendre ; consigne ; soutenir ; commanda ; remporter ; diriger
commander.v 41 :: choisir ; commande ; commencer ; faire ; effectuer ; définir ; réaliser ; créer ; diriger ; ensuite
commander.v 48 :: créer ; régir ; mener ; contrôlent ; organiser ; soutenir ; gouverner ; diriger ; générer ; gérer
commander.v 117 :: commande ; dicter ; valoir ; vouloir ; compter ; permettre ; demander ; réclamer ; mériter ; donner
commander.v 164 :: ordonner ; enseigne ; dicter ; obéir ; imposer ; prescrire ; commanda ; demande ; donne ; administrer
commander.v 171 :: acheter ; commande ; acquérir ; réserver ; admirer ; déguster ; ouvrir ; essayer ; tester ; apprécier
commander.v 206 :: commande ; solaire ; donne ; spécial ; donner ; représenter ; protéger ; gratuit ; défense ; également
commander.v 240 :: commande ; régler ; faire ; uniquement ; contrôler ; personnaliser ; également ; simplement ; prendre ; payer
compris.a 52 :: accepter ; contenue ; bon ; prise ; entendre ; connaître ; assimiler ; retenir ; oublier ; vite
compris.a 90 :: penser ; sentir ; croire ; trouver ; réaliser ; apprendre ; ajouter ; savoir ; considérer ; falloir
compris.a 106 :: entendre ; vous ; penser ; vivre ; davantage ; deviner ; clair ; déjà ; comprendre ; croire
compris.a 185 :: inclure ; contenir ; incorporer ; inscrire ; mentionner ; reproduire ; inclus ; présent ; entendre ; découvrir
compris.a 186 :: inclure ; situer ; présent ; également ; ici ; entier ; exemple ; entendre ; excellent ; heureux
compris.a 187 :: situer ; inclure ; estimer ; contenu ; prendre ; répartir ; définir ; choisir ; osciller ; fixer
compris.a 211 :: situer ; inclus ; plongée ; varier ; circulaire ; ale ; prise ; définir ; partout ; minimal
compris.a 232 :: inclure ; intégré ; compter ; contenu ; prendre ; comprendre ; admettre ; inclus ; cohérent ; reprendre
compris.a 272 :: saisir ; comprendre ; entendre ; intégré ; penser ; aimer ; capter ; percevoir ; reconnaître ; savoir
compris.a 287 :: également ; exemple ; avoir ; comprendre ; sens ; fois ; être ; bon ; cas ; détail
couverture.n 65 :: rédaction ; dossier ; page ; dernier ; éditorial ; couvrir ; manchette ; série ; partie ; sommaire
couverture.n 67 :: vie ; peau ; mort ; survie ; route ; chance ; réputation ; peine ; sécurité ; disparition
couverture.n 72 :: coiffure ; vêtement ; housse ; couvrir ; traire ; pochette ; création ; fond ; couvert ; décoration
couverture.n 143 :: page ; manchette ; couvrir ; illustration ; photo ; fort ; éditorial ; rédaction ; bon ; peau
couverture.n 149 :: couvert ; couvrir ; sécurité ; protection ; stratégie ; surveillance ; principal ; garantie ; grand ; responsabilité
couverture.n 150 :: préface ; grand ; province ; reliure ; bon ; fin ; résumé ; île ; terre ; réserve
couverture.n 201 :: protection ; surveillance ; gestion ; défense ; développement ; planification ; sécurité ; détection ; cartographie ; construction
couverture.n 257 :: construction ; toiture ; revêtement ; terrain ; transformation ; remplacement ; surface ; sol ; protection ; terre
couverture.n 265 :: couvrir ; serviette ; véranda ; corde ; protection ; voil ; bâche ; peau ; chaleur ; toiture
couverture.n 280 :: peau ; couette ; voil ; cape ; serviette ; protection ; capuche ; lumière ; couvrir ; lune
débit.n 64 :: compte ; établissement ; crédit ; banque ; faciliter ; permettre ; retrait ; dépôt ; bancaire ; ligne
débit.n 87 :: montant ; compte ; solde ; mensuel ; paiement ; détail ; suite ; banque ; résultat ; dépôt
débit.n 115 :: niveau ; gros ; rivière ; qualité ; haut ; fort ; principal ; important ; moyen ; cours
débit.n 131 :: eau ; niveau ; flux ; lac ; dépôt ; réservoir ; lit ; débordement ; couche ; cours
débit.n 136 :: réel ; cours ; niveau ; volume ; flux ; potentiel ; prix ; courant ; versant ; caractéristique
débit.n 168 :: crédit ; financement ; montant ; traitement ; prix ; rythme ; compte ; droit ; taux ; expédition
débit.n 169 :: montant ; poids ; volume ; résultat ; cours ; total ; niveau ; traitement ; coût ; rythme
débit.n 184 :: capacité ; potentiel ; volume ; puissance ; rythme ; traitement ; maximum ; succès ; taux ; total
débit.n 188 :: apport ; eau ; niveau ; flux ; rejet ; crue ; courant ; cours ; saumon ; effectif
débit.n 205 :: rythme ; tempo ; flux ; mouvement ; style ; vol ; caractère ; temps ; discours ; programme
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; commande ; comédie ; discipline ; langue ; présidence ; performance
direction.n 111 :: directrice ; conduite ; gestion ; présidence ; orientation ; nouveau ; directeur ; ligne ; main ; bon
direction.n 151 :: directrice ; directeur ; gestion ; gestionnaire ; équipe ; supérieur ; personnel ; présidence ; responsable ; management
direction.n 152 :: ligne ; orientation ; lumière ; tendance ; forme ; position ; déviation ; conduite ; courbure ; descente
direction.n 172 :: rejoindre ; destination ; cap ; peut-être ; aller ; presque ; diriger ; gagner ; nord ; voir
direction.n 176 :: conduite ; rapport ; performance ; vitesse ; sens ; comportement ; droite ; position ; régime ; tendance
direction.n 199 :: nouveau ; ligne ; général ; actuel ; sacrer ; bon ; médical ; voire ; administratif ; principal
direction.n 223 :: orientation ; diriger ; droite ; directeur ; tendance ; directrice ; général ; supérieur ; nouveau ; principal
direction.n 262 :: responsabilité ; conduite ; tête ; directrice ; maîtrise ; charge ; gestion ; directeur ; présidence ; performance
direction.n 279 :: destination ; face ; provenance ; venir ; raison ; sens ; faveur ; vallée ; côté ; région
don.n 19 :: sens ; talent ; génie ; trésor ; pouvoir ; cadeau ; coup ; fonds ; doué ; temps
don.n 30 :: talent ; pouvoir ; oeil ; atout ; instinct ; sens ; élan ; fonds ; trait ; loisir
don.n 36 :: cadeau ; bon ; signe ; jour ; vrai ; oui ; amour ; gratuit ; simple ; envoyer
don.n 60 :: cadeau ; bon ; produit ; travail ; programme ; objet ; droit ; fonction ; but ; spécial
don.n 84 :: contribution ; apport ; cadeau ; produit ; fonds ; investissement ; legs ; achat ; versement ; dépôt
don.n 107 :: cadeau ; part ; faire ; présent ; preuve ; prix ; der ; sacrifice ; dessin ; signe
don.n 130 :: fonds ; legs ; enfant ; contribution ; homme ; oeuvre ; trésor ; bon ; soutien ; collecte
don.n 196 :: pouvoir ; talent ; génie ; tort ; truc ; rôle ; chic ; temps ; traitement ; mérite
don.n 244 :: cadeau ; bon ; legs ; geste ; généreux ; saint ; présent ; sacrifice ; simple ; grand
don.n 245 :: témoignage ; fossile ; reste ; cadeau ; travail ; legs ; tombeau ; homme ; os ; trésor
entraîner.v 39 :: art ; international ; irremplaçable ; or ; externe ; air ; aide ; animal ; éternel ; origine
entraîner.v 47 :: aider ; obliger ; encourager ; aide ; conduire ; amener ; engager ; invite ; inciter ; pousse
entraîner.v 55 :: international ; interne ; aide ; air ; actuel ; image ; clip ; effectif ; italien ; instrument
entraîner.v 57 :: air ; indien ; exemple ; euro ; américain ; excellent ; international ; alpha ; atlantique ; art
entraîner.v 133 :: or ; aide ; céleste ; utilisateur ; heureux ; ensemble ; eau ; efficace ; antique ; air
entraîner.v 140 :: ensuite ; suivre ; durement ; parer ; loin ; avoir ; mener ; li ; être ; faire
entraîner.v 144 :: avoir ; invite ; obliger ; commencer ; inviter ; invité ; force ; être ; devoir ; engager
entraîner.v 161 :: provoquer ; conduire ; amener ; apparaître ; éviter ; engendrer ; produire ; créer ; expliquer ; causer
entraîner.v 162 :: amener ; engendrer ; provoquer ; déclenche ; encourager ; engager ; impliquer ; assurer ; influence ; actif
entraîner.v 191 :: emporter ; conduire ; précipiter ; pousser ; attirer ; amener ; jeter ; porter ; apporter ; transporter
éplucher.v 10 :: peler ; finement ; enlever ; nettoyer ; également ; légume ; couper ; pomme ; carotte ; citron
éplucher.v 51 :: éplucher ; lire ; récolter ; analyser ; regarder ; tri ; travailler ; fouillé ; devoir ; écrire
éplucher.v 69 :: faire ; lire ; regarder ; consulter ; vérifier ; écouter ; presque ; surveiller ; écrire ; examiner
éplucher.v 100 :: récolter ; éplucher ; oignon ; cultiver ; finement ; couper ; retourner ; grossièrement ; mûr ; laver
éplucher.v 119 :: fouillé ; regarder ; parcourir ; éplucher ; longuement ; déjà ; survoler ; lire ; visiter ; balayer
éplucher.v 167 :: poireau ; conseil ; découvrir ; laisser ; retourner ; courgette ; attention ; vérifier ; excellent ; plant
éplucher.v 174 :: cache ; version ; peler ; internet ; mieux ; demande ; article ; faire ; fichier ; file
éplucher.v 235 :: peler ; tailler ; découper ; faire ; écraser ; ouvrir ; cueillir ; couper ; récolter ; extrair
éplucher.v 236 :: mâcon ; penser ; irrémédiablement ; droit ; prune ; déconnexion ; japon ; demande ; passer ; conception
éplucher.v 258 :: peler ; blanchir ; presser ; laver ; cueillir ; cuire ; arroser ; rincer ; faire ; écraser
espace.n 13 :: grand ; ensemble ; or ; art ; immense ; établissement ; accueil ; ancien ; énorme ; exploitation
espace.n 27 :: air ; antique ; or ; image ; ancien ; art ; eau ; éternel ; immigré ; homme
espace.n 79 :: coin ; zone ; pôle ; ensemble ; environnement ; outil ; aire ; local ; service ; module
espace.n 120 :: air ; petit ; étroit ; grand ; nouveau ; énorme ; excellent ; article ; avantage ; auto
espace.n 137 :: environnement ; information ; développement ; avantage ; investissement ; marché ; instrument ; entreprise ; emplacement ; article
espace.n 142 :: air ; afghan ; international ; éternel ; image ; actuel ; interne ; art ; eau ; énergie
espace.n 180 :: lien ; arbre ; imaginaire ; donnée ; trajectoire ; partage ; territoire ; information ; temps ; réseau
espace.n 208 :: ancien ; instrument ; innombrable ; enseignant ; excellent ; euro ; heure ; important ; année ; établissement
espace.n 229 :: propre ; petit ; environnement ; service ; événement ; projet ; talent ; produit ; développement ; aménagement
espace.n 243 :: ligne ; compte ; article ; temps ; ensemble ; coin ; soutien ; rôle ; ordre ; jour
essuyer.v 11 :: essuyer ; laver ; rincer ; retirer ; fermer ; faire ; enlever ; nettoyer ; désinfection ; couvrir
essuyer.v 58 :: subir ; constater ; essuie ; éprouver ; encaisser ; accumuler ; recevoir ; avoir ; cumulé ; rencontrer
essuyer.v 77 :: essuie ; soigneusement ; voir ; écrire ; laisse ; barbe ; affiche ; gomme ; porte ; an
essuyer.v 81 :: laver ; essuie ; but ; éponge ; avaler ; arrêter ; chercher ; aspirer ; faire ; ra
essuyer.v 86 :: devoir ; laisse ; donne ; recevoir ; continuer ; libre ; internet ; assister ; obtenir ; répondre
essuyer.v 89 :: subir ; recevoir ; rencontrer ; constater ; opposer ; obtenir ; frapper ; entendre ; croiser ; annoncer
essuyer.v 98 :: faire ; encaisser ; recevoir ; subir ; voir ; prendre ; perdre ; utiliser ; gagner ; manger
essuyer.v 166 :: sécher ; pépin ; noyau ; peler ; éplucher ; égoutter ; main ; consommer ; baie ; feuille
essuyer.v 215 :: subir ; recevoir ; obtenir ; accumuler ; cumulé ; connaître ; ramasser ; récolter ; lire ; mérité
essuyer.v 266 :: enlever ; retirer ; éviter ; nettoyer ; apporter ; arrêter ; fermer ; dégagement ; refroidissement ; verser
faucher.v 12 :: presque ; dernier ; malheureux ; peut-être ; déjà ; fa ; français ; volontairement ; magnifiquement ; bêtement
faucher.v 42 :: donnée ; découverte ; entreprise ; information ; dernier ; peut-être ; important ; également ; nouveau ; acquérir
faucher.v 116 :: abattre ; finement ; intentionnellement ; nature ; grossièrement ; tuer ; attaquer ; froidement ; gravement ; délibérément
faucher.v 160 :: an ; pointe ; direction ; tendance ; danse ; chia ; julien ; jean ; rencontre ; temps
faucher.v 214 :: arracher ; extrêmement ; payer ; coûter ; couper ; faire ; donner ; excessivement ; acheter ; presque
faucher.v 239 :: grièvement ; retrouver ; presque ; tuer ; volée ; déjà ; trouver ; français ; assassiner ; dernier
faucher.v 248 :: taire ; laisse ; abattre ; tombe ; brise ; meurtre ; trouver ; reconnaître ; blesse ; marque
faucher.v 276 :: semer ; être ; récolter ; pousser ; abattre ; cultiver ; planter ; chercher ; aster ; avoir
faucher.v 282 :: remplacer ; tromp ; piqu ; casser ; quitte ; cherche ; trouver ; écarter ; prendre ; marque
faucher.v 290 :: tuer ; abattre ; blesser ; briser ; pousser ; trouver ; jeter ; écraser ; prendre ; donner
fonder.v 6 :: fondre ; créer ; organiser ; diriger ; forme ; commande ; développer ; former ; être ; reforme
fonder.v 7 :: sous-tendre ; motiver ; porte ; force ; conditionne ; guide ; traverser ; justifier ; légitime ; appuyer
fonder.v 54 :: appuyer ; base ; construire ; bâtir ; force ; trouver ; valide ; assurer ; cadre ; ancre
fonder.v 66 :: rejoindre ; créer ; ferme ; installer ; commencer ; diriger ; finance ; quitte ; construire ; lancer
fonder.v 88 :: finance ; créer ; rejoindre ; intégrer ; ouvrir ; forme ; quitte ; diriger ; fréquent ; commencer
fonder.v 93 :: forme ; traverser ; base ; construire ; force ; assurer ; appuyer ; marque ; définir ; influence
fonder.v 158 :: base ; repose ; fond ; bâtir ; appuyer ; focaliser ; forge ; ferme ; appui ; fixe
fonder.v 212 :: faire ; former ; fabriquer ; contracter ; fondre ; créer ; développer ; dessiner ; fondation ; définir
fonder.v 264 :: base ; définir ; valide ; force ; solide ; appuyer ; constituer ; motiver ; structure ; vraiment
fonder.v 286 :: compte ; créer ; fabrique ; diriger ; ouvrir ; développer ; fond ; rassembler ; ferme ; réunir
grossier.a 24 :: grave ; flagrant ; courant ; évident ; stupide ; valable ; monumental ; scandaleux ; répandre ; radical
grossier.a 37 :: trompeur ; faux ; vicieux ; facile ; avancer ; pervers ; utiliser ; complexe ; manipulateur ; sophistiquer
grossier.a 85 :: vulgaire ; vil ; soumettre ; correct ; vulgarité ; poli ; brutal ; profond ; tendre ; pervers
grossier.a 108 :: fin ; léger ; profond ; rond ; plat ; creux ; minéral ; noir ; sec ; saillant
grossier.a 134 :: léger ; grand ; évident ; gros ; fort ; petit ; long ; lourd ; sérieux ; bel
grossier.a 179 :: propagande ; publicité ; information ; accusation ; image ; série ; réalité ; vision ; intention ; documentaire
grossier.a 227 :: vulgaire ; arrogant ; hypocrite ; odieux ; malhonnête ; ridicule ; blessant ; vicieux ; déplacer ; vil
grossier.a 228 :: témoignage ; sens ; argument ; mensonge ; sentiment ; procédé ; motif ; prétexte ; renseignement ; résultat
grossier.a 231 :: matériel ; léger ; humain ; profane ; vulgaire ; brut ; inférieur ; simple ; quotidien ; superficiel
grossier.a 300 :: impression ; chose ; lettre ; production ; trace ; phrase ; pierre ; erreur ; accusation ; party
hermétique.a 203 :: clore ; nez ; garde ; cl ; fermer ; vin ; loup ; ra ; li ; cave
hermétique.a 71 :: énigmatique ; mystérieux ; étrange ; effrayant ; étonnant ; opaque ; confidentiel ; étanche ; secret ; paradoxal
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; vide ; métallique ; entier ; chinois ; verre
hermétique.a 126 :: ara ; an ; os ; tantôt ; in ; déjà ; poli ; plier ; face ; également
hermétique.a 127 :: élitiste ; magique ; social ; froid ; austère ; blanc ; obscur ; commercial ; chimique ; secret
hermétique.a 220 :: devenir ; tique ; rester ; social ; frontière ; presque ; définir ; ordre ; monde ; demeurer
hermétique.a 226 :: insensible ; sourd ; muet ; attentif ; aveugle ; face ; sensible ; opaque ; imperméable ; perméable
hermétique.a 261 :: interdire ; complice ; audible ; incompréhensible ; subtil ; magique ; honteux ; involontaire ; révélateur ; réducteur
hermétique.a 278 :: étanche ; alimentaire ; chinois ; solide ; interne ; plastique ; fermé ; blanc ; italien ; totalement
hermétique.a 204 :: mystère ; opaque ; quasi ; demeurer ; étancher ; ultime ; sublime ; solide ; magique ; presque
incorrect.a 45 :: actif ; devoir ; approprier ; naître ; utile ; intéressant ; prévoir ; nécessaire ; opérationnel ; rée
incorrect.a 125 :: vraiment ; visiblement ; parfaitement ; complètement ; ré ; in ; ante ; nommer ; naître ; totalement
incorrect.a 132 :: totalement ; également ; tomber ; rester ; faire ; devenir ; extrêmement ; parfaitement ; baser ; demeurer
incorrect.a 156 :: criminel ; juger ; rendre ; presque ; judiciaire ; pénal ; politique ; raisonnable ; réel ; logique
incorrect.a 159 :: utilisation ; transposition ; application ; interprétation ; pratique ; applicabilité ; reproduction ; conformité ; modification ; disposition
incorrect.a 177 :: précis ; erroné ; inverse ; donner ; aléatoire ; contraire ; déterminer ; prédéterminer ; correct ; automatique
incorrect.a 217 :: ici ; inutile ; incomplet ; superflu ; stupide ; politiquement ; volontairement ; confus ; négativement ; là
incorrect.a 241 :: vraiment ; complètement ; mal ; totalement ; parfaitement ; presque ; extrêmement ; fort ; malheureusement ; apparemment
incorrect.a 298 :: dangereux ; impressionnant ; surprenant ; maladroit ; malheureux ; approximatif ; correct ; évident ; déçu ; exact
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; électronique ; saisir ; transmettre ; donnée ; financier ; identifiabler ; effacer
intérêt.n 63 :: avis ; opinion ; argument ; conception ; idée ; vue ; thèse ; objectif ; sentiment ; principe
intérêt.n 97 :: article ; objet ; appareil ; audiovisuel ; effectif ; assistance ; origine ; nouveau ; irremplaçable ; indispensable
intérêt.n 129 :: aide ; international ; étymologie ; image ; art ; étroit ; air ; usage ; incessant ; interne
intérêt.n 146 :: or ; aide ; art ; image ; air ; international ; évolution ; ensemble ; eau ; ouverture
intérêt.n 155 :: article ; utilisateur ; énergie ; information ; effectif ; entreprise ; évolution ; audiovisuel ; année ; appareil
intérêt.n 218 :: avantage ; importance ; intéressant ; utilité ; côté ; important ; enseignement ; sens ; bénéfice ; atout
intérêt.n 263 :: meilleur ; propre ; véritable ; cor ; guide ; air ; principal ; nouveau ; éventuel ; excellent
intérêt.n 268 :: international ; or ; ensemble ; origine ; homme ; aide ; image ; histoire ; ouverture ; accueil
intérêt.n 271 :: éventuel ; article ; être ; excellent ; usage ; aide ; ancien ; actuel ; exemple ; enseigner
intérêt.n 297 :: aide ; clip ; art ; propre ; or ; guide ; heureux ; immigré ; animal ; double
interpréter.v 18 :: chanter ; interprétation ; jouer ; cité ; reprendre ; présenter ; montrer ; remonter ; offrir ; applaudir
interpréter.v 21 :: chant ; chanson ; interprétation ; jouer ; ensuite ; musique ; chanter ; composition ; tantôt ; parole
interpréter.v 59 :: comprendre ; expliquer ; évaluer ; penser ; définir ; articuler ; entendre ; décoder ; voir ; analyser
interpréter.v 80 :: air ; aide ; interne ; art ; ante ; obliger ; illustre ; or ; adjectif ; étymologie
interpréter.v 123 :: or ; aide ; international ; ouverture ; air ; actuel ; origine ; interne ; ensemble ; externe
interpréter.v 128 :: joue ; incarner ; assurer ; camper ; ici ; tenir ; prendre ; double ; reprendre ; enfiler
interpréter.v 157 :: traduire ; recevoir ; analyse ; écrire ; imiter ; accueillir ; encaisse ; absorber ; actif ; transporter
interpréter.v 260 :: comprendre ; interprétation ; analyser ; entendre ; décoder ; exploiter ; expliquer ; comparer ; évaluer ; apprécier
interpréter.v 267 :: entendre ; comprendre ; interprétation ; énoncer ; présenter ; différemment ; chanter ; ici ; envisager ; peindre
interpréter.v 289 :: imaginer ; jouer ; orchestré ; chanter ; incarner ; animé ; arranger ; interprétation ; enseigner ; dansé
maintenir.v 94 :: fermement ; tenir ; soutenir ; raison ; fortement ; clairement ; également ; constamment ; sembler ; entendre
maintenir.v 113 :: présent ; inscrire ; visible ; disponible ; enregistrer ; trouver ; mentionner ; ajouter ; afficher ; présenter
maintenir.v 154 :: garder ; tenir ; fermement ; occuper ; militaire ; observer ; français ; garde ; solidement ; conserver
maintenir.v 175 :: garder ; maintien ; préserver ; mettre ; conserver ; demeurer ; entretenir ; stabiliser ; perpétuer ; dominer
maintenir.v 183 :: préserver ; garder ; conserver ; entretenir ; favoriser ; instaurer ; assurer ; maintien ; garantir ; mettre
maintenir.v 207 :: garder ; préserver ; demeurer ; maintien ; conserver ; retenir ; réintégrer ; favoriser ; soutenir ; transporter
maintenir.v 230 :: dernier ; nouveau ; document ; prochain ; premier ; bibliographie ; donnée ; être ; reston ; présent
maintenir.v 234 :: souhaiter ; soutenir ; réaffirmer ; vouloir ; affirmer ; considérer ; estime ; proclamer ; proposer ; garantir
maintenir.v 251 :: réitérer ; tenir ; réaffirmer ; conserve ; renouveler ; confirmer ; répéter ; reprendre ; soutenir ; défendre
maintenir.v 281 :: dire ; tenir ; compte ; rendre ; soutien ; gage ; bon ; vouloir ; falloir ; lire
mince.a 17 :: épais ; fin ; finir ; finement ; déjà ; maigre ; régulier ; développer ; légèrement ; compact
mince.a 96 :: fin ; régulier ; élégant ; égal ; léger ; complexe ; professionnel ; sec ; épaisseur ; arrière
mince.a 147 :: maigre ; serrer ; fin ; sommaire ; léger ; préciser ; tendre ; bon ; étroit ; bel
mince.a 170 :: petit ; secret ; déjà ; menu ; léger ; mort ; parti ; court ; an ; jeune
mince.a 192 :: petit ; épais ; fin ; léger ; minuscule ; grand ; menu ; finement ; robuste ; énorme
mince.a 202 :: petit ; fin ; minuscule ; maigre ; léger ; simple ; timide ; court ; épais ; discret
mince.a 213 :: maigre ; minime ; faible ; petit ; léger ; misérable ; vert ; modeste ; pauvre ; réduire
mince.a 225 :: maigre ; léger ; petit ; extra ; homme ; menu ; bel ; ordinaire ; honorable ; ruban
mince.a 242 :: extrêmement ; presque ; vraiment ; limite ; fort ; point ; chose ; légèrement ; peut-être ; doute
mince.a 292 :: fin ; épais ; interne ; externe ; lisse ; conducteur ; invisible ; écran ; léger ; organique
modeste.a 29 :: petit ; minuscule ; piètre ; banal ; minable ; grand ; misérable ; commun ; dérisoire ; paisible
modeste.a 114 :: humble ; bon ; pauvre ; honnête ; malheureux ; discret ; poli ; petit ; triste ; misérable
modeste.a 121 :: faible ; minime ; important ; petit ; modérer ; discret ; significatif ; timide ; considérable ; mesurer
modeste.a 163 :: minime ; limité ; faible ; petit ; important ; modique ; léger ; confidentielle ; personnel ; propre
modeste.a 195 :: correspondant ; personnel ; matériel ; symbolique ; familial ; légèrement ; mensuel ; limité ; parental ; notable
modeste.a 197 :: petit ; familial ; élevé ; pièce ; moyen ; faible ; autonome ; confortable ; mince ; maigre
modeste.a 200 :: léger ; faible ; canada ; populaire ; intermédiaire ; industriel ; limité ; élevé ; défensif ; projet
modeste.a 246 :: élevé ; important ; léger ; faible ; inférieur ; économique ; relatif ; considérable ; populaire ; marchand
modeste.a 269 :: humble ; petit ; digne ; jeune ; noble ; pauvre ; pieux ; bon ; misérable ; médiocre
modeste.a 283 :: pauvre ; humble ; misérable ; aisé ; honorable ; retirer ; prospère ; médiocre ; digne ; petit
montée.n 15 :: poussée ; courbe ; côte ; victoire ; chute ; baisse ; progression ; nomination ; percée ; réduction
montée.n 56 :: construction ; propriété ; direction ; maison ; société ; commune ; montagne ; partie ; ligne ; compagnie
montée.n 75 :: terrasse ; visite ; passerelle ; descente ; balade ; suite ; promenade ; vue ; nuit ; monte
montée.n 138 :: évolution ; performance ; hausse ; puissance ; demande ; construction ; croissance ; capacité ; progression ; transformation
montée.n 141 :: descente ; monte ; poussée ; courbe ; hausse ; réduction ; chute ; progression ; dégradation ; transformation
montée.n 153 :: pente ; descente ; côte ; montagne ; ascension ; long ; monte ; neige ; grimper ; conséquence
