affection.n 8 :: dernier ; tendresse ; propriété ; maladie ; reconnaissance ; nouveau ; attention ; église ; observation ; complaisance
compris.a 106 :: prouver ; vivre ; vouloir ; apprendre ; sentir ; mieux ; déjà ; penser ; savoir ; entendre
compris.a 185 :: participation ; également ; présent ; article ; ouvrage ; considérable ; chose ; observation ; inclure ; religieux
compris.a 186 :: rester ; situer ; déjà ; entrer ; inclure ; demeurer ; tomber ; presque ; inscrire ; rentrer
compris.a 187 :: contenu ; estimer ; compter ; inclure ; prendre ; moyen ; compte ; cal ; généralement ; habituellement
compris.a 211 :: entrer ; mesurer ; minimal ; moyen ; maximal ; maximum ; répartir ; convenable ; varier ; maintenir
compris.a 232 :: inclure ; prévoir ; compter ; intégré ; contenu ; comprendre ; prendre ; limité ; facturer ; complet
compris.a 272 :: saisir ; réaliser ; comprendre ; entendre ; capter ; croire ; cacher ; apprendre ; savoir ; penser
compris.a 287 :: assimiler ; intégré ; saisir ; apprendre ; deviner ; comprendre ; reconnaître ; trouver ; découvrir ; adopter
couverture.n 65 :: sommaire ; définition ; description ; page ; illustration ; présentation ; dessin ; photo ; grand ; éditorial
couverture.n 67 :: vie ; réputation ; peau ; carrière ; liberté ; protection ; tête ; chance ; poitrine ; tâche
couverture.n 72 :: toiture ; revêtement ; garniture ; housse ; sol ; doublure ; terrasse ; sécurité ; couvrir ; matière
couverture.n 143 :: manchette ; page ; case ; front ; éditorial ; fort ; paraître ; photo ; vignette ; politique
couverture.n 149 :: couvert ; protection ; sécurité ; régime ; carte ; traitement ; garde ; compagnie ; responsabilité ; caisse
couverture.n 150 :: toiture ; toit ; couvrir ; charpente ; protection ; pierre ; tuile ; coquille ; voil ; coqu
couverture.n 201 :: surveillance ; protection ; sécurisation ; sécurité ; desserte ; gestion ; défense ; conquête ; couvrir ; transformation
couverture.n 257 :: construction ; toiture ; base ; revêtement ; remplacement ; développement ; protection ; transformation ; sol ; toit
couverture.n 265 :: couette ; couvrir ; housse ; serviette ; cape ; oreiller ; drap ; jaquette ; épais ; voil
couverture.n 280 :: flèche ; écorce ; balance ; peau ; tour ; fois ; tique ; tête ; lion ; figue
débit.n 64 :: escompte ; monnaie ; faciliter ; banque ; compte ; montant ; automatique ; timbre ; dépôt ; crédit
débit.n 87 :: coût ; montant ; prix ; paiement ; solde ; remboursement ; achat ; crédit ; salaire ; cours
débit.n 115 :: niveau ; flux ; cours ; flot ; écoulement ; passage ; rythme ; bassin ; débordement ; delta
débit.n 131 :: eau ; vin ; dépôt ; courant ; cours ; grave ; flux ; niveau ; lit ; système
débit.n 136 :: apport ; flux ; cours ; rejet ; moyen ; volume ; besoin ; quantité ; prix ; paramètre
débit.n 168 :: montant ; automatique ; réel ; cours ; total ; ligne ; carte ; nécessaire ; rapide ; produit
débit.n 169 :: montant ; résultat ; volume ; flux ; financement ; total ; solde ; produit ; niveau ; poids
débit.n 184 :: vitesse ; capacité ; taux ; maximum ; rythme ; potentiel ; intérêt ; rendement ; stockage ; support
débit.n 188 :: apport ; cours ; jus ; rejet ; flux ; vin ; litre ; cote ; eau ; principal
débit.n 205 :: long ; rythme ; continu ; moyen ; flux ; lent ; faible ; haut ; temps ; sujet
direction.n 78 :: conduite ; directrice ; coordination ; responsabilité ; maîtrise ; diriger ; main ; critique ; discipline ; houlette
direction.n 111 :: orientation ; ligne ; conduite ; vision ; directrice ; unité ; organisation ; tête ; équipe ; tendance
direction.n 151 :: directrice ; directeur ; présidence ; gestion ; management ; équipe ; diriger ; conduite ; responsabilité ; rédaction
direction.n 152 :: ligne ; orientation ; inclinaison ; tête ; position ; droite ; rotation ; descente ; inversion ; forme
direction.n 172 :: cap ; nord ; route ; nouveau ; forme ; rejoindre ; doucement ; dernier ; destination ; orientation
direction.n 176 :: conduite ; transmission ; directeur ; performance ; directrice ; contrôle ; puissance ; gestion ; sécurité ; tête
direction.n 199 :: rédaction ; présidence ; délégation ; commission ; partir ; coordination ; presse ; équipe ; famille ; majorité
direction.n 223 :: conduite ; responsabilité ; maîtrise ; diriger ; compagnie ; majorité ; gestion ; route ; langue ; discipline
direction.n 262 :: responsabilité ; directrice ; conduite ; tête ; charge ; gestion ; présidence ; défense ; directeur ; coordination
direction.n 279 :: plaine ; droite ; bon ; pari ; sens ; république ; clair ; ascension ; région ; destination
don.n 19 :: sens ; cadeau ; spécial ; magique ; sacrer ; extraordinaire ; divin ; bon ; inné ; véritable
don.n 30 :: talent ; atout ; pouvoir ; sens ; oeil ; faculté ; potentiel ; trait ; tour ; tic
don.n 36 :: talent ; sens ; pouvoir ; cadeau ; vrai ; génie ; côté ; secret ; amour ; grâce
don.n 60 :: cadeau ; produit ; geste ; patrimoine ; caractère ; ministère ; livre ; objet ; présent ; vrai
don.n 84 :: contribution ; apport ; animal ; cadeau ; fonds ; déchet ; produit ; legs ; enfant ; transfert
don.n 107 :: cadeau ; présent ; offrir ; part ; preuve ; grâce ; parvenir ; présentation ; proposition ; usage
don.n 130 :: cadeau ; ami ; soutien ; personne ; fonds ; enfant ; talent ; lien ; généreux ; bénéficiaire
don.n 196 :: talent ; pouvoir ; génie ; sens ; droit ; caractère ; traitement ; domaine ; secret ; contraire
don.n 244 :: cadeau ; legs ; bénévolat ; mécénat ; parrainage ; geste ; bon ; soutien ; testament ; bénévole
don.n 245 :: témoignage ; travail ; talent ; nom ; trésor ; projet ; exemple ; site ; cas ; domaine
entraîner.v 39 :: aide ; art ; air ; international ; or ; image ; actuel ; obliger ; animal ; origine
entraîner.v 47 :: aider ; obliger ; amener ; aide ; engager ; encourager ; apprendre ; conduire ; inciter ; pousse
entraîner.v 55 :: clip ; air ; or ; international ; aide ; italien ; interne ; actuel ; origine ; image
entraîner.v 57 :: ensemble ; être ; air ; in ; inflation ; évolution ; kilogramme ; cl ; université ; apparemment
entraîner.v 133 :: air ; or ; aide ; eau ; énergie ; clip ; animal ; art ; apparemment ; efficace
entraîner.v 140 :: envoyer ; mener ; amener ; conduire ; aller ; attirer ; partir ; engager ; pousser ; emmener
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; amener ; commencer ; force ; inviter ; invité ; pousse
entraîner.v 161 :: provoquer ; engendrer ; conduire ; amener ; pallier ; éviter ; causer ; apparaître ; créer ; inévitablement
entraîner.v 162 :: amener ; encourager ; provoquer ; assurer ; conduire ; engendrer ; expliquer ; accélérer ; influence ; induire
entraîner.v 191 :: amener ; conduire ; emporter ; attirer ; mener ; envoyer ; emmener ; pousser ; précipiter ; porter
éplucher.v 10 :: peler ; nettoyer ; cueillir ; laver ; égoutter ; enfiler ; passer ; ouvrir ; presser ; pousser
éplucher.v 51 :: éplucher ; récolter ; soigneusement ; longuement ; autant ; examiner ; scrupuleusement ; regarder ; minutieusement ; analyser
éplucher.v 69 :: examiner ; fouiller ; soigneusement ; étudier ; faire ; lire ; analyser ; digérer ; attentivement ; passer
éplucher.v 100 :: éplucher ; grossièrement ; finement ; couper ; retourner ; hacher ; peler ; écraser ; ôter ; ramasser
éplucher.v 119 :: regarder ; lire ; parcourir ; éplucher ; fouillé ; déjà ; explorer ; croiser ; entendre ; survoler
éplucher.v 167 :: légume ; découvrir ; poireau ; feuille ; épinard ; oublier ; fruit ; vérifier ; carotte ; céleri
éplucher.v 174 :: également ; mieux ; noter ; pomme ; faire ; condition ; finement ; aimer ; écorce ; manière
éplucher.v 235 :: peler ; faire ; récolter ; cueillir ; obtenir ; presser ; écraser ; raison ; tord ; filer
éplucher.v 236 :: éplucher ; récolter ; couper ; dévorer ; oignon ; avoir ; retourner ; profiter ; rôti ; devoir
éplucher.v 258 :: peler ; légume ; laver ; blanchir ; fruit ; carotte ; manger ; fraise ; pomme ; oignon
espace.n 13 :: ensemble ; or ; accueil ; os ; origine ; exploitation ; intégration ; habitat ; utilisation ; accès
espace.n 27 :: air ; ancien ; or ; eau ; aide ; antique ; image ; art ; immigré ; actuel
espace.n 79 :: environnement ; pôle ; lieu ; zone ; expérience ; idéal ; univers ; ensemble ; support ; offrir
espace.n 120 :: air ; article ; international ; ensemble ; environnement ; avoir ; être ; audiovisuel ; apercevoir ; audiovisuelle
espace.n 137 :: environnement ; marché ; avantage ; groupe ; politique ; investissement ; territoir ; entreprise ; instrument ; présent
espace.n 142 :: air ; international ; interne ; art ; afghan ; eau ; étymologie ; étroit ; image ; éternel
espace.n 180 :: lien ; partage ; temps ; place ; déplacement ; bien ; territoire ; emplacement ; lieu ; équilibre
espace.n 208 :: entreprise ; institution ; observation ; innombrable ; organisation ; ensemble ; environnement ; enregistrement ; enseignement ; international
espace.n 229 :: petit ; grand ; territoire ; service ; parc ; dernier ; nouveau ; environnement ; aménagement ; personnel
espace.n 243 :: coin ; article ; ensemble ; compte ; ligne ; jour ; rôle ; accord ; temps ; mode
essuyer.v 11 :: laver ; faire ; essuyer ; avoir ; drain ; protéger ; être ; passer ; désinfection ; enlever
essuyer.v 58 :: soigneusement ; durement ; presque ; déjà ; ensuite ; longuement ; patiemment ; auparavant ; préalablement ; avoir
essuyer.v 77 :: essuie ; pourtant ; quelquefois ; effacer ; venir ; glisse ; lav ; presque ; coule ; pardonner
essuyer.v 81 :: oeil ; répondit ; blanc ; rouge ; essuie ; ensuite ; propre ; soigneusement ; bleu ; oui
essuyer.v 86 :: ligne ; laisse ; recevoir ; devoir ; assurer ; assister ; complet ; passer ; donne ; limité
essuyer.v 89 :: subir ; constater ; recevoir ; afficher ; annoncer ; refuser ; rencontrer ; obtenir ; frapper ; essuie
essuyer.v 98 :: faire ; encaisser ; voir ; subir ; souffrir ; acheter ; prendre ; utiliser ; porter ; recevoir
essuyer.v 166 :: pépin ; noyau ; graine ; sécher ; baie ; feuille ; légume ; noix ; peau ; main
essuyer.v 215 :: subir ; recevoir ; obtenir ; recueillir ; récolter ; connaître ; frapper ; délivrer ; enchaîner ; accumuler
essuyer.v 266 :: avoir ; être ; eau ; laver ; ensuite ; facilement ; ail ; face ; abondamment ; avantage
faucher.v 12 :: agresser ; déposer ; écraser ; traînée ; tuer ; projeter ; jeter ; handicapé ; repérer ; planter
faucher.v 42 :: également ; déjà ; mieux ; peut-être ; inscrire ; davantage ; récolter ; découverte ; donnée ; couvrir
faucher.v 116 :: dévaster ; semer ; détruire ; intentionnellement ; ravager ; jeter ; pisser ; traverser ; voler ; assassiner
faucher.v 160 :: piqu ; note ; casser ; tombe ; eau ; venir ; paille ; nature ; frappe ; chia
faucher.v 214 :: presque ; faire ; mieux ; vraiment ; passer ; extrêmement ; travailler ; voir ; acheter ; donner
faucher.v 239 :: être ; presque ; français ; cassé ; grièvement ; déjà ; coûter ; américain ; trouver ; gravement
faucher.v 248 :: dernier ; famille ; meurtre ; homicide ; jeune ; clinique ; petit ; porte ; pari ; auteur
faucher.v 276 :: semer ; chercher ; prendre ; abattre ; cueillir ; piqu ; olivier ; garder ; coupe ; repérer
faucher.v 282 :: remplacer ; marque ; trouver ; cale ; passer ; centre ; frappe ; prendre ; cherche ; provoquer
faucher.v 290 :: tuer ; laisser ; abattre ; grièvement ; donner ; abandonner ; retrouver ; trouver ; jeter ; perdre
fonder.v 6 :: fondre ; créer ; former ; diriger ; organiser ; développer ; faire ; ouvrir ; forme ; préside
fonder.v 7 :: motiver ; force ; marque ; sous-tendre ; porte ; caractériser ; base ; définir ; cadre ; traverser
fonder.v 54 :: base ; construire ; appuyer ; assurer ; tire ; bâtir ; trouver ; gagner ; affirmer ; ancre
fonder.v 66 :: développer ; installer ; commencer ; créer ; ferme ; devenir ; quitte ; trouver ; forme ; organiser
fonder.v 88 :: créer ; forme ; rejoindre ; intégrer ; formule ; finance ; joindre ; quitte ; ferme ; développer
fonder.v 93 :: forme ; constituer ; construire ; appuyer ; base ; définir ; traverser ; caractériser ; force ; conditionne
fonder.v 158 :: base ; repose ; construire ; fond ; appuyer ; bâtir ; composer ; joue ; forge ; baser
fonder.v 212 :: faire ; fondre ; former ; établir ; fondation ; réunir ; créer ; vaincre ; définir ; voir
fonder.v 264 :: motiver ; définir ; constituer ; valide ; force ; appuyer ; marque ; caractériser ; vraiment ; nourrir
fonder.v 286 :: diriger ; développer ; créer ; ouvrir ; anime ; rassembler ; fabrique ; pilote ; gérer ; ferme
grossier.a 24 :: courant ; complet ; simple ; flagrant ; grave ; exact ; évident ; stupide ; profond ; monumental
grossier.a 37 :: avancer ; exact ; précis ; subtil ; faible ; efficace ; facile ; approximatif ; fin ; complet
grossier.a 85 :: vulgaire ; poli ; vulgarité ; coller ; susceptible ; ridicule ; soumettre ; monter ; tendre ; amical
grossier.a 108 :: fin ; sec ; léger ; profond ; épais ; primitif ; rocheux ; humide ; calcaire ; plat
grossier.a 134 :: vague ; flagrant ; subtil ; long ; léger ; grand ; confus ; grave ; profond ; cruel
grossier.a 179 :: grave ; énorme ; profond ; gros ; bon ; petit ; grand ; flagrant ; honteux ; léger
grossier.a 227 :: agressif ; vulgaire ; poli ; arrogant ; raciste ; ridicule ; confus ; prétentieux ; franc ; hypocrite
grossier.a 228 :: sexuel ; social ; politique ; sexiste ; public ; témoignage ; accusation ; déplacer ; point ; vulgaire
grossier.a 231 :: vulgaire ; humain ; matériel ; inférieur ; terrestre ; superficiel ; profond ; public ; coupable ; supérieur
grossier.a 300 :: faute ; stupide ; lourd ; attaque ; grossièrement ; tentative ; anglais ; faire ; offensive ; précis
hermétique.a 203 :: obscur ; inquiétant ; mystérieux ; opaque ; étrange ; évident ; intéressant ; théorique ; pointue ; partiel
hermétique.a 71 :: inquiétant ; opaque ; étrange ; fermer ; effrayant ; mystérieux ; secret ; énigmatique ; intime ; étanche
hermétique.a 99 :: fermer ; sceller ; plastique ; alimentaire ; étanche ; contenir ; individuel ; chinois ; métallique ; transparent
hermétique.a 126 :: insensible ; presque ; interne ; étanche ; aveugle ; totalement ; fermé ; perméable ; devenir ; rester
hermétique.a 127 :: froid ; élitiste ; sombre ; religieux ; politique ; magique ; secret ; littéraire ; sévère ; sécuritaire
hermétique.a 220 :: étrangement ; opaque ; clé ; muet ; mystère ; presque ; porte ; obscur ; secret ; tique
hermétique.a 226 :: fermer ; insensible ; sourd ; imperméable ; étranger ; sensible ; face ; attacher ; allergique ; aveugle
hermétique.a 261 :: magique ; ironique ; subtil ; convenir ; approximatif ; excessif ; inutile ; adapter ; approprié ; élégant
hermétique.a 278 :: solide ; interne ; plastique ; entièrement ; étanche ; fermé ; close ; alimentaire ; secret ; blanc
hermétique.a 204 :: obscur ; inquiétant ; familier ; partiel ; mystérieux ; problématique ; incomplet ; opaque ; singulier ; isoler
incorrect.a 45 :: nommer ; cohérent ; opportun ; nécessaire ; rée ; appeler ; naître ; proportionnel ; actif ; approprier
incorrect.a 125 :: vraiment ; parfaitement ; totalement ; complètement ; extrêmement ; in ; super ; rester ; devenir ; bizarrement
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; second ; cours ; jour ; cas ; miss
incorrect.a 156 :: vraiment ; politique ; humaine ; être ; judiciaire ; parfaitement ; apparemment ; in ; professionnel ; politiquement
incorrect.a 159 :: produit ; garantie ; responsabilité ; article ; utilisation ; obligation ; information ; in ; droit ; application
incorrect.a 177 :: précis ; supérieur ; exact ; total ; donner ; prédéterminée ; serrer ; approprier ; aléatoire ; erroné
incorrect.a 217 :: enfant ; stupide ; correct ; soutenir ; con ; simplement ; politiquement ; simple ; automatiquement ; faux
incorrect.a 241 :: vraiment ; complètement ; mal ; totalement ; in ; presque ; parfaitement ; apparemment ; extrêmement ; déjà
incorrect.a 298 :: exact ; ci-dessous ; communiqué ; total ; compte ; politique ; présidentielle ; déclaration ; abstention ; membre
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; financier ; saisir ; électronique ; effacer ; transmettre ; erroné ; donnée
intérêt.n 63 :: objectif ; avis ; considération ; logique ; agenda ; enjeu ; argument ; adversaire ; élément ; point
intérêt.n 97 :: article ; entier ; ensemble ; information ; irremplaçable ; entreprise ; évolution ; innombrable ; propre ; opinion
intérêt.n 129 :: air ; international ; art ; étymologie ; externe ; étroit ; actuel ; irréversible ; irremplaçable ; animal
intérêt.n 146 :: international ; air ; image ; actuel ; or ; aide ; externe ; art ; user ; origine
intérêt.n 155 :: article ; international ; information ; énergie ; institution ; enseignement ; environnement ; assemblée ; audiovisuel ; entreprise
intérêt.n 218 :: grand ; véritable ; faible ; côté ; point ; réel ; principal ; petit ; entier ; vrai
intérêt.n 263 :: véritable ; principal ; meilleur ; simple ; cor ; vrai ; propre ; min ; nouveau ; triple
intérêt.n 268 :: nouveau ; excellent ; international ; or ; heureux ; ferme ; art ; air ; eau ; meilleur
intérêt.n 271 :: être ; ensemble ; aller ; avoir ; autant ; origine ; apercevoir ; heureux ; arriver ; article
intérêt.n 297 :: clip ; aide ; guide ; art ; or ; propre ; étranger ; image ; port ; apparemment
interpréter.v 18 :: interprétation ; fidèlement ; chanter ; également ; ensuite ; magnifiquement ; jouer ; remarquablement ; ré ; principalement
interpréter.v 21 :: jouer ; arranger ; chanter ; écouter ; adapter ; enregistrer ; reprendre ; chant ; écrire ; illustrer
interpréter.v 59 :: mieux ; correctement ; pouvoir ; vraiment ; clairement ; manière ; faire ; mal ; autant ; ensuite
interpréter.v 80 :: air ; aide ; international ; art ; effectif ; or ; accès ; étranger ; étroit ; énergie
interpréter.v 123 :: international ; or ; accueil ; ouverture ; an ; aide ; effectif ; étroit ; automne ; italien
interpréter.v 128 :: joue ; incarner ; conseiller ; mener ; tenir ; prendre ; assurer ; camper ; jouer ; fois
interpréter.v 157 :: traduire ; recevoir ; traite ; représenter ; incarner ; exprimer ; accueillir ; influence ; enregistrer ; accompagner
interpréter.v 260 :: comprendre ; interprétation ; évaluer ; faire ; décoder ; orienter ; exprimer ; apprécier ; analyser ; entendre
interpréter.v 267 :: interprétation ; comprendre ; observer ; attribuer ; entendre ; considérer ; concevoir ; employer ; énoncer ; écrire
interpréter.v 289 :: incarner ; jouer ; chanter ; animé ; porter ; habiter ; imaginer ; écrire ; vivre ; interprétation
maintenir.v 94 :: apprendre ; ajouter ; écrire ; déclarer ; préciser ; enseigner ; entendre ; affirmer ; noter ; conclure
maintenir.v 113 :: présent ; inscrire ; visible ; mentionner ; enregistrer ; signaler ; référencer ; identifier ; cité ; mettre
maintenir.v 154 :: garder ; garde ; fermement ; ancre ; fort ; siège ; main ; tenir ; pourtant ; solidement
maintenir.v 175 :: garder ; maintien ; conserver ; préserver ; entretenir ; perpétuer ; retenir ; mettre ; stabiliser ; demeurer
maintenir.v 183 :: préserver ; garder ; entretenir ; favoriser ; conserver ; demeurer ; maintien ; assurer ; rester ; faire
maintenir.v 207 :: garder ; demeurer ; préserver ; conserver ; rester ; maintien ; persister ; vivre ; transporter ; soutenir
maintenir.v 230 :: tenir ; pouvoir ; continuer ; compter ; devoir ; dernier ; présent ; être ; ci ; également
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; rappeler ; vouloir ; estime ; réaffirmer ; prévoir ; proposer ; garantir
maintenir.v 251 :: confirmer ; réitérer ; tenir ; réaffirmer ; conserve ; répéter ; renouveler ; reprendre ; poursuivre ; continuer
maintenir.v 281 :: ajouter ; compte ; gage ; dire ; bon ; jean ; rester ; tan ; être ; affirmer
mince.a 17 :: épais ; fort ; fin ; étroit ; léger ; faible ; avancer ; intime ; vulnérable ; fragile
mince.a 96 :: fin ; régulier ; épais ; lisse ; léger ; dur ; bon ; moyen ; dentaire ; égal
mince.a 147 :: presque ; chose ; peut-être ; écart ; division ; également ; épaisseur ; pourtant ; partie ; déjà
mince.a 170 :: presque ; déjà ; simplement ; voire ; vraiment ; légèrement ; peut-être ; également ; extrêmement ; probablement
mince.a 192 :: fin ; minuscule ; petit ; menu ; léger ; micro ; fragile ; simple ; solide ; pauvre
mince.a 202 :: fin ; petit ; léger ; couche ; nouveau ; demi ; épais ; déjà ; dernier ; double
mince.a 213 :: fin ; épais ; léger ; légèrement ; petit ; nuance ; vert ; lisse ; haut ; sujet
mince.a 225 :: événement ; résultat ; exploit ; maigre ; dramatique ; constat ; grand ; brillant ; critique ; objectif
mince.a 242 :: fin ; clair ; bel ; franchir ; étroit ; fragile ; flou ; faible ; sensible ; sec
mince.a 292 :: fin ; conducteur ; supérieur ; écran ; léger ; flotter ; intermédiaire ; épais ; double ; déposer
modeste.a 29 :: minuscule ; petit ; humble ; minime ; grand ; minable ; insignifiant ; second ; faible ; coin
modeste.a 114 :: humble ; pauvre ; simple ; propre ; honorable ; petit ; honnête ; bon ; fidèle ; pourtant
modeste.a 121 :: faible ; timide ; important ; petit ; significatif ; minime ; limité ; misérable ; maigre ; élevé
modeste.a 163 :: léger ; petit ; minime ; limité ; nécessaire ; faible ; important ; court ; complet ; modique
modeste.a 195 :: limité ; médiocre ; minime ; élevé ; faible ; substantiel ; important ; léger ; personnel ; matériel
modeste.a 197 :: pauvre ; aisé ; local ; minuscule ; fragile ; quotidien ; misérable ; ordinaire ; petit ; défavorisé
modeste.a 200 :: populaire ; développement ; politique ; important ; petit ; extraordinaire ; participation ; économique ; honorable ; fonctionnaire
modeste.a 246 :: léger ; élevé ; faible ; important ; marchand ; économique ; petit ; populaire ; respectable ; considérable
modeste.a 269 :: petit ; digne ; humble ; jeune ; bon ; médiocre ; pauvre ; piètre ; misérable ; minuscule
modeste.a 283 :: humble ; populaire ; discret ; digne ; fragile ; confidentiel ; priver ; honnête ; généreux ; secret
montée.n 15 :: direction ; côte ; monte ; progression ; pente ; vallée ; ascension ; dernier ; réduction ; forme
montée.n 56 :: ligne ; descente ; progression ; vallée ; hausse ; chaîne ; partie ; chute ; hauteur ; montagne
montée.n 75 :: descente ; tomber ; suite ; chute ; monte ; passerelle ; poussée ; côte ; victoire ; finale
