affection.n 8 :: dernier ; maladie ; occasion ; épreuve ; époque ; attaque ; disposition ; influence ; ambition ; extrémité
capacité.n 135 :: marge ; liberté ; possibilité ; faculté ; puissance ; droit ; sphère ; force ; pouvoir ; volonté
capacité.n 148 :: formation ; maîtrise ; compétence ; spécialisation ; certification ; licence ; qualification ; faculté ; recherche ; connaissance
commander.v 5 :: dicter ; publier ; écrire ; vouloir ; réaliser ; produit ; demander ; accomplir ; devoir ; rédiger
commander.v 9 :: commander ; commencer ; oublier ; choisir ; ici ; découvrir ; apprendre ; rapidement ; essayer ; demain
commander.v 16 :: commanda ; diriger ; soutenir ; recevoir ; consigne ; mener ; ordonner ; confier ; prendre ; charge
commander.v 41 :: réaliser ; choisir ; effectuer ; faire ; définir ; décider ; commencer ; suivre ; créer ; lancer
commander.v 48 :: contrôlent ; déterminer ; gérer ; diriger ; dominer ; créer ; gouverner ; régir ; financer ; tirer
commander.v 117 :: commande ; prescrire ; dicter ; commandement ; pourtant ; commanda ; normalement ; faire ; comporter ; valoir
commander.v 164 :: ordonner ; commanda ; obéir ; demande ; dicter ; conseiller ; enseigne ; imposer ; prescrire ; diriger
commander.v 171 :: commande ; acheter ; in ; chiner ; aller ; part ; go ; der ; home ; ordre
commander.v 206 :: tandis ; vouloir ; suggérer ; venir ; assurer ; craindre ; montrer ; aimer ; droit ; permettre
commander.v 240 :: ajouter ; commande ; régler ; faire ; contrôler ; donner ; prendre ; acheter ; payer ; droit
compris.a 52 :: accepter ; assimiler ; prise ; percevoir ; maîtriser ; recevoir ; vivre ; partager ; interpréter ; aimer
compris.a 90 :: penser ; trouver ; assurer ; croire ; apprendre ; réaliser ; sentir ; convaincre ; savoir ; saisir
compris.a 106 :: penser ; deviner ; vivre ; entendre ; confirmer ; réfléchir ; remarquer ; prouver ; expliquer ; davantage
compris.a 185 :: chose ; présent ; participation ; inclure ; article ; contenir ; particulier ; nécessaire ; quelques-uns ; supérieur
compris.a 186 :: inclure ; entrer ; déjà ; rester ; situer ; présent ; inscrire ; rentrer ; prendre ; mort
compris.a 187 :: estimer ; contenu ; compter ; croire ; inclure ; prévoir ; composer ; moyen ; long ; fixer
compris.a 211 :: répartir ; partager ; varier ; fluide ; grouper ; intermédiaire ; situer ; contenir ; positif ; circulaire
compris.a 232 :: inclure ; également ; généralement ; contenu ; prendre ; partout ; ici ; prix ; uniquement ; exclusivement
compris.a 272 :: saisir ; comprendre ; capter ; percevoir ; aimer ; entendre ; penser ; intégré ; apprécier ; réaliser
compris.a 287 :: saisir ; intégré ; assimiler ; capter ; comprendre ; apprendre ; savoir ; deviner ; percevoir ; expliquer
couverture.n 65 :: toiture ; rédaction ; voil ; sécurité ; besoin ; livre ; protection ; or ; toit ; situation
couverture.n 67 :: vie ; peau ; mort ; réputation ; survie ; route ; voil ; sécurité ; carrière ; disparition
couverture.n 72 :: base ; garniture ; sol ; matière ; housse ; siège ; revêtement ; coqu ; fond ; pochette
couverture.n 143 :: illustration ; grave ; terrasse ; gauche ; affiche ; manchette ; pochette ; photo ; vignette ; page
couverture.n 149 :: protection ; régime ; gestion ; sécurité ; responsabilité ; surveillance ; couvert ; défense ; gouvernement ; clientèle
couverture.n 150 :: toiture ; couvrir ; charpente ; toit ; pierre ; voûte ; dalle ; tuile ; protection ; construction
couverture.n 201 :: surveillance ; desserte ; sécurité ; protection ; conquête ; pénétration ; recharge ; couvrir ; gestion ; transformation
couverture.n 257 :: construction ; toiture ; base ; remplacement ; revêtement ; protection ; transformation ; qualité ; bois ; finition
couverture.n 265 :: couvrir ; véranda ; serviette ; litière ; voil ; trappe ; housse ; couche ; couvert ; garde-robe
couverture.n 280 :: complet ; plein ; bon ; couvrir ; peau ; grand ; principal ; arrière ; étendu ; long
débit.n 64 :: crédit ; transfert ; automatique ; versement ; demande ; ligne ; prêt ; vente ; compte ; flux
débit.n 87 :: rivière ; gros ; pêche ; continu ; écoulement ; important ; profond ; long ; rang ; rapide
débit.n 115 :: niveau ; volume ; cours ; rythme ; flot ; fleuve ; développement ; flux ; débordement ; montant
débit.n 131 :: niveau ; eau ; nappe ; flux ; lac ; courant ; chambre ; cours ; système ; marais
débit.n 136 :: flux ; cours ; niveau ; apport ; crue ; coefficient ; potentiel ; rejet ; quantité ; dépôt
débit.n 168 :: automatique ; relais ; banque ; marque ; système ; commerce ; rapide ; bancaire ; carte ; permettre
débit.n 169 :: niveau ; montant ; cours ; rythme ; droit ; volume ; total ; flux ; taux ; compte
débit.n 184 :: rythme ; rendement ; taux ; score ; ratio ; chiffre ; prix ; gain ; intérêt ; potentiel
débit.n 188 :: aval ; potentiel ; amont ; rivière ; moyen ; consommation ; fleuve ; niveau ; maximum ; fluvial
débit.n 205 :: rythme ; flux ; vol ; tempo ; accès ; mouvement ; écoulement ; trafic ; canal ; jet
direction.n 78 :: conduite ; responsabilité ; coordination ; performance ; directive ; maîtrise ; langue ; critique ; diriger ; voie
direction.n 111 :: organisation ; orientation ; coordination ; équipe ; ligne ; conduite ; présidence ; tête ; vision ; gestion
direction.n 151 :: directrice ; présidence ; transmission ; gestion ; fondation ; directeur ; responsable ; responsabilité ; maîtrise ; ville
direction.n 152 :: sens ; tendance ; orientation ; droite ; conduite ; vitesse ; ligne ; déviation ; relation ; constant
direction.n 172 :: rejoindre ; nord ; cap ; retrouver ; aller ; destination ; orientation ; route ; voir ; directeur
direction.n 176 :: roue ; rapport ; sens ; droite ; virage ; vitesse ; performance ; conduite ; pneu ; accélération
direction.n 199 :: contrôle ; bon ; interne ; management ; entreprise ; surveillance ; directeur ; directrice ; coordination ; rédaction
direction.n 223 :: conduite ; responsabilité ; directrice ; maîtrise ; présidence ; tâche ; majorité ; diriger ; voie ; route
direction.n 262 :: directrice ; directeur ; responsabilité ; stratégie ; gestion ; division ; présidence ; responsable ; performance ; conduite
direction.n 279 :: destination ; face ; provenance ; sens ; raison ; venir ; faveur ; sortir ; voie ; côté
don.n 19 :: van ; an ; do ; in ; dan ; der ; dom ; bon ; luire ; or
don.n 30 :: talent ; pouvoir ; atout ; oeil ; projet ; sens ; instinct ; potentiel ; fonds ; rêve
don.n 36 :: talent ; lien ; souher ; pouvoir ; travail ; cadeau ; livre ; génie ; charm ; projet
don.n 60 :: cadeau ; produit ; travail ; fruit ; legs ; geste ; domaine ; droit ; signe ; service
don.n 84 :: fonds ; contribution ; cadeau ; achat ; legs ; enfant ; apport ; produit ; investissement ; organe
don.n 107 :: cadeau ; part ; présent ; preuve ; prix ; grâce ; faire ; der ; nombre ; achat
don.n 130 :: cadeau ; legs ; souhait ; enfant ; fonds ; présent ; plan ; ami ; bien ; diocèse
don.n 196 :: talent ; pouvoir ; génie ; droit ; temps ; traitement ; caractère ; travail ; goût ; trésor
don.n 244 :: cadeau ; legs ; mécénat ; geste ; souher ; soutien ; présent ; gage ; parrainage ; bon
don.n 245 :: projet ; geste ; envoi ; trésor ; cadeau ; vin ; achat ; rôle ; échange ; lien
entraîner.v 39 :: art ; aide ; or ; air ; origine ; image ; obliger ; interne ; international ; ensemble
entraîner.v 47 :: aider ; obliger ; aide ; encourager ; engager ; amener ; invite ; inciter ; contraindre ; pousse
entraîner.v 55 :: clip ; aide ; image ; usage ; intense ; international ; indispensable ; effectif ; éternel ; art
entraîner.v 57 :: avoir ; air ; international ; or ; enseigner ; eau ; utilisateur ; être ; aéroport ; exemple
entraîner.v 133 :: ancien ; aide ; énergie ; externe ; air ; international ; origine ; or ; image ; art
entraîner.v 140 :: marier ; cadet ; gille ; renaître ; saint ; parer ; li ; louis ; aussitôt ; lev
entraîner.v 144 :: invite ; avoir ; obliger ; commencer ; inviter ; invité ; force ; engager ; être ; inciter
entraîner.v 161 :: amener ; engendrer ; provoquer ; apparaître ; conduire ; créer ; pallier ; engager ; éviter ; causer
entraîner.v 162 :: amener ; encourager ; engendrer ; provoquer ; assurer ; impliquer ; déclenche ; influence ; favoriser ; entretenir
entraîner.v 191 :: emporter ; amener ; mener ; conduire ; engager ; emmener ; attirer ; porter ; envoyer ; atteindre
éplucher.v 10 :: peler ; finement ; enlever ; pomme ; courgette ; ensuite ; ajouter ; carotte ; ouvrir ; affiner
éplucher.v 51 :: travailler ; accès ; analyser ; lire ; éplucher ; écrire ; manipuler ; scrupuleusement ; soigneusement ; regarder
éplucher.v 69 :: faire ; chose ; lire ; fois ; terre ; noter ; jour ; mois ; travailler ; aller
éplucher.v 100 :: éplucher ; récolter ; oignon ; extraire ; finement ; nettoyer ; ôter ; enlever ; cultiver ; couper
éplucher.v 119 :: fois ; cuisiner ; forum ; dénicher ; planter ; sélection ; conseiller ; épinard ; recette ; commander
éplucher.v 167 :: gros ; orange ; terre ; ail ; petit ; citron ; légume ; patate ; marc ; carotte
éplucher.v 174 :: consulter ; lire ; vérifier ; analyser ; effacer ; voir ; afficher ; rechercher ; retrouver ; parcourir
éplucher.v 235 :: peler ; cueillir ; faire ; presser ; acheter ; écraser ; trancher ; filer ; affiner ; voler
éplucher.v 236 :: récolter ; chercher ; donner ; aller ; déjà ; entendre ; devoir ; trouver ; piocher ; bon
éplucher.v 258 :: peler ; laver ; cuire ; faire ; arroser ; feuille ; finement ; citron ; pépin ; attention
espace.n 13 :: or ; art ; accueil ; ensemble ; immobilier ; établissement ; accès ; exploitation ; habitat ; introduction
espace.n 27 :: air ; or ; étrange ; intérieur ; art ; image ; eau ; aide ; écran ; étranger
espace.n 79 :: zone ; outil ; environnement ; aire ; point ; office ; coin ; option ; module ; ensemble
espace.n 120 :: air ; excellent ; étroit ; article ; petit ; ajouter ; heureux ; énergie ; grand ; aide
espace.n 137 :: environnement ; information ; développement ; coopération ; domaine ; politique ; marché ; emploi ; entreprise ; propriété
espace.n 142 :: air ; international ; interne ; afghan ; image ; éternel ; actuel ; aide ; énergie ; étymologie
espace.n 180 :: lien ; temps ; donnée ; arbre ; partage ; contenir ; territoire ; présent ; potentiel ; enfant
espace.n 208 :: ancien ; excellent ; innombrable ; immense ; important ; grand ; énorme ; étroit ; article ; petit
espace.n 229 :: petit ; propre ; événement ; aménagement ; talent ; service ; projet ; produit ; investissement ; environnement
espace.n 243 :: article ; coin ; temps ; vide ; emplacement ; intervalle ; écran ; site ; jeu ; lien
essuyer.v 11 :: avoir ; être ; er ; ante ; ensuite ; faire ; voir ; ace ; essuyer ; avantage
essuyer.v 58 :: subir ; constater ; accumuler ; rencontrer ; cumulé ; recevoir ; enregistrer ; affronter ; connaître ; palier
essuyer.v 77 :: avoir ; er ; os ; oeil ; glace ; ment ; li ; dos ; taire ; pierre
essuyer.v 81 :: ra ; essuie ; ment ; ale ; être ; avoir ; bile ; eau ; esse ; falloir
essuyer.v 86 :: complet ; faire ; recevoir ; assurer ; continuer ; régler ; ligne ; laisse ; limité ; devoir
essuyer.v 89 :: subir ; recevoir ; annoncer ; déjà ; opposer ; refuser ; essuie ; soumettre ; constater ; rencontrer
essuyer.v 98 :: faire ; recevoir ; voir ; encaisser ; gagner ; rencontrer ; découvrir ; subir ; souffrir ; acheter
essuyer.v 166 :: sécher ; pépin ; baie ; olive ; presser ; main ; graine ; noyau ; salade ; légume
essuyer.v 215 :: recevoir ; subir ; revers ; déjà ; presque ; malheureusement ; essuie ; suite ; apparemment ; durement
essuyer.v 266 :: retirer ; enlever ; essuie ; laisser ; soigneusement ; nettoyer ; éviter ; verser ; nettoyage ; laver
faucher.v 12 :: briser ; presque ; assassiner ; tuer ; abattre ; écraser ; déjà ; bientôt ; peau ; tracée
faucher.v 42 :: également ; découverte ; donnée ; récemment ; utiliser ; peut-être ; finalement ; mieux ; déjà ; ajouter
faucher.v 116 :: détruire ; abattre ; voler ; dévaster ; ravager ; donner ; semer ; attaquer ; labour ; tuer
faucher.v 160 :: semer ; plante ; donne ; gui ; trouver ; piqu ; arriver ; touche ; chia ; apparaître
faucher.v 214 :: acheter ; faire ; extrêmement ; presque ; mieux ; payer ; fort ; voir ; vraiment ; mal
faucher.v 239 :: presque ; briser ; cassé ; nouveau ; grand ; mise ; partager ; être ; rouge ; in
faucher.v 248 :: taire ; meurtre ; presque ; crime ; mort ; tombe ; laisse ; vie ; abattre ; blesse
faucher.v 276 :: faux ; type ; biologique ; travail ; récolte ; culture ; nature ; coupe ; simple ; bon
faucher.v 282 :: centre ; cadre ; casser ; marque ; piqu ; frappe ; cale ; malheureusement ; traverser ; finalement
faucher.v 290 :: abattre ; tuer ; blesser ; gravement ; grièvement ; trouver ; retrouver ; donner ; assassiner ; envoyer
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; faire ; développer ; arrêter ; rejoindre ; ouvrir
fonder.v 7 :: sous-tendre ; motiver ; conditionne ; force ; justifier ; constituer ; définir ; caractériser ; expliquer ; guide
fonder.v 54 :: base ; bâtir ; appuyer ; trouver ; construire ; gagner ; cadre ; repose ; puiser ; forge
fonder.v 66 :: ferme ; fabrique ; installer ; instaurer ; rejoindre ; développer ; fondation ; fond ; forme ; créer
fonder.v 88 :: intégrer ; créer ; rejoindre ; forme ; commencer ; anime ; développer ; installer ; finance ; diriger
fonder.v 93 :: forme ; traverser ; porte ; appuyer ; assurer ; augmenter ; marque ; base ; constituer ; suppose
fonder.v 158 :: base ; fond ; repose ; appuyer ; construire ; bâtir ; fixe ; fabrique ; forge ; cadre
fonder.v 212 :: former ; créer ; contracter ; faire ; fabriquer ; constituer ; monter ; développer ; composer ; réunir
fonder.v 264 :: définir ; base ; motiver ; constituer ; valide ; nourrir ; force ; caractériser ; sous-tendre ; structure
fonder.v 286 :: diriger ; créer ; forme ; fabrique ; forge ; rassembler ; développer ; ouvrir ; gérer ; ferme
grossier.a 24 :: complet ; stupide ; radical ; flagrant ; évident ; simple ; fin ; formel ; absurde ; total
grossier.a 37 :: subtil ; précis ; fin ; exact ; avancer ; efficace ; intéressant ; fort ; évident ; habile
grossier.a 85 :: violent ; agressif ; brutal ; vulgaire ; tendre ; rude ; féroce ; sexuel ; arrogant ; lâche
grossier.a 108 :: fin ; étranger ; déchet ; sauvage ; minéral ; noir ; organique ; objet ; brut ; produit
grossier.a 134 :: léger ; sérieux ; évident ; subtil ; gros ; grave ; grand ; lourd ; clair ; flagrant
grossier.a 179 :: propagande ; impression ; diffusion ; publicité ; erreur ; information ; annoncer ; analyse ; désinformation ; utilisation
grossier.a 227 :: vulgaire ; malhonnête ; maladroit ; vous ; ridicule ; incorrect ; franc ; honnête ; déplacer ; hypocrite
grossier.a 228 :: procédé ; rendre ; compte ; billet ; caractère ; témoignage ; commentaire ; médical ; produit ; sens
grossier.a 231 :: profond ; acquérir ; superficiel ; personnel ; commune ; moral ; public ; égoïste ; ridicule ; terrestre
grossier.a 300 :: faire ; vulgaire ; brutal ; répéter ; stupide ; cruel ; régulier ; indigne ; noir ; léger
hermétique.a 203 :: problématique ; priori ; opaque ; technique ; théorique ; abstrait ; obscur ; quasi ; temporel ; définitif
hermétique.a 71 :: effrayant ; énigmatique ; mystérieux ; étrange ; paradoxal ; inquiétant ; obscur ; sombre ; opaque ; étonnant
hermétique.a 99 :: plastique ; fermer ; sceller ; étanche ; transparent ; alimentaire ; contenir ; chinois ; entier ; individuel
hermétique.a 126 :: devenir ; autant ; ch ; aller ; complètement ; étanche ; tombe ; compte ; totalement ; forme
hermétique.a 127 :: élitiste ; religieux ; étanche ; rigide ; secret ; officiel ; social ; aristocratique ; obscur ; personnel
hermétique.a 220 :: totalement ; complètement ; parfaitement ; presque ; oeil ; entièrement ; vraiment ; opaque ; quasi ; piège
hermétique.a 226 :: étanche ; fermer ; pierre ; devenir ; béton ; dire ; clore ; acier ; close ; verre
hermétique.a 261 :: penser ; sec ; opaque ; confidentiel ; discret ; adapter ; fermer ; limite ; étanche ; interdire
hermétique.a 278 :: solide ; close ; fermé ; interne ; étanche ; creux ; spécial ; cave ; alimentaire ; plastique
hermétique.a 204 :: définitivement ; parfaitement ; tique ; déjà ; évidemment ; chaudement ; être ; habitude ; vraiment ; complètement
incorrect.a 45 :: actif ; rée ; exploiter ; créatif ; opérationnel ; estimer ; apparent ; humaine ; global ; juger
incorrect.a 125 :: vraiment ; totalement ; mal ; in ; complètement ; super ; parfaitement ; rester ; con ; presque
incorrect.a 132 :: radio ; an ; côté ; mois ; cours ; haut ; également ; second ; juge ; jour
incorrect.a 156 :: juger ; pénal ; judiciaire ; criminel ; rendre ; extrêmement ; hautement ; politique ; militaire ; fort
incorrect.a 159 :: transposition ; application ; interprétation ; pratique ; utilisation ; applicabilité ; législation ; version ; exécution ; traduction
incorrect.a 177 :: aléatoire ; correct ; précis ; erroné ; total ; ridicule ; spécial ; inverse ; contraire ; public
incorrect.a 217 :: intéressant ; inutile ; politiquement ; stupide ; inapproprié ; ici ; utile ; pertinent ; correct ; controversé
incorrect.a 241 :: complètement ; dire ; vraiment ; aire ; totalement ; naître ; habituellement ; parfaitement ; us ; actuellement
incorrect.a 298 :: résultat ; politique ; ci-dessous ; utilisation ; positionnement ; impressionnant ; attention ; conclusion ; ensemble ; conséquence
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; transmettre ; erroné ; saisir ; effacer ; protéger ; donnée ; sensible
intérêt.n 63 :: objectif ; appétit ; élément ; adversaire ; enjeu ; avis ; dessein ; opinion ; rapport ; sentiment
intérêt.n 97 :: ensemble ; endroit ; article ; entier ; assistance ; utilisation ; établissement ; éclairage ; intervention ; extérieur
intérêt.n 129 :: aide ; air ; image ; étroit ; activité ; énergie ; interne ; art ; heureux ; eau
intérêt.n 146 :: or ; art ; ouverture ; image ; ensemble ; aide ; objet ; origine ; usage ; air
intérêt.n 155 :: entreprise ; international ; institution ; participation ; administration ; gouvernement ; université ; législation ; politique ; catégorie
intérêt.n 218 :: intéressant ; avantage ; côté ; attrer ; élément ; faible ; point ; important ; argument ; rapport
intérêt.n 263 :: air ; propre ; cor ; meilleur ; guide ; nouveau ; aide ; min ; clip ; principal
intérêt.n 268 :: or ; aide ; international ; éternel ; usage ; clip ; image ; ensemble ; étrange ; histoire
intérêt.n 271 :: excellent ; étroit ; être ; éventuel ; or ; aimable ; usage ; indispensable ; arrivée ; eau
intérêt.n 297 :: air ; aide ; externe ; art ; international ; or ; étranger ; énergie ; interne ; clip
interpréter.v 18 :: chanter ; principalement ; jouer ; interprétation ; également ; offrir ; ré ; présenter ; ensuite ; tantôt
interpréter.v 21 :: jouer ; chant ; écrire ; arranger ; chanter ; reprendre ; illustrer ; assurer ; exécuter ; incarner
interpréter.v 59 :: expliquer ; comprendre ; inverser ; penser ; analyser ; mal ; voir ; faire ; vraiment ; lire
interpréter.v 80 :: aide ; afghan ; air ; or ; international ; apparemment ; arme ; art ; obliger ; offrir
interpréter.v 123 :: air ; obliger ; international ; aide ; étymologie ; alpha ; ante ; an ; étroit ; in
interpréter.v 128 :: joue ; incarner ; cher ; double ; prendre ; affiche ; assurer ; offrir ; camper ; imaginer
interpréter.v 157 :: recevoir ; traduire ; émettre ; joue ; analyse ; influence ; encaisse ; accueillir ; envoyer ; actif
interpréter.v 260 :: comprendre ; interprétation ; faire ; traduire ; exprimer ; expliquer ; évaluer ; lire ; entendre ; comparer
interpréter.v 267 :: comprendre ; interprétation ; entendre ; considérer ; observer ; lire ; concevoir ; vivre ; prise ; écrire
interpréter.v 289 :: incarner ; imaginer ; jouer ; chanter ; enseigner ; habiter ; interprétation ; dansé ; représenter ; animé
maintenir.v 94 :: soutenir ; assurer ; ajouter ; déclarer ; répéter ; affirmer ; répondre ; souligner ; préciser ; écrire
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; signaler ; mentionner ; identifier ; renseigner ; repérer ; référencer
maintenir.v 154 :: conserver ; mettre ; exercer ; continuer ; garder ; imposer ; tenir ; renforcer ; rappeler ; assurer
maintenir.v 175 :: préserver ; garder ; maintien ; retenir ; conserver ; perpétuer ; demeurer ; favoriser ; dominer ; conforter
maintenir.v 183 :: assurer ; conserver ; préserver ; garder ; entretenir ; garantir ; demeurer ; favoriser ; maintien ; instaurer
maintenir.v 207 :: garder ; maintien ; préserver ; assurer ; rester ; conserver ; demeurer ; faire ; promouvoir ; stabilité
maintenir.v 230 :: tenir ; pouvoir ; compte ; devoir ; compter ; souhaiter ; vouloir ; être ; mieux ; dernier
maintenir.v 234 :: souhaiter ; considérer ; proposer ; estime ; prévoir ; vouloir ; affirmer ; soutenir ; rappeler ; demande
maintenir.v 251 :: réitérer ; réaffirmer ; tenir ; renouveler ; répéter ; confirmer ; conserve ; poursuivre ; continuer ; reprendre
maintenir.v 281 :: groupe ; live ; pari ; monde ; héritage ; international ; conseil ; sénat ; horizon ; force
mince.a 17 :: fin ; épais ; haut ; réduit ; faible ; petit ; fort ; léger ; avancer ; large
mince.a 96 :: fin ; épais ; régulier ; lisse ; léger ; sec ; moyen ; grossier ; continuer ; supérieur
mince.a 147 :: fin ; lisse ; presque ; léger ; simple ; également ; extrêmement ; vraiment ; pourtant ; ordinaire
mince.a 170 :: caractère ; légèrement ; fin ; léger ; feuille ; vraiment ; principalement ; possiblement ; petit ; simple
mince.a 192 :: papier ; léger ; petit ; vêtement ; tissu ; lien ; finement ; fibre ; câble ; épais
mince.a 202 :: fin ; double ; épais ; petit ; nouveau ; léger ; large ; dernier ; fort ; grand
mince.a 213 :: indice ; caractère ; petit ; point ; chiffre ; nombre ; presque ; pièce ; légèrement ; feuillet
mince.a 225 :: agréable ; rapport ; compromettre ; doute ; intérêt ; entraînement ; qualité ; livre ; tirage ; peut-être
mince.a 242 :: fin ; vraiment ; maigre ; presque ; étroit ; bel ; serrer ; peut-être ; fort ; petit
mince.a 292 :: épais ; fin ; tendre ; lisse ; flexible ; écran ; imperméable ; souple ; textile ; continuer
modeste.a 29 :: petit ; minuscule ; minime ; dérisoire ; humble ; pauvre ; coin ; logement ; minable ; misérable
modeste.a 114 :: humble ; bon ; honnête ; pauvre ; petit ; ridicule ; digne ; malheureux ; triste ; discret
modeste.a 121 :: minime ; faible ; important ; infime ; significatif ; maigre ; réduire ; petit ; limité ; dérisoire
modeste.a 163 :: limité ; minime ; petit ; spectaculaire ; léger ; personnel ; significatif ; récent ; mesurer ; important
modeste.a 195 :: limité ; faible ; élevé ; important ; diversifier ; minime ; considérable ; réduire ; conséquent ; médiocre
modeste.a 197 :: légèrement ; revenu ; être ; largement ; également ; demeurer ; pourtant ; nettement ; déjà ; actuellement
modeste.a 200 :: politique ; gouvernement ; populaire ; canada ; budget ; prudent ; brésil ; disponible ; bref ; nécessaire
modeste.a 246 :: élevé ; faible ; important ; économique ; inférieur ; léger ; petit ; élémentaire ; général ; modérer
modeste.a 269 :: humble ; digne ; petit ; jeune ; pauvre ; misérable ; bon ; médiocre ; honnête ; maigre
modeste.a 283 :: humble ; timide ; discret ; pauvre ; poli ; modestie ; petit ; généreux ; prudent ; faible
montée.n 15 :: côte ; droite ; faveur ; spirale ; courbe ; progression ; vie ; société ; rue ; chaîne
montée.n 56 :: partie ; pente ; dernier ; montagne ; majorité ; ligne ; vallée ; hauteur ; construction ; chute
montée.n 75 :: descente ; ascension ; suite ; visite ; chute ; monte ; balade ; terrasse ; promenade ; façade
montée.n 138 :: hausse ; progression ; performance ; évolution ; gestion ; technologie ; croissance ; constant ; vie ; poussée
montée.n 141 :: courbe ; monte ; descente ; hausse ; poussée ; chute ; progression ; dérive ; tendance ; prise
montée.n 153 :: pente ; descente ; chute ; douleur ; vie ; route ; côte ; tâche ; suite ; traverser
