affection.n 8 :: dernier ; maladie ; occasion ; association ; affectation ; adresse ; opération ; disposition ; nouveau ; espèce
commander.v 9 :: commander ; commencer ; vous ; ligne ; choisir ; dé ; facilement ; simplement ; gratuitement ; acheter
commander.v 16 :: diriger ; ordonner ; commanda ; soutenir ; consigne ; prendre ; recevoir ; mener ; lancer ; combat
commander.v 41 :: effectuer ; diriger ; créer ; montre ; réaliser ; exécuter ; ordonner ; commencer ; assurer ; commande
commander.v 48 :: diriger ; contrôlent ; régir ; gouverner ; déterminer ; mener ; gérer ; créer ; dominer ; organiser
commander.v 117 :: commande ; devoir ; droit ; commandement ; nécessaire ; rigueur ; dieu ; ordre ; nécessité ; auparavant
commander.v 164 :: donne ; dicter ; militaire ; commandant ; bon ; musique ; armée ; compagnie ; haut ; lancer
commander.v 171 :: commande ; déjà ; faire ; passer ; également ; régulièrement ; venir ; acheter ; commandant ; recevoir
commander.v 206 :: prévoir ; tandis ; assurer ; servir ; permettre ; donner ; venir ; rappeler ; vouloir ; veille
commander.v 240 :: également ; uniquement ; commande ; faire ; personnaliser ; régler ; modifier ; voire ; payer ; passer
compris.a 52 :: accepter ; enseigner ; assimiler ; partager ; étudier ; interpréter ; maîtriser ; vivre ; prise ; retenir
compris.a 90 :: penser ; falloir ; croire ; assurer ; trouver ; savoir ; entendre ; sentir ; apprendre ; réaliser
compris.a 106 :: deviner ; entendre ; penser ; vous ; vivre ; croire ; expliquer ; vouloir ; sentir ; déjà
compris.a 185 :: inclure ; incorporer ; présent ; contenir ; entendre ; inclus ; mentionner ; inscrire ; situer ; survenir
compris.a 186 :: inclure ; situer ; présent ; rester ; mort ; déjà ; partout ; donner ; excellent ; oublier
compris.a 187 :: inclure ; répartir ; situer ; varier ; évaluer ; estimer ; définir ; enseigner ; prendre ; compter
compris.a 211 :: situer ; inclus ; principalement ; varier ; contenir ; mutuel ; partager ; plongée ; minimum ; proche
compris.a 232 :: inclure ; prendre ; compter ; contenu ; intégré ; reprendre ; également ; cal ; peser ; comprendre
compris.a 272 :: penser ; saisir ; croire ; savoir ; réaliser ; apprendre ; capter ; entendre ; cacher ; comprendre
compris.a 287 :: intégré ; saisir ; assimiler ; apprendre ; comprendre ; reconnaître ; adopter ; capter ; repérer ; apprécier
couverture.n 65 :: dernier ; rédaction ; page ; moitié ; manchette ; dossier ; sommaire ; totalité ; actualité ; semaine
couverture.n 67 :: vie ; peau ; carrière ; réputation ; survie ; veste ; route ; mort ; chance ; journée
couverture.n 72 :: housse ; sol ; siège ; terrasse ; photo ; base ; peau ; matière ; pochette ; sac
couverture.n 143 :: illustration ; manchette ; page ; éditorial ; couvrir ; sommaire ; case ; tête ; conclusion ; bon
couverture.n 149 :: protection ; sécurité ; couvert ; responsabilité ; défense ; assurance ; garantie ; vie ; carte ; surveillance
couverture.n 150 :: toiture ; couvrir ; toit ; tuile ; ardoise ; charpente ; pierre ; complet ; présente ; rénovation
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; disponibilité ; sécurité ; conquête ; transmission ; gestion
couverture.n 257 :: toiture ; base ; construction ; fondation ; protection ; finition ; sol ; charpente ; surface ; couvert
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; bâche ; tapisserie ; banquette ; voil ; couette ; protection
couverture.n 280 :: peau ; couette ; lumière ; corde ; lune ; toiture ; chaleur ; neige ; véranda ; forêt
débit.n 64 :: continu ; banque ; solde ; retrait ; automatique ; crédit ; dépôt ; permettre ; autoriser ; franc
débit.n 87 :: flux ; accès ; taux ; transfert ; choix ; niveau ; cours ; minimum ; haut ; chargement
débit.n 115 :: niveau ; flux ; rythme ; cours ; volume ; flot ; bassin ; poids ; nombre ; régime
débit.n 131 :: eau ; vin ; niveau ; lit ; cours ; chambre ; lac ; produit ; chute ; courant
débit.n 136 :: cours ; eau ; rive ; flux ; niveau ; apport ; berge ; affluent ; crue ; effectif
débit.n 168 :: réel ; mensuel ; total ; quotidien ; journalier ; flux ; rapide ; autoriser ; montant ; capacité
débit.n 169 :: montant ; cours ; résultat ; traitement ; compte ; financement ; niveau ; prix ; poids ; total
débit.n 184 :: score ; rythme ; taux ; rendement ; chiffre ; intérêt ; vitesse ; prix ; poids ; ratio
débit.n 188 :: apport ; flux ; niveau ; rendement ; effectif ; coefficient ; berge ; rive ; volume ; rejet
débit.n 205 :: rythme ; flux ; caractère ; tempo ; mode ; style ; canal ; trafic ; fonctionnement ; temps
direction.n 78 :: conduite ; responsabilité ; houlette ; coordination ; présidence ; baguette ; directrice ; diriger ; discipline ; surveillance
direction.n 111 :: directeur ; directrice ; général ; management ; diriger ; présidence ; supérieur ; responsabilité ; contrôle ; gestion
direction.n 151 :: présidence ; directrice ; fédération ; hiérarchie ; fondation ; président ; division ; directeur ; coordination ; délégation
direction.n 152 :: ligne ; orientation ; droite ; axe ; sens ; descente ; perpendiculaire ; optique ; courbure ; constant
direction.n 172 :: peut-être ; rejoindre ; sûrement ; destination ; voir ; presque ; finalement ; forcément ; aller ; vivement
direction.n 176 :: conduite ; vitesse ; performance ; virage ; position ; comportement ; trajectoire ; régime ; priorité ; forme
direction.n 199 :: présidence ; rédaction ; majorité ; fédération ; commission ; presse ; droite ; famille ; population ; tête
direction.n 223 :: nouveau ; musical ; bon ; directrice ; haut ; sacrer ; constant ; diriger ; magnifique ; directeur
direction.n 262 :: responsabilité ; présidence ; directrice ; charge ; main ; maîtrise ; gestion ; directeur ; conduite ; tête
direction.n 279 :: destination ; provenance ; sens ; raison ; face ; partir ; province ; région ; faveur ; voie
don.n 19 :: sens ; talent ; souci ; pouvoir ; style ; génie ; temps ; doué ; angle ; plaisir
don.n 30 :: petit ; jeune ; plein ; être ; propre ; vrai ; pur ; personne ; bon ; tas
don.n 36 :: talent ; cadeau ; sens ; pouvoir ; côté ; génie ; droit ; signe ; ministère ; bon
don.n 60 :: cadeau ; bon ; échange ; prêt ; ami ; produit ; apport ; offrir ; projet ; résultat
don.n 84 :: apport ; contribution ; produit ; investissement ; déchet ; fonds ; loyer ; cadeau ; animal ; bénéficiaire
don.n 107 :: cadeau ; part ; présent ; grâce ; preuve ; parvenir ; offrir ; signe ; face ; sacrifice
don.n 130 :: enfant ; fonds ; contribution ; généreux ; cadeau ; legs ; parent ; citoyen ; témoignage ; dépôt
don.n 196 :: pouvoir ; talent ; mérite ; vertu ; génie ; secret ; chic ; moyen ; temps ; truc
don.n 244 :: cadeau ; mécénat ; soutien ; bénévolat ; legs ; bon ; déchet ; parrainage ; travail ; partage
don.n 245 :: travail ; nom ; site ; tombeau ; ouvrage ; reste ; rôle ; témoignage ; cas ; talent
entraîner.v 39 :: art ; air ; aide ; international ; or ; arme ; afghan ; immigré ; italien ; iranien
entraîner.v 47 :: engager ; également ; obliger ; aider ; naturellement ; fortement ; amener ; conduire ; progressivement ; nécessairement
entraîner.v 55 :: international ; air ; externe ; alpha ; étroit ; incessant ; effectif ; apercevoir ; afghan ; obsolescence
entraîner.v 57 :: externe ; ensemble ; euro ; efficace ; américain ; atlas ; allemand ; interne ; groupe ; entreprise
entraîner.v 133 :: ancien ; air ; animal ; aide ; image ; international ; art ; ensemble ; étranger ; or
entraîner.v 140 :: mener ; amener ; conduire ; envoyer ; pousser ; attirer ; emmener ; emporter ; conduite ; aller
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; encourager ; force ; exhorter ; inciter ; amener ; inviter
entraîner.v 161 :: provoquer ; éviter ; engendrer ; induire ; conduire ; amener ; apparaître ; produire ; expliquer ; créer
entraîner.v 162 :: amener ; engendrer ; provoquer ; encourager ; conduire ; déclenche ; actif ; assurer ; favoriser ; développer
entraîner.v 191 :: emporter ; conduire ; précipiter ; attirer ; amener ; engager ; emmener ; envoyer ; jeter ; traîner
éplucher.v 10 :: peler ; soigneusement ; finement ; laver ; nettoyer ; ensuite ; détailler ; également ; préparer ; tailler
éplucher.v 51 :: an ; eau ; terre ; bois ; avoir ; os ; ré ; er ; té ; fruit
éplucher.v 69 :: faire ; soigneusement ; rapidement ; systématiquement ; minutieusement ; facilement ; fouiller ; vite ; lire ; devoir
éplucher.v 100 :: éplucher ; finement ; oignon ; trancher ; consommer ; couper ; presser ; récolter ; peler ; mûr
éplucher.v 119 :: fouillé ; parcourir ; regarder ; éplucher ; chercher ; croiser ; survoler ; lire ; peser ; bon
éplucher.v 167 :: laver ; feuille ; récolter ; arbre ; fruit ; choisir ; observer ; regarder ; plante ; noter
éplucher.v 174 :: regarder ; consulter ; lire ; également ; ensuite ; supprimer ; voir ; analyser ; vérifier ; découvrir
éplucher.v 235 :: peler ; tailler ; égoutter ; préparer ; couper ; pomme ; enlever ; garder ; nettoyer ; carotte
éplucher.v 236 :: aller ; récolter ; chercher ; collecter ; devoir ; vraiment ; forcément ; filer ; bon ; donner
éplucher.v 258 :: peler ; faire ; oignon ; cuire ; laver ; oeil ; laisser ; ensuite ; regarder ; chair
espace.n 13 :: or ; lorsqu ; ensemble ; in ; ion ; énergie ; aide ; article ; origine ; international
espace.n 27 :: air ; eau ; art ; immigré ; antique ; ancien ; aide ; image ; énergie ; éternel
espace.n 79 :: zone ; environnement ; lieu ; ensemble ; support ; outil ; temps ; expérience ; dimension ; aire
espace.n 120 :: air ; article ; apercevoir ; étroit ; ancien ; avoir ; interne ; externe ; avantage ; aide
espace.n 137 :: environnement ; marché ; investissement ; emploi ; instrument ; information ; domaine ; entreprise ; enseignement ; avantage
espace.n 142 :: air ; art ; eau ; étroit ; international ; audiovisuelle ; interne ; usage ; image ; or
espace.n 180 :: territoire ; imaginaire ; partage ; ancien ; lien ; futur ; présent ; arbre ; famille ; lignée
espace.n 208 :: ancien ; excellent ; innombrable ; énorme ; euro ; heure ; important ; instrument ; immense ; étroit
espace.n 229 :: événement ; propre ; investissement ; talent ; produit ; atout ; aménagement ; développement ; projet ; petit
espace.n 243 :: coin ; ensemble ; article ; temps ; intervalle ; accès ; ligne ; domaine ; mode ; droit
essuyer.v 11 :: essuyer ; laver ; rincer ; faire ; couvrir ; remplir ; ouvrir ; fermer ; désinfection ; passer
essuyer.v 58 :: subir ; rencontrer ; finalement ; déjà ; pourtant ; essuie ; peut-être ; malheureusement ; face ; également
essuyer.v 77 :: eau ; ch ; oui ; an ; savoir ; in ; men ; solution ; li ; ministre
essuyer.v 81 :: essuie ; lav ; laver ; avoir ; faire ; être ; falloir ; ensuite ; encre ; enlever
essuyer.v 86 :: laisse ; recevoir ; continuer ; assurer ; devoir ; arriver ; passer ; répondre ; ligne ; group
essuyer.v 89 :: jamais ; revers ; malheureusement ; déjà ; peut-être ; récemment ; définitivement ; pierre ; face ; durement
essuyer.v 98 :: faire ; recevoir ; encaisser ; subir ; voir ; prendre ; souffrir ; gagner ; perdre ; rencontrer
essuyer.v 166 :: sécher ; pépin ; noyau ; baie ; main ; peler ; éplucher ; feuille ; graine ; consommer
essuyer.v 215 :: subir ; recevoir ; souffrir ; essuie ; faire ; revers ; devoir ; refuser ; finalement ; lire
essuyer.v 266 :: soigneusement ; ensuite ; côté ; essuie ; délicatement ; laver ; laisser ; avoir ; linge ; enlever
faucher.v 12 :: presque ; vie ; briser ; dernier ; malheureusement ; peut-être ; beauté ; bientôt ; terre ; honneur
faucher.v 42 :: mieux ; vraiment ; finalement ; déjà ; également ; révéler ; dévoiler ; peut-être ; davantage ; parfaitement
faucher.v 116 :: semer ; abattre ; dévaster ; détruire ; ravager ; hacher ; donner ; labour ; planter ; travailler
faucher.v 160 :: malheureux ; faire ; séparer ; coûter ; mettre ; pari ; frappe ; tombe ; amoureux ; détruire
faucher.v 214 :: presque ; acheter ; extrêmement ; faire ; mieux ; travailler ; payer ; vraiment ; tirer ; coûter
faucher.v 239 :: presque ; mise ; donne ; acheter ; déjà ; tombe ; être ; jamais ; jeter ; prise
faucher.v 248 :: meurtre ; homicide ; dernier ; mort ; famille ; pierre ; voiture ; tombe ; crime ; assassinat
faucher.v 276 :: couper ; abattre ; semer ; piquer ; tailler ; cultiver ; planter ; cueillir ; récolter ; échanger
faucher.v 282 :: remplacer ; centre ; marque ; prolonger ; cadre ; passeur ; éliminer ; piqu ; paie ; passer
faucher.v 290 :: blesser ; tuer ; abattre ; grièvement ; briser ; porter ; gravement ; assassiner ; détruire ; servir
fonder.v 6 :: fondre ; créer ; diriger ; former ; forme ; organiser ; établir ; préside ; bâtir ; être
fonder.v 7 :: cadre ; conditionne ; porte ; traverser ; constituer ; force ; définir ; forme ; base ; limite
fonder.v 54 :: base ; construire ; trouver ; assurer ; appuyer ; gagner ; tire ; repose ; bâtir ; ancre
fonder.v 66 :: créer ; ferme ; diriger ; commencer ; rejoindre ; débuter ; installer ; forge ; retrouver ; développer
fonder.v 88 :: formule ; forme ; direction ; ferme ; intégrer ; rejoindre ; installer ; joindre ; développer ; créer
fonder.v 93 :: définir ; constituer ; traverser ; caractériser ; forme ; force ; conditionne ; appuyer ; marque ; valide
fonder.v 158 :: base ; forge ; bâtir ; repose ; fond ; focaliser ; appuyer ; dessiner ; fixe ; cheval
fonder.v 212 :: former ; créer ; faire ; établir ; fabriquer ; organiser ; contracter ; développer ; fondre ; instaurer
fonder.v 264 :: motiver ; définir ; traverser ; force ; forme ; vraiment ; nourrir ; anime ; limite ; marque
fonder.v 286 :: forme ; fabrique ; forge ; développer ; réunir ; compte ; créer ; rassembler ; ouvrir ; diriger
grossier.a 24 :: presque ; courant ; simple ; fin ; faire ; évident ; également ; facile ; criminel ; autant
grossier.a 37 :: utiliser ; jeu ; procédé ; usage ; abuser ; manipulateur ; avancer ; fin ; technique ; habile
grossier.a 85 :: vulgaire ; lâche ; timide ; coller ; hypocrite ; arrogant ; poli ; pervers ; scolaire ; vicieux
grossier.a 108 :: fin ; calcaire ; primitif ; naturel ; indigène ; brut ; riche ; pauvre ; humide ; hétérogène
grossier.a 134 :: léger ; flagrant ; évident ; grand ; gros ; lourd ; clair ; bel ; complet ; cruel
grossier.a 179 :: tentative ; opération ; attaque ; manoeuvre ; nouveau ; action ; stratégie ; entreprise ; accusation ; campagne
grossier.a 227 :: vulgaire ; sale ; abusif ; langage ; limite ; vulgarité ; insulte ; caractère ; système ; usage
grossier.a 228 :: vulgaire ; fois ; bleu ; peut-être ; ici ; enfant ; harper ; doux ; sûr ; hollande
grossier.a 231 :: léger ; faute ; fin ; lourd ; erreur ; pur ; passer ; innocent ; plaisanterie ; noir
grossier.a 300 :: stupide ; coupable ; semblable ; indigne ; commune ; corporel ; criminel ; faire ; noir ; meurtrier
hermétique.a 203 :: obscur ; inquiétant ; opaque ; problématique ; mystérieux ; confidentiel ; partiel ; intéressant ; utile ; relatif
hermétique.a 71 :: mystérieux ; opaque ; étanche ; fermer ; effrayant ; secret ; obscur ; confidentiel ; étrange ; énigmatique
hermétique.a 99 :: fermer ; entier ; sceller ; plastique ; alimentaire ; individuel ; congélation ; étanche ; humide ; métallique
hermétique.a 126 :: insensible ; allergique ; opposer ; étanche ; réfractaire ; imperméable ; fermer ; sensible ; dépendre ; perméable
hermétique.a 127 :: religieux ; mystique ; étanche ; fermé ; spirituel ; chimique ; occulte ; dogmatique ; théologique ; magique
hermétique.a 220 :: presque ; quasi ; clore ; parfaitement ; purement ; rester ; vide ; clos ; poli ; totalement
hermétique.a 226 :: sensible ; insensible ; étanche ; face ; attentif ; fermer ; imperméable ; immobile ; entier ; perméable
hermétique.a 261 :: presque ; étanche ; magique ; secret ; mécanique ; pourtant ; éloquer ; opaque ; serrer ; relatif
hermétique.a 278 :: alimentaire ; solide ; blanc ; étanche ; presque ; soigneusement ; interne ; plastique ; chimique ; secret
hermétique.a 204 :: obscur ; rester ; opaque ; priori ; confidentiel ; technique ; flou ; problématique ; inquiétant ; clos
incorrect.a 45 :: complètement ; actuellement ; humaine ; historiquement ; vraiment ; adaptable ; ordinaire ; estimer ; ante ; naître
incorrect.a 125 :: in ; ré ; super ; appeler ; bel ; juger ; numéro ; état ; con ; question
incorrect.a 132 :: radio ; an ; côté ; mois ; également ; cours ; mal ; second ; hier ; déjà
incorrect.a 156 :: juger ; in ; normal ; devoir ; humaine ; appeler ; vraiment ; politique ; avérer ; criminel
incorrect.a 159 :: utilisation ; qualité ; conformité ; activité ; application ; caractère ; produit ; information ; situation ; pratique
incorrect.a 177 :: précis ; prédéterminer ; public ; déterminer ; aléatoire ; donner ; correct ; inverse ; serrer ; supérieur
incorrect.a 217 :: correct ; inutile ; politiquement ; ici ; inapproprié ; stupide ; pertinent ; bon ; erroné ; superflu
incorrect.a 241 :: forme ; us ; devoir ; ale ; rée ; temporel ; are ; naître ; également ; savoir
incorrect.a 298 :: correct ; vrai ; dangereux ; efficace ; bon ; impressionnant ; évident ; difficile ; maladroit ; intéressant
incorrect.a 299 :: personnel ; confidentiel ; saisir ; erroné ; bancaire ; donnée ; transmettre ; effacer ; électronique ; opérationnel
intérêt.n 63 :: avis ; principe ; opinion ; point ; impératif ; rapport ; sentiment ; considération ; argument ; avantage
intérêt.n 97 :: ensemble ; international ; entier ; article ; irremplaçable ; utilisateur ; installation ; audiovisuelle ; organisation ; institution
intérêt.n 129 :: air ; international ; étroit ; étymologie ; aide ; art ; éternel ; effectif ; actuel ; heureux
intérêt.n 146 :: or ; aide ; art ; image ; air ; évolution ; emploi ; eau ; étymologie ; ensemble
intérêt.n 155 :: article ; utilisateur ; entreprise ; international ; énergie ; information ; appareil ; effectif ; audit ; audiovisuel
intérêt.n 218 :: intéressant ; avantage ; côté ; attrer ; point ; utilité ; sens ; bénéfice ; enjeu ; faible
intérêt.n 263 :: alpha ; air ; étymologie ; incessant ; étroit ; min ; adjectif ; effectif ; cor ; irlandais
intérêt.n 268 :: ensemble ; origine ; air ; or ; éternel ; international ; évolution ; aide ; user ; actuel
intérêt.n 271 :: être ; origine ; ensemble ; histoire ; antique ; exemple ; os ; environnement ; alpha ; extérieur
intérêt.n 297 :: air ; étymologie ; adjectif ; alpha ; apercevoir ; art ; international ; étroit ; indien ; usage
interpréter.v 18 :: ensuite ; également ; principalement ; tantôt ; ici ; ré ; essentiellement ; an ; pays ; ci-dessous
interpréter.v 21 :: adapter ; enregistrer ; arranger ; illustrer ; publier ; écrire ; reprendre ; jouer ; imaginer ; diffuser
interpréter.v 59 :: inverser ; expliquer ; mal ; analyser ; comprendre ; mieux ; finement ; clairement ; penser ; voir
interpréter.v 80 :: aide ; international ; effet ; accueil ; obliger ; origine ; aller ; art ; expédier ; or
interpréter.v 123 :: aide ; air ; art ; étroit ; or ; effectif ; eau ; illustre ; excellent ; international
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; assurer ; double ; camper ; offrir ; écrire ; rôle
interpréter.v 157 :: traduire ; illustre ; écrire ; exprimer ; incarner ; analyse ; signe ; joue ; amplifier ; sublime
interpréter.v 260 :: interprétation ; analyser ; comprendre ; décrypter ; apprécier ; traduire ; traiter ; expliquer ; décoder ; ensuite
interpréter.v 267 :: comprendre ; interprétation ; aimer ; recevoir ; entendre ; écrire ; vivre ; présenter ; attribuer ; accueillir
interpréter.v 289 :: incarner ; admirablement ; jouer ; magnifiquement ; porter ; chanter ; parfaitement ; plastique ; habiter ; tenir
maintenir.v 94 :: soutenir ; ajouter ; préciser ; noter ; affirmer ; déclarer ; souligner ; rappeler ; indiquer ; écrire
maintenir.v 113 :: présent ; visible ; inscrire ; mentionner ; enregistrer ; référencer ; signaler ; renseigner ; disponible ; identifier
maintenir.v 154 :: garder ; renforcer ; exercer ; confirmer ; mettre ; conserver ; demeurer ; augmenter ; manifester ; continuer
maintenir.v 175 :: préserver ; garder ; demeurer ; conserver ; maintien ; retenir ; divertir ; perpétuer ; conforter ; mettre
maintenir.v 183 :: garder ; préserver ; conserver ; entretenir ; instaurer ; garantir ; favoriser ; assurer ; maintien ; créer
maintenir.v 207 :: préserver ; garder ; demeurer ; conserver ; rester ; maintien ; vivre ; durer ; entretenir ; assurer
maintenir.v 230 :: tenir ; pouvoir ; hollande ; garder ; dernier ; présent ; mieux ; être ; devoir ; bon
maintenir.v 234 :: considérer ; souhaiter ; réaffirmer ; soutenir ; vouloir ; affirmer ; estime ; prévoir ; rappeler ; confirmer
maintenir.v 251 :: réitérer ; tenir ; répéter ; réaffirmer ; conserve ; confirmer ; reprendre ; poursuivre ; renouveler ; soutenir
maintenir.v 281 :: compte ; tenir ; dernier ; gage ; ajouter ; également ; bref ; place ; dire ; falloir
mince.a 17 :: épais ; maigre ; modèle ; légèrement ; presque ; déjà ; peut-être ; gris ; mesure ; fin
mince.a 96 :: fin ; régulier ; léger ; épais ; fixe ; sec ; continuer ; intime ; critique ; fort
mince.a 147 :: maigre ; presque ; somme ; chose ; bel ; léger ; nul ; affaire ; partie ; résultat
mince.a 170 :: petit ; épais ; serrer ; plat ; fort ; élastique ; faible ; énorme ; étroit ; nerveux
mince.a 192 :: dent ; fin ; légèrement ; doigt ; lamelle ; feuille ; membre ; bras ; bord ; finement
mince.a 202 :: fin ; petit ; léger ; nouveau ; dernier ; épais ; gros ; infime ; grossier ; simple
mince.a 213 :: maigre ; faible ; minime ; riche ; léger ; petit ; sommaire ; simple ; limité ; réduire
mince.a 225 :: der ; question ; idée ; goût ; sujet ; port ; droit ; point ; ordinaire ; exploit
mince.a 242 :: fin ; franchir ; poreux ; étroit ; sensible ; épaisseur ; petit ; clair ; simple ; fragile
mince.a 292 :: fin ; épais ; film ; intermédiaire ; supérieur ; isolant ; épaisseur ; léger ; écran ; transparent
modeste.a 29 :: petit ; minuscule ; paisible ; humble ; dérisoire ; modique ; minime ; vaste ; grand ; minable
modeste.a 114 :: humble ; discret ; pauvre ; petit ; pourtant ; bon ; généreux ; muet ; utile ; fidèle
modeste.a 121 :: faible ; minime ; modérer ; important ; commercial ; mesurer ; personnel ; discret ; considérable ; réduire
modeste.a 163 :: petit ; minime ; limité ; léger ; personnel ; important ; nécessaire ; faible ; médiocre ; volée
modeste.a 195 :: être ; demeurer ; montant ; chiffre ; familial ; misérable ; légèrement ; mensuel ; petit ; pièce
modeste.a 197 :: aisé ; travailler ; revenu ; également ; petit ; familial ; vivre ; famille ; pourtant ; retraiter
modeste.a 200 :: limité ; sommaire ; léger ; réduire ; temps ; faible ; simple ; ici ; prudent ; restreindre
modeste.a 246 :: élevé ; important ; inférieur ; politique ; médiocre ; économique ; relatif ; marchand ; misérable ; intermédiaire
modeste.a 269 :: humble ; petit ; jeune ; digne ; pauvre ; misérable ; simple ; bon ; noble ; honnête
modeste.a 283 :: humble ; digne ; bel ; timide ; touchant ; simple ; sincère ; tendre ; discret ; magnifique
montée.n 15 :: courbe ; poussée ; côte ; victoire ; pente ; descente ; réalité ; réduction ; conversion ; tendance
montée.n 56 :: descente ; échelle ; montagne ; hauteur ; augmentation ; partie ; hausse ; progression ; pente ; vallée
montée.n 75 :: descente ; balade ; monte ; terrasse ; suite ; finale ; dernier ; promenade ; manifestation ; promotion
montée.n 138 :: gestion ; hausse ; performance ; évolution ; croissance ; complexité ; capacité ; puissance ; force ; charge
