affection.n 8 :: affectation ; disposition ; ambition ; considération ; maladie ; occasion ; dernier ; admiration ; extrémité ; tendresse
faucher.v 239 :: acheter ; servir ; entamer ; coûter ; donne ; jamais ; jeter ; cassé ; trouver ; presque
faucher.v 248 :: dernier ; famille ; fondation ; commission ; professionnel ; catégorie ; déclaration ; clinique ; compagnie ; classification
faucher.v 276 :: semer ; abattre ; couper ; planter ; cueillir ; récolter ; arracher ; greffer ; piquer ; faire
faucher.v 282 :: remplacer ; trouver ; laisse ; falloir ; cale ; marque ; préférer ; cherche ; tromp ; éliminer
faucher.v 290 :: tuer ; abattre ; grièvement ; blesser ; gravement ; trouver ; sauvagement ; retrouver ; assassiner ; lâche
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; tenir ; bâtir ; développer ; faire ; ouvrir
fonder.v 7 :: sous-tendre ; conditionne ; porte ; motiver ; constituer ; force ; base ; justifier ; appuyer ; légitime
fonder.v 54 :: base ; force ; repose ; marque ; appuyer ; trouver ; bâtir ; solide ; fondamental ; construire
fonder.v 66 :: créer ; ferme ; quitte ; rejoindre ; diriger ; installer ; développer ; débuter ; dépose ; forme
fonder.v 88 :: intégrer ; forme ; rejoindre ; commencer ; finance ; créer ; diriger ; formule ; développer ; quitte
fonder.v 93 :: traverser ; force ; forme ; base ; conditionne ; assurer ; valide ; influence ; appuyer ; constituer
fonder.v 158 :: base ; repose ; fond ; bâtir ; appuyer ; forge ; focaliser ; joue ; fonctionner ; cale
fonder.v 212 :: former ; fondre ; créer ; fabriquer ; constituer ; faire ; bâtir ; contracter ; fondation ; monter
fonder.v 264 :: motiver ; valide ; forme ; constituer ; définir ; force ; traverser ; bâtir ; vraiment ; marque
fonder.v 286 :: fabrique ; forge ; compte ; créer ; réunir ; ferme ; fond ; diriger ; forme ; force
grossier.a 24 :: flagrant ; évident ; stupide ; valable ; courant ; scandaleux ; grotesque ; ridicule ; complet ; absurde
grossier.a 37 :: subtil ; sophistiquer ; avancer ; fin ; complexe ; habile ; profond ; simple ; exact ; raffiné
grossier.a 85 :: vicieux ; pervers ; violent ; autoritaire ; vulgaire ; susceptible ; enfantin ; dangereux ; hypocrite ; poli
grossier.a 108 :: objet ; caractère ; gros ; exemple ; animal ; vulgaire ; pauvre ; trait ; humain ; menu
grossier.a 134 :: fort ; flagrant ; subtil ; grand ; simpliste ; sérieux ; haut ; gros ; évident ; léger
grossier.a 179 :: exploitation ; profond ; présomption ; évident ; petit ; gros ; mauvais ; flagrant ; dernier ; intention
grossier.a 227 :: agressif ; arrogant ; vulgaire ; excessif ; prétentieux ; superficiel ; poli ; maladroit ; ridicule ; hypocrite
grossier.a 228 :: témoignage ; positif ; billet ; compte ; sens ; commentaire ; papier ; médical ; avis ; policier
grossier.a 231 :: matériel ; coupable ; vulgaire ; égoïste ; humain ; misérable ; quotidien ; commune ; moral ; social
grossier.a 300 :: vocal ; stupide ; commune ; féroce ; patriotique ; répéter ; personnel ; noir ; sauvage ; local
hermétique.a 203 :: opaque ; magique ; mystérieux ; extrêmement ; théologique ; mystérieusement ; étancher ; étrangement ; piège ; arcane
hermétique.a 71 :: mystérieux ; effrayant ; énigmatique ; étrange ; inquiétant ; magique ; paradoxal ; étanche ; opaque ; expérimental
hermétique.a 99 :: fermer ; sceller ; plastique ; entier ; congélation ; individuel ; alimentaire ; transparent ; propre ; vide
hermétique.a 126 :: sensible ; insensible ; imperméable ; réfractaire ; étanche ; sourd ; fermer ; allergique ; septique ; former
hermétique.a 127 :: élitiste ; académique ; philosophique ; magique ; religieux ; universitaire ; inaccessible ; mystique ; maçonnique ; étrange
hermétique.a 220 :: fermer ; opaque ; garder ; rester ; froid ; forcément ; obscur ; rigide ; clos ; extrêmement
hermétique.a 226 :: réfractaire ; fermer ; hostile ; imperméable ; sensible ; allergique ; insensible ; acquérir ; attentif ; confronter
hermétique.a 261 :: explicite ; éloquer ; magique ; incompréhensible ; vague ; ridicule ; sec ; efficace ; convenir ; simpliste
hermétique.a 278 :: plastique ; fermé ; blanc ; interne ; étanche ; chimique ; noir ; secret ; solide ; close
hermétique.a 204 :: mystère ; opaque ; mystérieux ; secret ; inconnu ; obscur ; énigme ; demeurer ; peut-être ; porte
incorrect.a 45 :: créatif ; opérationnel ; évaluation ; actif ; global ; général ; utile ; humaine ; der ; con
incorrect.a 125 :: con ; appeler ; complètement ; in ; déjà ; devenir ; bel ; mal ; visiblement ; étrangement
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; cours ; second ; jour ; cas ; miss
incorrect.a 156 :: criminel ; judiciaire ; humaine ; juger ; devenir ; également ; politique ; apparemment ; vraiment ; extrêmement
incorrect.a 159 :: utilisation ; programme ; pratique ; activité ; marché ; résultat ; application ; production ; professionnel ; participation
incorrect.a 177 :: précis ; total ; correct ; erroné ; arbitraire ; aléatoire ; important ; donner ; entier ; réel
incorrect.a 217 :: stupide ; ici ; inutile ; sujet ; correct ; sensible ; intéressant ; politiquement ; pertinent ; approprié
incorrect.a 241 :: us ; naître ; dire ; temporel ; forme ; complètement ; lité ; socialement ; devoir ; dation
incorrect.a 298 :: décevant ; vrai ; injuste ; maladroit ; regrettable ; ridicule ; malheureux ; incomplet ; évident ; surprenant
incorrect.a 299 :: personnel ; confidentiel ; donnée ; information ; bancaire ; identifiabler ; important ; électronique ; transmettre ; opérationnel
intérêt.n 63 :: élément ; avis ; opinion ; objectif ; caractère ; camp ; point ; projet ; argument ; idée
intérêt.n 97 :: ensemble ; article ; entier ; institution ; entreprise ; utilisateur ; église ; administration ; environnement ; international
intérêt.n 129 :: nouveau ; appareil ; approche ; véritable ; aimer ; heureux ; effectif ; ferme ; or ; mental
intérêt.n 146 :: or ; art ; ouverture ; image ; emploi ; ensemble ; actuel ; âge ; aide ; entreprise
intérêt.n 155 :: article ; espace ; international ; état ; avenir ; entreprise ; évolution ; enseignement ; école ; an
intérêt.n 218 :: avantage ; intéressant ; atout ; attrer ; côté ; enseignement ; inconvénient ; utilité ; importance ; important
intérêt.n 263 :: aide ; efficace ; or ; international ; eau ; excellent ; guide ; air ; min ; énergie
intérêt.n 268 :: incessant ; adjectif ; audiovisuelle ; excellent ; effectif ; incorporation ; étroit ; usage ; apercevoir ; image
intérêt.n 271 :: être ; air ; article ; eau ; évolution ; origine ; ensemble ; emploi ; avion ; ampli
intérêt.n 297 :: ouverture ; étroit ; or ; externe ; actuel ; air ; art ; avantage ; irréversible ; automne
interpréter.v 18 :: chanter ; jouer ; interprétation ; servir ; offrir ; présenter ; raconter ; enseigner ; inspirer ; montrer
interpréter.v 21 :: jouer ; incarner ; créer ; chanter ; interprétation ; écrire ; arranger ; illustrer ; exécuter ; figurer
interpréter.v 59 :: expliquer ; comprendre ; analyser ; inverser ; penser ; décrypter ; voir ; éclairer ; anticiper ; décoder
interpréter.v 80 :: air ; aide ; international ; effectif ; externe ; or ; étroit ; art ; apercevoir ; étymologie
interpréter.v 123 :: air ; international ; étymologie ; aide ; étroit ; efficace ; externe ; actuel ; alpha ; obliger
interpréter.v 128 :: joue ; incarner ; interprétation ; louis ; saint ; in ; olivier ; joseph ; alias ; recevoir
interpréter.v 157 :: traduire ; joue ; incarner ; écrire ; imaginer ; interprétation ; assurer ; exprimer ; écoute ; recevoir
interpréter.v 260 :: analyser ; comprendre ; entendre ; apprécier ; décrypter ; lire ; faire ; décoder ; commenter ; expliquer
interpréter.v 267 :: vivre ; anticiper ; observer ; percevoir ; interprétation ; écrire ; comprendre ; décrire ; définir ; attribuer
interpréter.v 289 :: imaginer ; chanter ; incarner ; animé ; enseigner ; jouer ; dansé ; interprétation ; porter ; arranger
maintenir.v 94 :: apprendre ; ajouter ; écrire ; enseigner ; préciser ; montrer ; déclarer ; affirmer ; entendre ; conclure
maintenir.v 113 :: inscrire ; présent ; enregistrer ; visible ; mentionner ; trouver ; figurer ; apposer ; disponible ; placer
maintenir.v 154 :: garder ; conserver ; continuer ; renforcer ; poursuivre ; mettre ; exercer ; tenir ; entretenir ; confirmer
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; maintien ; demeurer ; mettre ; divertir ; conforter ; perpétuer
maintenir.v 183 :: conserver ; préserver ; garder ; entretenir ; garantir ; maintien ; demeurer ; assurer ; favoriser ; perdurer
maintenir.v 207 :: préserver ; garder ; demeurer ; maintien ; conserver ; soutenir ; entretenir ; rester ; retenir ; sauvegarder
maintenir.v 230 :: tenir ; présent ; excellent ; mémoire ; venir ; faire ; compte ; pouvoir ; dernier ; haut
maintenir.v 234 :: considérer ; rappeler ; proposer ; estime ; souhaiter ; affirmer ; demande ; réaffirmer ; préciser ; soutenir
maintenir.v 251 :: tenir ; soutenir ; position ; soutien ; espoir ; peur ; distance ; bloquer ; falloir ; blocage
maintenir.v 281 :: dire ; bref ; compte ; tenir ; gage ; affirmer ; fermement ; croire ; bon ; ajouter
mince.a 17 :: fort ; intime ; fin ; épais ; vulnérable ; faible ; important ; développer ; léger ; dur
mince.a 96 :: super ; vraiment ; légèrement ; marine ; livre ; moine ; voil ; parfaitement ; papier ; profit
mince.a 147 :: également ; légèrement ; léger ; fin ; peut-être ; déjà ; probablement ; pourtant ; exemple ; épaisseur
mince.a 170 :: fin ; légèrement ; petit ; épais ; feuille ; être ; devenir ; léger ; étroit ; chinois
mince.a 192 :: filet ; léger ; fibre ; légèrement ; épais ; feuille ; petit ; vêtement ; papier ; fin
mince.a 202 :: fin ; petit ; nouveau ; léger ; double ; second ; dernier ; bel ; faible ; simple
mince.a 213 :: maigre ; petit ; minime ; faible ; léger ; réduire ; vert ; indice ; misérable ; fragile
mince.a 225 :: honorable ; léger ; maigre ; déjà ; cadeau ; petit ; joli ; salaire ; grave ; score
mince.a 242 :: presque ; fin ; devenir ; extrêmement ; légèrement ; vraiment ; tendre ; limite ; étroit ; peut-être
mince.a 292 :: fin ; métallique ; supérieur ; solaire ; conducteur ; continuer ; cristalline ; sensible ; épais ; positif
modeste.a 29 :: petit ; minuscule ; humble ; grand ; misérable ; important ; confortable ; dérisoire ; commun ; local
modeste.a 114 :: bon ; honnête ; pauvre ; humble ; généreux ; digne ; gentil ; petit ; poli ; loyal
modeste.a 121 :: faible ; important ; petit ; minime ; significatif ; élevé ; marginal ; réduire ; modérer ; mesurer
modeste.a 163 :: minime ; limité ; faible ; petit ; léger ; propre ; récent ; personnel ; important ; médiocre
modeste.a 195 :: limité ; important ; élevé ; faible ; suffisant ; substantiel ; considérable ; modérer ; conséquent ; minime
modeste.a 197 :: pauvre ; élevé ; parisien ; supérieur ; familial ; faible ; personnel ; petit ; fragile ; limité
modeste.a 200 :: restreindre ; limité ; industriel ; politique ; croissance ; honorable ; appliquer ; organique ; durable ; faible
modeste.a 246 :: élevé ; important ; petit ; économique ; faible ; conséquent ; léger ; modique ; modérer ; intéressant
modeste.a 269 :: humble ; digne ; jeune ; petit ; misérable ; bon ; noble ; médiocre ; fier ; pieux
modeste.a 283 :: humble ; digne ; discret ; modestie ; timide ; honnête ; classe ; simple ; secret ; accessible
montée.n 15 :: ara ; tantôt ; également ; an ; amie ; déjà ; proche ; face ; légèrement ; continuellement
montée.n 56 :: partie ; augmentation ; poussée ; progression ; hausse ; descente ; hiérarchie ; dernier ; échelle ; ligne
montée.n 75 :: suite ; descente ; visite ; balade ; finale ; terrasse ; tribune ; halte ; monte ; face
montée.n 138 :: évolution ; gestion ; hausse ; maîtrise ; performance ; poussée ; réalité ; vitesse ; croissant ; puissance
