affection.n 8 :: maladie ; dernier ; disposition ; institution ; opération ; affectation ; épreuve ; reconnaissance ; incapacité ; opinion
commander.v 206 :: tandis ; vouloir ; prévoir ; défense ; unir ; venir ; veille ; gérer ; expliquer ; décider
commander.v 240 :: commande ; faire ; prendre ; personnaliser ; payer ; voire ; carrément ; régler ; également ; uniquement
compris.a 52 :: contenue ; retenir ; maîtriser ; partager ; réfléchir ; accepter ; assimiler ; vivre ; trouver ; compréhensible
compris.a 90 :: an ; gant ; os ; gros ; face ; grand ; osseux ; lourd ; également ; petit
compris.a 106 :: entendre ; deviner ; vivre ; comprendre ; penser ; croire ; sentir ; percevoir ; vouloir ; apprendre
compris.a 185 :: article ; ci-dessous ; participation ; inclure ; particulier ; ci ; également ; communication ; service ; être
compris.a 186 :: situer ; inclure ; tomber ; entrer ; rester ; perdre ; mort ; présent ; déjà ; inscrire
compris.a 187 :: inclure ; contenu ; situer ; estimer ; compter ; prendre ; composer ; placer ; fixer ; généralement
compris.a 211 :: répartir ; mesurer ; grouper ; varier ; élevé ; modérer ; moyen ; intermédiaire ; maintenir ; dater
compris.a 232 :: inclure ; prendre ; compter ; reprendre ; intégré ; contenu ; cal ; incorporer ; comptabiliser ; inclus
compris.a 272 :: saisir ; penser ; réaliser ; croire ; percevoir ; capter ; comprendre ; entendre ; savoir ; sentir
compris.a 287 :: comprendre ; reprendre ; présent ; souris ; boire ; glisser ; aimer ; penser ; lire ; zou
couverture.n 65 :: manchette ; dernier ; page ; sommaire ; rédaction ; dossier ; éditorial ; moitié ; principal ; double
couverture.n 67 :: peau ; vie ; route ; mort ; peine ; sortir ; survie ; carrière ; réputation ; fin
couverture.n 72 :: housse ; pochette ; sol ; siège ; matière ; dossier ; couvrir ; fond ; table ; peau
couverture.n 143 :: manchette ; page ; illustration ; fort ; beauté ; couvrir ; vignette ; marge ; parer ; front
couverture.n 149 :: protection ; plein ; sécurité ; couvert ; responsabilité ; couvrir ; principal ; surveillance ; maîtrise ; bon
couverture.n 150 :: toiture ; couvrir ; voûte ; charpente ; voil ; décoration ; revêtement ; construction ; structure ; toile
couverture.n 201 :: surveillance ; conquête ; desserte ; protection ; couvrir ; sécurité ; gestion ; pénétration ; transformation ; définition
couverture.n 257 :: toiture ; revêtement ; construction ; remplacement ; protection ; sol ; toit ; lux ; base ; transformation
couverture.n 265 :: serviette ; couvrir ; housse ; bâche ; véranda ; couette ; banquette ; veste ; voil ; commode
couverture.n 280 :: police ; sève ; carte ; préface ; page ; toiture ; introduction ; illustration ; voil ; province
débit.n 64 :: chèqu ; virement ; crédit ; compte ; versement ; banque ; transfert ; paiement ; retrait ; dépôt
débit.n 87 :: montant ; coût ; crédit ; prix ; solde ; temps ; paiement ; financement ; revenu ; salaire
débit.n 115 :: niveau ; flux ; cours ; écoulement ; rythme ; delta ; volume ; fleuve ; module ; flot
débit.n 131 :: eau ; lit ; niveau ; nappe ; dépôt ; chute ; courant ; bassin ; chambre ; système
débit.n 136 :: potentiel ; flux ; apport ; réel ; cours ; effectif ; journalier ; rendement ; moyen ; naturel
débit.n 168 :: internet ; réseau ; niveau ; faible ; écart ; flux ; qualité ; détail ; accès ; coupure
débit.n 169 :: montant ; niveau ; prix ; poids ; cours ; coût ; résultat ; total ; flux ; rythme
débit.n 184 :: taux ; record ; intérêt ; maximum ; score ; ratio ; rythme ; stockage ; traitement ; rendement
débit.n 188 :: niveau ; apport ; flux ; débordement ; eau ; potentiel ; cours ; inondation ; courant ; rive
débit.n 205 :: haut ; fort ; gros ; faible ; élevé ; lent ; grand ; bon ; rapide ; moyen
direction.n 78 :: conduite ; responsabilité ; houlette ; coordination ; diriger ; présidence ; route ; forme ; discipline ; performance
direction.n 111 :: conduite ; orientation ; tête ; gestion ; directrice ; ligne ; équipe ; organisation ; présidence ; tendance
direction.n 151 :: directrice ; directeur ; gestion ; rédaction ; équipe ; présidence ; communauté ; maîtrise ; supérieur ; commission
direction.n 152 :: ligne ; conduite ; constant ; bon ; diriger ; tendance ; forme ; orientation ; descente ; droite
direction.n 172 :: rejoindre ; file ; destination ; bonjour ; traverser ; gagner ; face ; direct ; forme ; ensuite
direction.n 176 :: conduite ; orientation ; directrice ; droite ; transmission ; voiture ; attitude ; directeur ; contrôle ; ligne
direction.n 199 :: nouveau ; actuel ; ligne ; général ; supérieur ; rédaction ; bureau ; directrice ; directeur ; porte
direction.n 223 :: bon ; directrice ; excellent ; musical ; diriger ; nouveau ; artistique ; critique ; ligne ; haut
direction.n 262 :: directeur ; directrice ; général ; responsabilité ; management ; développement ; diriger ; présidence ; responsable ; gestion
direction.n 279 :: venir ; province ; provenance ; destination ; revenir ; vallée ; région ; face ; sortir ; sens
don.n 19 :: sens ; talent ; pouvoir ; temps ; style ; art ; point ; souci ; coup ; regard
don.n 30 :: talent ; pouvoir ; atout ; oeil ; instinct ; sens ; bras ; potentiel ; loisir ; trait
don.n 36 :: cadeau ; dom ; bon ; grand ; gratuit ; jour ; père ; important ; petit ; amour
don.n 60 :: cadeau ; sacrifice ; sacrement ; produit ; usage ; droit ; placement ; mariage ; offrir ; travail
don.n 84 :: cadeau ; contribution ; fonds ; legs ; produit ; droit ; bon ; déchet ; bénéficiaire ; apport
don.n 107 :: cadeau ; part ; preuve ; offrir ; présent ; grâce ; signe ; parvenir ; usage ; legs
don.n 130 :: fonds ; enfant ; volontaire ; bénéficiaire ; contribution ; homme ; cadeau ; personne ; généreux ; croyant
don.n 196 :: talent ; pouvoir ; truc ; génie ; temps ; sens ; traitement ; droit ; trésor ; secret
don.n 244 :: cadeau ; versement ; geste ; soutien ; mécénat ; parrainage ; transfert ; testament ; pacte ; legs
don.n 245 :: travail ; ouvrage ; talent ; apport ; témoignage ; projet ; nom ; legs ; cadeau ; résultat
entraîner.v 39 :: air ; international ; actuel ; art ; image ; externe ; aide ; étymologie ; obliger ; or
entraîner.v 47 :: obliger ; aider ; amener ; engager ; aide ; encourager ; inciter ; conduire ; apprendre ; pousse
entraîner.v 55 :: or ; aide ; arriver ; international ; air ; actuel ; ouverture ; efficace ; art ; image
entraîner.v 57 :: eau ; or ; air ; aller ; enseigner ; apparemment ; ensemble ; écran ; emploi ; aide
entraîner.v 133 :: aide ; image ; ancien ; air ; art ; expédier ; or ; énergie ; eau ; origine
entraîner.v 140 :: envoyer ; amener ; mener ; pousser ; conduire ; attirer ; aller ; engager ; emporter ; emmener
entraîner.v 144 :: obliger ; force ; avoir ; commencer ; amener ; invite ; pousse ; engager ; apprendre ; aller
entraîner.v 161 :: provoquer ; amener ; apparaître ; engendrer ; éviter ; conduire ; produire ; induire ; engager ; créer
entraîner.v 162 :: amener ; provoquer ; engendrer ; encourager ; assurer ; actif ; déclenche ; conduire ; complet ; favoriser
entraîner.v 191 :: emporter ; attirer ; emmener ; amener ; engager ; conduire ; précipiter ; envoyer ; apporter ; pousser
éplucher.v 10 :: peler ; finement ; couper ; passer ; affiner ; nettoyer ; conserver ; égoutter ; tailler ; presser
éplucher.v 51 :: scrupuleusement ; attentivement ; soigneusement ; éplucher ; minutieusement ; papier ; précieusement ; autant ; allègrement ; finement
éplucher.v 69 :: analyser ; faire ; lire ; scanner ; éviter ; regarder ; consulter ; examiner ; étudier ; éliminer
éplucher.v 100 :: éplucher ; récolter ; couper ; laver ; retourner ; mûr ; oignon ; ôter ; arracher ; écraser
éplucher.v 119 :: ment ; santé ; jeu ; travail ; mer ; fois ; forum ; planter ; os ; an
éplucher.v 167 :: couper ; laver ; enlever ; feuille ; laisser ; conserver ; garder ; noter ; fleur ; oublier
éplucher.v 174 :: passer ; page ; faire ; internet ; donnée ; nouveau ; information ; résultat ; statistique ; temps
éplucher.v 235 :: peler ; presser ; nettoyer ; égoutter ; faire ; couper ; affiner ; arracher ; passer ; laver
éplucher.v 236 :: éplucher ; récolter ; amour ; patate ; tri ; faire ; oignon ; liste ; voir ; laver
éplucher.v 258 :: peler ; cuire ; blanchir ; faire ; laver ; égoutter ; préparer ; rincer ; conserver ; retirer
espace.n 13 :: or ; international ; origine ; histoire ; ensemble ; art ; usage ; air ; accueil ; aide
espace.n 27 :: or ; histoire ; aide ; évolution ; origine ; étrange ; énergie ; air ; antique ; eau
espace.n 79 :: zone ; environnement ; support ; ensemble ; temps ; outil ; emplacement ; option ; module ; lieu
espace.n 120 :: air ; étroit ; excellent ; article ; énergie ; apercevoir ; heureux ; aide ; petit ; art
espace.n 137 :: environnement ; information ; développement ; entreprise ; marché ; équipement ; investissement ; propriété ; emplacement ; enseignement
espace.n 142 :: air ; international ; interne ; image ; afghan ; art ; étroit ; éternel ; actuel ; alpha
espace.n 180 :: temps ; partage ; grand ; nouveau ; imaginaire ; aire ; ancien ; important ; futur ; univers
espace.n 208 :: euro ; énergie ; entreprise ; air ; audit ; article ; utilisateur ; innombrable ; enseignant ; eau
espace.n 229 :: propre ; événement ; service ; développement ; petit ; aménagement ; équipement ; produit ; investissement ; environnement
espace.n 243 :: article ; ensemble ; coin ; temps ; ligne ; compte ; enregistrement ; vide ; site ; mode
essuyer.v 11 :: essuyer ; laver ; rincer ; désinfection ; passer ; faire ; nettoyer ; avoir ; assurer ; nettoyage
essuyer.v 58 :: subir ; essuie ; constater ; rencontrer ; enregistrer ; recevoir ; connaître ; accumuler ; cumulé ; récolter
essuyer.v 77 :: essuie ; laisse ; être ; presque ; ensuite ; sale ; blanc ; mouiller ; simplement ; clair
essuyer.v 81 :: ale ; cation ; lin ; er ; an ; oui ; ion ; bile ; ra ; être
essuyer.v 86 :: devoir ; recevoir ; donne ; assurer ; laisse ; devenir ; libre ; internet ; obtenir ; passer
essuyer.v 89 :: refus ; revers ; durement ; essuie ; également ; finalement ; face ; affront ; échec ; défaite
essuyer.v 98 :: faire ; recevoir ; encaisser ; subir ; voir ; rencontrer ; prendre ; gagner ; utiliser ; casser
essuyer.v 166 :: nettoyer ; appliquer ; sécher ; égoutter ; rincer ; passer ; enlever ; recommencer ; utiliser ; laver
essuyer.v 215 :: subir ; recevoir ; accumuler ; essuie ; sortir ; accuser ; déjà ; éviter ; recueillir ; enchaîner
essuyer.v 266 :: enlever ; retirer ; éviter ; assurer ; laisser ; faire ; nettoyer ; couvrir ; essuie ; protéger
faucher.v 12 :: presque ; déposer ; écraser ; bientôt ; briser ; jeter ; tuer ; employer ; poussée ; publier
faucher.v 42 :: découverte ; également ; devenir ; atteindre ; déjà ; peut-être ; récolter ; mieux ; acquérir ; travailler
faucher.v 116 :: semer ; donner ; dévaster ; détruire ; abattre ; ravager ; pisser ; voler ; laisser ; tuer
faucher.v 160 :: trouver ; tombe ; piqu ; prendre ; plante ; coûter ; quitte ; laisse ; cale ; tape
faucher.v 214 :: politique ; prix ; mauvais ; gouvernement ; bon ; canada ; produit ; moyen ; marque ; pays
faucher.v 239 :: servir ; acheter ; renverser ; entamer ; jeter ; cassé ; partager ; tournée ; trouver ; vieux
faucher.v 248 :: dernier ; petit ; sépulture ; tombe ; homicide ; nouveau ; article ; déclaration ; voiture ; jeune
faucher.v 276 :: abattre ; couper ; planter ; tailler ; semer ; faire ; creuser ; pousser ; cueillir ; affiner
faucher.v 282 :: remplacer ; marque ; préférer ; relance ; centre ; cherche ; paie ; trouver ; prolonger ; relever
faucher.v 290 :: abattre ; tuer ; blesser ; grièvement ; gravement ; trouver ; briser ; assassiner ; donner ; plaqué
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; former ; développer ; faire ; découvrir ; arrêter ; tenir
fonder.v 7 :: force ; motiver ; traverser ; porte ; guide ; sous-tendre ; conditionne ; commande ; cadre ; base
fonder.v 54 :: construire ; trouver ; base ; gagner ; assurer ; force ; puiser ; ancre ; affirmer ; forme
fonder.v 66 :: ferme ; installer ; commencer ; développer ; monte ; forge ; créer ; diriger ; ouvrir ; déclarer
fonder.v 88 :: créer ; forme ; commencer ; développer ; diriger ; intégrer ; finance ; dessiner ; installer ; fréquent
fonder.v 93 :: force ; base ; structure ; traverser ; porte ; appuyer ; ici ; presque ; constituer ; centre
fonder.v 158 :: base ; repose ; focaliser ; bâtir ; appuyer ; baser ; cale ; fonctionner ; fond ; situer
fonder.v 212 :: former ; créer ; fondre ; faire ; établir ; fabriquer ; bâtir ; contracter ; définir ; fer
fonder.v 264 :: définir ; motiver ; constituer ; valide ; base ; caractériser ; traverser ; conditionne ; nourrir ; sous-tendre
fonder.v 286 :: développer ; rassembler ; compte ; diriger ; fabrique ; fond ; ouvrir ; ferme ; forme ; anime
grossier.a 24 :: simple ; évident ; vulgaire ; fin ; bête ; vieux ; stupide ; malhonnête ; simpliste ; ridicule
grossier.a 37 :: avancer ; répandre ; complet ; flagrant ; facile ; fréquent ; parfait ; puissant ; simple ; évident
grossier.a 85 :: agressif ; timide ; dangereux ; violent ; autoritaire ; jaloux ; scolaire ; encombrant ; brutal ; verbal
grossier.a 108 :: complet ; sec ; agricole ; étranger ; traditionnel ; intensif ; primitif ; rude ; européen ; parfait
grossier.a 134 :: léger ; subtil ; lourd ; mauvais ; pitoyable ; flagrant ; petit ; coupable ; évident ; gros
grossier.a 179 :: énième ; nouveau ; gros ; véritable ; subtil ; grand ; énorme ; second ; petit ; sérieux
grossier.a 227 :: ridicule ; menteur ; idiot ; monter ; limite ; totalement ; fin ; vraiment ; caractère ; aller
grossier.a 228 :: positif ; témoignage ; sens ; billet ; papier ; policier ; compte ; électeur ; document ; argument
grossier.a 231 :: profane ; vulgaire ; terrestre ; humain ; coupable ; commune ; inférieur ; social ; public ; extérieur
grossier.a 300 :: faire ; stupide ; commettre ; bête ; coupable ; vulgaire ; faute ; noir ; répéter ; barbare
hermétique.a 203 :: partiel ; problématique ; obscur ; opaque ; inquiétant ; mystérieux ; épars ; basique ; hétérogène ; discuter
hermétique.a 71 :: effrayant ; obscur ; secret ; énigmatique ; étrange ; fermer ; mystérieux ; clé ; inquiétant ; confidentiel
hermétique.a 99 :: fermer ; sceller ; plastique ; étanche ; verre ; bouteille ; complet ; flacon ; parfaitement ; plat
hermétique.a 126 :: fermer ; miroir ; étanche ; magique ; objet ; voir ; solide ; sceau ; système ; image
hermétique.a 127 :: rigide ; élitiste ; religieux ; hypocrite ; secret ; étanche ; documentaire ; magique ; obscur ; convenir
hermétique.a 220 :: presque ; vide ; fermer ; simple ; extrêmement ; parfaitement ; déjà ; purement ; étancher ; tique
hermétique.a 226 :: insensible ; réfractaire ; indifférent ; imperméable ; sensible ; sourd ; aveugle ; allergique ; fermer ; initier
hermétique.a 261 :: relatif ; magique ; sensible ; adapter ; penser ; étanche ; amical ; proportionnel ; apparent ; discret
hermétique.a 278 :: solide ; close ; secret ; étanche ; alimentaire ; entièrement ; interne ; plastique ; fermé ; chimique
hermétique.a 204 :: seul ; complètement ; presque ; solide ; pourtant ; ici ; totalement ; évidemment ; parfaitement ; texte
incorrect.a 45 :: actuellement ; humaine ; ante ; également ; sensiblement ; rée ; apparemment ; jusque-là ; der ; normalement
incorrect.a 125 :: naître ; actif ; ante ; ent ; us ; nommer ; actuellement ; der ; humaine ; sis
incorrect.a 132 :: radio ; an ; mois ; côté ; également ; haut ; cours ; second ; jour ; juge
incorrect.a 156 :: in ; politique ; apparemment ; der ; judiciaire ; exemplaire ; vraiment ; bon ; parfaitement ; appeler
incorrect.a 159 :: transposition ; pratique ; législatif ; in ; professionnel ; partiel ; application ; politiquement ; partiellement ; ex
incorrect.a 177 :: correct ; inverse ; déterminer ; prédéterminer ; précis ; erroné ; donner ; total ; aléatoire ; public
incorrect.a 217 :: ici ; automatiquement ; politiquement ; sujet ; drôle ; droit ; polémique ; stupide ; faux ; loin
incorrect.a 241 :: complètement ; vraiment ; totalement ; parfaitement ; également ; rester ; presque ; normalement ; devenir ; forcément
incorrect.a 298 :: vrai ; ridicule ; correct ; erroné ; exact ; évident ; faux ; inutile ; dangereux ; obligatoire
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; saisir ; erroné ; électronique ; transmettre ; donnée ; financier ; effacer
intérêt.n 63 :: avis ; élément ; sentiment ; appétit ; aspiration ; objectif ; opinion ; agenda ; enjeu ; idéau
intérêt.n 97 :: article ; ensemble ; entier ; endroit ; international ; institution ; utilisateur ; information ; origine ; orientation
intérêt.n 129 :: étroit ; air ; art ; image ; aide ; apercevoir ; nouveau ; heureux ; étymologie ; excellent
intérêt.n 146 :: art ; or ; air ; aide ; image ; eau ; international ; évolution ; actuel ; ensemble
intérêt.n 155 :: nouveau ; propre ; petit ; page ; zone ; sécurité ; personnel ; européen ; principal ; information
intérêt.n 218 :: intéressant ; côté ; faible ; avantage ; important ; double ; utilité ; bénéfice ; principal ; véritable
intérêt.n 263 :: air ; excellent ; adjectif ; éventuel ; art ; aide ; principal ; meilleur ; apercevoir ; effectif
intérêt.n 268 :: aide ; clip ; image ; heureux ; international ; air ; évolution ; histoire ; anglais ; art
intérêt.n 271 :: être ; exemple ; éventuel ; aide ; image ; histoire ; article ; association ; ensemble ; usage
intérêt.n 297 :: aide ; art ; externe ; or ; international ; air ; image ; fin ; efficace ; âge
interpréter.v 18 :: chanter ; jouer ; reprendre ; offrir ; présenter ; inspirer ; composer ; interprétation ; cité ; proposer
interpréter.v 21 :: enregistrer ; jouer ; adapter ; arranger ; écrire ; interprétation ; écouter ; reprendre ; inscrire ; illustrer
interpréter.v 59 :: expliquer ; comprendre ; penser ; inverser ; largement ; analyser ; faire ; également ; différemment ; ensuite
interpréter.v 80 :: international ; air ; cor ; aide ; art ; apercevoir ; étymologie ; étroit ; usage ; effectif
interpréter.v 123 :: art ; or ; aide ; expérience ; usage ; image ; air ; étymologie ; adjectif ; illustre
interpréter.v 128 :: joue ; incarner ; ici ; in ; camper ; interprétation ; double ; rôle ; dan ; jean
interpréter.v 157 :: recevoir ; accueillir ; encaisse ; analyse ; écrire ; envoyer ; utiliser ; actif ; accepter ; traite
interpréter.v 260 :: interprétation ; comprendre ; faire ; évaluer ; décoder ; visualiser ; exprimer ; remplir ; confirmer ; traduire
interpréter.v 267 :: interprétation ; attribuer ; observer ; comprendre ; définir ; envisager ; employer ; considérer ; entendre ; traiter
interpréter.v 289 :: jouer ; chanter ; animé ; dansé ; imaginer ; incarner ; habiter ; porter ; enseigner ; accompagner
maintenir.v 94 :: soutenir ; ajouter ; assurer ; affirmer ; écrire ; déclarer ; répéter ; préciser ; noter ; apprendre
maintenir.v 113 :: présent ; inscrire ; visible ; mentionner ; identifier ; enregistrer ; signaler ; référencer ; repérer ; retrouver
maintenir.v 154 :: garder ; renforcer ; assurer ; conserver ; continuer ; tenir ; exercer ; poursuivre ; confirmer ; imposer
maintenir.v 175 :: préserver ; garder ; demeurer ; conserver ; maintien ; conforter ; mettre ; divertir ; fortifier ; persuader
maintenir.v 183 :: garder ; assurer ; conserver ; entretenir ; préserver ; garantir ; maintien ; rester ; favoriser ; demeurer
maintenir.v 207 :: garder ; maintien ; demeurer ; conserver ; préserver ; soutenir ; rester ; retenir ; entretenir ; stabiliser
maintenir.v 230 :: louis ; compte ; tenir ; prendre ; dernier ; ment ; voir ; prochain ; excellent ; hollande
maintenir.v 234 :: souhaiter ; considérer ; estime ; affirmer ; demande ; rappeler ; soutenir ; proposer ; réaffirmer ; vouloir
maintenir.v 251 :: maintien ; position ; soutien ; soutenir ; fermement ; appui ; tradition ; ligne ; ferme ; garde
maintenir.v 281 :: dire ; croire ; affirmer ; soutien ; tenir ; fermement ; ajouter ; bref ; compte ; appui
mince.a 17 :: fin ; léger ; lisse ; flexible ; épais ; nerveux ; légèrement ; développer ; faible ; petit
mince.a 96 :: fin ; léger ; continuer ; épais ; lisse ; faible ; régulier ; sensible ; haut ; sec
mince.a 147 :: complexe ; simple ; dense ; léger ; classique ; sombre ; bon ; présente ; fin ; développer
mince.a 170 :: déjà ; petit ; léger ; devenir ; court ; légèrement ; fragile ; vraiment ; presque ; épais
mince.a 192 :: petit ; épais ; large ; fin ; léger ; micro ; minuscule ; souple ; menu ; tendre
mince.a 202 :: petit ; léger ; dernier ; nouveau ; forme ; intermédiaire ; déjà ; formation ; également ; épaisseur
mince.a 213 :: maigre ; minime ; léger ; petit ; vert ; faible ; riche ; réduire ; quelques-uns ; nécessaire
mince.a 225 :: maigre ; petit ; léger ; bel ; moindre ; grand ; sportif ; simple ; isolé ; énorme
mince.a 242 :: peut-être ; tension ; léger ; petit ; résultat ; bon ; déjà ; être ; vraiment ; oui
mince.a 292 :: fin ; épais ; interne ; continuer ; léger ; compacte ; périphérique ; élastique ; supérieur ; médian
modeste.a 29 :: petit ; minuscule ; misérable ; humble ; grand ; minable ; médiocre ; simple ; paisible ; coin
modeste.a 114 :: humble ; bon ; honnête ; petit ; vivant ; pauvre ; poli ; discret ; drôle ; timide
modeste.a 121 :: minime ; important ; faible ; significatif ; marginal ; modérer ; négligeable ; restreindre ; mesurer ; discret
modeste.a 163 :: léger ; petit ; modique ; limité ; timide ; minime ; nécessaire ; significatif ; simple ; spectaculaire
modeste.a 195 :: personnel ; important ; élevé ; minime ; populaire ; faible ; complémentaire ; réduire ; honorable ; symbolique
modeste.a 197 :: revenu ; fragile ; faible ; accessible ; légèrement ; mensuel ; familial ; aisé ; parisien ; supérieur
modeste.a 200 :: budget ; limité ; temps ; canada ; conseil ; programme ; politique ; ensemble ; procédé ; prix
modeste.a 246 :: élevé ; léger ; important ; faible ; moindre ; marchand ; petit ; inférieur ; négligeable ; relatif
modeste.a 269 :: humble ; petit ; pauvre ; jeune ; digne ; bon ; médiocre ; frêle ; heureux ; piètre
modeste.a 283 :: humble ; discret ; digne ; pauvre ; silencieux ; simple ; honnête ; timide ; simplement ; insignifiant
montée.n 15 :: courbe ; poussée ; côte ; progression ; tendance ; droite ; victoire ; pente ; dynamique ; faveur
montée.n 56 :: montagne ; descente ; pente ; hauteur ; vallée ; ligne ; échelle ; poussée ; construction ; augmentation
montée.n 75 :: terrasse ; descente ; dernier ; promenade ; finale ; galerie ; visite ; suite ; balade ; arrivée
montée.n 138 :: hausse ; évolution ; croissance ; progression ; performance ; poussée ; puissance ; demande ; tendance ; courbe
montée.n 141 :: monte ; courbe ; hausse ; progression ; mise ; poussée ; descente ; croissance ; chute ; transformation
montée.n 153 :: descente ; pente ; chute ; montagne ; suite ; ascension ; côte ; vie ; monte ; victoire
