affection.n 8 :: général ; grand ; adresse ; nouveau ; chronique ; collection ; canada ; international ; histoire ; bibliographie
capacité.n 148 :: compétence ; maîtrise ; formation ; spécialisation ; certification ; maturité ; qualité ; connaissance ; faculté ; qualification
commander.v 5 :: réaliser ; accomplir ; écrire ; publier ; signer ; vouloir ; dicter ; public ; donner ; inachever
commander.v 9 :: commander ; choisir ; commencer ; acheter ; découvrir ; créer ; réserver ; apprendre ; trouver ; oublier
commander.v 16 :: commandant ; recevoir ; brigade ; marche ; combat ; diriger ; ferme ; prendre ; forme ; centre
commander.v 41 :: choisir ; décider ; effectuer ; faire ; commencer ; définir ; lancer ; créer ; changer ; obtenir
commander.v 48 :: contrôlent ; diriger ; gérer ; mener ; déterminer ; tirer ; gouverner ; régir ; dominer ; créer
commander.v 117 :: commande ; dicter ; ordonner ; devoir ; rigoureusement ; commandement ; commanda ; enjoindre ; présentement ; dorénavant
commander.v 164 :: ordonner ; dicter ; conseiller ; prescrire ; commanda ; obéir ; disposer ; enseigne ; enjoindre ; diriger
commander.v 171 :: commande ; acquérir ; acheter ; admirer ; déguster ; faire ; recevoir ; découvrir ; réaliser ; valider
commander.v 206 :: tandis ; noter ; veiller ; ajouter ; veille ; droit ; donner ; donne ; prévoir ; permettre
commander.v 240 :: commande ; faire ; régler ; payer ; personnaliser ; ajouter ; uniquement ; prendre ; contrôler ; acheter
compris.a 52 :: facilement ; correctement ; clair ; compréhensible ; clairement ; parfaitement ; recevoir ; correct ; aisément ; entendre
compris.a 90 :: croire ; ajouter ; sentir ; réaliser ; penser ; considérer ; trouver ; apprendre ; saisir ; assurer
compris.a 106 :: entendre ; vous ; vrai ; clair ; penser ; comprendre ; davantage ; déjà ; sentir ; sûr
compris.a 185 :: inclure ; situer ; contenir ; mentionner ; présent ; incorporer ; exclure ; conserver ; indiquer ; inscrire
compris.a 186 :: inclure ; situer ; rester ; entrer ; déjà ; mort ; présent ; inscrire ; placer ; plonger
compris.a 187 :: inclure ; situer ; contenu ; compter ; choisir ; varier ; moyen ; prendre ; répartir ; définir
compris.a 211 :: situer ; maintenir ; répartie ; constant ; contenue ; présente ; observer ; moyen ; plongée ; calculée
compris.a 232 :: inclure ; contenu ; comprendre ; inclus ; intégré ; compter ; prendre ; incorporer ; reprendre ; comptabiliser
compris.a 272 :: saisir ; capter ; comprendre ; penser ; percevoir ; aimer ; entendre ; intégré ; croire ; réaliser
compris.a 287 :: intégré ; saisir ; assimiler ; apprendre ; deviner ; comprendre ; découvrir ; savoir ; reconnaître ; oublier
couverture.n 65 :: page ; sommaire ; moitié ; dernier ; rédaction ; chronique ; édition ; série ; totalité ; formule
couverture.n 67 :: vie ; peau ; chance ; survie ; réputation ; mort ; carrière ; liberté ; route ; place
couverture.n 72 :: toiture ; dossier ; sol ; matière ; manteau ; couvrir ; caisse ; fond ; housse ; cheminée
couverture.n 143 :: manchette ; fort ; couvrir ; bref ; page ; professionnel ; compagne ; vedette ; beauté ; éditorial
couverture.n 149 :: protection ; gestion ; qualité ; production ; couvert ; régime ; traitement ; construction ; sécurité ; perception
couverture.n 150 :: toiture ; couvrir ; toit ; charpente ; tuile ; pierre ; protection ; construction ; voûte ; revêtement
couverture.n 201 :: sécurité ; surveillance ; gestion ; défense ; périmètre ; protection ; desserte ; base ; service ; zone
couverture.n 257 :: transformation ; toiture ; remplacement ; construction ; base ; revêtement ; surface ; finition ; décoration ; lux
couverture.n 265 :: couvrir ; serviette ; housse ; voil ; véranda ; cascade ; douche ; couette ; bâche ; protection
couverture.n 280 :: jaquette ; peau ; cape ; voil ; reliure ; capuche ; principal ; couvrir ; moitié ; protection
débit.n 64 :: crédit ; ligne ; transfert ; dépôt ; traitement ; compte ; automatique ; type ; solde ; renouvellement
débit.n 87 :: montant ; solde ; coût ; paiement ; prix ; salaire ; remboursement ; crédit ; cours ; versement
débit.n 115 :: niveau ; rythme ; flux ; cours ; volume ; flot ; écoulement ; contrôle ; poids ; régime
débit.n 131 :: produit ; barrage ; inondation ; naturel ; construction ; lit ; haut ; rivière ; fonds ; ouvrage
débit.n 136 :: flux ; volume ; apport ; cours ; niveau ; eau ; besoin ; débordement ; prix ; rejet
débit.n 168 :: montant ; règlement ; traitement ; compte ; paiement ; prélèvement ; crédit ; chargement ; coût ; financement
débit.n 169 :: principal ; total ; système ; partiel ; compte ; cours ; titre ; extraire ; prix ; nom
débit.n 184 :: rythme ; taux ; vitesse ; potentiel ; record ; ratio ; maximum ; chiffre ; traitement ; score
débit.n 188 :: apport ; flux ; précipitation ; rejet ; valeur ; niveau ; effectif ; crue ; dépôt ; cours
débit.n 205 :: flux ; flot ; gros ; moyen ; normal ; rythme ; continu ; niveau ; jet ; fort
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; discipline ; diriger ; performance ; baguette ; houlette ; gouverne
direction.n 111 :: orientation ; ligne ; conduite ; tête ; équipe ; présidence ; organisation ; gestion ; vision ; tendance
direction.n 151 :: directrice ; directeur ; équipe ; présidence ; responsabilité ; responsable ; gestion ; orientation ; rédaction ; coordination
direction.n 152 :: tendance ; orientation ; forme ; droite ; ligne ; constant ; force ; déviation ; descente ; conduite
direction.n 172 :: rejoindre ; destination ; bonjour ; cap ; demain ; pari ; ensuite ; peut-être ; route ; nord
direction.n 176 :: conduite ; rapport ; orientation ; forme ; tendance ; sens ; contrôle ; comportement ; droite ; virage
direction.n 199 :: suisse ; équipe ; édition ; rédaction ; orientation ; région ; information ; assistance ; présentation ; district
direction.n 223 :: conduite ; responsabilité ; présidence ; maîtrise ; diriger ; forme ; langue ; route ; tâche ; surveillance
direction.n 262 :: directeur ; directrice ; bon ; nouveau ; diriger ; entier ; responsable ; responsabilité ; gestion ; présidence
direction.n 279 :: face ; destination ; sens ; venir ; faveur ; provenance ; province ; raison ; vallée ; région
don.n 19 :: talent ; sens ; style ; pouvoir ; temps ; coup ; génie ; doué ; degré ; droit
don.n 30 :: talent ; trait ; oeil ; atout ; sens ; goût ; instinct ; élan ; pouvoir ; projet
don.n 36 :: cadeau ; bon ; propre ; droit ; amour ; lien ; talent ; vrai ; choix ; sens
don.n 60 :: cadeau ; travail ; produit ; geste ; signe ; livre ; service ; legs ; commerce ; projet
don.n 84 :: contribution ; apport ; fonds ; produit ; investissement ; versement ; transfert ; droit ; revenu ; paiement
don.n 107 :: faire ; usage ; cadeau ; livre ; part ; art ; grand ; objet ; confiance ; bon
don.n 130 :: cadeau ; fonds ; contribution ; apport ; legs ; offrande ; secours ; lecteur ; soutien ; enfant
don.n 196 :: gratuit ; cadeau ; sens ; passer ; recevoir ; français ; qualité ; tombe ; bénéficie ; priver
don.n 244 :: cadeau ; échange ; transfert ; legs ; bon ; geste ; transmission ; gage ; stockage ; prélèvement
don.n 245 :: travail ; talent ; apport ; témoignage ; cadeau ; legs ; ouvrage ; artiste ; enfant ; grand
entraîner.v 39 :: art ; international ; image ; or ; immigré ; aide ; obliger ; air ; interne ; irremplaçable
entraîner.v 47 :: obliger ; aider ; engager ; pousse ; encourager ; amener ; inciter ; aide ; invite ; autoriser
entraîner.v 55 :: international ; air ; aide ; instrument ; externe ; actuel ; interne ; intégrer ; apparent ; arriver
entraîner.v 57 :: or ; emploi ; air ; efficace ; oc ; eau ; irremplaçable ; obliger ; groupe ; effet
entraîner.v 133 :: aller ; expédier ; heureux ; aider ; art ; autant ; ancien ; or ; occuper ; aide
entraîner.v 140 :: mener ; amener ; envoyer ; conduire ; pousser ; attirer ; engager ; lancer ; emporter ; suivre
entraîner.v 144 :: invite ; amener ; obliger ; engager ; avoir ; pousse ; conduire ; encourager ; inviter ; force
entraîner.v 161 :: provoquer ; engendrer ; amener ; éviter ; apparaître ; conduire ; créer ; produire ; induire ; causer
entraîner.v 162 :: amener ; assurer ; complet ; favoriser ; provoquer ; actif ; encourager ; conduire ; commencer ; opérer
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; précipiter ; engager ; porter ; emmener ; absorber ; apporter
éplucher.v 10 :: peler ; laver ; nettoyer ; vapeur ; sélectionner ; presser ; aider ; préparer ; trancher ; passer
éplucher.v 51 :: éplucher ; travailler ; regarder ; découvrir ; goûter ; lire ; récolter ; trouver ; enquêté ; déguster
éplucher.v 69 :: marc ; peler ; vendre ; olivier ; moitié ; haricot ; devoir ; patate ; faire ; canne
éplucher.v 100 :: éplucher ; finement ; mûr ; trancher ; couper ; consommer ; retourner ; presser ; peser ; peler
éplucher.v 119 :: éplucher ; fouillé ; parcourir ; regarder ; minutieusement ; récolter ; soigneusement ; entendre ; peser ; balayer
éplucher.v 167 :: marc ; tubercule ; feuille ; super ; betterave ; déjà ; gros ; racine ; attention ; couteau
éplucher.v 174 :: voir ; consulter ; faire ; retrouver ; vérifier ; imprimer ; regarder ; relire ; découvrir ; afficher
éplucher.v 235 :: peler ; pépin ; pomme ; faire ; carotte ; fruit ; gros ; couper ; ail ; aiguille
éplucher.v 236 :: récolter ; chercher ; aller ; collecter ; trouver ; déjà ; filer ; donner ; regarder ; puiser
éplucher.v 258 :: peler ; oignon ; délicatement ; finement ; eau ; concombre ; faire ; ensuite ; manger ; bouchée
espace.n 13 :: or ; centre ; ensemble ; art ; établissement ; international ; usage ; étroit ; accès ; accueil
espace.n 27 :: air ; or ; alpha ; excellent ; illustre ; ancien ; immense ; eau ; obliger ; immigré
espace.n 79 :: ensemble ; environnement ; zone ; office ; coin ; emplacement ; aire ; outil ; hébergement ; salle
espace.n 120 :: article ; air ; étroit ; être ; aide ; art ; audit ; apercevoir ; in ; appareil
espace.n 137 :: environnement ; information ; investissement ; instrument ; enseignement ; entreprise ; emplacement ; équilibre ; développement ; marché
espace.n 142 :: air ; international ; afghan ; interne ; actuel ; art ; aide ; image ; éternel ; eau
espace.n 180 :: lien ; temps ; relation ; rapport ; partage ; donnée ; information ; emplacement ; contenir ; zone
espace.n 208 :: ancien ; innombrable ; entreprise ; article ; instrument ; euro ; appareil ; établissement ; excellent ; nouveau
espace.n 229 :: aménagement ; propre ; service ; petit ; événement ; investissement ; environnement ; développement ; produit ; projet
espace.n 243 :: article ; ensemble ; coin ; ligne ; site ; temps ; compte ; enfant ; journal ; groupe
essuyer.v 11 :: essuyer ; laver ; désinfection ; essuie ; rincer ; soigneusement ; faire ; enlever ; nettoyer ; avoir
essuyer.v 58 :: subir ; essuie ; rencontrer ; recevoir ; constater ; avoir ; souffrir ; connaître ; encaisser ; également
essuyer.v 77 :: essuie ; éponge ; lav ; regretter ; sourire ; nettoie ; laver ; relever ; avoir ; effacer
essuyer.v 81 :: ra ; er ; ensuite ; mettre ; aller ; nier ; oui ; jean ; ment ; avoir
essuyer.v 86 :: recevoir ; devoir ; laisse ; continuer ; ligne ; assurer ; arriver ; passer ; donne ; tenir
essuyer.v 89 :: recevoir ; subir ; face ; essuie ; finalement ; systématiquement ; durement ; revers ; hier ; pluie
essuyer.v 98 :: faire ; encaisser ; voir ; subir ; recevoir ; gagner ; souffrir ; prendre ; perdre ; manger
essuyer.v 166 :: pépin ; baie ; noyau ; sécher ; noix ; main ; graine ; os ; légume ; laver
essuyer.v 215 :: subir ; recevoir ; enchaîner ; récolter ; obtenir ; recueillir ; déjà ; enregistrer ; accumuler ; encaisser
essuyer.v 266 :: appliquer ; soigneusement ; déposer ; poser ; simplement ; laisser ; doucement ; retourner ; ensuite ; réserver
faucher.v 12 :: briser ; jeter ; bientôt ; verser ; causer ; projeter ; presque ; grièvement ; déjà ; tuer
faucher.v 42 :: découverte ; mieux ; peut-être ; également ; déjà ; récolter ; finalement ; presque ; dévoiler ; donnée
faucher.v 116 :: planter ; semer ; voler ; dévaster ; détruire ; arracher ; labour ; attaquer ; ravager ; abattre
faucher.v 160 :: zou ; lin ; an ; bise ; régir ; noix ; pointe ; maxime ; framboise ; prune
faucher.v 214 :: presque ; travailler ; également ; faire ; parfaitement ; extrêmement ; mieux ; autant ; complètement ; voir
faucher.v 239 :: acheter ; servir ; volée ; vendre ; trouver ; partager ; arroser ; prise ; payer ; jeter
faucher.v 248 :: dernier ; commission ; voiture ; famille ; français ; procédure ; propriétaire ; police ; nouveau ; cycliste
faucher.v 276 :: couper ; abattre ; pousser ; planter ; piquer ; enfoncer ; creuser ; arracher ; tailler ; battre
faucher.v 282 :: pointe ; remplacer ; paire ; face ; dernier ; nouveau ; doublure ; côté ; raison ; suspendre
faucher.v 290 :: tuer ; volontairement ; bêtement ; grièvement ; presque ; blesser ; délibérément ; volontaire ; involontairement ; déjà
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; tenir ; préside ; développer ; ouvrir ; bâtir
fonder.v 7 :: force ; porte ; appuyer ; motiver ; traverser ; conditionne ; sous-tendre ; base ; valide ; guide
fonder.v 54 :: base ; construire ; bâtir ; gagner ; appuyer ; trouver ; assurer ; marque ; tire ; forge
fonder.v 66 :: créer ; diriger ; dépose ; ferme ; forme ; rejoindre ; forge ; développer ; trouver ; mener
fonder.v 88 :: rejoindre ; intégrer ; finance ; diriger ; forme ; anime ; joindre ; développer ; créer ; ouvrir
fonder.v 93 :: traverser ; force ; forme ; conditionne ; renforcer ; porte ; assurer ; accompagner ; marque ; valide
fonder.v 158 :: base ; bâtir ; repose ; focaliser ; forge ; fonctionner ; appuyer ; fier ; fixe ; fond
fonder.v 212 :: créer ; former ; faire ; constituer ; contracter ; fabriquer ; forger ; monter ; fondre ; développer
fonder.v 264 :: définir ; base ; motiver ; bâtir ; valide ; appuyer ; nourrir ; traverser ; force ; fondation
fonder.v 286 :: compte ; forge ; ferme ; forme ; fabrique ; diriger ; réunir ; anime ; développer ; ouvrir
grossier.a 24 :: stupide ; ridicule ; grotesque ; évident ; absurde ; complet ; fou ; formel ; flagrant ; grave
grossier.a 37 :: subtil ; avancer ; fin ; approximatif ; facile ; efficace ; exact ; sophistiquer ; répandre ; complet
grossier.a 85 :: arrogant ; jaloux ; louche ; agressif ; méchant ; vulgaire ; susceptible ; orgueilleux ; autoritaire ; lâche
grossier.a 108 :: fin ; pauvre ; maigre ; sec ; alimentaire ; minéral ; calcaire ; léger ; organique ; primitif
grossier.a 134 :: léger ; sérieux ; évident ; flagrant ; pâle ; vulgaire ; cruel ; petit ; long ; subtil
grossier.a 179 :: propagande ; publicité ; information ; exploitation ; émission ; bande ; parodie ; attaque ; analyse ; accusation
grossier.a 227 :: poli ; maladroit ; blessant ; ridicule ; arrogant ; agressif ; vulgaire ; prétentieux ; confus ; gêner
grossier.a 228 :: vulgaire ; répéter ; fait ; approprié ; étranger ; européen ; réciproque ; français ; accusation ; commercial
grossier.a 231 :: humain ; vulgaire ; public ; quotidien ; personnel ; social ; léger ; populaire ; inférieur ; matériel
grossier.a 300 :: stupide ; noir ; faire ; oraler ; superficiel ; français ; relatif ; vocal ; volontaire ; profond
hermétique.a 203 :: univers ; rester ; demeurer ; obscur ; quasi ; parfaitement ; totalement ; mystérieux ; davantage ; presque
hermétique.a 71 :: secret ; confidentiel ; énigmatique ; mystérieux ; discret ; opaque ; fermer ; explicite ; étrange ; inquiétant
hermétique.a 99 :: fermer ; plastique ; sceller ; entier ; contenir ; transparent ; étanche ; double ; propre ; individuel
hermétique.a 126 :: étanche ; fermer ; fermé ; presque ; magique ; voire ; fermeture ; système ; voir ; acier
hermétique.a 127 :: noir ; presque ; voire ; creux ; philosophique ; poétique ; quasi ; magique ; écriture ; système
hermétique.a 220 :: porte ; être ; hautement ; passage ; prendre ; seul ; devenir ; également ; texte ; référence
hermétique.a 226 :: réfractaire ; insensible ; allergique ; imperméable ; étanche ; aveugle ; gourmand ; sensible ; fermer ; septique
hermétique.a 261 :: incompréhensible ; opaque ; explicite ; énigmatique ; audible ; discret ; choquer ; sec ; stupide ; éloquer
hermétique.a 278 :: interne ; secret ; blanc ; solide ; plastique ; chimique ; étanche ; noir ; entièrement ; alimentaire
hermétique.a 204 :: obscur ; muet ; mystérieux ; opaque ; secret ; inquiétant ; silencieux ; mystère ; étrangement ; discrètement
incorrect.a 45 :: opérationnel ; général ; utile ; variable ; mécanique ; juridique ; global ; nécessaire ; créatif ; mal
incorrect.a 125 :: vraiment ; parfaitement ; totalement ; complètement ; in ; devenir ; rester ; bizarrement ; presque ; ré
incorrect.a 132 :: radio ; an ; côté ; mois ; haut ; second ; cours ; également ; jour ; juge
incorrect.a 156 :: criminel ; juger ; rendre ; pénal ; judiciaire ; devoir ; humaine ; coupable ; contradictoire ; ante
incorrect.a 159 :: utilisation ; applicabilité ; application ; responsabilité ; interprétation ; information ; qualité ; conformité ; activité ; garantie
incorrect.a 177 :: précis ; erroné ; correct ; prédéterminer ; total ; arbitraire ; donner ; déterminer ; inverse ; supérieur
incorrect.a 217 :: ici ; politiquement ; inutile ; déplacer ; faux ; incomplet ; stupide ; volontairement ; intéressant ; maladroit
incorrect.a 241 :: in ; appeler ; totalement ; complètement ; parfaitement ; partout ; té ; accès ; difficilement ; régulièrement
incorrect.a 298 :: apercevoir ; ci-dessous ; important ; conclusion ; disponible ; gratuit ; correct ; utilisation ; essentiel ; attention
incorrect.a 299 :: personnel ; confidentiel ; donnée ; saisir ; opérationnel ; transmettre ; protéger ; financier ; électronique ; identifiabler
intérêt.n 63 :: avis ; objectif ; camp ; adversaire ; élément ; sentiment ; opinion ; désir ; argument ; ambition
intérêt.n 97 :: nouveau ; audiovisuelle ; aimable ; véritable ; excellent ; éminer ; article ; incessant ; présent ; audiovisuel
intérêt.n 129 :: air ; or ; externe ; international ; étroit ; aide ; actuel ; art ; effectif ; énergie
intérêt.n 146 :: évolution ; or ; image ; aide ; ensemble ; eau ; art ; actuel ; échange ; air
intérêt.n 155 :: zone ; article ; effectif ; nouveau ; principal ; international ; audit ; audiovisuel ; participation ; utilisateur
intérêt.n 218 :: avantage ; intéressant ; atout ; inconvénient ; attrer ; côté ; utilité ; élément ; important ; importance
intérêt.n 263 :: air ; meilleur ; cor ; principal ; véritable ; guide ; nouveau ; min ; temps ; voir
intérêt.n 268 :: clip ; international ; fédéral ; min ; air ; présente ; externe ; fixe ; voir ; présent
intérêt.n 271 :: être ; air ; aide ; eau ; image ; ensemble ; éventuel ; excellent ; article ; enseigner
intérêt.n 297 :: air ; aide ; art ; heureux ; externe ; or ; clip ; intense ; irréversible ; eau
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; graver ; arranger ; enregistrer ; remonter ; dicter ; compiler
interpréter.v 21 :: jouer ; adapter ; arranger ; écrire ; chant ; partager ; chanter ; enregistrer ; remplacer ; figurer
interpréter.v 59 :: expliquer ; faire ; mal ; inverser ; comprendre ; penser ; analyser ; ici ; vraiment ; mieux
interpréter.v 80 :: international ; art ; air ; étroit ; or ; apercevoir ; étymologie ; aide ; effectif ; incessant
interpréter.v 123 :: étroit ; alpha ; air ; effectif ; international ; étymologie ; aide ; introduction ; incessant ; habituel
interpréter.v 128 :: incarner ; interprétation ; principal ; assurer ; joue ; rôle ; double ; parfait ; ici ; meilleur
interpréter.v 157 :: analyse ; écrire ; recevoir ; agir ; présente ; déjà ; joue ; modèle ; écoute ; imaginer
interpréter.v 260 :: pouvoir ; faire ; interprétation ; mieux ; correctement ; ensuite ; pleinement ; fidèlement ; magnifiquement ; profondément
interpréter.v 267 :: comprendre ; interprétation ; anticiper ; écrire ; observer ; vivre ; définir ; peindre ; concevoir ; attribuer
interpréter.v 289 :: chanter ; jouer ; incarner ; mu ; interprétation ; imaginer ; offrir ; opéra ; servir ; animé
maintenir.v 94 :: soutenir ; entendre ; écrire ; affirmer ; souligner ; répéter ; préciser ; tenir ; insister ; déclarer
maintenir.v 113 :: présent ; inscrire ; visible ; mentionner ; enregistrer ; signaler ; identifier ; référencer ; indiquer ; renseigner
maintenir.v 154 :: garder ; fermement ; observer ; obstinément ; demeurer ; renforcer ; soutenir ; garde ; ferme ; persister
maintenir.v 175 :: garder ; préserver ; maintien ; retenir ; mettre ; demeurer ; conserver ; guider ; favoriser ; traîner
maintenir.v 183 :: conserver ; préserver ; garder ; garantir ; favoriser ; entretenir ; assurer ; créer ; rester ; instaurer
maintenir.v 207 :: garder ; demeurer ; maintien ; préserver ; conserver ; rester ; favoriser ; soutenir ; transporter ; soigner
maintenir.v 230 :: dernier ; présent ; participation ; tenir ; également ; être ; prochain ; pouvoir ; ci-dessous ; compte
maintenir.v 234 :: souhaiter ; réaffirmer ; considérer ; soutenir ; prévoir ; estime ; rappeler ; affirmer ; proposer ; vouloir
maintenir.v 251 :: conserve ; réitérer ; réaffirmer ; tenir ; reprendre ; confirmer ; soutenir ; poursuivre ; répéter ; renouveler
maintenir.v 281 :: dire ; croire ; affirmer ; gage ; ajouter ; constater ; confirmer ; déclarer ; souligner ; compte
mince.a 17 :: étroit ; épais ; fin ; fort ; vulnérable ; faible ; large ; avancer ; haut ; important
mince.a 96 :: souple ; fin ; épaisseur ; facile ; simple ; professionnel ; élégant ; transparent ; efficace ; flexible
mince.a 147 :: maigre ; léger ; fin ; nerveux ; développer ; faible ; réussir ; dense ; sonore ; sommaire
mince.a 170 :: maigre ; fragile ; lisse ; lourd ; raide ; petit ; pauvre ; léger ; plat ; malade
mince.a 192 :: fin ; petit ; menu ; léger ; minuscule ; épais ; large ; micro ; souple ; adhésif
mince.a 202 :: fin ; petit ; léger ; épais ; double ; nouveau ; simple ; bel ; dernier ; joli
mince.a 213 :: fin ; maille ; légèrement ; épais ; léger ; dent ; ligne ; bord ; petit ; vêtement
mince.a 225 :: peut-être ; fin ; déjà ; presque ; apparemment ; probablement ; légèrement ; sûrement ; joli ; petit
mince.a 242 :: fin ; serrer ; fort ; étroit ; petit ; chose ; bon ; maigre ; vraiment ; presque
mince.a 292 :: fin ; léger ; conducteur ; métallique ; épais ; flexible ; invisible ; limite ; isolant ; supérieur
modeste.a 29 :: petit ; humble ; simple ; cadre ; grand ; minuscule ; confortable ; misérable ; rôle ; médiocre
modeste.a 114 :: humble ; discret ; petit ; pauvre ; bon ; muet ; utile ; insignifiant ; timide ; honnête
modeste.a 121 :: faible ; minime ; important ; modique ; minuscule ; dérisoire ; élevé ; modérer ; misérable ; mesurer
modeste.a 163 :: minime ; léger ; personnel ; important ; limité ; faible ; petit ; confidentielle ; spectaculaire ; significatif
modeste.a 195 :: personnel ; important ; élevé ; symbolique ; réduire ; faible ; minime ; familial ; convenable ; substantiel
modeste.a 197 :: salaire ; revenu ; retraite ; logement ; moyen ; rémunération ; familial ; petit ; être ; travail
modeste.a 200 :: limité ; léger ; simple ; fort ; populaire ; temps ; faible ; complet ; prudent ; abordable
modeste.a 246 :: faible ; élevé ; important ; léger ; petit ; considérable ; inférieur ; relatif ; humble ; grand
modeste.a 269 :: humble ; digne ; petit ; pauvre ; jeune ; noble ; honnête ; misérable ; bon ; malheureux
modeste.a 283 :: humble ; timide ; discret ; digne ; honnête ; modestie ; pauvre ; fragile ; petit ; simple
montée.n 15 :: côte ; côté ; droite ; faveur ; vie ; tendance ; poussée ; là ; déclin ; progressif
montée.n 56 :: descente ; progression ; chute ; pente ; augmentation ; montagne ; construction ; partie ; vallée ; hausse
montée.n 75 :: descente ; suite ; balade ; journée ; visite ; terrasse ; entrée ; ascension ; grâce ; face
montée.n 138 :: évolution ; hausse ; gestion ; performance ; complexité ; poussée ; monte ; puissance ; croissance ; progression
