affection.n 8 :: professionnel ; religieux ; national ; petit ; nouveau ; propre ; bibliographique ; blanc ; personnel ; administratif
arrêter.v 273 :: capturer ; assassiner ; prendre ; enlever ; condamner ; emprisonner ; abandonner ; tuer ; adopter ; exécuter
arrêter.v 277 :: or ; os ; in ; parer ; article ; but ; an ; également ; us ; avoir
arrêter.v 291 :: décider ; émettre ; établir ; publier ; fixer ; délivrer ; élaborer ; adopter ; produit ; acquérir
capacité.n 26 :: faculté ; flexibilité ; puissance ; possibilité ; disponibilité ; pouvoir ; disposition ; extraordinaire ; rapidité ; faciliter
capacité.n 32 :: tête ; quantité ; puissance ; réserve ; chaîne ; charge ; moyen ; production ; force ; hauteur
capacité.n 35 :: membre ; compte ; médecin ; docteur ; représentant ; université ; spécialiste ; correspondre ; conseiller ; formation
capacité.n 70 :: puissance ; débit ; disponibilité ; disposition ; fonction ; propriété ; contribution ; parc ; région ; réponse
capacité.n 73 :: faculté ; compétence ; aptitude ; souplesse ; disponibilité ; détermination ; force ; volonté ; résilience ; formation
capacité.n 101 :: qualité ; faculté ; compétence ; puissance ; propre ; pouvoir ; fonction ; liberté ; responsabilité ; vertu
capacité.n 103 :: stock ; ressource ; quantité ; chaîne ; réserve ; disponibilité ; activité ; norme ; possibilité ; unité
capacité.n 110 :: participation ; réserve ; possibilité ; utilisation ; puissance ; quantité ; extension ; contribution ; augmentation ; batterie
capacité.n 135 :: faculté ; liberté ; force ; possibilité ; puissance ; marge ; volonté ; pouvoir ; droit ; responsabilité
capacité.n 148 :: maîtrise ; certification ; licence ; formation ; spécialisation ; compétence ; qualification ; maturité ; pratique ; réussite
commander.v 5 :: publier ; écrire ; dicter ; donner ; accomplir ; vouloir ; offrir ; signer ; réaliser ; produit
commander.v 9 :: commander ; rapidement ; demain ; commencer ; choisir ; ligne ; oublier ; vite ; apprendre ; vous
commander.v 16 :: commandant ; diriger ; recevoir ; dominer ; supérieur ; chef ; conseiller ; successivement ; charge ; soutenir
commander.v 41 :: définir ; décider ; gérer ; commencer ; commande ; réaliser ; choisir ; effectuer ; assurer ; faire
commander.v 48 :: dominer ; diriger ; gouverner ; régir ; mener ; contrôlent ; déterminer ; créer ; gérer ; organiser
commander.v 117 :: commande ; faire ; dicter ; demande ; demander ; respect ; respecter ; regarde ; chose ; mieux
commander.v 164 :: ordonner ; enjoindre ; conseiller ; prescrire ; enseigne ; dicter ; obéir ; imposer ; demande ; commanda
commander.v 171 :: commande ; acheter ; acquérir ; déguster ; admirer ; imprimer ; recevoir ; ouvrir ; réserver ; terminer
commander.v 206 :: solaire ; protéger ; défense ; assurer ; servir ; permettre ; limite ; venir ; ajouter ; protection
commander.v 240 :: commande ; régler ; personnaliser ; contrôler ; également ; uniquement ; faire ; modifier ; payer ; piloter
compris.a 52 :: compréhensible ; expliquer ; accepter ; assimiler ; enseigner ; contenue ; lire ; interpréter ; retenir ; vivre
compris.a 90 :: ajouter ; préciser ; reconnaître ; juger ; indiquer ; déclarer ; assurer ; expliquer ; affirmer ; aimer
compris.a 106 :: penser ; reconnaître ; entendre ; vivre ; deviner ; trouver ; davantage ; vrai ; réfléchir ; apprendre
compris.a 185 :: inclure ; incorporer ; présent ; contenir ; inscrire ; situer ; construit ; survenir ; mort ; conserver
compris.a 186 :: trouver ; tenir ; présent ; situer ; recevoir ; connaître ; mort ; lieu ; profond ; heureux
compris.a 187 :: contenu ; estimer ; situer ; compter ; recommander ; considérer ; croire ; composer ; long ; variable
compris.a 211 :: répartir ; situer ; mesurer ; contenir ; inclus ; grouper ; calculer ; partager ; présent ; cohérent
compris.a 232 :: inclure ; compter ; reprendre ; prendre ; contenu ; intégré ; inclus ; cal ; comptabiliser ; comprendre
compris.a 272 :: saisir ; comprendre ; réaliser ; reconnaître ; penser ; capter ; appréhender ; percevoir ; intégré ; croire
compris.a 287 :: apprécier ; intégré ; comprendre ; assimiler ; saisir ; repérer ; reconnaître ; expliquer ; adopter ; deviner
couverture.n 65 :: page ; sommaire ; dossier ; moitié ; manchette ; rédaction ; dernier ; numéro ; partie ; éditorial
couverture.n 67 :: vie ; peau ; survie ; carrière ; réputation ; chemise ; liberté ; chance ; route ; place
couverture.n 72 :: pochette ; reliure ; dessin ; housse ; création ; contenu ; logo ; modèle ; peinture ; doublure
couverture.n 143 :: couvrir ; fort ; manchette ; éditorial ; bref ; presque ; entier ; sommaire ; page ; politique
couverture.n 149 :: protection ; régime ; sécurité ; couvert ; vie ; assurance ; traitement ; gestion ; défense ; répartition
couverture.n 150 :: toiture ; couvrir ; protection ; pierre ; construction ; charpente ; voil ; enveloppe ; coquille ; décoration
couverture.n 201 :: surveillance ; sécurité ; gestion ; protection ; desserte ; service ; pénétration ; qualité ; connaissance ; couvrir
couverture.n 257 :: base ; peau ; toiture ; fond ; fonds ; terre ; dos ; sol ; ligne ; marché
couverture.n 265 :: serviette ; couette ; housse ; douche ; couvrir ; cascade ; véranda ; couche ; bibliothèque ; chaise
couverture.n 280 :: couette ; peau ; serviette ; literie ; housse ; douche ; lecture ; photo ; chaleur ; forme
débit.n 64 :: crédit ; compte ; solde ; bancaire ; paiement ; banque ; virement ; montant ; écriture ; versement
débit.n 87 :: montant ; solde ; crédit ; paiement ; coût ; remboursement ; versement ; compte ; prélèvement ; résultat
débit.n 115 :: niveau ; cours ; flux ; régime ; écoulement ; poids ; rythme ; flot ; volume ; delta
débit.n 131 :: niveau ; eau ; flux ; nappe ; volume ; couche ; bassin ; courant ; quantité ; chambre
débit.n 136 :: flux ; volume ; journalier ; réel ; potentiel ; front ; creux ; jeu ; désordre ; dynamique
débit.n 168 :: vitesse ; réel ; flux ; niveau ; fort ; haut ; rapide ; faciliter ; rendement ; consommation
débit.n 169 :: niveau ; cours ; principal ; total ; écoulement ; volume ; actuel ; flux ; droit ; minimum
débit.n 184 :: taux ; ratio ; intérêt ; maximum ; stockage ; record ; rendement ; potentiel ; transfert ; rythme
débit.n 188 :: crue ; inondation ; niveau ; flux ; débordement ; marée ; rejet ; apport ; eau ; cote
débit.n 205 :: flux ; rythme ; accès ; écoulement ; jet ; flot ; canal ; vol ; temps ; mode
direction.n 78 :: responsabilité ; conduite ; coordination ; diriger ; houlette ; présidence ; gouverne ; critique ; directrice ; constant
direction.n 111 :: orientation ; ligne ; conduite ; tête ; tendance ; vision ; directrice ; force ; unité ; base
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; représentation ; responsable ; diriger ; maîtrise ; gestion ; coordination
direction.n 152 :: sens ; orientation ; ligne ; droite ; vitesse ; voie ; tendance ; déviation ; constant ; forme
direction.n 172 :: rejoindre ; bonjour ; bientôt ; aller ; finalement ; coucou ; cap ; peut-être ; voir ; direct
direction.n 176 :: conduite ; orientation ; directrice ; directeur ; transmission ; contrôle ; viser ; main ; supérieur ; sécurité
direction.n 199 :: rédaction ; management ; famille ; entreprise ; nouveau ; dernier ; équipe ; interne ; commission ; directrice
direction.n 223 :: conduite ; responsabilité ; gestion ; voie ; tâche ; maîtrise ; présidence ; tête ; langue ; forme
direction.n 262 :: général ; directeur ; développement ; directrice ; responsable ; contrôle ; responsabilité ; entreprise ; gestion ; diriger
direction.n 279 :: destination ; régulier ; droite ; sens ; nord ; voie ; orientation ; provenance ; directeur ; route
don.n 19 :: sens ; talent ; pouvoir ; temps ; style ; droit ; centre ; génie ; besoin ; souci
don.n 30 :: talent ; atout ; oeil ; pouvoir ; sens ; instinct ; trait ; côté ; moyen ; point
don.n 36 :: cadeau ; talent ; souher ; legs ; pouvoir ; sens ; livre ; choix ; signe ; droit
don.n 60 :: cadeau ; produit ; travail ; fruit ; geste ; bienfait ; service ; legs ; projet ; point
don.n 84 :: cadeau ; contribution ; produit ; fonds ; recevoir ; versement ; chèque ; être ; apport ; parti
don.n 107 :: cadeau ; part ; faire ; présent ; état ; usage ; preuve ; apport ; an ; montre
don.n 130 :: cadeau ; fonds ; contribution ; homme ; enfant ; ami ; parent ; généreux ; bénéficiaire ; croyant
don.n 196 :: talent ; génie ; pouvoir ; truc ; chic ; qualité ; traitement ; secret ; droit ; tort
don.n 244 :: cadeau ; mécénat ; versement ; soutien ; legs ; apport ; prélèvement ; transfert ; parrainage ; souher
don.n 245 :: grand ; remarquable ; bon ; également ; beal ; intéressant ; dernier ; exemple ; exceptionnel ; éminent
entraîner.v 39 :: air ; art ; aide ; or ; image ; apparemment ; origine ; ensemble ; animal ; expédition
entraîner.v 47 :: également ; aider ; engager ; encourager ; obliger ; aide ; viser ; accompagner ; invite ; pouvoir
entraîner.v 55 :: clip ; aide ; air ; international ; actuel ; or ; image ; art ; italien ; efficace
entraîner.v 57 :: air ; eau ; or ; effet ; utilisateur ; efficace ; avoir ; enseigner ; externe ; organisation
entraîner.v 133 :: air ; autant ; ancien ; interne ; aide ; animal ; art ; image ; arabe ; indien
entraîner.v 140 :: mener ; amener ; conduire ; envoyer ; suivre ; attirer ; pousser ; emporter ; avoir ; être
entraîner.v 144 :: peut-être ; force ; engager ; pousse ; conduire ; porte ; loin ; encourager ; commencer ; attirer
entraîner.v 161 :: provoquer ; conduire ; engendrer ; apparaître ; créer ; produire ; induire ; amener ; causer ; développer
entraîner.v 162 :: amener ; provoquer ; encourager ; engendrer ; impliquer ; assurer ; déclenche ; influence ; favoriser ; actif
entraîner.v 191 :: emporter ; attirer ; précipiter ; provoquer ; conduire ; pousser ; porter ; traîner ; emmener ; amener
éplucher.v 10 :: peler ; carotte ; pépin ; couper ; tailler ; falloir ; os ; queue ; signifier ; faire
éplucher.v 51 :: lire ; travailler ; accès ; trouver ; regarder ; analyser ; examiner ; retrouver ; écrire ; étudier
éplucher.v 69 :: soigneusement ; faire ; minutieusement ; lire ; longuement ; systématiquement ; déjà ; rapidement ; attentivement ; scrupuleusement
éplucher.v 100 :: finement ; éplucher ; couper ; trancher ; oignon ; râper ; presser ; hacher ; peler ; récolter
éplucher.v 119 :: fouillé ; parcourir ; regarder ; lire ; éplucher ; déjà ; régulièrement ; soigneusement ; entendre ; évidemment
éplucher.v 167 :: plant ; couper ; feuille ; choisir ; mettre ; conserver ; plante ; laisser ; déposer ; placer
éplucher.v 174 :: consulter ; regarder ; voir ; lire ; fouiller ; découvrir ; parcourir ; analyser ; visiter ; également
éplucher.v 235 :: peler ; filer ; passer ; affiner ; obtenir ; acheter ; entamer ; fendre ; faire ; ouvrir
éplucher.v 236 :: éplucher ; récolter ; soigneusement ; attentivement ; patiemment ; finement ; minutieusement ; scrupuleusement ; abondamment ; blanchir
éplucher.v 258 :: peler ; blanchir ; faire ; laver ; fruit ; éviter ; obtenir ; rincer ; passer ; préparer
espace.n 13 :: ensemble ; accueil ; or ; établissement ; international ; histoire ; évolution ; centre ; euro ; origine
espace.n 27 :: air ; or ; image ; eau ; éternel ; énergie ; immigré ; origine ; actuel ; irréversible
espace.n 79 :: zone ; coin ; environnement ; office ; outil ; option ; ensemble ; module ; aire ; service
espace.n 120 :: air ; étroit ; excellent ; petit ; article ; endroit ; heureux ; énergie ; avantage ; énorme
espace.n 137 :: environnement ; investissement ; emploi ; information ; emplacement ; habitat ; instrument ; entreprise ; engagement ; énergie
espace.n 142 :: air ; international ; art ; éternel ; actuel ; or ; interne ; afghan ; iranien ; ancien
espace.n 180 :: relation ; lien ; temps ; distance ; rapport ; intervalle ; différence ; information ; arrangement ; interaction
espace.n 208 :: euro ; université ; article ; innombrable ; établissement ; ancien ; association ; information ; entreprise ; nouveau
espace.n 229 :: aménagement ; événement ; petit ; propre ; environnement ; atout ; équipement ; service ; développement ; projet
espace.n 243 :: coin ; article ; temps ; vide ; écran ; compte ; cadeau ; mode ; groupe ; enfant
essuyer.v 11 :: laver ; rincer ; essuyer ; fermer ; faire ; remplir ; ouvrir ; rinçage ; désinfection ; retirer
essuyer.v 58 :: subir ; causer ; essuie ; recevoir ; constater ; rencontrer ; vraiment ; trouver ; souffrir ; accumuler
essuyer.v 77 :: essuie ; avoir ; presque ; soigneusement ; an ; mal ; déjà ; ensuite ; lent ; dépit
essuyer.v 81 :: essuie ; avoir ; recevoir ; être ; ensuite ; mettre ; encre ; falloir ; savoir ; répondit
essuyer.v 86 :: devoir ; ligne ; recevoir ; donne ; passer ; laisse ; assurer ; tenir ; recueillir ; obtenir
essuyer.v 89 :: subir ; essuie ; recevoir ; durement ; pavé ; revers ; infliger ; presque ; souffrir ; frapper
essuyer.v 98 :: faire ; regretter ; rencontrer ; voir ; découvrir ; subir ; souffrir ; encaisser ; acheter ; manger
essuyer.v 166 :: pépin ; noyau ; légume ; sécher ; graine ; baie ; olive ; manger ; noix ; laver
essuyer.v 215 :: subir ; recevoir ; accumuler ; essuie ; enchaîner ; connaître ; encaisser ; obtenir ; valoir ; déjà
essuyer.v 266 :: essuie ; enlever ; éviter ; balayer ; soigneusement ; retirer ; assurer ; nettoyer ; délicatement ; énergiquement
faucher.v 12 :: piéger ; déposer ; jeter ; agresser ; emmener ; sauver ; briser ; enlever ; acheter ; volée
faucher.v 42 :: mieux ; finalement ; révéler ; dévoiler ; vraiment ; déjà ; découverte ; trouver ; faire ; passer
faucher.v 116 :: semer ; presque ; finement ; abattre ; déjà ; froidement ; gravement ; pousser ; apparemment ; fou
faucher.v 160 :: donne ; laisse ; casser ; semer ; passer ; plante ; dernier ; marque ; piqu ; coupe
faucher.v 214 :: travailler ; extrêmement ; faire ; mauvais ; également ; presque ; politique ; voir ; mieux ; vraiment
faucher.v 239 :: presque ; acheter ; jamais ; déjà ; vert ; long ; prêt ; français ; volée ; plein
faucher.v 248 :: tombe ; brise ; frappe ; blesse ; casser ; abattre ; taire ; marque ; presque ; laisse
faucher.v 276 :: semer ; abattre ; planter ; récolter ; couper ; faire ; cultiver ; entretenir ; cueillir ; reconnaître
faucher.v 282 :: magnifiquement ; centre ; grave ; joliment ; casser ; légèrement ; frappe ; déséquilibre ; marque ; écarter
faucher.v 290 :: carreau ; abattre ; blesser ; olivier ; hache ; planter ; pré ; grièvement ; côté ; bataille
fonder.v 6 :: fondre ; créer ; former ; diriger ; organiser ; préside ; développer ; faire ; tenir ; bâtir
fonder.v 7 :: motiver ; force ; sous-tendre ; appuyer ; traverser ; justifier ; porte ; conditionne ; marque ; expliquer
fonder.v 54 :: base ; appuyer ; bâtir ; marque ; assurer ; ancre ; constituer ; solidement ; gagner ; presque
fonder.v 66 :: ferme ; rejoindre ; installer ; fabrique ; acheter ; formule ; commencer ; quitte ; finance ; déclarer
fonder.v 88 :: intégrer ; rejoindre ; finance ; ouvrir ; créer ; diriger ; forme ; installer ; quitte ; développer
fonder.v 93 :: appuyer ; base ; constituer ; repose ; forme ; construire ; porte ; traverser ; assurer ; centre
fonder.v 158 :: base ; focaliser ; repose ; bâtir ; baser ; ferme ; fonctionner ; appuyer ; situer ; forge
fonder.v 212 :: fabriquer ; instaurer ; faire ; créer ; naître ; fondation ; définir ; fondre ; installer ; développer
fonder.v 264 :: force ; traverser ; base ; bâtir ; motiver ; valide ; définir ; appuyer ; faire ; constituer
fonder.v 286 :: compte ; réunir ; ouvrir ; ferme ; forge ; forme ; développer ; créer ; diriger ; fabrique
grossier.a 24 :: grave ; flagrant ; complet ; stupide ; absolu ; monumental ; absurde ; évident ; profond ; grotesque
grossier.a 37 :: avancer ; subtil ; faible ; complet ; efficace ; vicieux ; évident ; sophistiquer ; puissant ; complexe
grossier.a 85 :: agressif ; violent ; vulgaire ; poli ; brutal ; vicieux ; arrogant ; tendre ; lâche ; dangereux
grossier.a 108 :: fin ; plat ; déchet ; total ; solide ; grain ; résidu ; produit ; gras ; grossièrement
grossier.a 134 :: grand ; subtil ; léger ; fort ; flagrant ; évident ; long ; petit ; rapide ; facile
grossier.a 179 :: rumeur ; information ; accusation ; publicité ; propagande ; farce ; faux ; nouveau ; vidéo ; bande
grossier.a 227 :: agressif ; arrogant ; poli ; surprendre ; commercial ; confus ; neutre ; prétentieux ; objectif ; vulgaire
grossier.a 228 :: produit ; vulgaire ; être ; étranger ; simplement ; article ; français ; production ; objet ; animal
grossier.a 231 :: vulgaire ; humain ; coupable ; terrestre ; public ; facile ; matériel ; commune ; moral ; profane
grossier.a 300 :: stupide ; voire ; bas ; vulgaire ; fin ; extrêmement ; presque ; critique ; grossièrement ; pique
hermétique.a 203 :: confidentiel ; obscur ; opaque ; inquiétant ; partiel ; rester ; mystérieux ; anonyme ; précis ; flou
hermétique.a 71 :: incompréhensible ; secret ; obscur ; opaque ; logique ; défensif ; totalement ; mécanique ; devenir ; mystérieux
hermétique.a 99 :: fermer ; plastique ; contenir ; sceller ; chinois ; alimentaire ; entier ; conserve ; original ; transparent
hermétique.a 126 :: étanche ; imperméable ; insensible ; sourd ; réfractaire ; opposer ; dépendre ; allergique ; attacher ; adapter
hermétique.a 127 :: élitiste ; social ; fermé ; rigide ; obscur ; religieux ; secret ; hypocrite ; politique ; opaque
hermétique.a 220 :: fermer ; mystère ; rester ; vide ; totalement ; secret ; clos ; seul ; entrer ; clore
hermétique.a 226 :: insensible ; sourd ; indifférent ; étanche ; imperméable ; réfractaire ; initier ; fermer ; allergique ; associer
hermétique.a 261 :: étanche ; opaque ; explicite ; interne ; sensible ; magique ; secret ; confidentiel ; étonnant ; brutal
hermétique.a 278 :: étanche ; alimentaire ; interne ; chimique ; plastique ; soigneusement ; parfaitement ; extérieur ; entièrement ; intérieure
hermétique.a 204 :: arcane ; opaque ; rester ; étrangement ; vide ; fragile ; mystérieux ; ultime ; déjà ; demeurer
incorrect.a 45 :: utile ; devoir ; nécessaire ; vouloir ; actif ; opérationnel ; estimer ; adapter ; apparent ; appeler
incorrect.a 125 :: con ; complètement ; in ; der ; super ; vraiment ; visiblement ; fois ; grand ; naître
incorrect.a 132 :: également ; totalement ; mal ; extrêmement ; faire ; déjà ; naître ; rester ; infiniment ; fort
incorrect.a 156 :: humaine ; également ; nécessaire ; raisonnable ; rendre ; vraiment ; estimer ; ordinaire ; complètement ; proprement
incorrect.a 159 :: utilisation ; résultat ; application ; activité ; expérience ; disposition ; applicabilité ; caractère ; usage ; compétence
incorrect.a 177 :: précis ; donner ; total ; correct ; erroné ; exact ; supérieur ; contraire ; déterminer ; inverse
incorrect.a 217 :: ici ; ridicule ; stupide ; faux ; controversé ; inutile ; con ; dépasser ; absurde ; inapproprié
incorrect.a 241 :: vraiment ; parfaitement ; fort ; dire ; complètement ; également ; totalement ; extrêmement ; socialement ; déjà
incorrect.a 298 :: ci-dessous ; politique ; abstention ; complémentaire ; malheureux ; communiqué ; présidentielle ; disponible ; législatif ; socialiste
incorrect.a 299 :: personnel ; confidentiel ; erroné ; bancaire ; saisir ; donnée ; financier ; effacer ; important ; opérationnel
intérêt.n 63 :: avis ; opinion ; camp ; sentiment ; élément ; objectif ; point ; jugement ; rôle ; argument
intérêt.n 97 :: ensemble ; article ; état ; évolution ; entier ; approche ; actuel ; origine ; international ; irremplaçable
intérêt.n 129 :: international ; or ; externe ; art ; air ; énergie ; étroit ; importation ; ensemble ; étymologie
intérêt.n 146 :: air ; international ; art ; or ; aide ; image ; éternel ; clip ; usage ; heureux
intérêt.n 155 :: article ; effectif ; appareil ; utilisateur ; audiovisuel ; audit ; nouveau ; audiovisuelle ; international ; énergie
intérêt.n 218 :: avantage ; intéressant ; attrer ; utilité ; enseignement ; importance ; atout ; sens ; inconvénient ; côté
intérêt.n 263 :: air ; clip ; aide ; externe ; efficace ; voir ; min ; cor ; international ; nouveau
intérêt.n 268 :: international ; externe ; image ; étroit ; air ; or ; actuel ; interne ; étymologie ; aide
intérêt.n 271 :: être ; air ; origine ; apparemment ; ensemble ; évolution ; ampli ; efficace ; environnement ; international
intérêt.n 297 :: aide ; air ; clip ; externe ; propre ; image ; or ; art ; enseigner ; animal
interpréter.v 18 :: chanter ; ré ; également ; jouer ; ensuite ; principalement ; ici ; essentiellement ; spécialement ; reprendre
interpréter.v 21 :: chanter ; exécuter ; jouer ; remplacer ; chant ; adapter ; incarner ; écouter ; arranger ; interprétation
interpréter.v 59 :: penser ; faire ; analyser ; mieux ; expliquer ; comprendre ; différemment ; mal ; ensuite ; orienter
interpréter.v 80 :: art ; or ; an ; aide ; heureux ; image ; ici ; air ; automne ; obliger
interpréter.v 123 :: international ; or ; aide ; art ; ensemble ; eau ; air ; expérience ; origine ; évolution
interpréter.v 128 :: joue ; incarner ; camper ; interprétation ; ici ; assurer ; offrir ; jouer ; tenir ; cher
interpréter.v 157 :: recevoir ; analyse ; accueillir ; traite ; enregistrer ; utiliser ; accepter ; encaisse ; écrire ; actif
interpréter.v 260 :: interprétation ; comprendre ; décoder ; analyser ; expliquer ; faire ; évaluer ; entendre ; exprimer ; manipuler
interpréter.v 267 :: entendre ; comprendre ; vivre ; percevoir ; ici ; recevoir ; ressentir ; présenter ; interprétation ; lire
interpréter.v 289 :: jouer ; incarner ; chanter ; animé ; dansé ; imaginer ; offrir ; porter ; interprétation ; écrire
maintenir.v 94 :: également ; tenir ; clairement ; soutenir ; assurer ; parfaitement ; confirmer ; ensuite ; pourtant ; poursuivre
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; référencer ; identifier ; mentionner ; signaler ; renseigner ; repérer
maintenir.v 154 :: garder ; tenir ; conserver ; observer ; garde ; pourtant ; maintien ; fermement ; constamment ; demeurer
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; retenir ; demeurer ; entretenir ; conforter ; mettre ; perpétuer
maintenir.v 183 :: nécessaire ; bon ; maintien ; savoir ; ici ; fort ; constance ; également ; assurer ; objectif
maintenir.v 207 :: conserver ; demeurer ; préserver ; soutenir ; maintien ; pérenniser ; retenir ; rester ; réintégrer ; garder
maintenir.v 230 :: pouvoir ; tenir ; compte ; être ; devoir ; dernier ; compter ; présent ; également ; venir
maintenir.v 234 :: considérer ; souhaiter ; estime ; vouloir ; proposer ; soutenir ; rappeler ; affirmer ; réaffirmer ; refuser
maintenir.v 251 :: confirmer ; tenir ; réitérer ; conserve ; réaffirmer ; répéter ; renouveler ; soutenir ; renforcer ; appuyer
maintenir.v 281 :: compte ; dire ; tenir ; falloir ; croire ; voir ; vouloir ; rendre ; affirmer ; ajouter
mince.a 17 :: épais ; faible ; fin ; fort ; léger ; vulnérable ; haut ; étroit ; fragile ; court
mince.a 96 :: fin ; régulier ; épais ; sec ; lisse ; léger ; continuer ; chimique ; sensible ; métallique
mince.a 147 :: fin ; léger ; serrer ; tendre ; réussir ; moyen ; préciser ; maigre ; poreux ; équilibré
mince.a 170 :: énorme ; réduire ; bon ; petit ; serrer ; fort ; malade ; prendre ; maigre ; éphémère
mince.a 192 :: fin ; léger ; légèrement ; modèle ; finement ; chiffre ; épais ; papier ; extra ; diamant
mince.a 202 :: fin ; petit ; léger ; nouveau ; épais ; double ; dernier ; simple ; infime ; fort
mince.a 213 :: épais ; fin ; presque ; léger ; légèrement ; petit ; court ; fragile ; également ; droit
mince.a 225 :: maigre ; grand ; petit ; réel ; bel ; énorme ; brillant ; bref ; lâche ; nouveau
mince.a 242 :: fin ; étroit ; fragile ; bon ; faible ; fort ; serrer ; loin ; bel ; court
mince.a 292 :: fin ; transparent ; métallique ; épais ; supérieur ; conducteur ; continuer ; limite ; diélectrique ; double
modeste.a 29 :: petit ; minuscule ; studio ; grand ; léger ; humble ; minable ; misérable ; important ; local
modeste.a 114 :: pauvre ; humble ; bon ; jamais ; digne ; vivant ; reconnaître ; petit ; généreux ; honnête
modeste.a 121 :: important ; significatif ; faible ; petit ; croissant ; timide ; élevé ; mesurer ; minime ; essentiel
modeste.a 163 :: minime ; limité ; léger ; petit ; nécessaire ; rapide ; spectaculaire ; virtuel ; important ; réel
modeste.a 195 :: minime ; important ; symbolique ; misérable ; maigre ; élevé ; faible ; limité ; personnel ; mineur
modeste.a 197 :: faible ; pauvre ; maigre ; petit ; économique ; mince ; sérieux ; aisé ; fragile ; isolé
modeste.a 200 :: limité ; faible ; temps ; prudent ; réduire ; restreindre ; léger ; nécessaire ; chose ; populaire
modeste.a 246 :: faible ; élevé ; important ; inférieur ; moindre ; conséquent ; petit ; léger ; économique ; insignifiant
modeste.a 269 :: humble ; petit ; digne ; jeune ; misérable ; pauvre ; frêle ; simple ; noble ; minuscule
modeste.a 283 :: humble ; digne ; honnête ; discret ; pauvre ; orgueilleux ; timide ; simple ; populaire ; décent
montée.n 15 :: côte ; vie ; faveur ; direction ; monte ; tendance ; vallée ; victoire ; chaîne ; crête
montée.n 56 :: montagne ; partie ; chute ; descente ; vallée ; hauteur ; pente ; progression ; cascade ; augmentation
montée.n 75 :: monte ; balade ; terrasse ; entrée ; descente ; visite ; promenade ; face ; ascension ; galerie
