affection.n 8 :: occasion ; disposition ; époque ; dernier ; considération ; institution ; assemblée ; maladie ; extrémité ; observation
capacité.n 32 :: puissance ; activité ; force ; production ; technologie ; propriété ; tête ; chaîne ; quantité ; utilisation
capacité.n 35 :: équipe ; spécialiste ; clinique ; université ; formation ; faculté ; activité ; médecin ; population ; docteur
capacité.n 70 :: puissance ; consommation ; fréquentation ; disponibilité ; réserve ; charge ; quantité ; surface ; hauteur ; performance
capacité.n 73 :: faculté ; compétence ; aptitude ; possibilité ; détermination ; force ; disponibilité ; volonté ; souplesse ; connaissance
capacité.n 101 :: qualité ; faculté ; puissance ; propre ; compétence ; fonction ; force ; plénitude ; pouvoir ; liberté
capacité.n 103 :: disponibilité ; stock ; ressource ; réserve ; infrastructure ; batterie ; puissance ; quantité ; production ; zone
capacité.n 110 :: puissance ; quantité ; possibilité ; réserve ; participation ; réduction ; garantie ; fonction ; somme ; location
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; puissance ; pouvoir ; force ; porter ; vivacité ; maîtrise
capacité.n 148 :: faculté ; bon ; offrir ; formation ; aptitude ; compétence ; site ; protection ; complet ; base
commander.v 5 :: publier ; réaliser ; vouloir ; donner ; accomplir ; demander ; écrire ; produit ; tenir ; envoyer
commander.v 9 :: commander ; ligne ; lire ; immédiatement ; vivre ; commencer ; créer ; prendre ; acheter ; payer
commander.v 16 :: diriger ; soutenir ; commanda ; consigne ; mener ; lancer ; combat ; ordonner ; reprendre ; subir
commander.v 41 :: décider ; choisir ; demander ; assurer ; commencer ; faire ; gérer ; ordonner ; définir ; commande
commander.v 48 :: contrôlent ; diriger ; tirer ; déterminer ; gérer ; financer ; créer ; mener ; dominer ; régir
commander.v 117 :: commande ; dicter ; normalement ; ordonner ; prescrire ; demande ; pourtant ; enjoindre ; réclame ; seul
commander.v 164 :: ordonner ; demande ; passer ; dicter ; donne ; imposer ; ment ; obéir ; demander ; résister
commander.v 171 :: commande ; acheter ; commencer ; valider ; partir ; ouvrir ; déguster ; recevoir ; venir ; admirer
commander.v 206 :: tandis ; donne ; ajouter ; protéger ; permettre ; venir ; voir ; vouloir ; donner ; limite
commander.v 240 :: commande ; faire ; régler ; contrôler ; ajouter ; piloter ; également ; réaliser ; apprendre ; grâce
compris.a 52 :: accepter ; assimiler ; compréhensible ; lire ; contenue ; partager ; recevoir ; percevoir ; maîtriser ; entendre
compris.a 90 :: ajouter ; penser ; falloir ; réaliser ; croire ; considérer ; trouver ; assurer ; reconnaître ; juger
compris.a 106 :: prouver ; corrigé ; vivre ; pis ; penser ; apprendre ; confirmer ; davantage ; vouloir ; préciser
compris.a 185 :: inclure ; contenir ; incorporer ; entendre ; inscrire ; reconnaître ; mentionner ; découvrir ; présent ; nécessaire
compris.a 186 :: inclure ; également ; déjà ; inclus ; partout ; rester ; confondre ; entrer ; présent ; peut-être
compris.a 187 :: inclure ; situer ; estimer ; contenu ; évaluer ; compter ; enseigner ; actuellement ; calculer ; comprendre
compris.a 211 :: répartir ; tique ; moyen ; intermédiaire ; situer ; contenir ; mesurer ; constant ; présent ; inclus
compris.a 232 :: inclure ; prendre ; inclus ; également ; intégré ; reprendre ; contenu ; compter ; expliquer ; couvert
compris.a 272 :: saisir ; comprendre ; réaliser ; capter ; entendre ; deviner ; intégré ; croire ; penser ; percevoir
compris.a 287 :: intégré ; assimiler ; saisir ; comprendre ; apprendre ; apprécier ; reconnaître ; capter ; percevoir ; adopter
couverture.n 65 :: dernier ; page ; introduction ; présentation ; santé ; actualité ; sommaire ; partie ; éditorial ; édition
couverture.n 67 :: vie ; peau ; carrière ; mort ; survie ; réputation ; liberté ; chance ; route ; veste
couverture.n 72 :: produit ; housse ; peau ; sol ; pochette ; reliure ; création ; support ; tatouage ; base
couverture.n 143 :: couvrir ; fort ; manchette ; illustration ; page ; vignette ; beauté ; bref ; couvert ; jaquette
couverture.n 149 :: protection ; sécurité ; vie ; responsabilité ; loi ; surveillance ; gestion ; politique ; perception ; technologie
couverture.n 150 :: toiture ; couvrir ; pierre ; charpente ; toit ; réfection ; construction ; tuile ; revêtement ; reconstruction
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; disponibilité ; convergence ; conquête ; gestion
couverture.n 257 :: reliure ; toiture ; remplacement ; base ; protection ; finition ; revêtement ; cahier ; solution ; papier
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; douche ; voil ; corde ; enveloppe ; protection ; bâche
couverture.n 280 :: province ; carapace ; légende ; rose ; toiture ; bon ; dessin ; préface ; capitale ; terre
débit.n 64 :: faciliter ; règlement ; paiement ; compte ; in ; dépôt ; achat ; terme ; crédit ; service
débit.n 87 :: résultat ; volume ; trafic ; rendement ; contenu ; montant ; chargement ; nombre ; taux ; niveau
débit.n 115 :: niveau ; cours ; volume ; flux ; flot ; écoulement ; jet ; canal ; régime ; rythme
débit.n 131 :: niveau ; eau ; couche ; nappe ; bassin ; courant ; lac ; quantité ; masse ; cours
débit.n 136 :: flux ; apport ; cours ; poids ; effectif ; volume ; potentiel ; réel ; valeur ; journalier
débit.n 168 :: compte ; automatique ; virement ; bancaire ; montant ; versement ; solde ; faciliter ; dépôt ; produit
débit.n 169 :: niveau ; cours ; rythme ; flux ; module ; volume ; bassin ; flot ; système ; ruisseau
débit.n 184 :: rythme ; vitesse ; taux ; rendement ; potentiel ; capacité ; traitement ; cadence ; intérêt ; stockage
débit.n 188 :: flux ; apport ; niveau ; courant ; versant ; eau ; cours ; moyen ; affluent ; important
débit.n 205 :: rythme ; flux ; tempo ; caractère ; accès ; canal ; fonctionnement ; mode ; système ; service
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; directrice ; critique ; présidence ; discipline ; maîtrise ; baguette
direction.n 111 :: conduite ; orientation ; ligne ; directrice ; tendance ; gestion ; forme ; vision ; tête ; route
direction.n 151 :: directeur ; général ; directrice ; gestion ; contrôle ; responsable ; interne ; management ; responsabilité ; division
direction.n 152 :: forme ; courbe ; vitesse ; différence ; loi ; puissance ; position ; tendance ; nature ; sens
direction.n 172 :: destination ; rejoindre ; presque ; forme ; pied ; doucement ; peut-être ; vie ; nord ; aller
direction.n 176 :: conduite ; sécurité ; stabilité ; contrôle ; transmission ; orientation ; directrice ; directeur ; tête ; performance
direction.n 199 :: nouveau ; ligne ; équipe ; interne ; droite ; bon ; porte ; directrice ; bureau ; management
direction.n 223 :: directrice ; diriger ; conduite ; directeur ; musical ; gestion ; équipe ; principal ; interprétation ; critique
direction.n 262 :: responsabilité ; tête ; directrice ; charge ; défense ; maîtrise ; conduite ; présidence ; gestion ; main
direction.n 279 :: provenance ; sens ; venir ; face ; faveur ; raison ; destination ; sortir ; province ; région
don.n 19 :: talent ; sens ; style ; pouvoir ; souci ; jour ; centre ; angle ; temps ; point
don.n 30 :: talent ; oeil ; pouvoir ; atout ; élan ; instinct ; sens ; loisir ; trait ; côté
don.n 36 :: talent ; pouvoir ; sens ; domaine ; souher ; charm ; génie ; amour ; lien ; cadeau
don.n 60 :: cadeau ; geste ; traire ; legs ; produit ; domaine ; point ; signe ; titre ; talent
don.n 84 :: produit ; cadeau ; apport ; déchet ; animal ; service ; achat ; enfant ; contribution ; transfert
don.n 107 :: cadeau ; présent ; part ; grâce ; preuve ; offrir ; prix ; sacrifice ; signe ; geste
don.n 130 :: enfant ; fonds ; bénéficiaire ; cadeau ; ami ; généreux ; lien ; personne ; parent ; homme
don.n 196 :: talent ; génie ; pouvoir ; temps ; secret ; traitement ; truc ; style ; chic ; trésor
don.n 244 :: cadeau ; soutien ; mécénat ; versement ; contenir ; contribution ; legs ; bénévolat ; travail ; transfert
don.n 245 :: témoignage ; cadeau ; mariage ; bon ; parent ; legs ; enfant ; apport ; talent ; pouvoir
entraîner.v 39 :: or ; art ; aide ; ensemble ; expédition ; immigré ; évolution ; air ; aller ; ion
entraîner.v 47 :: obliger ; amener ; aider ; engager ; encourager ; inciter ; aide ; conduire ; pousse ; invite
entraîner.v 55 :: air ; clip ; aide ; international ; interne ; art ; actuel ; externe ; italien ; ancien
entraîner.v 57 :: or ; air ; excellent ; obliger ; eau ; aller ; homme ; utilisateur ; ensemble ; heureux
entraîner.v 133 :: air ; art ; aide ; image ; interne ; ancien ; eau ; animal ; clip ; or
entraîner.v 140 :: amener ; mener ; envoyer ; attirer ; engager ; conduire ; pousser ; emporter ; apprendre ; appeler
entraîner.v 144 :: loin ; déjà ; fortement ; attirer ; pousse ; conduire ; également ; ici ; vraiment ; vite
entraîner.v 161 :: amener ; engendrer ; conduire ; provoquer ; apparaître ; éviter ; produire ; expliquer ; créer ; accentuer
entraîner.v 162 :: engendrer ; provoquer ; induire ; assurer ; amener ; actif ; influence ; favoriser ; encourager ; déclenche
entraîner.v 191 :: emporter ; conduire ; amener ; attirer ; atteindre ; précipiter ; engager ; abandonner ; jeter ; arrêter
éplucher.v 10 :: peler ; laver ; cueillir ; presser ; égoutter ; récolter ; nettoyer ; préparer ; brosser ; acheter
éplucher.v 51 :: regarder ; accès ; examiner ; fouillé ; lire ; travailler ; analyser ; manipuler ; trouver ; amasser
éplucher.v 69 :: soigneusement ; systématiquement ; scrupuleusement ; attentivement ; lire ; minutieusement ; faire ; vérifier ; rapidement ; examiner
éplucher.v 100 :: éplucher ; couper ; écraser ; peler ; récolter ; oignon ; cultiver ; peser ; nettoyer ; ramasser
éplucher.v 119 :: éplucher ; allègrement ; moult ; minutieusement ; gros ; scrupuleusement ; presque ; soigneusement ; mal ; bon
éplucher.v 167 :: laver ; laisser ; oublier ; choisir ; utiliser ; également ; garder ; faire ; prendre ; fruit
éplucher.v 174 :: parcourir ; voir ; consulter ; explorer ; regarder ; afficher ; lire ; retrouver ; fouiller ; découvrir
éplucher.v 235 :: peler ; faire ; tailler ; cuire ; trancher ; oignon ; couper ; lamelle ; fin ; creuser
éplucher.v 236 :: récolter ; éplucher ; déjà ; aller ; également ; collecter ; évidemment ; forcément ; entendre ; scrupuleusement
éplucher.v 258 :: peler ; fois ; faire ; cuire ; laver ; pêcher ; rincer ; carotte ; blanchir ; manger
espace.n 13 :: or ; centre ; accueil ; art ; ouverture ; établissement ; accès ; international ; origine ; ensemble
espace.n 27 :: or ; obliger ; air ; immigré ; aide ; énergie ; aller ; usage ; anglais ; étrange
espace.n 79 :: outil ; coin ; environnement ; zone ; ensemble ; office ; écran ; emplacement ; service ; option
espace.n 120 :: étroit ; air ; excellent ; article ; ajouter ; énergie ; aide ; avantage ; utiliser ; ancien
espace.n 137 :: environnement ; information ; entreprise ; investissement ; enseignement ; propriété ; marché ; développement ; électronique ; statistique
espace.n 142 :: air ; international ; étymologie ; art ; interne ; externe ; allemand ; image ; aide ; ancien
espace.n 180 :: donnée ; lien ; partage ; arbre ; temps ; information ; place ; droit ; relation ; équilibre
espace.n 208 :: or ; ensemble ; air ; article ; être ; environnement ; entreprise ; audit ; in ; international
espace.n 229 :: événement ; service ; petit ; propre ; produit ; développement ; environnement ; équipement ; aménagement ; investissement
espace.n 243 :: ensemble ; rôle ; écran ; temps ; article ; air ; enfant ; vide ; contrôle ; entier
essuyer.v 11 :: essuyer ; essuie ; ensuite ; soigneusement ; avoir ; laver ; doucement ; vouloir ; abondamment ; délicatement
essuyer.v 58 :: constater ; subir ; rencontrer ; causer ; enregistrer ; remarquer ; accumuler ; trouver ; déjà ; connaître
essuyer.v 77 :: essuie ; faire ; avoir ; laisser ; devoir ; éponge ; voir ; être ; verse ; laver
essuyer.v 81 :: oui ; légèrement ; essuie ; presque ; poli ; propre ; avoir ; ra ; bile ; être
essuyer.v 86 :: passer ; ligne ; continuer ; recevoir ; ajouter ; assurer ; laisse ; arriver ; donne ; assister
essuyer.v 89 :: recevoir ; subir ; rencontrer ; annoncer ; connaître ; obtenir ; constater ; apprendre ; signer ; afficher
essuyer.v 98 :: encaisser ; recevoir ; faire ; subir ; prendre ; voir ; souffrir ; gagner ; perdre ; rencontrer
essuyer.v 166 :: pépin ; sécher ; légume ; graine ; feuille ; noix ; olive ; main ; laver ; fruit
essuyer.v 215 :: subir ; essuie ; recevoir ; déjà ; encaisser ; finalement ; verser ; infliger ; opposer ; sortir
essuyer.v 266 :: avoir ; être ; ensuite ; soigneusement ; légèrement ; lent ; ment ; doucement ; er ; garde
faucher.v 12 :: jeter ; tuer ; briser ; assassiner ; servir ; agresser ; planter ; bêtement ; volontairement ; passer
faucher.v 42 :: voler ; peut-être ; révéler ; mieux ; apparaître ; déjà ; dévoiler ; découverte ; ajouter ; devenir
faucher.v 116 :: abattre ; détruire ; semer ; assassiner ; dévaster ; tuer ; ravager ; attaquer ; écraser ; massacré
faucher.v 160 :: tombe ; coûter ; avoir ; être ; faire ; attirer ; rencontre ; éclater ; arriver ; piqu
faucher.v 214 :: faire ; presque ; extrêmement ; payer ; mutuellement ; donner ; profondément ; aller ; vraiment ; arracher
faucher.v 239 :: servir ; acheter ; jeter ; renverser ; entamer ; presque ; cassé ; vieux ; commander ; partager
faucher.v 248 :: taire ; français ; meurtre ; grièvement ; mort ; tombe ; homicide ; voiture ; policier ; fusillade
faucher.v 276 :: couper ; abattre ; pousser ; planter ; tailler ; cueillir ; arracher ; récolter ; piquer ; écraser
faucher.v 282 :: magnifiquement ; passer ; presque ; au-dessus ; joliment ; bêtement ; tranquillement ; involontairement ; poteau ; taire
faucher.v 290 :: grièvement ; gravement ; volontairement ; pré ; sou ; peut-être ; abattre ; blesser ; presque ; délibérément
fonder.v 6 :: diriger ; créer ; organiser ; fondre ; former ; développer ; quitter ; installer ; bâtir ; tenir
fonder.v 7 :: force ; conditionne ; porte ; motiver ; appuyer ; traverser ; ferme ; constituer ; sous-tendre ; valide
fonder.v 54 :: foi ; base ; solide ; constituer ; solidement ; loi ; philosophie ; philosophique ; fondamental ; être
fonder.v 66 :: développer ; ferme ; installer ; créer ; diriger ; composer ; commencer ; formule ; trouver ; quitte
fonder.v 88 :: fondation ; ouvrir ; créer ; fondateur ; finance ; dot ; français ; ferme ; centre ; diriger
fonder.v 93 :: forme ; traverser ; force ; conditionne ; définir ; assurer ; construire ; base ; cadre ; renforcer
fonder.v 158 :: base ; repose ; fond ; appuyer ; forge ; bâtir ; fixe ; construire ; greffe ; ferme
fonder.v 212 :: former ; constituer ; contracter ; créer ; forger ; faire ; fabriquer ; bâtir ; fer ; partager
fonder.v 264 :: motiver ; définir ; sous-tendre ; caractériser ; force ; valide ; structure ; constituer ; justifier ; base
fonder.v 286 :: diriger ; fondation ; finance ; anime ; ouvrir ; ferme ; formule ; fond ; fabrique ; forme
grossier.a 24 :: valable ; stupide ; ridicule ; flagrant ; évident ; scandaleux ; courant ; absurde ; dangereux ; grotesque
grossier.a 37 :: résultat ; rendre ; fin ; finement ; délicat ; sexe ; souffrir ; travailler ; esthétique ; tendre
grossier.a 85 :: chat ; fin ; résultat ; sel ; mat ; caractère ; nain ; franc ; léger ; déchet
grossier.a 108 :: minéral ; lourd ; caillou ; calcaire ; fin ; tailler ; bien ; solide ; rocheux ; brut
grossier.a 134 :: subtil ; léger ; grand ; petit ; flagrant ; fort ; gros ; lourd ; fréquent ; évident
grossier.a 179 :: énième ; nouveau ; grand ; énorme ; gros ; petit ; dernier ; ultime ; subtil ; profond
grossier.a 227 :: vulgaire ; poli ; arrogant ; prétentieux ; raciste ; agressif ; gêner ; ridicule ; hypocrite ; approximatif
grossier.a 228 :: commentaire ; produit ; mensonge ; passage ; accusation ; contenir ; témoignage ; enfant ; lien ; technique
grossier.a 231 :: léger ; humain ; vulgaire ; pur ; matériel ; inférieur ; brut ; superficiel ; profond ; brutal
grossier.a 300 :: stupide ; faire ; vulgaire ; bête ; sale ; lâche ; léger ; bas ; indigne ; inférieur
hermétique.a 203 :: obscur ; opaque ; fermer ; priori ; clos ; mystère ; technique ; close ; tique ; mystérieux
hermétique.a 71 :: obscur ; mystérieux ; opaque ; étrange ; secret ; énigmatique ; discret ; confidentiel ; étanche ; fermer
hermétique.a 99 :: fermer ; sceller ; plastique ; entier ; alimentaire ; contenir ; aluminium ; complètement ; chinois ; presque
hermétique.a 126 :: étanche ; insensible ; allergique ; opposer ; imperméable ; dépendre ; attacher ; fermer ; atomique ; chimiquement
hermétique.a 127 :: élitiste ; étanche ; commercial ; académique ; obscur ; personnel ; secret ; officiel ; religieux ; rigide
hermétique.a 220 :: rester ; arcane ; totalement ; secret ; livre ; parfaitement ; forcément ; mystère ; peut-être ; voire
hermétique.a 226 :: totalement ; complètement ; définitivement ; vraiment ; jamais ; suisse ; pierre ; système ; presque ; tombe
hermétique.a 261 :: magique ; éloquer ; étanche ; efficace ; hypocrite ; discret ; éphémère ; opaque ; relatif ; ironique
hermétique.a 278 :: parfaitement ; totalement ; complètement ; entièrement ; alimentaire ; interne ; secret ; chimique ; solide ; suisse
hermétique.a 204 :: obscur ; mystérieux ; inquiétant ; magique ; opaque ; profane ; étrange ; insolite ; familier ; priori
incorrect.a 45 :: rée ; opérationnel ; actif ; général ; der ; politiquement ; con ; vraiment ; créatif ; ré
incorrect.a 125 :: naître ; également ; ré ; der ; ent ; ante ; visiblement ; immédiatement ; audible ; complètement
incorrect.a 132 :: revenir ; extrêmement ; rester ; tomber ; doublement ; vraiment ; entier ; savoir ; impossible ; devenir
incorrect.a 156 :: politique ; in ; normal ; criminel ; ordinaire ; humaine ; mal ; vraiment ; honnête ; raisonnable
incorrect.a 159 :: in ; totalement ; complètement ; appeler ; disponible ; ex ; total ; accès ; utilisation ; anglais
incorrect.a 177 :: contraire ; erroné ; précis ; supérieur ; inverse ; correct ; automatique ; arbitraire ; gagner ; donner
incorrect.a 217 :: ici ; politiquement ; correct ; inapproprié ; intéressant ; sujet ; stupide ; approprié ; inutile ; négativement
incorrect.a 241 :: vraiment ; complètement ; presque ; totalement ; parfaitement ; généralement ; apparemment ; également ; malheureusement ; devenir
incorrect.a 298 :: correct ; incomplet ; erroné ; bon ; disponible ; intéressant ; original ; exact ; valide ; essentiel
incorrect.a 299 :: personnel ; donnée ; confidentiel ; erroné ; électronique ; saisir ; opérationnel ; manquante ; bancaire ; transmettre
intérêt.n 63 :: ennemi ; sentiment ; objectif ; bien ; agenda ; appétit ; dessein ; ordre ; enjeu ; opinion
intérêt.n 97 :: ensemble ; article ; entier ; international ; groupe ; entreprise ; église ; nouveau ; direction ; organisation
intérêt.n 129 :: principal ; véritable ; nouveau ; éventuel ; étroit ; excellent ; propre ; immense ; intense ; profond
intérêt.n 146 :: or ; air ; international ; ouverture ; ensemble ; évolution ; emploi ; art ; image ; aéroport
intérêt.n 155 :: article ; entreprise ; international ; énergie ; information ; utilisateur ; origine ; environnement ; effectif ; audiovisuel
intérêt.n 218 :: intéressant ; avantage ; côté ; important ; utilité ; faible ; attrer ; sens ; argument ; enseignement
intérêt.n 263 :: or ; être ; air ; arriver ; ensemble ; in ; er ; emploi ; origine ; eau
intérêt.n 268 :: excellent ; propre ; véritable ; nouveau ; petit ; immense ; profond ; meilleur ; or ; simple
intérêt.n 271 :: être ; aide ; étrange ; image ; animal ; aimable ; ensemble ; propre ; appareil ; original
intérêt.n 297 :: air ; externe ; interne ; international ; art ; adjectif ; étroit ; obliger ; alpha ; éponyme
interpréter.v 18 :: chanter ; jouer ; ré ; interprétation ; principalement ; offrir ; varier ; inspirer ; imaginer ; aussitôt
interpréter.v 21 :: arranger ; exécuter ; jouer ; illustrer ; adapter ; enregistrer ; écrire ; chanter ; reprendre ; incarner
interpréter.v 59 :: penser ; inverser ; expliquer ; faire ; interprétation ; comprendre ; analyser ; ici ; mieux ; mal
interpréter.v 80 :: aide ; image ; origine ; or ; obliger ; aller ; histoire ; ensemble ; heureux ; évolution
interpréter.v 123 :: or ; expérience ; international ; aide ; image ; eau ; art ; usage ; histoire ; illustre
interpréter.v 128 :: joue ; ici ; incarner ; assurer ; in ; jouer ; principal ; également ; interprétation ; tenir
interpréter.v 157 :: traite ; traduire ; écoute ; analyse ; imaginer ; recevoir ; enregistrer ; écrire ; interprétation ; ressentir
interpréter.v 260 :: interprétation ; faire ; pouvoir ; traduire ; comprendre ; décoder ; correctement ; exprimer ; lire ; émettre
interpréter.v 267 :: recevoir ; percevoir ; vivre ; comprendre ; regarder ; apprécier ; lire ; énoncer ; présenter ; entendre
interpréter.v 289 :: incarner ; jouer ; imaginer ; chanter ; animé ; proposer ; offrir ; présenter ; porter ; inventer
maintenir.v 94 :: soutenir ; affirmer ; assurer ; répéter ; insister ; souligner ; ajouter ; tenir ; réitérer ; préciser
maintenir.v 113 :: présent ; inscrire ; visible ; mentionner ; signaler ; apposer ; placer ; enregistrer ; disponible ; afficher
maintenir.v 154 :: garder ; conserver ; renforcer ; tenir ; assurer ; souligner ; soutenir ; mettre ; observer ; confirmer
maintenir.v 175 :: préserver ; conserver ; demeurer ; retenir ; conforter ; persuader ; divertir ; garder ; maintien ; mener
maintenir.v 183 :: préserver ; garder ; conserver ; demeurer ; favoriser ; garantir ; assurer ; entretenir ; mettre ; maintien
maintenir.v 207 :: garder ; maintien ; préserver ; demeurer ; conserver ; soutenir ; retenir ; rester ; transporter ; divertir
maintenir.v 230 :: tenir ; pouvoir ; dernier ; compte ; compter ; également ; personnellement ; continuer ; excellent ; vouloir
maintenir.v 234 :: considérer ; souhaiter ; rappeler ; proposer ; demande ; estime ; soutenir ; reconnaître ; affirmer ; vouloir
maintenir.v 251 :: réitérer ; tenir ; confirmer ; réaffirmer ; conserve ; répéter ; renouveler ; soutenir ; reprendre ; poursuivre
maintenir.v 281 :: compte ; résultat ; note ; bref ; conseil ; contexte ; programme ; réponse ; remarqu ; expérience
mince.a 17 :: fin ; épais ; maigre ; légèrement ; frêle ; petit ; léger ; grand ; ressembler ; faible
mince.a 96 :: fin ; régulier ; lisse ; sec ; épais ; léger ; humide ; simple ; fixe ; vapeur
mince.a 147 :: léger ; faible ; fin ; sommaire ; original ; limité ; dense ; complexe ; maigre ; simple
mince.a 170 :: parallèle ; solide ; chose ; fort ; extrêmement ; déjà ; légèrement ; similaire ; indice ; vraiment
mince.a 192 :: panneau ; fin ; feuille ; finement ; papier ; lamelle ; particule ; fibre ; bande ; cristal
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; faible ; double ; important ; dernier ; simple
mince.a 213 :: maigre ; faible ; minime ; petit ; réduire ; riche ; vert ; infime ; léger ; misérable
mince.a 225 :: bel ; grand ; terrible ; triste ; récent ; léger ; jeune ; mauvais ; fameux ; honorable
mince.a 242 :: fin ; fort ; faible ; préciser ; bel ; franchir ; fragile ; flou ; haut ; inexistant
mince.a 292 :: fin ; supérieur ; continuer ; solaire ; mobile ; conducteur ; interne ; fixe ; mère ; écran
modeste.a 29 :: petit ; minuscule ; modique ; relatif ; paisible ; dérisoire ; insignifiant ; minime ; maigre ; humble
modeste.a 114 :: humble ; pauvre ; petit ; honnête ; discret ; bon ; malheureux ; poli ; muet ; simple
modeste.a 121 :: minime ; faible ; important ; négligeable ; significatif ; restreindre ; modique ; réduire ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; léger ; mesurer ; personnel ; faible ; surprenant ; significatif ; considérable ; important
modeste.a 195 :: limité ; important ; faible ; élevé ; considérable ; économique ; misérable ; substantiel ; personnel ; confortable
modeste.a 197 :: pauvre ; faible ; petit ; économique ; limité ; local ; aisé ; entrepreneur ; contraindre ; dirigeant
modeste.a 200 :: limité ; faible ; réduire ; restreindre ; léger ; mesurer ; élevé ; petit ; modérer ; temporaire
modeste.a 246 :: élevé ; important ; moindre ; faible ; léger ; inférieur ; relatif ; considérable ; petit ; marchand
modeste.a 269 :: petit ; humble ; pauvre ; digne ; jeune ; médiocre ; brillant ; bon ; fier ; malheureux
modeste.a 283 :: humble ; digne ; modestie ; discret ; pauvre ; bel ; petit ; faible ; personnel ; timide
montée.n 15 :: courbe ; côte ; poussée ; droite ; tendance ; faveur ; ligne ; descente ; sortie ; partie
montée.n 56 :: chute ; partie ; chaîne ; présidence ; construction ; gestion ; hauteur ; question ; victoire ; manière
montée.n 75 :: descente ; visite ; suite ; promenade ; balade ; journée ; face ; finale ; rencontre ; sortie
montée.n 138 :: performance ; gestion ; évolution ; hausse ; croissance ; poussée ; dynamique ; progression ; vie ; maîtrise
