affection.n 8 :: international ; spécial ; général ; automobile ; renaître ; aérospatial ; agricole ; richelieu ; surveillance ; gouvernement
arrêter.v 181 :: complet ; continuer ; dresse ; présente ; affiche ; vérifier ; modifier ; terminer ; poursuivre ; préparer
arrêter.v 219 :: acheter ; faire ; stopper ; fabriquer ; tuer ; attraper ; bloquer ; transporter ; atteindre ; produire
arrêter.v 273 :: ci-dessous ; ici ; donner ; accord ; ci ; précis ; définitif ; important ; établir ; point
arrêter.v 277 :: or ; article ; in ; but ; intermédiaire ; an ; air ; avoir ; aimer ; art
arrêter.v 291 :: publier ; émettre ; proposer ; établir ; décider ; délivrer ; signer ; fixer ; nommer ; éditer
capacité.n 26 :: radio ; an ; également ; cas ; voire ; second ; faire ; cours ; jour ; mois
capacité.n 32 :: puissance ; tête ; quantité ; chaîne ; différence ; raison ; force ; charge ; réserve ; possibilité
capacité.n 35 :: université ; chambre ; spécialiste ; propriété ; disponibilité ; activité ; journaliste ; équipe ; clientèle ; membre
capacité.n 70 :: puissance ; consommation ; surface ; contribution ; charge ; quantité ; production ; utilisation ; fréquentation ; volume
capacité.n 73 :: faculté ; souplesse ; aptitude ; force ; compétence ; résilience ; volonté ; détermination ; dimension ; créativité
capacité.n 101 :: qualité ; compétence ; faculté ; puissance ; pouvoir ; liberté ; fonction ; propre ; vie ; force
capacité.n 103 :: stock ; réserve ; disponibilité ; ressource ; infrastructure ; zone ; demande ; source ; possibilité ; culture
capacité.n 110 :: puissance ; réserve ; batterie ; différence ; moyen ; réduction ; possibilité ; participation ; quantité ; série
capacité.n 135 :: liberté ; faculté ; marge ; possibilité ; puissance ; sphère ; droit ; pouvoir ; force ; sûreté
capacité.n 148 :: compétence ; maîtrise ; formation ; connaissance ; qualification ; spécialisation ; maturité ; certification ; faculté ; qualité
commander.v 5 :: publier ; dicter ; écrire ; signer ; donner ; offrir ; envoyer ; demander ; vouloir ; graver
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; découvrir ; sélectionner ; créer ; appliquer ; partager
commander.v 16 :: ordonner ; recevoir ; commanda ; soutenir ; consigne ; lancer ; diriger ; prendre ; mener ; signe
commander.v 41 :: commencer ; décider ; définir ; choisir ; effectuer ; réaliser ; faire ; commande ; gérer ; suivre
commander.v 48 :: créer ; gérer ; diriger ; contrôlent ; déterminer ; régir ; tirer ; financer ; gouverner ; mener
commander.v 117 :: commande ; dicter ; normalement ; commanda ; devoir ; justifier ; commandant ; précisément ; pourtant ; présentement
commander.v 164 :: ordonner ; conseiller ; dicter ; enseigne ; prescrire ; enjoindre ; obéir ; imposer ; commanda ; diriger
commander.v 171 :: acheter ; commande ; acquérir ; admirer ; voir ; prendre ; valider ; déguster ; réserver ; choisir
commander.v 206 :: protéger ; vouloir ; venir ; servir ; permettre ; donne ; ajouter ; proposer ; droit ; tandis
commander.v 240 :: commande ; acheter ; contrôler ; régler ; faire ; également ; uniquement ; payer ; prendre ; activer
compris.a 52 :: assimiler ; contenue ; compréhensible ; accepter ; maîtriser ; retenir ; percevoir ; intégrer ; entendre ; enseigner
compris.a 90 :: penser ; falloir ; ajouter ; apprendre ; reconnaître ; réaliser ; croire ; admettre ; assurer ; trouver
compris.a 106 :: penser ; prouver ; vivre ; entendre ; corrigé ; confirmer ; apprendre ; enseigner ; vouloir ; montrer
compris.a 185 :: inclure ; contenir ; incorporer ; situer ; inscrire ; présent ; placer ; inclus ; mentionner ; reconnaître
compris.a 186 :: également ; inclure ; entendre ; lire ; recevoir ; ici ; avoir ; donner ; tard ; écrire
compris.a 187 :: contenu ; variable ; situer ; compter ; estimer ; moyen ; constant ; total ; osciller ; considérer
compris.a 211 :: mesurer ; maintenir ; convenable ; moyen ; varier ; grouper ; situer ; répartir ; maximal ; fini
compris.a 232 :: inclure ; contenu ; intégré ; prendre ; compter ; également ; compte ; cal ; prévoir ; inclus
compris.a 272 :: saisir ; penser ; intégré ; croire ; apprendre ; réaliser ; prendre ; savoir ; aimer ; entendre
compris.a 287 :: saisir ; intégré ; assimiler ; deviner ; apprendre ; comprendre ; capter ; reconnaître ; savoir ; adopter
couverture.n 65 :: actualité ; page ; suite ; région ; sommaire ; chronique ; partie ; situation ; complet ; carte
couverture.n 67 :: vie ; carrière ; peau ; réputation ; chance ; survie ; gloire ; couronne ; route ; vengeance
couverture.n 72 :: toiture ; couvrir ; garniture ; sol ; housse ; matière ; terre ; revêtement ; couvert ; toit
couverture.n 143 :: plein ; case ; couvrir ; tête ; page ; revue ; zone ; édition ; vignette ; photo
couverture.n 149 :: protection ; sécurité ; politique ; vie ; défense ; garantie ; couvert ; stratégie ; responsabilité ; droit
couverture.n 150 :: toiture ; couvrir ; toit ; protection ; pierre ; ardoise ; tuile ; desserte ; charpente ; rénovation
couverture.n 201 :: surveillance ; desserte ; protection ; gestion ; couvrir ; conquête ; pénétration ; convergence ; développement ; déploiement
couverture.n 257 :: toiture ; construction ; sol ; charpente ; remplacement ; toit ; revêtement ; bois ; terre ; transformation
couverture.n 265 :: serviette ; véranda ; couvrir ; housse ; couette ; cape ; douche ; enveloppe ; peau ; couche
couverture.n 280 :: protection ; carapace ; peau ; voil ; forme ; lune ; cape ; armure ; capuche ; toiture
débit.n 64 :: solde ; escompte ; paiement ; crédit ; libellé ; dépôt ; bancaire ; actif ; montant ; compte
débit.n 87 :: tir ; crédit ; rivière ; jet ; avancer ; tirer ; achat ; rejet ; passage ; prendre
débit.n 115 :: niveau ; flot ; cours ; écoulement ; flux ; courant ; rythme ; tirage ; régime ; ruisseau
débit.n 131 :: produit ; eau ; système ; flux ; réservoir ; niveau ; rendement ; moyen ; production ; quantité
débit.n 136 :: flux ; cours ; volume ; apport ; coefficient ; eau ; potentiel ; niveau ; montant ; valeur
débit.n 168 :: carte ; retrait ; accès ; dépôt ; ligne ; crédit ; visa ; banque ; établissement ; prélèvement
débit.n 169 :: montant ; résultat ; poids ; coût ; total ; traitement ; volume ; financement ; produit ; flux
débit.n 184 :: rythme ; taux ; rendement ; cadence ; vitesse ; poids ; ratio ; intérêt ; score ; écart
débit.n 188 :: apport ; rejet ; niveau ; précipitation ; effectif ; rendement ; prélèvement ; cours ; concentration ; flux
débit.n 205 :: long ; gros ; haut ; moyen ; grand ; continu ; faible ; rythme ; généralement ; rapide
direction.n 78 :: conduite ; responsabilité ; coordination ; langue ; maîtrise ; comédie ; présidence ; critique ; directrice ; discipline
direction.n 111 :: stratégie ; général ; directeur ; directrice ; stratégique ; principal ; diriger ; développement ; management ; coordination
direction.n 151 :: directrice ; directeur ; présidence ; maîtrise ; rédaction ; gestion ; commission ; communauté ; responsabilité ; famille
direction.n 152 :: orientation ; ligne ; droite ; angle ; axe ; optique ; position ; inclinaison ; photo ; inversion
direction.n 172 :: rejoindre ; peut-être ; destination ; bonjour ; diriger ; vivement ; gagner ; finalement ; directeur ; orientation
direction.n 176 :: traction ; vitesse ; virage ; transmission ; contrôle ; conduite ; suspension ; droite ; puissance ; motricité
direction.n 199 :: droite ; nouveau ; latéral ; principal ; national ; renne ; directeur ; pari ; supérieur ; sens
direction.n 223 :: conduite ; diriger ; directrice ; production ; maîtrise ; coordination ; critique ; réalisation ; musique ; baguette
direction.n 262 :: responsabilité ; directeur ; directrice ; charge ; tête ; défense ; conduite ; main ; maîtrise ; contrôle
direction.n 279 :: venir ; face ; provenance ; sens ; destination ; revenir ; province ; vallée ; faveur ; région
don.n 19 :: sens ; talent ; souci ; style ; pouvoir ; temps ; droit ; oeil ; niveau ; regard
don.n 30 :: talent ; oeil ; pouvoir ; atout ; élan ; instinct ; trait ; côté ; moyen ; sens
don.n 36 :: cadeau ; bon ; sacrifice ; lien ; signe ; geste ; souher ; vrai ; amour ; présent
don.n 60 :: cadeau ; produit ; travail ; signe ; livre ; geste ; passage ; traitement ; talent ; fruit
don.n 84 :: cadeau ; apport ; versement ; bénéficiaire ; enfant ; fonds ; soutien ; legs ; recevoir ; produit
don.n 107 :: cadeau ; part ; preuve ; faire ; présent ; objet ; faveur ; confiance ; der ; grâce
don.n 130 :: cadeau ; contribution ; fonds ; enfant ; vocation ; bénéficiaire ; ami ; chose ; lecteur ; signe
don.n 196 :: pouvoir ; talent ; truc ; génie ; secret ; temps ; sens ; traitement ; style ; port
don.n 244 :: cadeau ; versement ; soutien ; mécénat ; bon ; legs ; signe ; parrainage ; geste ; profit
don.n 245 :: témoignage ; talent ; travail ; artiste ; reste ; enfant ; parent ; trésor ; homme ; fils
entraîner.v 39 :: art ; or ; aide ; air ; externe ; international ; image ; animal ; iranien ; apparent
entraîner.v 47 :: aider ; aide ; obliger ; encourager ; engager ; pousse ; invite ; conduire ; inciter ; également
entraîner.v 55 :: air ; aide ; international ; externe ; interne ; intégrer ; actuel ; arriver ; guide ; obliger
entraîner.v 57 :: air ; or ; eau ; international ; emploi ; utilisateur ; enseigner ; aviation ; obliger ; aéroport
entraîner.v 133 :: air ; art ; aide ; heureux ; expédier ; ancien ; ion ; eau ; international ; efficace
entraîner.v 140 :: mener ; amener ; envoyer ; conduire ; attirer ; pousser ; aller ; suivre ; avoir ; engager
entraîner.v 144 :: avoir ; invite ; obliger ; commencer ; inviter ; force ; invité ; devoir ; être ; engager
entraîner.v 161 :: provoquer ; éviter ; conduire ; amener ; apparaître ; causer ; engendrer ; produire ; créer ; permettre
entraîner.v 162 :: amener ; provoquer ; assurer ; engendrer ; encourager ; actif ; déclenche ; accentuer ; favoriser ; influence
entraîner.v 191 :: emporter ; amener ; conduire ; emmener ; attirer ; porter ; précipiter ; éloigner ; engager ; élever
éplucher.v 10 :: peler ; finement ; nettoyer ; laver ; couper ; carotte ; échalote ; oignon ; tailler ; sel
éplucher.v 51 :: éplucher ; récolter ; soigneusement ; analyser ; minutieusement ; examiner ; lire ; peser ; déjà ; scrupuleusement
éplucher.v 69 :: attentivement ; faire ; soigneusement ; examiner ; analyser ; plancher ; ensuite ; ensemble ; lire ; devoir
éplucher.v 100 :: éplucher ; écraser ; récolter ; finement ; grossièrement ; presser ; peler ; poivron ; mixeur ; entendre
éplucher.v 119 :: éplucher ; fouillé ; parcourir ; regarder ; survoler ; étudier ; lire ; balayer ; peser ; largement
éplucher.v 167 :: laver ; retourner ; arbre ; rhubarbe ; couper ; feuille ; tas ; également ; fruit ; arranger
éplucher.v 174 :: lire ; supprimer ; consulter ; voir ; découvrir ; effacer ; visiter ; parcourir ; regarder ; retrouver
éplucher.v 235 :: peler ; faire ; presser ; cueillir ; arracher ; récolter ; acheter ; préparer ; affiner ; filer
éplucher.v 236 :: récolter ; déjà ; piocher ; vraiment ; donner ; chercher ; trouver ; filer ; collecter ; aller
éplucher.v 258 :: peler ; laver ; oignon ; légume ; blanchir ; faire ; fruit ; égoutter ; ail ; pomme
espace.n 13 :: accueil ; établissement ; exploitation ; ensemble ; or ; application ; ouverture ; usage ; inclusion ; énergie
espace.n 27 :: état ; actuel ; or ; histoire ; expédition ; ordre ; évolution ; optique ; acte ; ensemble
espace.n 79 :: poste ; emplacement ; zone ; module ; outil ; coin ; lieu ; service ; aire ; environnement
espace.n 120 :: grand ; petit ; nouveau ; libre ; moindre ; double ; propre ; temps ; mauvais ; meilleur
espace.n 137 :: environnement ; marché ; développement ; investissement ; service ; instrument ; outil ; cadre ; emploi ; entreprise
espace.n 142 :: air ; interne ; international ; afghan ; éternel ; eau ; américain ; aide ; énergie ; image
espace.n 180 :: lien ; ligne ; sillon ; dernier ; enfant ; grand ; temps ; fils ; arbre ; vide
espace.n 208 :: innombrable ; article ; information ; ancien ; endroit ; établissement ; euro ; organe ; important ; adresse
espace.n 229 :: propre ; petit ; produit ; service ; projet ; contenir ; environnement ; talent ; événement ; atout
espace.n 243 :: ensemble ; article ; coin ; rôle ; place ; intervalle ; morceau ; siège ; instrument ; enfant
essuyer.v 11 :: laver ; faire ; essuyer ; rincer ; fermer ; passer ; protéger ; avoir ; enlever ; compléter
essuyer.v 58 :: subir ; rencontrer ; constater ; essuie ; recevoir ; accumuler ; remarquer ; avoir ; vivre ; connaître
essuyer.v 77 :: essuie ; avoir ; pouvoir ; presque ; pourtant ; faire ; soigneusement ; abondamment ; être ; mettre
essuyer.v 81 :: essuie ; être ; refus ; froid ; réponse ; larme ; répondit ; ensuite ; peine ; presque
essuyer.v 86 :: ligne ; assurer ; continuer ; laisse ; devoir ; recevoir ; passer ; régler ; arriver ; donne
essuyer.v 89 :: subir ; recevoir ; rencontrer ; entendre ; constater ; obtenir ; connaître ; essuie ; opposer ; annoncer
essuyer.v 98 :: encaisser ; faire ; recevoir ; voir ; manger ; découvrir ; gagner ; perdre ; utiliser ; prendre
essuyer.v 166 :: pépin ; noyau ; sécher ; baie ; peler ; graine ; peau ; noix ; feuille ; main
essuyer.v 215 :: presque ; déjà ; recevoir ; largement ; devoir ; régulièrement ; constamment ; systématiquement ; pourtant ; subir
essuyer.v 266 :: retourner ; essuie ; laisser ; verser ; soigneusement ; éviter ; laver ; utiliser ; appliquer ; passer
faucher.v 12 :: abattre ; fou ; écraser ; jeter ; passer ; déjà ; volontairement ; bêtement ; peut-être ; presque
faucher.v 42 :: donnée ; découverte ; acquérir ; également ; entreprise ; obtenir ; récemment ; disponible ; produit ; récolter
faucher.v 116 :: semer ; dévaster ; abattre ; travailler ; voler ; pousser ; hacher ; dépouiller ; ravager ; détruire
faucher.v 160 :: amour ; marier ; aile ; bonheur ; fiançaille ; carreau ; marc ; plante ; trouver ; passer
faucher.v 214 :: presque ; acheter ; faire ; donner ; payer ; voir ; assassiner ; arracher ; tirer ; aller
faucher.v 239 :: acheter ; entamer ; servir ; renverser ; trouver ; presque ; jeter ; jamais ; commander ; vide
faucher.v 248 :: taire ; tombe ; abattre ; blesse ; laisse ; meurtre ; frappe ; homicide ; rencontre ; trouver
faucher.v 276 :: couper ; semer ; tailler ; fouler ; broyer ; abattre ; cueillir ; récolter ; planter ; arracher
faucher.v 282 :: remplacer ; marque ; préférer ; cadre ; prendre ; paie ; trouver ; blesse ; centre ; relance
faucher.v 290 :: laisser ; abandonner ; trouver ; tuer ; blesser ; enlever ; grièvement ; assassiner ; donner ; élevé
fonder.v 6 :: créer ; organiser ; diriger ; fondre ; former ; ouvrir ; développer ; tenir ; bâtir ; lancer
fonder.v 7 :: motiver ; force ; sous-tendre ; porte ; légitime ; traverser ; justifier ; guide ; forme ; valide
fonder.v 54 :: base ; trouver ; bâtir ; repose ; appuyer ; assurer ; porte ; asseoir ; marque ; gagner
fonder.v 66 :: forge ; ferme ; fondation ; installer ; fond ; commencer ; fabrique ; vie ; rejoindre ; finance
fonder.v 88 :: diriger ; développer ; intégrer ; forme ; rejoindre ; fréquent ; finance ; joindre ; quitte ; composer
fonder.v 93 :: base ; définir ; traverser ; forme ; construire ; constituer ; appuyer ; valide ; assurer ; ruine
fonder.v 158 :: base ; bâtir ; repose ; fond ; focaliser ; forge ; appuyer ; faire ; fixe ; fonctionner
fonder.v 212 :: faire ; former ; fabriquer ; contracter ; fondre ; constituer ; porter ; développer ; créer ; formule
fonder.v 264 :: motiver ; force ; définir ; constituer ; traverser ; valide ; forme ; fondation ; limite ; caractériser
fonder.v 286 :: forme ; compte ; réunir ; ferme ; fabrique ; créer ; ouvrir ; développer ; fond ; forge
grossier.a 24 :: stupide ; flagrant ; courant ; grotesque ; formel ; complet ; absurde ; répandre ; valable ; rigoureux
grossier.a 37 :: exact ; fin ; avancer ; facile ; parfait ; subtil ; précis ; évident ; simple ; complexe
grossier.a 85 :: scolaire ; timide ; méchant ; jaloux ; agressif ; dister ; arrogant ; violent ; rigide ; prétentieux
grossier.a 108 :: fin ; sec ; lourd ; textile ; gros ; fournir ; mélanger ; moyen ; alimentaire ; tailler
grossier.a 134 :: léger ; bel ; faux ; gros ; grave ; grand ; vieux ; simple ; lourd ; sérieux
grossier.a 179 :: propagande ; publicité ; pub ; information ; campagne ; diffusion ; désinformation ; émission ; télévision ; vidéo
grossier.a 227 :: poli ; arrogant ; agressif ; vulgaire ; hypocrite ; excessif ; trompeur ; ridicule ; prétentieux ; malhonnête
grossier.a 228 :: mensonge ; complot ; procédé ; témoignage ; commentaire ; traitement ; coup ; manipulation ; abus ; emploi
grossier.a 231 :: fin ; faire ; inférieur ; vulgaire ; humain ; superficiel ; léger ; simple ; étranger ; profond
grossier.a 300 :: faire ; stupide ; vulgaire ; presque ; grossièrement ; humain ; ici ; au ; peut-être ; malheureusement
hermétique.a 203 :: opaque ; obscur ; énigme ; étrange ; mystérieux ; rester ; mystère ; singulier ; inquiétant ; partiel
hermétique.a 71 :: mystérieux ; énigmatique ; étrange ; effrayant ; inquiétant ; obscur ; opaque ; secret ; mécanique ; barbare
hermétique.a 99 :: fermer ; sceller ; plastique ; transparent ; alimentaire ; presque ; contenir ; individuel ; chinois ; forme
hermétique.a 126 :: presque ; étanche ; insensible ; complètement ; oui ; sensible ; finalement ; fin ; opaque ; miroir
hermétique.a 127 :: élitiste ; maçonnique ; religieux ; mystique ; social ; officiel ; académique ; doré ; aristocratique ; littéraire
hermétique.a 220 :: pierre ; déjà ; porte ; presque ; fidèle ; seul ; petit ; donnée ; fin ; étranger
hermétique.a 226 :: insensible ; fermer ; étanche ; imperméable ; sourd ; étranger ; allergique ; aveugle ; fermé ; face
hermétique.a 261 :: magique ; penser ; inutile ; hypocrite ; involontaire ; honteux ; improbable ; sec ; simpliste ; grossier
hermétique.a 278 :: alimentaire ; solide ; plastique ; chimique ; interne ; blanc ; étanche ; noir ; secret ; entièrement
hermétique.a 204 :: exclusif ; problématique ; mathématique ; global ; centrer ; temporel ; ici ; partiel ; théorique ; fermer
incorrect.a 45 :: actuellement ; actuel ; prévoir ; actif ; vouloir ; nommer ; nécessaire ; devoir ; utilisable ; souhaitable
incorrect.a 125 :: naître ; ante ; ent ; der ; devoir ; ale ; complètement ; con ; adapter ; visiblement
incorrect.a 132 :: également ; naître ; an ; être ; totalement ; faire ; déjà ; mal ; point ; hier
incorrect.a 156 :: criminel ; politique ; pénal ; judiciaire ; juger ; totalement ; juridique ; in ; complètement ; apparemment
incorrect.a 159 :: application ; utilisation ; interprétation ; pratique ; transposition ; applicabilité ; caractère ; activité ; traduction ; qualité
incorrect.a 177 :: précis ; donner ; supérieur ; contraire ; inverse ; erroné ; arbitraire ; aléatoire ; correct ; public
incorrect.a 217 :: politiquement ; automatiquement ; ici ; sujet ; simplement ; faux ; stupide ; enfant ; politique ; collé
incorrect.a 241 :: vraiment ; complètement ; presque ; parfaitement ; déjà ; totalement ; mal ; extrêmement ; apparemment ; difficilement
incorrect.a 298 :: vrai ; décevant ; évident ; impressionnant ; injuste ; efficace ; surprenant ; exact ; ridicule ; étrange
incorrect.a 299 :: donnée ; information ; personne ; réponse ; chose ; erreur ; archive ; connaissance ; nouveau ; personnel
intérêt.n 63 :: avis ; dessein ; appétit ; agenda ; opinion ; impératif ; élément ; sentiment ; projet ; objectif
intérêt.n 97 :: entier ; air ; article ; ensemble ; église ; origine ; assistance ; international ; or ; état
intérêt.n 129 :: externe ; étroit ; or ; international ; immigré ; air ; aide ; clip ; éternel ; irremplaçable
intérêt.n 146 :: or ; image ; art ; intérieur ; évolution ; aide ; énergie ; ensemble ; eau ; échange
intérêt.n 155 :: article ; effectif ; audit ; appareil ; étroit ; audiovisuel ; utilisateur ; audiovisuelle ; interne ; ancien
intérêt.n 218 :: avantage ; intéressant ; atout ; attrer ; utilité ; importance ; enseignement ; côté ; inconvénient ; aspect
intérêt.n 263 :: alpha ; impérative ; effectif ; excellent ; air ; adjectif ; nouveau ; irlandais ; interne ; éventuel
intérêt.n 268 :: air ; étroit ; alpha ; étymologie ; obsolescence ; art ; adjectif ; adage ; an ; international
intérêt.n 271 :: être ; air ; étroit ; étape ; article ; excellent ; alpha ; éventuel ; international ; origine
intérêt.n 297 :: aide ; heureux ; air ; ensemble ; incroyable ; énergie ; art ; enseigner ; or ; irréversible
interpréter.v 18 :: chanter ; interprétation ; reprendre ; jouer ; enregistrer ; cité ; enchaîner ; intégré ; présenter ; inclure
interpréter.v 21 :: jouer ; écrire ; adapter ; interprétation ; arranger ; enregistrer ; écouter ; chanter ; illustrer ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; penser ; inverser ; voir ; entendre ; analyser ; décoder ; définir ; évaluer
interpréter.v 80 :: or ; ensemble ; aller ; aide ; histoire ; image ; habitude ; apparemment ; évolution ; ici
interpréter.v 123 :: immigré ; international ; usage ; étroit ; irremplaçable ; or ; indispensable ; art ; immigration ; adjectif
interpréter.v 128 :: joue ; incarner ; contenir ; jouer ; prendre ; composer ; présente ; aborder ; comprendre ; offrir
interpréter.v 157 :: traduire ; recevoir ; enregistrer ; analyse ; encaisse ; écrire ; traite ; absorber ; joue ; accueillir
interpréter.v 260 :: faire ; pouvoir ; mieux ; magnifiquement ; correctement ; fidèlement ; pleinement ; interprétation ; admirablement ; ensuite
interpréter.v 267 :: interprétation ; comprendre ; définir ; observer ; entendre ; considérer ; attribuer ; présenter ; employer ; remplir
interpréter.v 289 :: chanter ; jouer ; animé ; imaginer ; incarner ; enseigner ; présenter ; représenter ; dansé ; offrir
maintenir.v 94 :: soutenir ; déclarer ; affirmer ; ajouter ; préciser ; souligner ; apprendre ; indiquer ; rappeler ; noter
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; identifier ; disponible ; indiquer ; signaler ; ajouter
maintenir.v 154 :: garder ; confirmer ; assurer ; conserver ; tenir ; manifester ; souligner ; renforcer ; continuer ; imposer
maintenir.v 175 :: préserver ; garder ; demeurer ; maintien ; conforter ; conserver ; retenir ; persuader ; fortifier ; perpétuer
maintenir.v 183 :: préserver ; garder ; conserver ; demeurer ; favoriser ; maintien ; garantir ; entretenir ; susciter ; assurer
maintenir.v 207 :: garder ; demeurer ; maintien ; préserver ; conserver ; retenir ; rester ; réintégrer ; soutenir ; stabiliser
maintenir.v 230 :: dernier ; pouvoir ; devoir ; être ; présent ; tenir ; compte ; site ; programme ; premier
maintenir.v 234 :: souhaiter ; vouloir ; proposer ; considérer ; soutenir ; estime ; rappeler ; demande ; prévoir ; tenir
maintenir.v 251 :: tenir ; confirmer ; réaffirmer ; réitérer ; soutenir ; conserve ; dément ; reprendre ; renouveler ; poursuivre
maintenir.v 281 :: tenir ; compte ; note ; dire ; garder ; avoir ; croire ; pari ; bref ; lire
mince.a 17 :: étroit ; petit ; grand ; épais ; léger ; fin ; fort ; lisse ; long ; incliner
mince.a 96 :: épaisseur ; fin ; film ; épais ; parfait ; régulier ; égal ; professionnel ; documentaire ; supérieur
mince.a 147 :: maigre ; léger ; peut-être ; presque ; serrer ; bref ; finalement ; légèrement ; écart ; équilibré
mince.a 170 :: fin ; léger ; petit ; maigre ; étroit ; bouchée ; serrer ; prise ; être ; faire
mince.a 192 :: lisse ; fin ; petit ; épais ; court ; bande ; étroit ; bord ; menu ; minuscule
mince.a 202 :: fin ; petit ; épais ; nouveau ; double ; léger ; second ; dernier ; simple ; gros
mince.a 213 :: petit ; maigre ; fragile ; léger ; solide ; noir ; épais ; minime ; réduire ; fin
mince.a 225 :: filet ; voil ; peut-être ; petit ; maigre ; livre ; honorable ; léger ; papier ; parchemin
mince.a 242 :: clair ; fin ; bel ; évident ; fatal ; faible ; court ; étroit ; difficile ; clairement
mince.a 292 :: fin ; épais ; supérieur ; léger ; interne ; périphérique ; tendre ; dur ; cellulaire ; conducteur
modeste.a 29 :: minuscule ; petit ; populaire ; simple ; sympathique ; humble ; logement ; vaste ; relatif ; second
modeste.a 114 :: pauvre ; humble ; honnête ; bon ; petit ; vivant ; généreux ; poli ; faible ; gentil
modeste.a 121 :: significatif ; important ; faible ; timide ; petit ; maigre ; limité ; minime ; dérisoire ; modérer
modeste.a 163 :: minime ; faible ; léger ; limité ; petit ; personnel ; volée ; confidentielle ; récent ; spectaculaire
modeste.a 195 :: important ; élevé ; minime ; symbolique ; personnel ; petit ; faible ; récent ; mince ; matériel
modeste.a 197 :: aisé ; pauvre ; concerner ; bas ; faible ; économique ; local ; moyen ; élevé ; parisien
modeste.a 200 :: limité ; canada ; politique ; populaire ; économique ; seul ; nécessaire ; léger ; prudent ; restreindre
modeste.a 246 :: élevé ; léger ; marchand ; relatif ; faible ; inférieur ; important ; moindre ; petit ; raisonnable
modeste.a 269 :: humble ; petit ; pauvre ; jeune ; digne ; simple ; misérable ; bon ; noble ; piètre
modeste.a 283 :: humble ; discret ; honnête ; digne ; populaire ; sympathique ; solide ; bel ; respectable ; pauvre
montée.n 15 :: droite ; courbe ; vie ; faveur ; côte ; tendance ; pente ; direction ; chaîne ; réalité
montée.n 56 :: partie ; hausse ; augmentation ; montagne ; pente ; poussée ; baisse ; majorité ; échelle ; question
montée.n 75 :: descente ; monte ; balade ; suite ; vidéo ; visite ; journée ; ascension ; dernier ; grâce
