affection.n 8 :: affectation ; amitié ; habitude ; dernier ; épreuve ; admiration ; maladie ; adoption ; attaque ; opinion
commander.v 16 :: diriger ; commanda ; recevoir ; consigne ; mener ; lancer ; préside ; conduire ; soutenir ; ordonner
commander.v 41 :: choisir ; faire ; effectuer ; décider ; créer ; commencer ; lancer ; réaliser ; définir ; gérer
commander.v 48 :: contrôlent ; créer ; diriger ; gérer ; déterminer ; tirer ; régir ; gouverner ; mener ; dominer
commander.v 117 :: commande ; dicter ; commandant ; commandement ; suggérer ; normalement ; vouloir ; commanda ; réclame ; prescrire
commander.v 164 :: ordonner ; conseiller ; dicter ; obéir ; commanda ; prescrire ; enjoindre ; inciter ; enseigne ; imposer
commander.v 171 :: commande ; également ; ici ; venir ; déjà ; imprimer ; rapidement ; ensuite ; acheter ; commandant
commander.v 206 :: solaire ; gratuit ; acheter ; servir ; venir ; appliquer ; accessoire ; déjà ; bientôt ; être
commander.v 240 :: commande ; régler ; piloter ; faire ; uniquement ; effectuer ; ajuster ; personnaliser ; payer ; prendre
compris.a 52 :: accepter ; assimiler ; enseigner ; interpréter ; contenue ; compréhensible ; lire ; maîtriser ; intégrer ; partager
compris.a 90 :: falloir ; penser ; apprendre ; croire ; trouver ; réaliser ; reconnaître ; ajouter ; entendre ; sentir
compris.a 106 :: penser ; entendre ; corrigé ; davantage ; comprendre ; expliquer ; clair ; préciser ; vouloir ; pis
compris.a 185 :: inclure ; situer ; présent ; indiquer ; contenir ; placer ; incorporer ; exclure ; décrire ; inscrire
compris.a 186 :: rester ; inclure ; entrer ; déjà ; situer ; demeurer ; presque ; donner ; conserver ; tomber
compris.a 187 :: contenu ; compter ; inclure ; situer ; composer ; estimer ; comprendre ; moyen ; limité ; total
compris.a 211 :: bon ; présent ; élevé ; partager ; contenir ; précis ; répartir ; identique ; extrême ; inclus
compris.a 232 :: inclure ; compter ; contenu ; prendre ; reprendre ; intégré ; comprendre ; comptabiliser ; inclus ; cal
compris.a 272 :: saisir ; comprendre ; capter ; réaliser ; intégré ; apprendre ; penser ; prendre ; croire ; savoir
compris.a 287 :: saisir ; intégré ; assimiler ; deviner ; apprécier ; apprendre ; comprendre ; reconnaître ; sentir ; capter
couverture.n 65 :: dernier ; rédaction ; grand ; manchette ; sommaire ; conclusion ; rond ; couvrir ; édition ; bref
couverture.n 67 :: vie ; peau ; chance ; réputation ; liberté ; corde ; carrière ; survie ; fortune ; peine
couverture.n 72 :: housse ; sol ; toiture ; matière ; revêtement ; terre ; terrasse ; base ; support ; couvrir
couverture.n 143 :: manchette ; illustration ; couvrir ; page ; recto ; fort ; éditorial ; tête ; front ; définition
couverture.n 149 :: protection ; sécurité ; gestion ; perception ; répartition ; loi ; responsabilité ; caisse ; surveillance ; déclaration
couverture.n 150 :: toiture ; couvrir ; pierre ; tuile ; toit ; charpente ; ardoise ; protection ; dalle ; construction
couverture.n 201 :: desserte ; défense ; déploiement ; protection ; convergence ; développement ; sécurité ; surveillance ; téléphonie ; ouverture
couverture.n 257 :: remplacement ; toiture ; revêtement ; protection ; base ; fond ; construction ; transformation ; finition ; sécurité
couverture.n 265 :: couvrir ; couette ; serviette ; commode ; housse ; bibliothèque ; chaise ; banquette ; bâche ; véranda
couverture.n 280 :: os ; noix ; lion ; cacao ; amande ; zou ; titan ; épaule ; jade ; saphir
débit.n 64 :: vente ; commerce ; dépôt ; établissement ; traitement ; compte ; banque ; distribution ; achat ; nombre
débit.n 87 :: montant ; solde ; coût ; paiement ; crédit ; prorata ; rachat ; versement ; salaire ; prix
débit.n 115 :: cours ; niveau ; delta ; écoulement ; flux ; rythme ; flot ; volume ; fleuve ; montant
débit.n 131 :: eau ; lit ; niveau ; flux ; courant ; cours ; vin ; chambre ; bassin ; couche
débit.n 136 :: flux ; potentiel ; apport ; journalier ; valeur ; eau ; cours ; besoin ; total ; bassin
débit.n 168 :: montant ; compte ; bancaire ; crédit ; virement ; produit ; banque ; prix ; carte ; verbal
débit.n 169 :: montant ; niveau ; cours ; coût ; traitement ; volume ; résultat ; poids ; prix ; flux
débit.n 184 :: intérêt ; rythme ; potentiel ; taux ; rendement ; déploiement ; prix ; poids ; score ; maximum
débit.n 188 :: apport ; élevé ; cours ; cote ; courant ; flux ; rejet ; saumon ; ruisseau ; niveau
débit.n 205 :: niveau ; moyen ; gros ; écoulement ; grand ; régulier ; faible ; accès ; petit ; flux
direction.n 78 :: conduite ; responsabilité ; coordination ; houlette ; présidence ; diriger ; discipline ; commande ; route ; langue
direction.n 111 :: directeur ; directrice ; management ; gestion ; présidence ; général ; coordination ; organisation ; gestionnaire ; supérieur
direction.n 151 :: directrice ; directeur ; présidence ; supérieur ; gestion ; nouveau ; actuel ; responsable ; général ; secrétaire
direction.n 152 :: bon ; constant ; droite ; orientation ; sens ; forme ; voie ; ligne ; tendance ; principal
direction.n 172 :: destination ; rejoindre ; cap ; bonjour ; peut-être ; région ; presque ; nord ; route ; face
direction.n 176 :: conduite ; vitesse ; comportement ; forme ; température ; position ; torsion ; puissance ; performance ; rythme
direction.n 199 :: nouveau ; actuel ; national ; général ; plein ; bon ; ligne ; porte ; supérieur ; prendre
direction.n 223 :: nouveau ; musical ; bon ; haut ; diriger ; général ; entier ; sévère ; sacrer ; sain
direction.n 262 :: responsabilité ; directrice ; directeur ; gestion ; conduite ; stratégie ; coordination ; maîtrise ; responsable ; défense
direction.n 279 :: venir ; face ; provenance ; sens ; destination ; raison ; revenir ; sortir ; province ; côté
don.n 19 :: sens ; talent ; pouvoir ; souci ; style ; temps ; niveau ; point ; droit ; doué
don.n 30 :: talent ; oeil ; atout ; élan ; pouvoir ; sens ; trait ; instinct ; effort ; loisir
don.n 36 :: dom ; cadeau ; bon ; do ; jour ; oui ; signe ; dan ; papa ; der
don.n 60 :: cadeau ; bon ; produit ; objet ; livre ; prêt ; passage ; échange ; accueil ; lien
don.n 84 :: cadeau ; contribution ; fonds ; legs ; versement ; produit ; investissement ; droit ; apport ; enfant
don.n 107 :: cadeau ; part ; preuve ; présent ; offrir ; concession ; proposition ; faveur ; grâce ; confiance
don.n 130 :: cadeau ; contribution ; enfant ; généreux ; ami ; fonds ; bon ; soutien ; secours ; bénéficiaire
don.n 196 :: talent ; génie ; sens ; temps ; droit ; pouvoir ; traitement ; secret ; cadeau ; grâce
don.n 244 :: cadeau ; bon ; geste ; mécénat ; souher ; legs ; présent ; amour ; droit ; simple
don.n 245 :: témoignage ; apport ; cadeau ; travail ; découverte ; reste ; enfant ; spécimen ; talent ; résultat
entraîner.v 39 :: aide ; or ; air ; art ; image ; international ; cl ; expédier ; envoi ; ouverture
entraîner.v 47 :: aider ; obliger ; encourager ; aide ; engager ; inciter ; amener ; invite ; pousse ; apprendre
entraîner.v 55 :: clip ; international ; air ; aide ; actuel ; externe ; effectif ; image ; or ; efficace
entraîner.v 57 :: air ; eau ; externe ; efficace ; avion ; étranger ; être ; utilisateur ; apparemment ; avoir
entraîner.v 133 :: or ; aide ; air ; art ; ancien ; image ; énergie ; expédition ; apparemment ; international
entraîner.v 140 :: amener ; mener ; conduire ; pousser ; attirer ; envoyer ; engager ; emporter ; aller ; lancer
entraîner.v 144 :: conduire ; loin ; peut-être ; porte ; obliger ; ici ; pourtant ; pousse ; force ; attirer
entraîner.v 161 :: amener ; provoquer ; conduire ; apparaître ; éviter ; engendrer ; produire ; causer ; créer ; développer
entraîner.v 162 :: amener ; assurer ; encourager ; provoquer ; conduire ; engendrer ; actif ; favoriser ; déclenche ; produit
entraîner.v 191 :: emporter ; conduire ; attirer ; pousser ; porter ; amener ; jeter ; engager ; précipiter ; apporter
éplucher.v 10 :: peler ; détailler ; aubergine ; affiner ; passer ; trancher ; pomme ; tailler ; couper ; concombre
éplucher.v 51 :: éplucher ; récolter ; finement ; soigneusement ; terre ; côté ; moitié ; peser ; chou ; légume
éplucher.v 69 :: faire ; lire ; couper ; peler ; examiner ; trancher ; analyser ; regarder ; systématiquement ; affiner
éplucher.v 100 :: éplucher ; peser ; finement ; retourner ; enlever ; oignon ; nettoyer ; extraire ; arracher ; écraser
éplucher.v 119 :: éplucher ; récolter ; scrupuleusement ; attentivement ; minutieusement ; parcourir ; allègrement ; entendre ; lire ; regarder
éplucher.v 167 :: laver ; laisser ; faire ; conserver ; garder ; avoir ; carotte ; couper ; ajouter ; être
éplucher.v 174 :: peler ; faire ; éviter ; falloir ; fois ; aller ; passer ; servir ; moitié ; regarder
éplucher.v 235 :: peler ; faire ; laver ; égoutter ; cuire ; acheter ; couper ; tailler ; trancher ; nettoyer
éplucher.v 236 :: gué ; vite ; gros ; savoir ; avoir ; fruit ; bon ; suivre ; ré ; eau
éplucher.v 258 :: peler ; faire ; laver ; légume ; fruit ; blanchir ; oignon ; cuire ; fraise ; égoutter
espace.n 13 :: origine ; air ; international ; lorsqu ; étymologie ; usage ; ici ; horizon ; indien ; art
espace.n 27 :: or ; air ; art ; aide ; actuel ; histoire ; international ; expérience ; évolution ; apparemment
espace.n 79 :: zone ; support ; sas ; module ; salle ; point ; local ; office ; outil ; aire
espace.n 120 :: air ; étroit ; excellent ; petit ; article ; propre ; heureux ; ajouter ; avantage ; grand
espace.n 137 :: environnement ; information ; développement ; entreprise ; marché ; enseignement ; statistique ; service ; instrument ; investissement
espace.n 142 :: air ; international ; art ; étymologie ; interne ; externe ; afghan ; allemand ; ancien ; étroit
espace.n 180 :: lien ; temps ; partage ; réseau ; potentiel ; groupe ; familial ; échange ; présent ; territoire
espace.n 208 :: ancien ; instrument ; innombrable ; établissement ; important ; excellent ; euro ; ensemble ; immense ; année
espace.n 229 :: événement ; service ; investissement ; propre ; aménagement ; environnement ; développement ; projet ; petit ; équipement
espace.n 243 :: article ; coin ; intervalle ; vide ; lien ; écran ; ensemble ; accord ; place ; emplacement
essuyer.v 11 :: laver ; essuyer ; faire ; rincer ; retirer ; enlever ; désinfection ; ouvrir ; fermer ; essuie
essuyer.v 58 :: subir ; durement ; déjà ; presque ; malheureusement ; recevoir ; régulièrement ; essuie ; accumuler ; ensuite
essuyer.v 77 :: essuie ; encre ; laver ; éponge ; verse ; rentrer ; lav ; larme ; remarquer ; pardon
essuyer.v 81 :: essuie ; éponge ; encre ; pouvoir ; poli ; avoir ; laver ; devoir ; but ; aspirer
essuyer.v 86 :: laisse ; ligne ; recevoir ; passer ; devoir ; assurer ; continuer ; régler ; répondre ; assister
essuyer.v 89 :: recevoir ; opposer ; subir ; rencontrer ; refuser ; annoncer ; essuie ; constater ; entendre ; connaître
essuyer.v 98 :: faire ; encaisser ; recevoir ; voir ; gagner ; manger ; prendre ; acheter ; subir ; rencontrer
essuyer.v 166 :: pépin ; sécher ; noyau ; baie ; graine ; main ; fruit ; olive ; laver ; peler
essuyer.v 215 :: subir ; recevoir ; accumuler ; enchaîner ; affronter ; frapper ; recueillir ; essuie ; connaître ; accuser
essuyer.v 266 :: soigneusement ; ensuite ; délicatement ; laver ; essuie ; énergiquement ; doucement ; chiffon ; abondamment ; torchon
faucher.v 12 :: écraser ; jeter ; hacher ; tuer ; abattre ; renverser ; déposer ; bêtement ; dépasser ; passager
faucher.v 42 :: mieux ; déjà ; apparaître ; révéler ; également ; rester ; vraiment ; accessible ; devenir ; davantage
faucher.v 116 :: ravager ; dévaster ; pousser ; semer ; couper ; abattre ; détruire ; arroser ; pourrir ; pisser
faucher.v 160 :: zou ; envie ; tian ; lin ; figue ; an ; hilaire ; rhubarbe ; framboise ; bourgeoise
faucher.v 214 :: faire ; mieux ; mauvais ; presque ; moyen ; travailler ; vraiment ; mal ; voir ; bon
faucher.v 239 :: acheter ; servir ; jeter ; vendre ; entamer ; déjà ; trouver ; jamais ; cassé ; partager
faucher.v 248 :: laisse ; marque ; taire ; pose ; déjà ; tombe ; passer ; prendre ; porte ; abattre
faucher.v 276 :: couper ; semer ; planter ; abattre ; piquer ; fouler ; pousser ; cueillir ; arracher ; enfoncer
faucher.v 282 :: passer ; marque ; julien ; remplacer ; milieu ; côté ; piqu ; cale ; prendre ; trouver
faucher.v 290 :: grièvement ; volontairement ; tuer ; servir ; blesser ; bêtement ; presque ; gravement ; déjà ; briser
fonder.v 6 :: créer ; fondre ; organiser ; diriger ; ouvrir ; former ; lancer ; bâtir ; installer ; développer
fonder.v 7 :: conditionne ; sous-tendre ; constituer ; force ; caractériser ; justifier ; définir ; porte ; base ; légitime
fonder.v 54 :: base ; construire ; trouver ; tire ; appuyer ; bâtir ; puiser ; ancre ; constituer ; forge
fonder.v 66 :: développer ; ferme ; rejoindre ; forme ; commencer ; fabrique ; installer ; forge ; créer ; devenir
fonder.v 88 :: intégrer ; créer ; rejoindre ; commencer ; finance ; joindre ; ouvrir ; quitte ; ferme ; diriger
fonder.v 93 :: constituer ; forme ; traverser ; force ; conditionne ; forge ; caractériser ; base ; sous-tendre ; définir
fonder.v 158 :: base ; repose ; bâtir ; appuyer ; focaliser ; baser ; fonctionner ; forge ; fond ; construire
fonder.v 212 :: fondre ; fondation ; faire ; créer ; instaurer ; former ; établir ; instituer ; fabriquer ; dissoudre
fonder.v 264 :: définir ; nourrir ; traverser ; sous-tendre ; motiver ; valide ; expliquer ; appuyer ; constituer ; base
fonder.v 286 :: ouvrir ; ferme ; créer ; développer ; compte ; forme ; fabrique ; diriger ; réunir ; forge
grossier.a 24 :: erreur ; faute ; ficelle ; presque ; fois ; matière ; chose ; gros ; correction ; manière
grossier.a 37 :: avancer ; vil ; fin ; vulgaire ; grotesque ; cynique ; ignoble ; élevé ; élaborer ; évident
grossier.a 85 :: vulgaire ; violent ; agressif ; dangereux ; attrayant ; brutal ; malsain ; vicieux ; fin ; infantile
grossier.a 108 :: élément ; indicateur ; léger ; article ; alimentaire ; organique ; brut ; étranger ; agricole ; naturel
grossier.a 134 :: sérieux ; vague ; léger ; évident ; flagrant ; subtil ; gros ; fort ; grave ; simple
grossier.a 179 :: publicité ; information ; propagande ; diffusion ; rumeur ; forme ; exploitation ; émission ; preuve ; télévision
grossier.a 227 :: langage ; petit ; faux ; léger ; message ; piège ; simple ; être ; vulgaire ; troll
grossier.a 228 :: témoignage ; positif ; sens ; document ; mensonge ; profil ; billet ; compte ; caractère ; commentaire
grossier.a 231 :: inférieur ; matériel ; premier ; primaire ; vulgaire ; primitif ; noble ; superficiel ; personnel ; brut
grossier.a 300 :: vocal ; répéter ; stupide ; commune ; stérile ; régulier ; coupable ; féroce ; brutal ; creux
hermétique.a 203 :: opaque ; obscur ; garder ; mystère ; mystérieux ; rester ; secret ; demeurer ; fermer ; clos
hermétique.a 71 :: mystérieux ; étanche ; magique ; technique ; bureaucratique ; confidentiel ; secret ; mécanique ; incompréhensible ; hypocrite
hermétique.a 99 :: fermer ; sceller ; étanche ; plastique ; contenir ; alimentaire ; entier ; individuel ; conserve ; congélation
hermétique.a 126 :: insensible ; dédier ; étanche ; vouer ; allergique ; imperméable ; réfractaire ; oui ; former ; verser
hermétique.a 127 :: élitiste ; noir ; magique ; étrange ; académique ; froid ; opaque ; chimique ; obscur ; religieux
hermétique.a 220 :: rester ; parfaitement ; garder ; presque ; prendre ; déjà ; vraiment ; bon ; évidemment ; devenir
hermétique.a 226 :: réfractaire ; sensible ; insensible ; initier ; habituer ; fermer ; accrocher ; allergique ; attentif ; imperméable
hermétique.a 261 :: magique ; penser ; automatique ; opaque ; hallucinant ; adapter ; étonnant ; intéressant ; instantané ; fermer
hermétique.a 278 :: fermé ; solide ; alimentaire ; plastique ; chimique ; secret ; entièrement ; spécial ; close ; original
hermétique.a 204 :: opaque ; obscur ; mystère ; rester ; mystérieux ; énigme ; fermer ; demeurer ; abstrait ; technique
incorrect.a 45 :: humaine ; adéquat ; estimer ; approprier ; naître ; actif ; cohérent ; rée ; correct ; der
incorrect.a 125 :: in ; ante ; passer ; ent ; mal ; ré ; der ; naître ; grand ; appeler
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; cours ; second ; jour ; cas ; miss
incorrect.a 156 :: juger ; vraiment ; criminel ; parfaitement ; faute ; pratique ; également ; extrêmement ; apparemment ; totalement
incorrect.a 159 :: transposition ; pratique ; in ; législatif ; application ; professionnel ; partiel ; correct ; juridique ; partiellement
incorrect.a 177 :: correct ; élevé ; payer ; su ; supérieur ; exact ; total ; négatif ; au ; ensemble
incorrect.a 217 :: correct ; politiquement ; ici ; sensible ; inutile ; délicat ; intéressant ; artificiel ; superflu ; incomplet
incorrect.a 241 :: vraiment ; complètement ; parfaitement ; presque ; totalement ; dire ; également ; apparemment ; rester ; fort
incorrect.a 298 :: ci-dessous ; total ; article ; compte ; participation ; utilisation ; ensemble ; conclusion ; obligatoire ; gouvernement
incorrect.a 299 :: personnel ; confidentiel ; donnée ; saisir ; bancaire ; électronique ; transmettre ; identifiabler ; opérationnel ; financier
intérêt.n 63 :: propre ; grand ; véritable ; commun ; secret ; ancien ; vrai ; naturel ; lien ; étranger
intérêt.n 97 :: article ; audiovisuel ; audiovisuelle ; international ; avoir ; interne ; institution ; actuel ; étranger ; information
intérêt.n 129 :: aide ; art ; international ; étroit ; image ; excellent ; étymologie ; or ; air ; externe
intérêt.n 146 :: image ; art ; eau ; or ; aide ; air ; évolution ; usage ; éternel ; international
intérêt.n 155 :: article ; international ; utilisateur ; information ; espace ; électronique ; européen ; nouveau ; énergie ; entreprise
intérêt.n 218 :: avantage ; intéressant ; important ; côté ; importance ; inconvénient ; utilité ; bénéfice ; enseignement ; atout
intérêt.n 263 :: international ; or ; art ; air ; efficace ; externe ; aide ; image ; évolution ; immigré
intérêt.n 268 :: nouveau ; excellent ; air ; usage ; international ; étroit ; or ; actuel ; art ; éventuel
intérêt.n 271 :: être ; aide ; article ; armure ; articulation ; écran ; ensemble ; image ; air ; eau
intérêt.n 297 :: clip ; aide ; air ; heureux ; art ; animal ; immigré ; alpha ; irréversible ; image
interpréter.v 18 :: chanter ; interprétation ; jouer ; reprendre ; cité ; enregistrer ; offrir ; présenter ; inspirer ; inclure
interpréter.v 21 :: écrire ; chanter ; interprétation ; chant ; jouer ; exécuter ; figurer ; illustrer ; reprendre ; adapter
interpréter.v 59 :: expliquer ; comprendre ; analyser ; inverser ; penser ; décrypter ; voir ; lire ; qualifier ; accompagner
interpréter.v 80 :: aide ; art ; or ; aimer ; apparemment ; évolution ; air ; aller ; ensemble ; image
interpréter.v 123 :: air ; étroit ; étymologie ; alpha ; interne ; international ; art ; obsolescence ; aide ; externe
interpréter.v 128 :: joue ; ici ; incarner ; camper ; tenir ; double ; interprétation ; in ; offrir ; écrire
interpréter.v 157 :: recevoir ; traduire ; traite ; actif ; influence ; abriter ; interprétation ; écrire ; enveloppe ; accueillir
interpréter.v 260 :: comprendre ; analyser ; décoder ; apprécier ; entendre ; évaluer ; exploiter ; expliquer ; étudier ; décrypter
interpréter.v 267 :: interprétation ; attribuer ; entendre ; lire ; comprendre ; percevoir ; vivre ; renvoyer ; observer ; considérer
interpréter.v 289 :: jouer ; chanter ; interprétation ; présenter ; dansé ; offrir ; habiter ; animé ; vivre ; raconter
maintenir.v 94 :: apprendre ; ajouter ; enseigner ; déclarer ; préciser ; écrire ; affirmer ; souligner ; répondre ; entendre
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; identifier ; mentionner ; disponible ; signaler ; ajouter ; tenir
maintenir.v 154 :: garder ; tenir ; observer ; conserver ; renforcer ; garde ; assurer ; demeurer ; maintien ; soutenir
maintenir.v 175 :: préserver ; garder ; conserver ; maintien ; demeurer ; retenir ; couler ; mettre ; stabiliser ; divertir
maintenir.v 183 :: garder ; assurer ; conserver ; préserver ; entretenir ; garantir ; mettre ; favoriser ; instaurer ; vivre
maintenir.v 207 :: garder ; préserver ; conserver ; rester ; demeurer ; maintien ; retenir ; soutenir ; vivre ; soigner
maintenir.v 230 :: participation ; compte ; gouvernement ; personne ; dernier ; communication ; observation ; louis ; développement ; bon
maintenir.v 234 :: souhaiter ; vouloir ; soutenir ; considérer ; réaffirmer ; affirmer ; rappeler ; proposer ; prévoir ; refuser
maintenir.v 251 :: tenir ; position ; soutenir ; fermement ; également ; distance ; ligne ; soutien ; pourtant ; dur
maintenir.v 281 :: compte ; ajouter ; bref ; être ; tenir ; affirmer ; dire ; également ; garder ; falloir
mince.a 17 :: vulnérable ; critique ; précis ; faible ; fragile ; étroit ; intime ; visible ; serrer ; fin
mince.a 96 :: fin ; épais ; régulier ; fixe ; sec ; continuer ; supérieur ; léger ; lisse ; chimique
mince.a 147 :: maigre ; léger ; faible ; simple ; complexe ; sommaire ; intéressant ; serrer ; petit ; limité
mince.a 170 :: maigre ; serrer ; petit ; bon ; fort ; rose ; énorme ; épais ; étroit ; réduire
mince.a 192 :: petit ; plaque ; feuille ; papier ; verre ; légèrement ; filet ; minuscule ; film ; panneau
mince.a 202 :: fin ; petit ; léger ; double ; nouveau ; épais ; simple ; dernier ; bel ; joli
mince.a 213 :: petit ; fin ; léger ; épais ; fragile ; carré ; millimètre ; court ; large ; maigre
mince.a 225 :: petit ; maigre ; bel ; honorable ; vraiment ; sage ; fin ; finir ; voil ; déjà
mince.a 242 :: fin ; préciser ; fatal ; complexe ; favorable ; supérieur ; épais ; vraiment ; étroit ; sec
mince.a 292 :: fin ; léger ; épais ; simple ; sensible ; flexible ; écran ; double ; supérieur ; régulier
modeste.a 29 :: minuscule ; petit ; commun ; grand ; minable ; banal ; misérable ; humble ; modique ; insignifiant
modeste.a 114 :: humble ; petit ; insignifiant ; pauvre ; léger ; fontaine ; chose ; sympathique ; digne ; significatif
modeste.a 121 :: misérable ; timide ; maigre ; faible ; important ; dérisoire ; léger ; petit ; minime ; limité
modeste.a 163 :: faible ; limité ; léger ; minime ; petit ; important ; mesurer ; personnel ; considérable ; confidentielle
modeste.a 195 :: limité ; minime ; médiocre ; faible ; économique ; réduire ; restreindre ; substantiel ; personnel ; considérable
modeste.a 197 :: pauvre ; faible ; fragile ; libre ; aisé ; français ; maigre ; lourd ; concerner ; nanti
modeste.a 200 :: restreindre ; limité ; chose ; temps ; petit ; léger ; réduire ; faible ; simple ; prudent
modeste.a 246 :: élevé ; important ; faible ; économique ; considérable ; général ; léger ; relatif ; médiocre ; inférieur
modeste.a 269 :: petit ; modestie ; humble ; pauvre ; humilité ; taille ; salaire ; maigre ; chiffre ; presque
modeste.a 283 :: humble ; pauvre ; gentil ; petit ; timide ; discret ; honnête ; misérable ; insignifiant ; sympathique
montée.n 15 :: côte ; courbe ; progression ; victoire ; poussée ; descente ; chute ; vie ; chaîne ; réalité
montée.n 56 :: hausse ; augmentation ; progression ; descente ; croissance ; baisse ; poussée ; partie ; gestion ; réduction
montée.n 75 :: descente ; suite ; ascension ; visite ; monte ; journée ; balade ; arrivée ; promenade ; promotion
montée.n 138 :: performance ; évolution ; hausse ; croissance ; gestion ; progression ; poussée ; dynamique ; constant ; vie
montée.n 141 :: hausse ; descente ; monte ; transformation ; progression ; courbe ; chute ; mise ; poussée ; tendance
