affection.n 8 :: dernier ; occasion ; disposition ; maladie ; institution ; assemblée ; opération ; exposition ; instruction ; considération
arrêter.v 1 :: enlever ; stopper ; tuer ; abandonner ; suspendre ; exécuter ; juger ; prendre ; capturer ; abattre
arrêter.v 14 :: condamner ; interpellé ; abattu ; interpeller ; détenu ; prendre ; emprisonné ; mort ; incarcérer ; attaquer
arrêter.v 23 :: aimer ; être ; apercevoir ; avantage ; appeler ; englober ; excellent ; ensemble ; aimable ; objet
arrêter.v 25 :: laisse ; oublier ; lâche ; abandonner ; limite ; commencer ; piqu ; paie ; ferme ; appuyer
arrêter.v 50 :: abandonner ; arrêt ; quitter ; cesser ; enlever ; appeler ; éteindre ; prendre ; interrompre ; regretter
arrêter.v 181 :: préparer ; vérifier ; établir ; élaborer ; contenir ; introduction ; expliquer ; continuer ; comprendre ; assurer
arrêter.v 219 :: faire ; tuer ; conduire ; acheter ; bloquer ; stopper ; aider ; transporter ; atteindre ; produire
arrêter.v 273 :: condamner ; capturer ; emprisonner ; exécuter ; interpeller ; enlever ; adopter ; interdire ; assassiner ; punir
arrêter.v 277 :: an ; but ; or ; point ; in ; li ; os ; parer ; également ; déjà
arrêter.v 291 :: décider ; émettre ; signer ; publier ; communiqué ; céder ; établir ; adopter ; délivrer ; acquérir
capacité.n 26 :: faculté ; puissance ; force ; flexibilité ; disponibilité ; patience ; faciliter ; pouvoir ; rapidité ; réputation
capacité.n 32 :: chaîne ; puissance ; tête ; activité ; force ; machine ; quantité ; charge ; réserve ; capable
capacité.n 35 :: membre ; associer ; an ; reconnaître ; employé ; salarié ; affilier ; professeur ; appartenir ; suppléant
capacité.n 70 :: puissance ; surface ; production ; fréquentation ; rentabilité ; quantité ; utilisation ; productivité ; contribution ; consommation
capacité.n 73 :: faculté ; compétence ; souplesse ; force ; possibilité ; flexibilité ; aptitude ; vision ; détermination ; propriété
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; force ; liberté ; pouvoir ; fonction ; propre ; vertu
capacité.n 103 :: disponibilité ; ressource ; activité ; stock ; réserve ; quantité ; possibilité ; infrastructure ; norme ; unité
capacité.n 110 :: puissance ; garantie ; possibilité ; quantité ; batterie ; solution ; réduction ; présence ; durée ; participation
capacité.n 135 :: liberté ; faculté ; possibilité ; marge ; puissance ; pouvoir ; droit ; porter ; force ; sphère
capacité.n 148 :: formation ; maîtrise ; qualification ; spécialisation ; licence ; certification ; compétence ; mise ; qualité ; recherche
commander.v 5 :: publier ; final ; écrire ; spécial ; réaliser ; éditer ; rédiger ; produit ; accomplir ; public
commander.v 9 :: commander ; vous ; dé ; commencer ; simplement ; acheter ; ici ; découvrir ; devenir ; créer
commander.v 16 :: commandant ; diriger ; recevoir ; mener ; commanda ; ordonner ; soutenir ; conduire ; signe ; préside
commander.v 41 :: commande ; ordonner ; gérer ; choisir ; guide ; décider ; définir ; suivre ; diriger ; assurer
commander.v 48 :: contrôlent ; diriger ; régir ; déterminer ; créer ; dominer ; gouverner ; gérer ; financer ; mener
commander.v 117 :: commande ; dicter ; commandant ; permettre ; suggérer ; commandement ; vouloir ; prescrire ; demander ; ordonner
commander.v 164 :: passer ; donne ; bon ; dicter ; haut ; demande ; ment ; grand ; long ; fortement
commander.v 171 :: commande ; déjà ; faire ; commandant ; acheter ; également ; venir ; rapidement ; passer ; voir
commander.v 206 :: permettre ; donne ; donner ; venir ; tandis ; servir ; vouloir ; protéger ; suggérer ; signifier
commander.v 240 :: commande ; faire ; contrôler ; régler ; prendre ; programmer ; ajouter ; porter ; travailler ; personnaliser
compris.a 52 :: mieux ; mal ; correctement ; vite ; bon ; parfaitement ; vivre ; accepter ; prise ; présente
compris.a 90 :: ajouter ; participer ; associer ; inclure ; nécessaire ; employer ; reconnaître ; indiquer ; contribuer ; demander
compris.a 106 :: penser ; entendre ; corrigé ; vivre ; prouver ; préciser ; reconnaître ; confirmer ; remarquer ; vrai
compris.a 185 :: inclure ; incorporer ; impliquer ; entendre ; contenir ; présent ; mentionner ; établir ; employé ; trouver
compris.a 186 :: inclure ; ici ; présent ; situer ; rester ; recevoir ; perdre ; retenir ; excellent ; reprendre
compris.a 187 :: situer ; contenu ; inclure ; compter ; estimer ; ranger ; moyen ; choisir ; recommander ; prendre
compris.a 211 :: inclus ; situer ; varier ; répartir ; présent ; contenir ; grouper ; partager ; mesurer ; évaluer
compris.a 232 :: inclure ; intégré ; contenu ; prendre ; compter ; inclus ; reprendre ; prévoir ; comprendre ; admettre
compris.a 272 :: saisir ; réaliser ; capter ; penser ; prendre ; comprendre ; percevoir ; apprendre ; retenir ; croire
compris.a 287 :: intégré ; saisir ; assimiler ; apprendre ; comprendre ; deviner ; adopter ; trouver ; découvrir ; apprécier
couverture.n 65 :: dernier ; page ; rédaction ; actualité ; dossier ; série ; carte ; sommaire ; manchette ; édition
couverture.n 67 :: peau ; vie ; voil ; chemise ; veste ; réputation ; mort ; protection ; toile ; corde
couverture.n 72 :: toiture ; couvrir ; couvert ; traire ; sol ; produit ; véranda ; solution ; sécurité ; surface
couverture.n 143 :: couvrir ; vignette ; manchette ; fort ; illustration ; page ; pochette ; photo ; étiquette ; lune
couverture.n 149 :: protection ; couvert ; régime ; traitement ; marge ; répartition ; capital ; sécurité ; caisse ; garantie
couverture.n 150 :: enveloppe ; reliure ; supérieur ; bible ; couvrir ; jaquette ; principal ; intérieure ; édition ; bon
couverture.n 201 :: surveillance ; desserte ; protection ; sécurité ; gestion ; couvrir ; déploiement ; conquête ; pénétration ; transformation
couverture.n 257 :: toiture ; remplacement ; construction ; revêtement ; protection ; sol ; transformation ; base ; surface ; terre
couverture.n 265 :: couvrir ; serviette ; véranda ; couette ; bâche ; tapisserie ; housse ; voil ; couche ; aile
couverture.n 280 :: couvrir ; couette ; peau ; paille ; léger ; voil ; blanc ; protection ; confortable ; vert
débit.n 64 :: haut ; vitesse ; fort ; optique ; internet ; élevé ; rapide ; taux ; capacité ; accès
débit.n 87 :: cours ; niveau ; écoulement ; rendement ; torrent ; gros ; report ; retard ; poids ; temps
débit.n 115 :: niveau ; cours ; rythme ; écoulement ; flot ; flux ; régime ; volume ; delta ; jet
débit.n 131 :: flux ; eau ; niveau ; fonds ; courant ; cours ; dépôt ; couche ; débordement ; apport
débit.n 136 :: cours ; crue ; niveau ; lit ; bassin ; flux ; rive ; sédiment ; pente ; paramètre
débit.n 168 :: crédit ; montant ; passage ; compte ; financement ; cours ; tir ; total ; détail ; visa
débit.n 169 :: montant ; niveau ; prix ; coût ; volume ; résultat ; traitement ; total ; financement ; cours
débit.n 184 :: potentiel ; puissance ; capacité ; record ; multiplicateur ; rythme ; développement ; augmentation ; succès ; refroidissement
débit.n 188 :: apport ; flux ; niveau ; effectif ; précipitation ; inondation ; crue ; cours ; débordement ; rejet
débit.n 205 :: rythme ; flux ; mouvement ; tempo ; vol ; écoulement ; caractère ; temps ; trafic ; discours
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; houlette ; présidence ; directrice ; performance ; main ; baguette
direction.n 111 :: comité ; présidence ; général ; directeur ; national ; nouveau ; directrice ; central ; fédéral ; section
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; coordination ; société ; division ; président
direction.n 152 :: orientation ; ligne ; conduite ; tendance ; voie ; droite ; forme ; courbe ; pente ; sens
direction.n 172 :: destination ; rejoindre ; peut-être ; cap ; aller ; presque ; voir ; diriger ; nord ; vie
direction.n 176 :: directrice ; orientation ; conduite ; directeur ; diriger ; contrôle ; gestion ; transmission ; supérieur ; management
direction.n 199 :: nouveau ; actuel ; dernier ; principal ; interne ; politique ; rédaction ; partir ; ligne ; bon
direction.n 223 :: bon ; ligne ; nouveau ; musical ; directrice ; principal ; compagnie ; main ; diriger ; haut
direction.n 262 :: directeur ; général ; directrice ; responsable ; contrôle ; nouveau ; actuel ; responsabilité ; développement ; diriger
direction.n 279 :: pari ; destination ; venir ; tance ; plein ; nord ; doler ; bourgogne ; national ; provenance
don.n 19 :: sens ; talent ; style ; souci ; coup ; pouvoir ; temps ; centre ; droit ; angle
don.n 30 :: talent ; atout ; oeil ; trait ; instinct ; sens ; pouvoir ; élan ; goût ; côté
don.n 36 :: talent ; domaine ; sens ; développement ; cadeau ; jour ; travail ; vin ; choix ; lien
don.n 60 :: cadeau ; sacrifice ; bon ; produit ; droit ; ministère ; livre ; travail ; point ; prêt
don.n 84 :: contribution ; fonds ; investissement ; produit ; cadeau ; avantage ; droit ; revenu ; versement ; transfert
don.n 107 :: cadeau ; part ; parvenir ; offrir ; présent ; legs ; concession ; preuve ; présentation ; sacrifice
don.n 130 :: contribution ; bénédiction ; collecte ; personne ; cadeau ; fondation ; action ; fonds ; apport ; chose
don.n 196 :: talent ; génie ; chic ; pouvoir ; secret ; droit ; truc ; caractère ; temps ; style
don.n 244 :: cadeau ; geste ; droit ; bon ; receveur ; souher ; simple ; signe ; legs ; double
don.n 245 :: témoignage ; travail ; rôle ; talent ; cadeau ; lien ; cas ; ouvrage ; projet ; portrait
entraîner.v 39 :: or ; art ; ouverture ; expédition ; expédier ; aide ; ensemble ; origine ; international ; air
entraîner.v 47 :: aider ; obliger ; conduire ; pousse ; encourager ; amener ; engager ; aide ; inciter ; également
entraîner.v 55 :: clip ; aide ; or ; international ; art ; air ; image ; origine ; impossible ; actuel
entraîner.v 57 :: eau ; air ; image ; emploi ; évolution ; apparemment ; aéroport ; énergie ; être ; efficace
entraîner.v 133 :: air ; interne ; aide ; image ; animal ; art ; irremplaçable ; enseigner ; ancien ; ion
entraîner.v 140 :: amener ; mener ; envoyer ; conduire ; attirer ; pousser ; emporter ; emmener ; engager ; suivre
entraîner.v 144 :: invite ; obliger ; avoir ; inviter ; amener ; engager ; encourager ; pousse ; force ; exhorter
entraîner.v 161 :: amener ; provoquer ; conduire ; apparaître ; engendrer ; produire ; créer ; pallier ; expliquer ; causer
entraîner.v 162 :: engendrer ; amener ; provoquer ; impliquer ; encourager ; déclenche ; induire ; favoriser ; assurer ; influence
entraîner.v 191 :: emporter ; amener ; conduire ; emmener ; mener ; porter ; attirer ; précipiter ; engager ; jeter
éplucher.v 10 :: peler ; pomme ; ajouter ; carotte ; laver ; acheter ; fleur ; ensuite ; sel ; également
éplucher.v 51 :: scrupuleusement ; soigneusement ; éplucher ; intégralement ; minutieusement ; largement ; analyser ; systématiquement ; attentivement ; allègrement
éplucher.v 69 :: lire ; attentivement ; soigneusement ; examiner ; consulter ; écouter ; scrupuleusement ; presque ; faire ; connaître
éplucher.v 100 :: éplucher ; hacher ; finement ; presser ; couper ; râper ; grossièrement ; laver ; trancher ; oignon
éplucher.v 119 :: fouillé ; éplucher ; parcourir ; regarder ; lire ; mal ; consulter ; aller ; bon ; fouiller
éplucher.v 167 :: asperge ; carotte ; courgette ; peau ; betterave ; livre ; queue ; fève ; petit ; âme
éplucher.v 174 :: regarder ; voir ; lire ; également ; consulter ; supprimer ; effacer ; ensuite ; analyser ; automatiquement
éplucher.v 235 :: peler ; faire ; arracher ; affiner ; cueillir ; aiguille ; extrair ; presser ; savoir ; aller
éplucher.v 236 :: éplucher ; avoir ; faire ; vite ; rapidement ; soigneusement ; côté ; intérêt ; gros ; terre
éplucher.v 258 :: peler ; légume ; blanchir ; oignon ; carotte ; laver ; fruit ; égoutter ; faire ; pépin
espace.n 13 :: établissement ; or ; ensemble ; ancien ; grand ; euro ; innombrable ; centre ; investissement ; accès
espace.n 27 :: or ; air ; eau ; éternel ; art ; étrange ; image ; ensemble ; écran ; aide
espace.n 79 :: zone ; environnement ; support ; service ; coin ; lieu ; ensemble ; pôle ; temps ; studio
espace.n 120 :: air ; excellent ; petit ; étroit ; heureux ; ajouter ; énorme ; grand ; article ; avantage
espace.n 137 :: information ; environnement ; développement ; entreprise ; instrument ; coopération ; marché ; enseignement ; organisation ; avantage
espace.n 142 :: air ; international ; afghan ; interne ; éternel ; énergie ; aide ; eau ; image ; actuel
espace.n 180 :: zone ; volume ; place ; emplacement ; environnement ; déplacement ; lieu ; passage ; rangement ; partage
espace.n 208 :: ancien ; instrument ; euro ; excellent ; ion ; innombrable ; enseignant ; heure ; grand ; an
espace.n 229 :: service ; événement ; propre ; investissement ; aménagement ; petit ; équipement ; avantage ; développement ; produit
espace.n 243 :: article ; ensemble ; coin ; écran ; intervalle ; rôle ; jour ; endroit ; journal ; compte
essuyer.v 11 :: essuyer ; essuie ; soigneusement ; ensuite ; laver ; face ; passer ; faire ; côté ; avoir
essuyer.v 58 :: subir ; rencontrer ; connaître ; avoir ; rencontre ; constater ; souffrir ; traverser ; affronter ; recevoir
essuyer.v 77 :: essuie ; éponge ; laver ; brûle ; verse ; tremper ; effacer ; encre ; garder ; lav
essuyer.v 81 :: essuie ; er ; ale ; os ; lin ; être ; ion ; ch ; amen ; sec
essuyer.v 86 :: ligne ; passer ; recevoir ; devoir ; group ; live ; donne ; laisse ; assurer ; continuer
essuyer.v 89 :: revers ; subir ; durement ; échec ; essuie ; finalement ; rencontrer ; récemment ; défaite ; remporter
essuyer.v 98 :: faire ; recevoir ; encaisser ; gagner ; voir ; prendre ; subir ; utiliser ; perdre ; acheter
essuyer.v 166 :: nettoyer ; faire ; avoir ; écrire ; commencer ; masser ; utiliser ; imprimer ; répéter ; chiffon
essuyer.v 215 :: subir ; recevoir ; obtenir ; recueillir ; enregistrer ; récolter ; remporter ; encaisser ; connaître ; rencontrer
essuyer.v 266 :: essuie ; ensuite ; laver ; soigneusement ; ensemble ; utiliser ; faire ; torchon ; délicatement ; abondamment
faucher.v 12 :: tuer ; écraser ; renverser ; volée ; agresser ; assassiner ; enlever ; briser ; hacher ; abattre
faucher.v 42 :: également ; donnée ; disponible ; peut-être ; mieux ; devenir ; découverte ; davantage ; inscrire ; enregistrer
faucher.v 116 :: semer ; pousser ; tuer ; abattre ; faux ; presque ; hacher ; finement ; intentionnellement ; abandonner
faucher.v 160 :: amoureux ; tombe ; mettre ; grave ; malheureux ; coûter ; être ; mort ; pari ; revenir
faucher.v 214 :: conseil ; rivière ; temps ; travail ; producteur ; commune ; disposition ; cheval ; compagnie ; entreprise
faucher.v 239 :: acheter ; servir ; jeter ; entamer ; déjà ; volée ; presque ; planter ; vieux ; coûter
faucher.v 248 :: taire ; abattre ; blesse ; brise ; écraser ; tombe ; frappe ; cogne ; renverse ; involontairement
faucher.v 276 :: abattre ; couper ; semer ; planter ; arracher ; piquer ; tailler ; faire ; greffer ; pousser
faucher.v 282 :: remplacer ; falloir ; également ; trouver ; donne ; porte ; malheureusement ; passer ; côté ; déjà
faucher.v 290 :: grièvement ; gravement ; blesser ; tuer ; trouver ; bêtement ; abattre ; donner ; servir ; déjà
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; établir ; ouvrir ; tenir ; installer ; développer ; former
fonder.v 7 :: motiver ; force ; conditionne ; porte ; expliquer ; guide ; sous-tendre ; appuyer ; cadre ; légitime
fonder.v 54 :: base ; construire ; appuyer ; trouver ; bâtir ; gagner ; assurer ; marque ; force ; ancre
fonder.v 66 :: traverser ; instaurer ; ferme ; rejoindre ; installer ; intégrer ; fixe ; épouse ; quitte ; fondation
fonder.v 88 :: rejoindre ; intégrer ; quitte ; créer ; finance ; joindre ; commencer ; prendre ; ouvrir ; installer
fonder.v 93 :: traverser ; constituer ; base ; forme ; force ; forge ; porte ; assurer ; caractériser ; valide
fonder.v 158 :: base ; bâtir ; repose ; fonctionner ; focaliser ; forge ; fier ; fixe ; joue ; développer
fonder.v 212 :: former ; faire ; fondre ; fabriquer ; créer ; constituer ; développer ; composer ; contracter ; définir
fonder.v 264 :: forme ; base ; être ; former ; ensuite ; finalement ; devenir ; commencer ; jésus ; racine
fonder.v 286 :: compte ; réunir ; fabrique ; forge ; ferme ; rassembler ; développer ; installer ; fondation ; fond
grossier.a 24 :: flagrant ; évident ; formel ; rigoureux ; simple ; clair ; grave ; stupide ; lourd ; fin
grossier.a 37 :: caractère ; maquillage ; fond ; résultat ; travail ; presque ; mensonge ; calcul ; voil ; écran
grossier.a 85 :: lâche ; tendre ; vulgaire ; dister ; violent ; rigide ; sauvage ; agressif ; confus ; maladroit
grossier.a 108 :: fin ; tendre ; profond ; léger ; doux ; hétérogène ; minéral ; cru ; clair ; élevé
grossier.a 134 :: léger ; subtil ; évident ; complet ; flagrant ; profond ; sérieux ; lourd ; cruel ; grand
grossier.a 179 :: gros ; bon ; grand ; petit ; profond ; vrai ; nouveau ; énorme ; sérieux ; complet
grossier.a 227 :: confus ; agressif ; vulgaire ; prétentieux ; poli ; arrogant ; maladroit ; ridicule ; stupide ; naïf
grossier.a 228 :: commentaire ; mensonge ; témoignage ; résultat ; fait ; message ; sens ; compte ; billet ; revenu
grossier.a 231 :: inférieur ; vulgaire ; faire ; humain ; brut ; simple ; premier ; superficiel ; raffiné ; matériel
grossier.a 300 :: stupide ; répéter ; incessant ; féroce ; faire ; vocal ; régulier ; défensive ; agressif ; théâtral
hermétique.a 203 :: oeil ; presque ; fois ; texte ; fin ; parfaitement ; arcane ; épais ; tanin ; sage
hermétique.a 71 :: mystérieux ; fermer ; énigmatique ; opaque ; étanche ; austère ; incompréhensible ; inquiétant ; effrayant ; sombre
hermétique.a 99 :: fermer ; sceller ; plastique ; contenir ; conserve ; étanche ; verre ; capsule ; cube ; chinois
hermétique.a 126 :: insensible ; imperméable ; étanche ; sourd ; aveugle ; réfractaire ; sensible ; perméable ; fermer ; opaque
hermétique.a 127 :: étanche ; obscur ; opaque ; secret ; noir ; mystérieux ; fermé ; élitiste ; imperméable ; officiel
hermétique.a 220 :: vide ; opaque ; mystérieux ; déjà ; piège ; extrêmement ; bon ; presque ; porte ; parfaitement
hermétique.a 226 :: insensible ; fermer ; imperméable ; attacher ; étanche ; réfractaire ; habituer ; sensible ; allergique ; étranger
hermétique.a 261 :: étanche ; opaque ; magique ; éloquer ; complice ; incompréhensible ; audible ; automatique ; mystérieux ; fermer
hermétique.a 278 :: solide ; alimentaire ; étanche ; noir ; totalement ; plastique ; close ; entièrement ; interne ; adhésive
hermétique.a 204 :: opaque ; obscur ; problématique ; inquiétant ; partiel ; temporel ; mystérieux ; isoler ; optique ; étique
incorrect.a 45 :: ante ; der ; adapter ; opportun ; actif ; nommer ; exact ; approprier ; adéquat ; naître
incorrect.a 125 :: habituellement ; nommer ; naître ; normalement ; actuellement ; complètement ; appeler ; in ; prévoir ; estimer
incorrect.a 132 :: également ; rester ; totalement ; extrêmement ; demeurer ; faire ; devenir ; mal ; déjà ; tomber
incorrect.a 156 :: politique ; mal ; in ; juridique ; vraiment ; judiciaire ; professionnel ; juger ; politiquement ; der
incorrect.a 159 :: utilisation ; expérience ; application ; pratique ; interprétation ; qualité ; applicabilité ; activité ; transposition ; participation
incorrect.a 177 :: précis ; supérieur ; total ; prédéterminer ; erroné ; serrer ; correct ; minimum ; donner ; minimal
incorrect.a 217 :: enfant ; produit ; droite ; chose ; naître ; site ; mort ; propriétaire ; ici ; faire
incorrect.a 241 :: complètement ; vraiment ; totalement ; parfaitement ; socialement ; également ; immédiatement ; habituellement ; naître ; actuellement
incorrect.a 298 :: vrai ; évident ; efficace ; dangereux ; maladroit ; impopulaire ; surprenant ; irrégulier ; difficile ; impressionnant
incorrect.a 299 :: personnel ; confidentiel ; transmettre ; bancaire ; donnée ; saisir ; financier ; important ; effacer ; demander
intérêt.n 63 :: avis ; opinion ; vision ; thèse ; conception ; idée ; position ; argument ; vue ; logique
intérêt.n 97 :: article ; international ; équipe ; église ; état ; environnement ; ensemble ; accueil ; enseignement ; objet
intérêt.n 129 :: air ; étroit ; art ; international ; aide ; irremplaçable ; heureux ; externe ; étymologie ; or
intérêt.n 146 :: or ; eau ; aide ; évolution ; air ; image ; ensemble ; énergie ; art ; origine
intérêt.n 155 :: article ; effectif ; audiovisuel ; utilisateur ; international ; air ; information ; étroit ; énergie ; instrument
intérêt.n 218 :: avantage ; intéressant ; côté ; important ; sens ; importance ; inconvénient ; élément ; attrer ; enseignement
intérêt.n 263 :: air ; audiovisuelle ; alpha ; étymologie ; excellent ; externe ; cor ; indispensable ; efficace ; international
intérêt.n 268 :: air ; étroit ; externe ; international ; alpha ; afghan ; temps ; aide ; or ; étymologie
intérêt.n 271 :: être ; indispensable ; origine ; air ; image ; actuel ; étrange ; enseigner ; horizon ; écran
intérêt.n 297 :: aide ; air ; ensemble ; clip ; or ; animal ; art ; propre ; immigré ; guide
interpréter.v 18 :: chanter ; jouer ; interprétation ; offrir ; reprendre ; remonter ; enregistrer ; raconter ; arranger ; inspirer
interpréter.v 21 :: interprétation ; dessiner ; arranger ; jouer ; encourageant ; chanter ; partager ; imposer ; reprendre ; offrir
interpréter.v 59 :: expliquer ; comprendre ; penser ; analyser ; inverser ; entendre ; envisager ; regarder ; évaluer ; voir
interpréter.v 80 :: air ; art ; aide ; or ; efficace ; international ; externe ; cor ; clip ; min
interpréter.v 123 :: étymologie ; alpha ; illustre ; usage ; obliger ; or ; étroit ; art ; irremplaçable ; immigré
interpréter.v 128 :: joue ; incarner ; ici ; in ; interprétation ; prendre ; double ; camper ; assurer ; écrire
interpréter.v 157 :: incarner ; joue ; double ; rôle ; ici ; marier ; interprétation ; christ ; jésus ; texte
interpréter.v 260 :: comprendre ; décoder ; entendre ; interprétation ; lire ; analyser ; expliquer ; éclairer ; faire ; évaluer
interpréter.v 267 :: comprendre ; interprétation ; vivre ; entendre ; lire ; percevoir ; recevoir ; considérer ; attribuer ; assimiler
interpréter.v 289 :: chanter ; animé ; incarner ; porter ; jouer ; habiter ; interprétation ; mu ; dansé ; écrire
maintenir.v 94 :: fermement ; immobile ; légèrement ; appuyer ; tenir ; constamment ; fortement ; presque ; bloquer ; mentalement
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; disponible ; référencer ; figurer ; indiquer ; ajouter
maintenir.v 154 :: garder ; conserver ; exercer ; continuer ; tenir ; renforcer ; poursuivre ; imposer ; assurer ; garde
maintenir.v 175 :: préserver ; conserver ; retenir ; demeurer ; garder ; dissimuler ; divertir ; persuader ; mener ; maintien
maintenir.v 183 :: garder ; conserver ; préserver ; garantir ; assurer ; favoriser ; rester ; demeurer ; vivre ; entretenir
maintenir.v 207 :: demeurer ; préserver ; garder ; maintien ; conserver ; soutenir ; rester ; retenir ; soigner ; réintégrer
maintenir.v 230 :: tenir ; pouvoir ; dernier ; devoir ; compter ; être ; également ; présent ; mieux ; prendre
maintenir.v 234 :: souhaiter ; considérer ; estime ; soutenir ; rappeler ; réaffirmer ; prévoir ; proposer ; vouloir ; reconnaître
maintenir.v 251 :: confirmer ; réitérer ; tenir ; conserve ; répéter ; réaffirmer ; reprendre ; poursuivre ; soutenir ; renouveler
maintenir.v 281 :: compte ; dernier ; gage ; note ; ajouter ; tenir ; affirmer ; estime ; conseil ; canada
mince.a 17 :: étroit ; haut ; vulnérable ; profond ; faible ; épais ; fin ; serrer ; intime ; large
mince.a 96 :: fin ; épais ; régulier ; léger ; continuer ; grossier ; lisse ; uniforme ; supérieur ; sec
mince.a 147 :: fin ; faible ; maigre ; léger ; sommaire ; original ; réussir ; présente ; bel ; bon
mince.a 170 :: déjà ; maigre ; fin ; petit ; léger ; vraiment ; presque ; marque ; extrêmement ; bébé
mince.a 192 :: petit ; fin ; minuscule ; simple ; gros ; léger ; solide ; mobile ; menu ; robuste
mince.a 202 :: fin ; léger ; épais ; petit ; nouveau ; double ; second ; dernier ; important ; large
mince.a 213 :: faible ; maigre ; minime ; petit ; riche ; vert ; réduire ; léger ; précieux ; misérable
mince.a 225 :: maigre ; déjà ; honorable ; pourtant ; petit ; mai ; joli ; fin ; finalement ; léger
mince.a 242 :: fin ; loin ; fragile ; étroit ; faible ; poreux ; court ; serrer ; bon ; établir
mince.a 292 :: fin ; épais ; invisible ; flexible ; métallique ; conducteur ; léger ; organique ; supérieur ; cristalline
modeste.a 29 :: petit ; minuscule ; misérable ; minable ; humble ; simple ; grand ; joli ; vaste ; dérisoire
modeste.a 114 :: petit ; pauvre ; poli ; humble ; bon ; malheureux ; honnête ; misérable ; discret ; gentil
modeste.a 121 :: faible ; minime ; petit ; limité ; significatif ; modérer ; important ; mesurer ; réduire ; infime
modeste.a 163 :: limité ; propre ; spectaculaire ; petit ; léger ; mesurer ; personnel ; nécessaire ; important ; minime
modeste.a 195 :: limité ; minime ; faible ; considérable ; pauvre ; élevé ; misérable ; médiocre ; simple ; important
modeste.a 197 :: pauvre ; aisé ; fortuné ; faible ; concerner ; français ; libre ; fragile ; âgé ; mineur
modeste.a 200 :: limité ; salarial ; réduire ; appliquer ; faible ; important ; nécessaire ; restreindre ; petit ; rentable
modeste.a 246 :: léger ; élevé ; moindre ; marchand ; relatif ; important ; faible ; considérable ; médiocre ; notable
modeste.a 269 :: humble ; petit ; jeune ; digne ; pauvre ; bon ; simple ; déjà ; misérable ; timide
modeste.a 283 :: humble ; discret ; digne ; fragile ; timide ; pauvre ; solide ; honnête ; public ; sympathique
montée.n 15 :: côte ; progression ; courbe ; faveur ; droite ; progressif ; descente ; monte ; réalité ; pente
montée.n 56 :: hauteur ; construction ; partie ; échelle ; augmentation ; descente ; chute ; montagne ; majorité ; ligne
montée.n 75 :: suite ; descente ; nuit ; terrasse ; promenade ; journée ; visite ; balade ; croisière ; place
montée.n 138 :: évolution ; hausse ; constant ; performance ; croissance ; demande ; poussée ; progression ; dynamique ; croissant
montée.n 141 :: monte ; descente ; hausse ; courbe ; poussée ; chute ; baisse ; progression ; transformation ; dérive
