affection.n 8 :: affectation ; maladie ; disposition ; ambition ; dernier ; épreuve ; influence ; tendresse ; habitude ; institution
arrêter.v 181 :: pose ; contenir ; établir ; élaborer ; définir ; donne ; préparer ; contrôle ; comprendre ; adopter
arrêter.v 219 :: tuer ; attraper ; stopper ; faire ; atteindre ; abattre ; bloquer ; enregistrer ; transporter ; achever
arrêter.v 273 :: condamner ; emprisonner ; capturer ; exécuter ; suspendre ; interdire ; interpeller ; attacher ; assassiner ; juger
arrêter.v 277 :: an ; avoir ; or ; in ; us ; parer ; der ; but ; point ; pré
arrêter.v 291 :: publier ; proposer ; décider ; signer ; émettre ; fixer ; adopter ; établir ; délivrer ; accepter
capacité.n 26 :: faculté ; flexibilité ; disponibilité ; puissance ; force ; faciliter ; possibilité ; rapidité ; souplesse ; pouvoir
capacité.n 32 :: chaîne ; puissance ; force ; machine ; technologie ; différence ; activité ; quantité ; tête ; société
capacité.n 35 :: membre ; associer ; reconnaître ; voire ; personne ; an ; salarié ; également ; employé ; in
capacité.n 70 :: puissance ; performance ; quantité ; surface ; fréquentation ; rentabilité ; densité ; qualité ; batterie ; résultat
capacité.n 73 :: faculté ; compétence ; force ; souplesse ; aptitude ; résilience ; possibilité ; disponibilité ; qualité ; résistance
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; pouvoir ; fonction ; liberté ; vertu ; légitimité ; responsabilité
capacité.n 103 :: disponibilité ; activité ; série ; stock ; quantité ; installation ; besoin ; possibilité ; ressource ; unité
capacité.n 110 :: puissance ; batterie ; possibilité ; réserve ; quantité ; série ; suite ; fonction ; solution ; participation
capacité.n 135 :: faculté ; possibilité ; force ; potentiel ; puissance ; volonté ; résilience ; rapidité ; flexibilité ; faciliter
capacité.n 148 :: compétence ; formation ; maîtrise ; connaissance ; qualification ; certification ; spécialisation ; qualité ; confiance ; expérience
commander.v 5 :: accomplir ; publier ; écrire ; réaliser ; dicter ; signer ; vouloir ; donner ; commencer ; effectuer
commander.v 9 :: commander ; choisir ; commencer ; acheter ; créer ; réserver ; découvrir ; apprendre ; installer ; trouver
commander.v 16 :: commandant ; diriger ; préside ; direction ; ordonner ; centre ; recevoir ; présente ; supervise ; supérieur
commander.v 41 :: ordre ; ici ; commencer ; envoyer ; rapidement ; demander ; commande ; vite ; déjà ; légion
commander.v 48 :: diriger ; contrôlent ; gérer ; tirer ; dominer ; gouverner ; déterminer ; régir ; créer ; financer
commander.v 117 :: commande ; dicter ; commandant ; suggérer ; prescrire ; commandement ; commanda ; requérir ; préconiser ; vouloir
commander.v 164 :: bon ; français ; commanda ; donne ; dame ; maîtresse ; ordre ; droite ; garde ; dur
commander.v 171 :: commande ; valider ; acheter ; acquérir ; imprimer ; réserver ; commencer ; déguster ; terminer ; réaliser
commander.v 206 :: solaire ; représentant ; défense ; surveiller ; supplémentaire ; venir ; prétendre ; observateur ; veiller ; permettre
commander.v 240 :: commande ; simplement ; faire ; passer ; contrôler ; également ; régler ; lire ; réaliser ; payer
compris.a 52 :: assimiler ; accepter ; interpréter ; contenue ; lire ; compréhensible ; intégrer ; enseigner ; expliquer ; entendre
compris.a 90 :: ajouter ; apprendre ; penser ; assurer ; expliquer ; déclarer ; noter ; préciser ; reconnaître ; indiquer
compris.a 106 :: entendre ; déjà ; trouver ; nécessaire ; croire ; deviner ; prendre ; davantage ; expliquer ; penser
compris.a 185 :: inclure ; présent ; inscrire ; conserver ; contenir ; mentionner ; indispensable ; entendre ; placer ; incorporer
compris.a 186 :: situer ; déjà ; inclure ; présent ; rester ; également ; entrer ; naître ; partout ; mort
compris.a 187 :: également ; largement ; inclure ; généralement ; partout ; ici ; actuellement ; utiliser ; temps ; enseignement
compris.a 211 :: mesurer ; fini ; varier ; situer ; inclus ; convenable ; répartir ; moyen ; maintenir ; minimal
compris.a 232 :: inclure ; également ; généralement ; entièrement ; partout ; prix ; entier ; prendre ; compte ; contenu
compris.a 272 :: avoir ; être ; entendre ; également ; prendre ; mémoire ; conscience ; parfaitement ; ment ; inclure
compris.a 287 :: comprendre ; intégré ; apprécier ; saisir ; trouver ; assimiler ; découvrir ; capter ; repérer ; définir
couverture.n 65 :: dernier ; page ; photo ; fiche ; lune ; dossier ; grand ; sommaire ; rédaction ; région
couverture.n 67 :: vie ; peau ; réputation ; chance ; survie ; carrière ; route ; liberté ; fortune ; protection
couverture.n 72 :: sol ; couvrir ; toiture ; dossier ; terre ; fond ; couvert ; matière ; dessin ; terrasse
couverture.n 143 :: manchette ; couvrir ; front ; illustration ; fort ; tête ; beauté ; bref ; terrasse ; pied
couverture.n 149 :: protection ; couvert ; sécurité ; assurance ; défense ; zone ; traitement ; couvrir ; régime ; matière
couverture.n 150 :: toiture ; couvrir ; voil ; pierre ; toit ; charpente ; protection ; tuile ; construction ; principal
couverture.n 201 :: surveillance ; protection ; sécurité ; gestion ; localisation ; desserte ; disponibilité ; transformation ; pénétration ; monter
couverture.n 257 :: toiture ; remplacement ; construction ; protection ; transformation ; sécurité ; base ; terre ; bois ; sol
couverture.n 265 :: couvrir ; housse ; véranda ; serviette ; voil ; couvert ; cape ; trappe ; cascade ; bâche
couverture.n 280 :: protection ; voil ; toiture ; couvrir ; peau ; bâche ; bon ; garde ; lune ; véranda
débit.n 64 :: banque ; automatique ; bancaire ; renouvelable ; faciliter ; taux ; carte ; solde ; mensuel ; compte
débit.n 87 :: internet ; accès ; data ; partiel ; mobile ; gratuit ; payant ; solde ; fixe ; abonnement
débit.n 115 :: niveau ; volume ; minimum ; fort ; flux ; écoulement ; potentiel ; important ; flot ; réel
débit.n 131 :: flux ; principal ; courant ; eau ; cours ; effet ; échange ; écoulement ; chambre ; moyen
débit.n 136 :: flux ; potentiel ; apport ; cours ; coefficient ; volume ; régime ; effectif ; niveau ; retrait
débit.n 168 :: montant ; compte ; total ; produit ; automatique ; crédit ; chargement ; bancaire ; banque ; panier
débit.n 169 :: montant ; résultat ; financement ; produit ; délai ; total ; coût ; flux ; traitement ; poids
débit.n 184 :: potentiel ; rendement ; succès ; rythme ; prix ; vitesse ; score ; niveau ; cap ; développement
débit.n 188 :: cours ; apport ; flux ; ruisseau ; rivière ; affluent ; creux ; moyen ; amont ; courant
débit.n 205 :: rythme ; flux ; vol ; caractère ; canal ; jet ; tempo ; volume ; flot ; trafic
direction.n 78 :: conduite ; responsabilité ; coordination ; houlette ; performance ; directrice ; baguette ; forme ; commande ; dépendance
direction.n 111 :: orientation ; organisation ; ligne ; présidence ; conduite ; tête ; tendance ; unité ; directrice ; main
direction.n 151 :: management ; gestion ; directrice ; général ; directeur ; contrôle ; interne ; diriger ; équipe ; responsabilité
direction.n 152 :: orientation ; ligne ; droite ; vertical ; inversion ; sens ; orienter ; supérieur ; principal ; horizontal
direction.n 172 :: destination ; presque ; aller ; forme ; voir ; peut-être ; pari ; rejoindre ; pékin ; orientation
direction.n 176 :: conduite ; comportement ; commande ; position ; contrôle ; rapport ; tendance ; virage ; forme ; sens
direction.n 199 :: rédaction ; majorité ; présidence ; gauche ; droite ; presse ; partir ; commission ; fédération ; conduite
direction.n 223 :: nouveau ; bon ; meilleur ; ligne ; plein ; droite ; familial ; diriger ; équipe ; orienter
direction.n 262 :: responsabilité ; directrice ; conduite ; tête ; défense ; charge ; présidence ; gestion ; directeur ; maîtrise
direction.n 279 :: venir ; provenance ; province ; destination ; région ; vallée ; sens ; face ; revenir ; sortir
don.n 19 :: sens ; véritable ; vrai ; double ; bon ; secret ; propre ; fort ; côté ; grand
don.n 30 :: talent ; oeil ; pouvoir ; sens ; instinct ; atout ; trait ; élan ; fonds ; plan
don.n 36 :: talent ; bon ; cadeau ; pouvoir ; signe ; sens ; grâce ; génie ; charm ; extraordinaire
don.n 60 :: cadeau ; travail ; livre ; produit ; projet ; échange ; talent ; mariage ; prêt ; sacrifice
don.n 84 :: apport ; contribution ; cadeau ; legs ; fonds ; versement ; soutien ; déchet ; paiement ; enfant
don.n 107 :: usage ; faire ; part ; cadeau ; der ; double ; preuve ; présent ; faveur ; partir
don.n 130 :: contribution ; cadeau ; fonds ; apport ; bénéficiaire ; legs ; enfant ; ami ; lien ; bienfait
don.n 196 :: talent ; pouvoir ; génie ; droit ; trésor ; sens ; temps ; secret ; truc ; chic
don.n 244 :: cadeau ; transfert ; versement ; mécénat ; travail ; subvention ; legs ; prêt ; contribution ; échange
don.n 245 :: cadeau ; témoignage ; reste ; enfant ; legs ; bijou ; lot ; objet ; trésor ; présent
entraîner.v 39 :: art ; air ; image ; or ; aide ; albanais ; immigré ; aller ; origine ; interne
entraîner.v 47 :: également ; peut-être ; fortement ; aider ; obliger ; engager ; durement ; inévitablement ; naturellement ; devoir
entraîner.v 55 :: air ; or ; clip ; art ; aide ; image ; international ; impossible ; actuel ; évolution
entraîner.v 57 :: air ; avoir ; excellent ; endroit ; effectif ; eau ; fédéral ; indien ; audiovisuelle ; obliger
entraîner.v 133 :: aide ; art ; ancien ; ensemble ; eau ; air ; heureux ; image ; emploi ; énergie
entraîner.v 140 :: mener ; envoyer ; amener ; conduire ; pousser ; engager ; attirer ; partir ; emporter ; aller
entraîner.v 144 :: avoir ; invite ; commencer ; obliger ; inviter ; devoir ; être ; invité ; force ; venir
entraîner.v 161 :: provoquer ; conduire ; induire ; peut-être ; éviter ; inévitablement ; aller ; développer ; causer ; amener
entraîner.v 162 :: provoquer ; amener ; engendrer ; encourager ; assurer ; déclenche ; influence ; favoriser ; actif ; apporter
entraîner.v 191 :: emporter ; amener ; conduire ; attirer ; mener ; emmener ; précipiter ; écarter ; empêcher ; engager
éplucher.v 10 :: peler ; carotte ; détail ; pomme ; passer ; également ; faire ; couper ; falloir ; signifier
éplucher.v 51 :: éplucher ; compiler ; fouillé ; soigneusement ; scrupuleusement ; analyser ; précieusement ; récolter ; minutieusement ; accès
éplucher.v 69 :: littéralement ; faire ; soigneusement ; autant ; également ; longuement ; presque ; allègrement ; peler ; finement
éplucher.v 100 :: éplucher ; finement ; presser ; couper ; trancher ; hacher ; rôti ; peler ; oignon ; cuisiner
éplucher.v 119 :: fouillé ; parcourir ; lire ; regarder ; éplucher ; survoler ; croiser ; fouiller ; consulter ; trouver
éplucher.v 167 :: laver ; grossièrement ; également ; découper ; couper ; ensuite ; ajouter ; mélanger ; noter ; regarder
éplucher.v 174 :: consulter ; voir ; supprimer ; découvrir ; retrouver ; afficher ; effacer ; visiter ; vérifier ; regarder
éplucher.v 235 :: peler ; trancher ; couper ; acheter ; oignon ; carotte ; mixer ; écraser ; égoutter ; faire
éplucher.v 236 :: récolter ; chercher ; aller ; balancer ; suivre ; collecter ; trouver ; gué ; donner ; déjà
éplucher.v 258 :: peler ; fraise ; faire ; légume ; fruit ; laver ; presser ; feuille ; carotte ; nettoyer
espace.n 13 :: or ; usage ; an ; audit ; international ; exploitation ; art ; os ; obliger ; ensemble
espace.n 27 :: air ; image ; art ; or ; eau ; antique ; aide ; ancien ; énergie ; optique
espace.n 79 :: coin ; zone ; ensemble ; office ; service ; option ; environnement ; aire ; module ; outil
espace.n 120 :: air ; article ; utilisation ; emploi ; ensemble ; enseignement ; être ; utilisateur ; endroit ; information
espace.n 137 :: environnement ; communautaire ; information ; européen ; entreprise ; statistique ; politique ; marché ; développement ; international
espace.n 142 :: air ; international ; afghan ; interne ; éternel ; ancien ; actuel ; américain ; indien ; image
espace.n 180 :: grand ; temps ; familial ; partage ; nouveau ; ancien ; imaginaire ; premier ; long ; dernier
espace.n 208 :: innombrable ; euro ; ancien ; énorme ; information ; entreprise ; article ; établissement ; exploitation ; ensemble
espace.n 229 :: propre ; talent ; service ; investissement ; petit ; événement ; site ; produit ; développement ; atout
espace.n 243 :: coin ; article ; ensemble ; lien ; temps ; compte ; entier ; accès ; ligne ; trou
essuyer.v 11 :: laver ; essuyer ; avoir ; rincer ; faire ; enlever ; essuie ; nettoyer ; retirer ; plonger
essuyer.v 58 :: subir ; essuie ; constater ; rencontrer ; connaître ; avoir ; recevoir ; traverser ; souffrir ; encaisser
essuyer.v 77 :: essuie ; recevoir ; lav ; porte ; embrasser ; avaler ; absorber ; laisse ; récolte ; verse
essuyer.v 81 :: laver ; essuie ; éponge ; faire ; but ; chercher ; rester ; avoir ; être ; passer
essuyer.v 86 :: essuie ; recevoir ; assurer ; passer ; continuer ; tenir ; utiliser ; laisse ; subir ; accorder
essuyer.v 89 :: subir ; recevoir ; rencontrer ; opposer ; essuie ; constater ; soumettre ; frapper ; éprouver ; refuser
essuyer.v 98 :: faire ; prendre ; recevoir ; regretter ; manger ; acheter ; rencontrer ; découvrir ; encaisser ; utiliser
essuyer.v 166 :: nettoyer ; laver ; rincer ; main ; sécher ; feuille ; égoutter ; rafraîchir ; appliquer ; lèvre
essuyer.v 215 :: recevoir ; subir ; recueillir ; accumuler ; récolter ; valoir ; connaître ; frapper ; souffrir ; refuser
essuyer.v 266 :: enlever ; retirer ; éviter ; nettoyer ; balayer ; laisser ; verser ; apporter ; couvrir ; observer
faucher.v 12 :: presque ; écraser ; bêtement ; beauté ; dernier ; déjà ; hacher ; face ; briser ; gade
faucher.v 42 :: découverte ; peut-être ; mieux ; acquérir ; également ; devenir ; travailler ; atteindre ; couvrir ; récolter
faucher.v 116 :: pousser ; finement ; semer ; couper ; choisir ; magnifiquement ; filer ; biologique ; pré ; admirablement
faucher.v 160 :: lancer ; trouver ; plante ; julien ; guillaume ; marque ; frappe ; hache ; éliminer ; main
faucher.v 214 :: presque ; faire ; frapper ; assassiner ; dépasser ; travailler ; pratiquement ; récemment ; abattre ; descendre
faucher.v 239 :: acheter ; volée ; presque ; servir ; déjà ; arroser ; tuer ; partager ; planter ; jeter
faucher.v 248 :: taire ; abattre ; blesse ; laisse ; meurtre ; grièvement ; charge ; tombe ; homicide ; hache
faucher.v 276 :: semer ; abattre ; couper ; arracher ; reconnaître ; piquer ; tailler ; entretenir ; récolter ; cueillir
faucher.v 282 :: remplacer ; tromp ; centre ; cale ; trouver ; éliminer ; lancer ; écarter ; provoquer ; finalement
faucher.v 290 :: bêtement ; presque ; involontairement ; grièvement ; littéralement ; servir ; gravement ; inutilement ; volontairement ; magnifiquement
fonder.v 6 :: créer ; fondre ; diriger ; organiser ; former ; développer ; opéra ; lancer ; faire ; conduire
fonder.v 7 :: force ; conditionne ; porte ; constituer ; sous-tendre ; valide ; base ; motiver ; justifier ; traverser
fonder.v 54 :: force ; assurer ; tire ; base ; renforcer ; construire ; appuyer ; affirmer ; trouver ; constituer
fonder.v 66 :: ferme ; diriger ; forge ; monte ; créer ; développer ; réunir ; forme ; instaurer ; fabrique
fonder.v 88 :: forme ; intégrer ; créer ; anime ; développer ; diriger ; finance ; rejoindre ; ouvrir ; formule
fonder.v 93 :: traverser ; forme ; force ; base ; appuyer ; construire ; nourrir ; définir ; assurer ; forge
fonder.v 158 :: base ; repose ; appuyer ; baser ; bâtir ; construire ; focaliser ; situer ; fonctionner ; fond
fonder.v 212 :: faire ; établir ; devoir ; former ; ici ; fondation ; voir ; vouloir ; fondre ; établissement
fonder.v 264 :: valide ; motiver ; base ; constituer ; définir ; force ; appuyer ; solide ; traverser ; sous-tendre
fonder.v 286 :: fond ; fabrique ; ferme ; développer ; forme ; créer ; forge ; compte ; ouvrir ; réunir
grossier.a 24 :: grave ; courant ; ridicule ; grotesque ; stupide ; flagrant ; complet ; valable ; radical ; évident
grossier.a 37 :: vulgaire ; avancer ; utiliser ; complet ; répandre ; élégant ; subtil ; habile ; faible ; vicieux
grossier.a 85 :: vulgaire ; vicieux ; scolaire ; arrogant ; compétitif ; agressif ; prétentieux ; sérieux ; méchant ; poli
grossier.a 108 :: fin ; étranger ; produit ; sec ; gros ; gras ; dur ; approprié ; premier ; constitutif
grossier.a 134 :: léger ; subtil ; grave ; simpliste ; gros ; petit ; facile ; tenace ; bon ; lourd
grossier.a 179 :: publicité ; propagande ; pièce ; vidéo ; parodie ; analyse ; copie ; visite ; campagne ; tentative
grossier.a 227 :: poli ; agressif ; vulgaire ; hypocrite ; prétentieux ; arrogant ; confus ; maladroit ; ridicule ; gêner
grossier.a 228 :: faux ; mensonge ; sens ; témoignage ; vrai ; vérité ; argument ; avis ; fait ; piège
grossier.a 231 :: superficiel ; vulgaire ; noble ; quotidien ; matériel ; coupable ; profond ; simple ; aisé ; profane
grossier.a 300 :: stupide ; coupable ; bas ; profane ; primitif ; répéter ; indigne ; noir ; agressif ; misérable
hermétique.a 203 :: obscur ; inquiétant ; opaque ; problématique ; ultime ; abstrait ; compréhensible ; explicite ; étrange ; incompréhensible
hermétique.a 71 :: étanche ; mystérieux ; opaque ; timide ; perméable ; septique ; mécanique ; poreux ; effrayant ; chimique
hermétique.a 99 :: sceller ; plastique ; fermer ; alimentaire ; transparent ; chinois ; conserve ; entier ; individuel ; étanche
hermétique.a 126 :: étanche ; insensible ; imperméable ; réfractaire ; sourd ; dépendre ; perméable ; opposer ; sensible ; fermer
hermétique.a 127 :: presque ; étanche ; mécanique ; rigide ; complètement ; cinématographique ; opaque ; magique ; immuable ; politique
hermétique.a 220 :: étancher ; presque ; quasi ; poli ; purement ; parfaitement ; définir ; clos ; quasiment ; homogène
hermétique.a 226 :: sensible ; insensible ; imperméable ; allergique ; réfractaire ; attentif ; perméable ; habituer ; fermer ; hostile
hermétique.a 261 :: opaque ; convenir ; étanche ; inutile ; audible ; ajouter ; involontaire ; aérien ; émotionnel ; incompréhensible
hermétique.a 278 :: secret ; alimentaire ; entièrement ; interne ; plastique ; blanc ; soigneusement ; fermé ; complètement ; parfaitement
hermétique.a 204 :: secret ; pierre ; petit ; seul ; presque ; fois ; âme ; mystère ; mal ; in
incorrect.a 45 :: actif ; politiquement ; nommer ; parfaitement ; complètement ; adapter ; approprier ; vraiment ; opérationnel ; nécessaire
incorrect.a 125 :: naître ; der ; nommer ; ante ; devoir ; également ; appeler ; ré ; ent ; complètement
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; second ; cours ; jour ; miss ; cas
incorrect.a 156 :: politique ; honnête ; judiciaire ; juridique ; professionnel ; in ; criminel ; humaine ; normal ; vraiment
incorrect.a 159 :: utilisation ; application ; expérience ; connaissance ; pratique ; qualité ; conduite ; conformité ; information ; comportement
incorrect.a 177 :: erroné ; correct ; précis ; supérieur ; déterminer ; définir ; entier ; total ; exact ; contraire
incorrect.a 217 :: ici ; politiquement ; volontairement ; personnel ; sensible ; approprié ; intéressant ; public ; arbitrairement ; au-delà
incorrect.a 241 :: complètement ; totalement ; rée ; parfaitement ; également ; vraiment ; apparemment ; politiquement ; heureusement ; socialement
incorrect.a 298 :: approximatif ; correct ; vrai ; impressionnant ; ridicule ; important ; évident ; déçu ; exact ; dangereux
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; donnée ; saisir ; opérationnel ; erroné ; transmettre ; financier ; électronique
intérêt.n 63 :: avis ; opinion ; argument ; idée ; sentiment ; point ; camp ; principe ; élément ; objectif
intérêt.n 97 :: article ; nouveau ; évolution ; évaluation ; propriété ; opinion ; utilisation ; étroit ; appareil ; information
intérêt.n 129 :: air ; aide ; art ; étroit ; nouveau ; image ; énorme ; heureux ; ancien ; aspect
intérêt.n 146 :: aide ; or ; art ; image ; air ; international ; ensemble ; eau ; évolution ; origine
intérêt.n 155 :: article ; utilisateur ; entreprise ; espace ; international ; information ; évolution ; école ; équipe ; enseignement
intérêt.n 218 :: avantage ; attrer ; utilité ; inconvénient ; intéressant ; atout ; enseignement ; bénéfice ; importance ; côté
intérêt.n 263 :: air ; nouveau ; min ; principal ; cor ; meilleur ; art ; voir ; excellent ; international
intérêt.n 268 :: éternel ; image ; étrange ; art ; international ; excellent ; habituel ; ancestral ; insatiable ; aide
intérêt.n 271 :: aide ; or ; origine ; ensemble ; image ; être ; art ; environnement ; évolution ; accueil
intérêt.n 297 :: guide ; aide ; propre ; art ; clip ; petit ; air ; animal ; or ; nouveau
interpréter.v 18 :: chanter ; jouer ; arranger ; interprétation ; enregistrer ; reprendre ; offrir ; raconter ; inspirer ; présenter
interpréter.v 21 :: adapter ; arranger ; écrire ; interprétation ; chanter ; enregistrer ; exécuter ; écouter ; illustrer ; jouer
interpréter.v 59 :: expliquer ; comprendre ; analyser ; décrypter ; inverser ; lire ; faire ; définir ; appréhender ; décoder
interpréter.v 80 :: aide ; art ; or ; automne ; image ; apparemment ; aller ; anglais ; évolution ; heureux
interpréter.v 123 :: eau ; évolution ; art ; aide ; international ; or ; expérience ; image ; actuel ; étymologie
interpréter.v 128 :: joue ; incarner ; camper ; ici ; interprétation ; assurer ; offrir ; imaginer ; rôle ; in
interpréter.v 157 :: écrire ; analyse ; traduire ; traite ; accueillir ; interprétation ; écoute ; échange ; recevoir ; influence
interpréter.v 260 :: évaluer ; comprendre ; décoder ; interprétation ; analyser ; exploiter ; expliquer ; apprécier ; prendre ; faire
interpréter.v 267 :: entendre ; percevoir ; comprendre ; vivre ; vue ; chanter ; recevoir ; attribuer ; interprétation ; présenter
interpréter.v 289 :: chanter ; jouer ; incarner ; imaginer ; animé ; interprétation ; chant ; façonner ; habiter ; porter
maintenir.v 94 :: soutenir ; déclarer ; ajouter ; affirmer ; préciser ; assurer ; souligner ; indiquer ; répéter ; rappeler
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; apposer ; mentionner ; signaler ; confirmer ; figurer ; ajouter
maintenir.v 154 :: garder ; conserver ; demeurer ; renforcer ; tenir ; confirmer ; exercer ; poursuivre ; assurer ; observer
maintenir.v 175 :: préserver ; garder ; demeurer ; maintien ; retenir ; conforter ; conserver ; persuader ; perpétuer ; divertir
maintenir.v 183 :: préserver ; conserver ; garder ; assurer ; favoriser ; instaurer ; garantir ; demeurer ; perdurer ; entretenir
maintenir.v 207 :: conserver ; demeurer ; préserver ; soutenir ; retenir ; garder ; rester ; pérenniser ; maintien ; divertir
maintenir.v 230 :: dernier ; être ; pouvoir ; devoir ; tenir ; reston ; premier ; présent ; falloir ; faire
maintenir.v 234 :: considérer ; souhaiter ; vouloir ; estime ; proposer ; soutenir ; rappeler ; affirmer ; prévoir ; reconnaître
maintenir.v 251 :: tenir ; réitérer ; conserve ; confirmer ; répéter ; réaffirmer ; continuer ; renouveler ; poursuivre ; entretenir
maintenir.v 281 :: dire ; tenir ; ajouter ; affirmer ; compte ; gage ; croire ; estime ; bref ; place
mince.a 17 :: épais ; étroit ; fort ; vulnérable ; intime ; large ; fin ; faible ; haut ; fragile
mince.a 96 :: devenir ; léger ; fin ; livre ; déjà ; plume ; légèrement ; être ; design ; tendre
mince.a 147 :: maigre ; faible ; léger ; égal ; sommaire ; médiocre ; original ; moyen ; simple ; complet
mince.a 170 :: livre ; châssis ; client ; feuille ; type ; modèle ; besoin ; vêtement ; version ; énorme
mince.a 192 :: petit ; fin ; simple ; menu ; minuscule ; gros ; micro ; épais ; dur ; large
mince.a 202 :: épais ; petit ; léger ; fin ; neige ; épaisseur ; maigre ; couverture ; haut ; moyen
mince.a 213 :: petit ; fin ; léger ; légèrement ; vêtement ; détail ; grain ; maillon ; particule ; extrêmement
mince.a 225 :: petit ; joli ; grand ; maigre ; faux ; filet ; léger ; veau ; cache ; pourtant
mince.a 242 :: fin ; étroit ; fort ; grand ; important ; énorme ; supérieur ; faible ; flou ; préciser
mince.a 292 :: fin ; épais ; supérieur ; régulier ; cristalline ; continuer ; interne ; léger ; conducteur ; physique
modeste.a 29 :: petit ; minuscule ; humble ; misérable ; simple ; commun ; minable ; grand ; banal ; pauvre
modeste.a 114 :: bon ; honnête ; généreux ; humble ; poli ; pauvre ; digne ; doué ; aimable ; vivant
modeste.a 121 :: faible ; important ; élevé ; timide ; sensible ; mesurer ; limité ; médiocre ; significatif ; considérable
modeste.a 163 :: minime ; faible ; limité ; récent ; confidentielle ; léger ; propre ; personnel ; petit ; localiser
modeste.a 195 :: faible ; important ; élevé ; réduire ; médiocre ; fort ; petit ; limité ; minime ; considérable
modeste.a 197 :: pauvre ; important ; public ; indépendant ; français ; domestique ; fragile ; quotidien ; hospitalier ; aisé
modeste.a 200 :: limité ; faible ; salarial ; fort ; réduire ; restreindre ; prudent ; léger ; européen ; populaire
modeste.a 246 :: élevé ; politique ; économique ; petit ; léger ; confortable ; raisonnable ; important ; artisanal ; misérable
modeste.a 269 :: humble ; petit ; digne ; jeune ; misérable ; minuscule ; minable ; frêle ; maigre ; médiocre
modeste.a 283 :: discret ; humble ; pauvre ; populaire ; digne ; honnête ; secret ; généreux ; petit ; sympathique
montée.n 15 :: droite ; courbe ; faveur ; direction ; descente ; côte ; vie ; chaîne ; vallée ; progression
montée.n 56 :: poussée ; partie ; augmentation ; hausse ; descente ; progression ; montagne ; séparation ; question ; hauteur
montée.n 75 :: descente ; monte ; terrasse ; passerelle ; ascension ; suite ; finale ; arrivée ; face ; minute
montée.n 138 :: évolution ; performance ; hausse ; croissance ; transformation ; progression ; monte ; complexité ; poussée ; construction
