affection.n 8 :: affectation ; résolution ; épreuve ; reconnaissance ; considération ; maladie ; disgrâce ; disposition ; influence ; attaque
arrêter.v 50 :: enlever ; voir ; abandonner ; interrompre ; faire ; éteindre ; prendre ; appeler ; quitter ; annuler
arrêter.v 181 :: définir ; élaborer ; établir ; adopter ; préparer ; contenir ; pose ; annexe ; déterminer ; approuver
arrêter.v 219 :: fabriquer ; bloquer ; atteindre ; tuer ; attraper ; acheter ; stopper ; transporter ; faire ; construire
arrêter.v 273 :: enlever ; emprisonner ; capturer ; condamner ; exécuter ; prendre ; adopter ; assassiner ; interdire ; embarquer
arrêter.v 277 :: or ; us ; os ; in ; avoir ; parer ; an ; article ; ion ; auparavant
arrêter.v 291 :: publier ; émettre ; signer ; proposer ; acquérir ; délivrer ; accorder ; décider ; établir ; nommer
capacité.n 26 :: faculté ; disponibilité ; puissance ; flexibilité ; souplesse ; possibilité ; rapidité ; adaptabilité ; vulnérabilité ; augmentation
capacité.n 32 :: chaîne ; puissance ; technologie ; tête ; commune ; société ; différence ; activité ; base ; force
capacité.n 35 :: clinique ; maîtrise ; formation ; licence ; spécialisation ; fonction ; demande ; faculté ; activité ; profession
capacité.n 70 :: puissance ; rentabilité ; disponibilité ; fréquentation ; utilisation ; surface ; consommation ; production ; disposition ; occupation
capacité.n 73 :: faculté ; compétence ; souplesse ; force ; dimension ; résilience ; aptitude ; détermination ; possibilité ; liberté
capacité.n 101 :: faculté ; propre ; liberté ; qualité ; puissance ; compétence ; pouvoir ; fonction ; marge ; connaissance
capacité.n 103 :: infrastructure ; propre ; installation ; ressource ; unité ; batterie ; moyen ; usine ; stock ; futur
capacité.n 110 :: réserve ; quantité ; possibilité ; participation ; réduction ; batterie ; augmentation ; contribution ; puissance ; utilisation
capacité.n 135 :: faculté ; marge ; liberté ; possibilité ; force ; puissance ; droit ; sphère ; volonté ; pouvoir
capacité.n 148 :: faculté ; aptitude ; maîtrise ; compétence ; pratique ; qualité ; connaissance ; maturité ; profession ; spécialisation
commander.v 5 :: publier ; signer ; écrire ; réaliser ; final ; public ; donner ; inachever ; gratuit ; éditer
commander.v 9 :: commander ; commencer ; demain ; hier ; passer ; ligne ; lire ; commande ; rapidement ; apprendre
commander.v 16 :: commandant ; ensuite ; également ; finalement ; successivement ; diriger ; charge ; chef ; recevoir ; direction
commander.v 41 :: choisir ; effectuer ; faire ; commencer ; décider ; créer ; réaliser ; suivre ; définir ; voir
commander.v 48 :: contrôlent ; diriger ; gérer ; régir ; créer ; déterminer ; financer ; mener ; dominer ; tirer
commander.v 117 :: commande ; dicter ; demander ; vouloir ; prescrire ; réclamer ; permettre ; devoir ; demande ; normalement
commander.v 164 :: ordonner ; dicter ; prescrire ; imposer ; enseigne ; conseiller ; enjoindre ; demande ; obéir ; commandant
commander.v 171 :: commande ; acheter ; acquérir ; faire ; déjà ; valider ; imprimer ; commandant ; réserver ; livrer
commander.v 206 :: servir ; limite ; protéger ; défense ; donne ; passer ; tandis ; permettre ; venir ; donner
commander.v 240 :: commande ; grâce ; prendre ; commanda ; demander ; soumettre ; donner ; faire ; régler ; voler
compris.a 52 :: accepter ; assimiler ; contenue ; compréhensible ; partager ; retenir ; reconnaître ; maîtriser ; lire ; préparer
compris.a 90 :: apprendre ; croire ; penser ; réaliser ; ajouter ; trouver ; convaincre ; entendre ; sentir ; reconnaître
compris.a 106 :: entendre ; croire ; deviner ; penser ; remarquer ; vouloir ; vivre ; sentir ; comprendre ; expliquer
compris.a 185 :: inclure ; contenir ; inscrire ; incorporer ; mentionner ; situer ; présent ; inclus ; conserver ; entendre
compris.a 186 :: rester ; entrer ; déjà ; inclure ; situer ; demeurer ; tomber ; perdre ; conserver ; oublier
compris.a 187 :: inclure ; compter ; définir ; situer ; répartir ; estimer ; prendre ; choisir ; contenu ; varier
compris.a 211 :: inclus ; situer ; intermédiaire ; répartir ; contenir ; partager ; présent ; cohérent ; inclure ; mesurer
compris.a 232 :: inclure ; également ; prendre ; intégré ; généralement ; contenu ; compter ; prix ; partout ; cal
compris.a 272 :: saisir ; savoir ; réaliser ; apprendre ; penser ; reconnaître ; intégré ; croire ; sentir ; percevoir
compris.a 287 :: intégré ; assimiler ; saisir ; adopter ; comprendre ; apprendre ; apprécier ; reconnaître ; capter ; repérer
couverture.n 65 :: édition ; dernier ; complet ; page ; santé ; brochure ; actualité ; sommaire ; cahier ; couvrir
couverture.n 67 :: vie ; protection ; guerre ; sécurité ; défense ; peau ; stratégie ; mort ; enquête ; information
couverture.n 72 :: sol ; dossier ; produit ; housse ; fond ; revêtement ; reliure ; ligne ; traire ; peau
couverture.n 143 :: photo ; couvrir ; page ; rouge ; officiel ; plein ; politique ; zone ; annoncer ; médiatique
couverture.n 149 :: protection ; régime ; sécurité ; couvert ; gestion ; surveillance ; vie ; responsabilité ; connaissance ; clientèle
couverture.n 150 :: toiture ; toit ; charpente ; couvrir ; lune ; pierre ; tuile ; être ; correction ; hauteur
couverture.n 201 :: surveillance ; desserte ; conquête ; protection ; sécurité ; pénétration ; couvrir ; transformation ; gestion ; définition
couverture.n 257 :: surface ; transformation ; remplacement ; destination ; protection ; base ; soutien ; lux ; stratégie ; déclaration
couverture.n 265 :: couvrir ; bâche ; véranda ; voil ; veste ; housse ; protection ; parapluie ; couvert ; corde
couverture.n 280 :: protection ; peau ; lune ; voil ; chaleur ; carapace ; poitrine ; véranda ; lumière ; neige
débit.n 64 :: transfert ; traitement ; règlement ; rapprochement ; création ; tenue ; nombre ; gestion ; contrôle ; présentation
débit.n 87 :: écoulement ; flux ; poids ; vitesse ; volume ; jet ; extérieur ; cours ; réel ; nombre
débit.n 115 :: niveau ; cours ; flot ; canal ; poids ; jet ; tirage ; flux ; qualité ; rythme
débit.n 131 :: dépôt ; flux ; lit ; lac ; niveau ; chambre ; réservoir ; eau ; vin ; bassin
débit.n 136 :: flux ; potentiel ; courant ; prix ; dépôt ; journalier ; front ; émission ; apport ; jeu
débit.n 168 :: montant ; prélèvement ; automatique ; virement ; bancaire ; versement ; achat ; crédit ; paiement ; retrait
débit.n 169 :: cours ; niveau ; développement ; taux ; rythme ; flux ; rendement ; courant ; moyen ; droit
débit.n 184 :: potentiel ; rythme ; taux ; stockage ; maximum ; cap ; record ; fichier ; support ; développement
débit.n 188 :: précipitation ; concentration ; rejet ; inondation ; capture ; crue ; niveau ; prélèvement ; apport ; arriver
débit.n 205 :: rythme ; tempo ; flux ; lent ; vol ; parler ; écoulement ; extrêmement ; mouvement ; généralement
direction.n 78 :: conduite ; responsabilité ; coordination ; directrice ; présidence ; houlette ; gérance ; maîtrise ; diriger ; gestion
direction.n 111 :: directeur ; gestion ; responsabilité ; présidence ; directrice ; représentation ; conduite ; coordination ; supérieur ; organisation
direction.n 151 :: directrice ; présidence ; directeur ; fédération ; rédaction ; équipe ; gestion ; recteur ; coordination ; délégation
direction.n 152 :: ligne ; orientation ; courbe ; tendance ; droite ; bon ; descente ; oblique ; constant ; pente
direction.n 172 :: dernier ; bon ; droite ; nouveau ; presque ; destination ; nord ; saint ; demain ; petit
direction.n 176 :: orientation ; conduite ; rapport ; sens ; droite ; tendance ; virage ; vitesse ; comportement ; tête
direction.n 199 :: management ; directeur ; responsable ; nouveau ; dg ; marketing ; équipe ; directrice ; bon ; supérieur
direction.n 223 :: conduite ; diriger ; directrice ; route ; gouverne ; voie ; main ; constant ; forme ; responsabilité
direction.n 262 :: directeur ; responsabilité ; directrice ; présidence ; nouveau ; contrôle ; bon ; stratégie ; diriger ; gestion
direction.n 279 :: destination ; région ; provenance ; province ; continuer ; sens ; janvier ; nord ; gagner ; tance
don.n 19 :: sens ; talent ; génie ; style ; doué ; pouvoir ; point ; droit ; temps ; fonds
don.n 30 :: talent ; oeil ; pouvoir ; trait ; signe ; geste ; sens ; atout ; lien ; fonds
don.n 36 :: cadeau ; bon ; talent ; droit ; ministère ; amour ; sens ; vrai ; livre ; choix
don.n 60 :: cadeau ; travail ; produit ; service ; livre ; signe ; prêt ; commerce ; passage ; sacrifice
don.n 84 :: fonds ; cadeau ; apport ; contribution ; produit ; legs ; enfant ; investissement ; transfert ; crédit
don.n 107 :: cadeau ; faire ; part ; usage ; présent ; confiance ; offrir ; der ; legs ; art
don.n 130 :: fonds ; contribution ; cadeau ; secours ; enfant ; legs ; bénéficiaire ; trésor ; soutien ; grâce
don.n 196 :: pouvoir ; talent ; génie ; temps ; complexe ; chic ; rôle ; droit ; truc ; traitement
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; contribution ; apport ; bénévolat ; financement ; legs
don.n 245 :: rôle ; travail ; témoignage ; acte ; cas ; exemple ; talent ; apport ; nom ; projet
entraîner.v 39 :: air ; interne ; image ; art ; aide ; albanais ; heureux ; étroit ; immigré ; afghan
entraîner.v 47 :: obliger ; aider ; amener ; encourager ; engager ; aide ; pousse ; inciter ; conduire ; force
entraîner.v 55 :: clip ; aide ; international ; art ; éternel ; irréversible ; or ; interne ; externe ; iranien
entraîner.v 57 :: air ; eau ; or ; enseigner ; ensemble ; être ; art ; aide ; énergie ; apparemment
entraîner.v 133 :: art ; aide ; origine ; air ; ensemble ; efficace ; image ; animal ; évolution ; expédition
entraîner.v 140 :: envoyer ; amener ; mener ; conduire ; pousser ; emporter ; engager ; attirer ; emmener ; aller
entraîner.v 144 :: avoir ; invite ; obliger ; commencer ; inviter ; force ; être ; engager ; invité ; inciter
entraîner.v 161 :: provoquer ; conduire ; engendrer ; amener ; apparaître ; produire ; créer ; éviter ; engager ; induire
entraîner.v 162 :: amener ; engendrer ; provoquer ; impliquer ; assurer ; déclenche ; induire ; actif ; encourager ; influence
entraîner.v 191 :: emporter ; conduire ; amener ; précipiter ; traîner ; emmener ; attirer ; jeter ; abandonner ; engager
éplucher.v 10 :: peler ; tailler ; amande ; fleur ; fruit ; agrume ; graine ; carotte ; coeur ; citron
éplucher.v 51 :: éplucher ; soigneusement ; analyser ; minutieusement ; examiner ; regarder ; lire ; récolter ; relever ; scrupuleusement
éplucher.v 69 :: vérifier ; examiner ; revoir ; faire ; contrôler ; traiter ; recevoir ; gérer ; étudier ; relever
éplucher.v 100 :: éplucher ; laver ; hacher ; finement ; couper ; oignon ; récolter ; rôti ; trancher ; peler
éplucher.v 119 :: éplucher ; régulièrement ; mal ; abondamment ; déjà ; fouillé ; devoir ; évidemment ; soigneusement ; largement
éplucher.v 167 :: couper ; laver ; poireau ; prendre ; découper ; enlever ; découvrir ; feuille ; vérifier ; voir
éplucher.v 174 :: consulter ; fouiller ; analyser ; lire ; afficher ; voir ; regarder ; remonter ; supprimer ; retrouver
éplucher.v 235 :: peler ; faire ; récolter ; préparer ; découper ; trier ; ramasser ; nettoyer ; laver ; façonner
éplucher.v 236 :: éplucher ; récolter ; devoir ; avoir ; déjà ; finement ; mettre ; peser ; aller ; soigneusement
éplucher.v 258 :: noisette ; zou ; vole ; prune ; marina ; amande ; imparable ; lift ; glisse ; noix
espace.n 13 :: or ; accueil ; origine ; ensemble ; art ; hébergement ; euro ; international ; environnement ; os
espace.n 27 :: air ; eau ; actuel ; or ; étrange ; antique ; art ; intérieur ; international ; étranger
espace.n 79 :: coin ; environnement ; ensemble ; module ; outil ; lieu ; service ; pôle ; zone ; centre
espace.n 120 :: air ; excellent ; article ; étroit ; heureux ; petit ; aide ; propre ; énergie ; grand
espace.n 137 :: environnement ; information ; développement ; enseignement ; entreprise ; organisation ; marché ; investissement ; emplacement ; équipement
espace.n 142 :: air ; international ; interne ; externe ; art ; étymologie ; mol ; étroit ; ion ; or
espace.n 180 :: lien ; échange ; arrangement ; partage ; place ; équilibre ; interaction ; zone ; relation ; emplacement
espace.n 208 :: ancien ; innombrable ; énorme ; article ; euro ; information ; année ; important ; heure ; excellent
espace.n 229 :: petit ; événement ; aménagement ; propre ; investissement ; service ; développement ; environnement ; projet ; produit
espace.n 243 :: vide ; intervalle ; temps ; coin ; jeu ; article ; place ; lien ; ligne ; écran
essuyer.v 11 :: essuyer ; laver ; rincer ; désinfection ; faire ; couvrir ; remplir ; essuie ; retirer ; frotter
essuyer.v 58 :: subir ; essuie ; recevoir ; encaisser ; presque ; déjà ; accumuler ; souffrir ; successivement ; traverser
essuyer.v 77 :: essuie ; an ; eau ; ours ; os ; sec ; cas ; film ; âme ; jet
essuyer.v 81 :: essuie ; laver ; but ; devoir ; pouvoir ; faire ; ra ; être ; éponge ; encre
essuyer.v 86 :: recevoir ; donne ; presque ; continuer ; essuie ; obtenir ; tenir ; passer ; entendre ; laisse
essuyer.v 89 :: essuie ; refus ; repousser ; opposer ; refuser ; fermement ; recevoir ; subir ; face ; revers
essuyer.v 98 :: faire ; porter ; acheter ; voir ; manger ; conduire ; utiliser ; encaisser ; porte ; perdre
essuyer.v 166 :: pépin ; sécher ; noyau ; éplucher ; peau ; laver ; légume ; graine ; peler ; main
essuyer.v 215 :: subir ; recevoir ; récolter ; affronter ; obtenir ; recueillir ; connaître ; rencontrer ; souffrir ; lire
essuyer.v 266 :: retirer ; éviter ; enlever ; soigneusement ; essuie ; assurer ; laisser ; nettoyer ; amen ; observer
faucher.v 12 :: jeter ; planter ; tracée ; presque ; abattre ; écraser ; briser ; organique ; poussée ; magnifiquement
faucher.v 42 :: mieux ; également ; déjà ; accessible ; devenir ; découverte ; renforcer ; davantage ; disponible ; apparaître
faucher.v 116 :: abattre ; semer ; couper ; voler ; donner ; détruire ; hacher ; planter ; dépouiller ; dévaster
faucher.v 160 :: chia ; semer ; narcisse ; paradi ; convier ; côtoyer ; milieu ; falloir ; plante ; cale
faucher.v 214 :: faire ; mieux ; presque ; travailler ; voir ; acheter ; mal ; prendre ; mauvais ; donner
faucher.v 239 :: acheter ; jeter ; entamer ; servir ; presque ; cassé ; coûter ; jamais ; renverser ; trouver
faucher.v 248 :: marque ; tombe ; brise ; laisse ; hache ; pose ; lancer ; jeter ; clinique ; casque
faucher.v 276 :: abattre ; couper ; pousser ; planter ; affiner ; semer ; tailler ; travailler ; cultiver ; faire
faucher.v 282 :: remplacer ; marque ; cadre ; centre ; paie ; cherche ; balance ; préférer ; relever ; piqu
faucher.v 290 :: terre ; tuer ; face ; mort ; briser ; suprême ; presque ; passer ; être ; fois
fonder.v 6 :: créer ; fondre ; établir ; organiser ; installer ; bâtir ; ouvrir ; être ; diriger ; tenir
fonder.v 7 :: appuyer ; porte ; conditionne ; construire ; base ; force ; constituer ; définir ; cadre ; expliquer
fonder.v 54 :: base ; appuyer ; construire ; force ; assurer ; bâtir ; trouver ; marque ; gagner ; cadre
fonder.v 66 :: ferme ; diriger ; forge ; instaurer ; installer ; finance ; forme ; développer ; bâtir ; fixe
fonder.v 88 :: installer ; anime ; rejoindre ; créer ; forme ; intégrer ; joindre ; ouvrir ; formule ; organiser
fonder.v 93 :: traverser ; forme ; forge ; constituer ; force ; conditionne ; motiver ; définir ; influence ; assurer
fonder.v 158 :: base ; bâtir ; focaliser ; repose ; fond ; ferme ; forge ; fonctionner ; fixe ; appuyer
fonder.v 212 :: créer ; former ; contracter ; faire ; porter ; développer ; fabriquer ; construire ; fondre ; composer
fonder.v 264 :: définir ; motiver ; bâtir ; vraiment ; forme ; force ; valide ; base ; traverser ; limite
fonder.v 286 :: créer ; réunir ; forme ; forge ; développer ; monte ; rassembler ; compte ; bâtir ; construire
grossier.a 24 :: flagrant ; évident ; grave ; stupide ; clair ; radical ; formel ; grotesque ; monumental ; complet
grossier.a 37 :: avancer ; complet ; efficace ; répandre ; perfectionner ; sophistiquer ; vicieux ; fréquent ; développer ; complexe
grossier.a 85 :: agressif ; violent ; arrogant ; brutal ; poli ; rude ; vulgaire ; verbal ; franc ; autoritaire
grossier.a 108 :: déchet ; produit ; rejet ; support ; fonds ; bien ; matériau ; résidu ; objet ; caillou
grossier.a 134 :: léger ; grand ; subtil ; long ; fort ; gros ; petit ; vague ; flagrant ; lourd
grossier.a 179 :: gros ; profond ; subtil ; bon ; petit ; tentative ; sérieux ; grave ; léger ; simple
grossier.a 227 :: vicieux ; gras ; maladroit ; tendre ; agressif ; nain ; menu ; osseux ; ridicule ; présent
grossier.a 228 :: caractère ; mensonge ; gros ; rapport ; baiser ; presque ; faux ; mot ; compagnon ; vieux
grossier.a 231 :: humain ; matériel ; vulgaire ; personnel ; terrestre ; public ; quotidien ; social ; profond ; commune
grossier.a 300 :: faute ; léger ; main ; erreur ; lourd ; tentative ; huile ; chute ; coup ; voire
hermétique.a 203 :: étranger ; opaque ; mystérieux ; univers ; étancher ; extérieur ; manquer ; étrangement ; clore ; mort
hermétique.a 71 :: opaque ; mystérieux ; secret ; énigmatique ; obscur ; effrayant ; étanche ; sceller ; magique ; fermer
hermétique.a 99 :: fermer ; sceller ; plastique ; contenir ; alimentaire ; étanche ; conserve ; chinois ; sécuritaire ; sachet
hermétique.a 126 :: imperméable ; allergique ; étanche ; réfractaire ; insensible ; fermer ; dépendre ; sensible ; opposer ; attacher
hermétique.a 127 :: interne ; obligatoire ; secret ; nécessaire ; initiatique ; esthétique ; étanche ; élitiste ; ultime ; religieux
hermétique.a 220 :: vide ; totalement ; complètement ; clos ; parfaitement ; presque ; rester ; quasi ; entrer ; clore
hermétique.a 226 :: fermer ; réfractaire ; sensible ; insensible ; allergique ; imperméable ; étanche ; sourd ; habituer ; perméable
hermétique.a 261 :: étanche ; opaque ; magique ; serrer ; éloquer ; interdire ; hypocrite ; spectaculaire ; ambigu ; vicieux
hermétique.a 278 :: plastique ; interne ; entièrement ; fermé ; solide ; spécial ; chimique ; étanche ; technique ; close
hermétique.a 204 :: mystère ; clé ; obscur ; précieusement ; ci-dessous ; arcane ; entièrement ; renfermer ; demeurer ; davantage
incorrect.a 45 :: nommer ; approprier ; adéquat ; cohérent ; ante ; devoir ; actif ; opportun ; correct ; vouloir
incorrect.a 125 :: in ; con ; complètement ; vraiment ; mal ; totalement ; devenir ; asseoir ; femme ; visiblement
incorrect.a 132 :: an ; radio ; côté ; mois ; haut ; également ; second ; cours ; juge ; déjà
incorrect.a 156 :: humaine ; vraiment ; professionnel ; devoir ; correct ; honnête ; raisonnable ; complètement ; politique ; presque
incorrect.a 159 :: transposition ; application ; interprétation ; pratique ; utilisation ; applicabilité ; traduction ; exécution ; conformité ; infraction
incorrect.a 177 :: précis ; donner ; correct ; contraire ; déterminer ; erroné ; prédéterminer ; exact ; inverse ; aléatoire
incorrect.a 217 :: ici ; stupide ; inutile ; politiquement ; sujet ; négativement ; volontairement ; pertinent ; ci-dessous ; drôle
incorrect.a 241 :: vraiment ; totalement ; complètement ; presque ; parfaitement ; réellement ; dire ; également ; apparemment ; rester
incorrect.a 298 :: ci-dessous ; total ; article ; participation ; politique ; conclusion ; compte ; sommaire ; déclaration ; bibliographie
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; erroné ; financier ; transmettre ; bancaire ; donnée ; manquante
intérêt.n 63 :: élément ; avis ; appétit ; sentiment ; objectif ; impératif ; adversaire ; axe ; aspiration ; point
intérêt.n 97 :: audiovisuelle ; aimable ; usage ; audiovisuel ; effectif ; incessant ; article ; éventuel ; étroit ; international
intérêt.n 129 :: air ; aide ; étroit ; international ; art ; heureux ; étymologie ; excellent ; apercevoir ; actuel
intérêt.n 146 :: image ; évolution ; or ; eau ; air ; aide ; art ; objectif ; origine ; actuel
intérêt.n 155 :: effectif ; article ; international ; atlantique ; air ; audiovisuel ; audiovisuelle ; internet ; information ; audit
intérêt.n 218 :: avantage ; attrer ; intéressant ; atout ; importance ; inconvénient ; utilité ; enseignement ; côté ; sens
intérêt.n 263 :: propre ; meilleur ; excellent ; nouveau ; véritable ; principal ; air ; voir ; min ; éventuel
intérêt.n 268 :: excellent ; aide ; usage ; or ; indispensable ; obliger ; envoi ; appareil ; international ; étrange
intérêt.n 271 :: être ; étrange ; aide ; excellent ; usage ; origine ; archive ; éventuel ; air ; ancien
intérêt.n 297 :: aide ; or ; art ; international ; clip ; image ; eau ; externe ; heureux ; air
interpréter.v 18 :: chanter ; jouer ; interprétation ; ensuite ; principalement ; ré ; également ; présenter ; extraire ; ici
interpréter.v 21 :: adapter ; chant ; arranger ; jouer ; interprétation ; améliorer ; créer ; chanter ; exécuter ; illustrer
interpréter.v 59 :: expliquer ; inverser ; comprendre ; analyser ; penser ; voir ; anticiper ; faire ; relativiser ; étudier
interpréter.v 80 :: aide ; international ; air ; expérience ; art ; or ; énergie ; image ; arrivée ; étymologie
interpréter.v 123 :: or ; international ; argument ; aide ; usage ; objet ; étroit ; efficace ; expérience ; ambassade
interpréter.v 128 :: joue ; incarner ; ici ; double ; interprétation ; in ; prendre ; camper ; tenir ; imaginer
interpréter.v 157 :: traduire ; analyse ; recevoir ; exprimer ; écrire ; traite ; enregistrer ; accueillir ; joue ; porte
interpréter.v 260 :: interprétation ; comprendre ; faire ; analyser ; expliquer ; évaluer ; entendre ; lire ; commenter ; apprécier
interpréter.v 267 :: jouer ; présenter ; chanter ; écrire ; accompagner ; concevoir ; peindre ; reprise ; comprendre ; prise
interpréter.v 289 :: incarner ; chanter ; jouer ; habiter ; imaginer ; inspirer ; animé ; écrire ; enseigner ; interprétation
maintenir.v 94 :: fermement ; assurer ; soutenir ; également ; tenir ; affirmer ; répéter ; insister ; promettre ; déclarer
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; référencer ; identifier ; signaler ; mentionner ; renseigner ; repérer
maintenir.v 154 :: garder ; garde ; renforcer ; pourtant ; observer ; tenir ; assurer ; soutenir ; conserver ; maintien
maintenir.v 175 :: préserver ; garder ; mettre ; conserver ; plonger ; maintien ; demeurer ; manipuler ; divertir ; retenir
maintenir.v 183 :: garder ; conserver ; entretenir ; préserver ; garantir ; assurer ; favoriser ; rester ; maintien ; mettre
maintenir.v 207 :: demeurer ; préserver ; garder ; maintien ; conserver ; réintégrer ; stabiliser ; retenir ; rester ; soutenir
maintenir.v 230 :: tenir ; devoir ; pouvoir ; être ; reston ; dernier ; double ; compter ; également ; seul
maintenir.v 234 :: souhaiter ; soutenir ; considérer ; estime ; proposer ; vouloir ; demande ; affirmer ; rappeler ; réaffirmer
maintenir.v 251 :: tenir ; vouloir ; garde ; soutenir ; fermement ; enfoncer ; conserve ; droite ; place ; creux
maintenir.v 281 :: dire ; déclarer ; affirmer ; constater ; croire ; compte ; voir ; gage ; ajouter ; estime
mince.a 17 :: fin ; épais ; étroit ; haut ; intime ; faible ; profond ; réduit ; léger ; petit
mince.a 96 :: fin ; épais ; régulier ; léger ; lisse ; uniforme ; continuer ; supérieur ; grossier ; sec
mince.a 147 :: léger ; également ; fin ; presque ; épais ; serrer ; maigre ; fort ; pourtant ; légèrement
mince.a 170 :: faible ; maigre ; fragile ; épais ; magnifique ; fort ; léger ; beal ; pauvre ; petit
mince.a 192 :: léger ; épais ; papier ; feuille ; adhésif ; légèrement ; graphique ; film ; fin ; petit
mince.a 202 :: fin ; petit ; double ; épais ; léger ; second ; nouveau ; dernier ; déposer ; dépose
mince.a 213 :: légèrement ; presque ; extrêmement ; voire ; être ; fin ; déjà ; également ; paraître ; vraiment
mince.a 225 :: taille ; apparence ; pantalon ; modeste ; presque ; homme ; fort ; fond ; écran ; frêle
mince.a 242 :: presque ; doute ; regard ; chose ; affaire ; idée ; soutien ; travail ; résultat ; coup
mince.a 292 :: fin ; supérieur ; épais ; continuer ; interne ; mobile ; conducteur ; médian ; fixe ; externe
modeste.a 29 :: minuscule ; petit ; misérable ; grand ; vaste ; minable ; joli ; second ; humble ; dérisoire
modeste.a 114 :: bon ; humble ; pauvre ; généreux ; jamais ; honnête ; digne ; con ; libre ; reconnaître
modeste.a 121 :: modique ; faible ; minime ; élevé ; marginal ; important ; négligeable ; réduire ; mesurer ; minuscule
modeste.a 163 :: petit ; minime ; dérisoire ; confortable ; personnel ; modique ; limité ; infime ; conséquent ; important
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; diversifier ; élevé ; médiocre ; important ; maigre
modeste.a 197 :: foyer ; famille ; parent ; gagner ; vivre ; milieu ; parisien ; petit ; retraiter ; recevoir
modeste.a 200 :: restreindre ; limité ; réduire ; européen ; populaire ; comprendre ; intermédiaire ; nécessaire ; industriel ; canadien
modeste.a 246 :: faible ; élevé ; intermédiaire ; pauvre ; petit ; humble ; moindre ; modérer ; misérable ; important
modeste.a 269 :: petit ; jeune ; humble ; pauvre ; digne ; bon ; simple ; honnête ; devenir ; maigre
modeste.a 283 :: humble ; digne ; faible ; fragile ; discret ; léger ; honnête ; populaire ; pauvre ; simple
montée.n 15 :: ara ; tantôt ; également ; an ; déjà ; amie ; proche ; face ; lin ; légèrement
montée.n 56 :: progression ; descente ; partie ; pente ; montagne ; hiérarchie ; échelle ; augmentation ; hausse ; croissance
montée.n 75 :: descente ; monte ; balade ; suite ; dernier ; journée ; ascension ; conduite ; randonnée ; face
montée.n 138 :: performance ; croissance ; gestion ; évolution ; hausse ; croissant ; progression ; maintenance ; complexité ; poussée
