affection.n 8 :: maladie ; affectation ; disposition ; occasion ; dernier ; épreuve ; habitude ; ambition ; attaque ; influence
compris.a 187 :: inclure ; compter ; situer ; définir ; prendre ; contenu ; estimer ; répartir ; varier ; évaluer
compris.a 211 :: situer ; maintenir ; moyen ; modérer ; optimal ; mesurer ; ressentir ; constant ; osciller ; varier
compris.a 232 :: inclure ; contenu ; prendre ; intégré ; comprendre ; inclus ; reprendre ; incorporer ; également ; compter
compris.a 272 :: saisir ; percevoir ; comprendre ; penser ; prendre ; capter ; réaliser ; entendre ; apprendre ; croire
compris.a 287 :: intégré ; apprécier ; apprendre ; aimer ; remarquer ; deviner ; saisir ; adopter ; découvrir ; comprendre
couverture.n 65 :: page ; rédaction ; manchette ; sommaire ; dernier ; rubrique ; éditorial ; intégral ; moitié ; totalité
couverture.n 67 :: vie ; peau ; chance ; carrière ; réputation ; survie ; liberté ; gloire ; fortune ; mort
couverture.n 72 :: housse ; toiture ; dessin ; reliure ; couvrir ; pochette ; doublure ; traire ; dossier ; garniture
couverture.n 143 :: manchette ; couvrir ; pochette ; fort ; page ; beauté ; kiosque ; terrasse ; pied ; jaquette
couverture.n 149 :: protection ; régime ; répartition ; sécurité ; garantie ; assurance ; couvert ; perception ; défense ; responsabilité
couverture.n 150 :: toiture ; couvrir ; toit ; charpente ; dalle ; tuile ; pierre ; construction ; protection ; desserte
couverture.n 201 :: surveillance ; gestion ; desserte ; sécurité ; protection ; pénétration ; ouverture ; conquête ; transformation ; connexion
couverture.n 257 :: fond ; protection ; toiture ; surface ; revêtement ; peau ; fonds ; sécurité ; reliure ; papier
couverture.n 265 :: serviette ; couvrir ; couette ; housse ; véranda ; corde ; commode ; douche ; mousse ; tapisserie
couverture.n 280 :: jaquette ; pochette ; reliure ; housse ; peau ; doublure ; bibliothèque ; moitié ; dernier ; cape
débit.n 64 :: compte ; virement ; montant ; règlement ; dépôt ; avancer ; devoir ; crédit ; faciliter ; terme
débit.n 87 :: montant ; paiement ; coût ; solde ; salaire ; prix ; total ; compte ; crédit ; dépôt
débit.n 115 :: niveau ; flux ; cours ; delta ; volume ; écoulement ; rythme ; module ; taux ; prix
débit.n 131 :: courant ; moyen ; intermédiaire ; produit ; niveau ; prélèvement ; eau ; ouvrage ; système ; flux
débit.n 136 :: réel ; principal ; maximum ; futur ; élevé ; moyen ; consommation ; mensuel ; té ; exprimer
débit.n 168 :: légal ; internet ; moyen ; réel ; écart ; cours ; technique ; qualité ; historique ; numérique
débit.n 169 :: montant ; cours ; traitement ; compte ; résultat ; volume ; crédit ; nom ; financement ; solde
débit.n 184 :: taux ; potentiel ; rythme ; rendement ; intérêt ; ratio ; score ; maximum ; vitesse ; chiffre
débit.n 188 :: crue ; niveau ; cours ; flux ; apport ; eau ; courant ; marée ; volume ; rejet
débit.n 205 :: long ; lent ; continu ; flux ; haut ; canal ; extrêmement ; jet ; ultra ; binaire
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; présidence ; discipline ; surveillance ; houlette ; directrice ; maîtrise
direction.n 111 :: supérieur ; directrice ; nouveau ; diriger ; conduite ; suprême ; main ; constant ; actuel ; directeur
direction.n 151 :: nouveau ; bon ; économique ; financier ; droite ; politique ; prendre ; orientation ; mauvais ; orienter
direction.n 152 :: sens ; constant ; vitesse ; orientation ; ligne ; forme ; position ; tendance ; courbe ; loi
direction.n 172 :: rejoindre ; destination ; bonjour ; peut-être ; file ; direct ; traverser ; gagner ; face ; vivement
direction.n 176 :: conduite ; orientation ; rapport ; vitesse ; performance ; position ; sens ; cap ; comportement ; destination
direction.n 199 :: nouveau ; partir ; actuel ; interne ; porte ; droite ; bon ; principal ; directeur ; sain
direction.n 223 :: conduite ; directrice ; responsabilité ; diriger ; comédie ; représentation ; musique ; surveillance ; compagnie ; critique
direction.n 262 :: responsabilité ; directrice ; tête ; conduite ; présidence ; gestion ; défense ; maîtrise ; charge ; directeur
direction.n 279 :: venir ; face ; destination ; province ; vallée ; sortir ; revenir ; route ; côté ; provenance
don.n 19 :: sens ; talent ; souci ; esprit ; oeil ; style ; angle ; temps ; droit ; art
don.n 30 :: talent ; atout ; trait ; oeil ; instinct ; sens ; pouvoir ; moyen ; fonds ; qualité
don.n 36 :: talent ; souher ; sens ; droit ; choix ; lien ; cadeau ; domaine ; jour ; projet
don.n 60 :: cadeau ; geste ; travail ; commerce ; sacrifice ; livre ; signe ; mariage ; produit ; legs
don.n 84 :: contribution ; cadeau ; fonds ; versement ; apport ; produit ; entrepreneur ; achat ; recevoir ; legs
don.n 107 :: objet ; faire ; cadeau ; usage ; art ; part ; présent ; achat ; cas ; preuve
don.n 130 :: cadeau ; fonds ; enfant ; ami ; homme ; bien ; bon ; bénéficiaire ; contribution ; croyant
don.n 196 :: doux ; dom ; cadeau ; saint ; bon ; con ; divin ; partage ; magique ; do
don.n 244 :: cadeau ; versement ; bon ; contribution ; diplôme ; prêt ; soutien ; travail ; mécénat ; profit
don.n 245 :: travail ; témoignage ; talent ; ouvrage ; nom ; acte ; legs ; cas ; site ; rôle
entraîner.v 39 :: art ; or ; interne ; immigré ; air ; image ; aide ; international ; italien ; éternel
entraîner.v 47 :: obliger ; aider ; aide ; encourager ; amener ; engager ; pousse ; inciter ; conduire ; invite
entraîner.v 55 :: air ; international ; aide ; actuel ; clip ; interne ; effectif ; ancien ; art ; externe
entraîner.v 57 :: international ; in ; mai ; li ; force ; avril ; heure ; ensuite ; prof ; pro
entraîner.v 133 :: air ; ancien ; aide ; image ; animal ; art ; interne ; ion ; eau ; ensemble
entraîner.v 140 :: mener ; envoyer ; amener ; conduire ; attirer ; engager ; pousser ; partir ; suivre ; avoir
entraîner.v 144 :: obliger ; conduire ; engager ; force ; encourager ; pousse ; invite ; amener ; commencer ; être
entraîner.v 161 :: provoquer ; engendrer ; apparaître ; conduire ; amener ; créer ; produire ; accentuer ; imprimer ; éviter
entraîner.v 162 :: amener ; provoquer ; encourager ; actif ; assurer ; déclenche ; conduire ; favoriser ; engendrer ; complet
entraîner.v 191 :: emporter ; attirer ; conduire ; amener ; engager ; abandonner ; envoyer ; pousser ; atteindre ; porter
éplucher.v 10 :: peler ; tailler ; finement ; carotte ; fin ; nettoyer ; pomme ; laver ; oignon ; détailler
éplucher.v 51 :: travailler ; écrire ; regarder ; référencer ; accès ; manipuler ; lire ; trouver ; commander ; bossé
éplucher.v 69 :: étudier ; examiner ; lire ; analyser ; vérifier ; relire ; recueillir ; regarder ; balayer ; faire
éplucher.v 100 :: éplucher ; récolter ; arracher ; couper ; mûr ; oignon ; finement ; consommer ; peler ; cuisiner
éplucher.v 119 :: fouillé ; croiser ; trouver ; chercher ; regarder ; lire ; forum ; parcourir ; consulter ; taper
éplucher.v 167 :: vérifier ; attention ; voir ; déjà ; régulièrement ; regarder ; regarde ; observer ; feuille ; garder
éplucher.v 174 :: faire ; autant ; page ; regarder ; ensuite ; davantage ; également ; consulter ; systématiquement ; lire
éplucher.v 235 :: peler ; faire ; couper ; préparer ; acheter ; conseiller ; trancher ; tailler ; analyser ; affiner
éplucher.v 236 :: récolter ; filer ; éplucher ; déjà ; aller ; balancer ; trouver ; suivre ; également ; pourtant
éplucher.v 258 :: peler ; blanchir ; légume ; rincer ; égoutter ; oignon ; laver ; faire ; presser ; consommer
espace.n 13 :: or ; ancien ; international ; établissement ; étroit ; ensemble ; an ; in ; énergie ; grand
espace.n 27 :: or ; aide ; air ; optique ; histoire ; étrange ; art ; appareil ; international ; intérieur
espace.n 79 :: coin ; zone ; pôle ; service ; aire ; poste ; marché ; local ; salle ; environnement
espace.n 120 :: air ; article ; étroit ; apercevoir ; être ; aide ; heureux ; animal ; avoir ; énergie
espace.n 137 :: environnement ; investissement ; emploi ; instrument ; marché ; information ; entreprise ; avantage ; domaine ; enseignement
espace.n 142 :: air ; international ; afghan ; éternel ; étymologie ; image ; aide ; art ; actuel ; indien
espace.n 180 :: vide ; présent ; grand ; droit ; ligne ; enfant ; intervalle ; zone ; imaginaire ; creux
espace.n 208 :: instrument ; ancien ; euro ; excellent ; ion ; air ; innombrable ; étroit ; or ; an
espace.n 229 :: petit ; événement ; environnement ; produit ; développement ; service ; projet ; investissement ; aménagement ; propre
espace.n 243 :: article ; coin ; ensemble ; entier ; jour ; temps ; cadeau ; ligne ; enfant ; outil
essuyer.v 11 :: essuyer ; laver ; faire ; soigneusement ; avoir ; assurer ; abondamment ; protéger ; préparer ; ensuite
essuyer.v 58 :: constater ; rencontrer ; subir ; avoir ; noter ; déplorer ; observer ; remarquer ; repérer ; signaler
essuyer.v 77 :: essuie ; laver ; éponge ; encre ; faire ; larme ; lav ; tremper ; rentrer ; nettoie
essuyer.v 81 :: laver ; encre ; essuie ; éponge ; but ; tremper ; enduire ; passer ; limite ; faire
essuyer.v 86 :: assurer ; continuer ; régler ; devoir ; laisse ; assumer ; recevoir ; assister ; passer ; faire
essuyer.v 89 :: recevoir ; durement ; mouiller ; pluie ; subir ; presque ; essuie ; déjà ; battre ; lourdement
essuyer.v 98 :: faire ; encaisser ; recevoir ; voir ; prendre ; subir ; gagner ; rencontrer ; manger ; découvrir
essuyer.v 166 :: pépin ; noyau ; sécher ; éplucher ; peler ; baie ; graine ; peau ; légume ; laver
essuyer.v 215 :: subir ; recevoir ; porter ; entraîner ; souffrir ; lire ; ramasser ; récolter ; affronter ; connaître
essuyer.v 266 :: enlever ; retirer ; nettoyer ; soigneusement ; laisser ; nettoyage ; laver ; couvrir ; fermer ; faire
faucher.v 12 :: briser ; presque ; passer ; déjà ; tuer ; jeter ; projeter ; violée ; hacher ; traverser
faucher.v 42 :: découverte ; peut-être ; donnée ; également ; modification ; acquérir ; enregistrer ; propriétaire ; finalement ; important
faucher.v 116 :: pousser ; semer ; abattre ; couper ; donner ; répandre ; arroser ; laisser ; hacher ; pratiquer
faucher.v 160 :: plante ; terre ; an ; trouver ; donne ; amour ; avoir ; marier ; semer ; pari
faucher.v 214 :: acheter ; voir ; faire ; presque ; mieux ; bon ; travailler ; manger ; vraiment ; prendre
faucher.v 239 :: acheter ; servir ; entamer ; être ; jeter ; commander ; plein ; déjà ; renverser ; jamais
faucher.v 248 :: tombe ; marque ; laisse ; porte ; comparaison ; lancer ; collision ; charge ; face ; article
faucher.v 276 :: abattre ; creuser ; couper ; semer ; planter ; tailler ; cueillir ; récolter ; pousser ; dessiner
faucher.v 282 :: trouver ; remplacer ; frappe ; marque ; cadre ; côté ; cale ; passer ; falloir ; transformer
faucher.v 290 :: tuer ; grièvement ; plaqué ; verser ; servir ; presque ; projeter ; bêtement ; déjà ; briser
fonder.v 6 :: fondre ; créer ; organiser ; diriger ; former ; ouvrir ; établir ; installer ; tenir ; bâtir
fonder.v 7 :: force ; appuyer ; définir ; motiver ; traverser ; sous-tendre ; anime ; porte ; constituer ; guide
fonder.v 54 :: construire ; base ; trouver ; assurer ; bâtir ; force ; gagner ; appuyer ; tire ; puiser
fonder.v 66 :: ferme ; rejoindre ; forge ; quitte ; débuter ; développer ; formule ; installer ; commencer ; diriger
fonder.v 88 :: diriger ; créer ; finance ; forme ; anime ; formule ; développer ; ferme ; dessiner ; fixe
fonder.v 93 :: traverser ; conditionne ; force ; sous-tendre ; caractériser ; définir ; constituer ; base ; forme ; commande
fonder.v 158 :: base ; repose ; fond ; construire ; appuyer ; centre ; fixe ; cale ; cadre ; baser
fonder.v 212 :: créer ; constituer ; former ; fabriquer ; bâtir ; contracter ; monter ; forger ; faire ; fondre
fonder.v 264 :: motiver ; base ; définir ; traverser ; appuyer ; valide ; force ; bâtir ; nourrir ; constituer
fonder.v 286 :: créer ; réunir ; bâtir ; forge ; monte ; diriger ; ferme ; forme ; développer ; fabrique
grossier.a 24 :: stupide ; courant ; évident ; valable ; flagrant ; ridicule ; grave ; répandre ; scandaleux ; simple
grossier.a 37 :: monter ; grossièrement ; fin ; langage ; niveau ; avancer ; procédé ; usage ; menteur ; vraiment
grossier.a 85 :: vulgaire ; agressif ; vicieux ; tendre ; poli ; laid ; arrogant ; joueur ; vil ; nain
grossier.a 108 :: fin ; léger ; pauvre ; profond ; général ; riche ; sec ; bitumineux ; épais ; calcaire
grossier.a 134 :: subtil ; léger ; gros ; grand ; évident ; sérieux ; faible ; fréquent ; vague ; lourd
grossier.a 179 :: propagande ; exploitation ; publicité ; ignorance ; vulgarité ; désinformation ; parodie ; tentative ; impression ; caricature
grossier.a 227 :: vulgaire ; vicieux ; hypocrite ; trompeur ; narcissique ; arrogant ; cruel ; manipulateur ; objectif ; faux
grossier.a 228 :: témoignage ; positif ; mensonge ; billet ; résultat ; papier ; électeur ; compte ; départ ; sentiment
grossier.a 231 :: vulgaire ; inférieur ; léger ; humain ; simple ; coupable ; profond ; bourgeois ; social ; brutal
grossier.a 300 :: faute ; erreur ; voire ; attaque ; boulette ; être ; accusation ; grossièrement ; presque ; insulte
hermétique.a 203 :: opaque ; obscur ; confidentiel ; problématique ; mystérieux ; partiel ; pointue ; abstrait ; singulier ; inquiétant
hermétique.a 71 :: mystérieux ; confidentiel ; secret ; énigmatique ; religieux ; inquiétant ; intime ; effrayant ; chimique ; choquer
hermétique.a 99 :: fermer ; sceller ; plastique ; étanche ; contenir ; entier ; individuel ; chinois ; forme ; alimentaire
hermétique.a 126 :: presque ; quasi ; solide ; totalement ; pratique ; technique ; film ; magique ; poétique ; propre
hermétique.a 127 :: élitiste ; académique ; obscur ; secret ; étanche ; mystérieux ; opaque ; noir ; blanc ; énigmatique
hermétique.a 220 :: secret ; porte ; étancher ; extrêmement ; garder ; donnée ; parfaitement ; vide ; entrer ; obscur
hermétique.a 226 :: insensible ; sourd ; fermer ; imperméable ; sensible ; allergique ; face ; indifférent ; étanche ; attentif
hermétique.a 261 :: éloquer ; poli ; magique ; explicite ; discret ; incompréhensible ; confidentiel ; vague ; tabou ; simpliste
hermétique.a 278 :: interne ; étanche ; plastique ; chimique ; secret ; solide ; transparent ; alimentaire ; noir ; fermé
hermétique.a 204 :: ultime ; optique ; isolant ; maçonnerie ; vitral ; porte ; magique ; seul ; solidité ; vase
incorrect.a 45 :: naître ; actuellement ; nommer ; ante ; rée ; ale ; devenir ; ex ; visiblement ; prévoir
incorrect.a 125 :: in ; vraiment ; totalement ; complètement ; parfaitement ; mal ; con ; ultra ; super ; sec
incorrect.a 132 :: rester ; totalement ; tomber ; également ; rigueur ; revenir ; devenir ; demeurer ; appeler ; extrêmement
incorrect.a 156 :: in ; politique ; juridique ; mal ; apparemment ; judiciaire ; vraiment ; juger ; fort ; exemplaire
incorrect.a 159 :: utilisation ; applicabilité ; application ; activité ; résultat ; responsabilité ; pratique ; interprétation ; conformité ; reproduction
incorrect.a 177 :: inverse ; donner ; contraire ; précis ; erroné ; automatique ; correct ; supérieur ; arbitraire ; opposer
incorrect.a 217 :: ici ; politiquement ; correct ; superflu ; inapproprié ; inutile ; sujet ; volontairement ; drôle ; bon
incorrect.a 241 :: vraiment ; parfaitement ; complètement ; dire ; totalement ; immédiatement ; forcément ; également ; déjà ; réellement
incorrect.a 298 :: vrai ; décevant ; impressionnant ; surprenant ; exact ; frustrer ; ridicule ; évident ; regrettable ; malheureux
incorrect.a 299 :: personnel ; confidentiel ; donnée ; électronique ; bancaire ; identifiabler ; numérique ; financier ; transmettre ; effacer
intérêt.n 63 :: avis ; élément ; opinion ; camp ; agenda ; objectif ; sentiment ; appétit ; logique ; impératif
intérêt.n 97 :: évolution ; irremplaçable ; international ; expérience ; approche ; nouveau ; entier ; incroyable ; innombrable ; ensemble
intérêt.n 129 :: long ; étroit ; international ; or ; heureux ; actuel ; ancien ; art ; nouveau ; éternel
intérêt.n 146 :: or ; évolution ; air ; énergie ; art ; ensemble ; eau ; ouverture ; aide ; image
intérêt.n 155 :: article ; entreprise ; commission ; international ; origine ; administration ; enseignement ; information ; institution ; ancien
intérêt.n 218 :: intéressant ; côté ; sens ; faible ; important ; objectif ; réel ; principal ; fort ; numéro
intérêt.n 263 :: air ; excellent ; nouveau ; meilleur ; principal ; véritable ; propre ; aide ; art ; éventuel
intérêt.n 268 :: or ; aide ; international ; art ; expérience ; clip ; air ; efficace ; eau ; anglais
intérêt.n 271 :: heureux ; eau ; air ; être ; évolution ; art ; aide ; nouveau ; utilisateur ; vrai
intérêt.n 297 :: aide ; clip ; guide ; art ; externe ; animal ; international ; matériel ; air ; voyage
interpréter.v 18 :: chanter ; jouer ; ensuite ; présenter ; personnellement ; interprétation ; également ; remarquablement ; animé ; assurer
interpréter.v 21 :: chanter ; chant ; jouer ; ensuite ; également ; écrire ; principalement ; régulièrement ; déjà ; tantôt
interpréter.v 59 :: expliquer ; comprendre ; penser ; inverser ; voir ; faire ; lire ; entendre ; analyser ; étudier
interpréter.v 80 :: air ; aide ; international ; illustre ; apercevoir ; usage ; art ; énergie ; expérience ; étroit
interpréter.v 123 :: or ; clip ; usage ; aide ; art ; ensemble ; immigré ; homme ; apercevoir ; expérience
interpréter.v 128 :: joue ; incarner ; camper ; assurer ; offrir ; jouer ; cher ; tenir ; reprendre ; prendre
interpréter.v 157 :: influence ; actif ; traite ; recevoir ; exploiter ; analyse ; écrire ; traduire ; émettre ; intégrer
interpréter.v 260 :: interprétation ; comprendre ; faire ; décoder ; évaluer ; entendre ; comparer ; déchiffrer ; expliquer ; pouvoir
interpréter.v 267 :: interprétation ; comprendre ; observer ; attribuer ; considérer ; vivre ; percevoir ; anticiper ; recevoir ; entendre
interpréter.v 289 :: chanter ; jouer ; dansé ; présenter ; animé ; enseigner ; arranger ; raconter ; tirer ; interprétation
maintenir.v 94 :: soutenir ; répéter ; déclarer ; assurer ; souligner ; affirmer ; ajouter ; insister ; promettre ; confirmer
maintenir.v 113 :: participation ; procès-verbal ; enregistrer ; professionnel ; inscrire ; représentant ; disponible ; supérieur ; propriétaire ; communication
maintenir.v 154 :: garder ; renforcer ; conserver ; tenir ; assurer ; mettre ; exercer ; entretenir ; augmenter ; garde
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; retenir ; entretenir ; perpétuer ; mettre ; demeurer ; soutenir
maintenir.v 183 :: garder ; conserver ; préserver ; assurer ; garantir ; favoriser ; rester ; entretenir ; mettre ; faire
maintenir.v 207 :: demeurer ; préserver ; maintien ; garder ; conserver ; rester ; soutenir ; réintégrer ; retenir ; transporter
maintenir.v 230 :: tenir ; pouvoir ; présent ; dernier ; compter ; excellent ; garder ; compte ; main ; hollande
maintenir.v 234 :: considérer ; soutenir ; souhaiter ; proposer ; rappeler ; réaffirmer ; affirmer ; proclamer ; estime ; déclarer
maintenir.v 251 :: conserve ; réitérer ; réaffirmer ; soutenir ; tenir ; reprendre ; appuyer ; confirmer ; poursuivre ; renouveler
maintenir.v 281 :: ajouter ; dire ; affirmer ; bref ; gage ; insister ; compte ; vouloir ; place ; croire
mince.a 17 :: faible ; fin ; étroit ; avancer ; haut ; fort ; vulnérable ; épais ; élevé ; intime
mince.a 96 :: fin ; régulier ; épais ; sec ; lisse ; continuer ; léger ; grossier ; égal ; supérieur
mince.a 147 :: simple ; maigre ; léger ; riche ; sommaire ; facile ; réussir ; limité ; réel ; timide
mince.a 170 :: déjà ; légèrement ; maigre ; fin ; serrer ; être ; également ; juste ; extrêmement ; léger
mince.a 192 :: petit ; minuscule ; fin ; léger ; épais ; micro ; verre ; simple ; papier ; énorme
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; dernier ; maigre ; court ; bel ; double
mince.a 213 :: maigre ; petit ; chose ; score ; léger ; point ; presque ; être ; chiffre ; sourire
mince.a 225 :: maigre ; petit ; bel ; honorable ; joli ; filet ; léger ; succès ; cadeau ; début
mince.a 242 :: étroit ; maigre ; fragile ; fin ; loin ; serrer ; sensible ; clair ; établir ; préciser
mince.a 292 :: fin ; supérieur ; atomique ; cristalline ; conducteur ; compacte ; léger ; actif ; primaire ; épais
modeste.a 29 :: minuscule ; petit ; humble ; logement ; honorable ; dérisoire ; minime ; misérable ; minable ; portion
modeste.a 114 :: bon ; humble ; pauvre ; généreux ; digne ; honnête ; capable ; vivant ; noble ; petit
modeste.a 121 :: significatif ; dérisoire ; faible ; important ; timide ; petit ; misérable ; minime ; maigre ; limité
modeste.a 163 :: petit ; minime ; limité ; faible ; léger ; personnel ; modique ; important ; infime ; significatif
modeste.a 195 :: personnel ; symbolique ; minime ; limité ; bourgeois ; important ; fragile ; faible ; superficiel ; propre
modeste.a 197 :: hospitalier ; pauvre ; fragile ; autonome ; aisé ; faible ; soignant ; libre ; libéral ; indépendant
modeste.a 200 :: limité ; réduire ; populaire ; intermédiaire ; faible ; salarial ; restreindre ; économique ; comprendre ; industriel
modeste.a 246 :: élevé ; important ; léger ; misérable ; insignifiant ; terne ; professionnel ; minime ; médiocre ; respectable
modeste.a 269 :: humble ; digne ; jeune ; petit ; pieux ; pauvre ; médiocre ; misérable ; noble ; honnête
modeste.a 283 :: humble ; discret ; digne ; honnête ; misérable ; pauvre ; modestie ; arrogant ; petit ; fier
montée.n 15 :: faveur ; courbe ; progressif ; droite ; bon ; ascension ; montant ; ante ; croissant ; rue
montée.n 56 :: progression ; hausse ; augmentation ; descente ; échelle ; chute ; partie ; pente ; ligne ; réduction
montée.n 75 :: descente ; suite ; terrasse ; visite ; promenade ; promotion ; accession ; entrée ; journée ; balade
montée.n 138 :: évolution ; gestion ; performance ; poussée ; croissance ; hausse ; vie ; progression ; capacité ; production
montée.n 141 :: poussée ; monte ; baisse ; hausse ; courbe ; mise ; descente ; croissance ; réduction ; progressif
