affection.n 8 :: affectation ; épreuve ; influence ; ambition ; attaque ; appréciation ; humiliation ; habitude ; accusation ; opinion
arrêter.v 219 :: aider ; identifier ; stopper ; tuer ; comprendre ; atteindre ; bloquer ; trouver ; retrouver ; développer
arrêter.v 273 :: condamner ; interdire ; emprisonner ; exécuter ; capturer ; prendre ; frapper ; suspendre ; juger ; enlever
arrêter.v 277 :: or ; article ; in ; os ; an ; us ; excellent ; air ; art ; état
arrêter.v 291 :: décider ; publier ; délivrer ; accorder ; émettre ; signer ; accepter ; adopter ; proposer ; exclure
capacité.n 26 :: faculté ; disponibilité ; force ; puissance ; flexibilité ; souplesse ; réserve ; possibilité ; qualité ; persistance
capacité.n 32 :: puissance ; tête ; demande ; chaîne ; différence ; force ; activité ; quantité ; charge ; possibilité
capacité.n 35 :: formation ; disponibilité ; mention ; activité ; maîtrise ; base ; spécialisation ; chambre ; résidence ; présence
capacité.n 70 :: puissance ; contribution ; productivité ; fréquentation ; rentabilité ; performance ; surface ; quantité ; densité ; évolution
capacité.n 73 :: compétence ; faculté ; possibilité ; force ; vitesse ; connaissance ; puissance ; aptitude ; liberté ; disponibilité
capacité.n 101 :: qualité ; fonction ; compétence ; puissance ; faculté ; propre ; vocation ; mission ; pouvoir ; responsabilité
capacité.n 103 :: ressource ; unité ; stock ; zone ; possibilité ; activité ; base ; quantité ; coût ; infrastructure
capacité.n 110 :: réserve ; possibilité ; quantité ; suite ; disponibilité ; puissance ; réduction ; trésorerie ; garantie ; durée
capacité.n 135 :: faculté ; marge ; liberté ; possibilité ; puissance ; droit ; pouvoir ; force ; porter ; vivacité
capacité.n 148 :: formation ; compétence ; spécialisation ; certification ; maîtrise ; performance ; confiance ; connaissance ; recherche ; qualité
commander.v 5 :: publier ; réaliser ; signer ; envoyer ; écrire ; éditer ; paraître ; inédit ; accomplir ; obtenir
commander.v 9 :: commander ; commencer ; acheter ; réserver ; découvrir ; choisir ; créer ; retrouver ; apprendre ; trouver
commander.v 16 :: diriger ; mener ; commanda ; commandant ; exécuter ; barre ; soutenir ; conseiller ; supervise ; effectuer
commander.v 41 :: commencer ; décider ; choisir ; voir ; acheter ; faire ; gagner ; définir ; effectuer ; suivre
commander.v 48 :: gérer ; diriger ; contrôlent ; créer ; déterminer ; régir ; mener ; gouverner ; financer ; tirer
commander.v 117 :: commande ; dicter ; prescrire ; commandement ; conseillent ; requérir ; permettre ; ordonner ; comporte ; valoir
commander.v 164 :: ordonner ; dicter ; enseigne ; conseiller ; prescrire ; enjoindre ; obéir ; commanda ; inciter ; imposer
commander.v 171 :: commande ; acheter ; valider ; faire ; acquérir ; réserver ; venir ; terminer ; aller ; essayer
commander.v 206 :: venir ; assurer ; tandis ; supplémentaire ; veille ; veiller ; permettre ; limite ; vouloir ; bénéficier
commander.v 240 :: commande ; payer ; faire ; régler ; uniquement ; personnaliser ; prendre ; acheter ; modifier ; effectuer
compris.a 52 :: compréhensible ; assimiler ; enseigner ; accepter ; lire ; partager ; percevoir ; contenue ; vivre ; concevoir
compris.a 90 :: falloir ; penser ; assurer ; réaliser ; considérer ; croire ; trouver ; sentir ; apprendre ; ajouter
compris.a 106 :: comprendre ; clair ; entendre ; apprécier ; fois ; clairement ; aimer ; sentir ; raison ; inclure
compris.a 185 :: inclure ; présent ; incorporer ; contenir ; mentionner ; situer ; commander ; nécessaire ; recevoir ; traiter
compris.a 186 :: inclure ; situer ; rester ; déjà ; entrer ; ici ; également ; présent ; loger ; peut-être
compris.a 187 :: inclure ; situer ; compter ; prendre ; contenu ; définir ; estimer ; varier ; généralement ; répartir
compris.a 211 :: répartir ; situer ; mesurer ; grouper ; maintenir ; varier ; moyen ; présent ; évaluer ; proposer
compris.a 232 :: inclure ; prendre ; compter ; reprendre ; inclus ; contenu ; comptabiliser ; intégré ; comprendre ; incorporer
compris.a 272 :: saisir ; comprendre ; percevoir ; capter ; réaliser ; entendre ; intégré ; penser ; prendre ; croire
compris.a 287 :: saisir ; intégré ; deviner ; reconnaître ; assimiler ; comprendre ; apprécier ; détecter ; adopter ; capter
couverture.n 65 :: dossier ; page ; dernier ; rédaction ; moitié ; chronique ; série ; sommaire ; numéro ; manchette
couverture.n 67 :: vie ; peau ; chance ; survie ; réputation ; chemise ; carrière ; tête ; plume ; fortune
couverture.n 72 :: toiture ; surface ; terrasse ; véranda ; housse ; revêtement ; cheminée ; écran ; produit ; peinture
couverture.n 143 :: tête ; éditorial ; manchette ; illustration ; page ; sommaire ; vignette ; couvrir ; front ; fort
couverture.n 149 :: protection ; sécurité ; responsabilité ; perception ; gestion ; répartition ; vie ; ligne ; stratégie ; participation
couverture.n 150 :: toiture ; couvrir ; protection ; toit ; pierre ; voil ; rénovation ; construction ; tuile ; coqu
couverture.n 201 :: surveillance ; desserte ; couvrir ; protection ; sécurité ; convergence ; gestion ; conquête ; pénétration ; transformation
couverture.n 257 :: toiture ; remplacement ; base ; revêtement ; construction ; protection ; sol ; bois ; transformation ; finition
couverture.n 265 :: couvrir ; véranda ; housse ; voil ; aile ; enveloppe ; veste ; livre ; serviette ; couche
couverture.n 280 :: édition ; peau ; manchette ; poitrine ; page ; nouveau ; tête ; protection ; illustration ; jeunesse
débit.n 64 :: compte ; virement ; crédit ; banque ; règlement ; tirer ; faciliter ; extraire ; titre ; lieu
débit.n 87 :: crédit ; compte ; accès ; versement ; montant ; minimum ; niveau ; solde ; paiement ; total
débit.n 115 :: flux ; cours ; rythme ; écart ; bras ; déficit ; poids ; rôle ; marché ; écoulement
débit.n 131 :: niveau ; secteur ; flux ; phénomène ; eau ; taux ; zone ; pic ; activité ; cours
débit.n 136 :: flux ; cours ; apport ; niveau ; prix ; volume ; eau ; dépôt ; journalier ; valeur
débit.n 168 :: interrompre ; montant ; total ; taux ; réel ; différé ; abonnement ; mensuel ; instantané ; régulier
débit.n 169 :: rythme ; taux ; montant ; niveau ; flux ; cours ; volume ; résultat ; train ; total
débit.n 184 :: rythme ; potentiel ; score ; cadence ; capacité ; puissance ; rendement ; record ; vitesse ; développement
débit.n 188 :: moyen ; crue ; flux ; apport ; prix ; eau ; précipitation ; humide ; potentiel ; rendement
débit.n 205 :: flux ; écoulement ; rythme ; accès ; moyen ; mode ; temps ; tempo ; binaire ; canal
direction.n 78 :: conduite ; coordination ; responsabilité ; directrice ; diriger ; présidence ; critique ; directeur ; maîtrise ; discipline
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; organisation ; tête ; majorité ; tendance ; stratégie ; politique
direction.n 151 :: gestion ; directrice ; présidence ; directeur ; management ; tête ; rédaction ; équipe ; hiérarchie ; conduite
direction.n 152 :: compagnie ; branche ; descente ; division ; partie ; vertical ; sélection ; galaxie ; poursuite ; forme
direction.n 172 :: saint ; presque ; nord ; destination ; sud ; peut-être ; politique ; dernier ; pari ; alpe
direction.n 176 :: conduite ; directrice ; diriger ; directeur ; gestion ; orientation ; cage ; management ; performance ; contrôle
direction.n 199 :: principal ; nouveau ; management ; supérieur ; directeur ; bon ; responsable ; directrice ; orientation ; orienter
direction.n 223 :: directrice ; présidence ; bon ; coordination ; nouveau ; responsabilité ; représentation ; équipe ; gestion ; directeur
direction.n 262 :: directrice ; responsabilité ; directeur ; présidence ; gestion ; contrôle ; conduite ; bon ; responsable ; nouveau
direction.n 279 :: destination ; provenance ; région ; vallée ; national ; droite ; nord ; sens ; province ; cap
don.n 19 :: talent ; sens ; style ; temps ; centre ; pouvoir ; souci ; doué ; point ; droit
don.n 30 :: talent ; oeil ; atout ; instinct ; sens ; pouvoir ; goût ; faculté ; point ; qualité
don.n 36 :: talent ; pouvoir ; génie ; domaine ; sens ; souher ; lien ; cadeau ; charm ; sentiment
don.n 60 :: cadeau ; bon ; signe ; sacrifice ; produit ; dot ; accueil ; droit ; col ; mont
don.n 84 :: cadeau ; apport ; revenu ; produit ; achat ; déchet ; contribution ; service ; animal ; salarié
don.n 107 :: cadeau ; parvenir ; part ; présent ; offrir ; legs ; grâce ; confiance ; présentation ; proposition
don.n 130 :: cadeau ; contribution ; fonds ; bénéficiaire ; généreux ; croyant ; legs ; personne ; enfant ; soutien
don.n 196 :: pouvoir ; ministère ; secret ; cadeau ; génie ; spécial ; ministre ; talent ; droit ; privilèg
don.n 244 :: cadeau ; parrainage ; legs ; bon ; mécénat ; bénévolat ; service ; geste ; grâce ; recevoir
don.n 245 :: cadeau ; talent ; legs ; qualité ; enfant ; art ; effet ; bijou ; fleur ; projet
entraîner.v 39 :: air ; art ; aide ; international ; or ; image ; externe ; interne ; animal ; étroit
entraîner.v 47 :: obliger ; aide ; aider ; encourager ; inciter ; engager ; pousse ; invite ; amener ; conduire
entraîner.v 55 :: air ; international ; effectif ; interne ; ancien ; incorporation ; italien ; actuel ; aide ; clip
entraîner.v 57 :: eau ; effet ; emploi ; efficace ; ensemble ; air ; or ; externe ; euro ; irremplaçable
entraîner.v 133 :: ancien ; aide ; air ; animal ; image ; ensemble ; art ; international ; interne ; clip
entraîner.v 140 :: pousser ; amener ; attirer ; mener ; soulever ; ensuite ; conduire ; appeler ; conduite ; loin
entraîner.v 144 :: invite ; obliger ; engager ; amener ; encourager ; avoir ; exhorter ; pousse ; conduire ; inciter
entraîner.v 161 :: amener ; engendrer ; provoquer ; accentuer ; apparaître ; conduire ; créer ; éviter ; pallier ; imposer
entraîner.v 162 :: provoquer ; amener ; conduire ; favoriser ; encourager ; complet ; assurer ; commencer ; actif ; accélérer
entraîner.v 191 :: conduire ; attirer ; amener ; emporter ; précipiter ; pousser ; atteindre ; porter ; engager ; élever
éplucher.v 10 :: peler ; nettoyer ; laver ; faire ; égoutter ; ouvrir ; ire ; échalote ; ber ; ajouter
éplucher.v 51 :: éplucher ; récolter ; fouillé ; compiler ; scrupuleusement ; balayer ; collecter ; retourner ; assembler ; croiser
éplucher.v 69 :: soigneusement ; faire ; systématiquement ; lire ; minutieusement ; scrupuleusement ; devoir ; attentivement ; relire ; passer
éplucher.v 100 :: éplucher ; finement ; récolter ; couper ; grossièrement ; hacher ; peler ; consommer ; laver ; oignon
éplucher.v 119 :: éplucher ; finement ; devoir ; longuement ; récolter ; avoir ; bon ; aller ; soigneusement ; allègrement
éplucher.v 167 :: fruit ; feuille ; graine ; noter ; laver ; ajouter ; plante ; regarder ; soigneusement ; ensuite
éplucher.v 174 :: article ; résultat ; fiche ; rapport ; page ; commentaire ; vidéo ; également ; statistique ; donnée
éplucher.v 235 :: peler ; arracher ; récolter ; faire ; affiner ; cueillir ; presser ; obtenir ; filer ; extrair
éplucher.v 236 :: zou ; noix ; framboise ; amande ; figue ; produit ; prune ; noisette ; antipode ; envie
éplucher.v 258 :: peler ; légume ; faire ; oignon ; carotte ; égoutter ; blanchir ; courgette ; cuire ; tomate
espace.n 13 :: origine ; air ; effet ; aide ; art ; ensemble ; énergie ; or ; autant ; adjectif
espace.n 27 :: étrange ; or ; aide ; immigré ; obliger ; art ; iranien ; antique ; image ; aller
espace.n 79 :: coin ; zone ; office ; ensemble ; environnement ; bac ; aire ; outil ; pôle ; sas
espace.n 120 :: être ; article ; ensemble ; air ; utilisateur ; international ; or ; environnement ; entreprise ; enseignement
espace.n 137 :: environnement ; conseil ; groupe ; domaine ; objet ; marché ; présent ; jeune ; produit ; emploi
espace.n 142 :: an ; auto ; angle ; temps ; actuel ; or ; céleste ; savoir ; os ; automne
espace.n 180 :: équilibre ; place ; lien ; intervalle ; distance ; emplacement ; arrangement ; contraste ; rapport ; échange
espace.n 208 :: innombrable ; entreprise ; ancien ; association ; article ; ensemble ; utilisateur ; euro ; exploitation ; enregistrement
espace.n 229 :: événement ; talent ; petit ; propre ; atout ; aménagement ; environnement ; développement ; investissement ; projet
espace.n 243 :: article ; compte ; ensemble ; page ; ordre ; écran ; coin ; objet ; rôle ; temps
essuyer.v 11 :: laver ; essuyer ; rincer ; bouché ; faire ; fermer ; ouvrir ; remplir ; enlever ; désinfection
essuyer.v 58 :: essuie ; durement ; froid ; finalement ; revers ; déjà ; pourtant ; recevoir ; également ; pluie
essuyer.v 77 :: essuie ; os ; blanc ; éponge ; nettoyer ; sec ; jour ; avoir ; raclette ; nettoyage
essuyer.v 81 :: laver ; éponge ; essuie ; but ; enduire ; faire ; encre ; ra ; tremper ; usa
essuyer.v 86 :: passer ; devoir ; recevoir ; continuer ; laisse ; assurer ; accorder ; obtenir ; conserve ; poursuivre
essuyer.v 89 :: essuie ; refus ; revers ; ferme ; finalement ; face ; déjà ; poliment ; opposer ; violemment
essuyer.v 98 :: faire ; encaisser ; recevoir ; subir ; voir ; utiliser ; souffrir ; prendre ; dépenser ; manger
essuyer.v 166 :: nettoyer ; laver ; rincer ; appliquer ; frotter ; utiliser ; sécher ; effacer ; essuie ; masser
essuyer.v 215 :: subir ; recevoir ; rencontrer ; essuie ; encaisser ; affronter ; falloir ; remporter ; accumuler ; connaître
essuyer.v 266 :: enlever ; retirer ; éviter ; laisser ; verser ; nettoyer ; apporter ; débarrasser ; faire ; laver
faucher.v 12 :: écraser ; jeter ; projeter ; renverser ; abattre ; tuer ; déposer ; briser ; poussée ; brûler
faucher.v 42 :: mieux ; peut-être ; découverte ; déjà ; devenir ; également ; donnée ; acquérir ; récolter ; finalement
faucher.v 116 :: semer ; couper ; pousser ; travailler ; donner ; laisser ; pisser ; labour ; détruire ; abattre
faucher.v 160 :: piqu ; casser ; passer ; chia ; trouver ; plante ; prendre ; marque ; joue ; séparer
faucher.v 214 :: faire ; presque ; travailler ; voir ; acheter ; remplacer ; mutuellement ; extrêmement ; reproduire ; pratiquement
faucher.v 239 :: servir ; acheter ; presque ; entamer ; donne ; jeter ; plein ; partager ; tendre ; donner
faucher.v 248 :: crime ; comparaison ; marque ; meurtre ; criminalité ; compte ; ligne ; céramique ; faux ; bois
faucher.v 276 :: couper ; planter ; abattre ; cueillir ; tailler ; semer ; arracher ; fouler ; creuser ; cultiver
faucher.v 282 :: centre ; marque ; remplacer ; prolonger ; glisse ; cadre ; éliminer ; écarter ; cherche ; relever
faucher.v 290 :: tuer ; grièvement ; servir ; presque ; verser ; déjà ; plaqué ; pousser ; blesser ; donner
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; ouvrir ; faire ; développer ; former ; tenir ; arrêter
fonder.v 7 :: force ; motiver ; porte ; légitime ; guide ; sous-tendre ; expliquer ; conditionne ; cadre ; forme
fonder.v 54 :: base ; construire ; forge ; trouver ; bâtir ; assurer ; tire ; appuyer ; gagner ; marque
fonder.v 66 :: ferme ; forge ; développer ; commencer ; monte ; finance ; rejoindre ; composer ; créer ; fond
fonder.v 88 :: forme ; formule ; diriger ; développer ; créer ; finance ; fondation ; commencer ; fixe ; intégrer
fonder.v 93 :: traverser ; repose ; appuyer ; base ; forme ; constituer ; assurer ; force ; porte ; cale
fonder.v 158 :: base ; bâtir ; repose ; fond ; construire ; appuyer ; fonctionner ; forge ; cale ; développer
fonder.v 212 :: former ; créer ; constituer ; fabriquer ; faire ; forger ; fer ; définir ; instaurer ; formuler
fonder.v 264 :: définir ; base ; valide ; constituer ; motiver ; justifier ; force ; faire ; limite ; caractériser
fonder.v 286 :: diriger ; fond ; anime ; fabrique ; finance ; formule ; fondation ; force ; forge ; forme
grossier.a 24 :: stupide ; courant ; complet ; ridicule ; grotesque ; simple ; valable ; grave ; flagrant ; formel
grossier.a 37 :: répandre ; flagrant ; avancer ; fréquent ; complet ; évident ; élevé ; simple ; sophistiquer ; connaître
grossier.a 85 :: susceptible ; sot ; ridicule ; jaloux ; tendre ; encombrant ; méchant ; franc ; vicieux ; dur
grossier.a 108 :: épais ; minéral ; fin ; massif ; extrêmement ; organique ; calcaire ; élevé ; noir ; métallique
grossier.a 134 :: léger ; flagrant ; subtil ; grand ; long ; lourd ; profond ; sérieux ; haut ; cruel
grossier.a 179 :: propagande ; désinformation ; information ; émission ; agression ; campagne ; vidéo ; rumeur ; publicité ; attaque
grossier.a 227 :: vulgaire ; approximatif ; manipulateur ; hypocrite ; malhonnête ; vicieux ; simple ; stupide ; déplacer ; français
grossier.a 228 :: commentaire ; procédé ; mot ; compte ; message ; franc ; propos ; politique ; passage ; billet
grossier.a 231 :: matériel ; vulgaire ; personnel ; humain ; brut ; extérieur ; social ; terrestre ; profane ; simple
grossier.a 300 :: voire ; accusation ; faire ; bas ; grossièrement ; juger ; presque ; extrêmement ; faute ; passablement
hermétique.a 203 :: demeurer ; mystère ; texte ; quasi ; presque ; énigme ; porte ; livre ; lecture ; mystérieux
hermétique.a 71 :: énigmatique ; mystérieux ; secret ; fermer ; opaque ; effrayant ; artificiel ; clore ; austère ; étrange
hermétique.a 99 :: fermer ; sceller ; plastique ; alimentaire ; congélation ; étanche ; individuel ; transparent ; entier ; chinois
hermétique.a 126 :: étanche ; imperméable ; sourd ; perméable ; opposer ; insensible ; réfractaire ; aveugle ; interne ; fermer
hermétique.a 127 :: philosophique ; conceptuel ; élitiste ; politique ; secret ; social ; littéraire ; noir ; sociologique ; magique
hermétique.a 220 :: quasi ; presque ; parfaitement ; vide ; ici ; entrer ; rester ; clos ; devenir ; fermer
hermétique.a 226 :: fermer ; sensible ; fermé ; complètement ; septique ; rester ; totalement ; allergique ; réfractaire ; imperméable
hermétique.a 261 :: subtil ; réducteur ; simpliste ; étonnant ; incompréhensible ; habile ; grossier ; sensible ; limite ; approximatif
hermétique.a 278 :: parfaitement ; complètement ; totalement ; presque ; secret ; étanche ; alimentaire ; chimique ; fermé ; interne
hermétique.a 204 :: inquiétant ; obscur ; opaque ; mystérieux ; problématique ; familier ; étrange ; flou ; singulier ; fragile
incorrect.a 45 :: ante ; ale ; utilisable ; attendre ; cohérent ; nommer ; issue ; nécessaire ; approprier ; devoir
incorrect.a 125 :: complètement ; der ; ré ; vraiment ; totalement ; in ; presque ; parfaitement ; naître ; également
incorrect.a 132 :: totalement ; tomber ; entier ; rester ; extrêmement ; revenir ; devenir ; baser ; également ; demeurer
incorrect.a 156 :: in ; politique ; mal ; inique ; professionnel ; juridique ; criminel ; normal ; honnête ; coupable
incorrect.a 159 :: transposition ; pratique ; in ; application ; partiellement ; ex ; interprétation ; partiel ; professionnel ; partie
incorrect.a 177 :: précis ; total ; correct ; erroné ; automatique ; approximatif ; supérieur ; aléatoire ; donner ; impossible
incorrect.a 217 :: bon ; correct ; produit ; enfant ; excellent ; original ; disponible ; mauvais ; recevoir ; politiquement
incorrect.a 241 :: mal ; vraiment ; totalement ; parfaitement ; complètement ; in ; fort ; presque ; extrêmement ; dire
incorrect.a 298 :: ci-dessous ; politique ; communiqué ; présidentielle ; exact ; législatif ; malheureux ; total ; impressionnant ; déclaration
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; financier ; privé ; transmettre ; donnée ; saisir ; électronique ; important
intérêt.n 63 :: grand ; ennemi ; propre ; adversaire ; camp ; opposer ; point ; rapport ; parti ; véritable
intérêt.n 97 :: article ; ensemble ; opinion ; entier ; association ; administration ; international ; évolution ; information ; assistance
intérêt.n 129 :: heureux ; nouveau ; clip ; long ; externe ; ensemble ; international ; étroit ; voir ; politique
intérêt.n 146 :: évolution ; or ; art ; image ; air ; eau ; aide ; énergie ; emploi ; ensemble
intérêt.n 155 :: article ; audiovisuel ; énergie ; effectif ; international ; audiovisuelle ; an ; entreprise ; utilisateur ; air
intérêt.n 218 :: avantage ; intéressant ; atout ; utilité ; attrer ; enseignement ; côté ; bénéfice ; inconvénient ; importance
intérêt.n 263 :: air ; cor ; principal ; excellent ; voir ; nouveau ; art ; min ; international ; adjectif
intérêt.n 268 :: nouveau ; aide ; clip ; air ; or ; image ; art ; international ; propre ; éternel
intérêt.n 271 :: archive ; international ; air ; aide ; étymologie ; être ; antique ; utilisateur ; étranger ; origine
intérêt.n 297 :: air ; aide ; externe ; or ; image ; international ; obliger ; énergie ; animal ; origine
interpréter.v 18 :: chanter ; jouer ; raconter ; interprétation ; reprendre ; offrir ; arranger ; cité ; présenter ; applaudir
interpréter.v 21 :: remplacer ; jouer ; chant ; exécuter ; interprétation ; chanter ; écrire ; assistant ; dirigeant ; arranger
interpréter.v 59 :: expliquer ; comprendre ; analyser ; inverser ; relativiser ; penser ; décrypter ; regarder ; mesurer ; faire
interpréter.v 80 :: aide ; or ; art ; air ; image ; aller ; aimer ; être ; habitude ; heureux
interpréter.v 123 :: air ; étymologie ; incessant ; international ; étroit ; obsolescence ; aide ; afghan ; ante ; alpha
interpréter.v 128 :: joue ; incarner ; rôle ; an ; double ; ici ; jeu ; narrateur ; principal ; personnage
interpréter.v 157 :: traduire ; recevoir ; écrire ; écoute ; analyse ; accueillir ; enregistrer ; envoyer ; encaisse ; émettre
interpréter.v 260 :: comprendre ; interprétation ; apprécier ; faire ; décoder ; analyser ; lire ; entendre ; vivre ; évaluer
interpréter.v 267 :: comprendre ; entendre ; interprétation ; attribuer ; énoncer ; envisager ; observer ; concevoir ; vivre ; percevoir
interpréter.v 289 :: chanter ; incarner ; imaginer ; jouer ; animé ; orchestré ; servir ; habiter ; interprétation ; offrir
maintenir.v 94 :: raison ; soutenir ; indiquer ; déclarer ; tenir ; assurer ; décider ; fermement ; également ; insister
maintenir.v 113 :: inscrire ; présent ; enregistrer ; visible ; apposer ; disponible ; mentionner ; renseigner ; ajouter ; identifier
maintenir.v 154 :: garder ; fermement ; observer ; demeurer ; maintien ; renforcer ; persister ; solidement ; constamment ; obstinément
maintenir.v 175 :: préserver ; garder ; maintien ; demeurer ; conserver ; retenir ; mettre ; soutenir ; poursuivre ; conforter
maintenir.v 183 :: conserver ; garantir ; garder ; préserver ; assurer ; rester ; entretenir ; favoriser ; vivre ; demeurer
maintenir.v 207 :: conserver ; demeurer ; préserver ; maintien ; soutenir ; garder ; pérenniser ; retenir ; divertir ; replacer
maintenir.v 230 :: tenir ; avoir ; participation ; prochain ; personnellement ; pouvoir ; dernier ; également ; compte ; être
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; estime ; proposer ; prévoir ; rappeler ; réaffirmer ; garantir ; vouloir
maintenir.v 251 :: tenir ; conserve ; confirmer ; réitérer ; réaffirmer ; soutenir ; poursuivre ; répéter ; continuer ; reprendre
maintenir.v 281 :: soutien ; gage ; souligner ; affirmer ; vouloir ; croire ; déclarer ; relever ; dire ; réitérer
mince.a 17 :: épais ; fin ; étroit ; intime ; léger ; serrer ; réduit ; large ; petit ; faible
mince.a 96 :: fin ; régulier ; léger ; épais ; sec ; lisse ; continuer ; supérieur ; supplémentaire ; chimique
mince.a 147 :: léger ; faible ; complexe ; réussir ; fin ; épais ; simple ; riche ; sommaire ; présente
mince.a 170 :: léger ; petit ; faible ; fin ; réduire ; fragile ; étroit ; épais ; bon ; court
mince.a 192 :: film ; épais ; léger ; petit ; feuille ; rayure ; finement ; fibre ; fin ; légèrement
mince.a 202 :: fin ; épais ; double ; léger ; petit ; dernier ; supérieur ; nouveau ; moyen ; haut
mince.a 213 :: fin ; petit ; léger ; vêtement ; maigre ; épais ; égal ; presque ; légèrement ; déjà
mince.a 225 :: déjà ; honorable ; également ; avantage ; pourtant ; petit ; affaire ; caractère ; exploit ; certainement
mince.a 242 :: fin ; maigre ; haut ; bel ; étroit ; fragile ; faible ; franchir ; loin ; serrer
mince.a 292 :: fin ; épais ; léger ; conducteur ; souple ; dense ; invisible ; cristalline ; moyen ; flexible
modeste.a 29 :: minuscule ; petit ; misérable ; minable ; piètre ; paisible ; joli ; banal ; local ; minime
modeste.a 114 :: bon ; humble ; honnête ; pauvre ; vrai ; oui ; léger ; utile ; vivant ; petit
modeste.a 121 :: faible ; minime ; important ; petit ; significatif ; limité ; réduire ; restreindre ; infime ; minuscule
modeste.a 163 :: limité ; petit ; personnel ; minime ; léger ; nécessaire ; propre ; mesurer ; modérer ; modique
modeste.a 195 :: faible ; limité ; minime ; symbolique ; populaire ; aléatoire ; élevé ; pauvre ; précaire ; économique
modeste.a 197 :: petit ; salaire ; être ; rémunération ; retraite ; cotisation ; moyen ; chiffre ; honoraire ; indemnité
modeste.a 200 :: élevé ; limité ; priver ; petit ; immobilier ; politique ; cadre ; important ; populaire ; exemple
modeste.a 246 :: élevé ; important ; faible ; léger ; petit ; moindre ; inférieur ; relatif ; populaire ; politique
modeste.a 269 :: petit ; humble ; pauvre ; presque ; jeune ; bon ; honnête ; misérable ; devenir ; digne
modeste.a 283 :: humble ; digne ; discret ; honnête ; bel ; secret ; confidentiel ; populaire ; efficace ; fragile
montée.n 15 :: courbe ; poussée ; réduction ; côte ; droite ; tendance ; pente ; baisse ; victoire ; chute
montée.n 56 :: poussée ; progression ; montagne ; partie ; ligne ; pente ; augmentation ; vallée ; descente ; côte
montée.n 75 :: suite ; terrasse ; descente ; place ; entrée ; promenade ; balade ; présentation ; tour ; visite
