affection.n 8 :: développement ; territorial ; professionnel ; environnement ; enseignement ; international ; solidarité ; participation ; social ; éducation
aisé.a 253 :: intuitif ; faciliter ; effectif ; facile ; ardu ; simplifier ; évident ; étique ; effectuer ; simple
aisé.a 275 :: facile ; difficile ; évident ; ardu ; impossible ; simple ; avantageux ; compliqué ; habituel ; commun
arrêter.v 1 :: enlever ; stopper ; abandonner ; prendre ; fixer ; suspendre ; tuer ; arrêt ; bloquer ; capturer
arrêter.v 14 :: condamner ; incarcérer ; interpellé ; abattu ; licencié ; emprisonné ; tuer ; assassiner ; hospitaliser ; suspendre
arrêter.v 23 :: être ; excellent ; apercevoir ; englober ; aimable ; aimer ; étroit ; avantage ; adorer ; art
arrêter.v 25 :: laisse ; oublier ; piqu ; limite ; appuyer ; aimer ; pousse ; écrire ; ajouter ; abandonner
arrêter.v 50 :: faire ; prendre ; enlever ; abandonner ; apprendre ; voir ; quitter ; éteindre ; commencer ; créer
arrêter.v 181 :: dresse ; préparer ; établir ; vérifier ; complet ; présente ; approuver ; élaborer ; donne ; définir
arrêter.v 219 :: brûler ; tuer ; atteindre ; acheter ; attraper ; abattre ; développer ; faire ; fabriquer ; réduire
arrêter.v 273 :: définitivement ; interdire ; officiellement ; politique ; mort ; socialement ; ici ; arrêt ; fermement ; établir
arrêter.v 277 :: or ; an ; in ; os ; parer ; avoir ; us ; but ; point ; pré
arrêter.v 291 :: publier ; signer ; émettre ; décider ; établir ; communiqué ; adopter ; proposer ; donner ; paraître
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; force ; rapidité ; pouvoir ; vitesse ; possibilité ; capable
capacité.n 32 :: puissance ; activité ; chaîne ; technologie ; tête ; force ; unité ; quantité ; différence ; île
capacité.n 35 :: membre ; formation ; équipe ; spécialiste ; université ; médecin ; représentant ; résidence ; docteur ; clinique
capacité.n 70 :: puissance ; fréquentation ; surface ; rentabilité ; construction ; sécurité ; consommation ; performance ; place ; quantité
capacité.n 73 :: faculté ; compétence ; aptitude ; possibilité ; détermination ; souplesse ; force ; vue ; disponibilité ; dimension
capacité.n 101 :: qualité ; faculté ; fonction ; compétence ; puissance ; pouvoir ; propre ; liberté ; responsabilité ; vie
capacité.n 103 :: ressource ; activité ; disponibilité ; réserve ; stock ; installation ; norme ; infrastructure ; coût ; possibilité
capacité.n 110 :: quantité ; batterie ; fonction ; puissance ; réduction ; location ; garantie ; solution ; carte ; participation
capacité.n 135 :: faculté ; liberté ; marge ; puissance ; force ; possibilité ; pouvoir ; porter ; vigueur ; volonté
capacité.n 148 :: compétence ; aptitude ; faculté ; qualité ; formation ; maîtrise ; spécialisation ; certification ; connaissance ; maturité
commander.v 5 :: écrire ; réaliser ; dicter ; envoyer ; signer ; produit ; spécial ; publier ; accomplir ; confier
commander.v 9 :: commander ; acheter ; commencer ; réserver ; choisir ; sélectionner ; demander ; découvrir ; créer ; prendre
commander.v 16 :: recevoir ; combat ; ordonner ; diriger ; prendre ; consigne ; charge ; lancer ; forme ; conduire
commander.v 41 :: automatiquement ; ensuite ; vous ; progressivement ; commande ; rapidement ; commencer ; lentement ; aller ; passer
commander.v 48 :: gouverner ; diriger ; mener ; régir ; dominer ; contrôlent ; gérer ; créer ; régler ; déterminer
commander.v 117 :: commande ; dicter ; prescrire ; commandant ; permettre ; commandement ; vouloir ; compter ; demander ; réclamer
commander.v 164 :: demande ; instruction ; donne ; ordonner ; service ; parole ; devoir ; obligation ; contrat ; programme
commander.v 171 :: acquérir ; déguster ; commande ; admirer ; acheter ; essayer ; tester ; découvrir ; observer ; recevoir
commander.v 206 :: vouloir ; suggérer ; prévoir ; permettre ; tandis ; venir ; démontrer ; montrer ; souhaiter ; rappeler
commander.v 240 :: régler ; commande ; payer ; uniquement ; contrôler ; modifier ; personnaliser ; faire ; vous ; également
compris.a 52 :: précieux ; apprécier ; venir ; recevoir ; passer ; compréhensible ; aimer ; repérer ; pensée ; percevoir
compris.a 90 :: ajouter ; déclarer ; penser ; assurer ; indiquer ; écrire ; apprendre ; préciser ; reconnaître ; affirmer
compris.a 106 :: penser ; entendre ; apprendre ; vivre ; confirmer ; préciser ; deviner ; corrigé ; davantage ; comprendre
compris.a 185 :: inclure ; incorporer ; contenir ; présent ; entendre ; mentionner ; inscrire ; situer ; découvrir ; supérieur
compris.a 186 :: inclure ; présent ; mal ; excellent ; également ; perdre ; prendre ; donner ; partout ; absent
compris.a 187 :: inclure ; situer ; prendre ; estimer ; évaluer ; contenu ; définir ; répartir ; choisir ; variable
compris.a 211 :: inclus ; situer ; répartir ; mesurer ; convenable ; moyen ; contenir ; grouper ; varier ; partager
compris.a 232 :: inclure ; contenir ; inclus ; contenu ; prendre ; intégré ; également ; admettre ; comprendre ; clore
compris.a 272 :: saisir ; penser ; réaliser ; entendre ; prendre ; croire ; capter ; remarquer ; deviner ; aimer
compris.a 287 :: comprendre ; également ; apprécier ; marché ; expliquer ; parfaitement ; apprendre ; exemple ; clairement ; aimer
couverture.n 65 :: principal ; dernier ; manchette ; dune ; éditorial ; jeunesse ; page ; présente ; sommaire ; entier
couverture.n 67 :: vie ; peau ; chance ; mort ; route ; survie ; réputation ; carrière ; corde ; peine
couverture.n 72 :: toiture ; sol ; couvrir ; couvert ; toit ; revêtement ; surface ; terrasse ; housse ; base
couverture.n 143 :: couvrir ; assurance ; protection ; toiture ; photo ; complémentaire ; parfait ; complet ; définition ; sécurité
couverture.n 149 :: protection ; sécurité ; responsabilité ; vie ; surveillance ; gestion ; politique ; traitement ; connaissance ; défense
couverture.n 150 :: toiture ; couvrir ; rédaction ; pierre ; traduction ; édition ; dune ; livre ; résumé ; version
couverture.n 201 :: surveillance ; desserte ; pénétration ; sécurité ; couvrir ; conquête ; gestion ; protection ; transformation ; répartition
couverture.n 257 :: toiture ; sol ; construction ; revêtement ; remplacement ; transformation ; base ; protection ; fourniture ; charpente
couverture.n 265 :: couvrir ; serviette ; housse ; bâche ; véranda ; couette ; robe ; banquette ; veste ; commode
couverture.n 280 :: peau ; reliure ; forme ; voil ; lune ; tension ; jaquette ; magie ; photo ; porte
débit.n 64 :: automatique ; dépôt ; banque ; direct ; escompte ; découvrir ; bancaire ; retrait ; paiement ; poste
débit.n 87 :: montant ; coût ; contenu ; prix ; résultat ; crédit ; chargement ; revenu ; paiement ; flux
débit.n 115 :: niveau ; flux ; cours ; écoulement ; flot ; volume ; rythme ; poids ; nombre ; jet
débit.n 131 :: eau ; flux ; lit ; chambre ; système ; orifice ; moyen ; dépôt ; digue ; produit
débit.n 136 :: versant ; principal ; important ; naturel ; réel ; relatif ; futur ; cours ; hydraulique ; ancien
débit.n 168 :: compte ; virement ; automatique ; règlement ; crédit ; montant ; privilèg ; jet ; nécessaire ; versement
débit.n 169 :: niveau ; flux ; volume ; total ; prix ; poids ; contenu ; traitement ; nombre ; montant
débit.n 184 :: taux ; rythme ; potentiel ; intérêt ; maximum ; record ; capacité ; stockage ; total ; écart
débit.n 188 :: niveau ; cours ; flux ; apport ; rive ; débordement ; berge ; affluent ; volume ; dépôt
débit.n 205 :: lent ; flux ; temps ; accès ; écoulement ; long ; moyen ; mode ; continu ; binaire
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; présidence ; houlette ; maîtrise ; directrice ; forme ; performance
direction.n 111 :: management ; directeur ; gestion ; directrice ; général ; contrôle ; développement ; présidence ; diriger ; entreprise
direction.n 151 :: directrice ; directeur ; présidence ; maîtrise ; gestion ; supérieur ; équipe ; majorité ; rédaction ; maîtresse
direction.n 152 :: sens ; orientation ; tendance ; forme ; position ; constant ; nature ; ligne ; loi ; vitesse
direction.n 172 :: destination ; peut-être ; forme ; presque ; sûrement ; politique ; régulier ; nord ; doucement ; directeur
direction.n 176 :: conduite ; orientation ; comportement ; rapport ; diriger ; contrôle ; commande ; trajectoire ; transmission ; performance
direction.n 199 :: nouveau ; rédaction ; partir ; droite ; majorité ; gauche ; équipe ; politique ; porte ; ligne
direction.n 223 :: conduite ; composition ; gestion ; poursuite ; musique ; prise ; création ; progression ; forme ; formation
direction.n 262 :: directrice ; responsabilité ; directeur ; présidence ; conduite ; gestion ; coordination ; performance ; stratégie ; tête
direction.n 279 :: destination ; sens ; provenance ; plein ; diriger ; droite ; actuel ; principal ; nouveau ; nord
don.n 19 :: sens ; talent ; fonds ; style ; temps ; génie ; droit ; traire ; pouvoir ; jour
don.n 30 :: talent ; atout ; pouvoir ; trait ; oeil ; côté ; point ; sens ; bras ; qualité
don.n 36 :: talent ; goût ; pouvoir ; sens ; génie ; domaine ; sentiment ; souher ; lien ; désir
don.n 60 :: cadeau ; sacrifice ; travail ; bienfait ; produit ; service ; rendre ; patrimoine ; legs ; grâce
don.n 84 :: cadeau ; contribution ; fonds ; apport ; legs ; produit ; enfant ; bien ; versement ; animal
don.n 107 :: cadeau ; part ; grâce ; présent ; confiance ; offrir ; achat ; honneur ; proposition ; preuve
don.n 130 :: contribution ; fonds ; cadeau ; dépôt ; homme ; denier ; catholique ; généreux ; enfant ; offrande
don.n 196 :: génie ; droit ; talent ; pouvoir ; do ; traitement ; contraire ; trésor ; sens ; cadeau
don.n 244 :: cadeau ; mécénat ; bénévolat ; travail ; déchet ; soutien ; legs ; bon ; versement ; droit
don.n 245 :: travail ; témoignage ; legs ; objet ; talent ; ouvrage ; trésor ; reste ; apport ; site
entraîner.v 39 :: air ; étroit ; art ; illustre ; albanais ; immigré ; image ; irlandais ; aide ; arme
entraîner.v 47 :: obliger ; aider ; engager ; amener ; inciter ; aide ; encourager ; invite ; conduire ; contraindre
entraîner.v 55 :: international ; clip ; aide ; usage ; effectif ; indispensable ; art ; incorporation ; matériel ; interne
entraîner.v 57 :: eau ; air ; enseigner ; être ; enseignant ; éleveur ; image ; or ; engager ; islamiste
entraîner.v 133 :: air ; aide ; art ; image ; interne ; ancien ; animal ; eau ; ensemble ; énergie
entraîner.v 140 :: mener ; amener ; conduire ; envoyer ; pousser ; attirer ; porter ; emporter ; faire ; diriger
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; force ; inviter ; pousse ; amener ; commencer ; appeler
entraîner.v 161 :: conduire ; provoquer ; amener ; apparaître ; engendrer ; créer ; produire ; accentuer ; développer ; craindre
entraîner.v 162 :: amener ; provoquer ; conduire ; engendrer ; déclenche ; produit ; impliquer ; encourager ; favoriser ; assurer
entraîner.v 191 :: emporter ; amener ; engager ; emmener ; conduire ; mener ; envoyer ; exposer ; traîner ; précipiter
éplucher.v 10 :: peler ; finement ; détailler ; tailler ; presser ; récolter ; ensuite ; cueillir ; égoutter ; laver
éplucher.v 51 :: trouver ; écrire ; regarder ; travailler ; lire ; accès ; laisser ; ajouter ; éplucher ; découvrir
éplucher.v 69 :: étudier ; lire ; examiner ; analyser ; dévorer ; faire ; digérer ; rejeter ; relire ; revoir
éplucher.v 100 :: éplucher ; peler ; oignon ; finement ; coté ; ôter ; arracher ; grossièrement ; couper ; cuisiner
éplucher.v 119 :: fouillé ; éplucher ; parcourir ; regarder ; chercher ; lire ; survoler ; commander ; peser ; travailler
éplucher.v 167 :: feuille ; laver ; découper ; fruit ; racine ; couper ; regarder ; voir ; extrêmement ; oublier
éplucher.v 174 :: consulter ; lire ; voir ; regarder ; découvrir ; visiter ; vérifier ; parcourir ; effacer ; supprimer
éplucher.v 235 :: peler ; couper ; trancher ; préparer ; tailler ; creuser ; détailler ; découper ; nettoyer ; fendre
éplucher.v 236 :: éplucher ; déjà ; récolter ; forcément ; scrupuleusement ; entendre ; vraiment ; devoir ; savoir ; regarder
éplucher.v 258 :: peler ; blanchir ; laver ; égoutter ; rincer ; faire ; presser ; oignon ; cuire ; légume
espace.n 13 :: établissement ; international ; an ; art ; expérience ; usage ; centre ; étroit ; accueil ; ensemble
espace.n 27 :: air ; or ; usage ; immigré ; international ; image ; eau ; ancien ; art ; éternel
espace.n 79 :: coin ; office ; environnement ; outil ; zone ; emplacement ; module ; support ; ensemble ; lieu
espace.n 120 :: nouveau ; ajouter ; grand ; petit ; propre ; article ; utiliser ; moindre ; information ; excellent
espace.n 137 :: environnement ; information ; investissement ; entreprise ; international ; emplacement ; marché ; développement ; personnel ; enseignement
espace.n 142 :: air ; international ; afghan ; interne ; indien ; art ; étymologie ; image ; ancien ; atlantique
espace.n 180 :: lien ; partage ; donnée ; contenir ; information ; arbre ; échange ; présent ; enfant ; compte
espace.n 208 :: entreprise ; audit ; université ; euro ; article ; innombrable ; service ; international ; organe ; association
espace.n 229 :: petit ; service ; événement ; aménagement ; territoire ; développement ; environnement ; propre ; grand ; produit
espace.n 243 :: article ; coin ; écran ; ligne ; ensemble ; temps ; compte ; intervalle ; jeu ; emplacement
essuyer.v 11 :: rincer ; laver ; faire ; essuyer ; désinfection ; ouvrir ; fermer ; remplir ; rinçage ; plonger
essuyer.v 58 :: subir ; rencontrer ; constater ; avoir ; connaître ; recevoir ; croiser ; cumulé ; également ; encaisser
essuyer.v 77 :: légèrement ; côté ; presque ; essuie ; partie ; bord ; largement ; correctement ; par ; blanc
essuyer.v 81 :: essuie ; laver ; poli ; éponge ; faire ; encre ; soigneusement ; but ; effacer ; enduire
essuyer.v 86 :: presque ; passer ; continuer ; tenir ; faire ; essuie ; assurer ; obtenir ; arriver ; régler
essuyer.v 89 :: essuie ; subir ; recevoir ; revers ; afficher ; durement ; devoir ; malheureusement ; hier ; refuser
essuyer.v 98 :: faire ; encaisser ; recevoir ; perdre ; porter ; subir ; voir ; souffrir ; acheter ; manger
essuyer.v 166 :: sécher ; pépin ; noyau ; baie ; main ; peau ; peler ; consommer ; manger ; feuille
essuyer.v 215 :: subir ; recevoir ; accumuler ; recueillir ; récolter ; cumulé ; essuie ; lire ; frapper ; déjà
essuyer.v 266 :: retirer ; enlever ; laisser ; éviter ; assurer ; verser ; couvrir ; fermer ; veiller ; tamis
faucher.v 12 :: jeter ; reconduire ; tracée ; presque ; bêtement ; écraser ; emmener ; allègrement ; faussement ; fa
faucher.v 42 :: découverte ; peut-être ; acquérir ; également ; ajouter ; déjà ; travailler ; atteindre ; enregistrer ; vraiment
faucher.v 116 :: semer ; mordre ; pisser ; arroser ; allègrement ; dévaster ; ravager ; assassiner ; travailler ; dépouiller
faucher.v 160 :: tombe ; séparer ; out ; être ; capture ; ch ; coûter ; atteindre ; divorce ; trouver
faucher.v 214 :: presque ; faire ; extrêmement ; travailler ; mieux ; mauvais ; acheter ; mal ; vivre ; dommage
faucher.v 239 :: servir ; presque ; acheter ; jeter ; plein ; déjà ; donne ; partager ; donner ; frais
faucher.v 248 :: brise ; abattre ; taire ; blesse ; marque ; renverse ; coupe ; presque ; poursuivre ; casser
faucher.v 276 :: semer ; abattre ; couper ; alterner ; piquer ; planter ; arracher ; récolter ; reconnaître ; pousser
faucher.v 282 :: marque ; trouver ; donne ; légèrement ; magnifiquement ; remplacer ; centre ; laisse ; joliment ; provoquer
faucher.v 290 :: passer ; planter ; déjà ; fou ; perdre ; solitaire ; croiser ; abattre ; olivier ; fin
fonder.v 6 :: fondre ; créer ; former ; diriger ; organiser ; faire ; forme ; être ; préside ; bâtir
fonder.v 7 :: motiver ; force ; traverser ; conditionne ; guide ; sous-tendre ; porte ; cadre ; légitime ; marque
fonder.v 54 :: base ; trouver ; bâtir ; construire ; puiser ; gagner ; appuyer ; affirmer ; prendre ; forge
fonder.v 66 :: rejoindre ; ferme ; quitte ; formule ; joindre ; commencer ; fond ; installer ; intégrer ; traverser
fonder.v 88 :: club ; camp ; centre ; joindre ; marque ; finalement ; rejoindre ; aventure ; bureau ; ensemble
fonder.v 93 :: traverser ; constituer ; force ; forme ; base ; forge ; motiver ; caractériser ; conditionne ; faire
fonder.v 158 :: base ; repose ; focaliser ; fond ; forge ; baser ; bâtir ; ferme ; appuyer ; cale
fonder.v 212 :: former ; créer ; contracter ; faire ; construire ; développer ; composer ; constituer ; devenir ; fabriquer
fonder.v 264 :: définir ; vraiment ; motiver ; traverser ; forme ; bâtir ; limite ; force ; marque ; compte
fonder.v 286 :: compte ; développer ; réunir ; ouvrir ; créer ; diriger ; fabrique ; installer ; ferme ; rassembler
grossier.a 24 :: erreur ; méchanceté ; ment ; idée ; tentative ; main ; construction ; tâche ; intention ; manière
grossier.a 37 :: fin ; grossièrement ; vulgaire ; monter ; vicieux ; répéter ; jamais ; racial ; doublé ; fabriqué
grossier.a 85 :: agressif ; violent ; brutal ; méchant ; sévère ; dister ; rude ; arrogant ; vache ; dangereux
grossier.a 108 :: fin ; tendre ; profond ; bitumineux ; dur ; local ; léger ; creux ; mobile ; osseux
grossier.a 134 :: léger ; grave ; subtil ; petit ; gros ; vulgaire ; bon ; sérieux ; évident ; sensible
grossier.a 179 :: petit ; vulgaire ; manière ; impression ; mode ; correction ; publicité ; présomption ; ignoble ; faux
grossier.a 227 :: ridicule ; vicieux ; arrogant ; poli ; franc ; vous ; hypocrite ; agressif ; vulgaire ; incorrect
grossier.a 228 :: vulgaire ; pauvre ; vicieux ; barbare ; déplacer ; sexuel ; fait ; sexiste ; pervers ; coupable
grossier.a 231 :: humain ; coupable ; matériel ; vulgaire ; terrestre ; profane ; superficiel ; commune ; public ; personnel
grossier.a 300 :: faute ; stupide ; erreur ; peut-être ; malheureusement ; demeurer ; rester ; faire ; indigne ; voire
hermétique.a 203 :: obscur ; opaque ; mystère ; inquiétant ; mystérieux ; jusque-là ; rester ; confidentiel ; abstrait ; pointue
hermétique.a 71 :: étanche ; fermer ; énigmatique ; imperméable ; effrayant ; défensif ; opaque ; mystérieux ; vicieux ; clé
hermétique.a 99 :: fermer ; étanche ; sceller ; plastique ; intérieur ; alimentaire ; solide ; presque ; opaque ; chinois
hermétique.a 126 :: étanche ; insensible ; réfractaire ; imperméable ; allergique ; perméable ; accrocher ; collé ; sensible ; aveugle
hermétique.a 127 :: incompréhensible ; magique ; complètement ; presque ; religieux ; noir ; fermé ; philosophique ; illisible ; mystique
hermétique.a 220 :: fermer ; opaque ; étancher ; clos ; étroitement ; extrêmement ; garder ; rigide ; rester ; obscur
hermétique.a 226 :: insensible ; muet ; étranger ; étanche ; fermer ; imperméable ; sourd ; face ; associer ; sensible
hermétique.a 261 :: magique ; fermer ; opaque ; incompréhensible ; étanche ; poli ; froid ; presque ; automatique ; invisible
hermétique.a 278 :: plastique ; chimique ; alimentaire ; solide ; étanche ; tomate ; interne ; métallique ; boîte ; blanc
hermétique.a 204 :: secret ; clé ; maçonnerie ; porte ; maçon ; parfaitement ; étancher ; sceller ; solide ; sûr
incorrect.a 45 :: utile ; estimer ; actif ; global ; opérationnel ; oreille ; juger ; mal ; con ; in
incorrect.a 125 :: sensiblement ; us ; immédiatement ; ante ; actuellement ; également ; habituel ; semblable ; cohérent ; disponible
incorrect.a 132 :: an ; radio ; côté ; également ; mois ; second ; déjà ; cours ; hier ; mal
incorrect.a 156 :: parfaitement ; totalement ; vraiment ; juger ; presque ; également ; complètement ; humaine ; politiquement ; devenir
incorrect.a 159 :: utilisation ; responsabilité ; applicabilité ; pratique ; conformité ; application ; activité ; faute ; qualité ; expérience
incorrect.a 177 :: erroné ; arbitraire ; correct ; aléatoire ; déterminer ; précis ; ridicule ; donner ; injuste ; irrégulier
incorrect.a 217 :: ici ; politiquement ; stupide ; correct ; volontairement ; délicat ; intéressant ; vulgaire ; négativement ; léger
incorrect.a 241 :: vraiment ; totalement ; complètement ; parfaitement ; dire ; apparemment ; presque ; également ; forcément ; fort
incorrect.a 298 :: déçu ; correct ; mauvais ; inutile ; vrai ; exact ; décevant ; approximatif ; intéressant ; ridicule
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; transmettre ; financier ; important ; identifiabler ; sensible ; donnée ; électronique
intérêt.n 63 :: avis ; objectif ; enjeu ; élément ; camp ; adversaire ; axe ; idéologie ; opinion ; analyse
intérêt.n 97 :: article ; entier ; ensemble ; emploi ; état ; église ; objet ; évolution ; entreprise ; groupe
intérêt.n 129 :: international ; étroit ; or ; énergie ; externe ; air ; aide ; art ; efficace ; emploi
intérêt.n 146 :: or ; air ; art ; image ; aide ; évolution ; international ; ensemble ; énergie ; eau
intérêt.n 155 :: article ; espace ; utilisateur ; appareil ; nouveau ; entreprise ; effectif ; audit ; avis ; éventuel
intérêt.n 218 :: intéressant ; côté ; important ; avantage ; double ; faible ; grand ; utilité ; énorme ; évident
intérêt.n 263 :: propre ; clip ; principal ; air ; groupe ; cor ; matériel ; meilleur ; suer ; double
intérêt.n 268 :: nouveau ; clip ; éternel ; propre ; image ; véritable ; usage ; pierre ; présent ; matériel
intérêt.n 271 :: être ; âge ; article ; air ; armure ; animal ; aide ; étape ; exemple ; origine
intérêt.n 297 :: aide ; guide ; air ; enseigner ; art ; clip ; petit ; image ; animal ; ensemble
interpréter.v 18 :: chanter ; jouer ; interprétation ; enregistrer ; offrir ; arranger ; raconter ; reprendre ; inspirer ; présenter
interpréter.v 21 :: arranger ; adapter ; jouer ; interprétation ; écrire ; enregistrer ; écouter ; soignant ; reprendre ; illustrer
interpréter.v 59 :: faire ; ensuite ; également ; accompagner ; expliquer ; remplacer ; ici ; promouvoir ; comprendre ; penser
interpréter.v 80 :: aide ; image ; aller ; or ; clip ; art ; effet ; ensemble ; usage ; accueil
interpréter.v 123 :: international ; obliger ; illustre ; aide ; art ; or ; usage ; étroit ; excellent ; étymologie
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; offrir ; camper ; in ; assurer ; apparaître ; double
interpréter.v 157 :: recevoir ; accueillir ; traite ; analyse ; encaisse ; traduire ; envoyer ; lisse ; émettre ; influence
interpréter.v 260 :: comprendre ; évaluer ; interprétation ; analyser ; décoder ; faire ; exploiter ; expliquer ; visualiser ; décrypter
interpréter.v 267 :: interprétation ; comprendre ; considérer ; percevoir ; vivre ; entendre ; garder ; définir ; attribuer ; présenter
interpréter.v 289 :: merveilleusement ; incarner ; animé ; principalement ; aussitôt ; chanter ; quotidiennement ; jouer ; imaginer ; coté
maintenir.v 94 :: préciser ; ajouter ; écrire ; affirmer ; déclarer ; soutenir ; apprendre ; souligner ; expliquer ; indiquer
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; référencer ; mentionner ; signaler ; identifier ; cité ; lister
maintenir.v 154 :: olivier ; serre ; pro ; pin ; chèvre ; lin ; pêche ; attirer ; peser ; agneau
maintenir.v 175 :: préserver ; demeurer ; garder ; retenir ; conserver ; conforter ; fortifier ; persuader ; maintien ; divertir
maintenir.v 183 :: conserver ; garantir ; assurer ; garder ; préserver ; entretenir ; maintien ; perdurer ; rester ; demeurer
maintenir.v 207 :: garder ; maintien ; demeurer ; préserver ; conserver ; rester ; soutenir ; retenir ; soigner ; poursuivre
maintenir.v 230 :: tenir ; pouvoir ; venir ; être ; dernier ; clientèle ; compte ; double ; héritage ; ben
maintenir.v 234 :: réaffirmer ; prévoir ; soutenir ; souhaiter ; affirmer ; proposer ; considérer ; vouloir ; garantir ; estime
maintenir.v 251 :: tenir ; réaffirmer ; conserve ; soutenir ; réitérer ; confirmer ; poursuivre ; défendre ; reprendre ; appuyer
maintenir.v 281 :: tenir ; position ; rester ; soutien ; reston ; compte ; gage ; bref ; place ; dernier
mince.a 17 :: fin ; léger ; presque ; mesure ; peut-être ; légèrement ; épais ; élégant ; lisse ; également
mince.a 96 :: régulier ; fin ; continuer ; idéal ; égal ; professionnel ; supérieur ; parfait ; moyen ; important
mince.a 147 :: simple ; tendre ; dense ; facile ; léger ; compliqué ; complexe ; fin ; sombre ; réussir
mince.a 170 :: fin ; maigre ; golden ; légèrement ; an ; être ; louis ; taille ; tendre ; per
mince.a 192 :: feuille ; fibre ; flocon ; léger ; papier ; cristal ; note ; gramme ; fin ; petit
mince.a 202 :: fin ; léger ; nouveau ; épais ; dernier ; petit ; second ; long ; couche ; double
mince.a 213 :: vêtement ; léger ; fin ; petit ; déjà ; épaule ; légèrement ; presque ; jumeau ; épais
mince.a 225 :: résultat ; salut ; secours ; petit ; score ; bon ; cadeau ; problème ; rôle ; événement
mince.a 242 :: fin ; loin ; franchir ; fragile ; étroit ; poreux ; chose ; lisse ; maigre ; perméable
mince.a 292 :: fin ; léger ; épais ; physique ; intermédiaire ; poreux ; moyen ; sonore ; organique ; cristalline
modeste.a 29 :: minuscule ; petit ; misérable ; humble ; minime ; simple ; minable ; insignifiant ; dérisoire ; grand
modeste.a 114 :: humble ; petit ; discret ; pauvre ; honnête ; vivant ; bon ; poli ; insignifiant ; généreux
modeste.a 121 :: important ; faible ; élevé ; significatif ; modérer ; timide ; limité ; réduire ; mesurer ; minime
modeste.a 163 :: petit ; faible ; minime ; bel ; important ; limité ; spectaculaire ; personnel ; dérisoire ; timide
modeste.a 195 :: limité ; minime ; faible ; élevé ; important ; restreindre ; misérable ; économique ; maigre ; considérable
modeste.a 197 :: pauvre ; faible ; maigre ; fragile ; aisé ; important ; jeune ; revenu ; économique ; local
modeste.a 200 :: limité ; temps ; restreindre ; prudent ; simple ; réduire ; léger ; élevé ; prix ; faible
modeste.a 246 :: élevé ; important ; faible ; léger ; relatif ; marchand ; respectable ; inférieur ; industriel ; populaire
modeste.a 269 :: humble ; petit ; jeune ; pauvre ; digne ; honnête ; misérable ; malheureux ; noble ; simple
modeste.a 283 :: humble ; digne ; discret ; honnête ; simple ; efficace ; élégant ; sérieux ; sincère ; populaire
montée.n 15 :: progression ; courbe ; côte ; descente ; monte ; ascension ; vie ; pente ; partie ; chaîne
montée.n 56 :: descente ; montagne ; augmentation ; progression ; accumulation ; poussée ; pente ; chute ; partie ; transformation
montée.n 75 :: descente ; promotion ; dernier ; suite ; accession ; journée ; ascension ; monte ; victoire ; progression
montée.n 138 :: gestion ; performance ; évolution ; hausse ; construction ; puissance ; complexité ; maintenance ; demande ; vie
