affection.n 8 :: disposition ; occasion ; considération ; maladie ; institution ; affectation ; dernier ; observation ; instruction ; opération
arrêter.v 23 :: apercevoir ; aimer ; être ; avantage ; excellent ; assurance ; arme ; effectuer ; âge ; accès
arrêter.v 25 :: laisse ; taire ; faire ; mettre ; trouver ; aimer ; donne ; bon ; tuer ; tombe
arrêter.v 50 :: arrêt ; faire ; appeler ; enlever ; donner ; tuer ; interrompre ; prendre ; terme ; éteindre
arrêter.v 181 :: dresse ; complet ; modifier ; contenir ; affiche ; comprendre ; établir ; continuer ; donne ; présente
arrêter.v 219 :: tuer ; atteindre ; attraper ; faire ; frapper ; abattre ; aider ; développer ; acheter ; bloquer
arrêter.v 273 :: prendre ; condamner ; capturer ; interpeller ; assassiner ; emprisonner ; exécuter ; suspendre ; écrire ; juger
arrêter.v 277 :: parer ; falloir ; or ; point ; but ; canada ; in ; us ; pi ; bon
arrêter.v 291 :: publier ; décider ; établir ; émettre ; signer ; accorder ; délivrer ; acquérir ; autoriser ; adopter
capacité.n 26 :: faculté ; puissance ; disponibilité ; rapidité ; dimension ; flexibilité ; possibilité ; pouvoir ; extraordinaire ; force
capacité.n 32 :: puissance ; force ; quantité ; tête ; raison ; base ; différence ; gamme ; activité ; dimension
capacité.n 35 :: membre ; associer ; personne ; salarié ; employé ; université ; an ; voire ; chercheur ; reconnaître
capacité.n 70 :: puissance ; quantité ; surface ; disponibilité ; consommation ; fréquentation ; disposition ; performance ; nombre ; propriété
capacité.n 73 :: faculté ; compétence ; possibilité ; souplesse ; force ; flexibilité ; détermination ; aptitude ; responsabilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; fonction ; faculté ; liberté ; responsabilité ; pouvoir ; vie ; vertu
capacité.n 103 :: possibilité ; chaîne ; surface ; coût ; activité ; ressource ; disponibilité ; installation ; quantité ; unité
capacité.n 110 :: puissance ; quantité ; batterie ; réserve ; possibilité ; participation ; utilisation ; solution ; garantie ; configuration
capacité.n 135 :: hilaire ; faire ; tandem ; offrir ; montagne ; marina ; lift ; voilier ; parer ; diane
capacité.n 148 :: professionnel ; donne ; juridique ; plein ; humaine ; donner ; présente ; avoir ; pratique ; international
commander.v 5 :: écrire ; publier ; vouloir ; payer ; dicter ; tenir ; achever ; envoyer ; éditer ; demander
commander.v 9 :: commander ; rapidement ; déjà ; commencer ; facilement ; acheter ; vite ; vous ; simplement ; ici
commander.v 16 :: ordonner ; diriger ; commandant ; demande ; conduire ; présente ; commanda ; recevoir ; prendre ; signe
commander.v 41 :: commencer ; automatiquement ; rapidement ; ensuite ; lentement ; commandant ; effectuer ; immédiatement ; vous ; manuellement
commander.v 48 :: contrôlent ; diriger ; gérer ; créer ; financer ; déterminer ; tirer ; dominer ; gouverner ; mener
commander.v 117 :: commande ; dicter ; compter ; vouloir ; comporte ; réclamer ; valoir ; conseillent ; permettre ; prescrire
commander.v 164 :: ordonner ; dicter ; demande ; obéir ; enseigne ; imposer ; commanda ; prescrire ; conseiller ; nuit
commander.v 171 :: acheter ; déguster ; commande ; acquérir ; admirer ; manger ; tester ; apprécier ; découvrir ; goûter
commander.v 206 :: venir ; vouloir ; tandis ; défense ; imaginer ; être ; impliquer ; permettre ; demander ; assurer
commander.v 240 :: commande ; faire ; régler ; payer ; personnaliser ; ajouter ; également ; imprimer ; contrôler ; uniquement
compris.a 52 :: accepter ; assimiler ; interpréter ; entendre ; vivre ; expliquer ; lire ; compréhensible ; percevoir ; enseigner
compris.a 90 :: réaliser ; sentir ; saisir ; reconnaître ; croire ; apprendre ; percevoir ; penser ; considérer ; estimer
compris.a 106 :: deviner ; entendre ; comprendre ; aimer ; vivre ; penser ; vouloir ; vous ; percevoir ; sentir
compris.a 185 :: quelques-uns ; chose ; inclure ; également ; participation ; ci ; ensemble ; davantage ; présent ; ci-dessous
compris.a 186 :: situer ; entrer ; inclure ; inscrire ; sortir ; présent ; rester ; déjà ; absent ; heureux
compris.a 187 :: inclure ; sommaire ; complet ; expliquer ; ici ; également ; comprendre ; français ; essentiel ; partout
compris.a 211 :: répartir ; situer ; mesurer ; grouper ; inclus ; maintenir ; évaluer ; plongée ; intermédiaire ; varier
compris.a 232 :: inclure ; également ; prix ; généralement ; contenu ; compter ; prendre ; intégré ; marché ; ensemble
compris.a 272 :: saisir ; comprendre ; réaliser ; entendre ; penser ; intégré ; croire ; apprécier ; sentir ; capter
compris.a 287 :: comprendre ; apprécier ; aimer ; intégré ; expliquer ; inclure ; saisir ; apprendre ; rire ; percevoir
couverture.n 65 :: dossier ; numéro ; rédaction ; dernier ; sommaire ; moitié ; page ; éditorial ; sélection ; série
couverture.n 67 :: vie ; peau ; survie ; chance ; chemise ; carrière ; réputation ; veste ; place ; corde
couverture.n 72 :: tatouage ; peau ; jeu ; produit ; sol ; contenu ; fond ; toiture ; carte ; fondation
couverture.n 143 :: bref ; couvrir ; manchette ; fort ; page ; case ; éditorial ; photo ; vedette ; honneur
couverture.n 149 :: sécurité ; protection ; gestion ; vie ; caisse ; partie ; stratégie ; responsabilité ; ligne ; garantie
couverture.n 150 :: toiture ; couvrir ; tuile ; charpente ; dalle ; pierre ; voûte ; toit ; calott ; brique
couverture.n 201 :: surveillance ; desserte ; protection ; sécurité ; couvrir ; pénétration ; définition ; défense ; disponibilité ; gestion
couverture.n 257 :: construction ; bois ; remplacement ; toiture ; terre ; base ; sol ; protection ; fourniture ; charpente
couverture.n 265 :: couvrir ; cape ; housse ; bâche ; voil ; serviette ; protection ; corde ; paille ; robe
couverture.n 280 :: pochette ; peau ; jaquette ; carapace ; étiquette ; photo ; principal ; housse ; moitié ; fin
débit.n 64 :: faciliter ; crédit ; terme ; direct ; banque ; dépôt ; facile ; escompte ; commerce ; courant
débit.n 87 :: café ; temps ; jet ; passage ; jus ; volume ; gros ; cours ; tir ; bar
débit.n 115 :: élevé ; haut ; qualité ; important ; fort ; réel ; régulier ; supérieur ; niveau ; gros
débit.n 131 :: eau ; nappe ; niveau ; bassin ; lac ; couche ; chambre ; réservoir ; système ; digue
débit.n 136 :: cours ; flux ; crue ; apport ; eau ; chiffre ; affluent ; prix ; valeur ; niveau
débit.n 168 :: compte ; montant ; banque ; bancaire ; automatique ; détail ; devoir ; créancier ; faciliter ; crédit
débit.n 169 :: montant ; cours ; prix ; résultat ; coût ; niveau ; financement ; rendement ; flux ; traitement
débit.n 184 :: taux ; score ; rythme ; rendement ; intérêt ; ratio ; vitesse ; record ; potentiel ; chiffre
débit.n 188 :: précipitation ; flux ; crue ; capture ; apport ; rejet ; arriver ; dépôt ; mouvement ; inondation
débit.n 205 :: flux ; rythme ; tempo ; écoulement ; service ; trafic ; mouvement ; accès ; temps ; caractère
direction.n 78 :: conduite ; responsabilité ; houlette ; présidence ; coordination ; diriger ; maîtrise ; route ; performance ; surveillance
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; organisation ; tête ; main ; gestion ; tradition ; équipe
direction.n 151 :: directrice ; gestion ; présidence ; directeur ; rédaction ; président ; équipe ; management ; compagnie ; coopératif
direction.n 152 :: ligne ; orientation ; tendance ; sens ; conduite ; forme ; diriger ; droite ; constant ; déviation
direction.n 172 :: rejoindre ; destination ; bonjour ; peut-être ; gagner ; forme ; pied ; direct ; finalement ; diriger
direction.n 176 :: conduite ; rapport ; contrôle ; gouverne ; sécurité ; fouet ; déviation ; vitesse ; attitude ; forme
direction.n 199 :: équipe ; rédaction ; encadrement ; management ; nouveau ; coach ; manager ; entraîneur ; ligne ; groupe
direction.n 223 :: directeur ; orientation ; directrice ; coordination ; général ; nouveau ; principal ; organisation ; responsable ; administratif
direction.n 262 :: responsabilité ; directrice ; tête ; gestion ; charge ; conduite ; directeur ; maîtrise ; stratégie ; main
direction.n 279 :: destination ; sens ; provenance ; faveur ; raison ; venir ; face ; province ; vallée ; région
don.n 19 :: sens ; talent ; souci ; style ; temps ; génie ; coup ; droit ; degré ; pouvoir
don.n 30 :: talent ; atout ; oeil ; pouvoir ; instinct ; élan ; côté ; trait ; sens ; bras
don.n 36 :: talent ; sens ; pouvoir ; génie ; droit ; développement ; pencher ; goût ; sentiment ; charisme
don.n 60 :: cadeau ; sacrifice ; bon ; travail ; produit ; point ; commerce ; transfert ; sacrement ; projet
don.n 84 :: apport ; legs ; cadeau ; fonds ; déchet ; soutien ; enfant ; achat ; contribution ; salarié
don.n 107 :: cadeau ; prix ; achat ; présent ; nombre ; état ; confiance ; preuve ; dessin ; cas
don.n 130 :: contribution ; cadeau ; fonds ; vocation ; enfant ; bénéficiaire ; généreux ; ami ; croyant ; lien
don.n 196 :: talent ; génie ; pouvoir ; mérite ; tort ; temps ; chic ; truc ; secret ; rôle
don.n 244 :: cadeau ; geste ; souher ; legs ; dépôt ; bon ; soutien ; parrainage ; mécénat ; dom
don.n 245 :: talent ; trésor ; être ; vase ; cadeau ; témoignage ; pouvoir ; site ; objet ; présent
entraîner.v 39 :: air ; international ; art ; interne ; aide ; afghan ; externe ; étymologie ; adjectif ; image
entraîner.v 47 :: aide ; aider ; obliger ; encourager ; engager ; amener ; apprendre ; inciter ; viser ; conduire
entraîner.v 55 :: air ; externe ; aide ; or ; afghan ; efficace ; international ; interne ; min ; mol
entraîner.v 57 :: utilisateur ; or ; eau ; emploi ; air ; effectif ; efficace ; obliger ; américain ; autant
entraîner.v 133 :: ancien ; air ; animal ; aide ; art ; image ; irremplaçable ; international ; eau ; interne
entraîner.v 140 :: amener ; envoyer ; mener ; conduire ; engager ; pousser ; attirer ; lancer ; emporter ; partir
entraîner.v 144 :: pousse ; obliger ; conduire ; engager ; encourager ; force ; amener ; invite ; inciter ; porte
entraîner.v 161 :: conduire ; provoquer ; amener ; engendrer ; pallier ; causer ; apparaître ; créer ; produire ; nécessairement
entraîner.v 162 :: amener ; provoquer ; assurer ; encourager ; conduire ; favoriser ; engendrer ; accentuer ; actif ; influence
entraîner.v 191 :: emporter ; jeter ; amener ; attirer ; précipiter ; mener ; traîner ; porter ; emmener ; conduire
éplucher.v 10 :: peler ; identifier ; sélectionner ; nettoyer ; conseiller ; presser ; affiner ; ouvrir ; arracher ; couper
éplucher.v 51 :: regarder ; lire ; éplucher ; analyser ; fouillé ; examiner ; parcourir ; soigneusement ; attentivement ; étudier
éplucher.v 69 :: soigneusement ; lire ; examiner ; attentivement ; faire ; regarder ; minutieusement ; longuement ; consulter ; scrupuleusement
éplucher.v 100 :: éplucher ; écraser ; ôter ; retourner ; récolter ; laver ; peler ; peser ; arracher ; écarter
éplucher.v 119 :: parcourir ; éplucher ; fouillé ; regarder ; dévorer ; lire ; entendre ; longuement ; étudier ; allègrement
éplucher.v 167 :: laisser ; aller ; oublier ; penser ; regarder ; être ; également ; faire ; vraiment ; prendre
éplucher.v 174 :: faire ; également ; passer ; vite ; partager ; profil ; fiche ; aimer ; déjà ; effacer
éplucher.v 235 :: peler ; tailler ; faire ; cueillir ; arracher ; affiner ; acheter ; nettoyer ; ouvrir ; écraser
éplucher.v 236 :: aller ; récolter ; éplucher ; devoir ; également ; fouillé ; déjà ; savoir ; ensuite ; longuement
éplucher.v 258 :: peler ; cueillir ; faire ; préparer ; égoutter ; récolter ; passer ; laver ; blanchir ; fraise
espace.n 13 :: or ; ensemble ; international ; établissement ; accueil ; immeuble ; ouverture ; art ; ancien ; origine
espace.n 27 :: air ; image ; obliger ; ancien ; aide ; or ; étranger ; international ; art ; interne
espace.n 79 :: grand ; lieu ; zone ; important ; agréable ; support ; environnement ; idéal ; ensemble ; coin
espace.n 120 :: air ; article ; énergie ; excellent ; étroit ; endroit ; ajouter ; apercevoir ; utilisateur ; or
espace.n 137 :: environnement ; information ; entreprise ; développement ; enseignement ; investissement ; organisation ; instrument ; marché ; emplacement
espace.n 142 :: air ; international ; étroit ; étymologie ; externe ; art ; interne ; actuel ; afghan ; an
espace.n 180 :: temps ; champ ; partage ; lien ; territoire ; échange ; marge ; vide ; place ; contenir
espace.n 208 :: ancien ; article ; entreprise ; euro ; innombrable ; association ; année ; exploitation ; établissement ; université
espace.n 229 :: propre ; événement ; projet ; petit ; aménagement ; investissement ; produit ; service ; équipement ; environnement
espace.n 243 :: article ; ensemble ; coin ; ligne ; page ; enregistrement ; contenu ; domaine ; enfant ; journal
essuyer.v 11 :: laver ; essuyer ; faire ; ensuite ; abondamment ; avoir ; soigneusement ; passer ; essuie ; rincer
essuyer.v 58 :: subir ; rencontrer ; constater ; remarquer ; enregistrer ; trouver ; connaître ; recevoir ; rencontre ; régler
essuyer.v 77 :: essuie ; dépit ; larme ; lav ; presque ; pleurer ; avoir ; effacer ; eau ; verse
essuyer.v 81 :: essuie ; poli ; propre ; éponge ; sec ; torchon ; enduire ; linge ; ment ; sil
essuyer.v 86 :: ligne ; passer ; devoir ; recevoir ; internet ; donne ; laisse ; libre ; complet ; répondre
essuyer.v 89 :: refus ; face ; durement ; revers ; avoir ; ici ; dur ; clairement ; essuie ; gros
essuyer.v 98 :: faire ; encaisser ; découvrir ; recevoir ; voir ; subir ; perdre ; manger ; gagner ; prendre
essuyer.v 166 :: sécher ; pépin ; agrume ; main ; légume ; baie ; jus ; noyau ; éplucher ; rafraîchir
essuyer.v 215 :: recevoir ; subir ; encaisser ; cumulé ; accumuler ; connaître ; enchaîner ; obtenir ; déjà ; enregistrer
essuyer.v 266 :: enlever ; retirer ; éviter ; laisser ; nettoyer ; soigneusement ; essuie ; verser ; mettre ; laver
faucher.v 12 :: presque ; tuer ; jeter ; briser ; publier ; écraser ; abattre ; poussée ; bientôt ; assassiner
faucher.v 42 :: dernier ; personne ; entreprise ; donnée ; propriétaire ; être ; premier ; découverte ; commune ; nouveau
faucher.v 116 :: semer ; pousser ; abattre ; dévaster ; travailler ; couper ; détruire ; ravager ; lancer ; donner
faucher.v 160 :: jeunesse ; chia ; an ; amour ; falloir ; rivière ; piqu ; trouver ; milieu ; chute
faucher.v 214 :: faire ; travailler ; vivre ; voir ; extrêmement ; mieux ; acheter ; mauvais ; presque ; vraiment
faucher.v 239 :: presque ; cassé ; acheter ; trouver ; volée ; peut-être ; planter ; retrouver ; servir ; plein
faucher.v 248 :: photo ; marque ; contribution ; profil ; laisse ; photographie ; nouveau ; famille ; compte ; infraction
faucher.v 276 :: abattre ; semer ; couper ; récolter ; planter ; pousser ; cueillir ; tailler ; arracher ; battre
faucher.v 282 :: joliment ; remplacer ; tromp ; marque ; frappe ; trouver ; éliminer ; magnifiquement ; piqu ; laisse
faucher.v 290 :: briser ; abattre ; fatal ; dernier ; chute ; hache ; tuer ; écraser ; planter ; hacher
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; faire ; tenir ; ouvrir ; bâtir
fonder.v 7 :: conditionne ; force ; appuyer ; construire ; cadre ; base ; constituer ; définir ; caractériser ; socle
fonder.v 54 :: base ; construire ; trouver ; appuyer ; tire ; tenir ; puiser ; ancre ; gagner ; repose
fonder.v 66 :: ferme ; commencer ; traverser ; fond ; rejoindre ; quitte ; forme ; finir ; fondation ; formule
fonder.v 88 :: intégrer ; ouvrir ; créer ; commencer ; finance ; développer ; diriger ; forme ; installer ; rejoindre
fonder.v 93 :: conditionne ; constituer ; force ; traverser ; base ; forme ; définir ; appuyer ; valide ; formule
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; forge ; fond ; baser ; appuyer ; réfugier ; fonctionner
fonder.v 212 :: faire ; fondation ; fondre ; former ; définir ; fabriquer ; créer ; développer ; constituer ; formule
fonder.v 264 :: valide ; base ; construire ; définir ; appuyer ; marque ; force ; traverser ; constituer ; forme
fonder.v 286 :: fabrique ; forme ; diriger ; créer ; réunir ; rassembler ; compte ; développer ; forge ; fond
grossier.a 24 :: stupide ; évident ; complet ; ridicule ; flagrant ; absurde ; formel ; simple ; radical ; courant
grossier.a 37 :: répandre ; avancer ; simple ; évident ; complet ; profond ; parfait ; élémentaire ; exact ; élevé
grossier.a 85 :: vicieux ; fin ; agressif ; tendre ; vulgaire ; tape ; technique ; enfantin ; travailler ; gras
grossier.a 108 :: objet ; caillou ; déchet ; produit ; matériau ; étranger ; grossièrement ; végétal ; élément ; animal
grossier.a 134 :: léger ; subtil ; petit ; long ; lourd ; sérieux ; grand ; évident ; gros ; faible
grossier.a 179 :: accusation ; énorme ; grave ; grand ; opération ; tentative ; honteux ; immonde ; forme ; profond
grossier.a 227 :: poli ; vulgaire ; franc ; arrogant ; agressif ; clair ; blessant ; maladroit ; rude ; simple
grossier.a 228 :: commentaire ; mensonge ; témoignage ; procédé ; sentiment ; fait ; média ; détournement ; billet ; message
grossier.a 231 :: terrestre ; humain ; public ; matériel ; extérieur ; social ; personnel ; vulgaire ; civil ; moral
grossier.a 300 :: stupide ; coupable ; faire ; barbare ; accumuler ; vulgaire ; humain ; sale ; stérile ; cruellement
hermétique.a 203 :: arcane ; lecture ; spirituel ; texte ; voire ; magique ; oriental ; ultime ; mystique ; interprétation
hermétique.a 71 :: secret ; mystérieux ; opaque ; confidentiel ; effrayant ; obscur ; énigmatique ; étanche ; sulfureux ; inquiétant
hermétique.a 99 :: sceller ; contenir ; fermer ; couvercle ; verre ; emballage ; devenir ; étanche ; bouteille ; plastique
hermétique.a 126 :: étanche ; insensible ; imperméable ; perméable ; réfractaire ; interne ; mécanique ; septique ; chimiquement ; allergique
hermétique.a 127 :: élitiste ; secret ; obscur ; étanche ; social ; opaque ; noir ; sombre ; fermé ; politique
hermétique.a 220 :: seul ; ici ; totalement ; fermer ; complètement ; presque ; vase ; quasi ; rester ; vide
hermétique.a 226 :: sensible ; insensible ; sourd ; habituer ; fermer ; former ; allergique ; imperméable ; attacher ; étanche
hermétique.a 261 :: magique ; étanche ; éloquer ; confidentiel ; sensible ; sec ; opaque ; mystérieux ; discret ; timide
hermétique.a 278 :: chimique ; alimentaire ; étanche ; sec ; solide ; secret ; interne ; plastique ; blanc ; creux
hermétique.a 204 :: opaque ; obscur ; mystère ; complètement ; presque ; davantage ; extrêmement ; magique ; totalement ; demeurer
incorrect.a 45 :: humaine ; ante ; naître ; actuellement ; sensiblement ; us ; extraordinaire ; également ; actuel ; nommer
incorrect.a 125 :: in ; complètement ; totalement ; vraiment ; presque ; con ; parfaitement ; ré ; devenir ; mal
incorrect.a 132 :: radio ; côté ; an ; mois ; haut ; second ; également ; cours ; jour ; juge
incorrect.a 156 :: in ; politique ; mal ; criminel ; inique ; contradictoire ; exemplaire ; scandaleux ; raisonnable ; judiciaire
incorrect.a 159 :: applicabilité ; utilisation ; application ; responsabilité ; exécution ; interprétation ; activité ; conformité ; transposition ; pratique
incorrect.a 177 :: précis ; correct ; erroné ; donner ; prédéterminer ; automatique ; établir ; serrer ; supérieur ; approximatif
incorrect.a 217 :: ici ; politiquement ; correct ; sujet ; inapproprié ; çà ; volontairement ; ci-dessous ; simplement ; intéressant
incorrect.a 241 :: vraiment ; totalement ; complètement ; presque ; parfaitement ; devenir ; apparemment ; extrêmement ; mal ; rester
incorrect.a 298 :: déçu ; décevant ; malheureux ; vrai ; confus ; maladroit ; ridicule ; impopulaire ; évident ; inutile
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; transmettre ; sensible ; financier ; identifiabler ; donnée ; effacer ; électronique
intérêt.n 63 :: avis ; opinion ; sentiment ; logique ; projet ; idée ; rôle ; conception ; élément ; parti
intérêt.n 97 :: ensemble ; article ; état ; énergie ; économie ; agence ; interview ; avenir ; annuaire ; emploi
intérêt.n 129 :: air ; étroit ; international ; alpha ; externe ; min ; aide ; étymologie ; lorsqu ; heureux
intérêt.n 146 :: art ; image ; aide ; or ; air ; évolution ; éternel ; ancien ; usage ; international
intérêt.n 155 :: article ; origine ; effectif ; audiovisuel ; appareil ; ensemble ; énergie ; audiovisuelle ; international ; audit
intérêt.n 218 :: grand ; propre ; général ; fort ; petit ; principal ; véritable ; faible ; réel ; moyen
intérêt.n 263 :: air ; meilleur ; propre ; nouveau ; cor ; principal ; excellent ; min ; véritable ; art
intérêt.n 268 :: air ; international ; aide ; an ; étroit ; étymologie ; externe ; intense ; alpha ; actuel
intérêt.n 271 :: air ; être ; étrange ; aide ; excellent ; image ; éventuel ; heureux ; eau ; étroit
intérêt.n 297 :: art ; aide ; propre ; clip ; nouveau ; guide ; immigré ; animal ; enseigner ; petit
interpréter.v 18 :: chanter ; magnifiquement ; ensuite ; ré ; interprétation ; également ; principalement ; jouer ; successivement ; généreusement
interpréter.v 21 :: dessiner ; chanter ; arranger ; incarner ; imaginer ; exécuter ; jouer ; illustrer ; adapter ; reprendre
interpréter.v 59 :: expliquer ; comprendre ; penser ; inverser ; analyser ; faire ; voir ; regarder ; évaluer ; écrire
interpréter.v 80 :: aide ; image ; art ; international ; aller ; obliger ; or ; ensemble ; an ; origine
interpréter.v 123 :: or ; international ; aide ; ancien ; excellent ; objet ; immense ; adjectif ; origine ; an
interpréter.v 128 :: incarner ; interprétation ; joue ; double ; rôle ; cher ; marier ; principal ; assurer ; prendre
interpréter.v 157 :: traduire ; recevoir ; écrire ; encaisse ; traite ; émettre ; actif ; analyse ; imaginer ; voir
interpréter.v 260 :: interprétation ; comprendre ; décoder ; faire ; analyser ; expliquer ; lire ; évaluer ; confirmer ; influencer
interpréter.v 267 :: interprétation ; comprendre ; percevoir ; observer ; vivre ; renvoyer ; attribuer ; définir ; anticiper ; écrire
interpréter.v 289 :: magnifiquement ; admirablement ; remarquablement ; merveilleusement ; animé ; entièrement ; être ; superbement ; parfaitement ; ici
maintenir.v 94 :: apprendre ; ajouter ; préciser ; enseigner ; écrire ; montrer ; déclarer ; entendre ; affirmer ; souligner
maintenir.v 113 :: visible ; présent ; inscrire ; mentionner ; référencer ; enregistrer ; identifier ; disponible ; signaler ; renseigner
maintenir.v 154 :: garder ; renforcer ; continuer ; exercer ; conserver ; demeurer ; confirmer ; poursuivre ; mettre ; tenir
maintenir.v 175 :: garder ; préserver ; maintien ; mettre ; conserver ; retenir ; demeurer ; conforter ; couler ; divertir
maintenir.v 183 :: conserver ; garder ; préserver ; garantir ; entretenir ; créer ; favoriser ; perdurer ; assurer ; rester
maintenir.v 207 :: conserver ; préserver ; garder ; demeurer ; soutenir ; maintien ; retenir ; rester ; sauvegarder ; entretenir
maintenir.v 230 :: tenir ; pouvoir ; compter ; continuer ; dernier ; être ; présent ; compte ; ci ; devoir
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; estime ; vouloir ; proposer ; affirmer ; prévoir ; rappeler ; réaffirmer
maintenir.v 251 :: soutenir ; soutien ; position ; appuyer ; distance ; maintien ; garde ; appui ; tenir ; affirmer
maintenir.v 281 :: compte ; tenir ; ajouter ; place ; garder ; dernier ; également ; bref ; rester ; bon
mince.a 17 :: épais ; étroit ; fort ; fin ; intime ; large ; petit ; faible ; léger ; haut
mince.a 96 :: fin ; régulier ; léger ; épais ; lisse ; sec ; lâche ; chimique ; souple ; continuer
mince.a 147 :: fin ; serrer ; maigre ; léger ; équilibré ; bon ; préciser ; sec ; sommaire ; politique
mince.a 170 :: long ; faible ; fin ; court ; fragile ; léger ; petit ; maigre ; souple ; épais
mince.a 192 :: petit ; minuscule ; fin ; énorme ; épais ; micro ; maigre ; léger ; haut ; menu
mince.a 202 :: fin ; petit ; léger ; épais ; double ; nouveau ; simple ; dernier ; haut ; grand
mince.a 213 :: maigre ; petit ; faible ; léger ; minime ; vert ; fragile ; riche ; magnifique ; épais
mince.a 225 :: maigre ; filet ; voil ; peut-être ; fin ; déjà ; petit ; léger ; pourtant ; réduit
mince.a 242 :: filet ; fin ; étroit ; accord ; fort ; petit ; doute ; large ; léger ; extrêmement
mince.a 292 :: fin ; conducteur ; léger ; isolant ; épais ; intermédiaire ; interne ; métallique ; finir ; supérieur
modeste.a 29 :: petit ; minuscule ; humble ; grand ; misérable ; vaste ; minable ; modique ; dérisoire ; médiocre
modeste.a 114 :: humble ; petit ; pauvre ; honnête ; bon ; poli ; noble ; discret ; gentil ; généreux
modeste.a 121 :: minime ; faible ; timide ; minuscule ; petit ; limité ; dérisoire ; significatif ; modique ; maigre
modeste.a 163 :: limité ; minime ; personnel ; petit ; récent ; spectaculaire ; modérer ; faible ; léger ; surprenant
modeste.a 195 :: petit ; recevoir ; légèrement ; percevoir ; matériel ; important ; verser ; symbolique ; familial ; relatif
modeste.a 197 :: portable ; sobre ; concerner ; pauvre ; toucher ; français ; récent ; sérieux ; mobile ; léger
modeste.a 200 :: limité ; réduire ; restreindre ; faible ; temps ; petit ; léger ; chose ; partiel ; prudent
modeste.a 246 :: élevé ; important ; petit ; modérer ; économique ; intermédiaire ; salarial ; confortable ; rapide ; convenable
modeste.a 269 :: humble ; digne ; petit ; jeune ; pauvre ; honnête ; misérable ; bon ; paisible ; malheureux
modeste.a 283 :: humble ; timide ; digne ; discret ; moyen ; mesurer ; bon ; médiocre ; prudent ; honnête
montée.n 15 :: côte ; droite ; république ; spirale ; faveur ; partie ; machine ; réalité ; pente ; tendance
montée.n 56 :: poussée ; descente ; montagne ; chute ; progression ; hausse ; question ; pente ; hauteur ; convergence
montée.n 75 :: descente ; visite ; suite ; journée ; entrée ; balade ; nuit ; promenade ; monte ; terrasse
montée.n 138 :: évolution ; performance ; gestion ; complexité ; poussée ; capacité ; hausse ; croissance ; puissance ; vie
