affection.n 8 :: nouveau ; inattendu ; politique ; famille ; mort ; dernier ; militaire ; vie ; suite ; au-delà
don.n 84 :: produit ; fonds ; apport ; versement ; contribution ; bénéficiaire ; droit ; cadeau ; entrepreneur ; enfant
don.n 107 :: cadeau ; présent ; part ; grâce ; preuve ; confiance ; usage ; offrir ; faire ; legs
don.n 130 :: contribution ; cadeau ; soutien ; bon ; apport ; bénédiction ; témoignage ; homme ; fonds ; volontaire
don.n 196 :: talent ; génie ; pouvoir ; sens ; truc ; secret ; trésor ; tact ; contraire ; qualité
don.n 244 :: cadeau ; bon ; geste ; souher ; droit ; mécénat ; citoyen ; soutien ; produit ; déchet
don.n 245 :: talent ; pouvoir ; lien ; miracle ; vin ; esprit ; être ; domaine ; cadeau ; signe
entraîner.v 39 :: art ; air ; image ; immigré ; aide ; or ; illustre ; arme ; étroit ; interne
entraîner.v 47 :: obliger ; aider ; aide ; amener ; pousse ; viser ; apprendre ; également ; encourager ; engager
entraîner.v 55 :: international ; aide ; art ; clip ; air ; ancien ; obliger ; actuel ; or ; incorporation
entraîner.v 57 :: air ; euro ; être ; ensemble ; audio ; indien ; jaune ; avion ; international ; emploi
entraîner.v 133 :: or ; art ; air ; heureux ; ion ; aide ; irréversible ; ancien ; clip ; énergie
entraîner.v 140 :: mener ; envoyer ; attirer ; conduire ; amener ; pousser ; engager ; aller ; partir ; emporter
entraîner.v 144 :: invite ; obliger ; amener ; avoir ; inviter ; engager ; pousse ; force ; appeler ; inciter
entraîner.v 161 :: provoquer ; engendrer ; causer ; éviter ; induire ; produire ; amener ; conduire ; compenser ; créer
entraîner.v 162 :: amener ; provoquer ; assurer ; engendrer ; encourager ; favoriser ; actif ; déclenche ; accentuer ; conduire
entraîner.v 191 :: emporter ; amener ; conduire ; attirer ; engager ; jeter ; précipiter ; porter ; pousser ; atteindre
éplucher.v 10 :: peler ; nettoyer ; tailler ; couper ; laver ; découper ; finement ; cueillir ; trancher ; enlever
éplucher.v 51 :: analyser ; fouillé ; étudier ; soigneusement ; examiner ; éplucher ; attentivement ; scrupuleusement ; travailler ; lire
éplucher.v 69 :: étudier ; examiner ; analyser ; lire ; dépouiller ; scanner ; éviter ; fouiller ; faire ; regarder
éplucher.v 100 :: éplucher ; laver ; récolter ; peser ; retourner ; écraser ; oublier ; apercevoir ; entendre ; nettoyer
éplucher.v 119 :: croiser ; trouver ; fouillé ; forum ; dénicher ; regarder ; récolter ; commander ; chercher ; corail
éplucher.v 167 :: découvrir ; aller ; plante ; voir ; fruit ; feuille ; déposer ; légume ; utiliser ; oublier
éplucher.v 174 :: regarder ; cueillir ; sélectionner ; examiner ; parcourir ; lire ; observer ; voir ; couper ; feuilleter
éplucher.v 235 :: peler ; passer ; fendre ; affiner ; couper ; faire ; coudre ; préparer ; tailler ; ouvrir
éplucher.v 236 :: éplucher ; récolter ; scrupuleusement ; minutieusement ; minutieux ; compiler ; couper ; finement ; devoir ; bon
éplucher.v 258 :: peler ; faire ; finement ; oignon ; légume ; concombre ; carotte ; ensuite ; orange ; échalote
espace.n 13 :: or ; accueil ; ensemble ; os ; art ; établissement ; origine ; arriver ; aide ; histoire
espace.n 27 :: air ; or ; énergie ; aide ; eau ; étrange ; ensemble ; art ; intérieur ; expérience
espace.n 79 :: écran ; outil ; environnement ; office ; ensemble ; coin ; aire ; élément ; module ; emplacement
espace.n 120 :: air ; article ; être ; apercevoir ; aide ; emploi ; énergie ; ensemble ; étroit ; heureux
espace.n 137 :: environnement ; marché ; emploi ; domaine ; politique ; habitat ; information ; avenir ; énergie ; conseil
espace.n 142 :: ancien ; air ; automne ; image ; art ; nouveau ; actuel ; antique ; international ; optique
espace.n 180 :: emplacement ; place ; volume ; surface ; zone ; aménagement ; parking ; superficie ; parc ; partage
espace.n 208 :: an ; étroit ; us ; ancien ; innombrable ; instrument ; air ; endroit ; or ; enseignant
espace.n 229 :: propre ; événement ; petit ; produit ; projet ; environnement ; investissement ; aménagement ; talent ; service
espace.n 243 :: ensemble ; coin ; article ; compte ; enfant ; entier ; rôle ; temps ; contenu ; journal
essuyer.v 11 :: ensuite ; essuyer ; abondamment ; énergiquement ; laver ; soigneusement ; écrire ; délicatement ; vous ; avoir
essuyer.v 58 :: subir ; rencontrer ; constater ; avoir ; essuie ; recevoir ; connaître ; causer ; corriger ; souffrir
essuyer.v 77 :: essuie ; larme ; avoir ; oeil ; être ; fois ; ensuite ; faire ; sourire ; presque
essuyer.v 81 :: laver ; but ; faire ; ra ; tremper ; essuie ; rester ; éponge ; su ; enduire
essuyer.v 86 :: laisse ; recevoir ; passer ; essuie ; donne ; lire ; couvrir ; assurer ; devoir ; marque
essuyer.v 89 :: subir ; recevoir ; essuie ; frapper ; opposer ; refuser ; constater ; encaisser ; rencontrer ; presque
essuyer.v 98 :: recevoir ; encaisser ; faire ; subir ; voir ; prendre ; rencontrer ; manger ; découvrir ; utiliser
essuyer.v 166 :: pépin ; sécher ; noyau ; baie ; peler ; feuille ; noix ; olive ; graine ; main
essuyer.v 215 :: subir ; revers ; pluie ; essuie ; recevoir ; durement ; face ; affronter ; vie ; dur
essuyer.v 266 :: enlever ; retirer ; éviter ; essuie ; verser ; nettoyer ; faire ; laisser ; retourner ; balayer
faucher.v 12 :: écraser ; agresser ; jeter ; tuer ; repousser ; déposer ; renverser ; projeter ; servir ; enlever
faucher.v 42 :: mieux ; finalement ; révéler ; déjà ; peut-être ; dévoiler ; vraiment ; également ; découverte ; rester
faucher.v 116 :: voler ; tuer ; illégalement ; abattre ; attaquer ; travailler ; détruire ; semer ; porter ; pousser
faucher.v 160 :: ch ; piqu ; irrémédiablement ; danse ; pois ; plante ; profondément ; chia ; coûter ; jeu
faucher.v 214 :: faire ; presque ; abattre ; mieux ; acheter ; voir ; payer ; tirer ; travailler ; lutter
faucher.v 239 :: acheter ; renverser ; entamer ; jeter ; servir ; cassé ; trouver ; être ; jamais ; partager
faucher.v 248 :: hollande ; taire ; enfant ; marque ; famille ; photo ; passer ; terre ; photographie ; tête
faucher.v 276 :: olivier ; faux ; pousse ; nouveau ; bel ; jeune ; petit ; poirier ; bon ; grand
faucher.v 282 :: remplacer ; marque ; centre ; virer ; casser ; prendre ; finir ; piqu ; relever ; quitte
faucher.v 290 :: abattre ; tuer ; écraser ; planter ; blesser ; passer ; briser ; grièvement ; bêtement ; volée
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; tenir ; préside ; développer ; faire ; ouvrir
fonder.v 7 :: sous-tendre ; force ; motiver ; guide ; légitime ; porte ; caractériser ; anime ; conditionne ; définir
fonder.v 54 :: base ; trouver ; construire ; tire ; puiser ; bâtir ; appuyer ; ancre ; repose ; constituer
fonder.v 66 :: ferme ; créer ; installer ; diriger ; monte ; débuter ; développer ; bâtir ; forge ; commencer
fonder.v 88 :: intégrer ; forme ; développer ; diriger ; créer ; rejoindre ; ouvrir ; anime ; commencer ; direction
fonder.v 93 :: traverser ; appuyer ; forme ; base ; force ; porte ; définir ; assurer ; formule ; cadre
fonder.v 158 :: base ; repose ; bâtir ; baser ; appuyer ; focaliser ; fonctionner ; fond ; réfugier ; reposer
fonder.v 212 :: contracter ; fabriquer ; former ; faire ; créer ; constituer ; forger ; fondre ; fer ; naître
fonder.v 264 :: définir ; motiver ; constituer ; base ; force ; traverser ; appuyer ; valide ; expliquer ; structure
fonder.v 286 :: compte ; créer ; développer ; fabrique ; forme ; réunir ; ouvrir ; fond ; ferme ; diriger
grossier.a 24 :: stupide ; ridicule ; évident ; fin ; complet ; clair ; courant ; formel ; simple ; flagrant
grossier.a 37 :: vulgaire ; fin ; technique ; approximatif ; avancer ; grotesque ; superficiel ; vicieux ; profond ; grossièrement
grossier.a 85 :: vulgaire ; agressif ; arrogant ; poli ; vicieux ; sauvage ; dangereux ; amical ; sot ; méchant
grossier.a 108 :: profond ; minéral ; sec ; organique ; léger ; pieux ; sauvage ; fruitier ; agricole ; caillou
grossier.a 134 :: léger ; gros ; petit ; subtil ; mauvais ; bon ; vulgaire ; pauvre ; lourd ; misérable
grossier.a 179 :: opinion ; propagande ; méchanceté ; mauvais ; présomption ; idée ; calomnie ; analyse ; accusation ; raciste
grossier.a 227 :: agressif ; arrogant ; excessif ; vulgaire ; confus ; ridicule ; prétentieux ; maladroit ; raciste ; poli
grossier.a 228 :: mensonge ; raciste ; blague ; procédé ; commentaire ; critique ; trait ; accusation ; préjugé ; antisémite
grossier.a 231 :: vulgaire ; superficiel ; quotidien ; profane ; matériel ; misérable ; extérieur ; léger ; public ; coupable
grossier.a 300 :: faire ; stupide ; vulgaire ; habituel ; au ; ridicule ; bête ; bas ; sale ; coupable
hermétique.a 203 :: mystérieux ; mystère ; arcane ; voire ; opaque ; quasi ; totalement ; mystérieusement ; piège ; porte
hermétique.a 71 :: mystérieux ; effrayant ; opaque ; énigmatique ; secret ; intime ; obscur ; explicite ; chimique ; magique
hermétique.a 99 :: magique ; fermer ; photo ; citation ; plat ; formule ; ici ; bouchon ; explication ; plastique
hermétique.a 126 :: réfractaire ; insensible ; étanche ; sourd ; dépendre ; imperméable ; allergique ; sensible ; fermer ; hostile
hermétique.a 127 :: étanche ; opaque ; secret ; obscur ; noir ; officiel ; fermé ; hypocrite ; bureaucratique ; sombre
hermétique.a 220 :: verre ; porte ; parfaitement ; totalement ; vide ; fermeture ; mode ; sécurité ; fermer ; photo
hermétique.a 226 :: réfractaire ; insensible ; sensible ; imperméable ; allergique ; fermer ; habituer ; confronter ; hostile ; initier
hermétique.a 261 :: magique ; confidentiel ; éloquer ; incompréhensible ; poli ; étanche ; lisse ; hypocrite ; explicite ; parfait
hermétique.a 278 :: alimentaire ; étanche ; solide ; fermé ; noir ; blanc ; secret ; close ; chimique ; soigneusement
hermétique.a 204 :: obscur ; mystérieux ; religieux ; étrange ; mystique ; inquiétant ; spirituel ; profane ; théologique ; opaque
incorrect.a 45 :: actif ; opérationnel ; rée ; estimer ; global ; humaine ; adapter ; évaluation ; utile ; naître
incorrect.a 125 :: vraiment ; complètement ; totalement ; in ; presque ; parfaitement ; con ; devenir ; super ; rester
incorrect.a 132 :: revenir ; extrêmement ; rester ; totalement ; impossible ; également ; énormément ; orienter ; entier ; absent
incorrect.a 156 :: in ; politique ; judiciaire ; pratique ; inique ; pénal ; criminel ; professionnel ; éthique ; démocratique
incorrect.a 159 :: utilisation ; qualité ; conformité ; application ; participation ; activité ; expérience ; interprétation ; caractère ; pratique
incorrect.a 177 :: précis ; donner ; erroné ; total ; correct ; inverse ; serrer ; aléatoire ; supérieur ; gagner
incorrect.a 217 :: intéressant ; politiquement ; bon ; correct ; prochain ; con ; stupide ; mauvais ; prochainement ; excellent
incorrect.a 241 :: vraiment ; complètement ; également ; totalement ; parfaitement ; presque ; politiquement ; réellement ; apparemment ; trouver
incorrect.a 298 :: vrai ; décevant ; maladroit ; injuste ; évident ; prévisible ; ridicule ; dangereux ; inutile ; surprenant
incorrect.a 299 :: personnel ; confidentiel ; bancaire ; donnée ; opérationnel ; indésirable ; saisir ; électronique ; sensible ; transmettre
intérêt.n 63 :: avis ; principe ; objectif ; élément ; idée ; point ; sentiment ; opinion ; adversaire ; avantage
intérêt.n 97 :: nouveau ; association ; participation ; véritable ; excellent ; propre ; coopération ; principal ; utilisation ; développement
intérêt.n 129 :: or ; international ; externe ; air ; art ; étroit ; aide ; allemand ; iranien ; grec
intérêt.n 146 :: or ; air ; évolution ; art ; eau ; éternel ; aide ; emploi ; image ; actuel
intérêt.n 155 :: article ; information ; audiovisuel ; énergie ; effectif ; international ; utilisateur ; air ; origine ; audiovisuelle
intérêt.n 218 :: avantage ; intéressant ; attrer ; atout ; utilité ; enseignement ; côté ; importance ; élément ; apport
intérêt.n 263 :: excellent ; air ; éventuel ; art ; aide ; usage ; propre ; or ; obliger ; aimable
intérêt.n 268 :: nouveau ; or ; aide ; heureux ; propre ; air ; art ; image ; ferme ; clip
intérêt.n 271 :: exemple ; image ; association ; enfant ; animal ; âge ; enseigner ; or ; ensemble ; accueil
intérêt.n 297 :: aide ; art ; animal ; image ; énergie ; expérience ; or ; air ; externe ; guide
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; offrir ; composer ; proposer ; cité ; présenter ; inspirer
interpréter.v 21 :: illustrer ; adapter ; exécuter ; chanter ; améliorer ; diffuser ; enregistrer ; publier ; imaginer ; écrire
interpréter.v 59 :: expliquer ; inverser ; comprendre ; penser ; faire ; analyser ; lire ; entendre ; anticiper ; relativiser
interpréter.v 80 :: aide ; art ; or ; image ; ensemble ; histoire ; expérience ; aimer ; ici ; aller
interpréter.v 123 :: histoire ; ensemble ; actuel ; évolution ; expérience ; or ; art ; échange ; approche ; eau
interpréter.v 128 :: joue ; incarner ; ici ; camper ; interprétation ; prendre ; tenir ; écrire ; in ; double
interpréter.v 157 :: recevoir ; écrire ; traduire ; envoyer ; influence ; émettre ; absorber ; actif ; traite ; encaisse
interpréter.v 260 :: interprétation ; comprendre ; entendre ; analyser ; décoder ; expliquer ; faire ; évaluer ; déchiffrer ; articuler
interpréter.v 267 :: vivre ; entendre ; chanter ; comprendre ; recevoir ; écrire ; percevoir ; interprétation ; énoncer ; lire
interpréter.v 289 :: chanter ; jouer ; interprétation ; animé ; présenter ; incarner ; imaginer ; habiter ; offrir ; regarder
maintenir.v 94 :: affirmer ; soutenir ; assurer ; foi ; tenir ; savoir ; décider ; fermement ; insister ; déclarer
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; signaler ; mentionner ; disponible ; renseigner ; placer ; identifier
maintenir.v 154 :: garder ; conserver ; assurer ; renforcer ; exercer ; imposer ; tenir ; demeurer ; veiller ; mettre
maintenir.v 175 :: préserver ; garder ; maintien ; retenir ; demeurer ; perpétuer ; conserver ; conforter ; mettre ; divertir
maintenir.v 183 :: conserver ; préserver ; garantir ; garder ; entretenir ; pérenniser ; demeurer ; assurer ; perdurer ; créer
maintenir.v 207 :: préserver ; garder ; demeurer ; conserver ; maintien ; soutenir ; soigner ; rester ; favoriser ; servir
maintenir.v 230 :: dernier ; compte ; nouveau ; vouloir ; tenir ; être ; présent ; premier ; reston ; principal
maintenir.v 234 :: souhaiter ; considérer ; estime ; proposer ; soutenir ; rappeler ; vouloir ; prévoir ; affirmer ; demande
maintenir.v 251 :: soutenir ; tenir ; appuyer ; totalement ; généralement ; fermement ; également ; ment ; conserve ; présente
maintenir.v 281 :: croire ; déclarer ; affirmer ; soutien ; gage ; estime ; constater ; considérer ; confirmer ; dire
mince.a 17 :: épais ; fin ; lisse ; petit ; régulier ; large ; fort ; serrer ; faible ; rigide
mince.a 96 :: fin ; léger ; régulier ; épais ; moyen ; lisse ; sec ; tendre ; serrer ; maigre
mince.a 147 :: sommaire ; léger ; simple ; complexe ; faible ; fort ; original ; compliqué ; riche ; dense
mince.a 170 :: maigre ; fin ; léger ; carte ; filet ; légèrement ; vraiment ; livre ; devenir ; également
mince.a 192 :: épais ; feuille ; déjà ; lisse ; rameau ; cheveu ; petit ; vert ; presque ; finement
mince.a 202 :: fin ; épais ; petit ; nouveau ; léger ; dernier ; double ; second ; simple ; grand
mince.a 213 :: fin ; taille ; léger ; robe ; bel ; corps ; petit ; vêtement ; avis ; moyen
mince.a 225 :: joli ; petit ; voil ; léger ; fin ; faux ; filet ; bref ; micro ; vert
mince.a 242 :: fin ; étroit ; flou ; fort ; petit ; limite ; net ; préciser ; inexistant ; court
mince.a 292 :: fin ; épais ; limite ; rigide ; supérieur ; léger ; conducteur ; cristalline ; transparent ; invisible
modeste.a 29 :: petit ; minuscule ; humble ; misérable ; discret ; minable ; grand ; dérisoire ; plan ; logement
modeste.a 114 :: humble ; pauvre ; petit ; discret ; bon ; honnête ; vivant ; charmant ; digne ; poli
modeste.a 121 :: important ; significatif ; timide ; faible ; dérisoire ; minime ; élevé ; petit ; modique ; anecdotique
modeste.a 163 :: limité ; faible ; petit ; minime ; nécessaire ; bel ; complet ; personnel ; léger ; spectaculaire
modeste.a 195 :: important ; personnel ; faible ; confortable ; familial ; revenu ; notable ; élevé ; mensuel ; maigre
modeste.a 197 :: revenu ; largement ; percevoir ; nettement ; aisé ; pourtant ; vivre ; au-delà ; légèrement ; demeurer
modeste.a 200 :: limité ; réduire ; restreindre ; faible ; élevé ; petit ; mesurer ; léger ; comprendre ; partout
modeste.a 246 :: faible ; important ; considérable ; élevé ; petit ; léger ; raisonnable ; économique ; simple ; conséquent
modeste.a 269 :: humble ; digne ; petit ; jeune ; pieux ; pauvre ; simple ; gentil ; misérable ; noble
modeste.a 283 :: humble ; pauvre ; discret ; fragile ; honnête ; digne ; simple ; petit ; honorable ; triste
montée.n 15 :: courbe ; poussée ; victoire ; progression ; hausse ; percée ; réduction ; conversion ; division ; mue
montée.n 56 :: descente ; progression ; pente ; partie ; poussée ; ligne ; échelle ; hausse ; hiérarchie ; construction
montée.n 75 :: visite ; terrasse ; promenade ; entrée ; tour ; journée ; conférence ; suite ; balade ; finale
montée.n 138 :: gestion ; performance ; croissance ; capacité ; complexité ; progression ; puissance ; évolution ; hausse ; réputation
montée.n 141 :: descente ; monte ; hausse ; poussée ; réduction ; courbe ; baisse ; chute ; mise ; progression
