affection.n 8 :: maladie ; affectation ; dernier ; ambition ; disposition ; tendresse ; occasion ; attaque ; amitié ; épreuve
commander.v 117 :: commande ; dicter ; compter ; vouloir ; permettre ; demander ; prescrire ; nécessiter ; suppose ; conseillent
commander.v 164 :: ordonner ; dicter ; dominer ; conseiller ; enseigne ; obéir ; imposer ; diriger ; commandant ; prescrire
commander.v 171 :: commande ; commencer ; déjà ; faire ; venir ; aller ; partir ; acheter ; finir ; midi
commander.v 206 :: permettre ; tandis ; vouloir ; prévoir ; venir ; décider ; souhaiter ; droit ; ajouter ; prétendre
commander.v 240 :: commande ; également ; uniquement ; régler ; contrôler ; piloter ; grâce ; programmer ; personnaliser ; faire
compris.a 52 :: assimiler ; enseigner ; accepter ; intégrer ; percevoir ; interpréter ; vivre ; maîtriser ; retenir ; recevoir
compris.a 90 :: ajouter ; penser ; croire ; assurer ; entendre ; décider ; réaliser ; falloir ; estimer ; apprendre
compris.a 106 :: entendre ; comprendre ; penser ; deviner ; vivre ; préciser ; confirmer ; vous ; clair ; apprendre
compris.a 185 :: inclure ; incorporer ; contenir ; présent ; inscrire ; participation ; également ; construit ; mort ; chose
compris.a 186 :: situer ; entrer ; déjà ; rester ; inclure ; inscrire ; tomber ; sortir ; également ; mort
compris.a 187 :: inclure ; compter ; situer ; contenu ; variable ; varier ; répartir ; comprendre ; enseigner ; définir
compris.a 211 :: inclus ; varier ; mesurer ; moyen ; maximal ; minimal ; maintenir ; effectuer ; répartir ; situer
compris.a 232 :: inclure ; comptabiliser ; compter ; contenu ; prendre ; intégré ; reprendre ; comprendre ; incorporer ; inclus
compris.a 272 :: comprendre ; saisir ; capter ; entendre ; apprécier ; retenir ; intégré ; percevoir ; réaliser ; prendre
compris.a 287 :: saisir ; apprendre ; intégré ; deviner ; assimiler ; savoir ; détecter ; capter ; reconnaître ; sentir
couverture.n 65 :: dernier ; page ; sommaire ; principal ; rédaction ; carte ; actualité ; dossier ; intégral ; série
couverture.n 67 :: vie ; peau ; survie ; route ; mort ; chance ; réputation ; chute ; terre ; toile
couverture.n 72 :: housse ; produit ; création ; pochette ; terrasse ; dossier ; clientèle ; sol ; transformation ; carte
couverture.n 143 :: manchette ; couvrir ; conclusion ; vignette ; fort ; couvert ; marge ; bref ; illustration ; éditorial
couverture.n 149 :: protection ; sécurité ; responsabilité ; garantie ; connaissance ; couvert ; matière ; gestion ; défense ; répartition
couverture.n 150 :: toiture ; tuile ; pierre ; charpente ; couvrir ; toit ; dalle ; coqu ; terrasse ; desserte
couverture.n 201 :: protection ; défense ; gestion ; financement ; surveillance ; localisation ; convergence ; connaissance ; développement ; santé
couverture.n 257 :: base ; fond ; protection ; peau ; finition ; construction ; support ; toiture ; garde ; transformation
couverture.n 265 :: couvrir ; véranda ; housse ; aile ; voil ; couvert ; serviette ; ottomane ; corde ; soie
couverture.n 280 :: peau ; lune ; plume ; protection ; tête ; police ; couette ; main ; photo ; terre
débit.n 64 :: crédit ; dépôt ; compte ; escompte ; achat ; terme ; billet ; titre ; montant ; circulation
débit.n 87 :: eau ; rivière ; gros ; régulier ; niveau ; important ; flot ; moyen ; rapide ; cours
débit.n 115 :: niveau ; écoulement ; cours ; flux ; jet ; canal ; flot ; montant ; rythme ; aval
débit.n 131 :: niveau ; nappe ; chute ; couche ; pic ; eau ; lit ; hauteur ; courant ; flux
débit.n 136 :: cours ; flux ; eau ; principal ; journalier ; bassin ; affluent ; prix ; ruisseau ; réel
débit.n 168 :: crédit ; chargement ; financement ; montant ; traitement ; compte ; dépôt ; nombre ; paiement ; versement
débit.n 169 :: cours ; moyen ; fluvial ; total ; niveau ; principal ; supérieur ; prix ; droit ; port
débit.n 184 :: rythme ; taux ; potentiel ; maximum ; écart ; retard ; intérêt ; chiffre ; score ; ratio
débit.n 188 :: flux ; apport ; cours ; effectif ; niveau ; volume ; précipitation ; débordement ; rejet ; moyen
débit.n 205 :: flux ; rythme ; accès ; temps ; trafic ; tempo ; flot ; jet ; caractère ; écoulement
direction.n 78 :: conduite ; responsabilité ; coordination ; houlette ; présidence ; diriger ; langue ; directrice ; forme ; route
direction.n 111 :: directeur ; général ; présidence ; directrice ; coordination ; organisation ; supérieur ; développement ; gestion ; directoire
direction.n 151 :: directrice ; gestion ; directeur ; responsabilité ; management ; équipe ; interne ; responsable ; contrôle ; conduite
direction.n 152 :: orientation ; forme ; tendance ; constant ; ligne ; sens ; droite ; descente ; perpendiculaire ; nature
direction.n 172 :: rejoindre ; destination ; forme ; cap ; peut-être ; sûrement ; bonjour ; gagner ; presque ; virage
direction.n 176 :: conduite ; orientation ; sens ; contrôle ; droite ; position ; bon ; rapport ; forme ; tête
direction.n 199 :: gauche ; majorité ; présidence ; droite ; partir ; rédaction ; tendance ; presse ; président ; coordination
direction.n 223 :: conduite ; maîtrise ; responsabilité ; tâche ; gestion ; composition ; surveillance ; forme ; voie ; directrice
direction.n 262 :: directeur ; directrice ; général ; responsable ; management ; contrôle ; développement ; filiale ; opérationnel ; responsabilité
direction.n 279 :: destination ; pari ; sens ; nord ; provenance ; province ; voil ; date ; région ; menton
don.n 19 :: sens ; talent ; génie ; doué ; pouvoir ; droit ; temps ; style ; coup ; port
don.n 30 :: talent ; pouvoir ; trait ; oeil ; atout ; signe ; centre ; sens ; qualité ; tour
don.n 36 :: talent ; pouvoir ; livre ; génie ; développement ; droit ; sens ; sentiment ; domaine ; charm
don.n 60 :: cadeau ; produit ; livre ; projet ; financement ; programme ; enfant ; bourse ; marché ; jour
don.n 84 :: apport ; produit ; revenu ; contribution ; droit ; enfant ; achat ; transfert ; versement ; déchet
don.n 107 :: cadeau ; présent ; part ; geste ; grâce ; preuve ; objet ; usage ; legs ; offrir
don.n 130 :: cadeau ; soutien ; fonds ; contribution ; crédit ; enfant ; diocèse ; apport ; témoignage ; geste
don.n 196 :: spécial ; appeler ; incroyable ; magique ; extraordinaire ; étrange ; super ; recevoir ; avoir ; petit
don.n 244 :: cadeau ; legs ; bon ; mécénat ; souher ; bénévolat ; partage ; simple ; service ; déchet
don.n 245 :: témoignage ; travail ; apport ; talent ; cadeau ; reste ; enfant ; découverte ; trésor ; objet
entraîner.v 39 :: aide ; international ; art ; or ; clip ; intense ; air ; étranger ; iranien ; expliquer
entraîner.v 47 :: aider ; obliger ; amener ; conduire ; aide ; engager ; encourager ; également ; pousse ; inciter
entraîner.v 55 :: international ; air ; externe ; afghan ; interne ; apercevoir ; étroit ; min ; aide ; cor
entraîner.v 57 :: air ; obliger ; aviation ; international ; anglais ; or ; insigne ; immeuble ; avoir ; eau
entraîner.v 133 :: ancien ; animal ; air ; art ; irremplaçable ; image ; clip ; aide ; énergie ; autant
entraîner.v 140 :: mener ; attirer ; conduire ; amener ; pousser ; aller ; emporter ; emmener ; envoyer ; suivre
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; inviter ; force ; inciter ; exhorter ; amener ; appeler
entraîner.v 161 :: engendrer ; provoquer ; apparaître ; amener ; éviter ; induire ; conduire ; créer ; produire ; expliquer
entraîner.v 162 :: amener ; encourager ; assurer ; engendrer ; provoquer ; actif ; conduire ; accentuer ; complet ; favoriser
entraîner.v 191 :: attirer ; emporter ; traîner ; amener ; précipiter ; conduire ; jeter ; emmener ; pousser ; abandonner
éplucher.v 10 :: peler ; finement ; fin ; blanchir ; laver ; presser ; fleur ; nettoyer ; gingembre ; affiner
éplucher.v 51 :: éplucher ; soigneusement ; finement ; largement ; attentivement ; minutieusement ; patiemment ; mal ; grand ; haut
éplucher.v 69 :: analyser ; examiner ; revoir ; étudier ; accepter ; lire ; vérifier ; regarder ; dépouiller ; faire
éplucher.v 100 :: éplucher ; récolter ; oignon ; couper ; mûr ; grossièrement ; laver ; finement ; arracher ; betterave
éplucher.v 119 :: fouillé ; parcourir ; regarder ; lire ; éplucher ; consulter ; chercher ; survoler ; explorer ; déjà
éplucher.v 167 :: également ; aussitôt ; ensuite ; déjà ; grossièrement ; côté ; poire ; champignon ; découvrir ; pomme
éplucher.v 174 :: lire ; faire ; voir ; remplir ; fouiller ; découvrir ; consulter ; regarder ; ensuite ; analyser
éplucher.v 235 :: peler ; presser ; trancher ; acheter ; passer ; faire ; arracher ; couper ; tailler ; affiner
éplucher.v 236 :: éplucher ; finement ; récolter ; peler ; légume ; courgette ; grossièrement ; velouté ; fenouil ; laver
éplucher.v 258 :: peler ; oignon ; falloir ; échalote ; ail ; finement ; faire ; légume ; soigneusement ; saison
espace.n 13 :: international ; or ; usage ; optique ; accueil ; art ; origine ; air ; image ; expérience
espace.n 27 :: immigré ; ancien ; air ; eau ; usage ; or ; éternel ; irréversible ; étrange ; aide
espace.n 79 :: ensemble ; coin ; outil ; environnement ; option ; zone ; aire ; service ; office ; élément
espace.n 120 :: air ; article ; être ; énergie ; ensemble ; heureux ; ajouter ; aide ; étroit ; apercevoir
espace.n 137 :: environnement ; marché ; information ; emploi ; investissement ; emplacement ; entreprise ; domaine ; avenir ; expérience
espace.n 142 :: air ; international ; afghan ; interne ; indien ; art ; étranger ; étroit ; eau ; éternel
espace.n 180 :: lien ; partage ; arbre ; territoire ; enfant ; présent ; héritier ; droit ; lignée ; temps
espace.n 208 :: ensemble ; article ; international ; seul ; entreprise ; ancien ; service ; institution ; département ; communautaire
espace.n 229 :: service ; produit ; événement ; environnement ; petit ; investissement ; projet ; propre ; personnage ; aménagement
espace.n 243 :: article ; ensemble ; coin ; ligne ; compte ; journal ; domaine ; temps ; rôle ; enregistrement
essuyer.v 11 :: laver ; essuyer ; rincer ; remplir ; couvrir ; faire ; désinfection ; nettoyer ; essuie ; ouvrir
essuyer.v 58 :: subir ; constater ; rencontrer ; essuie ; régler ; avoir ; enregistrer ; rencontre ; éviter ; trouver
essuyer.v 77 :: essuie ; rendre ; garder ; dépit ; lever ; presque ; garde ; laisser ; larme ; montrer
essuyer.v 81 :: essuie ; abondamment ; ensuite ; légèrement ; éponge ; soigneusement ; généreusement ; eau ; ra ; doucement
essuyer.v 86 :: assurer ; recevoir ; assumer ; passer ; devoir ; laisse ; régler ; ligne ; complet ; encaisse
essuyer.v 89 :: subir ; recevoir ; essuie ; encaisser ; rencontrer ; connaître ; finalement ; obtenir ; trouver ; opposer
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; rencontrer ; souffrir ; connaître ; prendre ; découvrir ; voir
essuyer.v 166 :: nettoyer ; rincer ; laver ; recommencer ; essuie ; faire ; ancien ; nettoyage ; nouveau ; huile
essuyer.v 215 :: recevoir ; subir ; accumuler ; connaître ; affronter ; refuser ; sortir ; rencontrer ; trouver ; vivre
essuyer.v 266 :: essuie ; soigneusement ; garde ; face ; visage ; dos ; front ; attention ; regard ; paume
faucher.v 12 :: tuer ; presque ; briser ; assassiner ; abattre ; peut-être ; apparemment ; malheureusement ; involontairement ; agresser
faucher.v 42 :: mieux ; déjà ; également ; récolter ; découverte ; davantage ; couvrir ; atteindre ; inscrire ; ajouter
faucher.v 116 :: abattre ; semer ; tuer ; pousser ; voler ; mettre ; laisser ; pré ; écraser ; raccourci
faucher.v 160 :: brise ; féliciter ; briser ; vole ; mademoiselle ; aile ; joli ; voler ; pigeon ; balance
faucher.v 214 :: presque ; acheter ; faire ; donner ; payer ; voir ; mieux ; extrêmement ; coûter ; vraiment
faucher.v 239 :: acheter ; servir ; entamer ; être ; jeter ; commander ; déboucher ; déjà ; jamais ; cassé
faucher.v 248 :: taire ; tombe ; trouver ; abattre ; marque ; rencontre ; laisse ; frappe ; tire ; prendre
faucher.v 276 :: semer ; planter ; couper ; abattre ; cueillir ; piquer ; pousser ; garder ; creuser ; cultiver
faucher.v 282 :: reprendre ; trouver ; rappeler ; reconnaître ; prendre ; remplacer ; donne ; porte ; passer ; donner
faucher.v 290 :: brise ; fou ; commune ; grand ; prairie ; petit ; rustique ; long ; cruel ; pousse
fonder.v 6 :: créer ; organiser ; fondre ; former ; diriger ; rejoindre ; bâtir ; installer ; ouvrir ; aider
fonder.v 7 :: motiver ; sous-tendre ; guide ; force ; marque ; porte ; traverser ; légitime ; gouverne ; appuyer
fonder.v 54 :: base ; construire ; bâtir ; appuyer ; gagner ; marque ; trouver ; force ; tire ; forge
fonder.v 66 :: créer ; diriger ; bâtir ; forge ; ferme ; débuter ; rédiger ; constituer ; reforme ; instituer
fonder.v 88 :: créer ; rejoindre ; intégrer ; joindre ; formule ; ferme ; forme ; quitte ; finance ; anime
fonder.v 93 :: traverser ; forme ; force ; forge ; marque ; définir ; influence ; assurer ; appuyer ; fabrique
fonder.v 158 :: base ; fond ; appuyer ; repose ; bâtir ; ferme ; cale ; cadre ; fixe ; greffe
fonder.v 212 :: faire ; fondation ; fondre ; former ; établir ; bientôt ; créer ; officiellement ; fer ; presque
fonder.v 264 :: traverser ; vraiment ; définir ; force ; motiver ; valide ; constituer ; bâtir ; base ; caractériser
fonder.v 286 :: forge ; forme ; réunir ; créer ; rassembler ; développer ; compte ; fabrique ; devenir ; fond
grossier.a 24 :: stupide ; grave ; absurde ; flagrant ; grotesque ; ridicule ; évident ; complet ; valable ; simple
grossier.a 37 :: répandre ; complet ; efficace ; avancer ; précis ; exact ; flagrant ; utiliser ; subtil ; évident
grossier.a 85 :: vulgaire ; vicieux ; vil ; cruel ; brutal ; superficiel ; blessant ; sale ; soumettre ; délicat
grossier.a 108 :: rond ; humain ; dur ; fait ; caillou ; être ; grossièrement ; nain ; objet ; creux
grossier.a 134 :: léger ; vulgaire ; petit ; bon ; subtil ; mauvais ; méchant ; simple ; flagrant ; pauvre
grossier.a 179 :: petit ; analyse ; publicité ; intention ; tentative ; correction ; manoeuvre ; mauvais ; bon ; erreur
grossier.a 227 :: agressif ; vulgaire ; raciste ; violent ; ridicule ; arrogant ; hypocrite ; brutal ; autoritaire ; poli
grossier.a 228 :: commentaire ; mensonge ; témoignage ; message ; sexuel ; social ; lien ; contenir ; fait ; caractère
grossier.a 231 :: humain ; profond ; matériel ; inférieur ; vulgaire ; commune ; quotidien ; supérieur ; social ; primitif
grossier.a 300 :: faire ; stupide ; barbare ; répéter ; vocal ; oraler ; commune ; vulgaire ; féroce ; épars
hermétique.a 203 :: étancher ; mystérieux ; porte ; fragile ; opaque ; cloison ; lecture ; demeurer ; enfermer ; univers
hermétique.a 71 :: mystérieux ; secret ; confidentiel ; effrayant ; énigmatique ; inquiétant ; discret ; opaque ; explicite ; obscur
hermétique.a 99 :: fermer ; plastique ; sceller ; congélation ; entier ; transparent ; alimentaire ; individuel ; forme ; métallique
hermétique.a 126 :: presque ; fermé ; fermeture ; noir ; totalement ; étanche ; quasi ; choc ; vue ; quasiment
hermétique.a 127 :: étanche ; froid ; magique ; élitiste ; technique ; obscur ; secret ; sec ; académique ; opaque
hermétique.a 220 :: univers ; magique ; au-delà ; parfaitement ; texte ; voire ; solide ; âme ; également ; évidemment
hermétique.a 226 :: attacher ; fermer ; imperméable ; étanche ; insensible ; face ; attentif ; étranger ; sensible ; hostile
hermétique.a 261 :: magique ; opaque ; efficace ; sensible ; incompréhensible ; adapter ; spectaculaire ; éphémère ; audible ; convenir
hermétique.a 278 :: chimique ; fermé ; secret ; blanc ; alimentaire ; glacé ; plastique ; noir ; étanche ; transparent
hermétique.a 204 :: vide ; étrangement ; presque ; déjà ; seul ; vraiment ; définitivement ; désespérément ; voire ; pourtant
incorrect.a 45 :: actif ; approprier ; der ; exploiter ; estimer ; humaine ; adapter ; cohérent ; ré ; naître
incorrect.a 125 :: vraiment ; con ; in ; complètement ; mal ; totalement ; femme ; presque ; super ; faux
incorrect.a 132 :: radio ; an ; côté ; mois ; haut ; cours ; second ; également ; jour ; cas
incorrect.a 156 :: in ; professionnel ; vraiment ; politique ; parfaitement ; entièrement ; immédiatement ; pratique ; apparemment ; raisonnable
incorrect.a 159 :: transposition ; application ; pratique ; interprétation ; reproduction ; version ; utilisation ; législation ; édition ; procédure
incorrect.a 177 :: précis ; aléatoire ; correct ; déterminer ; arbitraire ; donner ; continu ; prédéterminer ; public ; contraire
incorrect.a 217 :: politiquement ; ici ; stupide ; correct ; bon ; faux ; approprié ; mauvais ; ridicule ; élevé
incorrect.a 241 :: vraiment ; parfaitement ; complètement ; totalement ; rester ; dire ; apparemment ; également ; presque ; forcément
incorrect.a 298 :: attention ; ci-dessous ; impressionnant ; conclusion ; résultat ; remarqu ; politique ; surprenant ; responsabilité ; félicitation
incorrect.a 299 :: personnel ; confidentiel ; privé ; donnée ; bancaire ; protéger ; financier ; sensible ; transmettre ; effacer
intérêt.n 63 :: avis ; élément ; objectif ; sentiment ; opinion ; enjeu ; point ; axe ; appétit ; aspiration
intérêt.n 97 :: international ; nouveau ; effectif ; article ; ensemble ; appareil ; utilisateur ; opinion ; audiovisuelle ; entreprise
intérêt.n 129 :: air ; international ; étroit ; art ; alpha ; étymologie ; us ; effectif ; apercevoir ; adjectif
intérêt.n 146 :: eau ; image ; âge ; automne ; ouverture ; actuel ; éducation ; état ; école ; or
intérêt.n 155 :: audit ; audiovisuel ; effectif ; article ; audiovisuelle ; air ; origine ; alpha ; interne ; assemblée
intérêt.n 218 :: avantage ; intéressant ; attrer ; utilité ; côté ; important ; bénéfice ; élément ; profit ; sens
intérêt.n 263 :: excellent ; air ; art ; lorsqu ; aide ; heureux ; étroit ; aimable ; efficace ; effectif
intérêt.n 268 :: nouveau ; excellent ; aide ; or ; actuel ; international ; usage ; image ; étroit ; clip
intérêt.n 271 :: or ; illustre ; ensemble ; image ; origine ; aide ; exemple ; excellent ; animal ; indispensable
intérêt.n 297 :: animal ; ensemble ; image ; enseigner ; air ; aide ; art ; double ; or ; immigré
interpréter.v 18 :: chanter ; jouer ; interprétation ; offrir ; enregistrer ; présenter ; écrire ; arranger ; incarner ; composer
interpréter.v 21 :: arranger ; jouer ; écouter ; enregistrer ; adapter ; interprétation ; chanter ; reprendre ; publier ; illustrer
interpréter.v 59 :: expliquer ; comprendre ; inverser ; analyser ; penser ; voir ; amplifier ; largement ; également ; décrypter
interpréter.v 80 :: aide ; expérience ; accueil ; établissement ; art ; ouverture ; usage ; histoire ; image ; origine
interpréter.v 123 :: alpha ; air ; an ; étroit ; international ; étymologie ; in ; aide ; suer ; obsolescence
interpréter.v 128 :: joue ; incarner ; camper ; double ; interprétation ; cher ; ici ; imaginer ; tenir ; prendre
interpréter.v 157 :: traduire ; recevoir ; accueillir ; écrire ; émettre ; envoyer ; interprétation ; encaisse ; analyse ; actif
interpréter.v 260 :: comprendre ; analyser ; apprécier ; exploiter ; décrypter ; expliquer ; faire ; interprétation ; lire ; déchiffrer
interpréter.v 267 :: interprétation ; comprendre ; observer ; écrire ; lire ; vivre ; prise ; attribuer ; considérer ; traiter
interpréter.v 289 :: chanter ; ici ; animé ; magnifiquement ; être ; admirablement ; incarner ; ré ; dansé ; merveilleusement
maintenir.v 94 :: soutenir ; écrire ; apprendre ; déclarer ; ajouter ; entendre ; répéter ; souligner ; répondre ; montrer
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; apposer ; signaler ; disponible ; mettre ; renseigner
maintenir.v 154 :: garder ; renforcer ; confirmer ; mettre ; continuer ; conserver ; augmenter ; entretenir ; assurer ; poursuivre
maintenir.v 175 :: garder ; préserver ; conserver ; retenir ; maintien ; demeurer ; entretenir ; mettre ; perpétuer ; stabiliser
maintenir.v 183 :: garder ; conserver ; préserver ; assurer ; entretenir ; garantir ; mettre ; favoriser ; rester ; maintien
maintenir.v 207 :: garder ; demeurer ; maintien ; préserver ; rester ; conserver ; favoriser ; retenir ; transporter ; entretenir
maintenir.v 230 :: tenir ; pouvoir ; devoir ; compter ; dernier ; être ; reston ; vouloir ; souhaiter ; garder
maintenir.v 234 :: proposer ; souhaiter ; affirmer ; soutenir ; rappeler ; estime ; demande ; considérer ; déclarer ; réaffirmer
maintenir.v 251 :: soutenir ; appuyer ; tenir ; maintien ; soutien ; fermement ; conserve ; réaffirmer ; condamner ; également
maintenir.v 281 :: tenir ; compte ; fermement ; reston ; dernier ; bref ; appui ; position ; pari ; bon
mince.a 17 :: épais ; fin ; léger ; lisse ; maigre ; ordinaire ; régulier ; fort ; fragile ; peut-être
mince.a 96 :: fin ; épais ; régulier ; léger ; grossier ; sec ; continuer ; lisse ; fixe ; supérieur
mince.a 147 :: léger ; sommaire ; fin ; maigre ; faible ; original ; simple ; petit ; présente ; bel
mince.a 170 :: fragile ; être ; fort ; déjà ; bon ; serrer ; léger ; extrêmement ; petit ; élément
mince.a 192 :: épais ; fin ; léger ; petit ; verre ; feuille ; plaque ; écran ; lisse ; boîtier
mince.a 202 :: fin ; épais ; léger ; petit ; nouveau ; double ; second ; large ; dernier ; maigre
mince.a 213 :: maigre ; petit ; léger ; résultat ; presque ; indice ; avantage ; sujet ; élément ; fin
mince.a 225 :: petit ; match ; ligne ; eau ; feuille ; livre ; tendre ; joli ; couche ; maigre
mince.a 242 :: extrêmement ; fort ; compromettre ; limite ; chose ; vraiment ; partie ; également ; déjà ; peut-être
mince.a 292 :: fin ; épais ; léger ; métallique ; poreux ; écran ; conducteur ; lisse ; régulier ; intermédiaire
modeste.a 29 :: petit ; humble ; minuscule ; budget ; local ; confortable ; studio ; bâtiment ; maigre ; logement
modeste.a 114 :: bon ; honnête ; humble ; pauvre ; généreux ; petit ; gentil ; libre ; loyal ; vivant
modeste.a 121 :: important ; petit ; faible ; minime ; significatif ; considérable ; élevé ; essentiel ; nécessaire ; minuscule
modeste.a 163 :: petit ; limité ; minime ; léger ; faible ; important ; récent ; spectaculaire ; modique ; significatif
modeste.a 195 :: limité ; suffisant ; misérable ; important ; mensuel ; faible ; substantiel ; restreindre ; tirer ; matériel
modeste.a 197 :: zou ; lift ; pin ; lin ; poli ; marcher ; jade ; gêne ; marina ; passer
modeste.a 200 :: limité ; restreindre ; réduire ; petit ; faible ; sommaire ; chose ; prudent ; mesurer ; utile
modeste.a 246 :: élevé ; faible ; important ; léger ; inférieur ; considérable ; populaire ; humble ; médiocre ; grand
modeste.a 269 :: humble ; digne ; petit ; jeune ; honnête ; pauvre ; bon ; médiocre ; misérable ; pieux
modeste.a 283 :: humble ; pauvre ; discret ; fragile ; digne ; timide ; petit ; solide ; généreux ; léger
montée.n 15 :: côte ; droite ; faveur ; poussée ; courbe ; tendance ; victoire ; réduction ; progression ; monte
montée.n 56 :: descente ; montagne ; hiérarchie ; poussée ; augmentation ; hausse ; progression ; pente ; partie ; baisse
montée.n 75 :: suite ; descente ; balade ; monte ; entrée ; journée ; visite ; promotion ; dernier ; face
