affection.n 8 :: considération ; dernier ; reconnaissance ; nouveau ; observation ; important ; intéressant ; douloureux ; extraordinaire ; continuation
commander.v 206 :: commande ; donner ; protéger ; surveiller ; tenir ; petit ; unir ; tirer ; gérer ; acheter
commander.v 240 :: commande ; régler ; faire ; contrôler ; gérer ; payer ; programmer ; piloter ; également ; personnaliser
compris.a 52 :: assimiler ; accepter ; lire ; compréhensible ; clair ; contenue ; profond ; intégrer ; reconnaître ; inclus
compris.a 90 :: penser ; croire ; trouver ; falloir ; sentir ; considérer ; estimer ; prévoir ; juger ; ajouter
compris.a 106 :: entendre ; penser ; clair ; vivre ; comprendre ; réfléchir ; vous ; sentir ; conscient ; présent
compris.a 185 :: inclure ; contenir ; présent ; nécessaire ; contradiction ; inscrire ; découvrir ; incorporer ; également ; apprendre
compris.a 186 :: situer ; inclure ; rester ; présent ; entrer ; inscrire ; perdre ; placer ; absent ; sortir
compris.a 187 :: inclure ; contenu ; compter ; prendre ; publier ; estimer ; définir ; paraître ; moyen ; situer
compris.a 211 :: répartir ; bon ; régulier ; présent ; élevé ; minimal ; définir ; situer ; constant ; observer
compris.a 232 :: inclure ; compter ; prendre ; intégré ; contenu ; reprendre ; figurer ; comptabiliser ; inclus ; couvert
compris.a 272 :: saisir ; comprendre ; croire ; capter ; réaliser ; savoir ; penser ; entendre ; deviner ; intégré
compris.a 287 :: comprendre ; également ; avoir ; mot ; expliquer ; apprécier ; être ; vite ; fois ; entendre
couverture.n 65 :: page ; dernier ; intégral ; moitié ; entier ; complet ; intégralité ; semaine ; totalité ; toiture
couverture.n 67 :: vie ; peau ; réputation ; survie ; route ; mort ; chance ; veste ; carrière ; voil
couverture.n 72 :: couvrir ; peau ; housse ; vous ; sol ; vêtement ; protection ; couvert ; sécurité ; toiture
couverture.n 143 :: manchette ; page ; couvrir ; sommaire ; fort ; peau ; front ; vedette ; bref ; conclusion
couverture.n 149 :: protection ; régime ; traitement ; pension ; marge ; répartition ; sécurité ; vie ; assurance ; carte
couverture.n 150 :: toiture ; couvrir ; charpente ; tuile ; pierre ; dalle ; toit ; protection ; voûte ; construction
couverture.n 201 :: surveillance ; protection ; sécurité ; transformation ; gestion ; cartographie ; planification ; développement ; définition ; desserte
couverture.n 257 :: remplacement ; construction ; toiture ; revêtement ; protection ; transformation ; base ; soutien ; sécurité ; transport
couverture.n 265 :: couvrir ; voil ; serviette ; peau ; veste ; véranda ; housse ; protection ; parapluie ; pyjama
couverture.n 280 :: peau ; lune ; nouveau ; reliure ; lumière ; police ; couette ; jaquette ; protection ; principal
débit.n 64 :: banque ; compte ; crédit ; montant ; dépôt ; retrait ; transfert ; commerce ; carte ; passage
débit.n 87 :: qualité ; niveau ; accès ; écoulement ; flux ; cours ; rivière ; flot ; débordement ; aval
débit.n 115 :: niveau ; volume ; régime ; rythme ; poids ; cours ; nombre ; flux ; écoulement ; débordement
débit.n 131 :: dépôt ; flux ; eau ; niveau ; cours ; rejet ; prélèvement ; produit ; courant ; grave
débit.n 136 :: cours ; flux ; effectif ; rive ; valeur ; berge ; rendement ; coefficient ; caractéristique ; eau
débit.n 168 :: carte ; faciliter ; automatique ; rapide ; opération ; montant ; compte ; accès ; facile ; ligne
débit.n 169 :: cours ; commerce ; prix ; moyen ; financement ; niveau ; écart ; produit ; crédit ; jour
débit.n 184 :: taux ; rythme ; intérêt ; vitesse ; stockage ; record ; traitement ; score ; capacité ; rendement
débit.n 188 :: apport ; flux ; cours ; eau ; effectif ; versant ; niveau ; volume ; débordement ; valeur
débit.n 205 :: flux ; rythme ; style ; caractère ; discours ; trafic ; contenu ; canal ; langage ; code
direction.n 78 :: conduite ; responsabilité ; coordination ; diriger ; présidence ; directrice ; maîtrise ; critique ; performance ; discipline
direction.n 111 :: directrice ; général ; principal ; management ; nouveau ; directeur ; supérieur ; gestion ; stratégique ; financier
direction.n 151 :: directrice ; directeur ; présidence ; gestion ; conduite ; responsable ; responsabilité ; tête ; supérieur ; management
direction.n 152 :: sens ; ligne ; droite ; orientation ; vertical ; descente ; tendance ; supérieur ; orienter ; inversion
direction.n 172 :: rejoindre ; cap ; aller ; quitte ; forme ; retrouver ; voir ; bonjour ; peut-être ; destination
direction.n 176 :: conduite ; orientation ; commande ; comportement ; droite ; rapport ; forme ; directrice ; contrôle ; performance
direction.n 199 :: nouveau ; supérieur ; ligne ; interne ; actuel ; général ; bon ; coopératif ; bureau ; management
direction.n 223 :: conduite ; responsabilité ; maîtrise ; tâche ; présidence ; gestion ; directrice ; voie ; discipline ; main
direction.n 262 :: responsabilité ; directrice ; gestion ; conduite ; tête ; présidence ; maîtrise ; directeur ; charge ; stratégie
direction.n 279 :: destination ; gare ; pari ; venir ; vallée ; raison ; sens ; national ; province ; région
don.n 19 :: sens ; talent ; génie ; pouvoir ; style ; doué ; temps ; secret ; domaine ; fonds
don.n 30 :: talent ; sens ; instinct ; élan ; oeil ; pouvoir ; atout ; trait ; côté ; loisir
don.n 36 :: talent ; sens ; pouvoir ; cadeau ; droit ; ministère ; amour ; livre ; génie ; bon
don.n 60 :: cadeau ; traitement ; talent ; travail ; livre ; sortir ; legs ; génie ; domaine ; miracle
don.n 84 :: enfant ; animal ; fonds ; apport ; legs ; bien ; produit ; versement ; lien ; déchet
don.n 107 :: cadeau ; part ; présent ; faveur ; preuve ; confiance ; profit ; objet ; livre ; prix
don.n 130 :: cadeau ; legs ; ami ; généreux ; bon ; soutien ; fonds ; apport ; bénéficiaire ; bénédiction
don.n 196 :: talent ; génie ; droit ; pouvoir ; secret ; traitement ; trésor ; contraire ; privilèg ; ministère
don.n 244 :: cadeau ; bon ; soutien ; mécénat ; legs ; souher ; geste ; citoyen ; bénévolat ; testament
don.n 245 :: travail ; témoignage ; talent ; miracle ; rôle ; trésor ; nom ; cas ; geste ; signe
entraîner.v 39 :: or ; art ; aide ; ouverture ; ici ; externe ; expédition ; international ; iranien ; image
entraîner.v 47 :: engager ; obliger ; encourager ; aider ; conduire ; amener ; pousse ; force ; inciter ; aide
entraîner.v 55 :: air ; aide ; international ; clip ; art ; image ; actuel ; arriver ; externe ; or
entraîner.v 57 :: or ; eau ; utilisateur ; apparemment ; international ; air ; effectif ; efficace ; ensemble ; allemand
entraîner.v 133 :: air ; interne ; autant ; apparent ; heureux ; art ; image ; aide ; ion ; origine
entraîner.v 140 :: mener ; envoyer ; aller ; engager ; amener ; pousser ; conduire ; attirer ; emporter ; avoir
entraîner.v 144 :: obliger ; invite ; amener ; avoir ; engager ; encourager ; conduire ; aller ; inviter ; pousse
entraîner.v 161 :: engendrer ; provoquer ; créer ; éviter ; causer ; amener ; produire ; apparaître ; induire ; conduire
entraîner.v 162 :: amener ; engendrer ; provoquer ; assurer ; encourager ; influence ; actif ; favoriser ; induire ; déclenche
entraîner.v 191 :: amener ; attirer ; emporter ; engager ; conduire ; atteindre ; envoyer ; emmener ; élever ; écarter
éplucher.v 10 :: peler ; nettoyer ; presser ; carotte ; ensuite ; écraser ; ôter ; extrair ; finement ; détacher
éplucher.v 51 :: travailler ; accès ; éplucher ; analyser ; écrire ; rire ; fouillé ; regarder ; manipuler ; dépouiller
éplucher.v 69 :: étudier ; examiner ; analyser ; vérifier ; lire ; faire ; dépouiller ; consulter ; scanner ; fouiller
éplucher.v 100 :: éplucher ; couper ; finement ; oignon ; ôter ; mûr ; presser ; râper ; hacher ; récolter
éplucher.v 119 :: fouillé ; éplucher ; parcourir ; regarder ; survoler ; lire ; travailler ; chercher ; déjà ; bon
éplucher.v 167 :: laver ; feuille ; poireau ; super ; courgette ; oignon ; légume ; poire ; passer ; carotte
éplucher.v 174 :: consulter ; voir ; regarder ; lire ; retrouver ; découvrir ; analyser ; parcourir ; fouiller ; supprimer
éplucher.v 235 :: peler ; faire ; couper ; trancher ; cuire ; commencer ; blanchir ; manger ; laver ; moitié
éplucher.v 236 :: éplucher ; aller ; fouillé ; regarder ; devoir ; vraiment ; énormément ; collecter ; scrupuleusement ; forcément
éplucher.v 258 :: peler ; fruit ; manger ; tomate ; vomissement ; fraise ; écraser ; fois ; enlever ; éliminer
espace.n 13 :: international ; alpha ; étroit ; effectif ; externe ; air ; adjectif ; américain ; obsolescence ; us
espace.n 27 :: air ; eau ; or ; envoi ; obliger ; aide ; actuel ; irlandais ; art ; immigré
espace.n 79 :: coin ; bureau ; zone ; priver ; temps ; studio ; grand ; petit ; pôle ; univers
espace.n 120 :: air ; article ; énergie ; étroit ; aide ; apercevoir ; objet ; excellent ; art ; ensemble
espace.n 137 :: environnement ; avenir ; appartement ; hébergement ; emballage ; être ; enfant ; investissement ; objectif ; entreprise
espace.n 142 :: air ; audiovisuelle ; alpha ; international ; interne ; étymologie ; étroit ; cor ; art ; externe
espace.n 180 :: lien ; équilibre ; échange ; place ; relation ; interaction ; déplacement ; intervalle ; partage ; temps
espace.n 208 :: innombrable ; dernier ; ancien ; nouveau ; information ; entreprise ; exploitation ; ensemble ; article ; premier
espace.n 229 :: événement ; développement ; investissement ; petit ; propre ; environnement ; aménagement ; projet ; équipement ; service
espace.n 243 :: article ; coin ; ensemble ; rôle ; jeu ; enfant ; domaine ; écran ; temps ; monde
essuyer.v 11 :: essuyer ; soigneusement ; laver ; ensuite ; essuie ; appliquer ; avoir ; passer ; faire ; être
essuyer.v 58 :: subir ; rencontrer ; accumuler ; essuie ; constater ; avoir ; remarquer ; cumulé ; ici ; régler
essuyer.v 77 :: essuie ; an ; os ; in ; écrire ; ion ; avoir ; expliquer ; xi ; lire
essuyer.v 81 :: être ; répondit ; ra ; avoir ; réponse ; paraître ; ment ; peut-être ; clair ; répondre
essuyer.v 86 :: essuie ; ensuite ; entendre ; également ; recevoir ; tenir ; voir ; off ; obtenir ; ensemble
essuyer.v 89 :: systématiquement ; essuie ; refus ; refuser ; régulièrement ; pourtant ; déjà ; terrain ; également ; constamment
essuyer.v 98 :: faire ; voir ; recevoir ; encaisser ; subir ; utiliser ; gagner ; prendre ; souffrir ; rencontrer
essuyer.v 166 :: pépin ; sécher ; noyau ; éplucher ; graine ; peler ; baie ; olive ; fruit ; légume
essuyer.v 215 :: subir ; recevoir ; affronter ; déjà ; recueillir ; obtenir ; encaisser ; finalement ; rencontrer ; revers
essuyer.v 266 :: soigneusement ; essuie ; laver ; torchon ; délicatement ; ensuite ; enlever ; retourner ; laisser ; nettoyer
faucher.v 12 :: écraser ; tuer ; projeter ; agresser ; renverser ; briser ; abattre ; assassiner ; grièvement ; déposer
faucher.v 42 :: mieux ; découverte ; déjà ; peut-être ; également ; devenir ; accessible ; récolter ; donnée ; révéler
faucher.v 116 :: semer ; abattre ; donner ; labour ; pousser ; jeter ; travailler ; enlever ; arracher ; laisser
faucher.v 160 :: coûter ; tombe ; séparer ; moussa ; malheureux ; mettre ; vie ; face-à-face ; être ; divorce
faucher.v 214 :: presque ; mieux ; faire ; acheter ; voir ; mal ; extrêmement ; payer ; vraiment ; travailler
faucher.v 239 :: donne ; acheter ; presque ; jeter ; tombe ; précieux ; prêt ; cassé ; court ; casser
faucher.v 248 :: abattre ; marque ; trouver ; meurtre ; coupe ; tombe ; article ; plaqu ; taire ; photo
faucher.v 276 :: couper ; abattre ; planter ; semer ; entretenir ; pousser ; alterner ; échanger ; cueillir ; trier
faucher.v 282 :: remplacer ; marque ; éliminer ; cherche ; écarter ; préférer ; piqu ; tromp ; casser ; sauf
faucher.v 290 :: abattre ; grièvement ; gravement ; tuer ; trouver ; plaqué ; blesser ; élevé ; envoyer ; laisser
fonder.v 6 :: créer ; fondre ; ouvrir ; organiser ; diriger ; former ; tenir ; installer ; développer ; bâtir
fonder.v 7 :: motiver ; force ; sous-tendre ; constituer ; porte ; caractériser ; conditionne ; définir ; forme ; traverser
fonder.v 54 :: repose ; base ; appuyer ; bâtir ; solidement ; solide ; asseoir ; porte ; baser ; constituer
fonder.v 66 :: rejoindre ; ferme ; quitte ; commencer ; formule ; ouvrir ; charge ; traverser ; installer ; dessiner
fonder.v 88 :: installer ; fondation ; centre ; forme ; commencer ; créer ; fixe ; développer ; fond ; trouver
fonder.v 93 :: force ; base ; appuyer ; presque ; repose ; porte ; pourtant ; modèle ; solide ; solidement
fonder.v 158 :: base ; bâtir ; repose ; appuyer ; forge ; construire ; fond ; baser ; focaliser ; situer
fonder.v 212 :: former ; faire ; créer ; constituer ; forger ; devenir ; contracter ; développer ; fabriquer ; composer
fonder.v 264 :: définir ; valide ; motiver ; constituer ; force ; base ; faire ; appuyer ; justifier ; ferme
fonder.v 286 :: créer ; forme ; rassembler ; compte ; développer ; fond ; réunir ; anime ; diriger ; fabrique
grossier.a 24 :: stupide ; fin ; exact ; simple ; évident ; grotesque ; absurde ; pertinent ; ridicule ; complet
grossier.a 37 :: complet ; évident ; subtil ; efficace ; avancer ; répandre ; cruel ; utiliser ; habile ; élégant
grossier.a 85 :: vulgaire ; poli ; vicieux ; arrogant ; agressif ; lâche ; amical ; bête ; stupide ; ridicule
grossier.a 108 :: humide ; profond ; délicat ; tendre ; pauvre ; épar ; léger ; homogène ; tertiaire ; sec
grossier.a 134 :: léger ; long ; subtil ; flagrant ; évident ; grand ; sérieux ; gros ; petit ; lourd
grossier.a 179 :: énième ; évident ; subtil ; grand ; gros ; nouveau ; flagrant ; sérieux ; clair ; véritable
grossier.a 227 :: fin ; asiatique ; sale ; chat ; caractère ; poli ; chinois ; gras ; sel ; clair
grossier.a 228 :: mensonge ; détournement ; procédé ; manipulation ; cliché ; montage ; billet ; prétexte ; coup ; déplacer
grossier.a 231 :: terrestre ; vulgaire ; humain ; matériel ; facile ; public ; social ; simple ; moral ; populaire
grossier.a 300 :: stupide ; vocal ; théâtral ; féroce ; oraler ; antisémite ; corporel ; agressif ; brutal ; hypocrite
hermétique.a 203 :: opaque ; demeurer ; ultime ; mystère ; porte ; arcane ; monde ; boite ; clé ; cave
hermétique.a 71 :: énigmatique ; opaque ; obscur ; étanche ; étrange ; fermer ; hypocrite ; mystérieux ; louche ; éloquer
hermétique.a 99 :: fermer ; sceller ; étanche ; entier ; plastique ; chinois ; solide ; serrer ; complet ; presque
hermétique.a 126 :: système ; presque ; voire ; bloc ; étanche ; génial ; objet ; eau ; ensemble ; hautement
hermétique.a 127 :: étanche ; élitiste ; blanc ; rigide ; fermé ; froid ; religieux ; magique ; noir ; imperméable
hermétique.a 220 :: opaque ; clos ; fermer ; porte ; totalement ; écran ; mystérieux ; obscur ; huis ; complètement
hermétique.a 226 :: réfractaire ; insensible ; fermer ; imperméable ; allergique ; sensible ; perméable ; confronter ; attentif ; habituer
hermétique.a 261 :: opaque ; discret ; timide ; sec ; étanche ; hésiter ; secret ; fermer ; technique ; confidentiel
hermétique.a 278 :: fermé ; interne ; plastique ; close ; secret ; entièrement ; chimique ; alimentaire ; étanche ; métallique
hermétique.a 204 :: obscur ; inquiétant ; opaque ; apparent ; évident ; inaccessible ; impressionnant ; improbable ; auparavant ; étrange
incorrect.a 45 :: actif ; adapter ; nécessaire ; approprier ; opérationnel ; nommer ; proportionnel ; utile ; général ; évaluation
incorrect.a 125 :: ante ; us ; ent ; actuellement ; sensiblement ; visiblement ; humaine ; ente ; habituellement ; également
incorrect.a 132 :: rester ; impossible ; totalement ; extrêmement ; revenir ; devenir ; tomber ; incomplet ; entier ; orienter
incorrect.a 156 :: criminel ; raisonnable ; humaine ; judiciaire ; ordinaire ; juger ; également ; vraiment ; normal ; complètement
incorrect.a 159 :: application ; transposition ; interprétation ; pratique ; utilisation ; infraction ; exécution ; exploitation ; applicabilité ; évaluation
incorrect.a 177 :: précis ; erroné ; donner ; total ; automatique ; serrer ; entier ; prédéterminer ; contraire ; supérieur
incorrect.a 217 :: ici ; intéressant ; dépasser ; stupide ; politiquement ; sensible ; inapproprié ; prochainement ; élevé ; correct
incorrect.a 241 :: rée ; également ; complètement ; us ; vraiment ; naître ; forme ; totalement ; habituellement ; socialement
incorrect.a 298 :: irrégulier ; vrai ; correct ; erroné ; évident ; nécessaire ; ridicule ; dangereux ; inutile ; important
incorrect.a 299 :: personnel ; donnée ; information ; confidentiel ; opérationnel ; important ; transmettre ; financier ; bancaire ; personne
intérêt.n 63 :: avis ; opinion ; sentiment ; élément ; point ; objectif ; conception ; idée ; adversaire ; dessein
intérêt.n 97 :: ensemble ; irremplaçable ; objet ; évolution ; actuel ; entier ; international ; aide ; article ; origine
intérêt.n 129 :: nouveau ; étroit ; clip ; propre ; fort ; heureux ; art ; long ; principal ; aide
intérêt.n 146 :: or ; air ; image ; aide ; art ; énergie ; évolution ; éternel ; international ; acte
intérêt.n 155 :: commission ; nouveau ; secteur ; zone ; article ; principal ; groupe ; fonction ; air ; direction
intérêt.n 218 :: grand ; général ; principal ; moindre ; sérieux ; réel ; public ; autant ; petit ; fort
intérêt.n 263 :: or ; international ; ouverture ; art ; air ; aéroport ; envoi ; étrange ; étroit ; antique
intérêt.n 268 :: or ; air ; international ; évolution ; excellent ; ensemble ; heureux ; art ; actuel ; aide
intérêt.n 271 :: exemple ; article ; accès ; aide ; air ; aspect ; excellent ; insigne ; illustre ; international
intérêt.n 297 :: aide ; air ; image ; or ; animal ; art ; externe ; homme ; enseigner ; énergie
interpréter.v 18 :: ensuite ; ré ; principalement ; également ; chanter ; maint ; successivement ; tantôt ; jouer ; gracieusement
interpréter.v 21 :: exécuter ; chanter ; écrire ; arranger ; interprétation ; illustrer ; incarner ; adapter ; accompagner ; jouer
interpréter.v 59 :: expliquer ; comprendre ; analyser ; penser ; inverser ; entendre ; relativiser ; lire ; voir ; faire
interpréter.v 80 :: art ; or ; aide ; obliger ; image ; air ; étroit ; adjectif ; usage ; intense
interpréter.v 123 :: or ; ensemble ; origine ; obliger ; immigration ; international ; art ; étymologie ; immigré ; aide
interpréter.v 128 :: joue ; incarner ; interprétation ; ici ; camper ; double ; offrir ; assurer ; imaginer ; tenir
interpréter.v 157 :: principal ; incarner ; double ; rôle ; second ; narrateur ; texte ; cher ; comédien ; interprétation
interpréter.v 260 :: interprétation ; comprendre ; analyser ; faire ; apprécier ; décoder ; évaluer ; entendre ; manipuler ; conduire
interpréter.v 267 :: interprétation ; attribuer ; ici ; comprendre ; entendre ; présenter ; habituellement ; recevoir ; exprimer ; traiter
interpréter.v 289 :: incarner ; chanter ; animé ; imaginer ; jouer ; enseigner ; interprétation ; orchestré ; dansé ; porter
maintenir.v 94 :: apprendre ; ajouter ; écrire ; préciser ; déclarer ; enseigner ; montrer ; entendre ; affirmer ; conclure
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; signaler ; identifier ; disponible ; indiquer ; référencer
maintenir.v 154 :: garder ; renforcer ; conserver ; continuer ; poursuivre ; exercer ; retenir ; demeurer ; confirmer ; tenir
maintenir.v 175 :: garder ; préserver ; maintien ; mettre ; entretenir ; favoriser ; dominer ; conserver ; demeurer ; perpétuer
maintenir.v 183 :: garder ; conserver ; préserver ; assurer ; entretenir ; rester ; garantir ; favoriser ; respecter ; mettre
maintenir.v 207 :: maintien ; garder ; demeurer ; préserver ; conserver ; retenir ; soutenir ; rester ; réintégrer ; stabiliser
maintenir.v 230 :: tenir ; pouvoir ; devoir ; dernier ; être ; compter ; compte ; faire ; venir ; espérer
maintenir.v 234 :: comprendre ; souhaiter ; affirmer ; désigner ; réaliser ; signifier ; droit ; tenir ; conclure ; conserve
maintenir.v 251 :: réaffirmer ; répéter ; conserve ; tenir ; réitérer ; soutenir ; confirmer ; reprendre ; poursuivre ; renouveler
maintenir.v 281 :: tenir ; bon ; garder ; ajouter ; rester ; fermement ; demeure ; falloir ; veille ; persist
mince.a 17 :: intime ; fin ; visible ; étroit ; faible ; petit ; discret ; vulnérable ; serrer ; haut
mince.a 96 :: régulier ; fin ; épais ; léger ; bande ; moyen ; supérieur ; continuer ; forme ; rond
mince.a 147 :: intéressant ; faible ; léger ; maigre ; facile ; complexe ; bel ; linéaire ; lisse ; égal
mince.a 170 :: serrer ; épais ; faible ; maigre ; léger ; plat ; fort ; menu ; étroit ; petit
mince.a 192 :: léger ; papier ; épais ; écran ; petit ; fin ; légèrement ; feuille ; simple ; membrane
mince.a 202 :: fin ; épais ; couche ; épaisseur ; dernier ; voil ; étonnant ; couverture ; léger ; petit
mince.a 213 :: petit ; léger ; minime ; maigre ; peut-être ; faible ; énorme ; presque ; négligeable ; minuscule
mince.a 225 :: déjà ; filet ; également ; petit ; léger ; pourtant ; maigre ; voil ; corps ; fin
mince.a 242 :: fin ; étroit ; poreux ; flou ; franchir ; faible ; perméable ; net ; court ; inexistant
mince.a 292 :: fin ; conducteur ; épais ; léger ; invisible ; physique ; actif ; périphérique ; lisse ; céramique
modeste.a 29 :: petit ; minuscule ; humble ; grand ; misérable ; simple ; coin ; minable ; vaste ; dérisoire
modeste.a 114 :: humble ; honnête ; bon ; pauvre ; petit ; digne ; poli ; généreux ; discret ; gentil
modeste.a 121 :: significatif ; minime ; important ; faible ; modérer ; limité ; timide ; restreindre ; marginal ; petit
modeste.a 163 :: minime ; léger ; limité ; petit ; modique ; personnel ; significatif ; important ; matériel ; substantiel
modeste.a 195 :: faible ; élevé ; honorable ; important ; misérable ; mince ; limité ; médiocre ; conséquent ; symbolique
modeste.a 197 :: élevé ; aisé ; moyen ; faible ; fragile ; revenu ; petit ; français ; concerner ; récent
modeste.a 200 :: limité ; faible ; petit ; restreindre ; nécessaire ; réduire ; important ; canada ; utile ; fort
modeste.a 246 :: élevé ; important ; marchand ; faible ; léger ; économique ; inférieur ; intermédiaire ; négligeable ; politique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; bon ; noble ; fier ; simple ; devenir
modeste.a 283 :: humble ; digne ; timide ; discret ; touchant ; mature ; sincère ; confidentiel ; poli ; modestie
montée.n 15 :: courbe ; descente ; côte ; sortie ; progression ; venir ; baisse ; pente ; hausse ; poussée
montée.n 56 :: partie ; hauteur ; augmentation ; construction ; chute ; hausse ; progression ; descente ; gestion ; montagne
montée.n 75 :: descente ; terrasse ; monte ; suite ; passerelle ; promenade ; galerie ; panoramique ; face ; chute
montée.n 138 :: évolution ; hausse ; gestion ; performance ; croissance ; poussée ; progression ; demande ; complexité ; puissance
