affection.n 8 :: disposition ; maladie ; occasion ; dernier ; institution ; considération ; affectation ; époque ; extrémité ; opération
arrêter.v 291 :: publier ; établir ; signer ; proposer ; décider ; délivrer ; éditer ; émettre ; adopter ; acquérir
capacité.n 26 :: faculté ; puissance ; force ; flexibilité ; souplesse ; disponibilité ; possibilité ; capable ; compétence ; pouvoir
capacité.n 32 :: réserve ; tête ; chaîne ; charge ; propriété ; puissance ; quantité ; force ; possibilité ; durée
capacité.n 35 :: voire ; membre ; an ; in ; ami ; associer ; également ; personne ; tiers ; droit
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; sécurité ; rentabilité ; consommation ; affluence ; construction ; taille
capacité.n 73 :: faculté ; compétence ; force ; souplesse ; aptitude ; formation ; volonté ; disponibilité ; possibilité ; détermination
capacité.n 101 :: faculté ; propre ; force ; puissance ; compétence ; aptitude ; fonction ; capable ; liberté ; possibilité
capacité.n 103 :: disponibilité ; ressource ; stock ; réserve ; quantité ; possibilité ; unité ; marge ; infrastructure ; zone
capacité.n 110 :: possibilité ; batterie ; quantité ; réserve ; réduction ; puissance ; différence ; suite ; supplémentaire ; location
capacité.n 135 :: liberté ; faculté ; marge ; possibilité ; pouvoir ; puissance ; droit ; force ; sphère ; maîtrise
capacité.n 148 :: maîtrise ; formation ; compétence ; certification ; spécialisation ; faculté ; connaissance ; qualité ; qualification ; maturité
commander.v 5 :: publier ; accomplir ; écrire ; réaliser ; demander ; dicter ; signer ; tenir ; donner ; envoyer
commander.v 9 :: commander ; gratuitement ; acheter ; ligne ; commencer ; vous ; rapidement ; ici ; simplement ; dé
commander.v 16 :: commanda ; consigne ; diriger ; ordonner ; recevoir ; mener ; préside ; soutenir ; commandant ; combat
commander.v 41 :: définir ; commencer ; choisir ; décider ; faire ; voir ; demander ; gérer ; suivre ; effectuer
commander.v 48 :: contrôlent ; tirer ; gérer ; diriger ; mener ; dominer ; créer ; financer ; déterminer ; régir
commander.v 117 :: commande ; dicter ; demande ; demander ; valoir ; devoir ; vouloir ; donne ; donner ; prescrire
commander.v 164 :: ordonner ; obéir ; conseiller ; enjoindre ; prescrire ; dicter ; imposer ; enseigne ; commanda ; régler
commander.v 171 :: commande ; acheter ; acquérir ; commencer ; admirer ; partir ; déguster ; imprimer ; essayer ; observer
commander.v 206 :: droit ; permettre ; commande ; venir ; acheter ; marque ; protéger ; donne ; tandis ; donner
commander.v 240 :: commande ; régler ; faire ; payer ; uniquement ; prendre ; voire ; également ; contrôler ; assister
compris.a 52 :: accepter ; partager ; interpréter ; assimiler ; vivre ; approuver ; intégrer ; entendre ; lire ; étudier
compris.a 90 :: penser ; ajouter ; déclarer ; reconnaître ; trouver ; falloir ; croire ; prévoir ; juger ; indiquer
compris.a 106 :: penser ; entendre ; deviner ; sentir ; croire ; vivre ; déjà ; confirmer ; vouloir ; apprendre
compris.a 185 :: présent ; inclure ; participation ; également ; ci-dessous ; inscrire ; publier ; nécessaire ; observation ; ouvrage
compris.a 186 :: rester ; situer ; inclure ; présent ; entrer ; déjà ; mort ; sortir ; perdre ; aller
compris.a 187 :: compter ; inclure ; moyen ; varier ; répartir ; suggérer ; évaluer ; situer ; calculer ; choisir
compris.a 211 :: répartir ; maximal ; moyen ; situer ; varier ; mesurer ; régulier ; minimal ; inclus ; grouper
compris.a 232 :: inclure ; compter ; prendre ; intégré ; reprendre ; contenu ; comptabiliser ; inclus ; comprendre ; incorporer
compris.a 272 :: saisir ; comprendre ; capter ; croire ; réaliser ; percevoir ; penser ; retenir ; intégré ; apprécier
compris.a 287 :: inclure ; comprendre ; présent ; an ; cas ; aimer ; lire ; savoir ; prendre ; prix
couverture.n 65 :: dernier ; suite ; nouveau ; page ; histoire ; fiche ; série ; complet ; édition ; description
couverture.n 67 :: peau ; vie ; toile ; voil ; réputation ; mort ; corde ; survie ; chance ; route
couverture.n 72 :: assurance ; produit ; toiture ; clientèle ; fonds ; peau ; dossier ; terrasse ; entreprise ; bouclier
couverture.n 143 :: manchette ; vignette ; illustration ; page ; marge ; éditorial ; titre ; case ; fond ; pochette
couverture.n 149 :: protection ; gestion ; sécurité ; garantie ; régime ; perception ; vie ; responsabilité ; répartition ; réduction
couverture.n 150 :: toiture ; couvrir ; dalle ; toit ; charpente ; pierre ; tuile ; brique ; façade ; coquille
couverture.n 201 :: surveillance ; protection ; desserte ; sécurité ; transformation ; gestion ; couvrir ; développement ; défense ; extension
couverture.n 257 :: couvrir ; protection ; toiture ; terre ; voil ; sol ; housse ; matière ; surface ; revêtement
couverture.n 265 :: couvrir ; serviette ; couette ; housse ; véranda ; bâche ; cascade ; voil ; banquette ; bibliothèque
couverture.n 280 :: cape ; protection ; peau ; voil ; armure ; faux ; lune ; forme ; dernier ; carapace
débit.n 64 :: virement ; automatique ; compte ; retrait ; prélèvement ; faciliter ; dépôt ; bancaire ; banque ; chèqu
débit.n 87 :: montant ; salaire ; coût ; paiement ; prix ; crédit ; solde ; cours ; rachat ; versement
débit.n 115 :: niveau ; écoulement ; cours ; flot ; flux ; petit ; jet ; qualité ; rythme ; puissance
débit.n 131 :: eau ; flux ; courant ; bassin ; niveau ; chambre ; réservoir ; lit ; tremblement ; lac
débit.n 136 :: cours ; flux ; bord ; potentiel ; prix ; rive ; courant ; eau ; volume ; effectif
débit.n 168 :: automatique ; partiel ; rapide ; accès ; internet ; supérieur ; minimum ; normal ; faible ; réel
débit.n 169 :: montant ; résultat ; compte ; financement ; cours ; total ; flux ; crédit ; solde ; niveau
débit.n 184 :: score ; rythme ; rendement ; taux ; intérêt ; chiffre ; total ; profit ; potentiel ; vitesse
débit.n 188 :: apport ; effectif ; flux ; rejet ; rendement ; niveau ; moyen ; stock ; coefficient ; prélèvement
débit.n 205 :: rythme ; tempo ; flux ; caractère ; style ; mouvement ; temps ; vol ; écoulement ; discours
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; houlette ; discipline ; diriger ; commande ; directrice ; main
direction.n 111 :: ligne ; orientation ; organisation ; conduite ; présidence ; tête ; base ; stratégie ; tendance ; directrice
direction.n 151 :: directrice ; directeur ; présidence ; équipe ; gestion ; maîtrise ; responsable ; management ; supérieur ; rédaction
direction.n 152 :: orientation ; forme ; conduite ; tendance ; constant ; ligne ; sens ; droite ; pente ; guide
direction.n 172 :: presque ; nommer ; doucement ; rejoindre ; bon ; bonjour ; vivement ; directeur ; peut-être ; nord
direction.n 176 :: conduite ; rapport ; orientation ; contrôle ; performance ; vitesse ; tendance ; virage ; sens ; tête
direction.n 199 :: nouveau ; dg ; bon ; général ; équipe ; clair ; national ; rédaction ; actuel ; ligne
direction.n 223 :: conduite ; création ; composition ; formation ; tête ; vie ; tâche ; gestion ; responsabilité ; constitution
direction.n 262 :: responsabilité ; présidence ; tête ; directrice ; charge ; gestion ; conduite ; main ; commande ; propriété
direction.n 279 :: provenance ; face ; venir ; destination ; revenir ; province ; vue ; région ; direct ; raison
don.n 19 :: talent ; sens ; style ; temps ; art ; degré ; pouvoir ; génie ; jour ; droit
don.n 30 :: talent ; fonds ; oeil ; bon ; pouvoir ; grand ; premier ; atout ; lien ; dernier
don.n 36 :: talent ; domaine ; pouvoir ; développement ; génie ; sens ; goût ; pencher ; livre ; travail
don.n 60 :: cadeau ; placement ; sacrifice ; titre ; mariage ; sacrement ; ministère ; résultat ; lien ; geste
don.n 84 :: enfant ; legs ; animal ; produit ; fonds ; cadeau ; achat ; investissement ; apport ; service
don.n 107 :: cadeau ; preuve ; présent ; part ; grâce ; signe ; geste ; sacrifice ; faire ; livre
don.n 130 :: cadeau ; fonds ; contribution ; généreux ; bénéficiaire ; enfant ; dépôt ; ami ; vocation ; homme
don.n 196 :: talent ; pouvoir ; génie ; temps ; traitement ; sens ; droit ; charm ; truc ; trésor
don.n 244 :: cadeau ; mécénat ; legs ; geste ; versement ; bon ; présent ; soutien ; souher ; prêt
don.n 245 :: cadeau ; talent ; pouvoir ; témoignage ; signe ; trait ; legs ; travail ; lien ; caractère
entraîner.v 39 :: or ; aide ; art ; air ; international ; ensemble ; image ; ouverture ; évolution ; iranien
entraîner.v 47 :: obliger ; engager ; aide ; amener ; encourager ; aider ; conduire ; pousse ; inciter ; invite
entraîner.v 55 :: air ; international ; interne ; actuel ; externe ; image ; arriver ; irréversible ; clip ; or
entraîner.v 57 :: international ; atlas ; effectif ; excellent ; alpha ; allemand ; or ; air ; grec ; aller
entraîner.v 133 :: aide ; ancien ; or ; ensemble ; animal ; image ; efficace ; aider ; art ; air
entraîner.v 140 :: amener ; mener ; emmener ; aller ; attirer ; pousser ; emporter ; envoyer ; attrer ; exiler
entraîner.v 144 :: invite ; obliger ; avoir ; engager ; amener ; inviter ; pousse ; inciter ; force ; encourager
entraîner.v 161 :: engendrer ; amener ; conduire ; nécessairement ; provoquer ; créer ; corriger ; produire ; aller ; induire
entraîner.v 162 :: amener ; engendrer ; provoquer ; assurer ; encourager ; déclenche ; conduire ; impliquer ; favoriser ; actif
entraîner.v 191 :: emporter ; conduire ; porter ; emmener ; amener ; attirer ; atteindre ; engager ; abandonner ; pousser
éplucher.v 10 :: peler ; amande ; aubergine ; ananas ; rhubarbe ; poivron ; cueillir ; gingembre ; fruit ; fleur
éplucher.v 51 :: analyser ; regarder ; éplucher ; examiner ; lire ; scrupuleusement ; vérifier ; travailler ; récolter ; systématiquement
éplucher.v 69 :: examiner ; rejeter ; étudier ; accepter ; analyser ; lire ; refuser ; avaler ; digérer ; relire
éplucher.v 100 :: éplucher ; récolter ; blanchir ; peser ; laver ; nettoyer ; retourner ; écraser ; peler ; arracher
éplucher.v 119 :: fouillé ; parcourir ; regarder ; lire ; croiser ; trouver ; chercher ; forum ; consulter ; répondre
éplucher.v 167 :: découvrir ; laver ; utiliser ; aller ; ajouter ; laisser ; oublier ; avoir ; retrouver ; mélanger
éplucher.v 174 :: consulter ; afficher ; effacer ; retrouver ; lire ; analyser ; voir ; découvrir ; parcourir ; regarder
éplucher.v 235 :: peler ; faire ; presser ; cuire ; enfiler ; tailler ; écraser ; cueillir ; affiner ; trancher
éplucher.v 236 :: lire ; voir ; jeu ; éplucher ; autour ; récolte ; suite ; accès ; également ; analyse
éplucher.v 258 :: peler ; blanchir ; légume ; oignon ; faire ; pépin ; presser ; laver ; écraser ; fruit
espace.n 13 :: art ; ensemble ; établissement ; or ; énergie ; accès ; accueil ; euro ; ouverture ; environnement
espace.n 27 :: or ; eau ; aide ; art ; énergie ; actuel ; action ; air ; acte ; histoire
espace.n 79 :: zone ; temps ; ensemble ; support ; environnement ; coin ; outil ; pôle ; lieu ; aire
espace.n 120 :: air ; excellent ; article ; information ; ancien ; propre ; accès ; avantage ; orientation ; enregistrement
espace.n 137 :: environnement ; emploi ; marché ; entreprise ; instrument ; investissement ; avenir ; accord ; domaine ; avantage
espace.n 142 :: air ; international ; interne ; afghan ; éternel ; actuel ; aide ; énergie ; image ; eau
espace.n 180 :: lien ; relation ; déplacement ; rapport ; emplacement ; lieu ; équilibre ; place ; arrangement ; service
espace.n 208 :: euro ; air ; instrument ; ensemble ; innombrable ; enseignant ; entreprise ; ancien ; article ; établissement
espace.n 229 :: investissement ; développement ; service ; événement ; propre ; aménagement ; talent ; projet ; produit ; environnement
espace.n 243 :: article ; ligne ; temps ; coin ; écran ; ensemble ; vide ; intervalle ; trou ; rôle
essuyer.v 11 :: laver ; essuyer ; faire ; nettoyer ; soigneusement ; nettoyage ; rincer ; remplir ; vouloir ; avoir
essuyer.v 58 :: subir ; accumuler ; causer ; recevoir ; essuie ; vivre ; rencontrer ; provoquer ; affronter ; avoir
essuyer.v 77 :: essuie ; larme ; fois ; rama ; commencer ; an ; année ; continuer ; déjà ; porte
essuyer.v 81 :: laver ; essuie ; avoir ; encre ; rester ; faire ; pouvoir ; éponge ; être ; larme
essuyer.v 86 :: devoir ; recueillir ; recevoir ; assurer ; accorder ; laisse ; obtenir ; passer ; donne ; conserve
essuyer.v 89 :: rencontrer ; recevoir ; subir ; constater ; opposer ; obtenir ; confronter ; revers ; remporter ; afficher
essuyer.v 98 :: encaisser ; faire ; recevoir ; subir ; utiliser ; porter ; souffrir ; rencontrer ; gagner ; prendre
essuyer.v 166 :: pépin ; sécher ; noyau ; éplucher ; baie ; peler ; graine ; feuille ; légume ; fruit
essuyer.v 215 :: subir ; recevoir ; essuie ; revers ; encaisser ; lire ; entendre ; obtenir ; constater ; recueillir
essuyer.v 266 :: nettoyer ; essuie ; balayer ; soigneusement ; nettoyage ; bac ; rincer ; enlever ; assurer ; frotter
faucher.v 12 :: fois ; fa ; presque ; peut-être ; déjà ; décoration ; balle ; faction ; français ; organique
faucher.v 42 :: découverte ; atteindre ; déjà ; également ; peut-être ; mieux ; inscrire ; apparaître ; devenir ; acquérir
faucher.v 116 :: dévaster ; ravager ; abattre ; semer ; détruire ; gravement ; travailler ; enlever ; donner ; dépouiller
faucher.v 160 :: semer ; donne ; créer ; plante ; mettre ; trouver ; parer ; mademoiselle ; piqu ; aller
faucher.v 214 :: faire ; presque ; mieux ; travailler ; également ; extrêmement ; acheter ; vraiment ; donner ; pratiquement
faucher.v 239 :: entamer ; acheter ; servir ; presque ; planter ; déjà ; commander ; arroser ; cassé ; couper
faucher.v 248 :: abattre ; taire ; frappe ; presque ; blesse ; marque ; meurtre ; déjà ; brise ; laisse
faucher.v 276 :: abattre ; couper ; semer ; planter ; cultiver ; entretenir ; cueillir ; tailler ; garder ; broyer
faucher.v 282 :: remplacer ; marque ; piqu ; préférer ; trouver ; cherche ; éliminer ; cadre ; centre ; relever
faucher.v 290 :: fou ; fa ; volée ; donner ; vert ; bel ; paille ; planter ; foin ; chia
fonder.v 6 :: créer ; organiser ; fondre ; former ; diriger ; ouvrir ; établir ; bâtir ; développer ; quitter
fonder.v 7 :: force ; porte ; conditionne ; sous-tendre ; constituer ; forme ; appuyer ; base ; motiver ; caractériser
fonder.v 54 :: foi ; ment ; base ; pourtant ; ensuite ; constituer ; principe ; an ; dieu ; solide
fonder.v 66 :: créer ; ferme ; rejoindre ; forge ; formule ; installer ; dépose ; organiser ; retrouver ; forme
fonder.v 88 :: intégrer ; rejoindre ; quitte ; forme ; finance ; formule ; diriger ; créer ; anime ; fond
fonder.v 93 :: traverser ; construire ; constituer ; caractériser ; base ; forge ; appuyer ; bâtir ; forme ; définir
fonder.v 158 :: base ; fond ; ferme ; forge ; appuyer ; bâtir ; fixe ; focaliser ; repose ; greffe
fonder.v 212 :: former ; faire ; fabriquer ; bâtir ; constituer ; fondre ; définir ; rejoindre ; partager ; fondation
fonder.v 264 :: motiver ; valide ; traverser ; forme ; définir ; base ; vraiment ; force ; bâtir ; cadre
fonder.v 286 :: anime ; développer ; diriger ; forme ; compte ; forge ; fabrique ; ouvrir ; formule ; réunir
grossier.a 24 :: stupide ; grave ; flagrant ; courant ; absurde ; valable ; complet ; monumental ; évident ; ridicule
grossier.a 37 :: avancer ; sophistiquer ; complet ; simple ; accomplir ; efficace ; perfectionner ; répandre ; élaborer ; élevé
grossier.a 85 :: tendre ; vulgaire ; vil ; brutal ; lâche ; superficiel ; subtil ; plaisant ; agressif ; fin
grossier.a 108 :: fin ; spécial ; tailler ; outil ; caillou ; massif ; minéral ; métallique ; pointu ; grossièrement
grossier.a 134 :: subtil ; léger ; sérieux ; rigoureux ; gros ; fort ; flagrant ; évident ; grand ; simple
grossier.a 179 :: propagande ; publicité ; information ; image ; diffusion ; analyse ; communication ; campagne ; impression ; vidéo
grossier.a 227 :: ridicule ; poli ; blessant ; agressif ; arrogant ; déplacer ; incorrect ; verbal ; maladroit ; prétentieux
grossier.a 228 :: également ; grossièrement ; voire ; extrêmement ; fait ; trait ; vulgaire ; menu ; noir ; propos
grossier.a 231 :: terrestre ; vulgaire ; simple ; profane ; humain ; social ; matériel ; public ; inférieur ; médiocre
grossier.a 300 :: stupide ; noir ; faire ; commune ; profane ; coupable ; théâtral ; accumuler ; répéter ; personnel
hermétique.a 203 :: obscur ; opaque ; flou ; inquiétant ; complet ; étonnant ; mystérieux ; abstrait ; casse-tête ; clé
hermétique.a 71 :: secret ; effrayant ; opaque ; confidentiel ; obscur ; mystérieux ; intime ; chimique ; explicite ; éloquer
hermétique.a 99 :: fermer ; sceller ; plastique ; étanche ; transparent ; contenir ; entier ; chinois ; alimentaire ; conserve
hermétique.a 126 :: étanche ; réfractaire ; insensible ; allergique ; imperméable ; fermer ; opposer ; interne ; fermé ; septique
hermétique.a 127 :: secret ; obscur ; élitiste ; étanche ; personnel ; honteux ; honorifique ; ridicule ; commercial ; aristocratique
hermétique.a 220 :: porte ; réponse ; vide ; coquille ; brique ; oeil ; logique ; texte ; énigme ; rester
hermétique.a 226 :: complètement ; presque ; étanche ; totalement ; face ; définitivement ; imperméable ; quasi ; étrangement ; quasiment
hermétique.a 261 :: presque ; côté ; étanche ; magique ; devenir ; opaque ; limite ; complètement ; invisible ; fermer
hermétique.a 278 :: alimentaire ; parfaitement ; complètement ; presque ; solide ; religieux ; chimique ; blanc ; soigneusement ; entièrement
hermétique.a 204 :: totalement ; mystère ; davantage ; extrêmement ; opaque ; demeurer ; interrogation ; problématique ; suffisamment ; voire
incorrect.a 45 :: opérationnel ; général ; global ; créatif ; humaine ; vraiment ; comptable ; juridique ; nécessaire ; politiquement
incorrect.a 125 :: naître ; der ; ante ; complètement ; ent ; vraiment ; ré ; visiblement ; in ; également
incorrect.a 132 :: radio ; mois ; côté ; haut ; an ; cours ; second ; jour ; cas ; miss
incorrect.a 156 :: devenir ; totalement ; complètement ; rester ; vraiment ; extrêmement ; presque ; être ; humaine ; quasi
incorrect.a 159 :: transposition ; application ; pratique ; interprétation ; in ; exécution ; infraction ; traduction ; utilisation ; oeuvre
incorrect.a 177 :: précis ; erroné ; donner ; arbitraire ; prédéterminer ; aléatoire ; marquer ; total ; correct ; automatique
incorrect.a 217 :: négativement ; politiquement ; vulgaire ; ici ; inutile ; volontairement ; drôle ; correct ; superflu ; stupide
incorrect.a 241 :: naître ; us ; rée ; dire ; aire ; savoir ; complètement ; ente ; forme ; ale
incorrect.a 298 :: ci-dessous ; politique ; communiqué ; question ; applaudissement ; ensemble ; déclaration ; socialiste ; gouvernement ; législatif
incorrect.a 299 :: personnel ; confidentiel ; saisir ; bancaire ; donnée ; transmettre ; financier ; électronique ; erroné ; effacer
intérêt.n 63 :: avis ; sentiment ; opinion ; idée ; objectif ; principe ; élément ; argument ; conception ; rôle
intérêt.n 97 :: irremplaçable ; ensemble ; international ; étranger ; entier ; article ; nouveau ; propre ; aide ; air
intérêt.n 129 :: ensemble ; heureux ; art ; énergie ; air ; aide ; évolution ; emploi ; or ; international
intérêt.n 146 :: image ; or ; aide ; air ; art ; international ; eau ; approche ; énergie ; étranger
intérêt.n 155 :: nouveau ; page ; zone ; sécurité ; propre ; principal ; personnel ; article ; chaîne ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; attrer ; important ; inconvénient ; côté ; bénéfice ; enseignement ; faible
intérêt.n 263 :: excellent ; usage ; nouveau ; aimable ; éventuel ; aide ; international ; petit ; or ; heureux
intérêt.n 268 :: or ; usage ; véritable ; nouveau ; excellent ; image ; clip ; aide ; art ; éternel
intérêt.n 271 :: être ; éventuel ; image ; indispensable ; étroit ; air ; usage ; étrange ; aide ; ampli
intérêt.n 297 :: art ; air ; aide ; international ; animal ; adjectif ; min ; nouveau ; clip ; alpha
interpréter.v 18 :: jouer ; également ; interprétation ; ré ; chanter ; ensuite ; magnifiquement ; tantôt ; principalement ; régulièrement
interpréter.v 21 :: écrire ; arranger ; jouer ; chanter ; enregistrer ; écouter ; illustrer ; adapter ; interprétation ; publier
interpréter.v 59 :: expliquer ; comprendre ; mieux ; inverser ; penser ; analyser ; mal ; faire ; vraiment ; clairement
interpréter.v 80 :: air ; art ; aide ; étroit ; or ; expérience ; étymologie ; international ; usage ; lorsqu
interpréter.v 123 :: or ; expérience ; international ; objet ; usage ; évolution ; aide ; ensemble ; eau ; irremplaçable
interpréter.v 128 :: joue ; incarner ; camper ; interprétation ; double ; prendre ; assurer ; tenir ; offrir ; ici
interpréter.v 157 :: traduire ; ressentir ; exprimer ; imaginer ; analyse ; écoute ; écrire ; percevoir ; recevoir ; transporter
interpréter.v 260 :: interprétation ; comprendre ; faire ; évaluer ; expliquer ; comparer ; attribuer ; décoder ; analyser ; adapter
interpréter.v 267 :: envisager ; percevoir ; interprétation ; vivre ; comprendre ; entendre ; observer ; attribuer ; considérer ; énoncer
interpréter.v 289 :: jouer ; incarner ; imaginer ; chanter ; porter ; animé ; présenter ; mu ; dansé ; servir
maintenir.v 94 :: soutenir ; écrire ; assurer ; préciser ; déclarer ; affirmer ; souligner ; répéter ; noter ; entendre
maintenir.v 113 :: présent ; visible ; inscrire ; enregistrer ; identifier ; référencer ; mentionner ; signaler ; disponible ; renseigner
maintenir.v 154 :: garder ; conserver ; exercer ; continuer ; poursuivre ; renforcer ; assurer ; mettre ; confirmer ; concentrer
maintenir.v 175 :: préserver ; garder ; maintien ; demeurer ; conserver ; conforter ; retenir ; mettre ; couler ; divertir
maintenir.v 183 :: préserver ; garder ; conserver ; garantir ; favoriser ; entretenir ; assurer ; demeurer ; rester ; vivre
maintenir.v 207 :: demeurer ; préserver ; maintien ; conserver ; garder ; soutenir ; soigner ; rester ; fortifier ; poursuivre
maintenir.v 230 :: participation ; compte ; administration ; personne ; louis ; enfant ; avoir ; gouvernement ; conseil ; personnellement
maintenir.v 234 :: considérer ; estime ; affirmer ; réaffirmer ; souhaiter ; rappeler ; prévoir ; proposer ; ajouter ; soutenir
maintenir.v 251 :: soutenir ; conserve ; réaffirmer ; tenir ; confirmer ; réitérer ; reprendre ; appuyer ; répéter ; poursuivre
maintenir.v 281 :: dire ; gage ; croire ; persist ; soutien ; affirmer ; insister ; trouver ; ajouter ; vouloir
mince.a 17 :: fin ; épais ; lisse ; léger ; presque ; serrer ; élastique ; droite ; flexible ; légèrement
mince.a 96 :: fin ; régulier ; épais ; film ; léger ; professionnel ; continuer ; égal ; écran ; supérieur
mince.a 147 :: léger ; fin ; épais ; serrer ; maigre ; étroit ; également ; légèrement ; peut-être ; écart
mince.a 170 :: légèrement ; extrêmement ; peut-être ; vraiment ; déjà ; possiblement ; probablement ; certainement ; être ; également
mince.a 192 :: léger ; papier ; soie ; petit ; épais ; fin ; bois ; verre ; légèrement ; feuille
mince.a 202 :: fin ; petit ; léger ; nouveau ; épais ; double ; dernier ; simple ; triple ; demi
mince.a 213 :: faible ; maigre ; minime ; petit ; riche ; léger ; évident ; précis ; précieux ; subtil
mince.a 225 :: filet ; petit ; maigre ; joli ; événement ; livre ; développement ; vieux ; milieu ; grand
mince.a 242 :: fin ; serrer ; étroit ; fragile ; loin ; poreux ; maigre ; tendre ; sensible ; petit
mince.a 292 :: fin ; épais ; interne ; conducteur ; léger ; isolant ; supérieur ; intermédiaire ; protecteur ; actif
modeste.a 29 :: petit ; minuscule ; humble ; dérisoire ; minable ; misérable ; grand ; piètre ; coin ; insignifiant
modeste.a 114 :: petit ; pauvre ; humble ; bon ; poli ; honnête ; vivant ; discret ; pourtant ; misérable
modeste.a 121 :: faible ; petit ; minime ; important ; dérisoire ; modérer ; timide ; mesurer ; modique ; populaire
modeste.a 163 :: faible ; minime ; limité ; léger ; récent ; personnel ; petit ; confidentielle ; important ; considérable
modeste.a 195 :: limité ; élevé ; faible ; minime ; substantiel ; important ; médiocre ; insuffisant ; misérable ; conséquent
modeste.a 197 :: revenu ; salaire ; vivre ; gagner ; travailler ; être ; cachet ; pourtant ; petit ; rémunération
modeste.a 200 :: léger ; canada ; conseil ; total ; politique ; impôt ; enquête ; sénat ; solide ; service
modeste.a 246 :: faible ; important ; élevé ; léger ; petit ; considérable ; insignifiant ; populaire ; grand ; économique
modeste.a 269 :: petit ; humble ; devenir ; russe ; soviétique ; bon ; jeune ; titré ; pourtant ; mort
modeste.a 283 :: humble ; digne ; discret ; fragile ; léger ; solide ; mesurer ; timide ; honnête ; raisonnable
montée.n 15 :: courbe ; poussée ; côte ; chute ; progression ; mue ; hausse ; victoire ; politique ; droite
montée.n 56 :: chute ; construction ; partie ; ascension ; échelle ; descente ; progression ; ligne ; augmentation ; dernier
montée.n 75 :: descente ; promenade ; visite ; balade ; suite ; dernier ; monte ; terrasse ; tomber ; journée
montée.n 138 :: hausse ; performance ; évolution ; croissance ; progression ; poussée ; capacité ; constant ; monte ; puissance
