affection.n 8 :: occasion ; maladie ; disposition ; dernier ; époque ; considération ; institution ; affectation ; extrémité ; famille
espace.n 142 :: air ; interne ; art ; international ; étymologie ; eau ; afghan ; image ; étroit ; aide
espace.n 180 :: emplacement ; place ; volume ; zone ; surface ; vide ; logement ; parking ; aménagement ; rangement
espace.n 208 :: ancien ; instrument ; euro ; grand ; excellent ; étroit ; établissement ; nouveau ; innombrable ; petit
espace.n 229 :: événement ; service ; petit ; environnement ; produit ; aménagement ; propre ; investissement ; développement ; équipement
espace.n 243 :: coin ; article ; ensemble ; temps ; lieu ; siège ; rôle ; place ; droit ; enfant
essuyer.v 11 :: laver ; essuyer ; rincer ; faire ; ouvrir ; désinfection ; fermer ; remplir ; retirer ; nettoyer
essuyer.v 58 :: également ; régulièrement ; déjà ; malheureusement ; ici ; récemment ; subir ; partout ; ensuite ; essuie
essuyer.v 77 :: essuie ; brûle ; encaisse ; sourire ; éponge ; avoir ; lav ; verse ; recevoir ; encre
essuyer.v 81 :: essuie ; avoir ; être ; falloir ; laisse ; recevoir ; ensuite ; attendre ; faire ; sourire
essuyer.v 86 :: assurer ; recevoir ; devoir ; donne ; laisse ; tenir ; assister ; accorder ; recueillir ; assumer
essuyer.v 89 :: essuie ; subir ; recevoir ; face ; obtenir ; avoir ; encaisse ; encaisser ; surprendre ; opposer
essuyer.v 98 :: faire ; encaisser ; subir ; recevoir ; voir ; gagner ; manger ; souffrir ; prendre ; perdre
essuyer.v 166 :: pépin ; sécher ; graine ; noyau ; olive ; feuille ; main ; légume ; peau ; noix
essuyer.v 215 :: subir ; recevoir ; accumuler ; déjà ; cumulé ; enchaîner ; récolter ; falloir ; encaisser ; entendre
essuyer.v 266 :: laver ; ensuite ; essuie ; doucement ; soigneusement ; abondamment ; légèrement ; délicatement ; régulièrement ; appliquer
faucher.v 12 :: tuer ; jeter ; presque ; peut-être ; malheureusement ; volontairement ; bientôt ; assassiner ; abattre ; briser
faucher.v 42 :: déjà ; également ; mieux ; inscrire ; peut-être ; vendange ; devenir ; découverte ; finalement ; couvrir
faucher.v 116 :: semer ; dévaster ; travailler ; abattre ; détruire ; voler ; ravager ; planter ; pousser ; gelé
faucher.v 160 :: jean ; an ; pierre ; convier ; passer ; plante ; donne ; temps ; pascal ; gris
faucher.v 214 :: producteur ; canada ; prix ; travail ; produit ; politique ; premier ; entreprise ; organique ; gouvernement
faucher.v 239 :: acheter ; entamer ; servir ; être ; jamais ; commander ; déboucher ; arroser ; coûter ; jeter
faucher.v 248 :: meurtre ; crime ; destruction ; peinture ; infraction ; fusillade ; travail ; crâne ; découpe ; plaqué
faucher.v 276 :: semer ; abattre ; couper ; olivier ; être ; cultiver ; arracher ; pousser ; piquer ; herbe
faucher.v 282 :: remplacer ; lancer ; centre ; préférer ; passer ; presque ; piqu ; rappeler ; malheureusement ; coûter
faucher.v 290 :: grièvement ; tuer ; blesser ; gravement ; abattre ; bêtement ; joliment ; volontairement ; cruellement ; mort
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; lancer ; être ; faire ; ouvrir
fonder.v 7 :: conditionne ; motiver ; force ; justifier ; expliquer ; sous-tendre ; porte ; constituer ; appuyer ; marque
fonder.v 54 :: fondamental ; ment ; base ; structure ; foi ; solide ; force ; constituer ; loi ; solidement
fonder.v 66 :: ferme ; créer ; installer ; fondation ; commencer ; fond ; rejoindre ; diriger ; fabrique ; fa
fonder.v 88 :: ferme ; fondation ; direction ; pari ; louis ; joindre ; formule ; club ; français ; officiellement
fonder.v 93 :: traverser ; force ; forme ; motiver ; conditionne ; forge ; caractériser ; formule ; définir ; assurer
fonder.v 158 :: base ; fond ; cale ; forge ; centre ; appuyer ; bâtir ; repose ; ferme ; fabrique
fonder.v 212 :: fabriquer ; faire ; constituer ; créer ; former ; bâtir ; contracter ; définir ; dessiner ; forger
fonder.v 264 :: force ; valide ; base ; traverser ; limite ; motiver ; bâtir ; vraiment ; définir ; marque
fonder.v 286 :: développer ; créer ; fabrique ; compte ; diriger ; anime ; installer ; forme ; monte ; réunir
grossier.a 24 :: stupide ; flagrant ; grave ; monumental ; ridicule ; complet ; évident ; radical ; erroné ; grotesque
grossier.a 37 :: fin ; approximatif ; habile ; subtil ; avancer ; grotesque ; maladroit ; manipulateur ; vulgaire ; exact
grossier.a 85 :: dur ; violent ; dangereux ; lâche ; superficiel ; rude ; rigide ; susceptible ; dépendre ; brutal
grossier.a 108 :: profond ; fin ; élevé ; calcaire ; sec ; léger ; persistant ; local ; plat ; minéral
grossier.a 134 :: léger ; bon ; sérieux ; petit ; gros ; subtil ; mauvais ; coupable ; simple ; méchant
grossier.a 179 :: faux ; propagande ; information ; gros ; profond ; diffusion ; nouveau ; série ; mauvais ; impression
grossier.a 227 :: vulgaire ; raciste ; malhonnête ; arrogant ; déplacer ; sexiste ; blessant ; ridicule ; maladroit ; agressif
grossier.a 228 :: témoignage ; sexuel ; policier ; commentaire ; accusation ; mensonge ; procédé ; fait ; résultat ; traitement
grossier.a 231 :: profond ; social ; humain ; matériel ; vulgaire ; superficiel ; terrestre ; quotidien ; national ; inférieur
grossier.a 300 :: grossièrement ; cruel ; cale ; léger ; vulgaire ; lourd ; image ; presque ; injure ; faire
hermétique.a 203 :: opaque ; problématique ; obscur ; arbitraire ; abstrait ; inquiétant ; insolite ; exploitable ; global ; partiel
hermétique.a 71 :: énigmatique ; mystérieux ; effrayant ; confidentiel ; inquiétant ; étrange ; obscur ; opaque ; ambigu ; étonnant
hermétique.a 99 :: sceller ; sachet ; emballage ; fermer ; contenir ; boîte ; récipient ; parfaitement ; boite ; cage
hermétique.a 126 :: insensible ; étanche ; sourd ; aveugle ; réfractaire ; interne ; opposer ; muet ; imperméable ; indifférent
hermétique.a 127 :: élitiste ; académique ; rigide ; froid ; fermé ; social ; obscur ; universitaire ; littéraire ; religieux
hermétique.a 220 :: porte ; mystère ; rester ; mystérieux ; énigme ; presque ; chose ; totalement ; seul ; oeil
hermétique.a 226 :: insensible ; réfractaire ; fermer ; allergique ; sensible ; indifférent ; sourd ; attacher ; imperméable ; étranger
hermétique.a 261 :: ajouter ; approximatif ; magique ; improbable ; interdire ; étonnant ; insuffisant ; relatif ; secret ; sec
hermétique.a 278 :: alimentaire ; solide ; plastique ; étanche ; chimique ; noir ; blanc ; fermé ; interne ; juif
hermétique.a 204 :: vide ; obscur ; fermer ; presque ; totalement ; rester ; opaque ; clos ; religieux ; voire
incorrect.a 45 :: devoir ; rée ; actuellement ; sensiblement ; ale ; attendre ; actif ; ante ; actuel ; également
incorrect.a 125 :: ante ; ent ; an ; actuellement ; us ; humaine ; or ; ale ; in ; ex
incorrect.a 132 :: an ; également ; radio ; côté ; mois ; mal ; déjà ; cours ; hier ; second
incorrect.a 156 :: politique ; in ; vraiment ; politiquement ; mal ; humaine ; pratique ; commune ; totalement ; criminel
incorrect.a 159 :: utilisation ; produit ; caractère ; activité ; responsabilité ; pratique ; usage ; reproduction ; adresse ; intervention
incorrect.a 177 :: erroné ; correct ; inverse ; précis ; contraire ; total ; supérieur ; prédéterminer ; aléatoire ; exact
incorrect.a 217 :: politiquement ; ici ; négativement ; inutile ; correct ; superficiel ; mauvais ; polémique ; incomplet ; stupide
incorrect.a 241 :: parfaitement ; complètement ; totalement ; vraiment ; également ; immédiatement ; socialement ; rester ; dire ; actuellement
incorrect.a 298 :: ridicule ; vrai ; inutile ; déçu ; maladroit ; décevant ; injuste ; malheureux ; dangereux ; évident
incorrect.a 299 :: personnel ; donnée ; confidentiel ; bancaire ; information ; important ; indésirable ; financier ; transmettre ; identifiabler
intérêt.n 63 :: avis ; argument ; opinion ; sentiment ; objectif ; raison ; idée ; grief ; enjeu ; logique
intérêt.n 97 :: article ; ensemble ; entier ; objet ; espace ; accueil ; aide ; international ; écran ; autant
intérêt.n 129 :: étroit ; actuel ; accueil ; ensemble ; ouverture ; externe ; chinois ; officiel ; céleste ; international
intérêt.n 146 :: or ; aide ; image ; art ; international ; air ; eau ; évolution ; histoire ; énergie
intérêt.n 155 :: audiovisuelle ; effectif ; audiovisuel ; article ; international ; air ; appareil ; interne ; origine ; exercice
intérêt.n 218 :: intéressant ; côté ; faible ; attrer ; principal ; bénéfice ; important ; avantage ; point ; aspect
intérêt.n 263 :: cor ; air ; voir ; externe ; alpha ; interne ; fixe ; adjectif ; international ; indien
intérêt.n 268 :: usage ; clip ; aide ; international ; heureux ; image ; nouveau ; excellent ; véritable ; air
intérêt.n 271 :: être ; air ; exemple ; habituel ; étroit ; international ; étymologie ; étape ; amont ; indien
intérêt.n 297 :: guide ; accueil ; petit ; art ; centre ; enseigner ; aide ; ensemble ; image ; propre
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; offrir ; aborder ; accompagner ; inspirer ; présenter
interpréter.v 21 :: arranger ; jouer ; adapter ; composant ; écouter ; enregistrer ; dessiner ; répéter ; imaginer ; publier
interpréter.v 59 :: penser ; expliquer ; inverser ; faire ; comprendre ; articuler ; entendre ; analyser ; mal ; mieux
interpréter.v 80 :: image ; aide ; art ; or ; animal ; air ; ensemble ; obliger ; habitude ; origine
interpréter.v 123 :: image ; évolution ; ouverture ; histoire ; article ; expérience ; ensemble ; équateur ; or ; expédition
interpréter.v 128 :: joue ; incarner ; camper ; interprétation ; tenir ; prendre ; rôle ; double ; composer ; ici
interpréter.v 157 :: analyse ; recevoir ; traduire ; absorber ; traite ; accueillir ; encaisse ; écrire ; actif ; envoyer
interpréter.v 260 :: interprétation ; faire ; traduire ; comprendre ; entendre ; lire ; pouvoir ; remplir ; décoder ; exprimer
interpréter.v 267 :: interprétation ; entendre ; vivre ; lire ; attribuer ; percevoir ; comprendre ; recevoir ; concevoir ; analyser
interpréter.v 289 :: jouer ; imaginer ; animé ; chanter ; raconter ; présenter ; arranger ; dansé ; diriger ; gouverner
maintenir.v 94 :: ajouter ; apprendre ; préciser ; déclarer ; écrire ; affirmer ; répondre ; souligner ; rappeler ; conclure
maintenir.v 113 :: inscrire ; présent ; visible ; enregistrer ; mentionner ; référencer ; signaler ; identifier ; indiquer ; renseigner
maintenir.v 154 :: garder ; conserver ; tenir ; exercer ; mettre ; assurer ; entretenir ; continuer ; imposer ; augmenter
maintenir.v 175 :: garder ; retenir ; préserver ; conserver ; mettre ; plonger ; maintien ; divertir ; entretenir ; perpétuer
maintenir.v 183 :: conserver ; garder ; préserver ; entretenir ; garantir ; assurer ; demeurer ; maintien ; favoriser ; rester
maintenir.v 207 :: maintien ; préserver ; demeurer ; garder ; entretenir ; assurer ; conserver ; rester ; persister ; favoriser
maintenir.v 230 :: tenir ; pouvoir ; être ; compte ; dernier ; devoir ; compter ; faire ; prochain ; également
maintenir.v 234 :: considérer ; rappeler ; déclarer ; soutenir ; reconnaître ; souhaiter ; vouloir ; réaffirmer ; tenir ; proclamer
maintenir.v 251 :: maintien ; position ; constance ; espoir ; soutien ; distance ; tenir ; soutenir ; équilibre ; siège
maintenir.v 281 :: compte ; dire ; note ; croire ; estime ; tenir ; ajouter ; falloir ; affirmer ; gage
mince.a 17 :: légèrement ; également ; léger ; mesure ; presque ; peut-être ; probablement ; épais ; fin ; généralement
mince.a 96 :: fin ; régulier ; léger ; épais ; dur ; normal ; sec ; simple ; uniforme ; lisse
mince.a 147 :: léger ; original ; faible ; maigre ; complexe ; sommaire ; petit ; chose ; sonore ; politique
mince.a 170 :: léger ; déjà ; bel ; fragile ; épais ; extrêmement ; serrer ; chose ; presque ; petit
mince.a 192 :: petit ; fin ; léger ; menu ; épais ; minuscule ; micro ; finement ; robuste ; lisse
mince.a 202 :: fin ; petit ; léger ; nouveau ; dernier ; épais ; double ; simple ; second ; grand
mince.a 213 :: maigre ; faible ; vert ; petit ; minime ; riche ; léger ; épais ; réduire ; faux
mince.a 225 :: filet ; rôle ; fin ; petit ; statut ; journal ; compte ; milieu ; peut-être ; service
mince.a 242 :: étroit ; fort ; chemin ; extrêmement ; limite ; ligne ; presque ; voire ; vraiment ; légèrement
mince.a 292 :: fin ; film ; épais ; léger ; écran ; flexible ; souple ; finir ; isolant ; durable
modeste.a 29 :: petit ; minuscule ; humble ; coin ; logement ; grand ; décor ; plan ; rôle ; projet
modeste.a 114 :: fidèle ; pauvre ; nécessaire ; vivant ; malheureux ; indispensable ; confidentiel ; humble ; charmant ; populaire
modeste.a 121 :: timide ; limité ; minime ; important ; dérisoire ; modérer ; petit ; faible ; significatif ; maigre
modeste.a 163 :: minime ; petit ; limité ; faible ; léger ; personnel ; incomplet ; propre ; spectaculaire ; récent
modeste.a 195 :: minime ; misérable ; maigre ; faible ; médiocre ; matériel ; appréciable ; mince ; réduire ; limité
modeste.a 197 :: pauvre ; faible ; moyen ; petit ; fragile ; aisé ; maigre ; concerner ; âgé ; jeune
modeste.a 200 :: limité ; faible ; populaire ; salarial ; réduire ; industriel ; restreindre ; monétaire ; économique ; politique
modeste.a 246 :: élevé ; faible ; important ; léger ; petit ; populaire ; relatif ; économique ; inférieur ; récent
modeste.a 269 :: petit ; humble ; jeune ; pauvre ; digne ; bon ; médiocre ; simple ; brillant ; devenir
modeste.a 283 :: humble ; pauvre ; faible ; modestie ; timide ; simple ; digne ; triste ; fragile ; discret
montée.n 15 :: côte ; courbe ; droite ; poussée ; victoire ; couler ; marine ; descente ; mue ; sortie
montée.n 56 :: échelle ; ligne ; baisse ; question ; montagne ; chute ; dernier ; présidence ; augmentation ; hauteur
montée.n 75 :: terrasse ; descente ; monte ; suite ; côte ; passerelle ; mezzanine ; face ; place ; tour
montée.n 138 :: évolution ; hausse ; croissance ; poussée ; performance ; progression ; complexité ; demande ; puissance ; gestion
