affection.n 8 :: prime ; actif ; auto ; final ; gamme ; entreprise ; home ; te ; total ; bref
débit.n 131 :: niveau ; flux ; eau ; dépôt ; courant ; couche ; bassin ; chambre ; pression ; réservoir
débit.n 136 :: flux ; cours ; apport ; eau ; niveau ; rive ; crue ; coefficient ; bord ; effectif
débit.n 168 :: montant ; règlement ; compte ; crédit ; virement ; jet ; paiement ; traitement ; financement ; privilèg
débit.n 169 :: montant ; résultat ; coût ; flux ; volume ; niveau ; financement ; traitement ; rythme ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; rendement ; capacité ; coût ; cadence ; prix ; transfert
débit.n 188 :: flux ; apport ; niveau ; débordement ; rejet ; effectif ; dépôt ; cours ; rive ; coefficient
débit.n 205 :: rythme ; flux ; caractère ; tempo ; trafic ; style ; jet ; mouvement ; canal ; accès
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; diriger ; houlette ; performance ; langue ; directrice
direction.n 111 :: orientation ; conduite ; ligne ; tête ; directrice ; vision ; forme ; force ; tendance ; responsabilité
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; communauté ; commission ; majorité ; coordination
direction.n 152 :: orientation ; tendance ; forme ; sens ; ligne ; déviation ; vitesse ; relation ; courbe ; droite
direction.n 172 :: rejoindre ; bonjour ; destination ; peut-être ; gagner ; face ; bientôt ; direct ; forme ; file
direction.n 176 :: conduite ; performance ; rapport ; vitesse ; orientation ; tendance ; comportement ; forme ; sens ; contrôle
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; directrice ; partir ; presse ; gauche ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; présidence ; discipline ; gestion ; forme ; représentation ; diriger
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; défense ; gestion ; directeur ; charge ; maîtrise
direction.n 279 :: face ; destination ; venir ; provenance ; province ; vallée ; revenir ; route ; faveur ; côté
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; rêve ; fonds ; centre ; tour
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; livre ; domaine ; droit ; charm ; goût
don.n 60 :: cadeau ; travail ; produit ; livre ; geste ; signe ; legs ; sacrifice ; commerce ; fruit
don.n 84 :: contribution ; cadeau ; fonds ; apport ; produit ; déchet ; versement ; bénéficiaire ; loyer ; transfert
don.n 107 :: cadeau ; présent ; part ; parvenir ; preuve ; offrir ; achat ; grâce ; confiance ; legs
don.n 130 :: contribution ; cadeau ; fonds ; enfant ; généreux ; lecteur ; catholique ; prix ; dépôt ; ami
don.n 196 :: talent ; pouvoir ; génie ; rôle ; chic ; secret ; temps ; complexe ; mérite ; traitement
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; contribution ; transfert ; bon ; legs ; partage
don.n 245 :: talent ; travail ; contribution ; témoignage ; trésor ; génie ; grand ; domaine ; pouvoir ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; heureux ; éternel ; animal ; afghan
entraîner.v 47 :: amener ; conduire ; aider ; obliger ; engager ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; aide ; interne ; clip ; image ; art ; afghan
entraîner.v 57 :: air ; eau ; être ; or ; énergie ; art ; apparemment ; international ; avoir ; efficace
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; art ; ensemble ; ancien ; eau ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: invite ; amener ; obliger ; engager ; encourager ; avoir ; conduire ; pousse ; inciter ; apprendre
entraîner.v 161 :: provoquer ; apparaître ; amener ; engendrer ; éviter ; conduire ; expliquer ; créer ; produire ; assurer
entraîner.v 162 :: amener ; engendrer ; provoquer ; encourager ; assurer ; actif ; déclenche ; influence ; impliquer ; favoriser
entraîner.v 191 :: emporter ; amener ; conduire ; attirer ; engager ; atteindre ; abandonner ; écarter ; pousser ; précipiter
éplucher.v 10 :: peler ; préparer ; nettoyer ; acheter ; égoutter ; cueillir ; presser ; enfiler ; ouvrir ; faire
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; imprimer ; attentivement ; dépouiller ; scrupuleusement ; parcourir ; examiner
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; vérifier ; fouiller ; scanner ; balayer ; dévorer
éplucher.v 100 :: éplucher ; retourner ; écraser ; récolter ; peser ; oignon ; arracher ; trancher ; laver ; écarter
éplucher.v 119 :: éplucher ; parcourir ; regarder ; fouillé ; étudier ; explorer ; balayer ; scrupuleusement ; analyser ; lire
éplucher.v 167 :: laver ; oublier ; observer ; enlever ; couper ; conserver ; noter ; regarder ; découper ; retourner
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; fouiller ; retrouver ; découvrir ; examiner ; parcourir
éplucher.v 235 :: peler ; faire ; passer ; presser ; acheter ; arracher ; obtenir ; récolter ; entamer ; affiner
éplucher.v 236 :: éplucher ; récolter ; collecter ; balayer ; scrupuleusement ; fouillé ; entendre ; regarder ; aller ; noter
éplucher.v 258 :: peler ; blanchir ; égoutter ; faire ; fruit ; légume ; fraise ; écraser ; préparer ; cuire
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; exploitation ; euro ; origine ; offrir ; emploi
espace.n 27 :: air ; or ; énergie ; art ; eau ; éternel ; image ; irréversible ; apparemment ; actuel
espace.n 79 :: ensemble ; office ; emplacement ; environnement ; outil ; zone ; service ; aire ; option ; élément
espace.n 120 :: air ; étroit ; ajouter ; petit ; utiliser ; excellent ; article ; aide ; apercevoir ; heureux
espace.n 137 :: environnement ; marché ; investissement ; instrument ; entreprise ; domaine ; avenir ; article ; groupe ; avantage
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; irréversible ; art
espace.n 180 :: place ; lien ; emplacement ; équilibre ; arrangement ; intervalle ; distance ; déplacement ; passage ; zone
espace.n 208 :: innombrable ; entreprise ; ensemble ; article ; euro ; exploitation ; utilisateur ; information ; ancien ; enregistrement
espace.n 229 :: propre ; événement ; investissement ; produit ; projet ; service ; environnement ; contenir ; développement ; équipement
espace.n 243 :: article ; place ; coin ; intervalle ; vide ; emplacement ; écran ; temps ; trou ; ensemble
essuyer.v 11 :: essuyer ; laver ; faire ; rincer ; ensuite ; essuie ; avoir ; abondamment ; protéger ; savon
essuyer.v 58 :: subir ; rencontrer ; constater ; recevoir ; essuie ; souffrir ; connaître ; enregistrer ; accumuler ; affronter
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; sourire ; égal ; écarter ; brûle ; larme ; enduire
essuyer.v 81 :: essuie ; éponge ; encre ; effacer ; laver ; lav ; enduire ; nettoie ; douche ; avoir
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; poursuivre ; assister
essuyer.v 89 :: subir ; recevoir ; opposer ; constater ; rencontrer ; annoncer ; accuser ; obtenir ; essuie ; frapper
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; souffrir ; voir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; éplucher ; noyau ; pépin ; égoutter ; légume ; peau ; peler ; baie ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; affronter ; récolter ; enregistrer ; connaître ; provoquer
essuyer.v 266 :: essuie ; enlever ; nettoyer ; balayer ; soigneusement ; assurer ; retirer ; ensuite ; abondamment ; retourner
faucher.v 12 :: tuer ; jeter ; presque ; briser ; écraser ; bientôt ; projeter ; déposer ; abattre ; grièvement
faucher.v 42 :: mieux ; déjà ; presque ; également ; couvrir ; devenir ; peut-être ; récolter ; découverte ; davantage
faucher.v 116 :: semer ; abattre ; dévaster ; arroser ; voler ; détruire ; pousser ; ravager ; travailler ; assassiner
faucher.v 160 :: séparer ; capture ; tombe ; amoureux ; malheureux ; tuer ; coûter ; orphelin ; divorce ; vie
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; mieux ; couper ; donner ; arracher ; assassiner
faucher.v 239 :: acheter ; presque ; entamer ; jeter ; cassé ; renverser ; servir ; déjà ; briser ; planter
faucher.v 248 :: blesse ; abattre ; taire ; brise ; presque ; frappe ; renverse ; peut-être ; marque ; tombe
faucher.v 276 :: abattre ; couper ; semer ; planter ; pousser ; tailler ; piquer ; greffer ; creuser ; récolter
faucher.v 282 :: marque ; centre ; piqu ; remplacer ; cadre ; passeur ; cale ; casser ; compenser ; prolonger
faucher.v 290 :: grièvement ; tuer ; gravement ; blesser ; verser ; plaqué ; briser ; presque ; déjà ; bêtement
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; ouvrir ; faire ; tenir ; lancer
fonder.v 7 :: motiver ; force ; sous-tendre ; porte ; traverser ; conditionne ; guide ; légitime ; appuyer ; justifier
fonder.v 54 :: base ; appuyer ; construire ; trouver ; bâtir ; tire ; gagner ; ancre ; assurer ; force
fonder.v 66 :: diriger ; ferme ; commencer ; créer ; développer ; rejoindre ; installer ; monte ; forme ; finance
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; développer ; finance ; diriger ; formule ; anime ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; caractériser ; constituer ; base ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; appuyer ; focaliser ; fonctionner ; fond ; forge ; baser ; cale
fonder.v 212 :: créer ; former ; constituer ; faire ; contracter ; fabriquer ; monter ; fondre ; forger ; bâtir
fonder.v 264 :: motiver ; définir ; force ; base ; traverser ; valide ; forme ; bâtir ; vraiment ; appuyer
fonder.v 286 :: développer ; fabrique ; compte ; diriger ; créer ; forme ; forge ; fond ; ferme ; monte
grossier.a 24 :: flagrant ; stupide ; grave ; valable ; formel ; évident ; rigoureux ; complet ; courant ; grotesque
grossier.a 37 :: avancer ; complet ; sophistiquer ; répandre ; efficace ; subtil ; vicieux ; élevé ; facile ; exact
grossier.a 85 :: violent ; agressif ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; dangereux ; méchant ; tendre
grossier.a 108 :: fin ; épais ; profond ; minéral ; primitif ; organique ; léger ; calcaire ; général ; pauvre
grossier.a 134 :: léger ; subtil ; évident ; flagrant ; grave ; sérieux ; vague ; gros ; maladroit ; clair
grossier.a 179 :: gros ; grand ; profond ; énième ; bon ; énorme ; flagrant ; vrai ; grave ; sérieux
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; arrogant ; incorrect ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; policier ; accusation ; billet ; fait ; mensonge ; déplacer ; sens ; procédé ; commentaire
grossier.a 231 :: vulgaire ; matériel ; humain ; coupable ; inférieur ; simple ; profane ; superficiel ; primitif ; brut
grossier.a 300 :: stupide ; vulgaire ; faire ; habituel ; coupable ; commune ; féroce ; agressif ; manifeste ; meurtrier
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; compréhensible ; exclusif
hermétique.a 71 :: étanche ; opaque ; secret ; énigmatique ; obscur ; effrayant ; mystérieux ; fermer ; confidentiel ; explicite
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; individuel ; entier ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; réfractaire ; sourd ; fermer ; attacher ; opposer ; dépendre
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; opaque ; religieux ; académique ; fermé ; officiel ; noir
hermétique.a 220 :: opaque ; étancher ; fermer ; obscur ; extrêmement ; parfaitement ; froid ; anonyme ; clos ; hypocrite
hermétique.a 226 :: insensible ; étanche ; attacher ; imperméable ; fermer ; sourd ; indifférent ; sensible ; attentif ; associer
hermétique.a 261 :: étanche ; magique ; opaque ; éloquer ; incompréhensible ; confidentiel ; fermer ; explicite ; mystérieux ; étancher
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; solide ; fermé ; secret ; noir ; entièrement ; alimentaire
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; évident ; étancher ; compréhensible ; exclusif
incorrect.a 45 :: actif ; opérationnel ; mal ; pratique ; global ; juridique ; utile ; général ; juger ; créatif
incorrect.a 125 :: vraiment ; in ; complètement ; totalement ; parfaitement ; con ; super ; mal ; hier ; incapable
incorrect.a 132 :: revenir ; impossible ; rester ; extrêmement ; tomber ; orienter ; incomplet ; totalement ; entier ; devenir
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; exemplaire ; pénal ; professionnel ; apparemment ; inique
incorrect.a 159 :: in ; juridique ; politique ; ex ; pratique ; professionnel ; mal ; interdire ; obligatoire ; législatif
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; donner ; arbitraire
incorrect.a 217 :: ici ; correct ; politiquement ; stupide ; public ; approprié ; inapproprié ; sujet ; erroné ; volontairement
incorrect.a 241 :: vraiment ; complètement ; totalement ; mal ; presque ; parfaitement ; extrêmement ; fort ; in ; déjà
incorrect.a 298 :: maladroit ; vrai ; ridicule ; correct ; décevant ; évident ; injuste ; exact ; malheureux ; déçu
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; financier ; transmettre ; opérationnel ; bancaire ; erroné
intérêt.n 63 :: avis ; élément ; objectif ; appétit ; opinion ; sentiment ; point ; agenda ; adversaire ; avantage
intérêt.n 97 :: article ; évolution ; étroit ; international ; aide ; heureux ; irremplaçable ; origine ; étranger ; opinion
intérêt.n 129 :: air ; aide ; art ; image ; étroit ; externe ; heureux ; international ; interne ; énergie
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; énergie ; international
intérêt.n 155 :: article ; utilisateur ; appareil ; effectif ; outil ; étroit ; audit ; équipe ; évaluation ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; attrer ; inconvénient ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; guide ; principal ; cor ; excellent ; éventuel ; matériel
intérêt.n 268 :: air ; international ; art ; aide ; image ; or ; nouveau ; actuel ; heureux ; éternel
intérêt.n 271 :: aide ; étroit ; être ; image ; international ; art ; air ; énergie ; or ; excellent
intérêt.n 297 :: aide ; air ; clip ; externe ; animal ; art ; image ; enseigner ; or ; double
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; aborder ; présenter ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; interprétation ; adapter ; arranger ; illustrer ; chanter ; écouter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; envisager ; inverser ; exprimer ; voir ; lire
interpréter.v 80 :: air ; art ; or ; apparemment ; aide ; image ; obliger ; international ; aimer ; interne
interpréter.v 123 :: or ; art ; international ; heureux ; étymologie ; air ; étroit ; aide ; expérience ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; assurer ; in ; offrir
interpréter.v 157 :: recevoir ; écrire ; analyse ; accueillir ; envoyer ; traduire ; émettre ; traite ; encaisse ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; évaluer ; apprécier ; décoder ; exploiter ; expliquer ; entendre ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; percevoir ; vivre ; envisager ; écrire ; définir
interpréter.v 289 :: imaginer ; jouer ; incarner ; animé ; dansé ; chanter ; enseigner ; interprétation ; habiter ; arranger
maintenir.v 94 :: soutenir ; écrire ; souligner ; répéter ; affirmer ; ajouter ; déclarer ; apprendre ; entendre ; préciser
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; tenir ; identifier ; renseigner
maintenir.v 154 :: garder ; conserver ; renforcer ; poursuivre ; continuer ; exercer ; retenir ; demeurer ; mettre ; concentrer
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; mettre ; divertir ; conforter ; couler
maintenir.v 183 :: garder ; préserver ; conserver ; garantir ; favoriser ; assurer ; rester ; entretenir ; mettre ; créer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; être ; devoir ; double ; pouvoir ; garder ; vouloir ; dernier ; compter
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; prévoir ; reconnaître
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; reprendre ; confirmer ; poursuivre ; répéter ; défendre
maintenir.v 281 :: confirmer ; affirmer ; soutien ; dire ; croire ; déclarer ; juge ; maintien ; préciser ; voir
mince.a 17 :: épais ; fin ; intime ; faible ; fort ; étroit ; vulnérable ; haut ; réduit ; petit
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; lisse ; continuer ; sec ; grossier ; chimique
mince.a 147 :: léger ; maigre ; sommaire ; faible ; simple ; original ; riche ; préciser ; limité ; tendre
mince.a 170 :: serrer ; fragile ; étroit ; léger ; faible ; maigre ; fort ; bon ; épais ; briser
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; menu ; large ; énorme ; solide
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; double ; simple ; dernier ; fort ; faible
mince.a 213 :: maigre ; faible ; minime ; petit ; léger ; riche ; vert ; réduire ; infime ; misérable
mince.a 225 :: maigre ; brillant ; lux ; dramatique ; cadeau ; fort ; sport ; grave ; signe ; résultat
mince.a 242 :: fin ; fort ; préciser ; faible ; étroit ; clair ; intime ; sec ; fragile ; maigre
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; léger ; métallique ; invisible ; physique ; isolant ; continuer
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; modique ; minime ; simple ; paisible
modeste.a 114 :: humble ; petit ; pauvre ; bon ; honnête ; poli ; discret ; timide ; misérable ; faible
modeste.a 121 :: faible ; significatif ; important ; minime ; petit ; modique ; mesurer ; limité ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; léger ; petit ; faible ; spectaculaire ; récent ; important ; personnel ; propre
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; médiocre ; important ; maigre ; élevé ; économique
modeste.a 197 :: pauvre ; faible ; aisé ; fragile ; concerner ; économique ; petit ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; mesurer ; léger ; petit ; modérer ; comprendre ; élevé
modeste.a 246 :: élevé ; faible ; important ; léger ; petit ; marchand ; négligeable ; considérable ; moindre ; économique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; pieux ; honnête ; bon
modeste.a 283 :: humble ; digne ; discret ; simple ; fragile ; populaire ; honnête ; modestie ; pauvre ; mature
montée.n 15 :: courbe ; victoire ; poussée ; côte ; conversion ; dérive ; droite ; hausse ; réduction ; mue
montée.n 56 :: progression ; descente ; hausse ; augmentation ; poussée ; élévation ; pente ; montagne ; hiérarchie ; partie
