affection.n 8 :: disposition ; occasion ; maladie ; dernier ; considération ; institution ; époque ; affectation ; extrémité ; opération
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; pose ; approuver ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; point ; an ; canada ; pi ; voir ; vue ; avoir
arrêter.v 291 :: décider ; fixer ; adopter ; publier ; établir ; signer ; émettre ; approuver ; proposer ; accorder
capacité.n 26 :: faculté ; flexibilité ; puissance ; disponibilité ; rapidité ; dimension ; pouvoir ; vitesse ; souplesse ; force
capacité.n 32 :: puissance ; chaîne ; tête ; possibilité ; force ; quantité ; réserve ; charge ; raison ; différence
capacité.n 35 :: clinique ; formation ; activité ; équipe ; maîtrise ; résidence ; spécialiste ; population ; université ; contribution
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; sécurité ; dotation
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; qualité
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; fonction ; pouvoir ; liberté ; force ; vertu
capacité.n 103 :: ressource ; activité ; possibilité ; stock ; chaîne ; unité ; disponibilité ; installation ; quantité ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; garantie ; réserve ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; maturité ; spécialisation ; certification ; connaissance ; qualité ; qualification ; aptitude
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; lancer ; publier
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; sélectionner ; découvrir ; apprendre ; oublier ; créer
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; soutenir ; ordonner ; lancer ; consigne ; mener ; prendre
commander.v 41 :: choisir ; décider ; commencer ; définir ; faire ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; mener ; gérer ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; prescrire ; enjoindre ; imposer ; demande ; enseigne
commander.v 171 :: acheter ; acquérir ; commande ; valider ; réserver ; admirer ; imprimer ; ouvrir ; essayer ; déguster
commander.v 206 :: protéger ; commande ; servir ; permettre ; donne ; donner ; passer ; supprimer ; venir ; défense
commander.v 240 :: commande ; régler ; faire ; payer ; contrôler ; uniquement ; acheter ; personnaliser ; prendre ; également
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; interpréter ; intégrer ; enseigner ; lire ; vivre ; contenue
compris.a 90 :: penser ; croire ; sentir ; réaliser ; convaincre ; trouver ; apprendre ; assurer ; saisir ; considérer
compris.a 106 :: entendre ; savoir ; deviner ; vivre ; nécessaire ; penser ; comprendre ; croire ; cacher ; vouloir
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; entendre ; inscrire ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; présent ; incorporer
compris.a 187 :: contenu ; compter ; estimer ; situer ; moyen ; supérieur ; recommander ; choisir ; définir ; répartir
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; grouper ; moyen ; partager ; inclus ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; cal ; comptabiliser ; limité ; cohérent
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; intégré ; apprendre ; assimiler ; reconnaître ; capter ; savoir ; comprendre ; détecter
couverture.n 65 :: manchette ; rédaction ; dernier ; dossier ; page ; sommaire ; couvrir ; série ; semaine ; conclusion
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; réputation ; mort ; route ; chemise ; protection
couverture.n 72 :: housse ; toiture ; couvrir ; couvert ; revêtement ; peau ; produit ; terrasse ; reliure ; sol
couverture.n 143 :: manchette ; couvrir ; illustration ; fort ; bref ; page ; pochette ; tête ; marge ; éditorial
couverture.n 149 :: protection ; sécurité ; gestion ; couvert ; vie ; garantie ; surveillance ; régime ; responsabilité ; répartition
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; toit ; protection ; tuile ; voil ; construction ; revêtement
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; gestion ; conquête ; transformation ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; toit
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; corde ; litière ; commode ; couette ; bâche ; veste
couverture.n 280 :: peau ; voil ; protection ; lune ; reliure ; plume ; neige ; couvrir ; carapace ; véranda
débit.n 64 :: dépôt ; compte ; versement ; règlement ; banque ; paiement ; crédit ; solde ; faciliter ; nombre
débit.n 87 :: montant ; paiement ; solde ; crédit ; versement ; dépôt ; règlement ; compte ; coût ; remboursement
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; volume ; poids ; écoulement ; régime ; delta
débit.n 131 :: niveau ; flux ; eau ; dépôt ; courant ; couche ; bassin ; chambre ; pression ; jet
débit.n 136 :: flux ; cours ; apport ; eau ; niveau ; rive ; crue ; coefficient ; bord ; effectif
débit.n 168 :: montant ; règlement ; compte ; crédit ; virement ; jet ; paiement ; traitement ; financement ; privilèg
débit.n 169 :: montant ; résultat ; coût ; flux ; volume ; niveau ; financement ; rythme ; traitement ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; rendement ; capacité ; coût ; cadence ; maximum ; prix
débit.n 188 :: flux ; apport ; niveau ; rejet ; débordement ; effectif ; dépôt ; cours ; coefficient ; rive
débit.n 205 :: rythme ; flux ; caractère ; tempo ; trafic ; style ; jet ; mouvement ; canal ; accès
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; diriger ; houlette ; performance ; langue ; directrice
direction.n 111 :: orientation ; conduite ; ligne ; tête ; directrice ; vision ; forme ; force ; tendance ; organisation
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; communauté ; commission ; coordination ; majorité
direction.n 152 :: orientation ; tendance ; forme ; sens ; ligne ; déviation ; vitesse ; relation ; courbe ; droite
direction.n 172 :: rejoindre ; bonjour ; destination ; peut-être ; gagner ; face ; bientôt ; direct ; forme ; finalement
direction.n 176 :: conduite ; performance ; rapport ; vitesse ; orientation ; tendance ; comportement ; forme ; sens ; contrôle
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; directrice ; partir ; presse ; gauche ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; présidence ; discipline ; gestion ; forme ; représentation ; diriger
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; défense ; gestion ; directeur ; charge ; maîtrise
direction.n 279 :: face ; destination ; venir ; provenance ; province ; vallée ; revenir ; route ; faveur ; sens
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; rêve ; centre ; fonds ; tour
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; livre ; domaine ; droit ; charm ; goût
don.n 60 :: cadeau ; travail ; produit ; livre ; geste ; signe ; legs ; commerce ; sacrifice ; fruit
don.n 84 :: contribution ; cadeau ; fonds ; apport ; produit ; déchet ; versement ; bénéficiaire ; loyer ; transfert
don.n 107 :: cadeau ; présent ; part ; parvenir ; offrir ; preuve ; grâce ; achat ; confiance ; legs
don.n 130 :: contribution ; cadeau ; fonds ; enfant ; lecteur ; généreux ; catholique ; dépôt ; ami ; prix
don.n 196 :: talent ; pouvoir ; génie ; rôle ; chic ; secret ; temps ; complexe ; mérite ; traitement
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; contribution ; transfert ; bon ; legs ; partage
don.n 245 :: talent ; travail ; contribution ; témoignage ; génie ; trésor ; grand ; domaine ; pouvoir ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; heureux ; éternel ; afghan ; immigré
entraîner.v 47 :: amener ; conduire ; aider ; engager ; obliger ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; aide ; interne ; clip ; image ; art ; afghan
entraîner.v 57 :: air ; eau ; être ; or ; énergie ; art ; apparemment ; international ; avoir ; efficace
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; art ; ensemble ; ancien ; eau ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: invite ; amener ; obliger ; engager ; encourager ; avoir ; conduire ; pousse ; inciter ; apprendre
entraîner.v 161 :: provoquer ; apparaître ; amener ; engendrer ; éviter ; conduire ; expliquer ; créer ; produire ; assurer
entraîner.v 162 :: amener ; engendrer ; provoquer ; encourager ; assurer ; actif ; déclenche ; influence ; favoriser ; impliquer
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; engager ; atteindre ; abandonner ; écarter ; pousser ; précipiter
éplucher.v 10 :: peler ; préparer ; nettoyer ; acheter ; égoutter ; cueillir ; presser ; ouvrir ; enfiler ; faire
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; imprimer ; attentivement ; dépouiller ; scrupuleusement ; parcourir ; compiler
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; scanner ; fouiller ; vérifier ; balayer ; dévorer
éplucher.v 100 :: éplucher ; retourner ; écraser ; récolter ; peser ; oignon ; arracher ; laver ; trancher ; écarter
éplucher.v 119 :: éplucher ; parcourir ; regarder ; fouillé ; étudier ; explorer ; balayer ; scrupuleusement ; analyser ; lire
éplucher.v 167 :: laver ; oublier ; observer ; enlever ; couper ; noter ; conserver ; regarder ; laisser ; retourner
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; fouiller ; retrouver ; découvrir ; examiner ; parcourir
éplucher.v 235 :: peler ; faire ; passer ; presser ; acheter ; arracher ; obtenir ; récolter ; entamer ; affiner
éplucher.v 236 :: éplucher ; récolter ; collecter ; balayer ; scrupuleusement ; fouillé ; entendre ; regarder ; aller ; compiler
éplucher.v 258 :: peler ; blanchir ; égoutter ; faire ; fruit ; légume ; fraise ; écraser ; préparer ; rincer
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; euro ; exploitation ; offrir ; origine ; emploi
espace.n 27 :: air ; or ; énergie ; art ; eau ; éternel ; image ; irréversible ; apparemment ; actuel
espace.n 79 :: ensemble ; emplacement ; office ; environnement ; outil ; zone ; service ; aire ; option ; élément
espace.n 120 :: air ; étroit ; ajouter ; petit ; utiliser ; excellent ; article ; aide ; apercevoir ; heureux
espace.n 137 :: environnement ; marché ; investissement ; instrument ; domaine ; entreprise ; avenir ; article ; droit ; avantage
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; irréversible ; art
espace.n 180 :: place ; lien ; emplacement ; équilibre ; arrangement ; intervalle ; distance ; déplacement ; passage ; zone
espace.n 208 :: innombrable ; entreprise ; ensemble ; article ; exploitation ; information ; utilisateur ; euro ; ancien ; enregistrement
espace.n 229 :: propre ; événement ; investissement ; produit ; projet ; service ; environnement ; contenir ; développement ; équipement
espace.n 243 :: article ; place ; coin ; intervalle ; vide ; emplacement ; écran ; temps ; trou ; lien
essuyer.v 11 :: essuyer ; laver ; faire ; rincer ; ensuite ; essuie ; avoir ; abondamment ; protéger ; enlever
essuyer.v 58 :: subir ; rencontrer ; constater ; recevoir ; essuie ; souffrir ; enregistrer ; connaître ; accumuler ; affronter
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; sourire ; écarter ; égal ; brûle ; larme ; enduire
essuyer.v 81 :: essuie ; éponge ; encre ; effacer ; laver ; lav ; enduire ; nettoie ; douche ; avoir
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; poursuivre ; assister
essuyer.v 89 :: subir ; recevoir ; opposer ; constater ; annoncer ; rencontrer ; accuser ; obtenir ; essuie ; frapper
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; souffrir ; voir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; noyau ; éplucher ; pépin ; légume ; égoutter ; peau ; baie ; peler ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; affronter ; récolter ; enregistrer ; connaître ; provoquer
essuyer.v 266 :: enlever ; essuie ; nettoyer ; balayer ; soigneusement ; assurer ; retirer ; abondamment ; ensuite ; retourner
faucher.v 12 :: tuer ; jeter ; briser ; presque ; écraser ; bientôt ; projeter ; déposer ; abattre ; grièvement
faucher.v 42 :: mieux ; presque ; déjà ; également ; couvrir ; devenir ; peut-être ; récolter ; découverte ; davantage
faucher.v 116 :: semer ; abattre ; dévaster ; arroser ; voler ; détruire ; pousser ; ravager ; travailler ; assassiner
faucher.v 160 :: séparer ; capture ; tombe ; amoureux ; malheureux ; coûter ; tuer ; orphelin ; divorce ; être
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; mieux ; couper ; arracher ; donner ; assassiner
faucher.v 239 :: acheter ; presque ; entamer ; cassé ; jeter ; renverser ; servir ; déjà ; briser ; planter
faucher.v 248 :: blesse ; abattre ; brise ; taire ; presque ; frappe ; renverse ; peut-être ; marque ; tombe
faucher.v 276 :: abattre ; couper ; semer ; planter ; pousser ; tailler ; piquer ; greffer ; creuser ; récolter
faucher.v 282 :: marque ; centre ; piqu ; remplacer ; cadre ; passeur ; cale ; casser ; prolonger ; compenser
faucher.v 290 :: grièvement ; tuer ; gravement ; blesser ; verser ; plaqué ; presque ; briser ; déjà ; bêtement
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; ouvrir ; faire ; tenir ; lancer
fonder.v 7 :: force ; motiver ; sous-tendre ; porte ; traverser ; conditionne ; guide ; légitime ; appuyer ; forme
fonder.v 54 :: base ; appuyer ; construire ; trouver ; bâtir ; tire ; gagner ; ancre ; assurer ; force
fonder.v 66 :: diriger ; ferme ; commencer ; créer ; développer ; installer ; rejoindre ; monte ; forme ; fabrique
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; développer ; finance ; diriger ; formule ; anime ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; constituer ; caractériser ; base ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; fonctionner ; appuyer ; fond ; forge ; baser ; fixe
fonder.v 212 :: créer ; former ; constituer ; faire ; fabriquer ; contracter ; monter ; forger ; fondre ; bâtir
fonder.v 264 :: motiver ; définir ; base ; force ; traverser ; valide ; forme ; bâtir ; appuyer ; vraiment
fonder.v 286 :: développer ; fabrique ; diriger ; compte ; créer ; forme ; forge ; fond ; ferme ; réunir
grossier.a 24 :: stupide ; flagrant ; grave ; valable ; formel ; évident ; rigoureux ; courant ; complet ; grotesque
grossier.a 37 :: avancer ; complet ; sophistiquer ; répandre ; efficace ; subtil ; vicieux ; élevé ; facile ; exact
grossier.a 85 :: violent ; agressif ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; dangereux ; méchant ; tendre
grossier.a 108 :: fin ; épais ; profond ; minéral ; primitif ; organique ; léger ; général ; calcaire ; pauvre
grossier.a 134 :: léger ; subtil ; évident ; flagrant ; sérieux ; grave ; vague ; gros ; maladroit ; clair
grossier.a 179 :: gros ; grand ; profond ; bon ; énième ; énorme ; vrai ; flagrant ; grave ; sérieux
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; incorrect ; arrogant ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; policier ; accusation ; billet ; fait ; déplacer ; mensonge ; sens ; procédé ; médical
grossier.a 231 :: vulgaire ; matériel ; humain ; coupable ; inférieur ; simple ; profane ; primitif ; profond ; superficiel
grossier.a 300 :: stupide ; vulgaire ; faire ; habituel ; commune ; coupable ; féroce ; manifeste ; agressif ; meurtrier
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; exclusif ; compréhensible
hermétique.a 71 :: étanche ; opaque ; secret ; obscur ; énigmatique ; effrayant ; mystérieux ; fermer ; confidentiel ; explicite
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; individuel ; entier ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; réfractaire ; sourd ; fermer ; attacher ; opposer ; perméable
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; opaque ; religieux ; académique ; fermé ; officiel ; noir
hermétique.a 220 :: opaque ; étancher ; fermer ; obscur ; extrêmement ; froid ; parfaitement ; anonyme ; hypocrite ; clos
hermétique.a 226 :: insensible ; étanche ; attacher ; imperméable ; fermer ; sourd ; indifférent ; sensible ; attentif ; associer
hermétique.a 261 :: étanche ; magique ; opaque ; éloquer ; incompréhensible ; confidentiel ; fermer ; explicite ; mystérieux ; étancher
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; solide ; fermé ; secret ; noir ; entièrement ; alimentaire
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; compréhensible ; exclusif
incorrect.a 45 :: actif ; mal ; opérationnel ; pratique ; global ; juridique ; utile ; général ; juger ; créatif
incorrect.a 125 :: vraiment ; in ; complètement ; totalement ; parfaitement ; con ; super ; mal ; hier ; incapable
incorrect.a 132 :: revenir ; impossible ; rester ; extrêmement ; tomber ; orienter ; incomplet ; totalement ; entier ; devenir
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; exemplaire ; pénal ; professionnel ; apparemment ; inique
incorrect.a 159 :: in ; juridique ; politique ; ex ; pratique ; professionnel ; mal ; interdire ; obligatoire ; incomplet
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; donner ; contraire
incorrect.a 217 :: ici ; correct ; politiquement ; stupide ; public ; approprié ; inapproprié ; sujet ; erroné ; volontairement
incorrect.a 241 :: vraiment ; complètement ; totalement ; mal ; presque ; parfaitement ; in ; fort ; extrêmement ; déjà
incorrect.a 298 :: maladroit ; vrai ; ridicule ; décevant ; correct ; injuste ; évident ; exact ; malheureux ; mauvais
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; financier ; opérationnel ; transmettre ; bancaire ; identifiabler
intérêt.n 63 :: avis ; élément ; objectif ; appétit ; opinion ; sentiment ; point ; agenda ; avantage ; adversaire
intérêt.n 97 :: article ; évolution ; étroit ; international ; aide ; heureux ; origine ; irremplaçable ; information ; étranger
intérêt.n 129 :: air ; aide ; art ; image ; étroit ; externe ; heureux ; international ; interne ; énergie
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; énergie ; international
intérêt.n 155 :: utilisateur ; article ; appareil ; effectif ; outil ; étroit ; équipe ; audit ; évaluation ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; inconvénient ; attrer ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; guide ; principal ; cor ; excellent ; éventuel ; matériel
intérêt.n 268 :: air ; international ; art ; aide ; image ; nouveau ; or ; actuel ; clip ; heureux
intérêt.n 271 :: aide ; étroit ; être ; image ; international ; art ; air ; énergie ; or ; article
intérêt.n 297 :: aide ; air ; clip ; externe ; animal ; art ; image ; enseigner ; or ; double
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; aborder ; présenter ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; adapter ; interprétation ; arranger ; illustrer ; chanter ; écouter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; inverser ; envisager ; voir ; exprimer ; lire
interpréter.v 80 :: air ; or ; art ; apparemment ; aide ; image ; obliger ; international ; interne ; aimer
interpréter.v 123 :: or ; art ; international ; heureux ; étymologie ; air ; étroit ; expérience ; aide ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; assurer ; in ; offrir
interpréter.v 157 :: recevoir ; écrire ; analyse ; accueillir ; envoyer ; émettre ; traduire ; traite ; encaisse ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; évaluer ; apprécier ; décoder ; exploiter ; expliquer ; entendre ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; percevoir ; vivre ; envisager ; écrire ; définir
interpréter.v 289 :: imaginer ; jouer ; incarner ; animé ; dansé ; chanter ; enseigner ; interprétation ; habiter ; présenter
maintenir.v 94 :: soutenir ; écrire ; souligner ; répéter ; affirmer ; ajouter ; déclarer ; apprendre ; entendre ; préciser
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; tenir ; renseigner ; identifier
maintenir.v 154 :: garder ; conserver ; renforcer ; poursuivre ; continuer ; exercer ; retenir ; demeurer ; mettre ; confirmer
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; mettre ; divertir ; conforter ; couler
maintenir.v 183 :: garder ; préserver ; conserver ; garantir ; favoriser ; assurer ; rester ; entretenir ; mettre ; créer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; être ; devoir ; double ; pouvoir ; garder ; vouloir ; dernier ; compter
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; prévoir ; reconnaître
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; reprendre ; confirmer ; poursuivre ; répéter ; défendre
maintenir.v 281 :: confirmer ; affirmer ; soutien ; dire ; croire ; déclarer ; juge ; maintien ; préciser ; voir
mince.a 17 :: épais ; fin ; intime ; faible ; fort ; étroit ; vulnérable ; haut ; réduit ; petit
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; lisse ; sec ; continuer ; grossier ; chimique
mince.a 147 :: léger ; maigre ; sommaire ; faible ; simple ; original ; riche ; préciser ; tendre ; limité
mince.a 170 :: serrer ; fragile ; étroit ; maigre ; léger ; faible ; fort ; bon ; épais ; briser
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; menu ; large ; énorme ; solide
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; double ; simple ; dernier ; fort ; faible
mince.a 213 :: maigre ; faible ; petit ; minime ; léger ; riche ; vert ; réduire ; infime ; fragile
mince.a 225 :: maigre ; brillant ; dramatique ; lux ; cadeau ; fort ; grave ; sport ; signe ; secret
mince.a 242 :: fin ; fort ; préciser ; faible ; étroit ; clair ; intime ; fragile ; sec ; bel
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; léger ; invisible ; métallique ; physique ; isolant ; poreux
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; modique ; minime ; paisible ; simple
modeste.a 114 :: humble ; petit ; pauvre ; bon ; honnête ; poli ; discret ; timide ; misérable ; faible
modeste.a 121 :: faible ; significatif ; important ; minime ; petit ; modique ; mesurer ; limité ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; léger ; petit ; faible ; spectaculaire ; récent ; personnel ; important ; propre
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; médiocre ; important ; maigre ; élevé ; économique
modeste.a 197 :: pauvre ; faible ; aisé ; fragile ; concerner ; économique ; petit ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; léger ; mesurer ; petit ; modérer ; élevé ; prudent
modeste.a 246 :: élevé ; faible ; important ; léger ; petit ; marchand ; considérable ; négligeable ; moindre ; économique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; pieux ; honnête ; bon
modeste.a 283 :: humble ; digne ; discret ; simple ; fragile ; populaire ; honnête ; modestie ; pauvre ; mature
montée.n 15 :: courbe ; victoire ; poussée ; côte ; conversion ; dérive ; droite ; hausse ; réduction ; mue
montée.n 56 :: progression ; descente ; hausse ; augmentation ; poussée ; élévation ; pente ; montagne ; partie ; hiérarchie
