affection.n 8 :: presque ; complaisance ; malheureusement ; satisfaction ; quelquefois ; tendresse ; universel ; second ; profond ; bientôt
arrêter.v 181 :: établir ; dresse ; élaborer ; définir ; préparer ; adopter ; annoncer ; approuver ; pose ; décider
arrêter.v 219 :: stopper ; tuer ; attraper ; acheter ; aider ; bloquer ; atteindre ; fabriquer ; transporter ; frapper
arrêter.v 273 :: enlever ; capturer ; assassiner ; prendre ; condamner ; interpeller ; attacher ; adopter ; exécuter ; emprisonner
arrêter.v 277 :: or ; parer ; but ; point ; an ; canada ; pi ; voir ; vue ; avoir
arrêter.v 291 :: décider ; fixer ; adopter ; publier ; établir ; signer ; émettre ; proposer ; approuver ; accorder
capacité.n 26 :: faculté ; puissance ; flexibilité ; disponibilité ; rapidité ; dimension ; pouvoir ; vitesse ; force ; souplesse
capacité.n 32 :: puissance ; chaîne ; tête ; possibilité ; force ; quantité ; réserve ; charge ; raison ; différence
capacité.n 35 :: clinique ; formation ; équipe ; activité ; maîtrise ; résidence ; population ; spécialiste ; université ; contribution
capacité.n 70 :: fréquentation ; puissance ; surface ; performance ; consommation ; rentabilité ; quantité ; construction ; sécurité ; dotation
capacité.n 73 :: faculté ; compétence ; détermination ; force ; aptitude ; souplesse ; possibilité ; volonté ; flexibilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; propre ; faculté ; fonction ; pouvoir ; liberté ; force ; vertu
capacité.n 103 :: ressource ; activité ; possibilité ; chaîne ; stock ; unité ; disponibilité ; installation ; quantité ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; batterie ; solution ; suite ; réserve ; garantie ; durée ; surface
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; maturité ; spécialisation ; connaissance ; certification ; qualité ; qualification ; aptitude
commander.v 5 :: dicter ; demander ; vouloir ; signer ; écrire ; commande ; ordonner ; donner ; lancer ; publier
commander.v 9 :: commander ; commencer ; acheter ; choisir ; réserver ; sélectionner ; découvrir ; apprendre ; oublier ; créer
commander.v 16 :: diriger ; commanda ; recevoir ; combat ; soutenir ; ordonner ; consigne ; lancer ; mener ; prendre
commander.v 41 :: choisir ; décider ; commencer ; définir ; faire ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; mener ; gérer ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; dicter ; commandant ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; conseiller ; prescrire ; enjoindre ; imposer ; demande ; enseigne
commander.v 171 :: acheter ; acquérir ; commande ; valider ; réserver ; admirer ; imprimer ; ouvrir ; déguster ; essayer
commander.v 206 :: protéger ; servir ; commande ; permettre ; donne ; donner ; défense ; supprimer ; passer ; venir
commander.v 240 :: commande ; régler ; payer ; faire ; uniquement ; contrôler ; acheter ; personnaliser ; également ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; interpréter ; intégrer ; enseigner ; lire ; vivre ; contenue
compris.a 90 :: penser ; croire ; sentir ; réaliser ; convaincre ; trouver ; apprendre ; saisir ; assurer ; considérer
compris.a 106 :: entendre ; savoir ; deviner ; vivre ; nécessaire ; comprendre ; penser ; vouloir ; croire ; cacher
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; inscrire ; entendre ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; incorporer ; présent
compris.a 187 :: contenu ; estimer ; situer ; compter ; moyen ; supérieur ; recommander ; choisir ; définir ; limité
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; grouper ; moyen ; partager ; inclus ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; cal ; limité ; cohérent ; comptabiliser
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; intégré ; apprendre ; assimiler ; reconnaître ; capter ; savoir ; comprendre ; détecter
couverture.n 65 :: manchette ; rédaction ; dernier ; dossier ; page ; sommaire ; couvrir ; série ; semaine ; sélection
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; réputation ; mort ; route ; protection ; toile
couverture.n 72 :: housse ; toiture ; couvrir ; revêtement ; couvert ; peau ; produit ; terrasse ; reliure ; sol
couverture.n 143 :: manchette ; couvrir ; illustration ; fort ; bref ; page ; pochette ; tête ; marge ; éditorial
couverture.n 149 :: protection ; sécurité ; gestion ; couvert ; vie ; garantie ; surveillance ; responsabilité ; régime ; caisse
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; toit ; protection ; tuile ; voil ; construction ; revêtement
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; gestion ; conquête ; transformation ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; toit
couverture.n 265 :: couvrir ; serviette ; housse ; véranda ; corde ; litière ; couette ; commode ; bâche ; veste
couverture.n 280 :: peau ; voil ; protection ; lune ; reliure ; couvrir ; plume ; neige ; véranda ; carapace
débit.n 64 :: dépôt ; compte ; versement ; banque ; règlement ; crédit ; paiement ; solde ; faciliter ; nombre
débit.n 87 :: montant ; paiement ; solde ; crédit ; versement ; dépôt ; règlement ; compte ; coût ; prélèvement
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; volume ; poids ; écoulement ; régime ; delta
débit.n 131 :: niveau ; flux ; eau ; dépôt ; courant ; couche ; bassin ; chambre ; pression ; jet
débit.n 136 :: flux ; cours ; apport ; eau ; niveau ; rive ; crue ; coefficient ; bord ; effectif
débit.n 168 :: montant ; règlement ; compte ; crédit ; virement ; jet ; paiement ; traitement ; financement ; délai
débit.n 169 :: montant ; résultat ; coût ; flux ; volume ; niveau ; financement ; rythme ; traitement ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; rendement ; capacité ; coût ; cadence ; transfert ; prix
débit.n 188 :: flux ; apport ; niveau ; rejet ; débordement ; effectif ; dépôt ; cours ; coefficient ; rive
débit.n 205 :: rythme ; flux ; caractère ; tempo ; trafic ; style ; jet ; mouvement ; accès ; canal
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; diriger ; houlette ; performance ; langue ; directrice
direction.n 111 :: orientation ; conduite ; ligne ; tête ; directrice ; vision ; forme ; force ; tendance ; responsabilité
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; gestion ; maîtrise ; communauté ; commission ; coordination ; responsabilité
direction.n 152 :: orientation ; tendance ; forme ; sens ; ligne ; déviation ; vitesse ; relation ; droite ; courbe
direction.n 172 :: rejoindre ; bonjour ; destination ; peut-être ; gagner ; face ; bientôt ; direct ; forme ; finalement
direction.n 176 :: conduite ; performance ; rapport ; vitesse ; orientation ; comportement ; tendance ; forme ; sens ; contrôle
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; directrice ; partir ; presse ; gauche ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; présidence ; discipline ; forme ; gestion ; diriger ; représentation
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; défense ; gestion ; directeur ; charge ; maîtrise
direction.n 279 :: face ; destination ; venir ; provenance ; province ; vallée ; revenir ; route ; faveur ; vue
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; rêve ; fonds ; centre ; loisir
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; livre ; domaine ; droit ; charm ; travail
don.n 60 :: cadeau ; travail ; produit ; livre ; geste ; signe ; legs ; sacrifice ; commerce ; fruit
don.n 84 :: contribution ; cadeau ; fonds ; apport ; produit ; déchet ; versement ; bénéficiaire ; loyer ; transfert
don.n 107 :: cadeau ; présent ; part ; parvenir ; preuve ; offrir ; achat ; grâce ; confiance ; legs
don.n 130 :: contribution ; cadeau ; fonds ; enfant ; généreux ; lecteur ; catholique ; ami ; dépôt ; prix
don.n 196 :: talent ; pouvoir ; génie ; rôle ; chic ; secret ; temps ; mérite ; complexe ; tort
don.n 244 :: cadeau ; versement ; mécénat ; soutien ; travail ; contribution ; bon ; transfert ; legs ; profit
don.n 245 :: talent ; travail ; contribution ; témoignage ; trésor ; génie ; grand ; pouvoir ; domaine ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; heureux ; éternel ; animal ; afghan
entraîner.v 47 :: amener ; aider ; conduire ; obliger ; engager ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; aide ; interne ; clip ; image ; art ; afghan
entraîner.v 57 :: air ; eau ; être ; or ; énergie ; art ; apparemment ; international ; avoir ; efficace
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; art ; ensemble ; ancien ; eau ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: invite ; amener ; obliger ; engager ; encourager ; avoir ; conduire ; pousse ; inciter ; apprendre
entraîner.v 161 :: provoquer ; apparaître ; amener ; engendrer ; éviter ; conduire ; expliquer ; créer ; produire ; assurer
entraîner.v 162 :: amener ; engendrer ; provoquer ; encourager ; assurer ; actif ; déclenche ; influence ; favoriser ; impliquer
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; engager ; atteindre ; abandonner ; écarter ; pousser ; précipiter
éplucher.v 10 :: peler ; préparer ; nettoyer ; acheter ; égoutter ; cueillir ; presser ; enfiler ; ouvrir ; faire
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; imprimer ; attentivement ; dépouiller ; scrupuleusement ; parcourir ; compiler
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; vérifier ; scanner ; fouiller ; balayer ; dévorer
éplucher.v 100 :: éplucher ; retourner ; écraser ; récolter ; peser ; oignon ; laver ; arracher ; trancher ; écarter
éplucher.v 119 :: éplucher ; parcourir ; regarder ; fouillé ; étudier ; explorer ; balayer ; scrupuleusement ; analyser ; lire
éplucher.v 167 :: laver ; oublier ; observer ; enlever ; couper ; noter ; conserver ; regarder ; retourner ; découper
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; fouiller ; retrouver ; découvrir ; examiner ; parcourir
éplucher.v 235 :: peler ; faire ; passer ; presser ; acheter ; arracher ; obtenir ; récolter ; entamer ; affiner
éplucher.v 236 :: éplucher ; récolter ; collecter ; balayer ; scrupuleusement ; fouillé ; entendre ; regarder ; aller ; noter
éplucher.v 258 :: peler ; blanchir ; égoutter ; faire ; fruit ; légume ; fraise ; écraser ; préparer ; récolter
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; exploitation ; euro ; offrir ; origine ; emploi
espace.n 27 :: air ; or ; énergie ; art ; eau ; éternel ; image ; irréversible ; apparemment ; actuel
espace.n 79 :: ensemble ; office ; emplacement ; environnement ; outil ; zone ; service ; aire ; option ; élément
espace.n 120 :: air ; étroit ; ajouter ; petit ; utiliser ; article ; excellent ; aide ; apercevoir ; heureux
espace.n 137 :: environnement ; marché ; investissement ; domaine ; instrument ; entreprise ; avenir ; article ; groupe ; droit
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; irréversible ; art
espace.n 180 :: place ; lien ; emplacement ; équilibre ; arrangement ; intervalle ; distance ; déplacement ; passage ; zone
espace.n 208 :: innombrable ; entreprise ; ensemble ; article ; utilisateur ; exploitation ; euro ; information ; ancien ; enregistrement
espace.n 229 :: événement ; propre ; investissement ; produit ; projet ; service ; environnement ; développement ; contenir ; équipement
espace.n 243 :: article ; place ; coin ; intervalle ; vide ; emplacement ; écran ; temps ; trou ; lien
essuyer.v 11 :: essuyer ; laver ; faire ; rincer ; essuie ; ensuite ; avoir ; abondamment ; protéger ; enlever
essuyer.v 58 :: subir ; rencontrer ; constater ; recevoir ; essuie ; souffrir ; connaître ; enregistrer ; accumuler ; affronter
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; sourire ; égal ; écarter ; brûle ; larme ; enduire
essuyer.v 81 :: essuie ; éponge ; encre ; effacer ; lav ; laver ; enduire ; nettoie ; douche ; avoir
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; poursuivre ; assister
essuyer.v 89 :: subir ; recevoir ; opposer ; constater ; rencontrer ; annoncer ; accuser ; obtenir ; essuie ; frapper
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; souffrir ; voir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; éplucher ; noyau ; pépin ; égoutter ; légume ; peau ; peler ; baie ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; récolter ; affronter ; enregistrer ; connaître ; provoquer
essuyer.v 266 :: essuie ; enlever ; nettoyer ; balayer ; soigneusement ; assurer ; retirer ; ensuite ; abondamment ; énergiquement
faucher.v 12 :: tuer ; jeter ; presque ; briser ; écraser ; bientôt ; projeter ; déposer ; abattre ; grièvement
faucher.v 42 :: mieux ; déjà ; presque ; également ; couvrir ; devenir ; récolter ; peut-être ; découverte ; davantage
faucher.v 116 :: semer ; abattre ; dévaster ; arroser ; voler ; détruire ; pousser ; ravager ; travailler ; assassiner
faucher.v 160 :: séparer ; capture ; amoureux ; tombe ; malheureux ; coûter ; tuer ; orphelin ; divorce ; être
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; mieux ; couper ; arracher ; donner ; assassiner
faucher.v 239 :: acheter ; presque ; entamer ; cassé ; jeter ; renverser ; servir ; déjà ; briser ; planter
faucher.v 248 :: blesse ; abattre ; brise ; taire ; presque ; frappe ; renverse ; peut-être ; marque ; tombe
faucher.v 276 :: abattre ; couper ; semer ; planter ; pousser ; tailler ; piquer ; greffer ; creuser ; récolter
faucher.v 282 :: marque ; centre ; piqu ; remplacer ; passeur ; cadre ; cale ; compenser ; casser ; prolonger
faucher.v 290 :: grièvement ; tuer ; gravement ; blesser ; verser ; plaqué ; presque ; briser ; déjà ; bêtement
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; ouvrir ; faire ; tenir ; lancer
fonder.v 7 :: motiver ; force ; sous-tendre ; porte ; traverser ; conditionne ; guide ; légitime ; appuyer ; caractériser
fonder.v 54 :: base ; appuyer ; construire ; trouver ; bâtir ; tire ; gagner ; ancre ; assurer ; force
fonder.v 66 :: diriger ; ferme ; commencer ; créer ; développer ; rejoindre ; installer ; monte ; forme ; finance
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; développer ; finance ; diriger ; formule ; anime ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; constituer ; caractériser ; base ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; fonctionner ; appuyer ; fond ; forge ; baser ; cale
fonder.v 212 :: créer ; former ; constituer ; faire ; fabriquer ; contracter ; monter ; fondre ; forger ; bâtir
fonder.v 264 :: motiver ; définir ; base ; force ; traverser ; valide ; forme ; bâtir ; appuyer ; vraiment
fonder.v 286 :: développer ; fabrique ; compte ; diriger ; créer ; forme ; forge ; fond ; ferme ; monte
grossier.a 24 :: stupide ; flagrant ; grave ; valable ; formel ; évident ; rigoureux ; complet ; courant ; grotesque
grossier.a 37 :: avancer ; complet ; sophistiquer ; répandre ; efficace ; subtil ; vicieux ; élevé ; facile ; exact
grossier.a 85 :: violent ; agressif ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; dangereux ; méchant ; tendre
grossier.a 108 :: fin ; épais ; profond ; minéral ; primitif ; organique ; léger ; calcaire ; sec ; pauvre
grossier.a 134 :: léger ; subtil ; évident ; flagrant ; grave ; sérieux ; vague ; gros ; maladroit ; simpliste
grossier.a 179 :: gros ; grand ; profond ; énième ; bon ; énorme ; vrai ; grave ; flagrant ; véritable
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; incorrect ; arrogant ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; accusation ; policier ; billet ; mensonge ; fait ; déplacer ; commentaire ; procédé ; sens
grossier.a 231 :: vulgaire ; matériel ; humain ; coupable ; inférieur ; simple ; profane ; superficiel ; profond ; brut
grossier.a 300 :: stupide ; vulgaire ; faire ; habituel ; commune ; coupable ; féroce ; agressif ; répéter ; manifeste
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; étancher ; évident ; compréhensible ; exclusif
hermétique.a 71 :: étanche ; opaque ; secret ; énigmatique ; obscur ; effrayant ; mystérieux ; fermer ; confidentiel ; explicite
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; individuel ; entier ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; réfractaire ; sourd ; fermer ; attacher ; opposer ; perméable
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; opaque ; religieux ; académique ; fermé ; officiel ; magique
hermétique.a 220 :: opaque ; étancher ; fermer ; obscur ; extrêmement ; froid ; parfaitement ; anonyme ; clos ; hypocrite
hermétique.a 226 :: insensible ; étanche ; attacher ; imperméable ; fermer ; indifférent ; sourd ; sensible ; attentif ; associer
hermétique.a 261 :: étanche ; magique ; opaque ; éloquer ; incompréhensible ; confidentiel ; fermer ; explicite ; mystérieux ; étancher
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; solide ; fermé ; secret ; noir ; entièrement ; alimentaire
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; évident ; étancher ; compréhensible ; exclusif
incorrect.a 45 :: actif ; opérationnel ; mal ; pratique ; global ; juridique ; utile ; général ; juger ; créatif
incorrect.a 125 :: in ; vraiment ; complètement ; totalement ; parfaitement ; con ; super ; mal ; hier ; incapable
incorrect.a 132 :: revenir ; impossible ; rester ; extrêmement ; tomber ; orienter ; incomplet ; totalement ; entier ; devenir
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; exemplaire ; pénal ; professionnel ; apparemment ; inique
incorrect.a 159 :: in ; juridique ; politique ; ex ; pratique ; mal ; professionnel ; interdire ; législatif ; obligatoire
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; donner ; arbitraire
incorrect.a 217 :: ici ; correct ; politiquement ; stupide ; public ; approprié ; inapproprié ; sujet ; erroné ; volontairement
incorrect.a 241 :: vraiment ; complètement ; totalement ; mal ; presque ; parfaitement ; in ; extrêmement ; fort ; déjà
incorrect.a 298 :: maladroit ; vrai ; ridicule ; correct ; décevant ; injuste ; évident ; exact ; malheureux ; faux
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; financier ; transmettre ; opérationnel ; bancaire ; erroné
intérêt.n 63 :: avis ; élément ; objectif ; appétit ; opinion ; sentiment ; point ; agenda ; adversaire ; avantage
intérêt.n 97 :: article ; évolution ; étroit ; international ; aide ; heureux ; opinion ; irremplaçable ; origine ; information
intérêt.n 129 :: air ; aide ; art ; image ; étroit ; externe ; heureux ; international ; interne ; énergie
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; énergie ; international
intérêt.n 155 :: article ; utilisateur ; effectif ; appareil ; outil ; étroit ; audit ; équipe ; évaluation ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; inconvénient ; attrer ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; guide ; principal ; cor ; matériel ; excellent ; éventuel
intérêt.n 268 :: air ; international ; art ; aide ; image ; or ; nouveau ; actuel ; clip ; heureux
intérêt.n 271 :: aide ; étroit ; international ; image ; être ; art ; air ; énergie ; or ; excellent
intérêt.n 297 :: aide ; air ; clip ; externe ; animal ; art ; image ; enseigner ; or ; double
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; aborder ; présenter ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; adapter ; interprétation ; arranger ; illustrer ; chanter ; écouter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; envisager ; inverser ; exprimer ; voir ; lire
interpréter.v 80 :: air ; or ; art ; apparemment ; aide ; image ; obliger ; international ; interne ; aimer
interpréter.v 123 :: or ; art ; international ; heureux ; étymologie ; air ; étroit ; expérience ; aide ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; in ; assurer ; offrir
interpréter.v 157 :: recevoir ; écrire ; analyse ; accueillir ; envoyer ; émettre ; traduire ; traite ; encaisse ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; évaluer ; apprécier ; décoder ; expliquer ; exploiter ; entendre ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; vivre ; percevoir ; envisager ; écrire ; définir
interpréter.v 289 :: imaginer ; jouer ; incarner ; animé ; dansé ; chanter ; enseigner ; interprétation ; habiter ; arranger
maintenir.v 94 :: soutenir ; écrire ; souligner ; répéter ; affirmer ; ajouter ; déclarer ; apprendre ; entendre ; préciser
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; tenir ; renseigner ; identifier
maintenir.v 154 :: garder ; conserver ; renforcer ; continuer ; poursuivre ; exercer ; retenir ; demeurer ; mettre ; concentrer
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; mettre ; divertir ; conforter ; couler
maintenir.v 183 :: garder ; préserver ; conserver ; garantir ; favoriser ; assurer ; rester ; entretenir ; mettre ; créer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; être ; devoir ; double ; pouvoir ; garder ; dernier ; vouloir ; compter
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; prévoir ; reconnaître
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; reprendre ; confirmer ; poursuivre ; répéter ; défendre
maintenir.v 281 :: confirmer ; soutien ; affirmer ; dire ; croire ; déclarer ; juge ; maintien ; préciser ; voir
mince.a 17 :: épais ; fin ; intime ; faible ; fort ; étroit ; haut ; vulnérable ; réduit ; léger
mince.a 96 :: fin ; épais ; régulier ; léger ; fixe ; lisse ; continuer ; sec ; grossier ; chimique
mince.a 147 :: léger ; maigre ; sommaire ; faible ; simple ; original ; riche ; préciser ; fin ; tendre
mince.a 170 :: serrer ; fragile ; étroit ; faible ; léger ; maigre ; fort ; bon ; épais ; briser
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; menu ; large ; énorme ; solide
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; double ; simple ; dernier ; fort ; faible
mince.a 213 :: maigre ; faible ; petit ; minime ; léger ; riche ; vert ; réduire ; fragile ; infime
mince.a 225 :: maigre ; brillant ; dramatique ; lux ; cadeau ; fort ; sport ; grave ; signe ; secret
mince.a 242 :: fin ; fort ; préciser ; faible ; étroit ; clair ; intime ; fragile ; sec ; court
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; léger ; invisible ; métallique ; isolant ; physique ; poreux
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; minime ; modique ; simple ; paisible
modeste.a 114 :: humble ; petit ; pauvre ; bon ; honnête ; poli ; discret ; timide ; misérable ; faible
modeste.a 121 :: faible ; significatif ; important ; minime ; petit ; modique ; mesurer ; limité ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; léger ; petit ; faible ; spectaculaire ; récent ; personnel ; important ; propre
modeste.a 195 :: limité ; faible ; minime ; misérable ; considérable ; médiocre ; important ; maigre ; restreindre ; élevé
modeste.a 197 :: pauvre ; faible ; aisé ; concerner ; fragile ; économique ; petit ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; léger ; mesurer ; petit ; modérer ; prudent ; comprendre
modeste.a 246 :: élevé ; important ; faible ; léger ; petit ; marchand ; négligeable ; considérable ; moindre ; économique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; pieux ; bon ; honnête
modeste.a 283 :: humble ; digne ; discret ; simple ; fragile ; populaire ; honnête ; modestie ; pauvre ; mature
montée.n 15 :: courbe ; victoire ; poussée ; côte ; conversion ; dérive ; droite ; hausse ; réduction ; mue
