affection.n 8 :: affectation ; considération ; influence ; disgrâce ; institution ; persécution ; ambition ; humiliation ; dernier ; instruction
aisé.a 275 :: facile ; difficile ; évident ; ardu ; impossible ; compliqué ; avantageux ; simple ; auparavant ; faciliter
arrêter.v 1 :: enlever ; stopper ; prendre ; tuer ; abandonner ; assassiner ; arrêt ; exécuter ; capturer ; suspendre
arrêter.v 14 :: condamner ; suspendre ; interpellé ; abattu ; tuer ; licencié ; emprisonné ; hospitaliser ; interpeller ; incarcérer
arrêter.v 23 :: apercevoir ; aimer ; être ; appeler ; aimable ; utiliser ; excellent ; intégrer ; hésiter ; objet
arrêter.v 25 :: laisse ; cesser ; oublier ; continuer ; arrêt ; abandonner ; limite ; commencer ; ferme ; lâche
arrêter.v 50 :: abandonner ; éteindre ; enlever ; arrêt ; quitter ; faire ; interrompre ; appeler ; cesser ; prendre
arrêter.v 181 :: dresse ; établir ; préparer ; donne ; présente ; choisir ; affiche ; vérifier ; contenir ; modifier
arrêter.v 219 :: tuer ; stopper ; bloquer ; attraper ; faire ; atteindre ; acheter ; aider ; abattre ; transporter
arrêter.v 273 :: capturer ; prendre ; enlever ; condamner ; rendre ; assassiner ; adopter ; emprisonner ; juger ; exécuter
arrêter.v 277 :: or ; parer ; but ; point ; avoir ; an ; canada ; pouvoir ; pi ; voir
arrêter.v 291 :: décider ; publier ; adopter ; signer ; émettre ; proposer ; fixer ; prendre ; accorder ; approuver
capacité.n 26 :: faculté ; puissance ; disponibilité ; rapidité ; dimension ; vitesse ; possibilité ; pouvoir ; flexibilité ; souplesse
capacité.n 32 :: puissance ; chaîne ; tête ; force ; quantité ; réserve ; possibilité ; charge ; raison ; propriété
capacité.n 35 :: membre ; associer ; an ; voire ; salarié ; université ; personne ; employé ; in ; travailleur
capacité.n 70 :: puissance ; quantité ; surface ; fréquentation ; consommation ; volume ; densité ; utilisation ; rentabilité ; disponibilité
capacité.n 73 :: faculté ; compétence ; force ; détermination ; aptitude ; volonté ; possibilité ; souplesse ; disponibilité ; dimension
capacité.n 101 :: qualité ; compétence ; puissance ; faculté ; fonction ; propre ; pouvoir ; liberté ; plénitude ; force
capacité.n 103 :: ressource ; réserve ; possibilité ; disponibilité ; installation ; activité ; norme ; batterie ; quantité ; surface
capacité.n 110 :: suite ; possibilité ; puissance ; quantité ; différence ; réserve ; durée ; batterie ; série ; production
capacité.n 135 :: faculté ; liberté ; possibilité ; marge ; puissance ; pouvoir ; force ; sphère ; porter ; droit
capacité.n 148 :: maîtrise ; formation ; certification ; spécialisation ; compétence ; licence ; qualification ; maturité ; qualité ; connaissance
commander.v 5 :: dicter ; donner ; demander ; écrire ; vouloir ; publier ; signer ; ordonner ; dresser ; commande
commander.v 9 :: commander ; commencer ; dé ; vous ; être ; ligne ; créer ; déjà ; facilement ; passer
commander.v 16 :: diriger ; ordonner ; recevoir ; commandant ; commanda ; mener ; consigne ; lancer ; prendre ; combat
commander.v 41 :: choisir ; décider ; commencer ; faire ; définir ; effectuer ; créer ; changer ; lancer ; gérer
commander.v 48 :: contrôlent ; diriger ; régir ; dominer ; mener ; déterminer ; gouverner ; créer ; gérer ; financer
commander.v 117 :: commande ; dicter ; vouloir ; suppose ; prescrire ; représenter ; donne ; comporte ; valoir ; donner
commander.v 164 :: ordonner ; prescrire ; enseigne ; conseiller ; dicter ; imposer ; obéir ; enjoindre ; demande ; commanda
commander.v 171 :: acquérir ; commande ; acheter ; valider ; recevoir ; réaliser ; imprimer ; réserver ; ouvrir ; remporter
commander.v 206 :: vouloir ; donner ; permettre ; acheter ; représenter ; protéger ; servir ; venir ; donne ; assurer
commander.v 240 :: commande ; régler ; payer ; uniquement ; faire ; contrôler ; acheter ; prendre ; ajouter ; également
compris.a 52 :: accepter ; assimiler ; interpréter ; compréhensible ; enseigner ; contenue ; vivre ; percevoir ; intégrer ; partager
compris.a 90 :: penser ; trouver ; croire ; apprendre ; considérer ; ajouter ; assurer ; sentir ; réaliser ; reconnaître
compris.a 106 :: vouloir ; entendre ; remarquer ; penser ; deviner ; vivre ; nécessaire ; déjà ; savoir ; croire
compris.a 185 :: inclure ; contenir ; présent ; incorporer ; situer ; entendre ; mentionner ; inscrire ; placer ; reconnaître
compris.a 186 :: inclure ; rester ; situer ; entrer ; déjà ; tomber ; sortir ; présent ; donner ; demeurer
compris.a 187 :: compter ; répartir ; estimer ; varier ; situer ; inclure ; contenu ; calculer ; évaluer ; mesurer
compris.a 211 :: mesurer ; inclus ; répartir ; minimal ; moyen ; varier ; situer ; maximal ; graduellement ; convenable
compris.a 232 :: inclure ; contenu ; intégré ; également ; prendre ; compter ; inclus ; reprendre ; comprendre ; cal
compris.a 272 :: saisir ; comprendre ; capter ; penser ; réaliser ; savoir ; croire ; percevoir ; entendre ; apprendre
compris.a 287 :: saisir ; deviner ; intégré ; assimiler ; apprendre ; capter ; comprendre ; savoir ; reconnaître ; percevoir
couverture.n 65 :: page ; dernier ; dossier ; manchette ; rédaction ; sommaire ; carte ; actualité ; moitié ; éditorial
couverture.n 67 :: vie ; peau ; carrière ; survie ; réputation ; chance ; veste ; corde ; voil ; chemise
couverture.n 72 :: peau ; toiture ; housse ; sol ; couvrir ; couvert ; produit ; plan ; revêtement ; terrasse
couverture.n 143 :: couvrir ; manchette ; fort ; bref ; éditorial ; page ; illustration ; beauté ; pochette ; rédaction
couverture.n 149 :: protection ; sécurité ; garantie ; régime ; vie ; couvert ; assurance ; gestion ; répartition ; couvrir
couverture.n 150 :: toiture ; couvrir ; protection ; charpente ; voil ; toit ; pierre ; tuile ; revêtement ; construction
couverture.n 201 :: surveillance ; protection ; gestion ; sécurité ; défense ; desserte ; développement ; sécurisation ; pénétration ; connaissance
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; toit ; chauffage ; fourniture ; charpente ; sol ; transformation
couverture.n 265 :: couvrir ; serviette ; housse ; corde ; couette ; véranda ; commode ; douche ; chaise ; protection
couverture.n 280 :: peau ; protection ; voil ; responsabilité ; lune ; forme ; carapace ; surface ; plume ; photo
débit.n 64 :: compte ; faciliter ; solde ; banque ; dépôt ; règlement ; virement ; crédit ; versement ; retrait
débit.n 87 :: montant ; coût ; solde ; paiement ; compte ; crédit ; salaire ; versement ; prix ; dépôt
débit.n 115 :: niveau ; flux ; flot ; volume ; cours ; écoulement ; rythme ; nombre ; poids ; régime
débit.n 131 :: niveau ; flux ; eau ; quantité ; volume ; flot ; dépôt ; bord ; lit ; débordement
débit.n 136 :: flux ; apport ; journalier ; réel ; moyen ; volume ; valeur ; plein ; capacité ; cours
débit.n 168 :: montant ; compte ; crédit ; jet ; minimum ; automatique ; nécessaire ; financement ; privilèg ; virement
débit.n 169 :: financement ; produit ; cours ; moyen ; montant ; total ; nom ; détail ; compte ; crédit
débit.n 184 :: taux ; rythme ; vitesse ; score ; rendement ; chiffre ; record ; cadence ; intérêt ; transfert
débit.n 188 :: apport ; flux ; rejet ; niveau ; crue ; coefficient ; cours ; courant ; débordement ; eau
débit.n 205 :: rythme ; flux ; discours ; vol ; tempo ; temps ; langage ; caractère ; jet ; flot
direction.n 78 :: conduite ; responsabilité ; coordination ; discipline ; présidence ; directrice ; performance ; comédie ; langue ; diriger
direction.n 111 :: orientation ; conduite ; ligne ; vision ; tête ; directrice ; gestion ; organisation ; main ; tendance
direction.n 151 :: directrice ; présidence ; directeur ; rédaction ; président ; gestion ; fondation ; fédération ; coordination ; région
direction.n 152 :: orientation ; sens ; droite ; ligne ; forme ; tendance ; constant ; voie ; conduite ; pente
direction.n 172 :: rejoindre ; destination ; cap ; gagner ; peut-être ; presque ; diriger ; aller ; traverser ; forme
direction.n 176 :: rapport ; conduite ; performance ; contrôle ; sens ; orientation ; résistance ; sécurité ; régime ; transmission
direction.n 199 :: directrice ; directeur ; coordination ; interne ; présidence ; équipe ; rédaction ; organisation ; secrétaire ; représentation
direction.n 223 :: conduite ; responsabilité ; directrice ; route ; diriger ; présidence ; surveillance ; coordination ; tâche ; maîtrise
direction.n 262 :: responsabilité ; directrice ; présidence ; tête ; conduite ; charge ; défense ; maîtrise ; coordination ; directeur
direction.n 279 :: destination ; sens ; vallée ; face ; droite ; nord ; raison ; côté ; région ; faveur
don.n 19 :: talent ; sens ; style ; pouvoir ; doué ; souci ; temps ; droit ; centre ; point
don.n 30 :: talent ; atout ; oeil ; sens ; plan ; pouvoir ; faculté ; trait ; projet ; potentiel
don.n 36 :: double ; incroyable ; merveilleux ; cadeau ; magnifique ; propre ; bon ; formidable ; sens ; petit
don.n 60 :: cadeau ; produit ; travail ; livre ; fruit ; geste ; legs ; service ; prêt ; sacrifice
don.n 84 :: apport ; cadeau ; fonds ; legs ; contribution ; enfant ; investissement ; déchet ; produit ; salarié
don.n 107 :: cadeau ; présent ; part ; preuve ; sacrifice ; dotation ; achat ; livre ; prix ; legs
don.n 130 :: cadeau ; contribution ; fonds ; soutien ; apport ; croyant ; enfant ; participant ; offrande ; legs
don.n 196 :: talent ; pouvoir ; génie ; rôle ; mérite ; chic ; temps ; sens ; secret ; traitement
don.n 244 :: cadeau ; mécénat ; versement ; prélèvement ; transfert ; soutien ; legs ; travail ; bénévolat ; produit
don.n 245 :: trésor ; témoignage ; cadeau ; apport ; legs ; talent ; travail ; reste ; pouvoir ; contribution
entraîner.v 39 :: art ; or ; aide ; air ; image ; ensemble ; évolution ; expédition ; ouverture ; origine
entraîner.v 47 :: aider ; obliger ; amener ; aide ; encourager ; pousse ; engager ; inciter ; conduire ; force
entraîner.v 55 :: aide ; or ; clip ; image ; air ; actuel ; art ; international ; impossible ; ensemble
entraîner.v 57 :: air ; externe ; interne ; eau ; international ; avantage ; indien ; américain ; art ; afghan
entraîner.v 133 :: air ; aide ; ensemble ; image ; art ; eau ; animal ; or ; ancien ; énergie
entraîner.v 140 :: envoyer ; mener ; engager ; emporter ; attirer ; aller ; amener ; pousser ; conduire ; partir
entraîner.v 144 :: invite ; obliger ; amener ; engager ; avoir ; inviter ; pousse ; encourager ; inciter ; appeler
entraîner.v 161 :: provoquer ; éviter ; apparaître ; conduire ; engendrer ; amener ; produire ; causer ; induire ; expliquer
entraîner.v 162 :: amener ; provoquer ; engendrer ; assurer ; encourager ; influence ; favoriser ; conduire ; actif ; déclenche
entraîner.v 191 :: emporter ; amener ; attirer ; conduire ; atteindre ; engager ; abandonner ; apporter ; précipiter ; emmener
éplucher.v 10 :: peler ; nettoyer ; laver ; égoutter ; préparer ; presser ; couper ; ajouter ; acheter ; extrair
éplucher.v 51 :: éplucher ; dépouiller ; analyser ; lire ; parcourir ; récolter ; balayer ; étudier ; travailler ; fouillé
éplucher.v 69 :: examiner ; analyser ; vérifier ; étudier ; lire ; revoir ; faire ; dépouiller ; consulter ; scanner
éplucher.v 100 :: éplucher ; peser ; écraser ; récolter ; retourner ; arracher ; oublier ; couper ; écarter ; blanchir
éplucher.v 119 :: éplucher ; fouillé ; parcourir ; regarder ; survoler ; balayer ; arpenter ; explorer ; minutieusement ; longuement
éplucher.v 167 :: oignon ; garder ; oublier ; également ; feuille ; évidemment ; laver ; idéalement ; couper ; super
éplucher.v 174 :: page ; feuille ; fiche ; site ; fichier ; donnée ; compte ; dossier ; note ; faire
éplucher.v 235 :: peler ; faire ; acheter ; couper ; mieux ; oignon ; pomme ; carotte ; finement ; presser
éplucher.v 236 :: récolter ; éplucher ; collecter ; scrupuleusement ; balayer ; énormément ; récolte ; déjà ; amasser ; noter
éplucher.v 258 :: peler ; légume ; faire ; presser ; fruit ; écraser ; manger ; blanchir ; laver ; courgette
espace.n 13 :: ensemble ; or ; accueil ; international ; art ; air ; origine ; aide ; image ; centre
espace.n 27 :: air ; or ; eau ; image ; éternel ; aide ; énergie ; art ; ion ; immigré
espace.n 79 :: ensemble ; environnement ; coin ; emplacement ; office ; aire ; outil ; zone ; option ; élément
espace.n 120 :: air ; étroit ; excellent ; petit ; heureux ; apercevoir ; ajouter ; article ; énergie ; aide
espace.n 137 :: environnement ; marché ; entreprise ; domaine ; information ; groupe ; investissement ; service ; développement ; propriété
espace.n 142 :: air ; international ; afghan ; interne ; actuel ; éternel ; image ; art ; étranger ; aide
espace.n 180 :: lien ; place ; temps ; succession ; partage ; territoire ; emplacement ; bien ; champ ; droit
espace.n 208 :: instrument ; article ; exploitation ; innombrable ; utilisateur ; appareil ; entreprise ; euro ; ensemble ; enregistrement
espace.n 229 :: événement ; service ; développement ; produit ; investissement ; projet ; environnement ; propre ; talent ; petit
espace.n 243 :: article ; coin ; ensemble ; ligne ; rôle ; emplacement ; temps ; écran ; place ; compte
essuyer.v 11 :: essuyer ; laver ; faire ; ensuite ; rincer ; fermer ; passer ; avoir ; essuie ; changer
essuyer.v 58 :: subir ; rencontrer ; constater ; vivre ; accumuler ; remarquer ; enregistrer ; recevoir ; causer ; affronter
essuyer.v 77 :: essuie ; encre ; larme ; éponge ; tremper ; enduire ; mouiller ; lav ; faire ; laver
essuyer.v 81 :: essuie ; répondit ; ensuite ; avoir ; simplement ; laisser ; faire ; laisse ; peut-être ; mettre
essuyer.v 86 :: essuie ; recevoir ; assurer ; continuer ; encaisse ; passer ; accorder ; presque ; obtenir ; assumer
essuyer.v 89 :: opposer ; subir ; recevoir ; constater ; essuie ; ici ; refuser ; revers ; systématiquement ; annoncer
essuyer.v 98 :: encaisser ; recevoir ; faire ; subir ; voir ; prendre ; utiliser ; souffrir ; gagner ; obtenir
essuyer.v 166 :: pépin ; sécher ; légume ; noyau ; baie ; graine ; laver ; agrume ; olive ; os
essuyer.v 215 :: subir ; recevoir ; récolter ; recueillir ; accumuler ; affronter ; essuie ; cumulé ; connaître ; lire
essuyer.v 266 :: enlever ; assurer ; nettoyer ; soigneusement ; essuie ; retirer ; retourner ; fermer ; laisser ; éviter
faucher.v 12 :: jeter ; briser ; tuer ; écraser ; presque ; abattre ; projeter ; bientôt ; bêtement ; déposer
faucher.v 42 :: découverte ; déjà ; mieux ; peut-être ; apparaître ; devenir ; également ; atteindre ; presque ; révéler
faucher.v 116 :: semer ; abattre ; détruire ; voler ; laisser ; donner ; tuer ; travailler ; dévaster ; pisser
faucher.v 160 :: mettre ; éclater ; trouver ; coûter ; tombe ; donne ; revenir ; arriver ; séparer ; malheureux
faucher.v 214 :: faire ; presque ; mieux ; travailler ; acheter ; également ; extrêmement ; voir ; mal ; vraiment
faucher.v 239 :: acheter ; entamer ; jeter ; servir ; trouver ; jamais ; vide ; déjà ; être ; plein
faucher.v 248 :: blesse ; brise ; taire ; poursuivre ; abattre ; frappe ; charge ; renverse ; délibérément ; presque
faucher.v 276 :: abattre ; couper ; planter ; semer ; creuser ; tailler ; pousser ; reconnaître ; cultiver ; cueillir
faucher.v 282 :: remplacer ; virer ; passer ; marque ; relever ; piqu ; lancer ; quitte ; laisse ; trouver
faucher.v 290 :: grièvement ; tuer ; abattre ; blesser ; gravement ; assassiner ; trouver ; volontairement ; massacré ; inutilement
fonder.v 6 :: fondre ; créer ; diriger ; former ; organiser ; tenir ; développer ; ouvrir ; lancer ; établir
fonder.v 7 :: motiver ; porte ; force ; sous-tendre ; appuyer ; expliquer ; guide ; conditionne ; définir ; légitime
fonder.v 54 :: base ; appuyer ; bâtir ; construire ; marque ; gagner ; assurer ; trouver ; force ; cadre
fonder.v 66 :: ferme ; créer ; diriger ; forge ; installer ; rejoindre ; fabrique ; instaurer ; formule ; développer
fonder.v 88 :: intégrer ; forme ; rejoindre ; commencer ; créer ; développer ; ouvrir ; quitte ; formule ; diriger
fonder.v 93 :: traverser ; force ; conditionne ; forme ; forge ; constituer ; définir ; caractériser ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; fonctionner ; appuyer ; baser ; forge ; cale ; constituer
fonder.v 212 :: former ; fabriquer ; constituer ; créer ; bâtir ; faire ; fondre ; contracter ; forger ; monter
fonder.v 264 :: motiver ; définir ; traverser ; forme ; base ; valide ; force ; limite ; vraiment ; appuyer
fonder.v 286 :: fabrique ; développer ; diriger ; forge ; forme ; ferme ; fond ; compte ; créer ; anime
grossier.a 24 :: stupide ; flagrant ; courant ; complet ; évident ; simple ; grave ; valable ; formel ; fin
grossier.a 37 :: procédé ; mélange ; travail ; caractère ; exercice ; traitement ; langage ; calcul ; style ; entraînement
grossier.a 85 :: agressif ; violent ; vulgaire ; rude ; tendre ; brutal ; susceptible ; dangereux ; féroce ; vicieux
grossier.a 108 :: plat ; profond ; épais ; caillou ; léger ; organique ; minéral ; pauvre ; fossile ; étranger
grossier.a 134 :: subtil ; léger ; sérieux ; flagrant ; grave ; petit ; lâche ; évident ; simple ; infime
grossier.a 179 :: propagande ; publicité ; information ; impression ; image ; diffusion ; désinformation ; bande ; annoncer ; nouveau
grossier.a 227 :: poli ; agressif ; arrogant ; incorrect ; vulgaire ; ridicule ; prétentieux ; blessant ; violent ; maladroit
grossier.a 228 :: témoignage ; policier ; fantaisiste ; avancé ; fiscal ; médical ; anonyme ; accusation ; déplacer ; voler
grossier.a 231 :: faire ; hypocrite ; superficiel ; léger ; lourd ; commettre ; vulgaire ; simple ; épais ; coupable
grossier.a 300 :: stupide ; sonore ; vocal ; vain ; coupable ; faire ; barbare ; vulgaire ; stérile ; oraler
hermétique.a 203 :: opaque ; obscur ; inquiétant ; insolite ; apparent ; problématique ; flou ; étancher ; abstrait ; explicite
hermétique.a 71 :: énigmatique ; mystérieux ; secret ; confidentiel ; étrange ; opaque ; ambigu ; fermer ; explicite ; discret
hermétique.a 99 :: fermer ; sceller ; plastique ; conserve ; étanche ; contenir ; chinois ; transparent ; alimentaire ; garnir
hermétique.a 126 :: étanche ; insensible ; réfractaire ; sourd ; imperméable ; allergique ; initier ; indifférent ; perméable ; opposer
hermétique.a 127 :: élitiste ; secret ; étanche ; religieux ; magique ; intime ; mystique ; interne ; personnel ; fermé
hermétique.a 220 :: sceller ; secret ; opaque ; porte ; armoire ; garder ; étancher ; demeurer ; volet ; extrêmement
hermétique.a 226 :: insensible ; fermer ; imperméable ; étanche ; allergique ; sourd ; sensible ; réfractaire ; étranger ; indifférent
hermétique.a 261 :: opaque ; étanche ; hypocrite ; incompréhensible ; fermer ; magique ; interdire ; explicite ; confidentiel ; étonnant
hermétique.a 278 :: plastique ; interne ; secret ; blanc ; alimentaire ; creux ; chimique ; étanche ; sec ; solide
hermétique.a 204 :: opaque ; obscur ; inquiétant ; mystérieux ; abstrait ; étrange ; ultime ; explicite ; flou ; piège
incorrect.a 45 :: actif ; opérationnel ; der ; humaine ; vraiment ; politiquement ; juger ; socialement ; estimer ; créatif
incorrect.a 125 :: in ; con ; vraiment ; totalement ; mal ; super ; pourrir ; complètement ; extra ; idiot
incorrect.a 132 :: radio ; côté ; mois ; haut ; an ; second ; cours ; jour ; cas ; juge
incorrect.a 156 :: politique ; juridique ; pénal ; judiciaire ; mal ; criminel ; in ; professionnel ; apparemment ; juger
incorrect.a 159 :: interprétation ; utilisation ; application ; transposition ; pratique ; applicabilité ; exploitation ; exécution ; infraction ; conformité
incorrect.a 177 :: contraire ; précis ; donner ; inverse ; opposer ; erroné ; automatique ; correct ; établir ; déterminer
incorrect.a 217 :: correct ; inapproprié ; ici ; inutile ; vulgaire ; ridicule ; approximatif ; politiquement ; approprié ; délicat
incorrect.a 241 :: vraiment ; mal ; complètement ; fort ; totalement ; presque ; dire ; in ; parfaitement ; apparemment
incorrect.a 298 :: bon ; être ; correct ; valide ; exact ; erroné ; faux ; disponible ; irrégulier ; vrai
incorrect.a 299 :: personnel ; confidentiel ; saisir ; transmettre ; donnée ; électronique ; bancaire ; erroné ; financier ; opérationnel
intérêt.n 63 :: avis ; objectif ; élément ; sentiment ; appétit ; agenda ; point ; enjeu ; opinion ; avantage
intérêt.n 97 :: nouveau ; étroit ; excellent ; évolution ; actuel ; article ; ancien ; international ; éventuel ; heureux
intérêt.n 129 :: aide ; énergie ; art ; air ; image ; or ; externe ; évolution ; ensemble ; clip
intérêt.n 146 :: air ; or ; art ; image ; aide ; évolution ; éternel ; ensemble ; international ; eau
intérêt.n 155 :: utilisateur ; article ; appareil ; optique ; zone ; espace ; information ; effectif ; étroit ; outil
intérêt.n 218 :: avantage ; intéressant ; atout ; importance ; utilité ; attrer ; inconvénient ; enseignement ; apport ; important
intérêt.n 263 :: air ; externe ; international ; aide ; heureux ; nouveau ; or ; clip ; alpha ; image
intérêt.n 268 :: nouveau ; international ; image ; aide ; or ; art ; usage ; air ; excellent ; éternel
intérêt.n 271 :: être ; étroit ; international ; étymologie ; étrange ; aide ; eau ; archive ; air ; étranger
intérêt.n 297 :: clip ; art ; air ; aide ; propre ; double ; guide ; externe ; animal ; meilleur
interpréter.v 18 :: chanter ; interprétation ; jouer ; raconter ; inspirer ; arranger ; offrir ; enregistrer ; reprendre ; montrer
interpréter.v 21 :: interprétation ; arranger ; enregistrer ; chanter ; écrire ; exécuter ; illustrer ; adapter ; incarner ; imaginer
interpréter.v 59 :: expliquer ; inverser ; penser ; comprendre ; analyser ; faire ; articuler ; voir ; mal ; lire
interpréter.v 80 :: aide ; art ; or ; air ; externe ; efficace ; origine ; image ; apparemment ; énergie
interpréter.v 123 :: international ; art ; aide ; usage ; air ; étymologie ; or ; image ; étroit ; expérience
interpréter.v 128 :: joue ; incarner ; interprétation ; ici ; double ; camper ; rôle ; offrir ; tenir ; apparaître
interpréter.v 157 :: analyse ; accueillir ; recevoir ; émettre ; encaisse ; absorber ; traduire ; accepter ; envoyer ; écrire
interpréter.v 260 :: comprendre ; interprétation ; évaluer ; décoder ; exploiter ; analyser ; faire ; confirmer ; comparer ; expliquer
interpréter.v 267 :: interprétation ; comprendre ; observer ; attribuer ; vivre ; définir ; renvoyer ; remplir ; percevoir ; lire
interpréter.v 289 :: jouer ; incarner ; animé ; chanter ; imaginer ; habiter ; inspirer ; porter ; mu ; écrire
maintenir.v 94 :: fermement ; objectif ; également ; fortement ; site ; position ; totalement ; largement ; demeure ; blocage
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; remarquer ; placer ; référencer ; mettre
maintenir.v 154 :: garder ; conserver ; exercer ; poursuivre ; demeurer ; renforcer ; retenir ; continuer ; concentrer ; lever
maintenir.v 175 :: garder ; préserver ; maintien ; conserver ; mettre ; demeurer ; soutenir ; retenir ; conforter ; stabiliser
maintenir.v 183 :: préserver ; garder ; conserver ; demeurer ; favoriser ; garantir ; entretenir ; maintien ; assurer ; rester
maintenir.v 207 :: demeurer ; préserver ; conserver ; maintien ; garder ; soutenir ; retenir ; rester ; poursuivre ; soigner
maintenir.v 230 :: dernier ; tenir ; devoir ; être ; compte ; reston ; compter ; pouvoir ; double ; soutien
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; proposer ; réaffirmer ; vouloir ; prévoir ; refuser ; garantir ; estime
maintenir.v 251 :: tenir ; soutenir ; conserve ; réitérer ; réaffirmer ; confirmer ; reprendre ; poursuivre ; répéter ; renouveler
maintenir.v 281 :: confirmer ; affirmer ; dire ; croire ; souligner ; estime ; déclarer ; note ; considérer ; constater
mince.a 17 :: épais ; léger ; fin ; faible ; réduit ; petit ; haut ; fort ; étroit ; avancer
mince.a 96 :: épais ; sonore ; fin ; sec ; électrique ; épaisseur ; supplémentaire ; léger ; professionnel ; régulier
mince.a 147 :: léger ; maigre ; bel ; intéressant ; fin ; simple ; timide ; faible ; tendre ; bon
mince.a 170 :: peut-être ; fragile ; déjà ; extrêmement ; être ; légèrement ; actuellement ; également ; maigre ; probablement
mince.a 192 :: fin ; petit ; feuille ; vêtement ; cheveu ; léger ; lamelle ; haut ; chiffre ; épais
mince.a 202 :: fin ; petit ; léger ; épais ; nouveau ; double ; simple ; dernier ; infime ; forme
mince.a 213 :: maigre ; minime ; petit ; faible ; léger ; précieux ; riche ; fragile ; infime ; simple
mince.a 225 :: doute ; salut ; être ; peut-être ; cadeau ; plaisir ; choix ; rapport ; test ; avantage
mince.a 242 :: fin ; clair ; fort ; étroit ; intime ; lisse ; complexe ; sec ; évident ; faible
mince.a 292 :: fin ; épais ; métallique ; interne ; conducteur ; supérieur ; physique ; double ; continuer ; isolant
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; minime ; dérisoire ; piètre ; humble ; modique ; vaste
modeste.a 114 :: humble ; bon ; petit ; pauvre ; honnête ; poli ; discret ; faible ; vivant ; digne
modeste.a 121 :: faible ; important ; minime ; significatif ; dérisoire ; modique ; élevé ; timide ; limité ; petit
modeste.a 163 :: minime ; faible ; limité ; petit ; léger ; propre ; spectaculaire ; considérable ; important ; récent
modeste.a 195 :: limité ; restreindre ; considérable ; minime ; faible ; diversifier ; important ; misérable ; élevé ; marginal
modeste.a 197 :: familial ; petit ; fragile ; parisien ; personne ; dirigeant ; pourtant ; être ; catégorie ; bénéficiaire
modeste.a 200 :: réduire ; limité ; faible ; mesurer ; restreindre ; léger ; modérer ; petit ; local ; salarial
modeste.a 246 :: élevé ; léger ; faible ; important ; marchand ; humble ; petit ; considérable ; inférieur ; grand
modeste.a 269 :: humble ; digne ; petit ; jeune ; pauvre ; misérable ; noble ; minuscule ; pieux ; honnête
modeste.a 283 :: humble ; discret ; digne ; poli ; modestie ; honnête ; populaire ; bel ; pauvre ; petit
montée.n 15 :: courbe ; victoire ; poussée ; hausse ; progression ; côte ; descente ; dérive ; droite ; pente
montée.n 56 :: progression ; descente ; hausse ; augmentation ; montagne ; poussée ; partie ; vallée ; construction ; chute
montée.n 75 :: balade ; monte ; descente ; suite ; journée ; face ; terrasse ; ascension ; galerie ; passerelle
montée.n 138 :: hausse ; performance ; évolution ; croissance ; poussée ; gestion ; puissance ; progression ; complexité ; croissant
