affection.n 8 :: tentation ; dernier ; épreuve ; idée ; passion ; résolution ; émotion ; mode ; torture ; nouveau
compris.a 106 :: prouver ; démontrer ; déjà ; évident ; davantage ; vrai ; écrire ; vouloir ; entendre ; sûr
compris.a 185 :: contenir ; faire ; retenir ; obtenir ; produire ; acquérir ; écarter ; produit ; supprimer ; dépasser
compris.a 186 :: donner ; lire ; rédiger ; présenter ; écrire ; dieu ; situer ; installer ; ici ; devoir
compris.a 187 :: répartir ; évaluer ; varier ; estimer ; situer ; fixer ; définir ; variable ; diviser ; limité
compris.a 211 :: situer ; répartir ; respectivement ; variable ; varier ; généralement ; osciller ; donnée ; probablement ; localiser
compris.a 232 :: inclure ; intégré ; inclus ; comptabiliser ; reprendre ; prendre ; mentionner ; contenu ; couvert ; inscrire
compris.a 272 :: réaliser ; penser ; saisir ; lire ; savoir ; préciser ; capter ; écrire ; entendre ; conscience
compris.a 287 :: remplacer ; créer ; changer ; réaliser ; atteindre ; travailler ; traduire ; intégré ; animé ; améliorer
couverture.n 65 :: partie ; dernier ; page ; totalité ; livraison ; nouveau ; section ; rédaction ; présentation ; rubrique
couverture.n 67 :: vie ; peau ; carrière ; liberté ; place ; réputation ; tête ; chance ; dignité ; foi
couverture.n 72 :: travail ; poste ; page ; soutien ; chaleur ; mémoire ; donnée ; capacité ; produit ; contenu
couverture.n 143 :: face ; chef ; faveur ; page ; manchette ; directeur ; présence ; journaliste ; tête ; héros
couverture.n 149 :: capitalisation ; sûreté ; garantie ; répartition ; conservation ; sécurité ; place ; récupération ; retraite ; totalité
couverture.n 150 :: voûte ; toiture ; charpente ; façade ; tour ; porte ; flèche ; structure ; chapelle ; construction
couverture.n 201 :: transformation ; représentation ; solidarité ; desserte ; réalisation ; développement ; conversion ; compétence ; partage ; répartition
couverture.n 257 :: remplacement ; travail ; référence ; base ; bois ; chauffage ; rechange ; papier ; marché ; choix
couverture.n 265 :: bâche ; serviette ; lampe ; cloche ; échelle ; fenêtre ; voûte ; chaise ; table ; couette
couverture.n 280 :: pluie ; pression ; neige ; douche ; chaleur ; lune ; contrainte ; lumière ; glace ; main
débit.n 64 :: tenue ; clôture ; rapprochement ; fermeture ; relever ; transfert ; création ; reddition ; saisie ; liquidation
débit.n 87 :: coût ; prix ; montant ; solde ; début ; salaire ; remboursement ; taux ; lendemain ; temps
débit.n 115 :: niveau ; lit ; voisinage ; débordement ; bruit ; fond ; blocage ; nom ; passage ; tracé
débit.n 131 :: point ; party ; cas ; nom ; terme ; élément ; transfert ; chef ; membre ; position
débit.n 136 :: crue ; eau ; inondation ; sédiment ; berge ; rive ; niveau ; digue ; bassin ; population
débit.n 168 :: paiement ; retrait ; contrôle ; dépôt ; suivre ; renouvellement ; prélèvement ; nettoyage ; choix ; changement
débit.n 169 :: jour ; ordre ; long ; style ; niveau ; plan ; sujet ; temps ; sens ; soir
débit.n 184 :: maximum ; meilleur ; minimum ; coût ; max ; traitement ; cas ; taux ; moyen ; prix
débit.n 188 :: précipitation ; inondation ; sol ; nitrate ; température ; eau ; incendie ; terre ; pluie ; pesticide
débit.n 205 :: rythme ; tempo ; mouvement ; temps ; swing ; pouls ; vol ; départ ; début ; démarrage
direction.n 78 :: houlette ; baguette ; supervision ; responsabilité ; conduite ; coupe ; plume ; présidence ; gouverne ; forme
direction.n 111 :: cohérence ; base ; orientation ; profondeur ; affinité ; asseoir ; porter ; liberté ; force ; consistance
direction.n 151 :: municipalité ; mairie ; commune ; ville ; ministre ; président ; famille ; région ; république ; police
direction.n 152 :: courbe ; phase ; variation ; loi ; vitesse ; différence ; quantité ; tension ; table ; fonction
direction.n 172 :: finir ; bonjour ; ferme ; partout ; arrêter ; bientôt ; zou ; dégager ; taire ; salut
direction.n 176 :: vitesse ; régime ; température ; couple ; pression ; puissance ; temps ; rapport ; position ; résistance
direction.n 199 :: gauche ; droite ; population ; suite ; ligue ; coalition ; société ; rédaction ; communauté ; presse
direction.n 223 :: formation ; gestion ; création ; construction ; préparation ; réalisation ; recherche ; réussite ; sélection ; conception
direction.n 262 :: responsabilité ; tête ; charge ; parole ; fonction ; dimension ; décision ; présidence ; barre ; gestion
direction.n 279 :: venir ; arriver ; provenance ; descendre ; direct ; revenir ; passer ; amont ; sortir ; aval
don.n 19 :: sens ; esprit ; talent ; pouvoir ; oeil ; système ; niveau ; regard ; angle ; travail
don.n 30 :: rêve ; qualité ; ami ; capacité ; valeur ; sentiment ; force ; sens ; émotion ; envie
don.n 36 :: pouvoir ; talent ; charm ; sens ; phénomène ; lien ; domaine ; savoir ; travail ; sentiment
don.n 60 :: thème ; site ; marché ; produit ; élément ; plan ; fondement ; droit ; sujet ; principe
don.n 84 :: dividende ; intérêt ; salaire ; salarié ; enfant ; revenu ; bénéfice ; produit ; investissement ; achat
don.n 107 :: cadeau ; état ; part ; remettre ; présent ; legs ; dépôt ; usage ; restitution ; cession
don.n 130 :: vocation ; homme ; pauvre ; naissance ; pain ; bien ; famille ; emploi ; enfant ; ferme
don.n 196 :: pouvoir ; rôle ; potentiel ; mérite ; devoir ; sens ; but ; besoin ; temps ; talent
don.n 244 :: versement ; rémunération ; salaire ; prestation ; paiement ; prélèvement ; remboursement ; prime ; capital ; subvention
don.n 245 :: travail ; nom ; projet ; cas ; exploit ; fait ; ouvrage ; effort ; parcours ; voyage
entraîner.v 39 :: autant ; or ; aller ; ancien ; également ; auparavant ; insigne ; ensuite ; effectuer ; mieux
entraîner.v 47 :: aide ; obliger ; aider ; invite ; encourager ; inciter ; apprendre ; pousse ; amener ; enseigne
entraîner.v 55 :: apporter ; obliger ; intégrer ; effectuer ; illustre ; indique ; ouvrir ; imposer ; engager ; entreprise
entraîner.v 57 :: auto ; aller ; aimer ; observer ; entendre ; autant ; assembler ; estimer ; heureux ; avis
entraîner.v 133 :: autant ; imaginer ; faire ; auto ; adapter ; aider ; effectuer ; entendre ; imprimer ; observer
entraîner.v 140 :: mener ; amener ; conduire ; attirer ; emmener ; envoyer ; porter ; pousser ; ramener ; transporter
entraîner.v 144 :: avoir ; commencer ; invite ; chercher ; être ; obliger ; continuer ; aider ; inviter ; inciter
entraîner.v 161 :: engendrer ; signifier ; expliquer ; révéler ; causer ; provoquer ; indiquer ; induire ; impliquer ; amener
entraîner.v 162 :: provoquer ; engendrer ; induire ; produit ; impliquer ; amener ; cause ; déclenche ; causer ; créer
entraîner.v 191 :: jeter ; plonger ; retenir ; ramener ; rejeter ; précipiter ; maintenir ; amener ; remettre ; renvoyer
éplucher.v 10 :: laver ; peler ; nettoyer ; égoutter ; champignon ; sécher ; finement ; rincer ; couper ; gratter
éplucher.v 51 :: trouver ; rire ; écrire ; chercher ; payer ; regarder ; commander ; croiser ; taper ; encadrer
éplucher.v 69 :: accepter ; retirer ; rejeter ; refuser ; examiner ; revoir ; annuler ; repousser ; traiter ; déposer
éplucher.v 100 :: peler ; laver ; couper ; hacher ; bouquet ; peser ; étique ; trancher ; mettre ; motte
éplucher.v 119 :: chercher ; regarder ; croiser ; taper ; fouillé ; trouver ; coup ; commander ; surfer ; laisser
éplucher.v 167 :: couper ; découper ; laver ; poireau ; épinard ; bouquet ; rentrer ; oignon ; jeter ; enlever
éplucher.v 174 :: modifier ; ajouter ; afficher ; importer ; comparer ; gérer ; consulter ; utiliser ; partager ; supprimer
éplucher.v 235 :: découper ; couper ; peler ; trier ; nettoyer ; transformer ; laver ; récolter ; cuire ; ramasser
éplucher.v 236 :: chercher ; commander ; mettre ; taper ; trouver ; croiser ; donner ; écrire ; coup ; codé
éplucher.v 258 :: oignon ; oeil ; laver ; enfant ; légume ; jour ; cheveu ; sécher ; femme ; blanchir
espace.n 13 :: nouveau ; industrie ; aliment ; aquaculture ; installation ; énergie ; exploitation ; eau ; activité ; entreposage
espace.n 27 :: ancien ; an ; extrême ; étrange ; océan ; air ; ouest ; intérieur ; immense ; antique
espace.n 79 :: local ; bureau ; centre ; service ; poste ; bâtiment ; équipement ; magasin ; cabinet ; comptoir
espace.n 120 :: avril ; heure ; esprit ; octobre ; hiver ; mars ; août ; novembre ; autochtone ; idée
espace.n 137 :: entier ; envoi ; avis ; prix ; établissement ; degré ; heure ; agent ; millimètre ; vendre
espace.n 142 :: ancien ; air ; atlantique ; an ; océan ; extrême ; actuel ; énergie ; nouveau ; article
espace.n 180 :: relation ; interaction ; lien ; communication ; échange ; rapport ; correspondance ; connexion ; interface ; liaison
espace.n 208 :: allégation ; observation ; air ; accusation ; occupation ; équité ; énergie ; opposition ; os ; argent
espace.n 229 :: lieu ; service ; corps ; résultat ; mur ; finance ; travail ; équipement ; extrémité ; produit
espace.n 243 :: rapport ; point ; air ; intervalle ; écart ; lien ; temps ; traire ; an ; entier
essuyer.v 11 :: nez ; ouvrir ; an ; appuyer ; avoir ; surface ; faire ; aller ; eau ; pouvoir
essuyer.v 58 :: rencontrer ; connaître ; constater ; avoir ; noter ; enregistrer ; également ; rencontre ; relever ; régler
essuyer.v 77 :: encre ; mettre ; usa ; ra ; effacer ; laisser ; rentrer ; faire ; laver ; pardon
essuyer.v 81 :: laver ; enduire ; coupe ; couper ; extraire ; encre ; séparer ; filtre ; bouche ; éloigner
essuyer.v 86 :: universitaire ; tair ; assurer ; faire ; partir ; énergie ; université ; prise ; effectuer ; équipe
essuyer.v 89 :: recevoir ; constater ; obtenir ; subir ; demander ; décider ; discuter ; notifier ; entendre ; examiner
essuyer.v 98 :: voir ; donner ; lire ; apporter ; trouver ; venir ; faire ; rencontrer ; obtenir ; avoir
essuyer.v 166 :: légume ; fruit ; gras ; champignon ; fleur ; pépin ; fraise ; noix ; conserver ; femme
essuyer.v 215 :: cumulé ; obtenir ; déjà ; mérité ; prononcer ; accumuler ; prendre ; recevoir ; falloir ; subir
essuyer.v 266 :: éviter ; faire ; activer ; assurer ; arrêter ; effectuer ; poursuivre ; prolonger ; appuyer ; lancer
faucher.v 12 :: écraser ; renverser ; violemment ; gravement ; mal ; poteau ; percuter ; traînée ; emporter ; projeter
faucher.v 42 :: probablement ; heure ; devoir ; disponible ; finalement ; actuellement ; baser ; mort ; installer ; engager
faucher.v 116 :: raser ; couper ; planter ; arracher ; illégalement ; ravager ; ment ; dévaster ; gelé ; semer
faucher.v 160 :: vie ; out ; chômage ; amoureux ; partie ; payer ; prix ; amour ; révéler ; jeu
faucher.v 214 :: donner ; faire ; prêter ; entier ; an ; aller ; entrer ; mort ; échapper ; aimer
faucher.v 239 :: produire ; coûter ; jeu ; tournée ; obtenir ; trouver ; main ; définitif ; acheminer ; important
faucher.v 248 :: arbitre ; point ; également ; avis ; mal ; paire ; juge ; prendre ; déclarer ; servir
faucher.v 276 :: planter ; semer ; payer ; acheter ; couper ; arracher ; coûter ; vendre ; cultiver ; greffer
faucher.v 282 :: lancer ; français ; trouver ; italien ; prendre ; recevoir ; arriver ; rencontre ; envoyer ; défendre
faucher.v 290 :: tuer ; trouver ; assassiner ; mettre ; enlever ; arracher ; torturer ; laisser ; attacher ; envoyer
fonder.v 6 :: organiser ; créer ; diriger ; accueillir ; former ; servir ; établir ; installer ; développer ; aider
fonder.v 7 :: précéder ; sous-tendre ; motiver ; accompagner ; justifier ; guide ; entraîner ; expliquer ; entourer ; inspirer
fonder.v 54 :: perdre ; trouver ; prouver ; conserve ; acquérir ; garde ; gagner ; renforcer ; démontrer ; confirmer
fonder.v 66 :: ouvrir ; créer ; lancer ; établir ; diriger ; intégrer ; installer ; organiser ; commencer ; construire
fonder.v 88 :: diriger ; rejoindre ; intégrer ; créer ; quitte ; ouvrir ; commande ; inaugurer ; prendre ; devenir
fonder.v 93 :: devenir ; demeure ; dépasser ; rester ; engager ; constituer ; impliquer ; entraîner ; inclure ; relever
fonder.v 158 :: base ; construire ; caractériser ; repose ; joue ; dérouler ; bâtir ; constituer ; baser ; définir
fonder.v 212 :: créer ; former ; constituer ; monter ; faire ; construire ; devenir ; rejoindre ; choisir ; trouver
fonder.v 264 :: motiver ; guide ; justifier ; expliquer ; freiner ; caractériser ; sous-tendre ; influence ; orienter ; définir
fonder.v 286 :: occuper ; gagner ; enseigne ; réaliser ; forme ; réussir ; atteindre ; obtenir ; devenir ; parcourir
grossier.a 24 :: grave ; total ; stupide ; complet ; ridicule ; grand ; évident ; absurde ; dangereux ; radical
grossier.a 37 :: simple ; répandre ; fréquent ; courant ; évident ; flagrant ; commun ; récent ; ancien ; connaître
grossier.a 85 :: agressif ; lourd ; violent ; dangereux ; malade ; gras ; encombrant ; nerveux ; fatiguer ; douloureux
grossier.a 108 :: massif ; calcaire ; volcanique ; rocheux ; épar ; dense ; naturel ; sec ; rouge ; entier
grossier.a 134 :: long ; grand ; fort ; large ; gros ; bel ; rapide ; court ; fréquent ; lourd
grossier.a 179 :: nouveau ; second ; dernier ; fois ; grand ; petit ; double ; long ; bon ; énorme
grossier.a 227 :: français ; timide ; vous ; agressif ; surprendre ; anglais ; méchant ; gentil ; poli ; drôle
grossier.a 228 :: papier ; témoignage ; complot ; mensonge ; emploi ; sentiment ; nom ; faux ; problème ; traitement
grossier.a 231 :: terrestre ; corporel ; matériel ; moral ; éternel ; spirituel ; extérieur ; agréable ; coupable ; profond
grossier.a 300 :: digne ; indigne ; plein ; stupide ; répéter ; quotidien ; raciste ; agressif ; incessant ; habituel
hermétique.a 203 :: partiel ; cri ; incertain ; disparater ; démographique ; incomplet ; hétérogène ; théorique ; problématique ; poli
hermétique.a 71 :: énigmatique ; provocateur ; trompeur ; mystérieux ; barbare ; étrange ; décaler ; prétentieux ; ridicule ; exotique
hermétique.a 99 :: entier ; plastique ; respectif ; complet ; individuel ; individuellement ; transparent ; enveloppé ; alimentaire ; remplir
hermétique.a 126 :: allergique ; attacher ; étranger ; imperméable ; réfractaire ; dédier ; sensible ; indifférent ; dévoué ; consacrer
hermétique.a 127 :: commercial ; religieux ; social ; politique ; moral ; ethnique ; culturel ; négatif ; fiscal ; raciste
hermétique.a 220 :: identique ; statique ; fixe ; élastique ; linéaire ; temporel ; constamment ; long ; rigide ; uniforme
hermétique.a 226 :: exposé ; confronter ; initier ; sensible ; connecter ; dépendre ; habituer ; former ; associer ; exposer
hermétique.a 261 :: stupide ; court ; long ; drôle ; petit ; simple ; maladroit ; grand ; grossier ; fort
hermétique.a 278 :: interne ; propre ; extérieur ; fermé ; enveloppe ; supérieur ; glacé ; écossais ; plastique ; intérieure
hermétique.a 204 :: partiel ; cri ; incertain ; disparater ; démographique ; incomplet ; hétérogène ; théorique ; problématique ; poli
incorrect.a 45 :: opérationnel ; brute ; bénéficiaire ; financier ; comptable ; mal ; budgétaire ; négatif ; arrière ; commercial
incorrect.a 125 :: politiquement ; vraiment ; jamais ; parfaitement ; super ; extrêmement ; supra ; histoire ; moyennement ; mal
incorrect.a 132 :: mal ; peine ; difficilement ; mieux ; politiquement ; ici ; affaire ; fort ; parfaitement ; nuit
incorrect.a 156 :: politiquement ; juridiquement ; juridique ; historiquement ; matériellement ; politique ; parfaitement ; in ; juger ; techniquement
incorrect.a 159 :: application ; extrêmement ; suffisamment ; in ; intégral ; parfaitement ; certifier ; version ; ex ; mémoire
incorrect.a 177 :: donner ; présent ; supérieur ; précédent ; désordre ; identique ; ordre ; inverse ; temps ; similaire
incorrect.a 217 :: jeune ; temps ; convenable ; sujet ; bon ; sain ; excessif ; faux ; sexuel ; intéressant
incorrect.a 241 :: temps ; mal ; parfaitement ; fort ; imparfait ; simple ; complètement ; tantôt ; faiblement ; partiellement
incorrect.a 298 :: écrire ; fort ; soutenir ; également ; profond ; savoir ; préciser ; rayer ; actuellement ; utiliser
incorrect.a 299 :: bancaire ; financier ; saisie ; gouvernemental ; réponse ; saisir ; traiter ; consulaire ; géographique ; administratif
intérêt.n 63 :: vision ; position ; idée ; conception ; opinion ; chose ; valeur ; argument ; avis ; réponse
intérêt.n 97 :: an ; actuel ; extrême ; ensemble ; impérieu ; us ; ail ; anal ; estimer ; art
intérêt.n 129 :: aspect ; excellent ; étroit ; international ; énergie ; efficacité ; éventuel ; actuel ; entier ; expérience
intérêt.n 146 :: actuel ; étroit ; entier ; élément ; éventuel ; intérieur ; ancien ; argument ; indispensable ; objectif
intérêt.n 155 :: accueil ; ici ; ensemble ; article ; utilisation ; abondance ; univers ; angle ; amour ; excellent
intérêt.n 218 :: rôle ; nom ; avantage ; atout ; usage ; pouvoir ; sens ; aspect ; objet ; caractère
intérêt.n 263 :: ancien ; excellent ; éventuel ; aspect ; article ; élément ; énergie ; ensemble ; aimable ; entier
intérêt.n 268 :: aspect ; énergie ; efficacité ; exemple ; élément ; utilisation ; article ; entier ; or ; excellent
intérêt.n 271 :: aspect ; élément ; éventuel ; excellent ; actuel ; article ; ancien ; état ; bon ; environnement
intérêt.n 297 :: excellent ; ancien ; éventuel ; air ; élément ; homme ; illustre ; ion ; propre ; entier
interpréter.v 18 :: chanter ; jouer ; présenter ; donner ; reprendre ; enregistrer ; offrir ; choisir ; écrire ; dansé
interpréter.v 21 :: jouer ; répéter ; chanter ; arranger ; composant ; enregistrer ; joue ; produire ; vendre ; travailler
interpréter.v 59 :: expliquer ; éviter ; anticiper ; comprendre ; gérer ; accompagner ; contrer ; inverser ; enrayer ; stopper
interpréter.v 80 :: pouvoir ; aller ; ici ; enfant ; voir ; or ; ensuite ; également ; mieux ; an
interpréter.v 123 :: avoir ; auto ; espérer ; aimer ; appeler ; er ; in ; utiliser ; os ; ensemble
interpréter.v 128 :: joue ; incarner ; camper ; jouer ; tenir ; prendre ; décrocher ; reprendre ; assurer ; occuper
interpréter.v 157 :: traite ; analyse ; recevoir ; gérer ; contrôle ; enregistrer ; orienter ; percevoir ; capter ; coordonner
interpréter.v 260 :: valider ; effectuer ; confirmer ; prendre ; réaliser ; compléter ; faire ; vérifier ; comprendre ; reprendre
interpréter.v 267 :: considérer ; vue ; comprendre ; percevoir ; définir ; décrire ; regarder ; lire ; concevoir ; analyser
interpréter.v 289 :: écrire ; mener ; réaliser ; porter ; diriger ; animé ; tenir ; jouer ; créer ; conduire
maintenir.v 94 :: ajouter ; déclarer ; souligner ; expliquer ; conclure ; noter ; préciser ; répondre ; entendre ; affirmer
maintenir.v 113 :: précisément ; nécessaire ; vérité ; exact ; précis ; efficace ; rapide ; heure ; principalement ; appeler
maintenir.v 154 :: exercer ; renforcer ; garder ; concentrer ; porter ; continuer ; imposer ; rappeler ; apporter ; appeler
maintenir.v 175 :: plonger ; garder ; mettre ; conduire ; conserver ; placer ; réduire ; précipiter ; préserver ; retenir
maintenir.v 183 :: permettre ; garantir ; conserver ; favoriser ; garder ; préserver ; créer ; promouvoir ; fournir ; donner
maintenir.v 207 :: soutenir ; protéger ; soigner ; favoriser ; traiter ; conseiller ; respecter ; soulager ; servir ; représenter
maintenir.v 230 :: prendre ; asseoir ; contredire ; arrêter ; an ; demeure ; soutenir ; créer ; audit ; affaiblir
maintenir.v 234 :: exiger ; vouloir ; reconnaître ; autant ; tandis ; affirmer ; signifier ; considérer ; déclarer ; indique
maintenir.v 251 :: réitérer ; renouveler ; réaffirmer ; confirmer ; expliquer ; répéter ; préciser ; développer ; reprendre ; exposer
maintenir.v 281 :: m ; prendre ; point ; reprendre ; pouvoir ; force ; dernier ; lire ; soutien ; tact
mince.a 17 :: élevé ; chaud ; éloigner ; faible ; haut ; marquer ; profond ; dister ; exposé ; froid
mince.a 96 :: fin ; épais ; vertical ; sec ; humide ; régulier ; horizontal ; coucher ; couche ; froid
mince.a 147 :: classique ; confus ; simple ; basique ; long ; complexe ; court ; simpliste ; sombre ; faible
mince.a 170 :: coûteux ; dur ; rigide ; réglementer ; vieux ; souple ; dangereux ; jeune ; répandre ; sophistiquer
mince.a 192 :: petit ; gros ; grand ; long ; simple ; appeler ; minuscule ; habituellement ; généralement ; dire
mince.a 202 :: dernier ; long ; histoire ; petit ; page ; vieux ; second ; bon ; demi ; léger
mince.a 213 :: faible ; maigre ; minime ; petit ; limité ; léger ; modeste ; simple ; pauvre ; important
mince.a 225 :: petit ; simple ; nouveau ; mauvais ; grand ; bon ; bel ; mot ; gros ; sot
mince.a 242 :: flou ; situer ; franchir ; inexistant ; fin ; poreux ; placer ; étroit ; clair ; invisible
mince.a 292 :: central ; continuer ; interne ; extérieur ; externe ; séparer ; principal ; plan ; entier ; adjacente
modeste.a 29 :: ancien ; vaste ; vieux ; grand ; petit ; immense ; bâtiment ; misérable ; étroit ; second
modeste.a 114 :: peut-être ; jamais ; bon ; oui ; vraiment ; dur ; difficile ; probablement ; presque ; lentement
modeste.a 121 :: réduire ; faible ; minoritaire ; limité ; marginal ; infime ; minime ; négligeable ; important ; restreindre
modeste.a 163 :: modifier ; variable ; réduire ; limité ; partiel ; faible ; faux ; dater ; simplifier ; imparfait
modeste.a 195 :: élevé ; confortable ; régulier ; suffisant ; important ; stable ; substantiel ; normal ; considérable ; convenable
modeste.a 197 :: hospitaliser ; traiter ; cancéreux ; malade ; pauvre ; chronique ; âgé ; concerner ; infecter ; externe
modeste.a 200 :: faible ; modérer ; bas ; contenue ; limité ; positif ; minime ; maîtriser ; négatif ; réduire
modeste.a 246 :: élevé ; faible ; petit ; important ; avancer ; grand ; haut ; général ; large ; vaste
modeste.a 269 :: petit ; jeune ; pauvre ; orphelin ; noble ; digne ; célèbre ; second ; humble ; ancien
modeste.a 283 :: facile ; agréable ; compréhensible ; logique ; rapide ; efficace ; rassurant ; vrai ; simple ; accessible
montée.n 15 :: résistance ; mère ; famille ; présence ; défense ; fille ; femme ; réaction ; mort ; déclaration
montée.n 56 :: association ; heure ; société ; économie ; entreprise ; apporter ; nuit ; action ; travail ; porte
montée.n 75 :: nuit ; journée ; second ; dernier ; découverte ; nocturne ; porte ; visite ; demi-journée ; fête
montée.n 138 :: qualité ; conservation ; présentation ; vitesse ; suite ; technique ; restitution ; beauté ; réalisation ; jeunesse
montée.n 141 :: maîtrise ; prise ; remettre ; mise ; classe ; température ; teneur ; conservation ; stérilisation ; protection
