affection.n 8 :: occasion ; disposition ; maladie ; dernier ; extrémité ; considération ; époque ; institution ; affectation ; opération
capacité.n 103 :: ressource ; possibilité ; activité ; chaîne ; unité ; stock ; quantité ; disponibilité ; installation ; coût
capacité.n 110 :: possibilité ; quantité ; puissance ; solution ; batterie ; garantie ; suite ; réserve ; durée ; multitude
capacité.n 135 :: faculté ; liberté ; marge ; possibilité ; pouvoir ; puissance ; force ; droit ; porter ; sphère
capacité.n 148 :: compétence ; maîtrise ; formation ; spécialisation ; maturité ; connaissance ; certification ; qualification ; qualité ; aptitude
commander.v 5 :: dicter ; demander ; signer ; vouloir ; écrire ; commande ; publier ; ordonner ; donner ; envoyer
commander.v 9 :: commander ; acheter ; commencer ; choisir ; réserver ; sélectionner ; découvrir ; créer ; apprendre ; demander
commander.v 16 :: diriger ; commanda ; recevoir ; soutenir ; ordonner ; combat ; lancer ; consigne ; prendre ; mener
commander.v 41 :: choisir ; décider ; commencer ; faire ; définir ; effectuer ; lancer ; gérer ; créer ; réaliser
commander.v 48 :: diriger ; contrôlent ; déterminer ; régir ; gouverner ; gérer ; mener ; créer ; dominer ; financer
commander.v 117 :: commande ; commanda ; commandant ; dicter ; commandement ; réclamer ; comporter ; prescrire ; justifier ; permettre
commander.v 164 :: ordonner ; obéir ; dicter ; commanda ; prescrire ; conseiller ; demande ; enjoindre ; imposer ; enseigne
commander.v 171 :: acheter ; acquérir ; commande ; réserver ; valider ; admirer ; ouvrir ; imprimer ; déguster ; essayer
commander.v 206 :: protéger ; servir ; permettre ; commande ; donne ; donner ; surveiller ; défense ; venir ; vouloir
commander.v 240 :: commande ; régler ; payer ; faire ; uniquement ; personnaliser ; acheter ; également ; contrôler ; prendre
compris.a 52 :: accepter ; assimiler ; percevoir ; compréhensible ; vivre ; intégrer ; enseigner ; interpréter ; partager ; lire
compris.a 90 :: penser ; croire ; sentir ; réaliser ; convaincre ; trouver ; saisir ; apprendre ; assurer ; considérer
compris.a 106 :: entendre ; savoir ; deviner ; vivre ; nécessaire ; croire ; comprendre ; vouloir ; penser ; cacher
compris.a 185 :: inclure ; contenir ; incorporer ; mentionner ; entendre ; inscrire ; présent ; inclus ; situer ; reconnaître
compris.a 186 :: inclure ; entrer ; situer ; inscrire ; rentrer ; rester ; placer ; intégré ; présent ; incorporer
compris.a 187 :: contenu ; estimer ; situer ; compter ; supérieur ; moyen ; choisir ; recommander ; limité ; répartir
compris.a 211 :: répartir ; situer ; mesurer ; varier ; maintenir ; moyen ; grouper ; inclus ; partager ; graduellement
compris.a 232 :: inclure ; compter ; contenu ; intégré ; prendre ; reprendre ; comptabiliser ; cohérent ; limité ; cal
compris.a 272 :: saisir ; réaliser ; penser ; capter ; comprendre ; croire ; savoir ; percevoir ; apprendre ; intégré
compris.a 287 :: saisir ; deviner ; apprendre ; intégré ; reconnaître ; assimiler ; capter ; savoir ; détecter ; comprendre
couverture.n 65 :: manchette ; dernier ; rédaction ; dossier ; page ; sommaire ; couvrir ; série ; conclusion ; semaine
couverture.n 67 :: peau ; vie ; voil ; survie ; veste ; réputation ; mort ; route ; protection ; toile
couverture.n 72 :: housse ; toiture ; revêtement ; reliure ; couvrir ; terrasse ; peau ; produit ; couvert ; matière
couverture.n 143 :: manchette ; couvrir ; illustration ; page ; fort ; bref ; pochette ; tête ; marge ; beauté
couverture.n 149 :: protection ; sécurité ; gestion ; couvert ; vie ; surveillance ; régime ; garantie ; responsabilité ; caisse
couverture.n 150 :: toiture ; couvrir ; charpente ; pierre ; protection ; toit ; tuile ; voil ; revêtement ; construction
couverture.n 201 :: surveillance ; desserte ; couvrir ; pénétration ; protection ; sécurité ; gestion ; conquête ; transformation ; boucle
couverture.n 257 :: toiture ; construction ; remplacement ; protection ; transformation ; revêtement ; sol ; couvert ; surface ; toit
couverture.n 265 :: couvrir ; housse ; serviette ; véranda ; corde ; couette ; litière ; commode ; veste ; bâche
couverture.n 280 :: peau ; voil ; reliure ; protection ; lune ; couvrir ; plume ; carapace ; tension ; neige
débit.n 64 :: dépôt ; versement ; compte ; règlement ; paiement ; banque ; crédit ; retrait ; transfert ; nombre
débit.n 87 :: montant ; paiement ; solde ; crédit ; versement ; dépôt ; compte ; règlement ; virement ; financement
débit.n 115 :: niveau ; rythme ; flux ; cours ; flot ; écoulement ; volume ; poids ; régime ; delta
débit.n 131 :: niveau ; flux ; eau ; dépôt ; courant ; couche ; bassin ; chambre ; pression ; débordement
débit.n 136 :: flux ; cours ; apport ; niveau ; rive ; eau ; crue ; coefficient ; bord ; volume
débit.n 168 :: montant ; compte ; crédit ; règlement ; virement ; jet ; paiement ; traitement ; financement ; délai
débit.n 169 :: montant ; résultat ; flux ; financement ; volume ; coût ; niveau ; rythme ; traitement ; poids
débit.n 184 :: taux ; vitesse ; rythme ; stockage ; rendement ; coût ; capacité ; maximum ; transfert ; cadence
débit.n 188 :: flux ; apport ; niveau ; rejet ; débordement ; effectif ; dépôt ; cours ; coefficient ; prélèvement
débit.n 205 :: rythme ; flux ; caractère ; trafic ; tempo ; style ; canal ; jet ; temps ; accès
direction.n 78 :: conduite ; responsabilité ; coordination ; présidence ; discipline ; diriger ; houlette ; performance ; commande ; main
direction.n 111 :: orientation ; conduite ; ligne ; directrice ; tête ; organisation ; vision ; gestion ; forme ; majorité
direction.n 151 :: directrice ; directeur ; présidence ; rédaction ; maîtrise ; gestion ; communauté ; commission ; majorité ; maîtresse
direction.n 152 :: orientation ; tendance ; forme ; sens ; ligne ; déviation ; droite ; vitesse ; relation ; pente
direction.n 172 :: rejoindre ; bonjour ; destination ; peut-être ; face ; gagner ; forme ; bientôt ; direct ; finalement
direction.n 176 :: conduite ; rapport ; performance ; orientation ; vitesse ; tendance ; comportement ; sens ; contrôle ; forme
direction.n 199 :: rédaction ; présidence ; majorité ; coordination ; directrice ; presse ; partir ; gauche ; commission ; droite
direction.n 223 :: conduite ; responsabilité ; tâche ; maîtrise ; présidence ; gestion ; discipline ; forme ; représentation ; diriger
direction.n 262 :: responsabilité ; directrice ; présidence ; conduite ; tête ; gestion ; défense ; directeur ; maîtrise ; charge
direction.n 279 :: destination ; venir ; face ; provenance ; province ; vallée ; revenir ; route ; sens ; faveur
don.n 19 :: talent ; sens ; style ; souci ; centre ; pouvoir ; temps ; droit ; besoin ; doué
don.n 30 :: talent ; pouvoir ; sens ; oeil ; atout ; trait ; centre ; fonds ; rêve ; instinct
don.n 36 :: talent ; pouvoir ; sens ; génie ; développement ; droit ; livre ; charm ; domaine ; goût
don.n 60 :: cadeau ; travail ; produit ; livre ; signe ; geste ; legs ; sacrifice ; service ; commerce
don.n 84 :: contribution ; cadeau ; fonds ; apport ; déchet ; produit ; versement ; bénéficiaire ; animal ; transfert
don.n 107 :: cadeau ; présent ; preuve ; part ; parvenir ; offrir ; achat ; grâce ; confiance ; concession
don.n 130 :: contribution ; cadeau ; fonds ; enfant ; lecteur ; généreux ; catholique ; ami ; prix ; dépôt
don.n 196 :: talent ; pouvoir ; génie ; rôle ; chic ; secret ; temps ; complexe ; mérite ; tort
don.n 244 :: cadeau ; versement ; mécénat ; travail ; soutien ; bon ; contribution ; transfert ; legs ; partage
don.n 245 :: talent ; travail ; contribution ; témoignage ; trésor ; génie ; grand ; domaine ; pouvoir ; apport
entraîner.v 39 :: air ; art ; or ; interne ; aide ; image ; heureux ; animal ; immigré ; éternel
entraîner.v 47 :: amener ; aider ; conduire ; engager ; obliger ; encourager ; apprendre ; pousse ; conditionne ; inciter
entraîner.v 55 :: air ; international ; actuel ; or ; interne ; aide ; clip ; image ; art ; ion
entraîner.v 57 :: air ; eau ; or ; être ; énergie ; efficace ; apparemment ; art ; avoir ; international
entraîner.v 133 :: air ; aide ; interne ; image ; animal ; ensemble ; art ; eau ; ancien ; ion
entraîner.v 140 :: amener ; envoyer ; mener ; engager ; emporter ; conduire ; pousser ; attirer ; aller ; emmener
entraîner.v 144 :: invite ; amener ; obliger ; engager ; encourager ; avoir ; conduire ; pousse ; apprendre ; inciter
entraîner.v 161 :: provoquer ; apparaître ; éviter ; amener ; engendrer ; conduire ; expliquer ; produire ; induire ; assurer
entraîner.v 162 :: amener ; engendrer ; provoquer ; assurer ; encourager ; actif ; déclenche ; influence ; impliquer ; favoriser
entraîner.v 191 :: amener ; emporter ; attirer ; conduire ; engager ; atteindre ; pousser ; écarter ; élever ; abandonner
éplucher.v 10 :: peler ; nettoyer ; préparer ; acheter ; égoutter ; cueillir ; enfiler ; ouvrir ; laver ; faire
éplucher.v 51 :: éplucher ; analyser ; fouillé ; étudier ; attentivement ; scrupuleusement ; imprimer ; parcourir ; dépouiller ; récolter
éplucher.v 69 :: examiner ; étudier ; analyser ; dépouiller ; lire ; scanner ; vérifier ; fouiller ; balayer ; dévorer
éplucher.v 100 :: éplucher ; retourner ; écraser ; peser ; récolter ; oignon ; laver ; écarter ; enlever ; arracher
éplucher.v 119 :: éplucher ; regarder ; parcourir ; fouillé ; étudier ; explorer ; balayer ; analyser ; entendre ; lire
éplucher.v 167 :: laver ; oublier ; enlever ; observer ; couper ; noter ; regarder ; laisser ; conserver ; rappeler
éplucher.v 174 :: consulter ; analyser ; lire ; regarder ; voir ; retrouver ; découvrir ; fouiller ; examiner ; parcourir
éplucher.v 235 :: peler ; faire ; passer ; acheter ; presser ; arracher ; obtenir ; récolter ; entamer ; affiner
éplucher.v 236 :: éplucher ; récolter ; collecter ; fouillé ; balayer ; scrupuleusement ; entendre ; regarder ; aller ; compiler
éplucher.v 258 :: peler ; égoutter ; blanchir ; faire ; fruit ; légume ; fraise ; écraser ; préparer ; rincer
espace.n 13 :: ensemble ; or ; art ; air ; établissement ; euro ; exploitation ; évolution ; origine ; an
espace.n 27 :: air ; or ; énergie ; eau ; art ; éternel ; image ; irréversible ; apparemment ; actuel
espace.n 79 :: ensemble ; office ; emplacement ; environnement ; outil ; zone ; service ; aire ; option ; coin
espace.n 120 :: air ; étroit ; ajouter ; utiliser ; petit ; article ; excellent ; aide ; apercevoir ; heureux
espace.n 137 :: environnement ; marché ; investissement ; domaine ; entreprise ; instrument ; information ; groupe ; avenir ; avantage
espace.n 142 :: air ; afghan ; international ; interne ; éternel ; actuel ; américain ; indien ; eau ; art
espace.n 180 :: place ; lien ; emplacement ; arrangement ; équilibre ; distance ; intervalle ; déplacement ; passage ; zone
espace.n 208 :: innombrable ; entreprise ; ensemble ; article ; information ; exploitation ; ancien ; enregistrement ; euro ; utilisateur
espace.n 229 :: propre ; événement ; investissement ; produit ; projet ; service ; environnement ; petit ; développement ; talent
espace.n 243 :: article ; coin ; place ; intervalle ; emplacement ; écran ; vide ; temps ; trou ; ensemble
essuyer.v 11 :: essuyer ; laver ; faire ; rincer ; ensuite ; essuie ; abondamment ; avoir ; enlever ; appliquer
essuyer.v 58 :: subir ; rencontrer ; constater ; recevoir ; essuie ; souffrir ; connaître ; accumuler ; enregistrer ; affronter
essuyer.v 77 :: essuie ; encre ; éponge ; effacer ; écarter ; sourire ; brûle ; larme ; égal ; enduire
essuyer.v 81 :: essuie ; éponge ; encre ; laver ; effacer ; enduire ; lav ; nettoie ; douche ; écarter
essuyer.v 86 :: recevoir ; essuie ; assurer ; encaisse ; continuer ; passer ; assumer ; recueillir ; régler ; faire
essuyer.v 89 :: subir ; recevoir ; opposer ; rencontrer ; constater ; annoncer ; essuie ; accuser ; frapper ; obtenir
essuyer.v 98 :: encaisser ; recevoir ; subir ; faire ; souffrir ; voir ; prendre ; gagner ; rencontrer ; utiliser
essuyer.v 166 :: sécher ; éplucher ; noyau ; pépin ; égoutter ; légume ; peau ; peler ; baie ; graine
essuyer.v 215 :: subir ; recevoir ; recueillir ; accumuler ; obtenir ; affronter ; récolter ; enregistrer ; connaître ; provoquer
essuyer.v 266 :: enlever ; essuie ; nettoyer ; balayer ; soigneusement ; assurer ; retirer ; abondamment ; ensuite ; retourner
faucher.v 12 :: tuer ; jeter ; presque ; briser ; écraser ; bientôt ; projeter ; abattre ; déposer ; grièvement
faucher.v 42 :: déjà ; mieux ; également ; presque ; couvrir ; récolter ; devenir ; découverte ; peut-être ; atteindre
faucher.v 116 :: semer ; abattre ; dévaster ; voler ; arroser ; détruire ; pousser ; ravager ; travailler ; assassiner
faucher.v 160 :: séparer ; capture ; tombe ; malheureux ; amoureux ; coûter ; divorce ; orphelin ; tuer ; fiançaille
faucher.v 214 :: presque ; faire ; acheter ; abattre ; tirer ; mieux ; couper ; arracher ; assassiner ; donner
faucher.v 239 :: presque ; acheter ; entamer ; cassé ; jeter ; servir ; renverser ; déjà ; briser ; partager
faucher.v 248 :: blesse ; abattre ; brise ; taire ; presque ; frappe ; renverse ; peut-être ; marque ; volontairement
faucher.v 276 :: abattre ; couper ; planter ; semer ; tailler ; pousser ; piquer ; creuser ; greffer ; reconnaître
faucher.v 282 :: centre ; marque ; piqu ; remplacer ; cadre ; prolonger ; passeur ; déséquilibre ; compenser ; cale
faucher.v 290 :: grièvement ; tuer ; blesser ; gravement ; verser ; abattre ; briser ; presque ; déjà ; porter
fonder.v 6 :: fondre ; créer ; diriger ; organiser ; former ; développer ; ouvrir ; faire ; tenir ; lancer
fonder.v 7 :: force ; motiver ; sous-tendre ; porte ; traverser ; conditionne ; guide ; appuyer ; caractériser ; définir
fonder.v 54 :: base ; appuyer ; construire ; trouver ; tire ; bâtir ; gagner ; ancre ; force ; assurer
fonder.v 66 :: diriger ; ferme ; commencer ; développer ; créer ; monte ; rejoindre ; installer ; forme ; instaurer
fonder.v 88 :: intégrer ; rejoindre ; créer ; forme ; développer ; finance ; formule ; anime ; diriger ; quitte
fonder.v 93 :: traverser ; forme ; force ; conditionne ; définir ; caractériser ; constituer ; base ; appuyer ; marque
fonder.v 158 :: base ; repose ; bâtir ; focaliser ; appuyer ; fonctionner ; fond ; forge ; baser ; fixe
fonder.v 212 :: créer ; former ; constituer ; faire ; fabriquer ; contracter ; monter ; forger ; bâtir ; fondre
fonder.v 264 :: motiver ; définir ; force ; base ; traverser ; valide ; forme ; bâtir ; appuyer ; vraiment
fonder.v 286 :: développer ; fabrique ; diriger ; compte ; créer ; forme ; forge ; fond ; ferme ; réunir
grossier.a 24 :: flagrant ; stupide ; grave ; formel ; valable ; évident ; courant ; rigoureux ; grotesque ; complet
grossier.a 37 :: avancer ; complet ; sophistiquer ; vicieux ; répandre ; subtil ; efficace ; élevé ; facile ; exact
grossier.a 85 :: violent ; agressif ; brutal ; vicieux ; vulgaire ; arrogant ; susceptible ; tendre ; rude ; dangereux
grossier.a 108 :: fin ; épais ; profond ; minéral ; organique ; général ; primitif ; calcaire ; sec ; pauvre
grossier.a 134 :: léger ; subtil ; évident ; vague ; flagrant ; sérieux ; grave ; maladroit ; gros ; clair
grossier.a 179 :: gros ; grand ; profond ; bon ; flagrant ; vrai ; énième ; énorme ; grave ; véritable
grossier.a 227 :: ridicule ; vulgaire ; agressif ; blessant ; poli ; arrogant ; incorrect ; confus ; maladroit ; franc
grossier.a 228 :: témoignage ; policier ; accusation ; billet ; sens ; mensonge ; fait ; procédé ; déplacer ; médical
grossier.a 231 :: vulgaire ; matériel ; humain ; inférieur ; profane ; coupable ; simple ; brut ; noble ; primitif
grossier.a 300 :: stupide ; vulgaire ; féroce ; habituel ; faire ; commune ; coupable ; agressif ; meurtrier ; lâche
hermétique.a 203 :: opaque ; obscur ; abstrait ; inquiétant ; mystérieux ; explicite ; évident ; étancher ; compréhensible ; ultime
hermétique.a 71 :: étanche ; opaque ; secret ; énigmatique ; obscur ; mystérieux ; effrayant ; fermer ; confidentiel ; discret
hermétique.a 99 :: fermer ; plastique ; sceller ; étanche ; contenir ; transparent ; individuel ; entier ; chinois ; alimentaire
hermétique.a 126 :: étanche ; insensible ; imperméable ; allergique ; réfractaire ; sourd ; fermer ; opposer ; attacher ; dépendre
hermétique.a 127 :: élitiste ; étanche ; secret ; obscur ; opaque ; religieux ; officiel ; académique ; fermé ; magique
hermétique.a 220 :: opaque ; fermer ; étancher ; obscur ; extrêmement ; parfaitement ; froid ; anonyme ; complètement ; ouvert
hermétique.a 226 :: insensible ; attacher ; étanche ; imperméable ; fermer ; indifférent ; sensible ; sourd ; attentif ; associer
hermétique.a 261 :: étanche ; magique ; opaque ; éloquer ; incompréhensible ; confidentiel ; explicite ; mystérieux ; fermer ; étancher
hermétique.a 278 :: chimique ; étanche ; plastique ; interne ; fermé ; solide ; secret ; noir ; alimentaire ; entièrement
hermétique.a 204 :: opaque ; obscur ; abstrait ; inquiétant ; explicite ; mystérieux ; étancher ; évident ; compréhensible ; exclusif
incorrect.a 45 :: actif ; opérationnel ; pratique ; juridique ; global ; mal ; utile ; général ; variable ; juger
incorrect.a 125 :: vraiment ; in ; totalement ; complètement ; parfaitement ; super ; con ; hier ; mal ; extrêmement
incorrect.a 132 :: revenir ; rester ; tomber ; impossible ; extrêmement ; orienter ; incomplet ; totalement ; entier ; devenir
incorrect.a 156 :: in ; politique ; juridique ; mal ; judiciaire ; pénal ; exemplaire ; professionnel ; apparemment ; criminel
incorrect.a 159 :: in ; politique ; juridique ; pratique ; ex ; professionnel ; mal ; application ; incomplet ; législatif
incorrect.a 177 :: erroné ; correct ; précis ; inverse ; prédéterminer ; total ; supérieur ; aléatoire ; donner ; impossible
incorrect.a 217 :: ici ; correct ; politiquement ; public ; stupide ; approprié ; sujet ; inapproprié ; enfant ; faux
incorrect.a 241 :: vraiment ; complètement ; totalement ; mal ; presque ; parfaitement ; extrêmement ; fort ; déjà ; apparemment
incorrect.a 298 :: maladroit ; vrai ; ridicule ; correct ; décevant ; évident ; injuste ; déçu ; exact ; malheureux
incorrect.a 299 :: personnel ; confidentiel ; saisir ; électronique ; donnée ; opérationnel ; financier ; transmettre ; erroné ; bancaire
intérêt.n 63 :: avis ; élément ; objectif ; appétit ; opinion ; sentiment ; point ; adversaire ; avantage ; agenda
intérêt.n 97 :: article ; évolution ; étroit ; international ; aide ; heureux ; information ; origine ; opinion ; irremplaçable
intérêt.n 129 :: air ; aide ; art ; image ; étroit ; externe ; international ; heureux ; interne ; or
intérêt.n 146 :: air ; or ; aide ; image ; art ; emploi ; évolution ; ensemble ; énergie ; eau
intérêt.n 155 :: article ; utilisateur ; effectif ; appareil ; audit ; outil ; étroit ; évaluation ; entreprise ; information
intérêt.n 218 :: avantage ; intéressant ; utilité ; atout ; importance ; inconvénient ; attrer ; enseignement ; côté ; élément
intérêt.n 263 :: meilleur ; propre ; air ; nouveau ; excellent ; guide ; cor ; principal ; éventuel ; matériel
intérêt.n 268 :: air ; international ; art ; image ; aide ; or ; nouveau ; actuel ; éternel ; usage
intérêt.n 271 :: aide ; étroit ; être ; international ; image ; art ; air ; énergie ; excellent ; article
intérêt.n 297 :: aide ; air ; clip ; externe ; animal ; art ; image ; double ; or ; enseigner
interpréter.v 18 :: chanter ; jouer ; interprétation ; reprendre ; enregistrer ; arranger ; offrir ; présenter ; aborder ; inspirer
interpréter.v 21 :: enregistrer ; écrire ; adapter ; interprétation ; arranger ; chanter ; illustrer ; écouter ; inscrire ; imaginer
interpréter.v 59 :: expliquer ; comprendre ; entendre ; penser ; analyser ; envisager ; inverser ; exprimer ; voir ; lire
interpréter.v 80 :: or ; air ; art ; apparemment ; aide ; image ; obliger ; aimer ; international ; interne
interpréter.v 123 :: or ; art ; international ; heureux ; expérience ; étymologie ; aide ; air ; étroit ; image
interpréter.v 128 :: joue ; incarner ; ici ; interprétation ; double ; camper ; écrire ; in ; assurer ; offrir
interpréter.v 157 :: recevoir ; analyse ; écrire ; accueillir ; traduire ; envoyer ; émettre ; traite ; encaisse ; actif
interpréter.v 260 :: interprétation ; comprendre ; analyser ; évaluer ; apprécier ; décoder ; entendre ; expliquer ; exploiter ; comparer
interpréter.v 267 :: interprétation ; comprendre ; attribuer ; observer ; entendre ; percevoir ; vivre ; envisager ; écrire ; définir
interpréter.v 289 :: imaginer ; jouer ; incarner ; animé ; dansé ; enseigner ; interprétation ; chanter ; habiter ; présenter
maintenir.v 94 :: soutenir ; écrire ; souligner ; répéter ; ajouter ; affirmer ; déclarer ; apprendre ; entendre ; préciser
maintenir.v 113 :: présent ; inscrire ; visible ; enregistrer ; mentionner ; signaler ; référencer ; renseigner ; identifier ; tenir
maintenir.v 154 :: garder ; conserver ; renforcer ; continuer ; poursuivre ; retenir ; exercer ; demeurer ; concentrer ; tenir
maintenir.v 175 :: préserver ; garder ; conserver ; retenir ; demeurer ; maintien ; divertir ; conforter ; mettre ; dissimuler
maintenir.v 183 :: préserver ; garder ; conserver ; garantir ; favoriser ; assurer ; entretenir ; rester ; mettre ; créer
maintenir.v 207 :: demeurer ; garder ; maintien ; préserver ; conserver ; soutenir ; retenir ; rester ; réintégrer ; divertir
maintenir.v 230 :: tenir ; reston ; devoir ; être ; double ; pouvoir ; garder ; vouloir ; compter ; dernier
maintenir.v 234 :: souhaiter ; considérer ; soutenir ; vouloir ; réaffirmer ; rappeler ; proposer ; estime ; reconnaître ; prévoir
maintenir.v 251 :: conserve ; tenir ; réaffirmer ; soutenir ; réitérer ; confirmer ; reprendre ; poursuivre ; répéter ; renouveler
maintenir.v 281 :: confirmer ; affirmer ; soutien ; dire ; croire ; déclarer ; juge ; maintien ; préciser ; voir
mince.a 17 :: épais ; fin ; intime ; faible ; fort ; étroit ; réduit ; léger ; haut ; vulnérable
mince.a 96 :: fin ; épais ; régulier ; léger ; continuer ; fixe ; lisse ; sec ; grossier ; sonore
mince.a 147 :: léger ; maigre ; sommaire ; faible ; simple ; original ; limité ; riche ; préciser ; inexistant
mince.a 170 :: serrer ; léger ; étroit ; fragile ; maigre ; faible ; épais ; fort ; bon ; petit
mince.a 192 :: petit ; épais ; minuscule ; fin ; léger ; simple ; menu ; énorme ; solide ; large
mince.a 202 :: fin ; léger ; petit ; épais ; nouveau ; simple ; double ; dernier ; faible ; infime
mince.a 213 :: maigre ; petit ; faible ; minime ; léger ; vert ; riche ; réduire ; fragile ; misérable
mince.a 225 :: maigre ; brillant ; dramatique ; lux ; fort ; grave ; sport ; critique ; cadeau ; signe
mince.a 242 :: fin ; fort ; préciser ; faible ; clair ; intime ; étroit ; sec ; bel ; fragile
mince.a 292 :: fin ; épais ; supérieur ; conducteur ; métallique ; léger ; continuer ; invisible ; physique ; cristalline
modeste.a 29 :: minuscule ; petit ; minable ; misérable ; humble ; grand ; minime ; simple ; modique ; paisible
modeste.a 114 :: humble ; petit ; bon ; pauvre ; honnête ; discret ; poli ; timide ; misérable ; faible
modeste.a 121 :: faible ; important ; minime ; significatif ; petit ; modique ; mesurer ; limité ; minuscule ; modérer
modeste.a 163 :: minime ; limité ; petit ; faible ; léger ; spectaculaire ; récent ; personnel ; important ; propre
modeste.a 195 :: minime ; faible ; limité ; misérable ; médiocre ; maigre ; considérable ; économique ; basique ; mince
modeste.a 197 :: pauvre ; faible ; aisé ; concerner ; fragile ; petit ; économique ; important ; défavorisé ; récent
modeste.a 200 :: limité ; réduire ; faible ; restreindre ; mesurer ; léger ; modérer ; petit ; élevé ; comprendre
modeste.a 246 :: élevé ; léger ; faible ; important ; petit ; marchand ; négligeable ; considérable ; moindre ; économique
modeste.a 269 :: humble ; petit ; digne ; jeune ; pauvre ; misérable ; médiocre ; honnête ; pieux ; bon
modeste.a 283 :: humble ; digne ; discret ; fragile ; simple ; populaire ; honnête ; modestie ; pauvre ; accessible
montée.n 15 :: courbe ; victoire ; poussée ; côte ; conversion ; dérive ; mue ; hausse ; droite ; réduction
montée.n 56 :: progression ; descente ; hausse ; augmentation ; poussée ; élévation ; montagne ; pente ; partie ; hiérarchie
