affection.n 8 :: tentation ; épreuve ; question ; idée ; résolution ; torture ; attaque ; dernier ; fin ; invitation
commander.v 41 :: choisir ; définir ; effectuer ; faire ; lancer ; gérer ; décider ; sélectionner ; réaliser ; créer
commander.v 48 :: créer ; permettre ; favoriser ; assurer ; déterminer ; donne ; donner ; expliquer ; produire ; représenter
commander.v 117 :: permettre ; commande ; demander ; dicter ; requérir ; comporter ; vouloir ; supposer ; suggérer ; prévoir
commander.v 164 :: poser ; imposer ; donner ; faire ; donne ; tirer ; enseigner ; pousse ; mort ; cause
commander.v 171 :: voir ; découvrir ; acheter ; admirer ; acquérir ; observer ; retrouver ; photographier ; trouver ; juger
commander.v 206 :: venir ; mi ; faire ; alias ; round ; mois ; tard ; an ; point ; mort
commander.v 240 :: faire ; également ; respectivement ; suite ; venir ; jamais ; apporter ; donner ; mal ; autant
compris.a 52 :: donner ; fournir ; faire ; accepter ; utiliser ; soutenir ; expliquer ; valider ; lire ; choisir
compris.a 90 :: ajouter ; déclarer ; indiquer ; suggérer ; répondre ; noter ; préciser ; conclure ; expliquer ; affirmer
compris.a 106 :: prouver ; démontrer ; déjà ; évident ; confirmer ; vrai ; écrire ; vouloir ; entendre ; apprendre
compris.a 185 :: inclus ; faire ; inclure ; contenir ; recueillir ; prise ; produire ; retirer ; recevoir ; accepter
compris.a 186 :: total ; cacher ; transporter ; tard ; parfait ; situer ; livrer ; sommaire ; dissimuler ; sinistre
compris.a 187 :: répartir ; évaluer ; estimer ; varier ; situer ; fixer ; définir ; limité ; diviser ; variable
compris.a 211 :: répartir ; situer ; bas ; répartie ; donnée ; orienter ; respectivement ; variable ; placer ; ventiler
compris.a 232 :: inclure ; intégré ; comptabiliser ; inclus ; prendre ; reprendre ; mentionner ; compter ; inscrire ; prévoir
compris.a 272 :: réaliser ; penser ; préciser ; capter ; saisir ; lire ; savoir ; entendre ; mentionner ; écrire
compris.a 287 :: améliorer ; changer ; atteindre ; remplacer ; confirmer ; augmenter ; utiliser ; obtenir ; démontrer ; souligner
couverture.n 65 :: partie ; page ; dernier ; totalité ; rubrique ; section ; livraison ; revue ; rédaction ; colonne
couverture.n 67 :: vie ; peau ; carrière ; liberté ; place ; tête ; réputation ; chance ; dignité ; survie
couverture.n 72 :: nom ; temps ; location ; mémoire ; vente ; travail ; maison ; type ; chambre ; produit
couverture.n 143 :: chef ; face ; faveur ; directeur ; page ; interlocuteur ; journaliste ; manchette ; propriétaire ; héros
couverture.n 149 :: capitalisation ; sûreté ; garantie ; récupération ; conservation ; sécurité ; rente ; retraite ; totalité ; valeur
couverture.n 150 :: toiture ; voûte ; tour ; charpente ; façade ; porte ; terrasse ; maison ; chapelle ; cuisine
couverture.n 201 :: transformation ; solidarité ; représentation ; développement ; conquête ; répartition ; partage ; connaissance ; reconquête ; compétence
couverture.n 257 :: bois ; travail ; remplacement ; papier ; base ; référence ; chauffage ; recyclage ; déchet ; qualité
couverture.n 265 :: serviette ; bâche ; lampe ; couette ; chaise ; échelle ; voûte ; cloche ; table ; fenêtre
couverture.n 280 :: lumière ; pluie ; pression ; chaleur ; lune ; forme ; surface ; terre ; main ; gravité
débit.n 64 :: tenue ; clôture ; rapprochement ; fermeture ; saisie ; création ; transfert ; reddition ; regroupement ; conversion
débit.n 87 :: coût ; prix ; début ; montant ; solde ; salaire ; cours ; taux ; lendemain ; temps
débit.n 115 :: voisinage ; niveau ; bruit ; blocage ; débordement ; déplacement ; fond ; nom ; diamètre ; volume
débit.n 131 :: groupe ; point ; changement ; ligne ; domaine ; projet ; cas ; party ; transfert ; position
débit.n 136 :: crue ; eau ; sédiment ; inondation ; berge ; rive ; population ; bassin ; marée ; digue
débit.n 168 :: dégagement ; transfert ; tour ; plan ; venir ; calcul ; choix ; maintien ; séjour ; financement
débit.n 169 :: pratiquement ; principalement ; essentiellement ; principal ; cation ; gré ; dimanche ; finalement ; globalement ; ensemble
débit.n 184 :: maximum ; meilleur ; moyen ; coût ; prix ; taux ; minimum ; mieux ; point ; angle
débit.n 188 :: précipitation ; concentration ; émission ; nitrate ; rejet ; inondation ; eau ; pesticide ; pluie ; prélèvement
débit.n 205 :: rythme ; tempo ; mouvement ; temps ; départ ; vol ; flux ; démarrage ; début ; pouls
direction.n 78 :: houlette ; baguette ; responsabilité ; conduite ; supervision ; plume ; présidence ; coupe ; gouverne ; coordination
direction.n 111 :: cohérence ; base ; orientation ; profondeur ; asseoir ; ligne ; identité ; consistance ; position ; affinité
direction.n 151 :: municipalité ; mairie ; ville ; commune ; président ; famille ; ministre ; république ; police ; région
direction.n 152 :: courbe ; phase ; tension ; différence ; loi ; variation ; polarité ; bande ; quantité ; table
direction.n 172 :: finir ; bonjour ; salut ; arrêter ; taire ; partout ; ferme ; dégager ; quitte ; supprimer
direction.n 176 :: vitesse ; régime ; température ; pression ; couple ; puissance ; temps ; position ; rapport ; poids
direction.n 199 :: commission ; suite ; recherche ; masse ; force ; femme ; mère ; équipe ; presse ; société
direction.n 223 :: formation ; création ; gestion ; construction ; préparation ; réalisation ; recherche ; réussite ; conception ; sélection
direction.n 262 :: responsabilité ; tête ; parole ; charge ; fonction ; dimension ; décision ; présidence ; barre ; succession
direction.n 279 :: venir ; provenance ; aval ; amont ; arriver ; revenir ; descendre ; sortir ; passer ; direct
don.n 19 :: sens ; esprit ; pouvoir ; oeil ; talent ; angle ; regard ; niveau ; système ; degré
don.n 30 :: rêve ; ami ; qualité ; valeur ; capacité ; force ; sentiment ; sens ; aspiration ; amour
don.n 36 :: pouvoir ; talent ; sens ; charm ; lien ; phénomène ; savoir ; domaine ; travail ; sentiment
don.n 60 :: thème ; site ; droit ; plan ; élément ; produit ; principe ; sujet ; respect ; fondement
don.n 84 :: dividende ; intérêt ; salaire ; enfant ; salarié ; revenu ; produit ; bénéfice ; achat ; travail
don.n 107 :: cadeau ; état ; part ; legs ; remettre ; présent ; usage ; dépôt ; rapport ; offrir
don.n 130 :: vocation ; pauvre ; famille ; naissance ; homme ; prêtre ; ferme ; enfant ; emploi ; entreprise
don.n 196 :: pouvoir ; rôle ; potentiel ; mérite ; devoir ; sens ; but ; talent ; temps ; droit
don.n 244 :: rémunération ; salaire ; versement ; prestation ; prime ; prélèvement ; remboursement ; capital ; paiement ; subvention
don.n 245 :: exploit ; nom ; travail ; effort ; miracle ; parcours ; cas ; destin ; voyage ; récit
entraîner.v 39 :: aller ; autant ; or ; ancien ; également ; aider ; envoyer ; mieux ; ensuite ; initialement
entraîner.v 47 :: aide ; obliger ; aider ; invite ; apprendre ; inciter ; force ; encourager ; engager ; enseigne
entraîner.v 55 :: apporter ; imposer ; assurer ; engager ; intégrer ; offrir ; obliger ; ouvrir ; illustre ; effectuer
entraîner.v 57 :: air ; aller ; autant ; élever ; faire ; mieux ; auto ; eau ; an ; observer
entraîner.v 133 :: auto ; autant ; imaginer ; aimer ; aller ; aider ; entendre ; effectuer ; observer ; écouter
entraîner.v 140 :: mener ; amener ; envoyer ; conduire ; porter ; pousser ; suivre ; faire ; mettre ; ensuite
entraîner.v 144 :: avoir ; commencer ; invite ; chercher ; continuer ; hésiter ; être ; inviter ; aider ; obliger
entraîner.v 161 :: signifier ; révéler ; engendrer ; expliquer ; causer ; provoquer ; indiquer ; induire ; impliquer ; pallier
entraîner.v 162 :: provoquer ; engendrer ; induire ; produit ; amener ; impliquer ; cause ; causer ; créer ; déclenche
entraîner.v 191 :: jeter ; plonger ; retenir ; ramener ; rejeter ; maintenir ; remettre ; précipiter ; renvoyer ; amener
éplucher.v 10 :: laver ; peler ; égoutter ; nettoyer ; champignon ; rincer ; couper ; sécher ; gratter ; oignon
éplucher.v 51 :: taper ; tri ; tas ; ouche ; clique ; bossé ; reposer ; travailler ; coup ; récupérer
éplucher.v 69 :: rejeter ; accepter ; retirer ; refuser ; examiner ; revoir ; approuver ; traiter ; étudier ; repousser
éplucher.v 100 :: couper ; laver ; peler ; bouquet ; mettre ; hacher ; motte ; vert ; étique ; oignon
éplucher.v 119 :: chercher ; fouillé ; regarder ; croiser ; taper ; parcourir ; trouver ; surfer ; coup ; laisser
éplucher.v 167 :: couper ; laver ; découper ; poireau ; rentrer ; épinard ; bouquet ; jeter ; oignon ; enlever
éplucher.v 174 :: ajouter ; modifier ; afficher ; importer ; comparer ; gérer ; consulter ; utiliser ; partager ; retrouver
éplucher.v 235 :: peler ; laver ; découper ; trier ; nettoyer ; cuire ; préparer ; récolter ; cuisiner ; ramasser
éplucher.v 236 :: man ; ment ; tas ; coup ; partir ; mettre ; chercher ; mou ; trouver ; miser
éplucher.v 258 :: enfant ; oeil ; femme ; cheveu ; jour ; homme ; laver ; peau ; main ; petit
espace.n 13 :: nouveau ; industrie ; exposition ; installation ; aquaculture ; petit ; exploitation ; entreposage ; grand ; produit
espace.n 27 :: an ; air ; ancien ; extrême ; océan ; intérieur ; infini ; express ; ouest ; extérieur
espace.n 79 :: service ; bureau ; centre ; local ; poste ; comptoir ; lieu ; cabinet ; point ; studio
espace.n 120 :: année ; heure ; hiver ; enfant ; énergie ; euro ; eau ; âge ; assouplissement ; information
espace.n 137 :: envoi ; millimètre ; avis ; entier ; heure ; établissement ; midi ; cross ; article ; unité
espace.n 142 :: ancien ; atlantique ; air ; énergie ; océan ; an ; ion ; homme ; eau ; article
espace.n 180 :: relation ; communication ; lien ; interaction ; échange ; rapport ; connexion ; correspondance ; liaison ; transmission
espace.n 208 :: air ; effort ; opposition ; heure ; efficacité ; ouverture ; arriver ; énergie ; assurance ; allégation
espace.n 229 :: aspect ; personne ; corps ; extrémité ; lieu ; résultat ; cendre ; cheville ; produit ; ténèbre
espace.n 243 :: intervalle ; point ; an ; rapport ; écart ; degré ; temps ; vide ; délai ; air
essuyer.v 11 :: men ; min ; mage ; commencer ; surface ; m ; milligramme ; penser ; mouvement ; faire
essuyer.v 58 :: rencontrer ; connaître ; constater ; avoir ; noter ; régler ; également ; rencontre ; relever ; enregistrer
essuyer.v 77 :: usa ; pouvoir ; ra ; fa ; faire ; han ; laisser ; if ; out ; mettre
essuyer.v 81 :: enduire ; laver ; extraire ; coupe ; encre ; séparer ; couper ; bouche ; but ; filtre
essuyer.v 86 :: assurer ; énergie ; feu ; universitaire ; tair ; prise ; preuve ; faire ; équipe ; énergétique
essuyer.v 89 :: recevoir ; subir ; constater ; obtenir ; rencontrer ; demander ; entendre ; discuter ; également ; émettre
essuyer.v 98 :: rencontrer ; voir ; trouver ; recevoir ; faire ; lire ; prendre ; obtenir ; entendre ; découvrir
essuyer.v 166 :: légume ; fruit ; pépin ; baie ; produit ; noix ; fraise ; pêche ; cerise ; fleur
essuyer.v 215 :: déjà ; obtenir ; recevoir ; mérité ; cumulé ; prononcer ; falloir ; accumuler ; subir ; prendre
essuyer.v 266 :: éviter ; faire ; activer ; assurer ; arrêter ; poursuivre ; prolonger ; appuyer ; effectuer ; lancer
faucher.v 12 :: écraser ; renverser ; gravement ; tuer ; partie ; poteau ; embarquer ; percuter ; violemment ; mal
faucher.v 42 :: abandonner ; bloquer ; acquérir ; actuellement ; remplacer ; finalement ; devenir ; respectivement ; faire ; apporter
faucher.v 116 :: raser ; planter ; illégalement ; couper ; arracher ; ment ; ravager ; gué ; gelé ; dévaster
faucher.v 160 :: force ; masse ; fortement ; mile ; man ; total ; faire ; simple ; mi ; super
faucher.v 214 :: faire ; entier ; aimer ; prise ; donner ; prendre ; écrire ; voir ; travailler ; baron
faucher.v 239 :: arriver ; trouver ; hydrocarbure ; sortie ; ici ; produire ; sortir ; eau ; produit ; devoir
faucher.v 248 :: arbitre ; paire ; également ; avis ; applique ; falloir ; point ; montant ; pied ; égard
faucher.v 276 :: planter ; couper ; semer ; arracher ; greffer ; payer ; tailler ; abattre ; coûter ; acheter
faucher.v 282 :: devancer ; trouver ; lancer ; rencontre ; récupérer ; remplacer ; éliminer ; recevoir ; repousse ; ensuite
faucher.v 290 :: repérer ; ra ; soleil ; griller ; cap ; noir ; feu ; pro ; emmener ; tirer
fonder.v 6 :: récidive ; détacher ; réduit ; marteler ; optimis ; repasser ; diminuer ; créer ; noir ; puiser
fonder.v 7 :: sous-tendre ; précéder ; motiver ; accompagner ; entraîner ; justifier ; guide ; expliquer ; entourer ; caractériser
fonder.v 54 :: renforcer ; démontrer ; justifier ; affirmer ; avancer ; pose ; réaffirmer ; contractuel ; conforter ; illustre
fonder.v 66 :: ouvrir ; créer ; lancer ; établir ; intégrer ; organiser ; commencer ; diriger ; quitte ; ferme
fonder.v 88 :: diriger ; intégrer ; rejoindre ; créer ; ouvrir ; quitte ; inaugurer ; commande ; devenir ; reprendre
fonder.v 93 :: demeure ; devenir ; dépasser ; constituer ; total ; impliquer ; engager ; égal ; inclure ; englober
fonder.v 158 :: base ; construire ; repose ; caractériser ; dérouler ; joue ; bâtir ; baser ; constituer ; cale
fonder.v 212 :: créer ; constituer ; former ; monter ; construire ; faire ; devenir ; rejoindre ; trouver ; lancer
fonder.v 264 :: motiver ; justifier ; expliquer ; freiner ; guide ; soutenir ; légitime ; bloquer ; entrave ; différer
fonder.v 286 :: gagner ; enseigne ; occuper ; réaliser ; réussir ; forme ; parcourir ; obtenir ; atteindre ; construire
grossier.a 24 :: grave ; total ; complet ; stupide ; évident ; grand ; absurde ; ridicule ; incroyable ; dangereux
grossier.a 37 :: fréquent ; répandre ; courant ; simple ; commun ; récent ; ancien ; évident ; élevé ; flagrant
grossier.a 85 :: agressif ; violent ; dangereux ; lourd ; malade ; gras ; nerveux ; fatiguer ; triste ; peser
grossier.a 108 :: calcaire ; rocheux ; dense ; massif ; sec ; rouge ; volcanique ; épar ; fertile ; profond
grossier.a 134 :: grand ; long ; fort ; large ; gros ; étroit ; bel ; court ; évident ; petit
grossier.a 179 :: pro ; quasi ; fou ; vaste ; nouveau ; moindre ; fort ; sage ; excitant ; vague
grossier.a 227 :: surprendre ; agressif ; timide ; vous ; méchant ; poli ; sérieux ; drôle ; français ; gêner
grossier.a 228 :: témoignage ; papier ; complot ; prétexte ; mensonge ; nom ; traitement ; positif ; médicament ; sentiment
grossier.a 231 :: terrestre ; corporel ; matériel ; moral ; éternel ; spirituel ; agréable ; céleste ; extérieur ; profond
grossier.a 300 :: digne ; répéter ; indigne ; stupide ; incessant ; quotidien ; raciste ; public ; agressif ; hypocrite
hermétique.a 203 :: cri ; partiel ; incertain ; poli ; démographique ; théorique ; disparater ; priori ; brut ; incomplet
hermétique.a 71 :: sombre ; vert ; court ; noir ; bleu ; sec ; jaune ; rouge ; long ; droit
hermétique.a 99 :: entier ; respectif ; complet ; immerger ; plastique ; droit ; contenu ; alimentaire ; enveloppé ; individuel
hermétique.a 126 :: imperméable ; allergique ; réfractaire ; étranger ; dédier ; insensible ; indifférent ; aveugle ; convertir ; dévoué
hermétique.a 127 :: politique ; social ; populaire ; culturel ; national ; français ; bourgeoise ; gauche ; religieux ; économique
hermétique.a 220 :: for ; masse ; air ; der ; davantage ; dire ; mou ; man ; men ; actuellement
hermétique.a 226 :: exposé ; confronter ; associer ; initier ; sensible ; connecter ; dépendre ; lier ; limité ; habituer
hermétique.a 261 :: fort ; dense ; loin ; faible ; puissant ; haut ; développer ; long ; large ; profond
hermétique.a 278 :: interne ; propre ; extérieur ; fermé ; glacé ; enveloppe ; intérieure ; plastique ; supérieur ; intact
hermétique.a 204 :: cri ; partiel ; incertain ; poli ; démographique ; théorique ; disparater ; priori ; brut ; incomplet
incorrect.a 45 :: opérationnel ; brute ; bénéficiaire ; financier ; budgétaire ; comptable ; mal ; négatif ; moyen ; fonctionnel
incorrect.a 125 :: vraiment ; jamais ; politiquement ; super ; parfaitement ; extrêmement ; histoire ; supra ; moyennement ; fort
incorrect.a 132 :: mal ; peine ; mieux ; politiquement ; difficilement ; affaire ; question ; mauvais ; raison ; place
incorrect.a 156 :: économique ; politique ; moral ; financier ; actuel ; historique ; criminel ; ment ; mauvais ; in
incorrect.a 159 :: in ; extrêmement ; certifier ; version ; garde ; vie ; déjà ; définitivement ; suffisamment ; partie
incorrect.a 177 :: désordre ; ordre ; donner ; inverse ; contraire ; supérieur ; identique ; précis ; présent ; similaire
incorrect.a 217 :: temps ; convenable ; bon ; jeune ; sain ; calme ; travail ; sujet ; falloir ; autour
incorrect.a 241 :: simple ; temps ; antérieur ; composer ; récent ; long ; lent ; ré ; tantôt ; imparfait
incorrect.a 298 :: écrire ; savoir ; soutenir ; profond ; répéter ; fort ; faire ; abandonner ; connaître ; mémoire
incorrect.a 299 :: dire ; recommandation ; page ; réponse ; information ; affaire ; mac ; client ; manquant ; confidentiel
intérêt.n 63 :: vision ; position ; politique ; idée ; conception ; solution ; valeur ; force ; réponse ; chose
intérêt.n 97 :: an ; actuel ; ensemble ; ancien ; ail ; us ; extrême ; estimer ; impérieu ; art
intérêt.n 129 :: engagement ; ensemble ; usage ; article ; opinion ; apercevoir ; origine ; activisme ; aspect ; estime
intérêt.n 146 :: actuel ; aspect ; ancien ; indispensable ; objet ; élément ; éventuel ; européen ; entier ; or
intérêt.n 155 :: accueil ; ensemble ; intérieur ; état ; entreprise ; administration ; aspect ; environnement ; enlèvement ; arrivée
intérêt.n 218 :: rôle ; nom ; avantage ; atout ; usage ; aspect ; sens ; pouvoir ; objet ; mérite
intérêt.n 263 :: éventuel ; excellent ; extrême ; ensemble ; entier ; apparent ; élément ; ancien ; insigne ; association
intérêt.n 268 :: aspect ; excellent ; élément ; or ; efficacité ; expérience ; exemple ; énergie ; ancien ; évolution
intérêt.n 271 :: état ; impact ; ensemble ; âge ; avantage ; usage ; espace ; emplacement ; environnement ; aspect
intérêt.n 297 :: excellent ; ancien ; air ; éventuel ; élément ; illustre ; exemple ; heureux ; étroit ; aspect
interpréter.v 18 :: chanter ; jouer ; présenter ; reprendre ; enregistrer ; choisir ; donner ; offrir ; écrire ; proposer
interpréter.v 21 :: jouer ; répéter ; composant ; arranger ; enregistrer ; produire ; chanter ; joue ; exécuter ; travailler
interpréter.v 59 :: freiner ; limiter ; éviter ; prévenir ; contrer ; accompagner ; stopper ; enrayer ; anticiper ; gérer
interpréter.v 80 :: aller ; pouvoir ; ici ; incarner ; voir ; éventuellement ; imaginer ; entendre ; enfant ; aimer
interpréter.v 123 :: espérer ; aimer ; appeler ; estime ; accepter ; expliquer ; origine ; imaginer ; er ; utiliser
interpréter.v 128 :: joue ; incarner ; prendre ; camper ; jouer ; reprendre ; présente ; tenir ; aborder ; raconter
interpréter.v 157 :: traite ; recevoir ; analyse ; gérer ; enregistrer ; contrôle ; envoyer ; orienter ; capter ; diriger
interpréter.v 260 :: valider ; effectuer ; prendre ; confirmer ; réaliser ; faire ; compléter ; vérifier ; exécuter ; reprendre
interpréter.v 267 :: considérer ; vue ; comprendre ; percevoir ; définir ; lire ; analyser ; décrire ; regarder ; envisager
interpréter.v 289 :: mener ; réaliser ; écrire ; porter ; diriger ; animé ; jouer ; créer ; tenir ; imaginer
maintenir.v 94 :: ajouter ; déclarer ; souligner ; expliquer ; noter ; préciser ; conclure ; indiquer ; affirmer ; répondre
maintenir.v 113 :: heure ; précis ; vérité ; exact ; efficace ; rapide ; nécessaire ; précisément ; tour ; bref
maintenir.v 154 :: exercer ; concentrer ; porter ; garder ; renforcer ; appeler ; imposer ; mettre ; relâcher ; attirer
maintenir.v 175 :: plonger ; garder ; mettre ; conduire ; conserver ; réduire ; placer ; précipiter ; préserver ; retenir
maintenir.v 183 :: garantir ; permettre ; conserver ; garder ; favoriser ; préserver ; créer ; donner ; fournir ; promouvoir
maintenir.v 207 :: soutenir ; protéger ; favoriser ; promouvoir ; représenter ; conseiller ; respecter ; supporter ; soigner ; servir
maintenir.v 230 :: holding ; long ; soutenir ; soutien ; demeure ; effectif ; for ; supporter ; prolonger ; asseoir
maintenir.v 234 :: exiger ; vouloir ; tandis ; autant ; considérer ; reconnaître ; affirmer ; proposer ; enseigne ; montre
maintenir.v 251 :: réitérer ; renouveler ; réaffirmer ; confirmer ; expliquer ; répéter ; préciser ; reprendre ; développer ; exposer
maintenir.v 281 :: point ; pouvoir ; prendre ; m ; soutien ; dernier ; force ; lire ; reprendre ; fa
mince.a 17 :: élevé ; éloigner ; haut ; faible ; chaud ; profond ; petit ; large ; étroit ; dister
mince.a 96 :: sec ; régulier ; froid ; hebdomadaire ; humide ; vertical ; nuit ; matin ; horizontal ; quotidien
mince.a 147 :: classique ; long ; confus ; complexe ; simple ; basique ; simpliste ; court ; sombre ; compliqué
mince.a 170 :: coûteux ; petit ; lourd ; vieux ; grand ; léger ; long ; réglementer ; gros ; important
mince.a 192 :: petit ; gros ; grand ; appeler ; long ; simple ; habituellement ; dire ; minuscule ; généralement
mince.a 202 :: dernier ; long ; haut ; demi ; demie ; bon ; page ; fin ; empire ; second
mince.a 213 :: faible ; maigre ; minime ; bon ; petit ; fort ; important ; vague ; évident ; léger
mince.a 225 :: petit ; simple ; vain ; nouveau ; grand ; moindre ; bel ; pareil ; mot ; énième
mince.a 242 :: flou ; situer ; franchir ; placer ; tracée ; inexistant ; fixer ; invisible ; poreux ; supérieur
mince.a 292 :: national ; physique ; réduire ; central ; matrice ; noyau ; minimum ; spatial ; fondamental ; asseoir
modeste.a 29 :: ancien ; petit ; vaste ; grand ; vieux ; bâtiment ; immense ; temps ; état ; second
modeste.a 114 :: jamais ; peut-être ; bon ; oui ; dur ; mal ; lentement ; difficile ; vraiment ; déjà
modeste.a 121 :: réduire ; minoritaire ; faible ; limité ; infime ; minime ; marginal ; négligeable ; important ; croissant
modeste.a 163 :: modifier ; limité ; faible ; réduire ; simplifier ; dater ; variable ; partiel ; marginal ; imparfait
modeste.a 195 :: élevé ; suffisant ; confortable ; régulier ; important ; généreux ; normal ; favorable ; social ; adéquat
modeste.a 197 :: français ; concerner ; présent ; local ; étranger ; condamner ; malade ; blessé ; social ; armé
modeste.a 200 :: faible ; contenue ; bas ; modérer ; limité ; positif ; maîtriser ; réduire ; négatif ; minime
modeste.a 246 :: élevé ; faible ; important ; avancer ; petit ; haut ; général ; inférieur ; grand ; social
modeste.a 269 :: jeune ; petit ; célèbre ; ancien ; également ; vieux ; second ; probablement ; simple ; grand
modeste.a 283 :: compréhensible ; facile ; agréable ; logique ; rapide ; rassurant ; efficace ; vrai ; évident ; gratuit
montée.n 15 :: résistance ; mère ; fille ; famille ; femme ; réaction ; défense ; mort ; présence ; déclaration
montée.n 56 :: heure ; fois ; horaire ; manière ; totalité ; aimer ; échelle ; part ; durée ; dernier
montée.n 75 :: nuit ; suite ; promenade ; visite ; second ; dernier ; journée ; face ; bibliothèque ; place
montée.n 138 :: qualité ; conservation ; forme ; beauté ; hauteur ; présentation ; disparition ; modification ; gestion ; transformation
montée.n 141 :: mise ; remettre ; température ; classe ; teneur ; maîtrise ; prise ; haut ; reprise ; vente
montée.n 153 :: concurrence ; compétition ; tâche ; lutte ; bataille ; course ; guerre ; charge ; campagne ; vie
montée.n 189 :: présenter ; femme ; représenter ; prendre ; faire ; situation ; mieux ; dégager ; vie ; haut
